Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85
29,17,95,30,61,10,1,11,58,12,63, ,14,46, ,0,88,52,46, ,77,9,32,89,70,10,24,58,7,74,58, ,78,84,7,79,8,64,32,85,94,94,23,47,1,64,78, ,56,95,85,66,34,4,99,16, ,15,12,72,27,80,30, ,40,46,2, ,69,97,77,36,45,29,0,98, ,26, ,17,41, ,56,53, 
16,38,64, ,1,87, ,47,92,95, ,42,90,18,38,9,34,8,13,27,63,50,51,98,93,69,17,66,32,84,60,63,68,56, ,84,57,61,65,7,55,8,69,10,54,61,55,89,23,6,55,15,5,21,38,9,80,38,39,28,44,19,45,50,70,73,47,38,66,23,88,99,50,20,88,83,38,33,11,51,40,7,15,41,5
87,97,64,25, ,14,21,70,81,36, ,18,31,94, ,35,77,15,97,35,28,83, , ,90,29,76,37, , ,13,36,80,89,72,29,6,14,84,78,3,59,40,99,18,20, , ,93,29,31,86,72,25,29,85,47,75, ,16,20,62,14,96,87,1,1,56,76,87,79,48,45,62,57,95, ,57,86, , ,39,60,48,66
40,98,96,51,41,46,45,88,97, ,84, ,43,29,47,67,88,31,11,83,11,51,17,82,20,51,64,6,86,11,13,47,86,89,7, ,19,13,14,59,31,71,4,63,6,24,13,88,90,5,74,50,74,70,74,8,70,61,0,88,24,47,15,53,3,93, , ,72,7,98,73,87,85,20,74,93,20,36, ,89,80,35,84, 
94, ,92,48,56,84,12,79,63,41,13,80,18,52,20,33,30,25,89,20, ,5,78,29,38,41,21,24,37,77,5,24,43,81,34,86,21,31,67,99,68,49,59,14,58,88,5,20,58,14,57,74,93,79, ,78,34,16,79,39,48, ,13,78,85,36, , ,2,72,10,56,30,11,40,30,75,79,72,43, ,28,62,19,31
28,34,84,11,22,48,91,33,58,71,82,77,11,41,95,54,0, ,84,15,22,41,69,13,78,40, ,62,47,46,3, ,58,62,70,47,40,63,50,2,1,17,10,4,1,62,82, ,40, ,88,63,27,6,85, ,87,26,39,78,72,94,57, , ,38,32,61,17,1,3,7,16,82,63, , ,15,36,34, ,67,34,89,3
5,63,5,34,73,49,91,28,86,69,46,92, ,26,10,60,21,37,67,82,66,83,3,11,40,6,70,30,92,42,72,75,64,41,6,66,34,56, ,68,45,80,62,13,43,89,43,22,57,77,42,56,36,72,11,48,33,41,80,42,25,70,25,5,28,72,84,86,36,94,0,5,71,28,1,76,4,96,39,11,84,37,13,89,82
97, ,3,98,44,51,26,20,75,12,61, ,46,30, ,19,23,6, ,9,28, ,78,83,90,78, ,91,15,4,88,20,54,52,35,88,81,4, ,15,1,36,71,71,4,18,31,86, ,16,66,72, ,54,0,69,35,20,51,61,6,66,32,78,58, ,71,86,9,98,84,51,36,21,73,69,19,63,67,22,18,21,63,34,91
55,33,76, , ,78,10,0,82,74,24,36,7,33,66,44,0,34,7,4,8,40,30,48, , ,63,20,72,57,98,74,81,42,9,27,87,96,54,68,39,26,1,2,74,80,83,15,30,81,7,54,44,22,78,2,63,21,76,39,84,23,74,33,96,46,24,0,52,68, , ,49,0, ,76,80,78,51,74,80,87,26,20,92
79, ,10,28,4,29,6,25,3,84, ,74,80,26,54,34,36,61,23,22,92,12,58,63,41, ,91, ,22,13,77,95,14,25,25,64,31,0,95,81,51,49,13,79,9,85,61,98,12,51,72,86,72,47,46,27,51, ,65,4, ,97, ,59,11,79,86,8,4, ,91,43,89,35,48,5,65,89,93,22,13,40,43, ,44
69,54,62,19,28,82,65, ,72,17,38,26,97,1,26,85,29,44, ,37,1,37,55,29,74,28,3,66,65,56,60,90,44,94,63,82,98,48,22,64,44,37,62,3,39,33, ,24,20,45,83,6,76,97,48,95,19,83,51,70,26,12,6,77,56,51,99,88,84,6,62,79,91,49,50,21,50,4,70,83,4,67,93,79,42
10,88,86,52,21,56,80,76,64,67,73,83,74,97,53,40,44,54,8, ,29,24,90,48,96,42,68,28,88, ,43,46,23,12,23,83,50,16,84,71, ,65,91,17,43,25,49,96,7,46,12,68,18,20,46,12,16,9, , ,27,32,4,36,15,90,28,29,6,58,89,96,10,79,19,46,47, ,52,37,76, ,38,45,6
16,78,69,8,87,99,80,54,25,79,92,63, , ,83,71,74,53,94,28,2, ,2,71,78,74,78,26,24,88,83,98,85,26,81,67,52,75,6,3, ,78,23,44, ,44,92,33,0,77,59, ,26,29,17,16,88,9,20, ,65,71,89,38,54,43,66,90,29,74, ,58,15,58,14, ,21,23, , ,56,37,32, ,99
33,13,17,17,10,23, ,38, ,60,38, ,52,40,21,70, ,54,15,65,21,8, ,32, ,71, ,31,26, , , ,29,18,39,74,81,62,21, , ,15,63, ,35,7,6,52,12,24,66,20,0,30,76,11,6,76,6,72,58,8, ,60,26, , ,75,28,10,56, ,33,80,54,93,50,2,44,73, ,33,80,93,27
81,64,37,71,64,4,4,71,67, ,78,73,87,31,51,31,69,38, ,22,56, ,60,96,79,93,80,14,22,12,5,41,37,5,19,97,68,90,91,55,52,31,21,86,47,97,62,89,50,75,7,68,56,5,45,19,10,30,96,76,15,96,13,78,81,34,26,65,62,31,32, ,43,35, ,52,42,27,46,25, ,7,39,4,62
5,20, ,71,10,53,72,40,74,54,7,45,87, ,84,94,16,81,12,7,60,83,53,87,64,22, ,2,74,52,74,21,96,4,33,40,13,47,75,48,1,65,64,16, ,69,33,88,46,60,43,20,27,55,17,37,95,26,4,98,52,10,18,40,9,44,15,61,6,31,10,84,8,87,4,56,54,41,67,37,83, ,98,91,53
73,18,61,50,12,75,20,53,73,55, ,32,45,38,53,45,54,80, ,5,54,10,17,62,18,96,92,6,4,71,22,41,6,64,47,49, ,60,5,94,9,72,23,90,37,27,81,75, ,39,88,0,89,98, ,89,71,47,83,77,26,33,48,32,80,64,6,11,40,43,96,79,33,12,98,91,4,78,40,77,28,31,93,80,43
97,57,7,4,8,9,27,25,67,15, ,44,17,81, ,15,84,43,90,33,70,97,42,95,29,34,8,89,39,77,30,3,6, ,96,89,68,87,74,44, ,7,86,98,11,45,37,81, ,87, ,84,36,55,63, ,75,84,57,2,60,84,24,35,55,90,64, ,51,2,41,11,41,68,18,60,90, ,88,50,63,0, ,65,77
65,23,45,90,97,44,90,7,43,69,34,70,92,89,16, ,81,98,92, ,79,39,46, ,54,71,79,72,49, ,74,22,68,72,95,7,41,60,10,10,62, , ,99, ,71,86,14,59,57,78,52,80,80,43,78,71,13,29,90,87,59,98,62,78,13, ,66,73,77,91,20,10,55,68, ,87,54,31,20,9,14,56,90,81
30,30,43,79,28,50,73,55,85,81,80,6, ,62,5,84, ,7,16,47, ,76,84,51,30,9,61,98,21,67,95,0,16,87,63,38,72,37,90,80,68,39,4,82,29,10,22,5,58,29,30,81,83,60,6,96,30,5,72,61,37,27,83,98,24,63, ,44,80,18,69,51,89,49,58,85,73,88,41,32, ,60, ,57,59
52,93,37,65,32,50,51,52,94,58,62,18,51,9,53,47, ,41,85,92,19,63,59,62,94,43, ,34,73,12,95,53,71,84, ,72,99,99,2,62,43,68,87,20,7,47,1,44, ,45,84,2,31,76,96,57,78, ,64,62,37, ,85, ,98,38,50,68,70,13,22,60,64,35,50,81,85,83,5,70, ,8,99,57,47
95, ,3,82,92,48,18,55,49,81, ,52, ,61,32,3,85,10,31,69,82,31, ,50,60,9,37,82,21,50,47,72,75,71,9,41,67,54,8,58,59, ,96,50,53,37,12,94, ,72,73,31,4,19,97,63,96,24,19,15,9,42,93, , ,70,14, ,45,83, ,41,7, ,4,23,47,84,88,95,60,44,34,42,20
39,32,46,25,74,78,99,76,78,50,84,38,38,69, ,90,91, ,9,76,91,65,49,96,49,91, ,75,87, ,59,29,64,2,99,99,48,27,61,79,3, ,95,82,38,75,29,16,12,44,13,70,6,17, , ,0,98,16,57,65,69,82,89,40,12, , ,42, ,48,32,30,70,25,30, ,29,52,25,98,33,16,23, 
66,87,42,85,47,86,54,92,46,64,3,43,32,35, ,26,72,38,3, ,76,28,79,80, ,27,58,54,16,91,8,4, ,76,60,0,37,24,40,48,75,47,1,80,36,51,61,39,42,93,80,21, ,46,10,31,26,78, ,98,36,86,69,9,44,24,54,31,23,23,11,38,99,21,89,85,55,13,19,34,74, ,28,33,87
28,46,33,1, , ,35,39,85,74,30,45,70,96,69,5,65,52,35,0,31,91,41,28,41,39,99,66,90,70,93,17,9,71,55,82,82,55,5,52, ,91,86,86,66,27,43,44,12,74,70,40,28,13,20,5,83,88,72, ,38,53,68,9,68,45,94,66,20,66,2,79,47,59,48,43,58,52,53,97,86, ,80,13,53
0, ,64,68,81,28,61,17,68,46,31,43,85,98,4,72, ,99,98,65,87,38,54,34, ,4,0,63, ,49,53,38,40,20, , ,45,28,93,49,76,21,88,55,5,79,33,23,19,10,4,58,46, ,39,31,29,8,5,39,56,10,71,35,63,54,3,61, ,48,85,67,30,81, ,32,19,93, ,64,36,36,62,39,0
8, ,93,96,81,46,68,51,67,18,9,4,27,79,79,68,49,2,67,8,78,45,34,35,41,69,45,67,13,40,88,67,25,82,67,42,46,93,84,81,82,76,25,0,91,32,49,18,69,68,91,82,99,17,5,10, ,86,75, ,14,56,1,47,81,21,53,61,50,12,45,68,5,42, ,72,9,93,95,4,81,37,75,93, 
54,68,41,55, ,97, ,70,59,96,60,21,76,13, ,63,29,55,33,94,10,26,7,78,36,6,3,74,78,93,36, ,65,43,54,13, ,54,18, ,97,63,78,44,92,59,18,46, ,12,78,51, ,76,0, ,62,3,18,13, ,94,12,38,0, ,34,3,29,90,32,76,84,15,73,32, ,20,98,35,64, ,71, ,75
50,74,63,2,37,39,13,58,45,81,13,81, ,3,23,23, ,54,0,34,42,43,98,56, ,1,39,50,27,9,76,55,39, ,20,73,33,26, ,25,55,92,19, ,69,30,99,73,17,71,29,78,47,19,89,98,75,16,0,36,37,67,28,68,15,93,33,48,83,53,87,95,34,95,60,5,99, ,28,3,30,67,77,24,21
11,81,89,98,39,61,38,71,94,27,73,41, ,18, ,75,52,95,51,78,87,82,90,8,34, ,61,35,42,53,56,36,65,54,75,78, ,96,76,29,48,88,24,46,30,97,80,28, ,52,75,32,52,50,35,89,86,8,78,43, ,66,19,30,85,0,82,11,80,86,5,30,10,35,61,51,60,4,65,29,42,29,58,61,10
79,73,43,92,91,11,39, ,44,26,82,22,6,70,9, ,58,75,97, ,89,7,8,83,12,33,7,16,28,77,70,7,45,3,92,92, ,0,27,10,63,40,46,18,84,54,12,90,87, ,64,67,59,57,13,97,71,62,82, ,59,32,86,54,85,62,6,97,0,20,97,84,0,81,3,64,3,76,42,67,72,59,70,42,40
57,92, ,92,38,67,31, ,28,32,37,0,30,89,15,71,95,95,71,80,92,2,77,73,39,77,6,88,36,37,11,9,36,94,57,42,20,80,78,4,60,96,59,3,63,48,48,81,62,93, ,36, ,81,69,4,78,55,31,59,11, ,59,22, ,8,53,0,38,75,20,79,17,89,32, ,91,98,29,11,76,60,43, ,47
27,19,67,73,57,57,84,82,43,68,8,78,80,41,92,42, ,62,79,41, ,5,10,67,29,89,12, ,90,99,37,17,84,39,5,8,84,53,39,73,71,21,96,88,15,13,29,80,69,61,40,22,99,31,18, ,90,92,85,48,28,86, ,17,80,82,61,11,47,59, ,78, ,68,14,56,76,55,15,78,98,19,0,4,65
23,31,2, ,71,9,43,76,91,88,68,26, ,8,23,40,64,13,37,10,87,42,39,64,69, ,97,22,50,32,87,18,9, ,5, ,15,92,95, ,73,63,99,41,87,72,98,38,68,52,3,70,73,1,18,37,26,36,65,47,43,4,69,84, ,36,60,58,67,70,0,90,78,29, ,6,10,71,91, ,75, ,12,76, 
45,8,28,67,1,10,50,37,79,74,78,53, ,68,63,72,90,97, ,6,94, ,4,69,75,51,45,40,99,56, ,20,32,4,7,55, ,49,3,59, , ,43,97,24,50,32,92,27,25,10, ,20,58,9,7,40,90, ,68, ,93,64,43,9,99,61,25,81,27,51,19,1,38,35,60,75,19,70,11,99, ,61,21,28
55,18,87, ,47,86,79,91,99,95, ,6,74,46,64, ,93,19,54,48,7,47,79,39,82,81,10,83,30,7, ,74,59,49,64,69,70,43,45,3,52,97,54,13,84,22,81, ,40,29,71, ,67, ,11,40,30,34,54,28,78,92,65,75,22,70,76,44,9,0,33, ,63,36,51, ,59,9,74,94,38,65, ,41,13
60,47,54,83,86,55, ,21,2,50, ,44,43,91,31,3,79, ,26,20,28, , ,93,71,37,46,50, ,76,94,49,0,71,16,5,58,91,22,90,11,0,52, , , ,12,16,50,81,14,19,66,10,72,10,96,25,74, ,63,59,59,1,10,21,59,33,48,22,88,46,26,26,94,83,83,42,4,83,89,28,86,61,76
69,13, ,39,92,30,52, ,95,56,75,14,43,14,4, ,81,33,73,12, ,5,16,33,48,36,28,44,76,86,17,66,73,15,99, ,12,37,69,26,20,10,84,69,98,14,75,56,79,73, ,39,94,67,60,14,60,45,53,55,66, ,55,3, ,82,20,76,12,51,58,20,46,41, ,95,22,25,74,25,93,60,91,64,54
2,93,55,61,7,3,13,81,61,21,33,58,2,36,2,1, , ,19,59,16,34,70,45,87,8, ,41,53,24,71,6,91,87,30, ,11,13,2,92,36,55,88,86,3,35,94,14,17,44, ,11,67,63,97,5,84,1,73,15,55,18,32,77,62,33,59,16,39,39,27,83,30, ,3,56,92,5,28,32, ,36,79,96, 
36,62,1,57,38, ,41,10,72,34,34, ,52,97, , ,0,16, ,78,47,68,24,15, ,26,64,29,66,53,11,22,44, ,60,6,69, ,38,50,31,40,12,89,97,55,74, ,97,45,15,79,45,77,87,21,24, ,81,81,92,27,29,14,99,77,85,98,28,85,34,20,3,48,11, ,3,83,38,66,84,46,21,2,58
15,84, ,56,38,83,35,53,23,82,71,93,99,29,99,87,74,34,22,67,95,9,89,74,68,21,9, ,8,76,11,25, ,69,79,86,51,96,13,25,99,46,33,36,64,57,60,28,3,17,89,29,87,3,13,90,22,34,92,37,20,60, , ,2,85,75,25,16,31,14,47,57,40,26,63,89,60, ,49,67,24,17,12,15
52,39,83,54,84,80,11, ,95,56,54,27,19,13,27,34,87,93,52,40,21,86,98,44,36,54,96,86,96,33,34, ,22,71,90,48,29,84,34,11,52,82, , ,30,60,57, ,26,87,33,54,43,70,36,13,49,4,24,70,78,48,53,73,95,43,56,69,50,79,77,38,34,89,91,48,54, ,7,51,25, ,53,28,70
64,66,42, ,77,58,40,84,73,88,11,68,53, ,23,13,6,42,20,78,61,47,67,83,38,65, , ,87,58,2,13,74,94,94,2,4,99,62,17,44,10,76,14,99,50,54,18,84,47,28,51,13,84,18,21,58,72,19,98,60,20,12,45,51,76,41,12,79,30,99, ,57,33,3, ,22,39,97,82, ,33,26,75,26
35,60,22,95,96,72,50,23,2,28,48,5,5, ,81,22,23,71,68,52,80,20,32, ,63,71,42,63,1,80,50,20,91,32,34,1,97,3,16,82,74,72,73,64,5,73,12,16,60,52,66, ,63,80,54,24,42,7,51,22,48,99,78,20,54,35,36,27, ,8,82,64,18,24,94, ,20,65,20,14,27,11,18,52,47
54,62,53, ,95,24,72,10,89,9,45,61,63, ,11,79,55,47, ,0,12,3,86,61,65,28,85,26,88,70,1,1,1, ,19, , ,13,22,92, ,90,64,38,91,96,54,2,12, ,13, ,33,34,52,74,33,17,36,41,32,39,13,95,49, ,66, ,92,98,8,67,56, ,73,92,66,87, ,16,0,30,21,16,9
98,36, ,4,16,46,30,45,5,98,49, , ,42,83,79,2,25,24,70, ,86,69,65,21,13,61,4,38,17,50,79,12,3,92,92,59,56,55,37,85,31,76,21,2,15, ,95,61,35,55,77,31, ,60,55,88,48,88,55,40, ,56,98,42,14,44,50,47,77,43,36,78,90,67,54,56,26,24,64,85,45,49,50,77
 ,21,14,97,52,59,51,24,64,87,2,75, ,4,95,27,84,94,19,1,9,72,48,2,74,0,42,39,55,55,0,25,88,88,76,20,87,63,3,49,5,41,5,72,25, ,25,37,0,98,33,29,76,82,25,62,53,44,17,74,51,90,14,86,84,23,74,37,75,64,68, ,22,49,56,98,26,24,16,90,35,55,50,90,84
64,78,90,30, ,86,23,42,45,42,36,31,29,61,75,22, ,8, ,98,49,90,55,56, ,1,82,80,29,86,53,90,47,44,41,54,12,98,49,4,52,91,3,92,63,48,3, ,50,78,57,60,53,63,3,6,29, ,65,13,49,35,94,37,89,6,11,55,1,41,13,9, ,21,12,19,87, , ,90,23,33,25,88,85
74,7,9,85,72,80,44, ,31, ,17,3,7,17,67,5,72,47, ,57,41,76,11,93,15,8,42,78,3,0,83,41, ,20, ,76,64,71,67,2,94,85,92,99,11,88,38,19,8,99,58, ,22,5,62,65,82,9,75,84,48, ,60,7,4,78,8,80, ,75,23,34,60,72,2,7,95, ,30,99, , ,54,9, 
 ,4, ,50,3,83,2,33,3,92,95,30,66, , ,23,80,88,89,35,52,25,2,90,33,76,94,92,83, ,89,15,10,56,91, ,31,54, ,56,92,19,68,81,39,25,98,29,82,16,20,53,40,90,22,84,39,2,50,50,90,87,89, ,72,20,77,63,68,4,6,50, ,54,1,8,93,27,87,98,88,12,33,63,10
52,53,27,97,98,86,50,5,62,94,84, ,97,49,46,48,49,48,53,50,22,22,99,35,65,71,13,43, ,93,83, ,78,24,94,49,13,94,2,39,70,65,31,96,88,69,17,35,0,22,37,39,44,86,27,83,30,40,27, ,15,8,88,89,69,6, ,78,37, ,24,65,53,80,4,30,82,11,99,59,83,38, , ,68
63,35,61,37,65,17,61,10,94,34,21, ,5,22,16,62,10,49,15,35,16,48,14,96,90,92,40,68, ,90,24,4,49,87, ,38, ,54,52,50,36,39,1,96,93,96, ,21,88, , ,47,19,2,40, ,81,25,98,74,90,88,13,67,6,85,61,14,51,83,42,52,11,41,43,10,86,17,83,97,74,56,14,16,72
42, ,94,32,79,16,52,80,67, ,51,25,60, ,75,77, ,77,40,79,31,56,68,26,31,86,12,90,64,20,26, ,68,81,39,32,11,73,53,10,56,58,1,59,60,60,36,91,32,57, ,89,63, ,48,87, ,44,57, ,53,89,82,1,82,22,65,87,68,80,39,69,88,70,25,85,55,93,24,56, ,78,53,10,27
51,27,38, ,7,5,8,11,65,2,0,97,37,42,31,22,65,45,31,16,23,71,12,96, ,98,88,66,94,20,17,12,0,82,36, ,75,84,38,29,76,32, ,89,83,97,73,38,52, ,34,27,48,23,49,30,96,95,51,18,84,60,75,27,28,52,51,80,82,33,65,11, , ,90,7,84,11,80,21,47,73,13,79,24
97, ,63,6,92, ,14, ,99,35,93,66,69,75,29,49,25,20,6,4,8,25,11,49,58,56,7, ,77, ,46,28,91,7,37, , ,27,38,28,99,61,62,10,40,47,92,47,89,75,49,11,54,49,92,43, , , , ,22,89, ,36,16,88,20,12,76,29,79,71,61,15, ,20, ,42,13,87,46,79,41,62,18
78,60,17,29,80, ,86, ,10,99,13,72,90,96,52,86,97,19,23,89,14,98,56,82,72,89,69,47,14,92,1,38,43,56,94, ,8,18,71,38,54,27,90,88,4,43,33,10,65,88,62,51,49,27,51, ,6,87,78,35,81,71,0,64,59,20,95,43,3,95,65,84,49,18,49,55,20,84,21,53,82,72,27,44,29
56,1,65,13,78,38,94,61,80,27,64,6,87,53,66,72,76,64,25,25,41,37,23, , ,82,36,52,84,78,72,20,67,19,38,11,47,28,89,83,54, ,91,98,98,12,10,56,25,74,90,69,66,82, ,34,15,0,80,59,12,27,8,4,10,39,47,37,25,84, ,19,87,12,88,8,38,31,15,91,27,20,94,32,4
81, ,0,51,4,98,8,69,34,31,47,78,31,90,6, ,98,96, ,89,78,15,25, ,95,12,72,99,42,15,85,21,42,40,84,29,87,15,49,42,80,97,19,36,92,77,79,49,20,60,98,4, ,20,63,93,41,7, ,5,31,83,75, ,25,29,45,13,39, ,60,13,43,62,30,61,87,33,1,34,33,40,64,62,14
50, ,63,55,58,17,9,2,86,4,9,28,55,93,39,45,44,13,16,95,17,89, ,92,51,34, ,48,4,52,34,91,92,0,43,75,91,51, ,17,50,40,14,33,20,41,71,10,26, ,32,68,29,0,40,97,71,54,81,89,91,12,98,19,72,1,55,12,30,65,34,85,29,62,9,80,77,9,39,26,94,16,98,34,41
0,62,81,24,1,95,33,76,49,73, ,68,44, ,73,31,53, ,15,73,40,9,12,7,69, ,85, ,13,14,10,31,47,17,38,95,40,28,9,43,27,68, ,92,11,87,95,1,52,77,86,26,50,27,71,44,95,55,54,31,33,35,23,89,85,7,76,70,96,28,66,55,30,19,59,50,69,22,22,69,77,80,12,80,49
 ,15, , , ,41,98, ,49,17, ,10,28,66,58,59,98,78,50,63,85,46,36,28,95,1,40,89, ,55,51,34,1,0, ,54,58, ,4,89,95,45, ,76,86,28,21,30,36,26,52,36,87,47, ,14,49,2,29,71,63, ,42,20,83,25,68,84, , ,99, , ,46,49,43, ,20,76,53,27,14,96, ,5
3,46, ,45,75,67,94,60,12,55,65,82,21, ,17,19,9,14,10,1,52,98,40,29,35,34,76,6,65,63,73, ,83,21,15,41,50,45,28,48, ,58,29,86,5,40, ,13,42, ,63, ,62,18,64,31,33,1,39,68,30,79,45,18,98,55,24,25,68,99,8, ,42,27,49,49,2,3, , ,4,50,13,89,30
73,75,82,32,17,5,32,91,9,21,47, ,98,81,80,33,59,33,90, ,15, ,21,91,16,86,48,60,63,64,61, ,95,90, ,55,75,10,12,57,8,31,87,91,53,6,0,64,63,21,2,61,31,10,3,48,42,7, ,99,12,83,55,95,15,8,64, , ,18,53,17,11,64,37,49,71,93,93,7,36, ,45,16,47
50,12,79,24,98,47,64,64,78,20,26,63,62,52, ,0,91,51,41,27,83,99,6,40,62,53,86,54,26,87,3,43,49,98,79,43,69,40,26,9,40,80,27,61,97,58, ,2,86,95,76,21,91,80,90,77,2,60,68,90, ,40,92,83,64,83,57,64,97,79,19,42,42,60,52,63,46,55,80,27,19,88,17,75,81
80,94,99,6, , ,14,33,76,0,28,2, ,90, ,42,72,54,23,75,86,84,41,69,59,63,2,87,39, ,63,37,57,17,84, ,8,67, ,8,18,51,46,66,99,77,64,11,5,62,78,89,55,31,93,40,23, ,70,41, ,12,28,27,78,8, ,86,45,44,81, ,21,94,25,15,11,30,10,1,0,71,21,95,73
55,28,44,82,95,8,37,35,45,27,84,26,36,82,59,79,18,63,57, ,52,10,92,98,76, ,23,16,85,99,86,24,73,72,5,84,82,17,32,44,25,80,18,99,50, ,36,96,30,74,43,52,86,68,24,75,43,98, ,95,87, ,60,46,83,94,44,62, ,48,58,14,55, ,20,11,24, ,70,52,39,36,3,61,57
32,48,86,66,93,62,96,47,59,92,70,21,47,2,68,67,66,91,78,94,42,94,23,39,60,95,63,39,42,20,2,11,3,20,59,53,71,42,90,78,13,83,92, ,35,8,67,57,0, , ,20,35,44,65,74, ,26,93,38,33,20,35, ,32,3,84,14,33,27,33,16,40,34,28,39,77,34,1,42,25,65,6,14,29
17,35,71,68,77,50,10,82,4,46,16,93,81,62,40, ,57,73, ,49,33,56,43, ,25,17,59,25,58,12,70,99,46,18,48,70,78,64, ,32,66,92, ,57,36, ,49,78, ,41,32,25,5,88,94,46,85,0,14,37,75,88,23,62,39,86,63,51,8,52,92,37, ,38,35,47,90,95,45,36,99,13,3,22,34
