Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10
27,96,27, ,47,75,70,40, ,0
83,63,2,56,68,11,65,96, ,24
39,61,5,54,66,46,69,59,58,39
 ,96,36, ,32,40,74,27,94,68
79,34, ,3,89,40,24,70,42,84
38,29,83,21,3,86,34,86,51,42
75,37,19,22,13,51,15,46,90,17
22,45,25,17,21,19,43,97,64,24
26,29,56,39,43,40,60, ,86,39
39,83,42,34,4,29,80, ,21,87
8,18,96,33,65, ,29, ,13,0
61, ,15,41, ,53,0,78,72, 
 ,75,88,42,70,5,60,38, ,97
 ,38,84,48,33,93,23,75, ,63
84,9,16,77,31,33,35,67,63,15
 ,42,99, ,75,35,2,49,37,5
 ,36, , ,48,33,65,30,86,58
38, ,2,0,8,16,16,60,59, 
24,30,37,50,11,41,23, ,85,9
88,36,64,27,59,98, ,20,68,14
 ,26,68,80, ,66,27,19,88,9
52,0,32,50,6,11, ,38,95,43
55, ,86,94,33,31,25,77,22,14
64,92,43,14,27,33,75, ,62,41
16,0,49,37,7,91,12,73,56,2
31,81,97,81,58,28,46,33,13,72
 ,64,31,75,33,21,10,61,41,26
95,30,95,3,74,65,94,98,6,45
52,20,10,9, ,36,15,85,81,88
20,39,58,14,75,29, ,96,4,18
59,49,53,0, ,46,89,91,83,98
34,84,90,59, ,66,42,84,40,27
77,87,32,96, ,47,34,35,45,44
52,71,16,82,38,36,98,66,12,0
58,35,29,12,96,79, ,50,48,30
86,93,49,32,85,53,11,95,30,16
61, ,10,35,52,87,69, ,35,77
42,20,22,97,35,84,33,24,56,53
81,1,7, ,42,73, ,36,67,62
78, ,62,27,73,64,99,84,81,44
73,52,97,84, ,43,57,88,84,78
 ,24,14,36,61,76,39,93,97,16
18,25,65,97,31,95,47,80,45, 
6,38,75,6,86,83,14,92,56,21
71, ,94, ,75,33,28,28,53,54
70,56,8,44,95,41, ,13, ,7
30,45,77,5,39,9,18,35,33,45
46,79,57,1,95,10,93,91,28,75
54,63,65,47,43,77,34, ,91,78
6,34,81,24,18,27,75,49,77,96
92,54,24,59,21,40,26,61,64,58
6,69,98,30,68,53,17, ,42,1
40,98,65,29,37,31,21,88,16,34
76,46,79,78,74,80,19,84,52,58
29,9, ,98,25,89, , ,65, 
20,53,79,9, , ,83, ,42,37
66,41,43,71,84,84,74,70,70, 
4,51,67,85,77,12,8,52, ,18
77,98,53,77,47,88,52,51, ,86
5,99,75,18,80,46,39,23, ,97
26,27,44,77,51,83, ,48, ,23
48,96,97,51,45,49,31,87,91,38
28,75,98,59,19,21,34,79,39,78
83, , ,4,73,47,63,2,88,28
7,31,15,47,98,25,72,4, , 
16,4,10,40,7,14,76,82,50,74
 , ,85,48,26,58,62,47,39,34
70,7,76,5,92, ,66,50, ,68
97,40,45, , ,69,50,49,45,5
42,81,67,0,89,60,26, ,67,97
44,40,41,65,89,68,65,93,47,0
 ,39, ,66,30,1,3, ,43,61
26,76,91,14,81,18,14,34,16,20
43,4,57,91, , ,88,76,88,53
40,16, ,31,83,62,6,39, ,11
21,17, ,6,33,61,25,42,80,9
46,98,88,74,64,39,67,99,99,74
77,35,99, ,79,72,25,89,53,9
58,20,22,39, ,45, ,22,33,33
88,90,4,25,51,88,60,15,87,45
61,72,7,93, ,26, ,39,69,59
38,74, , ,74,16,23,88,72,44
 ,37,75,73,4,53,76,86,23,57
 ,43,50,38, , ,99,91,33,31
86,2,69,78,37,41,22,39,76,32
 ,83,28,17,12,15,16, ,19,63
19,64,51,61,52,80,52,68,37,96
60,37,44,84,70,63,47,51, ,13
67,70,4,21,17,80,30,77,52,85
16,79,80,58,21,69,22,41,20, 
38,90, ,97, ,50,49,17,46, 
53,43,53, ,76, ,2,66,12,2
61,44,50,74,63,63,21,70,91,78
0,58, ,25,18,17,85,52,68,85
61,48,64,19,55,8,43,69,47,61
19,74,96,15,25, ,87,97,7,55
18,45,42,98,33,50,12,74,25,33
28,39,77,51,0,22,5,48,55,36
39, ,52,63,41,3,93, ,8,9
0,66,29, ,77,47,55,63,24,58
85,52,30,26,55,11, ,21,64,53
28,4,28,15,64,29,16,4,59,30
6,73,13,3,46,35,29,26,79, 
 ,73,95,87,94,50,8,97,79,76
89,39,97,63,27,67,86,17,30,80
52,50,89, ,68,19,47,90,40,35
87,31,64,62,2,26,19,78,48,22
 ,42,32,57,24,40,4,21, ,93
29,79,23,15, ,63,1,12,47,28
49,21, ,25,63,92,87,53,79,65
78,58,46,18,86,19,12,12,16,11
13,37,27,68,68,2, ,61,25,71
86,36,47,89,26,62,41,45, ,36
1,45,51,65,50,75,52,3,58,19
40,70,89,93, ,29,32,89,84,2
63,64,20, ,50, ,70,88,12,8
29,80, ,13,75, ,88,66,19,83
6,90, ,61,53,93,87,19,23,14
71,86,78, , ,57,14,54,89, 
50,51,68,17,61,34,61,12,56,30
77,52,76,79,39,6,48,19,0,27
84,2,32,97,76,83,89,79, , 
74,31, ,79,36,39,23,58,3, 
18,7,30,49,27, ,14,60,18,57
81,94,66,21,4,29,44, ,39,22
81,17,64,28,22,63, ,56,72,33
 ,37,78,64,91,71,92, ,9, 
 ,50,36,97,73,72, ,6,25,60
4,13,28,9,38,29,0,9,80, 
37,85,51, ,92,61,90,78,61,88
26,43,86,0,78,27, ,32, , 
 ,45,45,28,72,40,13, ,40,47
42,97,69,66,96,75,82,70,78,87
50,54,7,88,39,44,26,21,19,76
88,40,84,29,89,77,11,23,15, 
55,11,74, ,70,49,89,98,8,42
46,55,71, ,94,71,52,54,65,17
0,74,80,46,21,52, ,84,99,82
50,27,20,12,19,1, ,92,89,32
83,65,13,20,41,10,26,23,98,95
97,85,79,63,51,3,49,72,10,91
69,48,80,79,49,62,12,90,25,59
49,12,32,61,77,94,54,42,14, 
64,76,9,2,50,61, ,24,3,24
0,18,49, ,92,50,21,12,26,22
24,84,99,10,92, ,57,67,62,48
10,49,78,38,91,99, ,71,69,93
 ,85,76,15,18,61, ,71,25,1
35,82,76,80,7,20,30,87,8,93
48,13,46,38,82, ,18,44,94,94
54,63,74,43,2,45,22,69, ,54
 ,37,98,34,69,90,72,8,1,29
35, ,81,41,57,60,55,49, ,5
36,35,39, ,47,74,73,66,37,94
44,58,63,0,86,18,31,29,32,31
80, ,53,76,62,53, ,4,73,13
80,68,93,91,59, ,90,39,15,19
52,16,22,10,58,35,58,1,28,48
 ,73,51,49,93,66,95,2,70, 
92,88, ,46,82,91, ,41,25,97
1,96,11,39,86,30,50,21,51,86
84,6,41,14, ,12,1,66,68, 
27,25,10,81,15,33,48,91, ,32
0,2,67,70,49, ,34,19,25,35
 ,51,94,88,44, ,77,99,47,43
82,99,61,88,93,10,20,80,65,49
79,75,37,32,87,34,53,92,68,96
93,91, ,72,42,23, ,16,42,70
 ,58,72,3,21,75,15,95,28,98
84,7,61,24,35,27, , ,60,15
95,83,38,9,19,44,38,59,37,39
77,40,85, ,46, ,10,42,12,91
15,59,29,87,44,8, ,85,27,45
81,27,2,30,80,87,26,60,27,73
3,25,85,48, ,94,83, ,71,91
84,13,73,69,26,93,13,98, ,84
34,51,93,15,6,8,88,22,53,28
89,81,40,88, ,72,98,81,63,42
23,89,34,54,23,23, ,49,96, 
84,35,99,28,61,96,72,50,51,32
79,24,66,52,27,30,12,69,99,91
89, ,62, ,24, , ,66,12,83
22,38,79,61,35,2,29,96, ,61
90,6,77,16, ,7,55,78,79,63
48, ,51,1,30,28,1,68,68,71
4,93,2,25,3,59,31, ,83,19
22,56,41,82,44,20,32,23,69,3
50, ,95,83,0,31,98,86,12,95
 ,22,36,50,33, ,37,58,11,42
66,71,73,69,83,21,44,1, ,56
24,98,28,90, ,45,93,38,10,35
71,62,97,20,35,55,8,12,75,32
95,22,88,53,72,79,8, ,5,56
84,61,50,9,82,23,3,33,89,45
67,67,42,48,58, ,42, ,39,22
87,57, , ,11,53,44,89,33,23
65, ,24,78,22,6,16,6,13,37
29,27,30,19,59, ,35,37,66,38
36,38,49,62,7,7,9, ,40,36
67,36,30,71,45,29,22, ,77,11
82,20,2,84,70,48,77,67, , 
83,91,94,90, ,68,98,50,29,20
25,31,80,12,29,97,7,67,57,66
24,82, ,33,73,61,99,65, ,27
97,71,32,57, ,14,21,62, ,85
45,73,87,19,72, ,99,52,73,88
5,6,26,49,84,74,7,57,88,46
36,24,2,92,25,28,70,52,63,85
63,31,60,98, ,44,89,43,48,17
46,52, , ,30,50,51,96,28,71
65,70,38,56,85,2,29,2,27,69
37,90,17,99,54,63,91,29, ,86
78, ,81,64,2, ,71,92,41, 
28,56,52,2,53,74,18,25,1,30
91,57,4,39,48,5, ,62,54, 
98,95,83,58,24,17,25,86,55,89
87,15,16,55,71,39,74,42,49,67
60,27,93,68,5, ,93,59,13,42
48,30, ,65,12,60,88,64,7,30
6,34,29,9,45,57,34,66,92,11
46,84,94,50,7,78,16,63,44,61
 ,19,93,91,49,57,70,38,24,55
95,4,52,72,61,60,5,76,36,44
 ,1,62,78, ,67,82,57,71,3
9,89,16,48,93,61,70,39,15,89
26, ,8,62,90,98,81,23,80,99
12,34,55,89, ,60,86,11,95,52
20,89,7, ,58,97, ,10,41, 
29,64,11,18,30,94,61,81,74, 
28,52,12,68,52,82,39,14,44,90
64,37,61,6,97, ,25,94,69,55
56,74,5,21,52,67,20,33,27, 
76,94,78, ,65,16,12,87,80,94
69,57,43,3,23,33,7,70,64,38
43,51,29,42, ,36,0,70,26,40
71,36,78,17,87,42, , ,69,27
 ,37,16,40,19, , ,18,39,66
68,4,76,15,26, ,65,71,78,62
52,47,90, ,20,37,42,76, ,53
93,18,12,48,29,95,55,55,78, 
26,75,52,69,65,83,41,76,44,97
89,24,80, ,83, ,2,47,40,96
29,57,19,45,47, ,45,44,42,50
62,64,36,90,81,11,20,48,93,80
95,44,89, , ,15,46, ,10, 
51,44,3,23,29,58,19,11,10,55
44,31,26,37,88,51,71,73,52,98
69,4,97,4,71,7,26,75,15,73
71,44,21, ,73,16,83,59,71,77
45,85,63, ,16,49,44,14,63,6
9,96,4,23,41,54,44,6,54,42
70,61,12,3,12,56,30,86, ,9
64,67,52,91,13, , ,91,46,5
 ,81,18,56,90, ,13,96,60,63
22,71,75,21,64,73,90,51,0, 
49,23,91,29,34,33,15,18,63,73
55,3,32,77,86,37,44,67,35,5
90,18,27,57,28,21,73,10,11,62
52,32, ,0,96,38,87,86,5,50
51,17,55,46,53, , ,85,82,83
14, ,53,67,34,36, ,32,93,46
91,8,25,96,53, ,37, ,18,62
10,1,29,82,70,11,24,9,48,64
46, ,40,86, ,29,40,5,11,1
97,70,87,11,28,32,5,11,19,16
41,80,85,22,20,91,95,25,57,80
 ,12,3,91,10,49,0,59,80,4
64,69,23,7,89,87,42,55,90,79
 ,28,7,39,4,93,48,51,45,38
72,39,26,3,29,51,58, ,65,50
8,47,82,43,13,51,98, ,46,43
34,0,4,66,24,65,79,25,82,13
8,48,38,79,45, ,79,34,0,32
18,82,82,22,65,66,25,9, ,93
29, ,62,99,84,91,16,18,6,81
54,46,8,27,73,12, ,51,64,55
 ,55,70,63,70,90,99,99,65,19
26, ,38,66,1,59,92,11,84,10
54, ,7,9,27,14,67,40,79,99
87, ,44,43,69,39,2,60,1,76
68,22, ,62,50,42,12,80,74,85
72,69,15,13,65,58,23,94,27,95
0, ,12,7,42,39,84,42,68,50
71,9,28,38,45,63,96,51,70,63
70,86,55,92,34,74,47, , ,2
44,84,72,10,89,84,94,55, ,11
2,43,9, ,93,69,85,45,22,50
43,14,93,82,89,60, , , ,40
90,99, ,96,17,43,60,73,34,31
97,78, ,38,2,27,40,76, ,80
79,77,38,16,42,99,80, ,58,96
68,32,42,14,11, ,46,97,22,63
47, ,47,71, ,29,65,95,59, 
31, ,42, ,89,25,47,77, , 
 ,56,49,32,26, ,22,65,71,20
39,26,72,43,13,7,3,79,35,99
5,21,61,43,83,31,11, ,83,95
 ,16,46,97,86,5,47,83,39,55
77,47,62, ,14,77,45,26,48,55
32,79,36,2,30,61,25,60,62,1
60, ,6,13,27,19,92,80,44,14
1,10,87,75, , ,22,55,38,79
25,11, ,4,89,97,30,62,57,79
53,42,22,3,31, ,83,10,35, 
 , ,16,69,32,37,10,59,17,12
95,63,81, ,72,6,96, ,5,83
69,8,6,24,83,67,82,13,90,13
67,8,88,72,38,69,71,14,97, 
81,12,63,91,65,22,53,75,1,1
 ,56,36,44,7,90,23, , ,34
92, ,78,72,80,60,38,78,18,4
88,53,46,52,69,51,46,14,61,57
35, ,73,2,97,45,35,98,47,17
 ,72,83,11,44,84,15, ,39,99
35,89,42,82,89,45,95,79,2,22
43,84,11,65,98,93,62,14,8,45
28,5,9,34, ,57,27,96,64,38
0,9,65,48,1,15, ,6,98,90
27,90,1,35,9,12,37,34,81,20
28,68,41,33,90,72,98,57,7,74
30,41,3,38,3,37,25,60, ,94
 , ,78,16,47,48,91,71, ,38
81,66,36,17,9,29,72,61,13,7
97,3,16,9,73,77,26,39,48,25
35,48, ,9,4, ,59,32,95,29
44,53,58,65,42,55,72,23,99,30
18,6,49, ,45, ,50, ,3,31
19,25,84, ,75,27,30,74,50,26
18,44,37,38,98,42,11,7,56, 
32,80,48,81,88,24,80,32,28, 
39,17,5, , ,74,13, ,31,50
45, ,34,1, ,92,62,81,60,6
11,95,10,38,47,44,49,30,24,28
0,2,42,51, , ,45,93,25,45
40,33,91,75, ,99,38,48,49,2
63,22,50,15,49,37,59,47,22,19
41,93,67,40,53,50, ,72,99,54
45,27,32,6,80,96,78,19,83,98
15,50, , ,71,20, ,65,7,31
32,46,5,48,92,5,5,68,57,36
73,0,5,97,92,79,37,93,98,63
48,45,75,1,15,13,63,88,80,83
14,96,88,94,32,78, , ,35,38
35,74,43,62,7,17,15,53,84,2
28, ,7,64,51,69,2,61,66,13
7,15,72,52,32,86,22,47,37,60
78,76,53,32,38,19,2,45,82,59
91,25,67, ,5,4,62,72,88, 
9,22,95,63,0,38,61, ,86,73
88,43,74,28,49,58,27,47,3,19
72,83,27,37,59,73,90,41,23,12
 , ,98,77,70,18,26,56,23,24
98,72,31,89, ,13,39,29, ,44
30,68,5,40, ,64,29, ,13,17
59,17,20, ,6,36,34,22,92,55
11,93, ,22,8,98, ,57,97,54
71,46,52,32, ,24,85,58, , 
66, ,75,32,44,35, ,90,6,46
4,46,57,25,84,46,17,19,88, 
90,76,71,15,17,17,72,78,2,77
34,91,78, ,31,29,82,92, ,4
0,91,54,61,15,83, ,18,1,32
88,98,80,76,89,77,6,5,53,85
85,69,59,31,31,66, ,64,7,14
35,57,27,54,9,36,10,65,45,19
84,72,9, ,16,58,17,54,7, 
 ,20,95,55,81,27,63,19,6,55
68, ,27,42,23,13,29, ,75,71
49,74, , , ,7,17,39,0,85
80,34,36,38,19, ,87,72,17, 
5, ,13,41,7,45,87,0, ,4
54,17,37,61,32, ,79,26,36,33
84,79,61,3,81,66,64,51,48,0
43,71,10,88,38,25,64,53,71,86
66,87,63,70,50, , ,70,17,33
29,28,94,59,18,4,85,58,2,11
34,45,55,32,97,78,38,81,0,81
72,23,56,29,4,33,2,37,94,30
36,19, ,0,16,88, ,74,70,41
 ,45,23,43,22,96,31, , ,7
56,10,50,7,73,34,7, ,52,19
18,60,18,50,81,14, , ,95,73
26,67,70,99,68,80,91,9,19,5
34,60,72, ,67,46,53, , ,53
45,71,39,89,69,58,47,32,88,7
54,21,37,84,20,70,97,64,1,76
96, , ,62,78,83,46,60,39,42
65,62, ,59,94,79,72,45,20, 
22,20,54,44,33,12, ,78,70,69
92,26, ,99,59,43,76,18,72,62
 ,96,99,10,13,91,11,47,56,38
 ,45, ,21,89,61, ,79,77,47
91,63,16,85,94,56,62,78,60,28
39,11,27,49,71,54,22,36,65,40
45, , , ,95,93, , ,84,55
16,35,18,75, ,94, ,59,36,84
37,66,6,77, ,61,59,55,83,24
52,72,23,6,5,47, ,39,96, 
73, ,35,28,90,66,58,19,56,87
72,29,99,63,73,85,33, ,69,36
5,19,29, ,93,57,83,33,30,81
71,53,94,37,56, ,9,10,29,31
33, ,15,8,87,80,32,24,8,74
21, , ,40,69,84,1,43,83,65
7,31, ,63,47,48,25,87,91,97
 ,66,26,34,59,29,10,77,25,5
 ,55,12,8,37,46,46,1,90,11
28,90, ,27,80,29,19,41,89,42
60,35,89,95,89,76,93,40,44,76
21,10,82,74,74,60,60,29,94,14
 ,90,83,75,40,5, ,11,4, 
 ,65,96,36,20,5,90, ,80,35
6,94,54,13, ,90,5,2,20,95
55,23,32,80,95, ,60,78,46, 
60,65,74,68,41, ,37,31,71, 
86, ,82,87,62,96,98,69,16,25
88,29, ,66,9,97,7,74,65,13
1,4,78,80,71,54,88,88,35,93
75,47,74,8,60,48,2,72,8,10
53,38,21,9,81,1,93,39,70,8
71,92,9, ,17,65,72,35,50,25
45,9,22,42,28,98,62,52,64,91
37,78,86,25,77,44,79,25,11,92
58,98,45,57,68,91,5,16,84,28
93, ,73,10,36,67, ,57,57,26
13,63,1,74,60, ,88,53,7, 
17,23,68,31,75,29, ,42,66,99
22,96, ,84,30,10,32,58,23,56
53,42,34,25,12,31,94,44,25,80
75,13,19,64,99,97,52, ,86,61
98,49,29,91,23,85, ,77,3,65
39,88,18,77, ,63,45,50,9,92
86,21,95,49,21,53,85,78,37, 
91,64,92,59,36,80,25,59,91,46
98,33,77,65,89, ,81,64,24,48
27, ,65,89,11,1,61,49,87,48
26,38,19,90,94,57,9,99,58,99
71,27, ,77, , ,76,30,79,33
48,44,99,39,50,3,13, ,14,44
77,2,49,12,23,98,18,18,40,88
19,88,16,71,62,45,88,21, ,33
16,1,22,8,82,59,97,54,78,28
78,54,32,39,95,74,77,1, ,9
0,30,84,22,71,70,16, ,34,39
18,47,46, , ,24,58,87,26,29
76,91,41,31,8, ,48,21,87, 
12,77,69,34,81,10, ,86,72,24
32,54,82,38,85,18,39,92,70,11
9,38,53,3,27,72,7,58, ,97
 ,24,31,13,41,51,11,25,81,76
 ,3,78,19,21,36,3,42, , 
28,47,58,24,26,1,51,11,99,17
95,27,57,83,46,6,74, ,33,11
81,55,37,98,41,9,83,87,5,98
 ,65,40,65, ,20,26,26,89,24
56,76,25,13, ,18,72, ,38,37
0,51,5,24,60,95,2,50,17,38
89,50, ,74,22,56,10,52,27,56
91,54,73,27,23,89,92,5,86,33
90,10,12,33,93,99,61,60,59,86
91,38,78,98, ,32, , ,84,34
48,40,74,0,85,87,21,64,9,75
47,78,15,2,9,47,12,96,11,13
 ,0,52,35,80,25,32, ,11,7
82,51,74,17,49,68,26,64,52,31
16,27,48,65,77, ,60,25,63,8
37,3,63,65, , ,92,18, ,70
78,16,7,16,14,59,15,41,97, 
0, ,55,68, ,76,98,74, ,30
39,37,54,57,92,21, , ,90, 
45, , ,86,52,92,18,58,80,96
59,91,86,49,30,65,1,37,67,44
9,47,78,87,10,93,77,98,75,39
36,85,16,22,48,4,3,85,58,40
56,39, ,37,94,37,22,86,60, 
44,48,15,2,33,73, ,29, ,63
6,21,99,14,8,3,56,76,98,57
93,60,64,96,58,99,23,57,42,66
46,70,18,8,39,17,56,0,68,93
58,91, ,48,56,70,66,78,59,78
 ,45,97,71,23,95,66, , ,34
6,80,9,94,66,9,43,57,80, 
52,14,47,58,42, ,66,73,51,35
33,10,94,29,42,6,62,47, ,78
8, ,43,54,33,0,51,70,77,15
16,17,90, ,37,88,49, ,80,24
58,40, ,91,96,70,68,78,95,16
82,11,70,68,41,32, ,89,26,8
12,89,29,52,62,71,36, ,8,10
3,86,28,25,80,53,53,89,43,80
18, ,57,95, ,91,56,70, ,98
56,77,97, ,12, ,55,59,42,24
64, ,43,23,7,42,92,95,16,34
44, ,24,83,57,77,24, , ,85
54,20,27,40,54,82, , ,92,36
59,0, ,78,70,0,5,55,34,16
44,48,65,32,89,77,49,7,42,65
5,14, ,70, ,75,9,0,41,54
7,63,50,82,80,43,39,12,60,25
7,79,19,75, , ,34,73,38, 
21,93,25, ,75,40,43,98,65,68
57, ,3,81, ,79,70,17,85,78
51,75,90,57,70,66, ,24,54,55
84,16,72,98,93,3,13,94,49,62
84,5,94,6, ,62,42,1,37,20
4,67,97,17,74,66,15, ,39, 
46, ,8, ,73,70,93,74,75, 
72,37,42,42,84,74,40,70,27,18
52,46,95,39,13,13,49,62,19, 
 ,98,27,43,76,76,46,97,93,32
86,14,32,51,55,99,74,22,38,99
36,10,4, ,98,9, ,55,87,9
82,9,66,81,85,54,34,59,74,52
62,61,39,39,4,64,13,69,57,68
69,26,13,49,50,41,53,5,19,20
93,10,58,85,29,58,76, ,89,52
22,19,8,40,41,21,78,75, ,54
81,23,82,26,89,39,21,87,2,96
51,25,59,91,97,13,29,20,37,98
45,94, ,82,34,18,44,64,59,52
94,17,28,94, ,41,18,77,54,95
44,96,33,46,55,47,37, ,11,31
15,48,41,32,90,51,86,64,73,16
16,15,96,52,36,14,6,6,98,3
81,57,94,37,82,35,12,73,13,17
 ,31,16,9,92,68,28,38,18,33
41,22,99,13,87,26,48,39,51,29
 ,98,25,63, ,23,26,43,5,22
51,58,47,35,72, ,2,33, ,59
19,63,38,8,39,24,33,72,52,99
7,74,74,77,61,99, ,62,57,31
93,63,78,28, , , ,79,42,0
60,92,15,2,54,92,57,1,94,81
85,25,21,90, ,90, ,68,41, 
43,19,9, ,41,28,86,69,61,6
99,46,87,79,0,39,64,85,67, 
 ,43,43,98,2,7,42,6,67,16
50,67,82,47,65,82, ,25,66, 
79,72,67,95,4,69,9,37,10,8
88,72,99,96, ,51,41,98,78,24
18,22,95,77,52, ,10,55,58, 
54, ,6,81,91, , ,34,24,69
17, ,90,40,74,26,86,34,48,48
55,33,60,0,64,77,39,71,54,0
40,86,8,68,94,98, ,32,42,16
36,28,77,36,72,8,89,87,43,85
3,98,85,69,3,78,23, ,1,40
98,16,78,88,95,80,1,94,67,24
28,74,33,73,7,43,3,6,12,76
93,3,40,49,23,3,84,21,59,52
8,73,56,93,75,76,27,63,78,75
86,55,57,88,70, ,78,57, ,37
63,53,82,21,47,58,2,1,16,33
