Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47
27.15,30.31,281.61,184.65,55.52,258.71,206.34,32.03,122.31,160.90,130.97,92.10,158.18,97.75,129.19,166.82,106.31,150.82,219.23,270.34,131.57,181.03,241.57,26.17,5.95,117.94,254.91, ,113.09,152.12,88.87,191.12,175.28,96.03,7.47,233.54,263.06,163.26,104.15,27.14,82.27,285.97,169.12,273.56,155.69,6.51,194.65
189.77,285.86,33.12,117.29,275.56, , ,81.31,215.13,101.42,22.66,216.59,283.40,173.99,15.83,83.66,78.12,280.40,259.23,57.32,280.17,156.86,171.70, , ,46.63,84.23,231.61,261.08,190.96,54.10,15.57,117.27, ,97.66,70.41,214.98,91.35,3.79,119.56,243.57,288.59,290.62,19.40,18.96, ,154.03
 ,169.60,206.44,237.45,120.95,115.28,154.79,283.80,107.40,100.54,9.75,138.76,147.02,291.80,92.58,20.01,263.36,207.35,152.89,173.90,152.67,9.79, ,293.59,3.22,266.59,106.71,192.96,202.74,98.88,143.70,88.73,236.42,132.14,131.24, ,105.09,269.30,137.07,108.46,168.35,269.70,12.12,115.50, ,166.63,296.89
 , ,235.12,63.97,233.78,44.21,0.29, ,115.16,48.33,14.01,129.04,139.23, , ,260.35,121.36,234.18,69.57,66.81,83.77, , , ,44.82,52.10,94.42,276.36,76.99, ,60.70,288.24,286.99,7.11,127.02,240.04,261.09,93.73,140.93,23.83,269.47,71.30,97.51,173.85,211.28,262.63,99.15
41.81,199.46,194.49,290.21,223.08,141.39,296.16,241.46,1.52,23.07,108.41,207.11,236.13,49.14,90.37,149.63,234.43,181.10, ,171.31,298.66,104.85, ,87.17,138.76,167.84,161.50,282.40,258.52,187.00,117.29,155.95,109.55,16.02,219.31,161.96,90.26,287.63,103.35, ,242.10,230.49,24.98,86.33,165.27,280.59,122.16
28.88,67.51,105.11,38.58,220.12,286.97,208.98,8.05,155.34,147.26,54.08,292.58,265.83,145.28,30.78,204.39,56.52,178.93,30.06,58.34,138.87,154.88,137.99, ,293.33,178.89,167.16,71.75,16.96,152.85,260.37,167.78,176.81,198.97,169.75,96.77,255.36,274.82,280.07,34.85,250.83, ,118.00,124.31, ,53.91, 
14.28,113.00,275.53,233.28,122.44,110.74,5.12,217.20,232.88,43.18, ,256.91,123.78,83.17,203.61,227.78,151.36,261.84,2.03,118.96,36.97, , , ,79.55,182.18,251.50,218.72, ,177.58,104.05,30.42, ,258.20,249.19,118.34,286.74,253.83,69.83,129.46,296.40, ,178.58,197.22,140.16,286.21,235.56
278.49,97.92,224.19, ,208.89,160.39,105.62,198.36,236.78, ,233.18, ,111.76,67.58,298.45, ,16.19, ,294.68,90.08,47.81,96.52,117.25,152.34,71.14,98.33,78.53,241.10,193.32,173.65,268.55,182.98,188.28,162.61,164.25,253.97,297.19, ,114.44,21.11,78.55,135.64,150.34,27.57,51.93,39.35,48.98
195.80,99.73,82.04,100.67,236.66,31.92,181.50,294.56,183.67,274.42,159.58,177.92,290.47,267.59,242.67,241.26,236.00, , ,23.68,52.77,188.30,247.50,231.04,272.41,15.17, ,174.76,11.96,62.06,29.50,184.48,33.15,282.07,97.85,97.82,52.88,161.72,5.66,68.62,203.93,262.89,17.37,222.36,199.56,271.14,76.31
275.12,178.58,183.59,257.30,249.85,39.58,147.76,43.08,292.96,99.71,97.77,93.50,146.41,4.55,222.12,273.18,190.31,154.43,128.19,55.32,121.91,189.61,140.14, ,133.10,285.76, ,102.85, ,249.26,2.15,97.63, ,294.86,191.75,47.22,261.02,97.99,197.43,52.60, , ,170.67,224.42,77.46,142.07,276.52
