Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84
244.25,296.22,204.78,194.73,126.05,39.33,265.82,215.87,116.84,111.10,57.31,119.50,14.23,140.27,138.75,30.94,193.42,135.58, , ,149.17,63.89,90.86, ,96.40, ,103.00,167.48, ,60.90,76.40,7.91,136.67,220.98,64.08,160.48,56.29,142.87,258.33,76.95,289.06,286.43,251.28,96.32,84.19,20.88,54.95,40.93,282.19,124.77,112.44,23.35,22.02,240.14,207.14, ,76.80,137.12,119.31,216.75,90.93,183.01,11.87,206.49,291.09,33.86, ,130.20,288.59,118.13,110.04,52.53,221.23,150.66,294.54,11.30,157.93,185.93,174.52,11.44, ,121.48,273.24, 
 ,109.62,104.16,147.34,121.82,7.74,182.26,119.77,15.18,285.85,53.83,214.40,267.61,250.54,178.21,112.10,141.78,222.65,277.10,199.03, ,298.76,238.52,262.46,276.14,243.61,103.72, ,113.15,92.38,99.60,59.72, ,283.68,23.75,82.26,3.83, ,155.06, ,75.43,226.93,49.65,110.27,258.74,151.82,269.95,259.95,128.84,172.68,155.50, ,10.45,144.67,4.13,212.27,45.96,61.01,168.56,163.63, , ,159.58,196.94,215.43,247.43,37.87,62.38,274.60,225.72,49.86,125.62,285.21, ,72.64,70.67,28.88,1.40,129.13, ,117.59,244.94,296.68,139.37
 ,267.35,48.80,274.75,276.15,81.00,149.55,269.01,279.79,162.73,48.49,24.80,72.47,295.71,143.62,118.83, ,101.61,273.95,157.15,122.02,158.31,143.79,213.27,108.79,254.56,47.58, ,231.40,56.74,128.04,18.97,251.47,60.27,287.89,58.50,33.17,230.99,53.13,153.01,214.92,292.51,91.85,244.89,197.33,256.19,87.34,85.29,236.01,59.48,292.62,177.24,1.46,105.48, ,273.27,219.50,127.44,212.73, ,151.03,235.70,232.01,20.18,202.50,128.47,230.68,180.14,91.36,220.32, ,173.58,226.92,2.65,54.14,178.96,8.27,36.26,149.04,14.35,148.30,40.61,15.15, 
280.52,148.39,273.67,8.01,44.28,282.07,182.47,274.75,70.86,36.25,8.57,21.75,287.54,295.56,39.83,31.93,33.14,173.82, ,139.52,172.45,186.49,187.95,223.02, ,229.09,289.91,268.71,30.95,176.89, ,142.64,15.00,108.74,60.19,260.85,5.03, , ,43.15, ,202.39,12.22,37.07,139.86,55.63,5.95,21.07,26.09,54.17,19.08,15.58,210.01,247.08,152.90,159.96,203.98,205.92,261.84, ,172.82,144.78,94.74,1.87,220.10,154.69,160.98,278.10,213.84,175.68,254.35,20.88,98.16,220.44,97.68,252.37,15.79,293.88,117.24,83.40,22.32,295.97,161.63,173.34
218.82, ,239.17,20.54,140.78,74.00,216.50,278.60,297.54,143.32,158.34,83.07,198.99,220.02,264.95,182.08, ,58.47,115.34,208.37,6.24,12.97,232.89,177.89,0.15,181.62,129.45,121.10,29.47,177.37,140.31,12.28,132.18,10.07, ,2.98,141.53,149.06,172.90,202.37,19.69,188.91,21.09,31.16,185.62,68.24,57.00,165.21,184.06,101.76,227.13,202.76,123.56,204.66,105.68,177.12,208.07,86.97,69.48,42.58,245.34,68.90,178.37,89.90,9.93,25.26,286.37,292.77,253.48,64.07,241.41,238.23,154.04, ,226.24,225.15, ,236.33,96.10,27.85,45.97,221.96,235.02, 
263.57,32.51,156.47,255.80,107.82,234.62,207.38,59.82,237.02,137.42,6.62,150.05,161.77,100.49,156.20,106.13,131.98, ,232.03,54.49,24.37,79.41,260.85,168.22,250.02,76.09,89.01,177.21,282.72,184.00,244.75, ,189.93,206.27,87.17,95.18,295.53,173.22,247.96,150.55,259.29,149.22,66.67,291.78,34.33,51.90,117.97,251.79,255.49, ,76.10,33.96,242.10, ,199.07,28.89,251.85,254.29,43.13,259.73,256.49,18.38,201.68,282.42,99.63,177.97,227.07,209.71,163.84,11.47,155.42,268.45, ,234.91,278.46,169.75,23.26,286.29,150.00,69.31,293.94, ,149.36, 
287.21,157.94,246.63,160.84,164.65,196.61,187.53,199.06, ,226.40,199.75,228.42,209.90,3.44,296.86, , ,158.91,235.31,235.17,112.04,220.35,30.28,202.96,82.10,226.56,224.27,287.60,263.64,193.34,149.73,189.51,263.30,252.36,59.75,264.89,209.89,283.11,56.27,25.45,186.48,36.39,151.73,64.68,244.33,274.10,242.46,24.64,9.63,291.91,143.64,127.59,261.90,167.59,195.37,219.55,91.57,52.03,32.75, , ,146.08,242.81, ,283.28,244.88,259.85,178.48,115.42,64.59,190.74,19.14,124.51,283.49,13.72, ,162.77,175.01,4.84,283.40,201.29,185.30, , 
52.23,214.31,52.25,15.53,47.95,77.90,217.88,240.19,297.08, ,152.47,163.48, , , ,13.64,60.75,143.31,25.69,53.78,194.98,4.09,287.06,103.98, ,252.21,74.81,160.57,115.60,12.05,1.44,125.49,66.52,270.89,35.48,201.79,201.16,141.53,61.54,195.00,25.52,146.69,249.14,3.80,113.21,270.14,217.57,262.10,207.24, ,131.38,80.84,142.20,130.67,73.05,169.17,139.58,48.84,214.85,27.56, ,194.42,26.14,125.04,26.68,287.28,41.99,231.81,297.00,246.81,258.08,161.22,13.31,145.08,204.99,37.95,93.87,79.87,299.03,164.95,72.41,195.20,117.87,159.22
53.72,102.16,143.79,264.95,221.56,99.69,187.41,286.50,232.46,119.76,65.34, ,49.53,29.19,213.46,180.41,48.66,281.12,89.11,177.76,239.87,153.49, ,242.71,236.23,77.89,24.30,22.89,21.60,36.82, ,71.03,13.74,15.61,122.35,229.76,265.53,177.64,133.15,36.66,141.58, ,58.20,200.21,8.39, ,77.76,232.52,293.61,63.35,31.95,5.37,7.74, ,55.53,294.06,233.44,176.38,221.95,233.74,95.46,242.18,132.78,77.16,290.63,286.76,198.44,187.87,103.64,141.94,112.40,64.80,65.52,80.19,297.73,42.64,53.57,9.80,209.43,36.76,281.59,299.15,79.33,150.15
13.79,285.37,154.44,164.24,211.42, ,71.01,28.10,269.73,106.59,105.34,162.38,116.34,293.69,39.72,85.62,8.14,212.24,163.46,4.47,274.72,99.95,195.61,206.20,6.43,46.16,275.66,194.75,15.84,6.31,245.21,117.06,57.03,67.76,217.64, ,4.84,96.01, ,203.23,209.54,160.97,64.24,195.04,144.75,15.37,245.20,18.04,130.79,158.84,245.10,200.12,97.01,178.98,91.50,78.21,278.26, ,158.44,41.53,293.49,209.11,299.69,143.47,228.39,113.95,146.73,251.92, ,84.98,78.47,193.72, ,170.09,136.38, ,129.72,276.45,154.99,191.97,270.48,148.82,183.08,53.17
66.72,292.86, ,294.78, ,254.03,146.00,170.05,238.71,184.75,174.95,94.65,44.40,210.09,9.12,263.15,109.14, ,225.63,54.28,46.96,110.43,270.06,177.85,252.76,97.05,60.20,169.34,224.09,259.31,298.47,106.51,51.87,56.42,17.65,36.72,174.90,44.24,139.21,70.14,43.95,150.46,59.72,95.81,16.79,0.91,32.50,159.64, ,168.14,184.32,163.68,220.80,36.94,53.73,152.28,139.74, ,58.05,226.18,191.28,203.45,119.16,167.57,75.99,0.01,40.10,232.60,206.21,18.55,159.51,239.95,165.31, ,103.59,186.29,25.21,242.77,41.08,176.97,186.63,253.79,55.31,222.69
105.54,179.34,167.19,151.83,142.36,98.44,249.77,68.07,287.32,92.86,17.28, ,184.47,233.65,110.95,18.62,241.07,51.87,153.40, ,176.47,132.96,229.34,252.72,21.24,260.97,201.27,119.30,232.38,295.41,153.80,72.29,280.55,115.90,183.87,254.10,240.28,109.65,54.64,197.58, ,253.44, , ,4.16,109.55,162.38,116.49,262.03,103.40,247.49,217.59,87.98, ,96.75,219.60,279.39, ,168.80,282.33, ,136.78, ,54.37,153.23,219.72,235.89,106.16,291.33,170.26,173.92,82.41,257.62,233.75,78.36,241.29,161.78,44.49,294.04,133.71,107.36,98.88,140.15,40.28
86.92,208.33,197.71,46.15,121.36,96.77, ,49.57,70.58,78.69, ,76.12,80.62,297.71,298.34,234.20,279.12,215.25,124.60,284.05,214.97,256.18,81.65,36.89,71.21,46.20,154.52,255.61,290.81,188.82,163.78,285.18,274.19,122.96,99.23,237.11,183.37,208.57,29.91,10.34,134.18,139.20, ,94.49, ,159.69,2.59, ,3.20,80.93,235.17,257.10, , ,227.58,295.04,274.80,121.42,259.89,282.37,270.93,270.59,0.60,18.40,299.23,220.94,185.67,65.16,107.58,104.24,230.95,208.36, ,83.76,138.65,61.08,178.79,109.87,166.78,21.70, ,191.10,102.94,103.26
 ,35.69,291.75,147.47,297.16,110.89,281.74,226.25,56.63,26.28, ,39.17,51.32,254.85,248.37,236.85, ,30.27,130.49,192.90,108.35,273.66,94.44,3.03,33.29,164.13,97.83,111.28,195.39,96.02,40.03, ,261.84,206.25,63.26,154.93,65.60,75.66,75.20,225.32,38.41,133.91,41.55,104.81,79.91,246.26, ,145.75,69.59,25.50,31.97,88.21,138.13,262.30,140.50,197.62,194.52,271.78,213.76,212.19,2.26, ,233.01,107.56,15.77,210.60,18.04,18.63, ,80.01,189.43, ,46.48,112.76,78.92,219.85,262.89,59.18,95.18,148.79,79.93,89.38,212.19,23.87
144.74,20.43,112.03,248.00,284.99,13.76,195.72,108.72,181.11,264.04,210.93,185.30, ,100.08,62.95,175.46,139.82,146.80,71.28,205.24,265.57,282.46,245.26, ,144.17,15.41,70.21,17.87,175.87,25.53, ,241.53,283.51,57.97,225.66,257.42,54.31,279.10,251.43,121.00, ,238.19,254.21,230.68, ,38.10,93.41,161.48,176.88,263.80,194.49,152.05,147.55,255.33, ,171.22,2.55,188.83,27.90, ,139.71,14.34,132.98,206.86,237.19,103.74,66.40,46.86,289.39,156.35,280.90,13.80,189.53,65.72,225.34,182.43,219.30,8.99,121.94,285.20,275.10,284.61,183.05,155.57
137.65,212.29,1.57,163.41,265.28,264.14,29.72,186.66,47.70,42.54,248.84,75.03,88.81,158.82,186.92,249.34, ,197.22,227.26,264.77, ,132.80,157.33,93.10,109.84,148.62,35.29,295.94,30.36,229.88,295.18,274.85,257.22,288.15,9.22,293.46,141.85,22.13,259.32,193.61,46.21,131.37,253.14,145.71,194.43,66.82,157.31,67.19,81.21,133.54,114.99,34.39,247.88,54.29,255.09, ,1.30,164.12,69.50, ,71.11,14.03,213.98,285.19,100.17,179.31,239.48,283.39,120.80,34.39,243.56,219.96, ,64.24,88.31,183.85,236.72,200.32,263.08,289.94,68.50,8.88,101.85,241.33
85.45,101.35,80.19,275.01,80.32,73.30,132.00, ,245.37,60.91,299.83,240.65,253.84,134.87,237.78,189.57,120.09,266.21,103.61, ,100.08,219.57,104.49,184.64,213.77,216.88,42.18,99.79,267.76, ,33.66,54.58,284.89,209.06,67.59, ,49.81,6.42,72.70,252.04,105.74,290.01,20.96,198.26,18.11,247.34,209.00,282.99,278.81, ,55.86, , ,163.18,161.13,281.19,133.23, , ,223.87,165.81,150.32,270.72,29.74,151.00,182.27,287.34,74.22,156.64,272.72, ,9.73,250.05,23.16,280.26,229.30,148.28, ,178.47,99.68,18.15,221.80,158.16,64.41
37.08,279.50,219.65,124.28,141.96, ,113.73,65.91,33.35,282.21,69.59,19.66,203.45,126.07,29.43, ,298.24, ,140.33,181.16,250.52,58.91,79.58,255.75,165.36,256.18,110.09,4.22,55.20,30.70,149.13, ,155.73,127.08, ,96.18,284.87,215.26,267.04, ,194.28,142.64,294.98,261.94,198.05,3.72,243.47,103.82,32.30, , ,153.43,234.29,180.36,179.40,37.64,26.02,45.21,246.58,129.36,193.18,39.46,203.03,14.18,228.93,194.55,180.78,257.07,43.99,252.66, ,253.67,132.18,211.47,36.15,2.23,165.59,130.31,38.98,198.95,138.05,255.41,82.13,155.13
 ,282.73,26.44,19.42,147.85,243.78,112.14,239.49,120.39,37.42,118.59,151.54,216.68,47.05,134.76,166.86,60.28,259.49,147.19,163.63,279.37, , ,46.72,57.07,202.34,52.51, ,244.06,30.25,131.63,126.03, ,70.84, ,76.49, ,185.18,182.05,281.42,117.88,124.58, ,82.26,208.32,174.51,269.91,229.32,192.17, ,29.01,41.87, ,218.05,107.66,85.65,264.68,57.69,288.08,90.30,23.99,34.70,5.85,236.27,206.28,142.99,229.90,296.45,45.07,181.14,186.99, ,129.82,152.16,250.43,36.77,266.66,135.67,222.68,205.04,86.18,273.17,96.42,133.57
142.29,188.90,155.56,291.23,19.90,224.94,11.12,284.28,80.71,214.28,56.57,87.14,242.71,233.94,228.90,50.96,226.11,20.98,165.39,211.50,109.74,196.89,139.59,73.53,27.37,206.14,96.03,270.20,225.07,94.23,19.94,287.87,10.05,98.28,101.41,33.18,230.40,286.83,64.23,7.03,82.51,268.66,189.66,298.92,169.18,189.89,289.96,220.35,207.18,271.41,278.44,139.76,265.11,251.39,238.18,299.02,161.28,31.08,4.47,51.63,97.64,236.72,188.82,241.81,244.98,244.00,165.90,259.41,260.10,232.21,182.75,273.06,115.64,246.21,62.42,171.95,164.69,30.58,12.75,204.33,60.31,147.58,101.72,47.92
