Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115,Col116,Col117,Col118
212.90,90.63,12.06,295.88,165.98,83.21,297.76,259.53, ,63.95,223.16,46.15,149.11,254.65,162.52,232.00,14.95,213.54, ,108.01, ,273.99,50.50,64.22,78.61,73.52,8.46,58.66,122.92,264.75,246.78,179.62,250.18,116.17, ,65.62,241.34,245.72,83.42,72.02,143.40, ,285.96,273.15,157.69,252.39,173.65,249.71,77.95,247.84,63.61,259.75,259.19,281.06,76.09,39.01, ,133.63, ,236.71,219.84,24.71,216.84,71.40,251.62,66.43,43.48,217.32,165.38,295.90,143.50, ,182.51,81.55,6.51,252.85,176.61,259.85,264.09, ,130.63,269.59,9.30,27.10,16.31,103.13,38.92,84.19,129.14,12.77, ,269.54,76.85,145.37,194.99,194.91,240.09,284.82,14.04,164.25,14.20,43.78,95.66,110.59,119.55,39.64, ,9.17,164.36,208.31,50.32,95.98,257.85, ,95.00,48.26,55.41,15.99
88.86,89.60,138.52,145.26,173.96,187.33,97.13, ,298.19, ,94.17,120.83,208.88, ,257.14,65.05,191.09,108.46,253.83,141.25,153.17, ,85.94,273.84,249.39, , ,282.04,200.87,170.32,18.70,66.89,245.01,84.88,194.95,63.07, ,226.04,248.28,141.98,236.82,104.40,206.31,37.91,47.63, ,157.38,232.02,53.27,10.76,286.27,225.77,108.58, ,164.62, ,6.61,175.18,62.34,237.97,268.95,256.73,171.77,269.21,38.38, ,49.14,267.10,86.40,63.42,291.84,43.96,234.65, ,266.30,36.43,273.33,23.98,115.11,44.17,299.55, ,280.37,267.43,86.53, ,149.95,255.76,38.83,12.64,291.34,104.96, ,78.29,207.19, ,102.94,232.57,135.07,82.86,6.79, ,60.62,203.23,250.03,94.33,293.87,127.33,240.01,156.03,188.24,26.65,166.17,269.05,214.24,51.52,15.20,234.28
76.13,131.31,118.74,162.15,60.69,85.43,144.58,19.00,4.68,69.31,124.82,139.50,46.77, ,61.97,154.35,49.01, ,75.17,194.73,223.22,226.81,256.11,250.11,104.20,20.76,125.64,211.87,184.65, ,104.71,129.05,158.40,250.92,253.22,22.22,284.75,117.34,233.74,243.50,292.93,229.62,23.94,78.31,259.85,145.26,57.56,23.62,152.36, ,105.57, , ,20.82, ,14.21,2.19,185.91,156.01,161.57,190.72,169.04,276.83,215.14,288.60,250.36,213.31,246.53,59.49,270.19,56.10,79.85,242.12,53.41,81.29, ,272.01,147.13,131.69,37.72,150.03,116.45,189.79,237.52,169.75,109.36, , ,52.41,35.87,47.97,99.46,112.08,117.81,194.05, ,231.78,270.67,232.04, ,42.30,237.22,79.35,184.60,140.33, , ,255.17,10.21, ,122.29,138.93,20.14,202.14,204.03, ,136.06,258.24
33.66,90.40,242.03,128.64,212.00,258.57,196.99,221.80,91.07,57.03,68.03,74.71, ,247.52,185.56,138.38,115.65, ,228.66,129.31,58.23,196.12, ,93.11,130.28,76.65, ,249.22, ,23.93, ,271.45,148.77,284.68,169.10,67.00,294.37,155.06,237.63,69.40,144.29,276.39,131.62,223.75,100.77,104.77,100.69,213.23,129.67,162.14, ,229.14,210.80,251.58,63.07,32.80,147.05,185.58,219.41,226.30,140.91,105.02,164.46,121.08,10.91, ,9.67,205.20, ,30.64,109.60,60.53,2.90,230.19, ,149.59,136.44,69.52,254.85,64.68,98.44,147.00,154.66,52.84,262.87, ,20.65,184.21,151.05,288.76,75.58,230.83,35.33,73.72,35.53,0.22,149.53,18.62,33.47,19.80,138.17,183.82,227.50,240.00,255.14,159.79,127.65,34.91,171.30,98.52,159.71,78.44,277.55,276.20,272.36,104.35,214.85,269.35
56.20,220.90,138.11,42.06,171.32, ,42.62, ,249.44,25.99,54.54, ,30.75,97.32,118.92,241.60,177.20,163.29,4.85,224.66,216.68,256.86, ,299.48,246.41,224.55,276.81,275.95, , ,199.08,109.45,278.19,284.13,79.83,66.98,295.34, ,185.76,164.79,108.86,151.34,268.58,34.59,99.70,257.52,35.44,199.67,272.30,126.50,196.03,101.42,192.53,21.63,63.33,283.22,230.45,229.98,258.30,146.72, , ,148.22,98.34,278.73,164.09,105.07,2.42,210.61,160.43,273.25,118.66,95.94,91.01,248.15,290.49,107.30,199.10,227.79,3.41, ,167.50,173.14,14.18,138.24,240.05,182.38,189.14,259.75,229.85,186.41,276.16,86.46, , , ,177.81,201.89,212.89,119.03,227.83,278.76,138.71,19.34,238.39,262.26,88.02,63.06,224.09,153.64,224.70,287.05,241.00,48.40,102.59,294.42,66.09,167.37
22.43,207.31,44.88, ,132.90,200.53,41.60,53.72,169.56,20.32,190.34, ,44.23,187.90,42.25,11.84,158.78, ,66.09,141.21,132.57,53.17,174.19, ,227.91,147.51,148.36, ,57.62,111.81,27.95,111.71,162.30, , , ,206.82,258.89,24.23,195.66,107.19,35.28,118.48,212.35, ,279.92,142.43,93.92,242.20,152.32, ,293.04,44.64,192.72,42.34,236.53, ,43.72,9.55,46.91,291.17,194.72,38.21,62.83, ,5.03,59.86,264.73,110.58,252.76, ,295.10,249.43,194.52,161.54,71.98,96.42,222.21,34.25,28.29,92.55,102.11,295.69, ,48.59,104.43,25.52,296.46,66.77,140.30,91.11,131.90,140.79,221.77, ,182.19,26.38,96.05,105.07,40.11,140.33,4.55,87.85,138.15,188.65,173.92,158.82,80.47,59.08,80.16,204.81,51.22,237.10,59.67,239.02,242.29,162.12, 
249.97,59.19,257.39,157.51,285.72,286.43,134.87,224.27,166.76,77.10,123.72,157.63,163.39,108.19,119.53,163.78,123.77,53.08,49.87,287.12,286.38,179.70,235.50, ,102.26,224.22,114.32,57.84,11.98,88.40,134.78,118.50,267.19,257.35,91.34,35.47,154.33,6.64, ,110.61,46.77,46.92,215.52,4.82,207.49,284.13,154.85,280.71,94.75,16.47,113.52,178.57, ,187.59,14.32, ,137.02, , ,125.85,79.46,270.16,150.74,149.17,81.85,64.70,152.06,19.70,265.59,206.03, ,153.12,217.95, ,96.82,39.61,144.15,53.34,106.03, ,255.19,150.45,274.36,237.13,46.74, ,245.01,25.45,261.85,248.82,199.76,242.38,268.32, ,21.66,164.48,269.44,135.40,204.75,146.93,165.29,44.58,138.68,211.85,115.17,118.37,155.71, ,95.09,16.75,154.00,18.02,187.03,215.13,42.44,153.85,190.18,228.90
186.21,288.44,197.39,174.14,100.09,115.43, ,132.18,24.49, , ,236.80,19.36,246.87,97.57,234.43,60.09,31.30,299.45,39.71,261.20, ,299.36,239.10,172.54,194.34,54.54, ,258.97,102.83,62.18,37.03,45.50,7.63,239.44,163.87,250.91,204.07,124.43,233.93,116.97,188.61,276.28,198.39,205.11,141.09,201.63,263.91,275.24,23.92,278.61,193.82,12.86,224.35, ,158.28,159.30,20.17,56.31,96.98,112.47,132.65,299.83, ,246.95,15.20,200.69, , ,223.33,192.41,8.80,5.97,94.03,160.53,142.31,89.60, ,187.80,260.11,277.30,134.57,18.98,164.00,264.10,236.13,150.92,144.41,89.79,179.69,145.30,18.10,261.91,93.53,118.50,37.32,57.43,59.11,277.34,89.20,181.63,77.05,109.15,118.21,206.24,74.73,170.21,264.72,244.81,281.82, , ,159.11, ,218.22,168.37,34.94,22.96
186.86,169.42,173.72,14.56,143.09,41.83,30.81,180.74,155.76,200.96,103.16, ,21.38,234.32,50.96, ,111.22, ,280.64,114.90,53.87,192.09,28.35,150.78,8.75, ,252.79, ,55.95, ,77.33,233.22,278.07,125.72,208.34,69.94,181.81,1.51,11.02,196.68,272.25,147.78,157.04, ,90.00, ,88.91,191.11, ,169.18,299.62,207.82,28.41,248.34,156.98,158.37,13.36,250.71,145.18,269.37,215.69,102.27,148.28,70.79,210.03,169.90,198.45,276.18,233.19,74.21,41.18,68.62,229.97,166.88,182.13,20.90,195.63,277.50,159.30,214.33,288.26,278.98,161.95,113.57, ,187.78,220.85,253.94,50.32,142.27,155.39,146.37,174.14,230.72,128.84,132.38,267.27,177.15,78.56,267.55,11.96,59.02,275.68,208.21,286.22,151.47,28.99,94.83,267.38,121.19,4.55,294.39,170.18, ,248.74,93.36,15.80,181.47
224.36,156.82,180.64,101.83,236.28,117.08,67.06, ,163.28,214.17,119.01,29.22,33.09,38.18,48.86,37.00,211.23,154.29,112.07,263.42, ,63.10,137.28,94.04,293.43,12.05,60.23,180.33,129.49,43.23,262.24,22.03,241.33,114.00,65.52, , ,173.45, ,10.74,245.29,253.02,120.67,246.74,284.46,46.56,295.02,160.07,53.60,266.45,233.78,72.57,135.70,282.82,123.68,224.72,102.17,255.48,281.87,139.91,154.02,164.16,218.05,174.16,144.01,278.71,209.97,187.16,23.70,10.80,163.52,216.35,113.26,188.54,74.05, ,228.07,225.60,132.97,251.27,93.85,83.32,1.84,58.79, ,228.76,5.68,293.83,57.98, ,246.51,167.90,263.66,189.88,173.08,139.10,127.47,216.23,104.59,45.40,265.58,92.15,209.38,17.73,242.41,225.25,27.03,163.89,189.13,179.96,76.62,186.55,252.01,114.88, ,160.28,286.43,12.12
273.35, ,104.76,152.87,27.89,123.16,170.60,245.55,74.50,69.62,226.27,63.83, ,84.68, ,71.11,10.33,238.76,109.49,45.85,73.52,142.27,265.53,208.98,63.43,233.26,244.52,154.67, ,232.90, ,231.10,67.50,245.58,148.32,49.77,17.43,267.91,19.97,172.57,144.52,212.42,69.04,237.30,165.30,156.62,240.06,122.47,29.15, ,177.47,63.58,140.55,39.55, ,272.99,135.79,108.81,195.29,205.15,101.57,270.55,28.78,45.90,218.18,219.30, ,42.41,24.15,182.43, ,89.27,56.01,154.20,273.27,42.67,182.08,248.86,102.42,63.25,128.89,223.38,213.42,90.59,200.06,91.42,156.75,0.45,105.75,77.58,204.15,257.43,264.49,238.86,183.94,215.24,283.54,61.01, , ,105.94,125.16, ,281.91,178.79,183.81,272.25,237.60, ,23.83,126.55,123.91,264.80,23.31, ,84.33,192.31,251.24
61.09,285.25,226.66, ,110.47,209.92,135.09,293.54,59.42, ,183.33,86.41,153.89,100.27,180.05,174.15,99.49,279.91, ,206.57,215.90,146.26,90.33, ,83.87,187.66,261.87,34.53,293.47,83.03,126.64,86.33,94.38,236.03,270.55,280.85,130.17,65.58,88.22,84.23,187.19,76.04,42.88,197.33,298.99,130.10,243.43,126.41,102.25,112.09,276.70,292.11,90.83,62.86,104.61,51.13,118.99,140.85, ,38.17,236.72,28.33,261.95,188.75,47.01,111.85,227.88,111.91,295.62,97.62,274.20,225.79,63.71, ,225.58,145.02,227.40,152.14,125.50,178.49,143.90,237.11,57.55,75.61,137.52,189.93, ,134.64,185.40,290.93,123.93,137.26,209.02,99.87,126.31,77.24, ,206.91,4.38,30.57,56.78,25.19, ,244.59,118.24,279.70, ,103.63,259.50,299.80,151.24, ,48.01,38.18,182.71,93.07,257.42,203.95
198.26,5.76,232.01,272.84,233.17,15.33,54.58,23.75,217.94,101.51,198.11, , ,66.55, ,23.96,131.96,219.04,155.23,214.62,34.73,212.40,141.66,184.39,260.11,126.30,0.80,80.53,146.90,207.04,89.36,15.39,80.47,203.93,296.31,214.93,244.88,160.85,63.68,294.89,244.53,206.21,213.44,85.81,148.10,54.95,223.85, ,4.32,62.72,1.09,154.94,126.15,192.98,45.95,207.58,182.75,275.96,242.21,213.88,110.81,57.50, ,127.85,134.90,269.78,133.71,229.85,277.21,58.81,258.07,97.48,179.78, ,7.85,266.47,71.01,128.47,125.56,256.36,93.96,2.40,222.69,98.73,130.65,147.34,268.91,118.02,24.15,0.50,12.74,253.73,44.26,212.27,41.25,202.43, ,204.83,180.30,102.81,188.93,116.16,82.57,27.50,284.69,79.80,284.51, ,68.26,52.62,260.84,149.15,229.09,68.10, ,126.37,255.89,149.65
224.78,32.59,11.52,224.04,33.97,138.09,276.81,57.01, ,150.89, ,79.98,121.34,200.31,49.15,263.02,228.24,131.02,140.06,278.11,233.86,272.66,16.46,1.07,206.79,224.37,244.28,226.52,17.50,13.33,283.02,265.45,164.14,172.10,239.00,68.31,162.28, ,178.74, ,252.22, ,176.59, ,180.93,146.83,263.85,265.08,136.51,158.14,26.99,4.86,180.44,138.86,114.15,221.46, ,173.68,166.50,212.31,231.20,94.53, ,254.70,260.05,25.25,91.86,148.42,18.24,169.90,71.57,240.78,88.63,166.72,136.85,2.74,148.18,179.09,65.26,72.54,224.99,143.50,150.03,113.58,20.78,25.38,267.52,85.39,236.51,146.58,169.09,157.91,201.40,295.09,170.78,291.97,165.41,112.63,127.39,183.71,209.68,240.53,175.24,233.35,278.03,185.11,229.26,164.39,80.01,97.33,227.11,46.57,224.77,107.96,85.41,200.34, ,140.87
76.00,105.64,144.82,72.85,114.84,156.33, ,15.81,146.68,132.13,35.43,52.45,109.06,135.06,132.95,150.27,111.81,110.87,161.88,72.40,111.29,10.14,84.15,99.63,268.87,124.08,288.66,147.69,14.40,107.13,18.55,152.58, ,263.45,136.35,202.31,71.19,0.31,174.73,227.62,295.13,229.65,148.04,147.11,120.58,52.90,148.41,120.50,284.76,108.68,43.86, ,115.05,111.57,276.31,170.67,132.96,11.52,178.09,279.50,238.29,176.76,257.77,26.72, , ,45.22,154.54,104.20,157.79,212.63,53.60, ,186.56, ,18.95,45.20,115.31,107.81,189.72,179.12,2.12,27.12, ,181.66,148.06,261.33,63.88,117.44,11.39,260.53,22.95,284.09,67.28,129.20, ,194.78, ,196.89,100.88,33.28,47.77,133.78,245.18,104.53,44.85, , ,54.81,257.36,110.96, ,240.17, , ,22.46,31.84,38.44
45.15,23.84,154.76,171.67,137.48,97.27,0.91,8.22,60.00,201.44,53.62,168.63,276.56,154.98,202.95,284.46,214.40,174.60,41.25,121.58,280.56,132.14,21.49,71.96,187.48,166.13,115.01, ,158.52,91.57,225.84,13.50,99.96,128.80,206.92,84.42,76.90,121.32,92.73,251.50,190.47,133.98,297.77,12.05,12.71,278.33,230.89,144.85,259.81,252.39,285.20,31.77,33.88,172.68,5.17,200.01,113.77,120.18,234.78,272.29,211.75,160.62,285.79,11.71,289.42,192.71,96.13,66.32,14.03,188.86,17.81,204.51,22.84,15.58,216.55,35.55,293.91,147.45,180.40,253.72,99.83,165.60,285.48,133.71,38.28,290.65,33.73,152.06,110.83,268.50,124.35,22.58,129.12,110.14,34.29,118.54,2.85,130.42,184.85,16.88,19.29,202.67,221.39,42.13,218.24,137.94,77.68,212.15,285.39,258.08,165.87,85.22,123.69,151.36,218.93,161.97,142.01,252.66
14.03,252.84,221.16,138.37,275.42,50.28,248.51,9.71,168.82,251.36,140.13,53.68,268.24,159.42,256.34,189.62,201.55,174.59,27.56,279.23,86.74,12.95,237.31,252.61,98.17,61.00,103.97,17.10,222.97,245.98,269.76,236.99,198.82,190.92,75.37,174.24,241.20,23.87,183.95,110.03,275.23,24.08,163.70,243.47,183.50,120.05,133.09,85.05,294.63,160.66,64.28,81.38,173.61,1.59,33.99,271.78,62.58,137.96,288.88,285.55,83.94,258.64,222.54,282.76,149.56,297.91,157.00,90.76,21.79,40.95,200.79,297.02,65.04,64.49,240.49,248.54,184.54,73.58,33.59,179.17,234.24,97.86,260.55,107.85,99.45,294.54,79.63,162.03,132.50,68.50,147.58,216.45,27.14,70.13,199.21,176.70,68.04,56.21,267.46,89.82,97.17,168.25,86.84,162.20,232.74,27.33,110.74,117.28,100.91,144.33,296.46,35.15,242.19,257.01,143.00,41.64,251.55,222.62
