Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20
211.70,92.95,88.18,297.41,111.39,138.63,247.34,105.00,175.32,125.45,195.74,253.04,243.01, ,282.12,249.88,70.67,250.13,189.88,11.84
115.17,61.51,181.91,71.67,167.63,262.95,282.24,21.23,113.51,243.90,134.97,252.82, ,202.95,185.37,231.93, ,166.50,288.58,162.07
 ,29.69,148.85,128.98,119.11,132.87,231.32,230.09,181.32,120.59,55.83,291.02,114.21,154.25,1.50,146.04,88.55,208.49,273.61,256.76
24.89,187.84,18.13,81.33,253.67,283.73,207.88,297.25,287.68, ,289.18,152.10,142.71,259.42,1.44,36.87,21.79,282.00,144.63,59.34
53.60,27.82,169.14,60.34,290.25,197.29,266.00,30.36,77.22,188.83,286.68,172.83,52.19,286.48,254.76,240.91,7.08, ,176.22,131.78
261.55,264.74,9.62,271.34,91.35,7.16,247.80,42.85,285.05,242.76,152.45,122.78, ,91.50,171.88,64.04,24.35,204.06, ,218.20
235.61,197.78,179.57,175.62,101.86,120.10,42.54,33.21,133.36,256.82,200.74,129.65,43.97,44.13,54.60,245.95,271.88,232.97,289.32,73.86
269.26,135.81,166.51,177.10,197.88,65.48,153.54,238.69,132.45,206.79, ,152.75,217.02,110.22,285.80,142.34,188.07,212.79,202.81,76.96
279.67,268.16,64.42,16.98,295.75, ,182.79,21.47,161.97,170.26,3.75,72.78,277.15,293.51,11.90,253.97,54.98,182.75,229.28,150.26
41.79, ,224.58,81.41,256.99,154.88,103.10,260.22,221.11,177.34,81.21,52.09,7.64,178.54, ,224.58,37.43,141.24,190.96,178.78
193.24,30.46,81.24, ,265.07,110.20, ,191.41,45.73,102.69,65.74,108.89,234.78,256.70, ,147.65,122.48, ,100.61,286.20
28.11,146.91,137.30,217.28,84.38,215.91,225.68,130.68,271.97,180.90,141.49,76.32,247.07,59.28,153.24,229.53,72.57,104.99,65.77,238.57
285.29,37.23,136.13,245.53,233.37,36.76,251.03,228.62,212.64,245.78,33.38,247.23, ,52.22,17.53,254.38,59.79,204.91,244.99,216.28
6.19,89.85,293.74,9.67,115.57,137.62,30.95,128.68,264.70, , ,255.40,149.91,215.95,285.94, , ,214.02,244.94, 
 ,206.81,130.52,222.13,203.82,281.08,89.97,213.40,228.01, ,77.92,265.70,169.94,260.37, ,94.19,44.53,255.79,233.62,273.72
54.46,108.83,210.04,281.33, , ,292.26,287.26,156.94,46.19, , ,24.24,135.46,183.63,20.11, ,293.83, ,171.37
267.56,280.63,204.86,158.22, , ,73.37,265.47, ,45.84,178.09,73.38,104.02,266.97, ,260.80,274.21,276.11,213.58,190.67
78.86,15.55,194.37,262.47, , ,205.68,294.42,219.77,230.10,208.26,126.60,45.66,1.23,42.59,278.53,33.25,282.15,149.58,137.71
36.37,228.38, ,222.79,112.36,298.23,72.33, ,241.39,124.17,217.05,157.43,100.02,252.96,239.47,258.69,214.59, ,142.96,15.96
5.24,229.83,25.07,153.08,243.56,172.60,265.41,43.61, ,234.28,221.56,216.49,250.95, ,74.32,112.42, ,117.66,269.63,243.66
 , ,215.35,164.69,287.99,145.14,43.44,262.94,253.18,145.25,10.50,278.45,132.98,24.34,287.31,71.78,265.76,223.06,68.57,282.64
 ,127.78,35.26,168.49, ,47.91,64.50, ,42.95,299.05,67.30,98.98,21.46,27.03,253.01,136.03,190.79,32.58,98.14,225.77
68.10,14.55,150.65,79.68,115.92,5.27, ,104.26,49.88,271.51,87.23,253.36,70.44,160.58,244.10,14.77,296.52,225.28,251.57,289.81
 ,68.53,297.38,254.70,146.82,213.37,176.14,217.52,163.47,164.71,7.58,267.24, ,68.16, ,19.73,289.59,255.99,15.34,155.07
195.23,58.95,266.05,201.63,239.22,247.06,17.56,197.07,172.95,52.97,286.51,158.36,237.59,34.23,67.71,222.97,191.20,71.54,217.00,40.82
38.25,260.16,242.52,40.62,143.96,132.00,166.29,106.57,104.70,56.81,30.10,135.35,261.69,78.54,180.05,34.93,107.25,274.12,152.32,165.23
108.34,126.74,287.58,78.50,74.11,264.70,115.09, ,25.49,76.78,6.95,104.04,255.48,187.00,223.40,290.41,105.31,30.65,285.50,79.43
80.41,137.82,94.18,245.64,134.09,202.51,242.87,260.83,177.14,230.45,194.14,255.64,22.74,268.25,90.96,287.45,72.45,206.05,87.50,97.95
