Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93
210.97, ,180.25,22.78,77.93, ,53.00,164.01,2.11,18.55,104.16,197.48, , ,2.12,214.94,148.41,85.27,153.83,239.63,155.33,69.93,132.18, , ,16.94,223.91, ,28.06,110.85,217.93,83.80,55.08,57.58,7.36,37.68,56.59,295.24,99.61,86.63,196.16,239.48,6.71,272.63,233.83,116.45,223.61,60.93,122.34,162.54,235.47,269.61,229.91,246.50,0.04,252.06,115.93,255.44,166.50, ,100.33,273.88,235.15,13.02,296.47,76.38, ,276.61,59.05,60.64,236.04,38.68,256.87,79.63,277.26,140.37,46.46,108.56,87.07, , ,279.16,77.30,210.11,201.11,260.43,274.72,22.42,84.57,168.02,191.60,110.34,279.97
183.89,155.35,71.23,271.88,10.04, ,220.15,56.83,63.51,164.04,40.99,44.56,45.47,211.88,19.10,170.73, ,259.26,98.70, ,70.58,208.22, ,128.38,293.42,286.34,181.74,52.99,290.88,104.66,285.15,218.74,166.14,56.74,125.90,155.89,226.02,232.30,173.37,268.60,78.38, ,260.12,231.77,192.15,123.97,290.20,10.54, ,105.18,110.92,131.38,255.15,203.59,103.17,248.14,243.74,26.71,286.63,54.30,120.12,129.91,49.54,222.45,234.82,244.68, ,76.06,213.85,216.14,236.63,49.44,236.83,35.11, ,263.09,68.54,173.00,295.13,147.74, , , ,135.97,203.90,140.85,45.49, ,282.12,268.51,286.92,25.64,107.06
159.93,71.94, ,67.07, ,284.64,4.34,282.74, ,194.77,251.51,30.49,222.39,139.08,67.49,238.55,290.60,273.70,299.23,240.24,262.12,50.93, ,280.78,299.00,286.40,66.04, ,236.61,83.55,61.96,259.24,264.81,227.80,116.04,245.15,293.32,218.29,16.17,25.03,83.65,94.21, ,20.87,142.21,142.66,231.88,177.14,258.51,160.20,243.03,142.17, ,49.44,124.79, , ,173.42,289.38,142.03, , ,37.19,43.80,90.29,132.24,296.01, ,193.03,270.10,201.56,84.64,175.43,121.39,23.67,14.64,49.31,279.79,246.82,294.24,228.49,34.15,27.75,134.05,195.64,255.97,154.79,216.34,190.86,55.48,245.02,205.82,279.74
244.77,23.80,128.47,270.76,203.46,156.01,219.28,141.66,148.84,215.86,26.68,102.91,21.25,152.28, ,132.02,287.02,136.48,187.05,196.79,292.23,205.68,114.58, ,289.84,167.86, ,194.54,274.25, ,22.17,260.75,261.02,51.44,209.91,206.65,174.27,290.91,162.00,184.16,192.05,225.49,79.69,254.45,71.08,125.79,60.16,157.67,159.97,40.77,186.59,68.56,203.74,130.44, ,14.59,272.17,110.57,268.27,286.54,278.48,186.18,277.86,229.40,132.69,39.80,25.11,271.13,190.96,216.41,110.72,141.79, ,252.35,87.86,101.52,138.23,34.43,297.07,139.36,139.83,35.90,2.99,13.52,214.08,5.38,154.84,12.57,55.96,52.72,124.68,292.07,173.45
172.86,33.65,166.62,290.09,215.88,225.64,82.04,273.52,10.50,23.79,66.10,288.00,223.58,273.05,75.58,242.15,17.02,260.65,149.27,86.17,243.81,294.55, ,268.07,162.03,137.05,162.53,173.10,140.38,254.39,61.36,298.18,117.91,270.44,123.25,87.73,165.00,182.95,251.06,4.11,247.44,298.19,57.97,91.31,157.07,254.38,146.59, ,264.50,198.67,49.78,53.78, ,153.32,175.69,272.13,217.46,20.97,29.55,86.94, ,244.02,231.67,13.15,90.66,110.76,243.71,109.18,98.71,150.80,269.72,191.97,172.64,170.49, ,249.43, ,226.72,128.52,281.69, ,72.36, ,61.69, ,170.87, ,264.89,32.47,166.49,84.13,35.98,127.42
204.05,139.03,121.90,289.16,109.21,175.95,185.17,291.55,108.51,11.73,263.37, , ,268.64,168.99,46.75,181.70,299.06,81.56,288.28,224.56,102.51,26.02,38.16, ,146.66,198.51,33.00,228.06,211.34, ,215.96,28.26,17.74,118.39,148.29,170.03,204.16,173.36,260.21,247.75,58.18,45.49,50.37,206.30,199.54,245.08, ,273.34,11.19,31.56,148.95,280.53,42.39,95.16,213.28,220.32,64.86,105.76,288.06,249.41,293.50,146.38,169.36,22.17,120.39,291.06,191.96,191.14,224.66, ,137.94,127.24, , ,3.96,52.99,50.36,91.41,100.67,95.64,222.59,40.79,267.26,168.29,201.26,163.51, ,1.45,136.80,238.39,203.62,254.72
89.71,92.95, ,293.37,230.08,87.82,192.28,280.99, ,182.25,157.42,172.76,250.35,58.52,211.28, ,165.99,17.79,56.62,84.68,145.39,265.94,285.63,288.28,218.79,148.88,139.62,254.75,169.04,57.01, ,19.15,41.58,3.65,39.44,201.26,182.81,55.37, ,213.59,168.29,86.50,214.36,235.85,224.61,133.41,162.67,0.78,50.57,152.18,23.03,68.41,72.42,167.83,186.10,292.74,213.79,71.55,5.36,297.25, ,130.67,274.95,212.37,190.23,275.67,219.00, ,31.46,110.24,126.13,280.70,50.73, ,122.28, ,129.68, ,241.97,45.03,290.21, ,180.44,16.08,72.37,63.61,119.03,3.11,170.19,64.02,178.30,43.20,165.59
 ,299.02,71.37, ,61.58,72.19,154.81, ,227.17,243.45,88.64,34.11,287.48,97.82,196.22,251.60,225.53,17.97,239.33,268.59,150.92,43.29,124.84, ,52.02,216.23,189.80,117.13,21.00,21.42,31.28, ,128.44,5.48, ,244.81,200.03,86.67,259.21,294.91,152.39,191.92,129.95,102.14,5.32,82.13,52.54,108.09,241.85,239.02,46.43,24.00,99.75, ,58.96,111.44,142.68,41.65,288.32, ,235.39,136.57,155.42,130.93,122.66,78.50,161.03, ,185.03,45.25,187.92,286.00,253.93,157.73,39.97, ,53.39,247.64,98.96,79.08,66.57,2.66,263.41,270.00,48.72,254.17,229.30,30.43, ,159.11,7.90,232.44,252.47
74.48,112.83,221.51,244.11,45.37,86.65,59.17,257.79,249.73,29.86,32.65,20.43,44.91,90.83,155.17,291.21,185.73,107.19, ,51.29,192.13,17.13,199.64,58.98,262.42,30.05,93.85,290.96,33.48,76.45,174.46,2.04,5.48,211.30,252.83, ,144.96,60.33,2.71,5.13,35.44,32.95, , ,296.94, , ,222.24,190.68,67.85,47.47,206.10,126.76,203.39,271.76,217.88,36.74, ,72.18,10.32,149.51,75.09,86.84,217.55,282.00,220.52,7.01,182.90,221.22,70.60,23.36,110.82,71.07,275.20,23.16,221.41,17.37,167.98,87.82,256.88,45.07,46.62,271.85,219.29,281.12, ,4.48,196.83,95.28,277.52,253.81,159.93,280.41
294.47,244.25,41.50,125.07,60.69,190.75,96.45,271.33,169.82, ,66.64,205.82,255.65, ,218.69,77.60,160.71,283.73,152.07,119.03,244.13,154.30,169.93,218.68,37.08,117.08,155.14,53.44, ,197.79,269.55,181.15,62.78,152.38,105.28,286.76,121.73,236.73,36.40, ,177.66,263.79,72.18,89.95,271.37,23.41,110.36,256.07,288.26,131.39,14.56,142.76,130.73,33.71,45.64,262.62,145.73, ,217.91,7.99, ,148.79,91.62,292.43,238.16,256.96,136.69,78.54,68.51,288.69,296.59,23.39,257.64,185.61,87.04,183.67, ,32.47,39.27,189.95,229.78,43.92,7.33,77.86,83.95,275.47,283.72,209.56,267.45,128.55,165.73,26.81,7.14
193.82,50.90,133.37, , ,280.00,192.74,248.52,44.99,162.86,233.80,271.65,151.11,44.40,159.68,13.14,130.50,213.23,290.73,162.08,223.89, ,116.63,155.40,244.94,256.18,13.19,245.30, ,45.50,196.56,30.06,72.01,116.67,41.95,31.84,52.54,46.11,72.37,114.82, ,194.21,164.64,150.48,121.85,155.44,226.76,110.76,132.63,253.13,13.27,149.71,113.08,263.40,177.81,187.32,100.44,165.37, ,15.85,110.78, ,191.48,291.09,109.28,273.56,241.58,122.95,204.12,196.73,8.54, , ,118.04,277.39,142.50,299.26,77.11,147.98,18.13,270.83,262.78,189.82,231.22, ,135.34,192.39,257.33,79.84,84.96,130.58,99.75,67.64
174.01,165.25,131.08,113.43,267.10,148.31,289.04,167.12, ,59.51,67.21,207.07,111.39,50.99,264.07,247.40,21.91, ,164.51,150.90,149.93,35.76,289.46, ,156.58, ,216.09,36.40,183.48,53.91, ,233.67,155.68, ,177.59, , ,132.87,20.04,108.67,281.04,80.61,254.72, ,170.81,145.95,89.67,167.23, ,100.91, ,281.98,143.82,282.31,56.28,205.96,81.65,20.13,42.37,134.50,270.04,178.34,118.63,218.74, ,29.29,254.82,68.75, ,292.16,25.25,52.63,87.53,192.97,14.07,268.16,207.48,153.87,54.19,53.83,258.36,2.22,114.13,113.88, ,106.04,162.32,43.76,242.01,286.50,192.11,17.83,129.32
194.55,10.22,268.97,125.41,285.37,242.42,284.41,120.18,145.03,244.93,76.04,66.84, ,258.95,254.45, ,210.48, ,220.70,297.82,186.62,189.23,68.53,41.57,292.52,67.45, ,256.25,263.88, , ,282.03,154.96,211.69,175.82,286.15,238.34,123.66,79.23,132.97,222.38,244.09,122.85,131.34,270.18,102.18,295.73,181.77,65.86,216.13,33.99,178.72, ,2.38,171.50,169.75,105.58,67.15,48.00,291.31,256.44,229.28,82.26,222.01,79.36,149.08, ,51.35,21.78,202.14,15.12,228.31,190.91,205.34,201.46,42.21,148.05,257.84,211.01,110.29,50.69, ,71.73,44.38,196.99, ,255.55,258.97,41.30,37.32,200.77,138.25,267.33
71.72,174.58,196.50,126.68,110.63,18.92,164.09,182.82,164.04,255.21,22.23,272.90,243.16,298.33,116.65,67.71,190.83,171.10,227.16,34.52,117.49,23.62,43.85,33.68,44.82,30.90,285.40,126.60,177.47,9.96,90.59,182.48,19.95, ,247.12,103.26,168.86, ,150.44,214.97,108.43,173.00,26.84,143.13,86.95,278.37,14.72,174.57,50.36,250.78,141.64,222.36,171.00,135.07,279.60,205.56,9.82, ,36.66,70.50,23.91,168.47,105.82,295.38,287.79,253.80,31.54,29.25,126.94,293.16,87.91, ,175.94,132.51,89.68,173.82,93.38,148.25, ,85.67,73.76,99.48,180.34,283.50,289.12,17.91,258.83,25.47,281.76,145.29,168.17,258.89,8.15
296.20,294.55,131.92,155.32,95.86,62.43,245.26,189.81,33.82,68.99,161.43,137.78,135.82,221.48,153.91, ,150.11,13.07,283.89, ,215.29,122.98, ,68.24, ,31.41,295.06,122.38,151.15,163.20,266.12,81.68,14.32,270.14, ,202.12,194.63,65.47,112.41,28.47,72.46, ,135.54,12.46, , ,218.08,150.58,274.31,4.23,32.46,154.92,176.50,40.36,70.57,278.33,140.69,186.21,71.04,185.51,279.67,247.10,101.55,81.96,29.94,64.50,60.56,208.12,224.51,102.98,60.71,108.84,240.29,216.97,16.81,94.82, , ,194.24,139.60, , ,62.38,231.93,175.74,60.00,88.53,95.34,244.30,50.64,199.23, ,216.03
290.74,84.51,106.75,172.26,92.30,145.33,273.73,224.37,28.28,202.32,119.96,135.55,102.20,223.36,216.06,139.92,51.91,239.47,124.91,241.62,153.52,265.84,55.22,241.04,214.84, ,34.80,110.31,297.12,282.30,46.52,206.87,173.61,192.79,256.21,273.89,158.04,139.27,116.06,226.33,244.32,174.31,264.61,38.06,115.07,28.68, ,235.55,15.65,7.69,23.06,21.82,170.25, ,155.54, ,81.87,9.55,272.58,116.17,26.73, ,47.08,233.87,42.13,204.78,56.47,132.04,274.53,238.92,64.27, ,129.50,54.17,27.89,127.73,283.95,221.96,201.55, , ,70.68,295.46,95.34,11.69,222.70, ,279.88, ,235.78,73.73,73.05,16.69
245.68,55.25,56.87,196.19,47.48,85.84,146.52,291.12, ,213.82, ,193.70,45.54,236.91,119.43,220.89,210.74,136.77,34.21,222.79,240.61,197.27,13.21,207.64,202.01,218.15,100.98,103.36,241.34,265.79, , ,196.89,53.24,226.96,227.30,17.86, ,215.13, ,258.92,137.57,54.86,261.37,167.57,2.36,104.99,169.68,154.82,116.17,100.23, ,27.53,13.37,12.89, ,146.13,191.82,48.36,39.41,102.52,74.46,15.89,73.03,34.66,252.14, ,52.37,131.43,86.83,275.34,73.30, ,260.73,229.55,203.66,18.82,175.93,111.05,272.73,77.40,111.93,158.22, ,52.17,161.81,224.07,238.73, ,184.58,159.29,267.20,83.08
69.12,79.30,150.84,64.25,59.42,257.78, ,39.69,203.30,108.81,38.66,124.75,232.12,100.25,50.05,129.32,232.32,115.37,239.18,176.74,226.81,125.20,176.96,114.26,66.39,207.63,270.61,46.02,115.23, ,165.29,78.30,241.78,16.73,105.82,231.01,110.94,98.43,160.90,69.65,29.71,148.78,263.33,180.78,296.40,115.04,36.52,63.04,59.98,32.58,263.89,139.03,247.53,30.22,200.77,49.59,92.59,65.24,79.53, ,75.93,37.02,9.59,0.66,290.35,20.47,44.32,295.17,231.59,149.37,133.40,89.61,41.82,129.13,67.52,19.73,48.23,81.06,287.12,45.71,162.14,133.60, , ,25.60,61.40,21.87,124.20,258.69,99.46,263.77,162.97,10.42
40.25,269.01,173.19,4.83,80.91, ,131.16,267.38,28.60,134.86,266.55,182.10,45.80,96.35,132.88,223.20,120.09,13.09,187.87,152.28,108.73,164.98,257.91, ,286.51,187.74,241.27,92.01,179.88,170.19,194.81,15.86,70.12,251.99,218.41,69.85,88.54,6.59,18.47,81.31,113.68,214.90,103.14,128.79, ,298.98,263.65,91.54,19.14,154.53,40.49,6.56,222.88, , ,85.58,32.61,141.33,5.46, ,12.37, ,81.21, ,44.86,255.04,292.21,101.94,117.62,235.48,159.16,188.41, ,216.06,178.74, ,184.20,249.53,278.74,277.79,200.85,275.87,270.06,233.02,197.00,8.29,50.35,135.07, ,223.25, ,101.99,265.72
165.88,182.78,252.60,147.43,183.22,9.35,91.38,225.29,293.01,120.85,101.02,282.12,179.17,199.91,49.15,267.37,80.88,59.67,10.71,186.93,30.39,47.22,138.66,110.15,206.09,175.03,186.93, ,66.10,285.95,43.24,14.64,232.45,17.95,175.50,152.86,255.43,116.65,187.81,187.35, ,118.36,2.35,51.67,71.39,74.34,89.00,133.30,158.36,65.23,173.58,277.15,245.70,59.67,214.11,210.26,144.07, , ,33.91,234.81, ,9.15,14.54,57.25,93.42,127.06,228.92,194.86,63.03,231.60,135.27, ,68.86,24.82,70.91,76.75,164.02,14.88,16.82,145.22,43.36,205.71,129.47, ,1.40,77.07, , ,13.41,281.20,193.03,8.82
254.92,115.78,29.42,274.03, ,52.68,249.53,283.78,281.42,80.39,216.77,239.49,26.80,110.31,0.74,273.52,243.41,68.28, , ,174.64, ,227.31,270.54,3.35, , ,129.93,59.82,174.09,170.12,299.25,282.53,108.35,231.14,3.32,113.92, ,110.77,233.70,266.91,133.70,286.50,146.38,36.57,95.19, ,76.98,294.65,212.49,294.55,199.43,275.38,273.23,124.12,215.47,236.51, ,252.96, ,99.34,101.49,37.65,248.86, ,243.51,164.24,168.70,245.95,283.26,139.80,83.42,180.50,45.90,126.05,236.73,98.20,292.47,216.83, ,31.46,79.61,135.47,74.31,72.07,126.61,80.67,114.78,272.14,235.97,278.72,124.23,33.04
162.16,220.25,56.37,152.86,157.33, ,231.64,34.17, , , ,49.92,143.26,32.98,209.57,14.07, ,47.10,43.55, ,225.19,209.20,159.72,66.37,298.17,155.99, ,221.52,206.24,267.14,134.81,137.88,60.44,27.90,208.91,74.92,296.64, ,74.68,142.12,80.22,39.09,10.98,157.73,101.66,102.01,94.38,167.85,208.82,268.78,248.45,91.29,36.87,190.44,148.36,252.60,172.85, ,183.84,22.53,288.78,120.71,76.47,186.60, , ,286.13,174.58,285.56,63.23,179.86,23.88,127.39,85.28,117.25,6.21,287.82,121.87,13.73,77.62,215.69,126.46,149.81,228.19,290.47,10.89,166.21,82.76,287.24,112.69,137.16,244.27,113.88
 ,127.61,11.13,180.18,154.40,116.47,10.19,145.92,262.73,167.81,99.02,284.75,274.10,104.22,33.51,206.87,162.71,64.14,62.41, ,216.81,256.98, ,208.82,38.12,234.44,169.07,67.34,0.52,243.05,134.43,33.95,76.23,75.77,70.51,84.69,54.99,168.00,147.52,45.42,248.39,91.57,13.32,271.26,200.36, ,34.79,152.54,267.11,151.86,119.71, ,30.73, ,198.73,150.71,217.68,223.94,127.93,210.86,12.66,187.21,43.29,117.87,298.08,245.02,192.46,139.97,95.46,87.83,57.26, ,274.94,193.69,102.83, , ,247.75,276.88,51.32,292.59,196.96,192.16,270.03,186.87,52.35,142.50,129.13,16.28,55.93,276.56,145.06,248.43
67.93, ,119.25,260.13, ,37.70,68.05,215.45,62.40,26.79,14.34, ,30.62, ,240.59,200.63, ,149.06,64.37,146.00,198.57, ,219.72,208.57,151.57,242.69,91.82,118.86,125.40,136.77,146.67,21.95,163.02,196.36,82.77,187.50, , ,216.40,137.46,76.78,248.99,203.00,288.95,146.97,126.66,199.75,61.10,20.62,240.09,265.62, ,153.11, ,146.74,146.02,30.63,273.24,242.27,20.43, ,167.40,24.75,245.33,212.24,18.69,107.13,101.98,123.38,119.23,101.84,26.41,55.51,59.29,191.48,55.56,133.61,168.28,74.09,156.44,280.64,122.70,110.81,217.75, ,36.99,281.62,140.98,117.38,126.96,281.67,208.07,196.10
272.65,205.12,210.90,66.90,14.16,196.84,72.43,118.62, ,100.25,86.59,288.66,294.89,158.46,49.23,253.47,235.49,85.39,218.83,88.65,291.00,201.71,15.75, ,125.16,148.72,64.93,285.10,11.53,100.17,175.50,22.36,298.49,141.15,249.13,108.89,108.99,155.70,67.97,87.30,166.78,189.57,252.66,173.42,0.93,33.08,36.59, ,35.07,73.34,34.87, ,288.86,216.41,39.16,33.00,177.50,62.48,131.49, ,4.91,242.68, ,119.11,67.86,50.15,124.65,188.47, ,177.33,186.06,55.47,54.89,47.95, ,115.02,259.54,91.07, ,69.57,118.56,19.13,134.81,294.51,61.19,209.92,26.80,260.41,266.43,264.19,269.98,129.39,168.14
147.21, ,216.78,4.16,77.40,136.24,168.53,11.33,286.43,205.83, ,288.10,225.56,63.21,160.89,251.68,78.76,136.02, ,194.30,17.11,142.54,221.83,229.85,190.10,183.01,298.70,84.03,18.83,110.75,197.20,166.04, ,264.93,46.48,256.54,297.71,157.54,150.08,80.92,58.70,266.25,295.90,238.65,78.35,154.19,172.17,158.75,239.66,160.64,104.29,1.15,45.43,253.07,27.29,278.75,31.18,240.62,4.52,70.51,154.25,75.57,82.24,124.82,58.01, ,162.30,9.20,148.08,217.37,195.17,22.34,282.54,221.79,271.86,80.13,255.31, ,281.74,64.62,108.98,92.02,284.93,126.23,42.76,166.61,189.29,108.69,100.50,92.25,47.89,190.25,148.63
