Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38
 ,230.30, ,291.22,46.78,214.11,213.23,218.62,215.95,101.41,272.48,92.11,292.80,103.32,246.15,291.41,264.89,161.19,123.05,9.80,155.63,191.78,229.75,191.69,223.56,226.56,239.09,71.35,12.89,134.03, ,125.44,193.71,51.13,169.31,113.93,59.18,230.93
 ,41.33,113.29,12.84,160.93,58.52,183.82,106.95,30.45,143.30,229.48,271.52,58.87,147.53,234.25,28.94,152.95,82.03, ,94.87,196.09,64.62,230.63,235.31,166.48,91.78,200.55,58.39,40.20,81.69,167.71,167.16,120.01,12.03,272.60, ,168.69,156.97
84.34,232.37,159.47,124.59,104.00,4.73,146.13,119.85,105.89, ,35.89,88.96, ,61.55,85.52,8.54, ,92.88,159.66,94.96,250.29,167.11,46.02,202.35,25.11,90.10,38.22,18.93, ,12.11,28.74,118.97,40.12,130.16,205.93,70.57,206.14,136.15
157.88,164.70,66.52,232.18,89.63,197.48,232.09,105.53, ,224.51,47.33, ,22.94,84.13, ,290.27,281.89,63.24,117.33,89.83,137.51,258.36,165.85,127.77,280.69,82.64,86.71,175.98,152.91,299.11,198.44,151.78,242.00, ,59.33,293.47,257.85,186.42
127.69,281.30,42.28,285.77,156.61,123.46, ,176.15,215.06,60.09,254.92,281.85,61.43,152.02,60.05,175.92,241.56,194.88,279.78,130.45,121.38,50.72,214.83,263.69,1.45,196.73,25.88,114.92,280.78,76.80,80.81,254.41,190.21,167.05,114.06,97.25,243.68,128.43
74.83,288.41,115.90,32.65,63.73,229.08,114.52,85.33,258.59,217.70,189.03,18.80,82.24,238.53,264.02,184.45,159.07,115.13, ,147.78,121.72,45.82,109.87,251.56,10.29,222.90, , ,177.89, ,293.94,115.82,188.91,296.81, ,111.94,231.12,139.70
255.08,219.07,237.22, ,247.51,293.05, ,0.69,225.69,278.43,206.40,236.55,233.19,79.78,7.48,4.86,63.74,32.70,24.89,153.45,217.42,88.09,57.67,8.52,179.36,30.99,223.33,292.42,252.06,201.66,83.09, , ,166.46,129.65,109.33,286.39,298.50
50.78,163.26,39.52,46.24,128.38,38.05,126.11, ,27.77,276.09,56.37,100.74,252.57,5.11,278.48,234.17,82.64,216.23,29.86, ,100.37, ,138.41,283.87,101.03,78.18,245.92,200.04,30.33,38.76,88.28,67.31,70.21, ,286.44,42.65,180.07,32.53
281.43,21.70,41.61,188.13, ,22.67,25.92,171.37,88.45,81.92,282.11,5.70,138.57,37.55,177.66,116.40, ,56.97,271.93,270.53,217.31,182.73, ,235.73,40.39,67.10,179.94,274.45, ,113.02,81.65, ,262.21,276.38,70.25,96.13,184.10,86.13
138.91,109.60,129.64,98.83, ,278.77,246.75,290.06,47.64,256.65,33.92,84.91,40.17,254.24,182.59,295.12,49.33,126.08,146.96,222.81,248.38,289.66, ,279.71,113.62,211.54, ,181.47, ,221.63,197.68,188.14,125.74,157.43,30.70,290.02,204.23,255.15
23.38,171.80, ,285.42,16.72,139.85,214.64,119.82,280.97,108.33,76.19,246.50,43.65,209.27,132.15,5.58,266.38,109.75,261.04,23.98,2.75,175.95,247.12,137.57,246.21,17.16, ,263.66,2.50,150.91,23.72,58.51,60.29,71.43,175.41,53.74,169.36,29.12
164.68,224.32,271.11, ,293.51,73.59,131.58,86.07, ,179.98,250.57,157.40,270.02,188.61,185.99,241.32, ,106.00,69.04,211.11,8.70,68.35,139.77,47.46,84.44,105.82, ,46.08,8.92,217.68,39.85,255.50,18.78,87.16,169.26, ,108.53,74.51
76.92,76.81,140.12,160.72,188.72, , ,156.55,291.27,47.97,9.58,113.72,116.31,279.06,242.39,96.87,264.48,231.18,298.16,202.54,17.25,6.52,164.85,17.39,217.15, ,226.73,64.77,210.82, ,13.06,103.19,96.57,283.71,108.95,99.06, ,116.30
147.26,267.60,142.97,227.48,74.77,2.85,190.74,276.82,226.72,9.52,153.05,20.35,186.13,279.86,142.97,0.38,221.74,0.57,91.69,273.04,82.27,6.01,189.55,179.35,39.31,152.91,266.05,73.16,175.49, ,18.46,50.18,70.92,9.27,109.85,108.66,19.59,282.33
274.10,171.95,4.48,243.28,26.86,270.00,292.03,228.84,172.21,19.19,297.18,78.75,265.78, ,285.37,65.67,246.06,149.92,35.31,279.71,237.60,202.15,88.29,45.48,97.38,117.97,21.68,119.25, ,6.66,97.57,277.73,224.68,225.47,43.87,240.81,73.80,178.17
125.34,235.93,200.73,42.09,282.11,60.49,0.71,22.88,45.77,173.82,9.16,231.55,235.50,29.04,209.41,199.74,10.55,258.88,96.10,152.51,189.48,189.04,280.15,288.48,212.51,296.37,261.59,274.70,100.27,206.39,210.94,44.45,241.80,132.77,4.30,116.11, ,5.15
178.43,72.45,129.57,200.71,196.34,25.94,228.90,299.81,240.62,283.03, ,286.36,85.63,280.16,184.44,206.89,56.87,40.86,253.52,161.93,171.95,30.71,219.46,265.18,1.01,141.08,118.86,158.02,118.10,106.24, ,13.13,73.49,11.80,90.60,196.63,159.37,126.08
106.64,89.92,187.48, ,50.61,233.20,184.40,46.80,53.82,3.78,136.91,36.57,231.47,68.24,183.35,152.91,62.06,98.02,226.85,132.50,238.97,186.08,116.99,114.02,296.30,195.58,258.66,4.83, ,73.07,139.49,69.88,90.55, ,117.30,204.66,13.57,15.49
267.01,132.53,3.30,198.83,262.04,131.02,47.62,39.94,226.64,34.45,158.99,19.81,179.82,226.08,68.10,93.03,74.06,116.13,54.38,276.23,172.45,283.29, , ,184.64,91.66,195.27,62.80,226.93,139.54,136.00,94.59,242.75, ,58.88,208.97,222.23,246.29
208.68,223.89, ,44.94,270.10,274.23,155.28,275.52,54.17,202.46,40.55,17.40,204.09,104.11,185.63,224.22,238.19,139.00,141.57,193.68,124.14, ,279.42,120.09,123.23,176.71,272.17,289.39,226.01,271.42,138.43,128.16,239.11,192.54,60.31,2.89,200.62,16.55
239.85,154.28,68.26,35.06,52.90,207.74,277.24, ,115.67,11.00,119.19,61.75,290.05,231.29, , ,178.58,41.93,73.17,83.48,140.07,157.06,31.65,141.77,18.81,90.90,126.65,259.55,138.49,26.63,111.63,171.85,284.37,5.43,18.79,161.69,212.82,23.39
154.72, ,173.53,246.18,249.24,162.90,294.75,164.28,224.13,236.38,214.13,219.76,168.94,133.37,221.49,51.19, ,216.34,180.36,267.42,288.18,246.61,118.44,290.10,283.24,119.35,133.99,117.33,138.44,239.03,47.49, ,213.45, ,234.69,172.72,62.04,25.80
286.72,67.76,27.21,196.68,248.57,116.05,136.33,191.91,120.74,166.50,152.84,171.96,242.81,289.64,205.57, ,192.30,81.26,186.88,65.81,80.83,149.49,232.82,38.64,224.73, ,262.91,139.15, ,81.96,208.05,85.11,100.31,83.16,146.54,13.83, ,94.66
152.96,241.65,280.03,181.67,124.50,88.95,279.44,45.60,215.41,244.09,232.73,222.05, ,192.09,280.39,222.79,48.51, ,5.45,180.68,102.27,31.69,268.82,198.58,170.10,146.84,252.88,35.69,193.86,67.02,84.11,244.78,11.10,4.19,253.16,203.67,190.05,246.66
246.48,173.30,259.23,230.77,99.71, ,293.57,154.06,154.30,260.34,127.74,231.82,22.46, ,77.89,283.32,165.61,169.79,46.38,59.05,41.12,243.60,152.33,282.23,168.07,128.24, ,197.53,70.91,144.20,297.89,102.19,16.55,192.23, ,21.25,55.50,273.28
190.54,12.88,293.50,271.64,276.65,19.27,269.17,148.36,237.15,190.23,15.86,151.82,0.58,185.84,235.44, ,125.98,68.05,278.22,270.39, ,168.65,229.81,58.49,225.87,77.47,255.23,38.32,164.65,280.12,94.98,209.60,41.54,218.20,172.55, ,272.50,179.32
22.65,150.22,243.01,178.28,101.10,97.43,136.26, ,186.74,103.84,81.46,290.67,185.67,166.86,135.72,75.65,282.36,77.68,35.80,261.46,24.64,192.34,69.32,121.06,259.99,52.41,70.29,41.12,206.30,152.29,167.69,269.48,20.73,233.22,270.69,151.43,127.74,228.11
72.45,153.13,274.08,73.89,248.62,0.32,22.99,196.94,80.54,40.72,213.57,157.79, ,9.22,296.35,107.71,125.44, ,157.88,252.07,175.33,46.79,55.61, ,252.55,108.80,1.18,32.55,67.86,143.72, ,140.06,204.11,255.52,80.00,191.96,45.18,232.76
242.95,161.75,240.92,80.02,123.38,92.44,57.95,242.21,105.65,265.10, ,220.61,195.75,262.73,79.20,160.58,272.98,32.91,89.87,24.21,278.50,242.20,72.24,19.20,57.10, ,66.87, , ,112.96,100.36,206.20,201.36,103.37,110.27,140.18,71.77,243.89
232.15,158.32,40.09,240.70,237.96,58.78,145.20,157.94, ,64.14,113.89,179.32,251.77,4.38,298.65,161.06,226.47,243.04,222.03,50.77,246.58,122.37,203.54,135.46,206.65,225.06,41.10,184.73, , ,210.04,183.44,114.64,253.04,219.98,66.31,238.66,29.09
290.41,55.15, ,261.80,6.80,66.57,167.06,142.45, ,172.36,40.57,49.52,44.68,168.68, ,107.34,269.33,114.29,223.53,283.70,265.64,167.66,101.69,91.66,90.90,116.49,101.71,80.04,148.18,264.01,289.78,83.05,239.73,161.07,137.50,48.59,135.27,135.36
250.98,181.09, ,297.58, ,101.08,185.21, , ,208.42,220.57,150.86,188.80,23.56,156.70, ,291.98,264.82,239.38,110.02,180.01,53.66,208.68,155.09,108.07,66.35,224.88,150.68,246.63, ,272.93,180.89,11.30,67.21,108.67,50.26,139.05,143.59
66.54,264.03,157.75,290.83,193.21,8.25,295.27,87.12,190.20,70.59,137.30,141.73, ,191.99,235.90,179.51,116.39,8.87,86.94,31.69,170.41,252.77, ,123.64,43.82,203.93,215.34,252.21,287.21,249.06,284.96, ,29.80,131.82, ,218.76,187.87,186.28
116.05, ,239.69,87.64,174.92,168.87, ,225.95,203.33, ,188.29,129.10,289.24,256.75,179.68,33.27,158.89,159.00,45.30,164.96,52.23,35.00,256.04,147.04,92.60,85.87,195.98,198.98,175.89,30.63,128.34,98.53,65.38,181.20,56.23,243.62,86.06,29.55
167.89,201.50,198.65,241.38,202.35,279.86,296.09,133.81, ,232.34,139.77,292.87,246.10,194.07, ,172.69,167.20,260.70,1.07,56.06,253.99,82.81,36.65,244.33,203.32,102.80,158.48,7.86,238.79,3.01,172.00,77.45,216.28,107.89,197.51, ,151.51,242.61
159.01,29.69,224.83, , ,206.89,247.68,63.74,18.83,166.59,134.53,110.81,13.68,70.20,187.96,299.99,7.06, ,36.75,76.89,20.74,292.04,264.39,209.43,26.69,125.56,101.05,32.02,45.02,43.94,248.13,222.64,272.70,230.76,270.11,94.60,24.35,136.54
94.50,247.71,12.49,42.40,104.62,87.27,134.60,72.29, ,294.94,69.56,92.18,46.69,173.60,124.18,174.08,54.74,60.64,232.55,218.32,238.53,133.36,127.34,160.47,61.43,71.50,231.98,209.99,263.51,16.21,43.83,200.61,110.36,274.48, ,192.80,33.68,222.36
12.89,282.32,248.36,294.46,69.71,289.33,121.64,64.60, ,254.90,215.30,71.19,108.16,82.59,200.02,119.51,281.02, ,203.99,141.94,34.15,56.58,260.04,96.39,87.56,279.54,128.43,268.68,152.95,100.80,35.05,169.61,49.95,61.14,130.86, ,165.01, 
188.48,87.20,99.40,197.99, , ,123.73,44.63,175.96,26.77,214.36,267.94,72.45,218.25,232.15, ,46.88, , ,66.81,221.04,139.67,13.83,123.71,210.72,230.73,127.16,270.50,109.68,96.00,153.07,70.92,67.63,203.32,239.43,266.11,211.70,160.46
271.87,280.29,84.56,238.74,52.76,235.26,144.06,1.21,30.57,220.83,189.92,122.63,94.28,289.83, ,150.29,166.40,211.79,219.02, ,130.73,196.98,38.01, , ,38.16,111.35,226.02,83.13,130.62,137.40,183.39,270.74,198.33,26.68,24.21,235.07,25.05
220.94,173.08,102.29,146.01,170.22,214.91,120.68, ,258.08,14.15, ,129.04,241.91,135.67,5.20, ,30.25,42.01, ,60.20,287.10,109.25,278.24,110.67,69.69,56.99,255.59,72.39,235.34,240.34,280.42,141.74,275.78,143.50, ,203.70,107.47,73.96
88.14,75.47,167.82,244.05,272.50,175.88,226.38,297.46,170.60,139.13,218.78,115.59,4.02,252.59,129.19,76.29,124.68,104.39, ,48.44,141.16, ,198.28,162.03,263.25,138.75,4.73,286.02,45.42,139.61,101.53,24.57,186.13,29.57, ,198.23,237.72,78.44
237.67,71.60,7.56, ,109.93,29.70,229.28,86.00,73.13,37.68,65.35,246.94,214.34,293.15, ,32.54,235.96,76.04,103.63,111.80,193.54,105.50,150.04,75.49,253.75,256.61,28.36,298.38,94.77, ,48.07,148.96, ,119.17,56.96,239.45,298.60,89.52
122.48,284.72,158.49,160.99,289.91,295.52,12.63,75.34,138.36,278.02,238.19,74.01,20.00,163.91,146.46,122.71,193.00,166.91,45.90,166.58,217.24,24.10,252.40, , ,288.23,8.92,134.16,221.57,96.40,172.76,38.92,211.79,102.89,283.40,106.58, ,23.83
208.70,264.48,12.63,296.38,64.15,183.75,144.37,243.47,210.66, ,206.13,200.68, ,184.08,283.39,42.42,46.14,260.91, ,273.54,255.65,130.00,206.88,22.83,220.55,155.44,221.44,204.98, ,81.79,228.41,40.25,72.39,221.94,97.01,6.84, , 
292.86,236.86,38.15,190.48,37.08,212.26,202.33,169.25,40.58,49.29,68.48, ,290.43,264.24,161.82,8.51,119.95,128.65,61.99,280.36,47.37,265.08,180.04, ,164.15,112.94,120.87,35.11,171.85,252.33,51.91,52.01,199.38,72.36,137.84,269.62,130.02,155.73
127.37,291.32,195.23,204.95,285.68,4.20,130.15,201.02,35.97,125.76,28.88,224.61,280.77,57.37,141.57,86.84, ,78.17,263.51,165.40,168.10,283.81,235.62,226.66,276.32,243.44,208.57,136.28,122.33,132.65,172.08,19.97,114.03,101.46,280.56, ,148.66,40.96
7.95,100.95, ,280.65,169.29,210.62,264.51,36.08,266.08,142.91,49.17,84.18,34.47,117.50,213.40,132.57,197.78, ,23.40,169.30, ,58.51,246.36,36.04,120.18,190.59, ,239.76,72.36,254.49,207.90,50.50,178.68,295.51,26.84,64.07,111.38,254.65
251.23,150.52,97.86,124.26,140.82,280.97,154.42,50.27,281.57,160.05,238.96,152.81,174.48, ,285.87,116.59,172.98,250.86,192.12,230.90,244.32,234.04,149.34,207.77,151.07, ,11.32,227.27,213.29,81.00,87.63,191.82,175.73,138.83,178.20,213.27,186.65,65.32
57.53,251.91,85.90,40.90,207.93,261.34,69.93,196.45,45.10, ,220.83,184.35,252.55,116.47,13.34,149.14,82.19,9.40,169.87,92.27,177.77,228.43,130.37,195.44,15.88,33.45,58.05,139.90,44.49,94.42,281.03,115.31,27.54,114.59,94.55,164.50,267.31,271.31
 ,166.75,79.59,119.05,208.51,156.19,81.35,13.53,93.59,254.49,284.63,271.40,173.75,46.54, ,139.47,243.24,284.13,282.77,147.90,43.09,155.26, ,267.82,105.29,232.82,218.21,138.99,99.49, ,146.03, ,285.49,156.67,260.31, ,94.90,170.51
218.16,100.18,293.58,289.56, ,49.34, ,188.33,25.66,230.65,59.86,157.18,0.75, ,186.26,91.25,87.82, ,113.58,22.10,105.33,162.15,61.00,40.23,298.13,150.39,237.58,72.86,246.30,140.62,259.86, ,179.53,263.15,259.32,39.47,97.91,228.63
112.13,252.19,62.10,211.85,255.65,63.74,68.40, ,11.06,248.96,276.73,8.12,54.02,33.56,98.60,49.14,196.81,262.75,175.21,170.12,236.47,229.83,60.62,177.92,164.37,116.64, , ,135.19,125.46,96.10,253.43,234.63,258.35, ,133.56,278.63,114.68
229.48, ,296.65,103.14,106.36,2.11,44.55,3.53,6.04,94.08,244.86,109.71, ,218.21,104.30,36.42,167.69,20.54,262.55,2.29, ,222.07,134.32,262.98,136.63,237.47, ,182.33,38.19,185.53,122.31,153.25,208.80,124.63,220.09,229.36,210.74,144.44
170.06,299.40,247.70,245.37, , ,137.85,213.24,191.51,13.20,194.28, ,18.90,285.79,80.71,16.82,52.61,286.51,52.64,111.37,239.79,217.97,127.63,280.73,44.59,164.21, ,86.22,229.46, ,35.54,49.01,134.72,105.61,265.29,115.65,179.31,66.44
122.93,250.36,45.09,119.94,84.31,295.52,259.96,80.21,251.35,47.86,230.84,207.30,11.72,272.79,78.38,288.32,233.31,4.97, ,124.91,17.95,183.23,115.37,37.53, , ,158.73,97.60,61.04, ,83.99,214.96,5.76,63.69,141.96,217.48,193.57,93.55
288.42,164.34,88.40,172.41,133.94,52.75, ,46.49,171.19,85.02,18.76, ,257.84,165.91, ,59.47,299.41,268.92,272.79,138.68,246.06,81.94,146.59, ,193.07, ,206.08,264.15,171.45,182.68,227.31, ,286.78,206.98,7.41,68.02,95.93,27.13
97.95,36.34,58.73, ,289.31,7.32,60.33, ,243.01,242.17,88.06, ,295.03,46.90,92.20,48.21,155.09,206.16,274.31,213.16,56.35,39.21,155.93,242.46,42.56,112.95,211.00,83.05,66.08,158.31, ,206.52,113.02,172.64, ,104.83,22.51,83.07
224.86, ,167.31,203.83, ,247.39, , ,107.29,160.40,189.00,172.12,231.35,28.13,135.40,79.39,294.14,219.64,101.46,86.31,284.75,133.99,277.82,262.59,129.35, ,18.35,222.83, , ,201.95,74.84,150.85,29.05,152.39,114.77,34.35,218.04
160.00,88.74,112.77,87.98,224.57,177.09,280.16,86.84,121.21,217.03,94.43,285.37,194.11,180.11,126.15,39.38,248.34,244.79,1.97,296.87,139.10,73.94,223.72,1.38,22.46,16.99,164.48,63.70,102.50,287.06,41.97,214.81,154.56,51.42,192.37,83.07,222.25,150.73
17.80,190.90,70.52,157.15,210.25, ,12.76,280.65,206.65,156.22, ,15.82,18.17,296.67,239.65, ,90.39,276.06,255.79,13.03,173.48,73.94,241.62,259.01,28.10,229.36,62.61,200.14,109.18, ,210.42,226.58,138.36,144.74,247.26,93.88,34.54,184.87
 ,271.57,205.81,253.53,183.99,226.18,27.12,192.45,245.78,261.35,78.79,259.20,200.08,253.53,154.80,195.89, ,167.45,184.80,25.09,51.11,246.15,68.35,27.70, ,268.13,41.74,17.30, ,217.37,160.09,276.01,124.27,134.52,31.25,158.85,39.28,97.57
45.21,266.94, ,194.22,33.53,87.95,236.91,268.20,154.60,34.13,20.86,144.65,25.06,171.43, ,81.39,188.68,44.89,199.51,49.83,47.46,28.49,222.71, ,280.82,263.07,187.73,8.77,296.51,196.35,115.23,249.34,288.26,39.09,275.45,193.71,100.49,244.48
102.21, ,83.04,228.34,32.81,106.76,208.78,261.54,255.83,26.07,49.39, ,193.27,42.14, ,142.63,237.92,68.70,6.68,50.47,249.73,147.29,148.47,197.08,132.80,171.13,102.94, ,92.06,38.33,200.76,276.84, , ,235.94,24.93,225.54,37.41
107.23,157.28,290.97,296.10,138.41,246.82,115.85,172.72,173.08, ,149.92,155.63,176.66,193.09,256.25,1.75,260.27,122.35,86.61,119.68,228.05,177.32,90.50,159.70,89.28,130.63,173.90,107.36,16.96, ,273.21,16.65,113.77,60.62, ,150.26,129.40,31.68
