Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91
279.95,174.69,142.47,124.70,216.81,262.34,249.07,109.92, ,131.70,229.09, ,235.20,68.09,257.14,85.19,56.35,138.48,128.73,218.10,162.11,72.10,229.58,244.98,77.64, ,53.75,174.92,74.94,294.10,297.24,69.15,78.92,93.67,263.02,228.06, ,62.97,61.17,9.72,32.06,216.81,141.11,78.18,131.50,61.21,115.51,184.60,162.71,164.37,281.91,100.73,175.72,186.90,156.26,243.04,283.98,91.58,216.41,192.20,288.03,163.37,37.20,174.24,66.86,72.59,277.61,247.12,37.03,90.22,30.64,81.61,193.11,139.72,42.94,157.44,285.33,134.51,68.77,222.45,47.36,184.39,168.35, ,205.38, ,98.67,1.77,10.79,53.47, 
 ,182.43,127.38,182.64,190.30,270.63,87.03,107.77,42.96,102.93, ,68.45,280.17,191.54,75.41,213.91,90.82,108.36,137.70,135.30,166.42,70.21,173.74,86.94,131.16,248.09,244.56,242.19,81.17,85.18, ,299.09,10.95,190.86,147.11,98.91,33.40,16.89,59.35,99.50,236.25,152.61,107.12,230.86,250.33,117.04, ,116.13,295.67,80.28, ,247.26,219.34,243.80,293.23,41.33,207.67, ,60.28,62.41,197.11,179.76,211.31,246.41,176.08,152.99,201.36,203.62,44.99,203.34,177.51,22.55,114.17,225.53,266.39, ,163.50,283.65,293.51,71.60,146.40,173.94, ,299.58,174.58,190.67,25.79,284.42, ,98.58,263.95
14.87,76.91,34.10,3.57,30.88,48.56,88.85,280.04,222.07,178.46,177.09,292.43,240.80,283.69,89.25,12.41,199.53,282.51,149.89, ,180.77,9.79,150.10, , ,154.36,32.43, ,288.81,146.86,154.19,268.99,78.19, ,277.73,30.08,220.61, ,101.38,182.39,227.50,197.50,269.03,113.92,123.59,203.44,32.33,101.00,1.08,282.72,156.92,78.73,274.05,240.87,172.29,234.85,237.94,181.28,54.35,296.99,97.92,148.40,258.07,131.57,128.59,7.79,167.73,53.79, ,294.66,53.69,152.07,55.86,34.76,38.77,259.82,127.87,65.12,118.32, ,77.46,203.98,128.61,171.78,213.50,177.06,106.87,282.79,50.85,295.12, 
25.07,222.70,133.75,111.06,2.32,29.54,104.73,274.03,286.57,89.95,33.49,146.62,203.46,79.33,102.09,176.64,66.51,280.10, ,91.16,89.48,181.87,96.65,208.93,283.24,63.05, ,283.72,127.34,276.57, ,78.66, ,205.82,33.82,266.46,277.09,210.45, , ,65.65,54.28,280.56,101.80, ,85.52,45.85, ,252.53,228.38,265.00,18.41, ,284.87,297.22,30.23,104.32,31.86,229.87,82.22,172.41, ,257.93,13.87,108.63,261.14, , ,171.22,224.96,221.90,188.56,74.98,129.88,186.65,180.43,13.75,129.67,197.96,58.43, ,167.06,279.35,96.86,75.29,130.45,255.78,155.21,250.17,111.22,196.63
81.15,56.50,283.56,209.06,214.45,89.36,299.14,285.58, ,60.87,104.65,85.66, ,67.00,192.71,130.73,220.97,243.24,222.98,133.48,297.95,252.93,129.44,156.02,48.06, ,177.94, , ,214.71,30.60,278.84,275.44,129.78,11.42, ,238.22, ,236.17,195.28,118.10,179.50,195.41,109.00,244.60, ,159.31,67.55,77.38,279.46,106.14,156.99,277.10,154.12,31.38,114.72, ,262.06,194.00,244.10,230.82,15.41,48.00,35.32,191.33,31.48, ,198.28, ,175.37,185.34,20.47,209.53,289.01,9.70,29.07,186.01,142.49,227.66,15.37,242.51,274.66,243.58,172.27, ,47.65,9.05,147.02,52.00,26.19,232.05
252.66,95.20, ,296.62,218.83,103.19,218.68,135.33,170.34,299.72,55.25,3.09,273.29,249.71,66.45,127.69,125.97,70.85,41.87,178.73,79.46, ,298.14,257.37,230.12,160.12,20.23,227.26,259.68,167.65,33.98,283.02,166.92,80.48,38.43, ,299.14,66.10,225.55,78.55,55.99,246.06,63.75,207.42,192.13,149.33,208.93,30.48,57.20,299.05,65.47,46.80,74.42,185.78,238.77,85.92,7.85,274.92, ,182.34,156.57,202.62,266.22,234.51,150.11,183.83,27.02,159.55,105.25,277.41,211.22,191.14,249.59, ,21.19,63.24,44.12,277.11,86.74,182.65, ,144.19,32.86,186.19,262.84,164.85,96.66,181.99,282.05, , 
152.77,226.20,142.58,204.36,133.47,273.37,194.49,260.35,288.78,119.77,137.97,191.87,60.69,222.42,205.44,205.69,231.79,285.46,178.61,165.09,164.19,117.07,256.03,286.04,223.95,196.43,90.43,296.55,162.15, , ,52.30,125.80,231.42,58.47,1.07,122.11,62.03,223.95,16.60, ,240.55,159.31,106.23,299.02,109.76, ,177.35,250.72,254.39,114.40,292.18,236.42,280.74,53.46,16.52,114.68,10.61, ,13.08,86.31,194.04,230.10,73.42,295.96,154.78,190.97,170.28,104.07, ,102.52,191.86,108.09,98.43,137.02,131.78,23.45,267.77,73.98,292.94,8.95,129.15,260.48,57.34,100.87,254.10,79.93,22.43,152.50,6.73,57.99
63.24,282.39,0.95,44.01,30.74,63.40,240.02,156.69,290.80,39.25,160.95,90.86,7.21,4.23, ,62.23,296.12,134.84,144.62,71.13,221.94,201.91,64.11, ,61.46,196.09,161.49,219.91,240.42,195.71,241.06,6.88,124.71,228.35,295.16,222.97,41.50,35.58, ,261.38,172.63,257.96, ,15.01,291.81,120.38,200.08,16.11,154.95,57.50,292.64, ,215.61,244.35,221.91,73.84,129.55,61.26,219.83,102.52,92.53,233.46,258.02,296.16,149.84, ,233.14,275.14,45.23, ,7.90,148.02,266.67,28.21,65.09,128.66,61.12,225.56,201.24, ,197.40,139.32,271.05, ,246.18,209.21,288.79,191.03,298.85,114.39,185.64
275.10,47.10,235.49,30.80,156.25,34.13,159.60,175.86,232.49, ,141.70,129.30,120.73,57.66,80.50,164.08,59.83,7.08,113.86,126.85,135.99,284.72,6.73,216.67,285.71,79.30,268.42, ,89.15,243.90,255.21,231.68,88.45,222.27,223.92,11.34, ,158.47,78.81,212.45,103.99,34.20, ,2.62,211.82,266.60,159.37,184.34, ,272.79, ,157.28,261.30,299.53,27.09,78.11,71.21,296.27,107.79,294.97,271.45,202.19,62.51,159.86,152.60,219.63,56.15,178.72, ,178.25,272.63, ,164.91,168.46,77.61,40.75,86.67, ,288.86,41.88,110.11,203.01,208.35,163.14,135.44,230.80,197.34,50.70,68.34,160.66,236.53
270.28,223.58,288.48,232.72,262.85,19.07,149.81,122.58,212.69,193.53, ,90.87,22.40,115.26,243.74,117.85,15.07,4.24,115.43,230.26,179.53, ,45.39,92.28,135.84, ,29.38,97.68,195.39,203.32,1.40,55.44,227.71,246.19, ,61.62, ,207.40,271.39,73.54, ,241.51,169.51,259.51,165.18,213.38,283.08, ,130.14,105.90,49.98,289.80,113.72,116.33,166.57,93.37,182.01,181.63,127.42,71.65, ,151.40, , ,282.82,264.62, ,22.47,244.22,130.31,150.69,79.05,34.37,257.38,130.33,28.52,88.13,103.16,251.57,2.00,144.77, ,107.06,73.14,224.57,249.65,236.09,61.55,230.66,210.73,64.30
175.55,137.87,125.22,227.29,42.31, ,130.53,239.00,137.15,35.45, ,17.95,204.28,111.98,13.46,281.97,72.44,99.81,133.24,250.61,212.20,73.87,123.45,283.14,275.03,269.78,49.48,56.21, ,168.19,80.68,70.68,263.35,258.25,61.45,124.27,95.47,195.85,240.63,122.75,8.77,144.74,213.71,262.55,199.69,256.18,21.65,138.81,255.06,158.65,280.34, ,75.81,34.34,40.73, ,215.70, ,60.44,116.12,245.74,92.60,239.77,98.14, ,83.14,8.83,238.18,224.70,64.98,111.00,65.53,18.58,255.92,41.67,37.11,184.84,27.17,260.48,59.47,11.91,148.79,84.39,9.91, , ,33.90,55.31,153.71,80.65,294.87
48.73,56.89,52.68,194.91,184.20,240.25,96.99,216.85,176.01,190.48,1.67,14.29,23.80,130.86,277.63,226.78,157.70,259.93,67.73,223.53,109.23,148.04,252.82,87.60, ,278.08,293.34,182.77,226.26,181.17, ,6.90,54.76,241.16,74.97,169.54,260.82,162.28,184.98,173.77,243.94,250.66,158.77,295.20,79.38,90.25,74.37, ,129.13,8.75,36.72,13.36,278.46,197.51,177.10,261.10,256.56,100.35,285.31,64.19,32.85,284.65,184.54,210.54,43.54,157.49,236.92,115.49,162.97,2.72,25.61,189.76,90.35,51.15,243.58,270.06,225.51,119.37,36.50,123.71,249.19,160.31, , ,101.50,288.79,55.09,68.04,296.56,234.95,234.06
163.06,154.95,158.82, ,195.32, ,275.37,3.51, ,155.55,241.03,100.27,225.65,113.29,111.24,105.44,205.74,22.01,138.92,268.67,9.18,117.47,139.36, ,275.04,190.55,151.46,186.80,286.75,10.00,112.70,262.68,187.43, ,297.28,104.24,198.81, ,16.28,269.31,179.90,297.59,30.88,131.55, ,118.31,55.77,31.85,238.23,224.88,297.17,270.45,188.12,214.83,185.53,287.38,239.64,270.28,262.62,141.64,165.09,99.45,235.49,258.31,134.81,58.61,105.36,233.40,198.31,11.55,207.97,56.53,230.67,157.69,146.14,73.60,259.28,232.10,4.36,68.50,73.60,271.17,156.16,172.44,52.80,138.31,182.93,108.38,221.65,6.90,265.40
79.03, ,11.12,257.93,187.95,275.14,68.27, ,272.84,225.69,210.54,286.41,258.83,207.07,60.87,248.27,294.48,250.95,38.42,205.96, ,3.07,273.41, , ,44.18,70.33,6.27,56.24,93.16,6.81,211.89, ,238.16,249.22,163.29,259.51,227.59,72.32,191.27,211.88,187.84,106.24,13.89,13.90,33.73,120.43,76.82,229.29, , ,204.09,166.14,189.01,81.47,236.42,104.99,8.65,155.91,250.49,55.45, ,89.18,103.85,206.13,25.84,101.53,125.20,70.48,110.29,70.27,100.64, ,248.93,169.43,166.54,274.64,84.30,11.17,61.91,119.73,133.56,8.50,166.04,108.39, ,272.61,111.68,268.11,22.18,157.72
186.31,101.66, ,59.72,275.54,227.19,28.61,136.12,98.66,266.89,156.99,179.65,118.64,50.21,275.07,264.64,256.28, ,64.58,263.46,279.75,111.24, ,171.99, , ,213.30,177.70,124.66,152.39,10.24, ,285.31,14.87,228.85,291.15,261.36,177.47,39.70, ,153.41,227.29,131.36, ,9.05,246.59,63.27,76.64,240.12,238.43,149.35,212.14, ,173.50,38.17,134.81, ,288.22,58.04,18.95,114.36,109.52,94.40,250.85,138.66, ,77.09,82.34,58.11,105.08,17.94,46.22,170.14,140.97,235.02,76.68, ,104.68,8.72,115.96,70.13,150.54,31.72,85.46,54.61,81.17,26.24,32.44,94.56,19.95,144.42
228.97,101.12,221.25,232.74,69.40,291.83, ,23.55,91.45,271.06,80.82,125.98,289.71, ,199.12,252.10,178.27,21.61,214.73,89.22,280.07,150.33,78.56,295.46,247.76,266.06,75.92,173.48,213.05, ,112.17,133.07,81.62,177.32,228.87,150.22,100.24,226.66,87.40,67.60,30.74,48.46,138.62,251.72,184.85,100.76,33.51,152.72,247.97,176.13,150.21,253.18,35.19,22.60,262.82,204.99,152.90,71.79,225.25,211.31,153.66,107.11,245.90,2.30,289.87,70.71,204.79,90.54,203.73,62.57,203.34,160.10,221.01,47.77,255.40,256.35,271.15,296.24,23.29,110.92,176.98,153.24,205.52,21.75,56.92,275.80,51.87,16.50,67.80,119.13,23.34
132.27,138.94,211.54,127.07,175.39,204.09,85.82,272.40,218.86,191.88,289.58,30.57,216.63,70.33,121.58, ,253.85,250.19,299.70,209.44,287.80,226.24,299.31,288.83,254.72, ,149.38,242.51,13.80,278.33,194.91, ,6.15,265.97,136.13,68.75,287.83,259.06,72.98, , ,65.24,79.97,54.03, ,233.98,165.65,185.64,12.22, ,65.98,23.05,295.09,247.69,148.36, ,221.34,146.94,230.34,63.13, ,150.84,39.59,166.49,137.98,264.13,293.76,230.84,232.23,108.61,208.86,86.67,178.31,252.81,182.12,224.60,110.00,177.29,27.77,101.50,270.84,67.17, ,298.02,27.96,90.02,132.81,294.55,225.29,191.49,128.43
11.36,5.87,182.18,114.57,256.96,196.80,47.49, ,45.51,146.28,232.82,102.28,48.70,205.09,232.45,123.45,3.21,134.20,10.51, , ,246.63,133.27, ,294.66,277.90,233.80,70.28,49.63,36.66,255.17,23.04,155.13,250.24,285.56,293.98,244.82,221.86,63.72,62.10,278.59, ,212.39,266.12,36.99,237.01,271.37,150.62,123.81,168.63,287.55,101.26,153.69,184.64,95.44,45.50,54.30,49.66,72.85, ,109.84,104.05,3.35,88.04,196.55, ,3.83, ,105.09,152.94,225.01,232.24,181.83,55.01,135.72,40.17,188.75,183.48,87.43,65.54,108.57,265.50,265.92,198.19,83.45,207.82, ,140.06,69.30,64.18, 
85.89,213.34,226.80,267.44,283.64,189.69,295.06,291.16,198.27, ,281.72,239.81,127.95,299.34,6.00, ,67.84,10.66,124.06,78.01,251.69,124.48,153.86,296.57, ,194.85,112.52,274.84,166.75,132.21,0.04,229.62,206.06,244.56, ,182.02,294.60,26.90,275.09,238.62,25.78,166.51,131.66,34.99,209.83,16.21,137.81,5.54,60.48,16.28,287.67,212.98,32.01,101.34,120.65,278.76,59.11,206.56,188.36,74.77,79.33,174.11,245.41,288.86,264.23,253.62,203.43,234.17,106.49,242.53,75.48,73.56,66.56,25.36,221.67,53.11, ,227.22,136.51,206.99, ,212.12, ,115.55,257.18,69.12,293.52,68.18,69.80,281.37,228.13
 ,28.25,272.59,216.62,55.87,97.72, ,9.84, ,125.40, ,176.38,67.49,22.28,84.71, ,66.08,266.57,113.61,291.77,214.19, ,270.05, ,168.32,84.49,144.09,119.54,86.27,286.36,167.86,40.89,160.48,101.96,109.34,121.88,1.77, ,278.69,241.40,174.45,137.83,111.96,156.60,133.99,17.20,170.04,131.06,299.72,231.94,47.36,248.66,149.28,157.99,290.85,181.31,67.26,202.36,66.87,210.06,61.14,291.03,66.49,61.16,60.11,192.98,140.61,255.95,126.36,117.86,213.32,282.50,18.32,159.80,243.83,286.04,297.12,236.14,99.16,129.83, ,22.81,131.01,222.70,290.81,238.75,249.96,90.52,256.23,90.34,219.21
27.46,157.32,160.32,103.70,50.77,148.02,229.72,238.02,99.92,189.05,36.85,276.59,69.55,102.76, ,21.97,1.70, ,6.24,98.35,264.09,72.91,222.69,91.13,155.04,89.54,229.72,183.11,253.75,139.14,112.54,78.48,115.08,10.04, ,108.39,95.19,4.17,180.19,298.43,161.84,130.44,119.21,89.05,210.57,164.66,154.24,45.57,93.12,296.90,201.30,145.70,62.79, ,242.98,202.21,18.51,114.32,210.90,13.50,281.72,101.08,209.43,294.37,172.23, ,86.67,298.48,262.36,82.24,4.26, ,288.14,160.05,181.87,173.61,7.37,250.56,104.13, ,98.50,59.80,249.49, ,247.97, , ,161.09,13.51,25.79,57.42
104.11,256.80, ,264.17,85.22,237.17,260.19,1.51, ,251.00, ,198.97,118.97,106.39,221.73,102.20,263.81,27.49,244.85,37.76,138.26,281.64, , ,111.10,261.81,20.71, ,219.69,156.48,179.95,49.64,35.09,50.14,0.51,267.99,291.00,143.98,158.65,182.18,30.51,62.29, ,190.55,192.29,234.32,144.07,69.84,202.30,280.55,43.36,193.44,224.79,193.06,229.10, ,29.57,172.83,183.32,282.41,37.73,195.49, ,62.70,21.01,170.61,190.45,235.35,263.05,154.34,198.91,268.58,113.00,292.68,294.88,187.27,175.84,151.53,224.40, ,245.41, ,246.97,146.10,153.56,42.46,265.26,91.33, ,204.33,53.89
40.29,296.46,67.85,147.85,54.66,63.14, ,295.28,10.97,129.35,250.54,172.43,113.16,149.65,168.09,228.26, ,120.27,231.68,104.00,189.73,141.61,158.73,248.15, ,89.53,258.41,106.92,255.87,94.60,94.46,0.57,239.96,142.99,167.59,17.71, ,176.38, ,35.11, ,140.88,211.38,223.93,182.91, ,103.00,12.82,112.06,220.17,249.31, ,116.91,283.44,15.09,152.76,194.93,10.63,289.92,111.79,173.45,268.63, ,118.00,295.16,106.97,282.09,278.49,173.19,231.27,87.84,89.99,286.01,287.26,104.30,133.61,82.72,286.78,226.02,257.05,34.85,136.50,120.31,264.77,187.74,230.72,287.13,252.20,135.10,294.96,148.72
257.55,256.88,94.91,49.11,104.07,115.98,100.91,55.57,229.79,261.72,218.88,181.22,221.99, ,216.94,259.26,213.27,2.39,285.60,206.71,289.36, ,229.93,89.83,157.26,228.81,180.13,67.83, , ,77.67,206.75,88.57,246.65,254.64,264.87,10.95,129.28,155.97,93.20,44.71,265.41,69.44,121.21,206.89,127.08,269.30,17.93,286.09,37.14,68.82,80.65,4.44, ,160.41, ,106.21,125.06,287.38,217.16,31.77,248.58,108.60,192.68,275.75,91.11,119.50,14.90,239.71,110.09,179.75,195.70,93.10,57.58,215.27,189.06,98.78,105.90,55.52,33.91,177.35,44.16,284.96,197.00,78.40, ,258.15,141.48,179.42, ,259.89
276.43,24.56,286.59,282.59,129.03,73.37,141.52,3.22,176.58,51.15,207.30, ,293.62, ,173.03,158.93,78.15,281.87,210.57,233.16,10.57,209.66,68.56,201.47,177.66,271.99,33.03,225.72,172.91,103.41,64.76,178.87,97.69,245.61,129.20,201.42, , ,223.72,162.25,81.30,203.24,268.71,232.59,182.44,258.55,151.44,248.18,166.22,191.04,54.14, ,255.56,231.56,83.74, ,208.93,268.80,75.68,48.45,131.94,113.76,216.74,113.81,295.51,210.80,91.85,206.80,220.50,14.01,150.57,216.02,277.48,171.67,122.33,61.43,151.00,44.77,140.39,232.66,138.60,22.46,108.39,12.91,296.09,16.02,282.01,206.15,116.87,12.65,297.93
193.47,249.26,216.67, ,149.33,235.43,248.02,101.17,178.80,173.37,146.08,187.73,226.17,194.99,159.87,1.92,27.66,183.21,67.52,62.74,198.43,209.64, ,10.82,42.86,197.10,286.96,136.30,143.30,260.08,143.39,149.20,121.93,260.54,67.58,150.59, ,148.76,278.28,204.89,55.68,199.11,32.73,140.55,259.53,57.90,267.46,256.02,274.10,5.32,23.66,212.53,70.56,202.17,74.11,50.85,152.84,134.04,66.19,283.39,98.65,132.53,193.45,110.90,44.62,229.50,54.95,76.37,203.32,174.35, ,225.20,238.44,241.26,241.34,107.40,14.50,99.59, , ,191.51,232.75,139.18, ,281.21,188.19,55.93,161.97,287.74,79.98, 
203.99,126.29,71.30,160.06,221.41,59.01,111.88,120.65,292.78,232.27, ,116.80,134.06,267.63,247.95,284.69,251.59,284.70,160.23,123.04,46.90,90.12, ,81.88,88.17, ,20.44,235.31,270.93,116.00,191.17,286.17,222.36,264.80,200.74,32.54,156.13,49.02,239.26,28.12,274.31, ,294.75,18.83,218.54, ,157.10,11.95,155.25,81.04, ,281.78,173.90,101.19,54.59,192.60,75.56,215.04,195.84,125.96,41.78,2.88,201.60,1.72,137.50,125.91,77.39,202.61, ,3.81, ,51.24,108.56,209.55,5.15,233.39,20.06,175.60,264.94,5.19,122.07,202.69,100.24, ,2.85,168.91,135.99, ,233.22,184.71,168.91
248.16,20.96,77.47,291.15,273.76,9.07,139.03,43.80,191.83,242.13,268.37,259.18,6.69, ,191.40,19.34,283.33,102.21,199.11,242.69,272.53,250.59,78.07,112.15,54.18,259.47,179.98,136.55,214.95,35.53,64.12,187.61,176.50,298.99,288.60,17.13,180.72,29.48,130.07,276.12,53.25,61.62,143.86,118.33,227.12,165.16,208.71,38.68,42.60,160.83,279.35,292.32,145.68,118.85,163.44,159.99,30.57,149.91,119.78,233.23,122.08, ,30.80,76.81,193.77,276.85,93.83,217.29,0.49,72.75,102.53,136.24,198.29,169.12,177.62,5.95,259.43,262.65,255.52,106.25,153.94,74.26, ,291.55,238.40,274.43,33.17,50.88,40.44,221.49,286.35
