Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115,Col116,Col117,Col118,Col119,Col120,Col121,Col122,Col123,Col124,Col125,Col126,Col127,Col128,Col129,Col130,Col131,Col132,Col133,Col134,Col135,Col136,Col137,Col138,Col139,Col140,Col141,Col142,Col143,Col144,Col145,Col146,Col147
259.34,270.25,189.50,42.57,127.93,68.87,72.80,42.78,238.54,64.46,228.03, ,48.11,207.18,260.13,287.81,44.40, ,194.21,236.94,21.38,91.11,97.28,84.36,213.85,115.48, ,43.51,207.38,288.79,46.73,199.62,236.33,223.25,138.23,130.95, ,195.82,113.10,30.04,133.15,220.37, ,12.16,82.63,83.77,34.10,20.33,165.03,177.73,150.66, ,281.61, ,177.43,225.69,287.15,3.68,43.53,153.23, ,235.86,28.24, ,158.74,243.03,284.26,112.04,136.73, ,227.71,293.96,240.08,171.97,168.16,106.77,256.25,64.94,137.68,199.38,251.92,90.04,211.24,87.73,47.53,162.70,3.90,160.07,21.14,7.22, ,113.99,91.31,74.73,114.14,182.80,119.83,51.17, ,261.98,67.18,172.75,284.76,86.53,120.64,176.86,296.98,241.86,103.23,81.50,32.44,269.45,69.24,44.75,100.25,47.99,16.24,97.30,97.40,145.82,291.51,45.90,34.60,295.27,206.06, ,238.51,193.92,95.43,276.84, ,283.57,240.82,228.91,0.80,221.95,244.35,169.30, ,203.89, ,41.71,273.98,122.56,160.10,95.60,31.49
206.64,63.95,14.86,185.57,19.18,162.29,20.97,253.77,235.47,120.13,115.83,243.37,94.29,293.04,236.72,245.67,39.59,290.81,2.49,70.12,283.89,285.19,263.99,227.78,170.74,176.65,142.02, ,236.31, ,126.19,242.54, ,282.13,294.37,83.96,106.70,154.63,90.82,3.09,87.26,200.53,79.20,277.19,112.07,122.70, ,282.91,111.56,254.75,280.84,277.00, ,82.62,137.13,165.70,203.24,42.78,88.13,290.87,21.19,278.83,133.02,126.80,130.08,60.38,94.12, ,245.71,82.73,286.87,117.62, ,70.58,263.19,291.84, ,13.03,202.86,190.02,283.72,51.46,56.03,191.12,74.68,257.47,88.75,113.59,71.44,276.95, ,135.66,190.25,246.18,262.54,137.26,86.83,235.38, , ,74.95, ,211.78,242.05,198.49,206.90,28.64,211.24,19.50,155.09,90.57,41.73,239.60, , ,161.04,261.46,239.28,255.63,212.29,151.59, ,58.49, ,242.34,246.79,136.35,41.03,204.21,120.60,8.42,216.32,265.43,40.46,135.92,55.78,193.77,158.99,265.86,129.04,231.65,170.04,177.71,294.92,293.84,225.73,216.61
171.72,19.84,86.76,208.28, ,102.05,62.94,15.77,78.18,234.29,94.01,31.72,297.21, ,112.72,1.18,181.43,211.38,85.09, ,293.37,260.98,190.58,44.56,26.56,130.32,276.76,263.15,229.41,122.13,73.09,229.51,42.93,13.81,187.49,1.22,152.62,276.28,286.12,249.55,143.59, ,120.35,236.69,233.61, ,161.94, ,91.45,155.39,86.37,81.35,100.81,250.93,238.49,49.12,243.68,102.93,35.33, ,272.02,261.34,3.07,139.21,214.72,270.93,298.14,189.92,171.32,47.38,90.62,283.44, ,45.23,8.72,76.16,52.59,297.80, , ,60.87,35.80,217.81,270.78,34.30,159.64,114.60,277.05,77.39,141.29,179.88,203.19,186.46,84.32,177.44,5.33,162.55,210.96,185.51, ,219.81,228.31,63.56,83.28,99.66,60.95,290.17,125.48,97.42,30.53,258.71,287.01,108.74,107.99,213.66,257.76,238.69,239.70,208.35,221.92,133.27,230.30,193.83,69.65,137.05,272.93,46.37,292.78,288.09,44.20,90.49,35.21,188.04,31.43, ,253.35,131.18,34.70,130.05, ,121.30, ,94.23,170.83,16.07,42.27,70.14
207.33, , ,260.13,267.94,252.06,160.92,157.51,37.86, ,62.14,213.64,203.09, ,257.27,83.37,69.84,243.55, ,222.78,185.74,181.63, ,102.92,212.23,298.79,247.98,12.24,198.52,259.92,256.27, ,39.64, , ,160.27,118.76,49.16,259.99,246.75,33.70,1.21,48.70,242.10,263.54,232.11,258.86, ,176.04,158.30,14.31, ,149.78,36.10,174.70,129.73,85.07,171.36,157.56,37.60,253.65,98.60,163.52,253.32, ,109.34,26.27,191.92, ,62.12,172.37, ,2.11,96.57,229.62,23.11,220.45,103.33,221.38,85.11,242.42,212.34,207.76,175.40,217.92,161.80,21.21,244.82,156.88,188.86,224.25,236.19,34.75,66.30,28.61,234.96,218.70,22.79,85.90,226.13,47.02,237.14,186.55,91.55,223.36, , , ,66.12,227.13,58.62,134.25,118.21,128.73,128.07,51.41,181.31,73.28,292.38,155.79,233.06,97.70,29.15,105.86,237.63,200.90,216.24,206.29,140.44,299.96,290.21,294.76,106.61,140.76,209.56,273.32,195.76,56.10,16.34,20.18,194.95,250.22,256.24,145.64,191.53,65.18, 
59.95,3.58,194.02,37.55, ,180.17,146.91,11.24,98.22,117.22,252.50,104.36,223.95,5.42,95.61,297.22,130.54,296.17,244.49,296.08,174.62,221.38,112.52,184.79,264.05, ,216.55, ,125.29,258.28,108.89, ,106.11,31.85,42.64,101.07, , ,15.99, ,37.53,90.13,185.97,224.32,270.73,98.16,287.19,226.73,110.32,202.19, ,58.77,150.27,40.79, ,56.78, ,94.31, ,16.62,97.78,250.54,234.73,164.53,105.13,17.99,219.30,72.23,278.95,229.46,12.45,234.75, , ,163.55,231.81,200.99,121.12,98.10, , ,277.76,53.90,220.79,215.93,52.39,264.69,33.67,48.06,46.38,156.63, ,88.44,55.05,211.23,216.14,106.80, ,112.15,240.60,205.87,25.97,51.41,240.12,267.80,53.49, ,210.11,255.95, , ,116.59,217.58, ,24.38,137.38,144.17,169.47,234.52,8.31,186.10,71.00,236.61, ,38.50,92.19,33.16,5.45,31.87,182.47,247.41,61.79,238.14,253.41,74.29, ,60.22,244.93,188.84,255.72,220.04,149.11,23.48,219.94,287.39,55.69,90.39
273.60,87.80,127.74,187.66, , ,11.54,79.10,198.95,257.30,25.14,33.48,61.93,221.85,96.39,261.13, , ,61.11,48.10,290.98,165.45,183.64,80.89, ,279.84,34.67,22.71,132.30,203.01,293.18,182.11,213.47,97.91,130.00,196.29,3.89,184.30, ,61.29,278.44,128.08,173.32,298.72,59.21,217.41,63.22, ,33.94,95.94,231.42,144.75,244.80, ,129.11,275.46, ,253.91,192.31,202.37,228.63, , ,134.18,61.90,50.42,87.15,227.68,72.31,146.28,221.06,146.22,81.51,201.28,65.66,265.34,212.82,184.80,192.65,114.62,22.91,50.40, ,278.08,83.72,274.91,271.57,247.05,162.48,9.90,49.33,163.23,16.31,202.17,249.86,222.18,244.07,254.81,98.64,182.77,283.40,283.19,238.64,63.59,213.92,299.01,176.98,280.62,219.45,0.85,103.95, ,48.02,28.53,108.90,284.92,244.83,274.46,81.24,263.40,118.62, ,81.88,43.61,107.16,245.29, ,49.24,206.09,41.30,199.42,196.05,141.47,26.95,40.69, ,4.09, ,40.98,221.13, ,283.62,178.60,170.02,278.16,217.06,242.37
274.85, ,159.19,188.63,49.96,294.34, ,284.89,274.39,130.97,72.35,291.26,43.51,261.92,62.34,97.08,30.67,97.28,231.12,267.04,81.28,111.61,129.77, ,104.16,192.68,25.67,24.66,50.77,238.55,248.29,169.52,148.20,50.28, ,81.60,289.84,90.00,14.75,197.96,23.92,269.14,176.95,81.99,27.18,92.12,216.22,269.13,57.84,219.51,83.15,178.08,163.99,174.45, ,72.41,211.76,224.35, ,200.75,254.21,19.02,27.54,255.97,104.47,207.25,298.26,25.08,63.40,144.42,67.82,10.25,244.03,247.38,34.57,264.20,76.06,35.11,218.47,100.28,4.89,46.91,297.94,179.49,261.07,299.18, ,9.43,0.21, ,213.33,147.43, ,223.49,1.83,79.23,127.39,297.80,149.08,132.86,180.44,182.15,193.38,260.54, , ,146.19,174.07,109.69,90.86,212.37, ,291.60,187.68,83.40,242.85,155.47,264.79,46.08,243.05, ,145.86,90.43,182.35,116.18,16.12,25.23,299.72,220.08,273.19,168.72,256.70,151.26,217.86,166.72,143.98,216.70,43.94, ,226.29,98.08,287.76,243.55,4.84,136.33,2.26,258.88
106.88,149.32,129.81,94.23, ,218.08, ,262.01, , ,112.30,106.63,269.16,16.30, ,152.62,81.51,23.03,109.68,228.89,64.79,131.43,173.37,115.14,11.52,223.41,68.08,6.44,156.62,184.43,135.87,194.77,39.86,296.95,152.79,186.73,204.98,199.20,67.66,135.79,270.12,279.00, ,285.44,103.29,90.78,177.94, ,95.32,46.48,17.23,18.11,116.85,222.12,1.44,30.38,68.96,196.44,38.71,33.40,246.39,35.83,253.40,8.97,31.35,141.00,254.72,252.55,82.21,87.62,164.46,220.88,118.50,281.38,260.42,102.26,90.24,87.11,1.74,92.37,151.52,81.68,92.49,177.81, ,265.43,73.36,179.22, ,296.54, ,256.96,161.40,93.18, ,136.82, ,229.19,198.47,116.00,255.05,182.52,59.14, ,132.49, ,139.27,263.84,192.45,130.36,84.58,53.33,60.36,82.42,88.88, ,204.88,107.16,168.12,114.25,24.98, ,292.28,80.75,213.44,176.92,27.05,267.34,296.98,134.94,17.24,60.29,128.70,276.51, ,213.41,230.09,244.80, ,30.82,186.78,231.48,288.06,25.22,38.91, ,173.85
0.34, ,169.69,207.78,110.17,59.61,51.89,53.03,228.67,187.70,28.11, ,16.17,204.37,116.63, ,290.48,255.00,190.04,14.50,270.90,219.62,232.90,28.52,200.92,69.79,72.63,207.81,114.08, ,85.65,82.73,92.63,295.32,0.92,195.28, ,19.96,121.44,289.85, ,190.77,8.59,179.77,187.20,220.57,287.72,274.88,46.54,181.33,248.29,161.87, ,252.79,299.32, ,289.18, ,179.95,63.77,211.10,46.54,90.84,30.39, ,100.84,261.65,185.45,164.41,53.51,0.12,144.72,33.42,298.54,13.84,152.37,240.96,219.72, , ,14.01,33.13,54.14,97.01,204.73,286.92,106.82,175.27,61.39,85.43,297.29,89.79,272.45,172.30,14.38,31.16,196.33,143.24,59.08,190.06,201.68,222.05,164.02,260.04,6.01,285.34,144.74,152.96,105.89,9.36,11.05,148.66,104.82,157.84,232.16,127.71,224.88,142.34,147.09,14.31,147.85,156.39,74.79,109.77,34.61,0.95,159.65,253.03,141.51,128.37,158.77,207.51,5.85, ,152.93, ,6.03,186.52,292.67,171.77,141.99, ,142.94, ,292.55,45.69,15.93
207.74,130.15,258.35,165.09,288.93,17.77,17.41,157.38, ,29.15,7.61,34.10,187.55,143.10,161.02,108.54,184.90,165.23,241.59,165.24,290.16, ,285.12,294.57,210.06,171.64,167.79,56.68, ,172.00,87.32, ,195.87,23.51,233.33,120.70,188.90,224.71,283.47,271.45,52.32,138.23,204.08,31.12,24.36,132.76,113.16,24.41,233.88,188.13,71.58,101.76,202.04,31.95,236.30,163.56,184.90,212.58,7.81,49.75,269.53, ,82.69,242.39,282.17,279.85,61.89,251.15, ,277.62,76.23,57.72,202.54,241.57, , , ,81.36,28.34,199.54,12.17,202.75,132.23,143.73,171.28,216.49,72.50, , ,28.53,188.95,19.59,2.77,62.88,250.54,48.01,202.26,292.00,54.52,287.61,18.35,293.12,220.88,205.64,52.03,137.12, ,205.33,156.70,245.05,208.11,125.68,7.93,292.25,76.21,99.15,40.26,226.29,1.41,100.45,218.29,106.42,154.97,42.53,94.02,53.22,60.88,252.91,46.34,295.72,173.79,111.96,201.36,232.90,164.00,135.53,70.02,104.98,40.87,226.72,50.03,248.98,52.40,57.96,241.23,128.61,157.11
281.49,54.90,158.52,81.93,273.20,264.94,236.90,15.73,58.96,290.12,76.60,11.87,36.46,72.32,185.66,148.42,273.68,118.56,12.42,109.21,188.58,117.40,150.08,115.30,167.43,99.06,167.70,225.40,40.29,296.31,82.51,21.77,51.22,241.03,103.71,24.41,205.97,40.61,40.14,264.93,30.73,116.74,276.80,67.19,189.06,162.46,215.62,162.74,281.02,228.04,271.96,169.60,45.44,122.04,284.90,212.88,221.10,152.60,138.27,261.39,148.91,220.78,283.16,200.13,161.81,86.87,224.54,67.77,127.48,264.68,32.70,158.21,81.42,9.50,225.40,270.49,171.96,141.02,133.23,152.98,69.06,105.19,22.57,114.50,227.23,7.47,27.37,148.33,160.07,165.64,109.72,8.98,86.42,92.88,209.10,248.23,179.75,133.64,16.00,7.22,98.32,48.71,165.43,179.75,58.20,90.83,150.23,230.16,231.85,283.46,83.14,0.90,88.65,105.71,115.40,15.88,113.18,142.77,164.21,273.25,8.41,273.93,282.23,94.84,66.80,191.33,43.06,246.55,24.98,59.07,253.77,123.30,107.77,119.20,3.05,165.98,210.03,153.28,96.14,141.88,136.74,179.28,142.78,225.39,284.99,258.18,241.27
