Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93
44.59,60.73,41.76,96.31,41.39,92.72,41.05,8.99,69.16,29.05,44.25,96.61,53.35,69.45,60.05,68.39,89.26,75.99,25.88, ,67.27,88.46,21.74,98.53,21.34,41.26,97.68,92.17,68.41,59.57,96.76,55.50,32.74,77.39,10.51,59.50,30.38,67.32, ,65.85,21.48,5.59,16.97,9.21,89.06,66.66,42.68,31.67,42.88,21.47,26.80,66.13,1.54,71.89,14.23,17.99,57.03,52.75,44.23,81.09,7.88,9.46,57.90,94.63,57.43,7.41,87.26,88.81,87.64,42.46, ,60.45,55.48,90.34,28.25,10.57,60.17,70.99,16.22,5.36,69.56, ,53.79,97.95,97.52,3.31,87.45, ,25.03,84.45,86.72,67.67, 
27.84,45.23,71.82,43.93,26.91,13.22,74.11,23.31,96.76,11.62,28.39,9.24, ,24.61,9.21,69.64,20.12,28.67,97.07,2.62,12.94,99.11,42.12,16.95,7.04,25.38,71.96,0.49,33.94, , ,17.38,26.59,24.84,96.19,41.29,7.80,66.81,47.87,17.19,22.69, , ,15.47,85.49,37.96,41.07,62.58,67.50,95.95,44.45,14.26,90.95, ,57.77,87.84,46.17,89.39,61.06, ,41.42,1.83,42.38,47.29,1.35,94.14,7.13,89.45,24.33,43.46,38.17,52.14,18.60,94.26,65.87,74.87,54.65,86.67,19.60,1.99,48.75,18.25,34.72,77.28,88.11,23.34,93.17,31.15,80.29,0.77,57.11,53.46,52.34
8.78,74.09,92.88,6.90,78.72,18.83,0.66,76.73,33.21,99.48,81.68,89.76,25.93,58.09,58.62,19.52, ,93.61,75.23,85.09,95.16,5.19,27.37,27.89, ,97.79,9.71,30.62, ,56.55, ,35.94,30.42,72.36,49.07,88.01, ,74.37, ,79.57,89.70,39.72,37.05,91.92,16.98,46.22,79.09,98.89, ,29.32,69.87,19.55,30.11,56.04, ,18.38,57.56,75.75,49.15,34.79,59.55,63.61,30.65,98.32,57.72, ,28.20,0.96,86.11,32.81,35.55,60.53,36.10,95.34,17.77,68.17,67.69,22.45,50.59,71.78,22.86, ,51.07,39.96,19.41,31.63,6.58,22.09, ,90.70,79.66,29.66,67.30
67.77,70.81,54.89,98.50,10.19,28.82,77.46,62.89,59.27,55.07,46.53,15.73,2.76,45.69, ,12.99,11.00,0.58,57.63, ,35.38,65.36,96.84,91.84, ,51.11,46.39,30.71,36.29,30.40,13.64,74.91,92.60,29.37,15.26,36.35,22.38,8.48,86.54,78.42,42.62,30.45,50.10,16.65, ,47.05,42.75,92.98,2.48,98.75, ,85.74,37.27,21.71,94.70,97.05,54.53,2.66,28.67,46.15, , ,92.37,18.01,50.19, ,29.08,0.38,71.88,60.49,54.10,74.70,3.28, ,42.94, ,71.62,48.03,42.39,9.31,41.30,49.80,16.27, , ,2.11,49.04,66.72,68.83,65.49,89.25,15.05,84.25
42.98, ,85.37,12.91,96.87,34.79,40.73,40.39,15.78,6.42,93.82,47.20,75.05,24.49,34.36,41.68,7.20,24.63,29.52,77.56,62.01,51.95,26.02,60.13,19.45,20.16,76.11,48.51, ,73.00,21.04,50.28,44.42,66.70,53.76,14.56,66.25,32.09,52.92,29.12,43.89, ,57.15,82.24,22.96,78.66, , ,81.84,60.30,98.72,59.83, , ,69.21,72.07,91.68,67.33,40.39,1.27,34.79,3.21,52.42,89.30,97.74, ,58.04,73.10,37.04,67.20,45.28, ,83.48, ,50.81,85.98,85.30,48.61, ,6.36,68.60,63.60,66.80,24.39, , ,81.06,46.93,32.43,7.15,50.53,66.72,38.72
19.86,29.15,8.98,9.90,31.17,43.92,11.49,41.99,48.04, ,94.97,42.16,88.27,98.39,24.79,79.73,52.82,34.48,10.95,51.39,1.16,32.44,36.38,41.12,48.79,68.69,45.30,91.61,68.91,74.58,22.96,99.03,56.29,17.28,3.51,55.77,93.56,3.80,88.96,88.90,9.10,81.50,68.43,87.96,63.12, ,86.08,30.08,73.15,79.14,67.10,96.16,41.37,75.56, ,20.49,11.07,17.80,83.98, ,71.94,28.80,54.62,51.34,76.75,48.30, ,15.40,61.04,45.07,62.72,18.74,76.60,12.79, ,96.77,88.08,4.21,3.19,31.76,43.53,79.02,64.40,7.23,4.95,13.17,57.11,69.10,6.16,53.11,21.31, ,9.38
85.42,21.78,58.03,87.78, , ,30.95,86.84,4.19,12.22, ,41.78,78.66, ,31.77,43.88,29.70,0.25,79.53,59.37,98.34,4.10,26.77,52.91,34.09,94.83, ,33.17,35.30,36.03,43.59,1.75,14.23,25.49,34.55,88.72, ,35.87,99.53,11.25,76.24,9.55,91.65,4.24,56.50,15.77,59.65, ,84.90,71.15,43.88,57.92,77.80,68.47,3.31,65.26,7.34,65.30,2.25, ,82.00,98.71,57.37,98.07,43.26, ,53.66,50.34,89.08,15.35,82.15,88.65,74.41,58.01,74.40,26.21,42.25,55.75,26.58,38.09,57.37,44.73,7.17,22.60,23.22, ,5.37,42.46,31.02,10.78,12.84,96.95,13.29
 ,53.31,39.74,92.83, ,37.56,49.26,30.72,55.84,99.33,25.27,13.98,80.23,27.03,95.80,62.95,90.14,62.39, ,53.79,25.42,13.27,45.15,64.26,1.74,90.00,58.20,76.93,12.01,41.53,97.48,68.02,55.65,68.96,84.92,14.25,18.63,43.87,73.41, ,75.15,44.44,99.27, ,13.77,16.70,93.30,20.80,20.75,17.93,14.98,12.46,13.18,56.74,94.87,65.19,5.30,93.75,5.53,58.41,58.20,74.59,89.29,12.83,71.84,99.75,33.61,16.05,43.30,3.85,2.95,87.48,75.29,51.63,51.21,0.12,85.15,60.91,70.10,84.49,4.51, ,38.12,44.82,39.76,88.75,20.56,65.41,33.09,80.43,97.86,14.03,75.63
68.18,58.84,34.56,46.43,29.55,15.26,69.46,91.97,32.95,16.00,41.33,45.01,63.00,12.24,50.14,65.76,37.94,60.24,25.38,91.31,91.23,29.29,61.58,18.90, ,34.90,75.12,37.90,46.99,9.12,30.90,89.77,34.93,9.46,39.75,98.74,7.36, ,68.04,45.23,61.41,21.84, , , ,51.02,72.95,76.83,57.14,53.07,80.97,99.50,78.66,15.39,3.54,54.06,84.58,31.83,62.84,17.74, ,68.77,51.27,98.31,86.06, ,78.13,70.71,66.59, ,81.98,79.41,89.44, ,30.44,69.52,67.80,61.95,56.03,97.39,81.75, ,46.66,49.13,31.40,59.12,2.63,16.16,62.43, ,68.35,13.56,29.33
25.13, ,81.16,24.86,56.48,37.11,38.07,95.67,12.99,50.24,95.88,97.67, ,29.55,8.04,64.52,24.47,28.66,70.81,76.81,59.86,74.03,92.25,58.66,73.26,11.96,9.32,86.55, ,16.10,58.40,58.80,83.68, ,35.62,27.81,56.19,66.60,50.67,90.48,20.56,22.77,52.62,10.88, ,61.24,94.00,14.48,15.41,1.26,33.77,67.66,76.72,12.79,6.00,97.42,92.21,38.09,13.77,35.61,69.89,8.20,16.49,16.70,20.83,71.75,38.49,0.79,94.75, ,0.75,19.57,77.43,54.16,94.49,37.77,94.23,55.63,51.12,74.82,99.13,54.78,31.27,54.51, , , ,89.69, ,5.76,68.91, ,63.40
70.68,78.49,66.46,56.43,11.44,43.88,94.23,35.49,52.12,77.37,50.59,73.54,72.83,7.69,37.20,17.01,81.92,13.20,32.12,93.14,9.07,47.78,34.63, ,86.75,69.11,15.83,80.50,9.00, ,41.75,33.40,29.89,54.27,63.71,12.71,29.95,93.86,25.09,61.01,15.23, , ,42.08,2.70,31.11,58.99,9.48,31.63,7.72,82.45,72.29,28.26,16.94,79.97,50.61,58.85,67.23,88.04, ,90.74,98.01,64.98,87.71,2.51,65.09,9.53,60.69,64.78,21.63, ,63.66,83.87,3.37,67.30,60.40,82.14,32.21,31.38, ,88.76,75.15,93.99,90.37,89.37,17.60,42.06,74.66,44.37,82.95,64.47, ,98.67
22.27,16.86,33.97,42.41,40.08,33.56,86.63,14.13,5.84, ,66.34, ,10.71,46.36,61.43,62.06, ,84.33,94.07,24.95,80.39,99.09,98.07,63.29,37.98,92.14,88.91,62.91, ,59.87,75.37,19.41,81.40,21.76,90.69,97.33,40.13,48.78,59.91,80.07,10.61,38.35,74.05,36.64,66.01,25.07,17.81,78.81,41.10, , ,60.30, ,0.43,30.26,90.68,97.29, ,82.43, ,56.48,23.87,38.08,7.92,38.20,58.26,93.50,9.01,19.13,6.78,8.71,36.78,39.93,36.27,16.50,40.65,83.56,55.83,84.90,1.09, ,59.36,9.66,69.52,37.31,41.74,56.16,93.66,18.70, ,72.13,3.31,17.21
 ,73.04,62.21,9.60,52.96,45.81,87.14,97.59, ,39.32,18.95,74.99,36.80,66.30, ,69.60,64.16, , ,64.97,74.01,46.52,43.52,89.60,7.66,55.11,26.50, ,44.60, ,81.40,30.19,61.10,12.03,56.27,62.47, ,36.47,18.76,39.33,53.04,18.76,25.11,66.72,78.61,72.98,92.72,72.69,48.22, ,73.48,6.10,50.00, ,45.81,35.86,8.19,55.14, ,80.24,95.84,94.77,14.77,99.89,9.96, ,82.45,23.60,84.09,61.20,31.97,59.53,92.15,56.73,94.68,27.53,81.70,5.60,84.10,88.75,52.83,36.12,49.67,46.48,19.27,96.20,14.70,19.07,23.46,54.14,61.66,28.96,51.01
32.22,77.43,21.11,92.65,65.53,16.96,76.09,19.70,87.47,28.01,41.25, ,95.40,43.99,98.56,28.08,19.57,10.55,84.30,33.19,6.34,58.49,51.60,38.06, ,72.46,88.72,3.36,9.11,15.05,71.53,14.26,21.97,15.21,61.75,95.69,62.35,61.77,22.81, ,46.69,91.22,27.38, , ,14.04,13.49,46.44,14.48,37.85,66.30,53.69,96.05,84.66, ,65.36,75.22,36.76, , ,41.27,37.29,94.30,53.19,58.64,9.01,6.93,76.03,54.63,3.34,83.00,30.33,60.67,32.49,19.44,32.76,88.09,0.41, ,53.60,40.88,85.92,29.61,26.64,41.49,40.23,7.99,83.42,71.50,88.85,8.42,1.68,84.76
69.54,53.97,44.07, ,29.99, ,16.85, ,58.34,52.55,5.08,94.85,34.88,50.29,92.25,5.47,31.73,30.92, , ,42.95,99.89,71.47,89.79,87.63,40.67, , ,3.57,7.19,38.25,42.24,4.45,91.89, ,22.81,56.07,78.00,76.76,53.55,40.73,39.70,37.79,48.42,83.45,90.73,41.10,64.15,52.66,63.49,36.78,23.89,63.17,74.93,52.82,92.00,25.60, , ,11.59,46.92,33.68,16.94,85.87,46.37,92.95,27.37,96.15,22.58,53.14,99.25,25.99,99.51,22.94,14.97,12.75,29.57,99.54,21.20,27.60,23.94,77.44,50.28,2.56,32.91,70.37,61.66, ,61.17,46.34,62.91,55.84,10.44
24.34,23.47, ,91.04, ,68.48,55.38,87.54,74.98,98.61, ,94.97,66.06,76.88, ,57.75,30.61,67.25,25.13,64.70,81.76,14.78, ,70.16,70.91,67.28,97.01,19.04, ,85.10,81.84,40.69,59.23,7.77,26.25,17.20,42.59,89.33,49.21,27.52, ,25.92,57.74,83.22,14.90,61.88,70.02,90.48,15.36,17.38,88.03, ,78.98,58.02,50.24,41.01,48.74,3.67, ,26.60,19.13,28.93,91.29,37.14,8.55,43.55,94.35,76.22,10.56,11.42, ,18.64, ,67.37, ,24.91,27.37,65.97,94.59,60.16,84.13,2.08,85.47,30.98,4.23,27.61,95.79,92.66,26.36,81.81,90.51,77.69,72.37
86.75,90.65,60.49,88.83,11.41,90.59,91.35,26.76,68.14,25.44,36.99, ,18.79,41.06,60.35,97.87,45.68,94.66,25.32,81.41,80.85,78.48,47.05,50.00,41.44,91.46,9.54,52.79,25.93,53.83,52.78,90.29,16.53,91.04,54.40,29.74,28.16,58.48,81.51,41.22,81.03, ,90.56,77.98, ,71.83,88.15,24.42,23.07,63.39,82.81,86.56,53.04,20.77,89.92,19.99,25.23,63.82,91.58, ,10.47,0.24,29.78,7.62,47.92,71.61,31.38, ,43.93,63.30,53.96,66.98,84.37, ,48.19,66.56,71.05,29.59,60.23,96.14,67.59, ,39.21,47.80,54.67,71.06,56.43,71.20,98.97,15.62,3.77,40.51,29.32
21.32, , ,96.75,48.28,62.03,46.90,16.11,1.55,19.55, ,90.75,11.15,97.01,50.09,25.61,84.60,63.13,20.92,81.96,92.10,28.57,69.67,95.70,39.94,90.79,95.04, ,6.20,76.31,77.96,16.91,16.18,82.90,80.98, , ,18.82,76.08,75.80,94.12,54.41,37.84,72.02,31.63,47.25,69.52,39.53,44.98,46.48,57.10,54.60,74.98, ,51.06, ,65.53,69.44,42.94,72.28,26.66,93.19,11.85,99.13, ,44.11,95.62,64.19,26.60,98.06,51.23,71.87,14.65,43.05,80.78,6.87,77.00,88.94,22.64,50.04,0.78,81.11,66.15,19.49, ,17.55,1.18,64.64,81.33,17.85,83.25,22.80,45.18
67.93,56.22, ,30.24,40.30, ,6.45,36.25,6.61,91.97,20.47,82.59, ,0.45,42.34, ,21.34,74.11,9.92,8.85,60.57,96.35,45.97, ,82.22,35.19,93.97,56.49,25.58,9.68,76.02,94.66,73.36,90.64,18.39,71.48,81.54,70.81,46.65,82.05,75.61,64.89,60.23,20.17,79.68,11.83, ,6.49,55.23,62.88,33.37,89.34,65.39, ,18.86,52.23,65.55,18.15,97.43,51.83,64.18,47.46,87.20,82.50,84.57, ,2.43,6.15,38.66,81.80, ,18.47,91.31, ,9.45,94.79,66.30,52.00,59.85,85.00,10.51,73.75,66.74,38.82,67.95,44.43,94.76,68.22, , , ,35.59,56.42
33.02,75.42,28.66,15.83,13.94, ,21.93,67.77,99.88,38.23, ,32.99,53.68,5.28,58.90,72.64,64.28,84.13,36.48,43.13,30.64,12.56,79.00,89.99,39.43,77.98,11.17,62.89,8.24,70.77,9.04,82.47,49.06,13.02,79.39,37.84,13.23,32.26,89.96,31.99,47.96,13.14,20.95,23.98,44.19,96.33,38.16,26.55,45.40,72.77,95.73,34.82, ,67.08,50.97, ,80.36,43.17,96.42, ,20.40,13.71,89.64,53.31,93.48,13.84,13.30,28.78,73.46,84.93,38.94,29.87,16.26,15.30, ,79.41,83.97,92.98,62.35,52.43,53.40,44.63,6.26,15.22,56.72,15.10,91.91,27.13, ,94.28, ,57.86,56.28
31.47,40.95,9.18,24.62,86.34,49.02,52.51,22.78,17.21,6.49,88.88,73.16,27.90,33.14,11.25,27.58,38.69,36.55,61.92,10.44,30.41,40.86,23.70,92.15,1.52,50.03,32.25,46.52,75.68,45.90,69.09,29.66, ,66.20,3.94,66.08,57.78, ,40.70, ,32.85,58.22, ,48.61,63.38,23.90,74.80,26.00,43.29,51.66,21.86,89.25,73.39, ,98.94,47.70,91.22,38.35,12.04,98.05,41.93,99.69,67.98,6.99, ,62.65,98.09, ,87.35,44.24,40.73, ,88.42,54.53, ,3.96,8.26,56.81, ,56.50,63.18,38.17,38.77,38.59,85.32, ,19.05,53.01,96.84,48.20, ,17.17,74.81
 , ,54.99, ,11.49,35.18,45.72,76.26,48.82,31.85,37.34, ,90.35, , ,58.87, ,76.04,52.32, ,29.14,17.45,40.71,36.33,70.71,54.45,95.38,49.10,4.90,65.56,10.68,1.92,71.29,45.59,31.76,27.26,49.03,62.04,69.70,67.92,44.94,57.65,89.94,93.96,6.75,90.09,33.84,86.98,71.44,91.32, ,18.58,1.40,26.13,32.98,59.05,69.44,31.05,71.36,3.72,44.56,56.29,97.07, ,2.20,81.53,22.93,12.10,35.30,13.15,8.37,85.48,7.09,12.81,38.26,20.58,95.17,60.74, ,9.04,83.09,87.65,51.70,88.71,56.85,51.86,72.46,68.76,96.60,67.03,73.92,34.03,12.81
39.12,98.72,76.09,76.93,58.42,85.29,67.34,11.22, ,83.67, ,37.89,29.83,18.75,22.56,82.12,70.62,5.35,69.40,51.15,45.18,74.96,56.70,72.62,61.49,51.59,92.20,75.50,94.40,25.78,47.03,52.34,29.15,87.00,39.13,44.88,47.73,14.79,62.14, ,23.63,23.94,77.64,69.32,7.82,25.46,10.61,77.13,62.51,15.26, ,53.41,58.26,25.78,5.56, , , , ,1.85,23.53,74.69,23.09,48.66, ,82.02,77.13,59.84,5.59,45.80,92.06,37.30,52.50,25.56, ,71.45,42.12,47.52,18.18,55.08,18.50,48.85,81.08,3.36,98.96, ,10.49,66.19,94.31,73.01,49.09,91.32,51.89
28.87,4.47,23.78,17.99,20.15,8.80,64.87,12.49, ,22.98,67.71,25.55,43.77,35.49,36.75,5.43,45.71,27.52,97.90, ,25.63,24.71, ,89.58,44.99,18.20,22.84,38.73, ,82.51,7.80,30.55, ,53.59,15.60, ,13.50,78.75,98.91, , , ,90.24,84.64, ,7.48,83.11,66.67,49.66,1.66,99.12,33.80,58.73,85.04,94.85,11.36,67.25, ,60.29,1.59,83.60,52.41,29.08,44.63,57.93,96.36,18.23,71.95,98.23, , ,81.72,81.82,3.79,0.66,41.89,9.01,48.22, ,77.30,48.09,27.62,68.36,85.43,37.72,6.09,45.89,6.30,58.37,86.22,82.44,67.00,59.32
32.91,95.95,90.43,82.21,11.24,83.83,58.43,69.81,46.12,41.07,98.14,34.19,24.55,34.67,1.32, ,34.24,79.99,5.16,26.66, ,77.23,31.93,28.59,0.19,17.45, ,15.59,61.32,65.25,34.62, ,28.60,13.51,20.83,48.49,84.62,80.13,78.75,97.52,13.80,82.05,38.96,46.84,70.49,44.91,81.40, , ,42.56,53.34,99.19,8.25, ,88.38,52.29,43.18,14.24,41.68,79.85,92.34,21.35,4.43,20.53,97.52, ,38.75,12.09,85.70,21.76,8.72,11.54,10.61,23.40,12.85,31.34,61.23,85.06,95.29,20.89,52.37,50.13,35.30, ,21.01,50.82,91.29,91.78,28.85,23.86,75.80,11.69,53.99
24.57,97.84,75.24,31.79,49.40,61.97,51.97,94.19,63.22,21.04,85.93,17.96,30.24,2.55,33.27, ,57.84,42.32, ,41.59,12.80,91.96,2.60,57.75,46.73,82.27,75.98,17.65,77.99,87.70,89.82,37.09,78.81,76.63,34.11,85.13,9.20,21.70,21.03,8.59,0.42,35.52,59.06, ,37.05,58.04,90.89,54.68,57.82, ,73.89,20.04,83.69,36.11,41.03,84.84, , ,40.47,61.66,13.59,36.58,90.04,5.55, ,30.75,11.51, ,48.29,59.77,81.85,37.37,53.02,72.49,7.47,38.34,12.49,1.13,66.59,3.24,60.22,2.89,23.60, ,71.89,47.60,69.92,41.25,96.51,65.29,70.93,12.77,90.73
41.20,31.28,43.03,92.59,6.31,78.72, ,50.62,15.10,99.76,95.74,55.08,57.84, ,36.08,70.20, ,11.40,38.26,9.64,36.36,47.98,43.49,83.53,19.59, ,19.34,44.34,12.28,69.73,33.69,84.08,32.62,15.29,29.31,8.88,95.43,18.97,17.14,94.99,28.30,59.84,50.82,59.54,7.73,4.90,35.07,45.31,80.03,66.93,19.67,80.32,49.46,26.57,8.01,77.84, ,37.68,65.99,43.50,49.60,33.99,7.84,36.33, ,96.94,12.33,18.28,31.71,91.95,34.34,79.84,36.28,49.86,61.01,63.74,41.32,24.09,44.34,68.68,50.05,62.35,82.22,55.03,48.37,72.22,46.94, ,83.21,44.75,8.09, ,98.19
