Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68
 ,13.00,117.31,1.54,79.25,92.64,33.46,116.52,189.22,250.06, ,268.97,18.43, ,118.97,71.69, ,25.24,216.94,89.47, ,51.90,90.70,127.37,245.26, ,134.49,99.35,187.61,7.57,207.77,25.01, , ,179.60,214.66,154.86, ,47.25, ,137.95,288.03,145.84,111.40, ,210.74,233.72,217.39,186.83,164.77,23.24,42.10,21.93,142.12,227.62,82.10,27.31,76.29,128.51,100.82,54.33,18.65,290.62,127.82,20.51,39.94,99.85,31.01
220.69, ,148.31,229.94,89.80,12.87,41.12,180.03,75.42,168.62,182.21,191.30, ,183.89,168.91,181.64,105.52,73.04,250.63, ,187.21,95.91,4.54,221.17,287.00,76.15, ,258.36,251.37,85.43,117.62,119.00, , ,101.59,177.88,62.83,239.43, ,139.51,294.13,177.25,57.27,136.75,211.76,68.71,182.45,47.40,22.96,291.06,148.24,125.36,281.19,139.90,43.64,262.02,40.09,18.90,92.68,214.70,252.66, ,135.11, ,271.91,28.28,157.82,181.34
76.99,169.73,131.87, ,93.90,236.40,270.04,25.85,248.46,78.35,264.51,119.24,185.37,274.41,187.40,29.68,227.92,40.31,24.09,41.12, ,277.51,174.85, ,0.53,107.30,191.61,292.34,17.94, ,292.35,227.82,55.74,71.21,138.71,272.05,257.14,297.20,141.21,245.93,172.58,25.52,97.27,243.80,115.28,148.55,147.56,250.92,174.77,151.27, ,123.32,195.31,103.08,54.57,75.90,147.71,298.31,78.84, , ,210.93,35.51,12.03,269.48,286.65,66.60,229.78
106.02, ,209.10,157.85,30.96,31.93,128.96,91.36,174.06,135.54,13.83,50.55,123.58,112.36,32.49,44.98,218.52,25.69, ,183.55,156.09,43.78,143.15,259.97,48.93,203.30,252.13,138.00,180.98,190.20,136.38,41.17,221.22,84.49,36.38,60.68,282.23, ,125.38,21.05,28.26,96.45,211.48,253.72,34.83,179.52,193.99,72.18,103.45,37.27, ,5.31,212.27,17.43, ,296.76,6.06,253.75,140.74,256.35,154.54,152.06,22.19,216.27,298.84,77.80,172.01,41.41
9.88,102.41,141.86,277.63,124.20,250.42,96.59,59.39,197.95,285.18,257.50,14.51,221.17, ,93.18,33.86, ,62.80,183.03,79.74,52.58,92.03,168.87,209.78,139.75,139.71,27.87,26.38, ,247.55, ,40.72, ,218.88, ,199.44,47.32,268.11,183.11,102.90,248.75,280.25,120.41,213.42,217.18,190.65,187.35,16.73,49.97,146.95,239.24,81.84,25.57, ,208.68,189.36,58.83,240.92, ,60.89,170.72,0.56,248.81,86.72,115.98,62.12,111.07, 
192.91,34.88,74.38,52.93,204.23,165.79,259.09,206.04, ,184.11,120.33,208.31,98.45,43.73,287.22,161.94,47.71,31.42,224.23,43.50,179.22,53.76,114.35,230.41,0.95,154.60,247.44, ,45.89,72.07,74.42,68.41, ,218.26,265.15,77.36,30.47,163.91,280.95,26.23,112.47,25.88,148.46,29.98,19.21,248.86,191.61,294.09,150.32,64.95,54.84,124.12,98.89,169.55,266.30,291.20,222.95,45.84,290.40,248.21,193.01,235.30, , , ,223.13,112.13,196.57
162.72,53.33,151.43,117.07,124.37,270.16,241.68,131.85,289.79,210.53,76.76,259.68,42.33,147.87,221.41,108.91,26.33, ,177.77,51.96,119.78,195.14,189.48,93.08,226.51, ,113.38,112.67,17.44,255.87,9.47,209.75,261.41,280.62,113.85,248.26,95.82,233.96,85.55,150.13,97.19,110.06,95.98, ,113.41,239.49,87.20,188.47,78.18,186.19,238.41,222.75, ,118.82, , ,81.88,196.90,249.91,89.63,229.70,159.30,12.76,94.63,26.49,207.71,186.40,89.46
104.95,6.67,277.89,128.13,187.00, , ,32.00,182.80,101.73,269.12,180.11,244.01,63.95,57.65, ,147.11,138.86,5.64,191.69,190.75,214.41, ,51.32,218.76,209.47,276.21,134.97,242.33,62.93, ,120.58,264.61,255.60,181.49,166.10,288.65,24.64,272.62,254.37,133.69,129.87,164.69,289.14, ,68.12,257.07,204.52,263.43,169.30, ,130.53,126.88,289.85,22.23,66.44,182.88,165.09,54.30,21.20, ,271.98,134.72,110.39, ,73.82,12.05,265.14
73.74,261.76,243.54,26.07,260.60,210.11,221.69,155.46,7.85,214.87,40.96,229.80,286.68,291.65,144.36,141.30,48.82, ,292.35,7.75,47.66,212.44,138.39,28.80, ,235.04,4.12,140.07,56.21,237.55,125.47,4.66,0.00, ,281.69,156.90,48.17, ,260.61,44.54,106.70,22.16,121.96,17.75,260.21,88.79,121.83,279.67,181.04,179.97,261.36,107.77,273.96,156.96,90.23,72.03,27.31,238.68,120.47,111.31, ,200.10,152.22,258.10,295.39, ,246.27,84.48
149.95,66.37,293.01,208.40,53.54,159.23,84.99,248.65,60.37,96.40,131.26, ,109.98,234.68,152.41,53.14,283.77,272.83,104.60,199.09,182.97, ,175.19,8.56,116.09,102.88,107.74,123.24, ,29.39,12.78,173.15,88.26,177.49,147.61,190.52,151.73,181.51,248.69,189.16,217.39,175.40,65.84,253.11,153.67,209.81,164.30,232.36,239.89,13.64,91.94,134.20,277.66,124.27,117.01,298.87,271.52,164.27,283.82,207.84,99.88,3.93,200.62,216.73,46.14,228.02,134.53,81.75
77.93,38.54,219.44,229.33,211.69, ,195.51,136.17,10.86,36.93, ,273.21,294.96,122.13,157.43,285.20,68.86,145.20, ,64.65,187.39,56.51,183.94,191.96,285.02,273.95,177.85,295.16,123.36,191.75,171.94,31.54,217.28,256.33,52.73,169.50,276.59,221.11,178.04,180.65,15.90,185.01,283.00,263.36,194.67,152.69,3.53,177.74,278.90,245.49,155.05,271.76,41.01,292.19, ,172.84,21.84,267.12,10.43,178.96,41.95,269.48,37.60,286.32,132.62,203.90,275.44,136.01
59.91,99.28,34.83,61.07,299.56, ,9.99,151.23,217.42,96.26,222.90,12.31,82.60,85.20,108.14,82.87,164.00,14.51,146.58,204.02,286.18,175.52,107.67,122.95,212.04,51.08,169.20,16.24,196.09,198.66,205.54,219.47,93.28,212.50,220.61, , ,48.73, ,156.41,25.92,257.42,232.58,114.34, , ,192.06,264.79,115.59,115.76,39.59,97.63,270.35, ,177.15,141.19,119.30,106.04, ,51.18,236.33,229.35,231.66,254.98,17.70,142.77,255.69,183.20
161.81,267.48,30.71,125.55,49.67,216.87,156.09,283.84,133.57,137.35,34.59,261.68,162.89,185.76,286.80,171.90,222.52, ,253.23,258.52,119.40,280.93,126.72,153.70,82.56,56.48,101.49,109.47,11.69,39.54,200.71,2.17,31.02,182.29, ,140.81,30.68, ,200.55, , ,157.29,121.14, ,222.63,18.02,74.28,115.95,132.65,206.71,255.47,64.26,259.53,288.01,16.52,190.76,295.45, ,56.22,25.74,288.79,282.80,162.60,181.15,47.38,273.86,61.07,293.60
281.64,288.79,215.19,162.61,1.48,281.83,173.78,22.47,95.90,227.76,220.01,25.64,214.51, ,275.58,190.33,3.24,265.15,4.21,137.70,272.66,155.91,119.10,52.84,259.38, ,217.88,18.34,245.50,243.02,208.43,32.56, ,121.57,242.97,121.12,299.85,25.99, ,145.08,176.98,278.63,36.17, , ,140.03,287.35, , ,47.67,80.58,155.06,258.51, ,39.18,145.43,136.45,210.25,146.56,134.32,73.15,294.85,170.85,115.01,154.48,1.57,91.37,43.02
 ,23.86, ,4.55,79.96, ,290.21,35.09,131.02,100.35,111.59,32.69, ,286.59,53.82,7.58,5.27,167.08,74.46,295.70,159.57, ,48.11, ,83.20,47.72,193.42,11.52,242.25,164.45,96.27,217.00,63.46,154.45,203.17,171.16,7.91,274.53,78.84,144.62,133.48,61.97,101.90,148.33, ,12.79,146.42,190.00, ,112.27,225.06,33.62,214.31,126.95,269.46,229.25,67.83,6.43,89.63,203.29,152.48,250.75,99.87, ,50.14,127.75,101.39,188.48
 ,230.01,246.36,230.35,13.55,238.35,127.97,128.31,265.94,284.71,106.28,98.50,134.72,249.51,76.22,178.05,150.22,298.39,7.54,272.19,226.92,41.07,238.52,86.16,150.17,121.16,155.45,78.20,194.49,279.74, , ,244.54,265.85,67.22, ,39.42,98.60,35.54,188.48,239.65,55.09,214.10, ,133.75,156.13,117.45,298.95,293.65,208.51,186.42,232.89,15.15,156.70, ,10.19,167.82,246.53,260.36,234.45,294.38,282.45,141.63,21.57,111.96,288.00,151.48,4.35
278.89,66.28,194.62,97.58,26.32,285.35,204.74,113.00,243.98, ,85.61,243.31,25.73,153.10,59.85,101.54,95.73,35.72,227.87,137.31,138.51,275.66,86.16,238.20, ,33.65,225.04,150.34,273.14,243.25,118.57,171.87,155.81,123.72,132.99,32.84,74.42,98.95,0.43,137.81,133.85,192.74,118.88,149.04,101.79,162.36,152.37,8.36,239.35,203.72,67.99,195.62,150.82,42.03,288.99,136.96,51.30,181.74,72.77,262.21,123.07,94.91,158.79,283.62,235.34,170.47, ,66.10
274.73,187.77,49.66,262.94,118.91,54.24,65.40,251.30,208.08,34.87,234.66, ,32.79,54.49,76.81,269.36,153.12,110.32,79.69,242.04,296.84,6.43,0.06,237.24, ,13.10,183.06,113.02,280.55,104.70,263.31,153.17,136.22,296.18,262.90,57.35, ,292.02,156.88,12.98,232.11,107.22,195.58,20.02,35.53,50.48,169.83,72.52, ,255.72,285.11,225.97,133.72,34.49,253.79,68.23,258.68,155.13,276.33,185.69,245.64,272.60,262.05,237.50,175.97,69.60,111.85,203.54
 ,238.03,46.28,69.04,223.28, ,88.96,159.43,48.23,66.86, ,28.91,207.55,202.96,116.24,212.63,267.58,204.29,159.01,170.21,44.76, ,294.08,203.96,157.10,258.59,273.01,252.87,136.20,202.96,115.76,149.60,234.58,131.86,166.80, ,94.85,103.90,121.28,76.65,143.45,233.39, , ,20.29,298.22,204.81,135.56,84.80,106.40,195.00,259.40,257.00,104.63, ,225.92,3.60,190.71,134.10,34.28,278.41,294.35,240.94,133.78,14.35,219.15,91.92,66.33
122.74,173.98,47.53,230.89,0.61,83.57,79.72,130.84,153.98,56.35, , ,207.67,87.05,176.03,292.55,248.32,62.95,298.92,222.21, ,222.82,245.17,131.13,188.38,217.00,245.62,68.31,219.58,222.81,13.43,38.94,50.10,18.74,153.15, ,82.96,17.43,236.00, ,299.02,154.78,276.91,227.93, ,147.51,158.97,196.06,232.84, ,87.06,183.27,299.80, ,290.62,157.55,70.29,225.64,277.84,10.54,69.59,14.40,238.40,110.99,134.12,286.31,130.89,28.25
156.70,94.28,1.45, ,71.74,299.59,52.73,115.91,210.83,145.36,110.08,238.91,152.85,230.86, ,87.76,184.72,32.22,91.78,230.83,105.41,165.32,58.44,26.70,217.40,34.76,8.46,284.23,206.34,183.87,80.58,230.25, ,262.47,7.87,175.13,101.56,38.92,239.28,39.04,262.88,163.45, ,216.94,198.90,259.39,27.44,54.39,5.27,220.17,278.34,124.69,17.88,190.86,244.82,69.27,199.22,236.96,252.58,199.84,277.17,234.24,199.19,262.30,259.11,154.03,98.79,89.39
 ,280.25,229.08,216.17,115.80,239.55, ,93.45,26.92,82.27, , ,249.80, ,208.91,39.95,18.79,235.74,2.93,282.35,132.57,234.61,121.39,271.59,267.61,23.76,276.92,113.46,234.72,144.30,70.99,289.99,202.92, ,205.85,207.59,274.29,72.47, ,246.63,224.33,88.90,252.48,233.02,24.19,216.93,11.37,52.74,77.71, ,2.95,68.80,299.38,16.66,265.75,18.49,168.50,248.91,185.22,49.60,38.91,168.09,228.71,260.15,233.72,157.16,77.33,147.21
269.05,148.57,108.03,94.81, ,43.72,285.01,142.72,97.34,104.25, ,260.27, ,193.99, ,130.66,1.96,34.74,141.75,205.81,50.37,226.32,44.34,135.17,162.15,200.11,175.59,210.99,169.75,29.84,205.85,8.48,138.38,178.82,226.53,229.92, ,156.23,129.58,262.23,37.82,132.46,209.15,171.03,207.08, ,257.53,235.34,114.52,9.24,53.86,77.96,212.67, ,39.73,15.67,225.13,35.52,13.52,94.92,289.66,185.42,259.53,299.85,206.65,234.79,127.43,277.94
83.24, ,122.97,266.89,59.06,160.45,33.90,211.59,94.78,103.87,173.12,159.13, ,232.71,2.62,204.03,171.35, ,122.56,255.64,235.15,109.82,131.36,200.71,62.18,256.54,154.77, ,13.90, ,246.61,167.31, ,147.87,153.09,0.65,225.22,198.47,199.93,71.28,194.78,105.83,70.76,45.04,33.91,128.76,5.55,65.90,256.38, ,109.47,191.04,108.57,271.25,181.07,119.77,160.11,30.55,4.77,95.42,36.33,33.95,159.92,0.82,80.88,62.61,97.94,263.13
234.80,255.00,199.70,40.59,8.78,110.19,73.56, ,109.89,252.68,219.90,45.62,158.06,154.72,58.15,11.53,43.17,219.66,145.60,199.64,3.22,15.60,44.33,235.50,281.18,199.02,265.36, ,123.41,147.92,262.99,183.34,299.47,147.31,274.85,58.15,144.98,195.85,73.26, , ,98.24,126.50,250.78,292.52, ,140.43,238.99, ,166.64,258.59,254.72,155.71,113.69,41.79,162.42,126.60, ,224.84,169.04,195.86,216.68,216.18,216.05,153.84,21.81,3.98,204.76
191.47, ,192.15, ,54.57,187.24,117.01,259.32,36.25,226.24,125.22,10.04,297.59,86.66,113.93,55.15,28.05,236.32, ,195.74, ,270.21,207.58,139.12,73.27,22.07,128.31, ,138.35,139.52,275.23,116.17,214.07,93.92,71.19,299.45,12.87,237.14,100.37,179.03,97.64,289.34,182.71,239.08,25.20, , , ,139.47,151.58,160.22, , , ,12.45,204.51,86.07, , ,272.16, ,261.50,202.21, , ,123.34, ,123.78
86.05,275.49,50.30,105.91,299.47,129.77,67.95,208.86,180.94,113.48,142.52,102.66,90.03,64.00, ,187.78,58.55,75.85,128.16,224.85,63.07, ,267.05,257.37,153.06, ,266.55,199.45,141.40,38.79,204.11,139.84,115.59,169.74, ,297.90,242.18,18.11,251.19,96.56, , ,46.86,216.17,117.45, , ,203.73,161.66,234.18, , ,123.28, ,121.17,92.08,199.12,282.02,174.03,45.35,237.43,39.82,80.80,250.04,108.48,200.02,278.56,61.98
276.84,261.03,168.97,128.85,130.58,252.38,1.45,128.27,261.08,261.92,72.84,80.25,256.34,208.75, , ,46.02,258.69,208.69,60.16,195.76,148.41,195.36,145.87,88.74,191.71,148.84,262.61,145.86,209.36,153.85,25.34,153.87,206.92, ,267.08,7.45,248.52,53.17,1.46,187.12,268.51,257.25,200.39,78.92,95.70,273.19,158.88,292.76,79.98,254.60,155.43,204.87, ,258.05,119.10,89.45,3.35, ,236.41,71.10,46.95,148.86,5.69,193.20,150.64,53.78,20.23
67.29,13.16,183.16,4.02,4.94,221.36,116.29,259.77,173.10,54.19,26.87,29.69,58.34,193.25,285.57,21.33,138.59,237.79,249.98,239.75,173.34, ,289.63,246.85,191.98,231.21,280.45,243.62,49.44,93.77,109.53, ,162.40,217.38, ,167.36,107.34,215.34,109.36,287.34,81.99,9.79,93.25,4.30, ,53.74,284.53,270.36,98.20,137.62,232.94,182.95,112.55,190.28,114.58,68.34,177.23,180.58,40.90,194.73,61.59, ,46.12,208.96,261.97,175.52,274.66,160.50
293.27,139.89,280.30, ,151.09, ,31.68,131.15,197.52,264.10,147.51,9.76,48.12,98.19,249.28, ,109.77,97.62,162.34,255.80,14.48,209.85,138.57,235.88,110.17,5.17,292.31,265.91,63.50,146.97,186.92, ,296.69, ,272.18,60.99,202.10,34.87,180.21, , , ,134.76, ,90.91,235.07,1.97,294.47,285.71,68.76,178.07,266.30,115.67,78.23,102.76,129.72,286.53,99.06, ,59.94,79.99,55.79,15.10, ,164.04, ,232.80, 
