Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92
 ,281.92,173.75,166.10,26.06,138.73,199.12,9.24,154.38,263.06,2.40,221.90,7.42,203.80, ,93.47,163.61,67.34,252.69,254.81,234.49,287.68,291.63, ,105.71,256.43,206.29,81.26,220.09,140.84,13.70,217.36,81.83,166.46, ,74.89,97.93,217.87,193.14,266.13,15.21,42.58,207.33,165.25,221.50,176.36,267.63, ,66.75,259.04,46.96,8.10,5.96,90.19,210.62,57.70, ,58.74,98.89,40.75,1.58,218.06, ,185.69, ,252.44,229.42,195.90,193.76,143.42,158.41,121.85,292.69,173.00,157.97,17.50,236.02,160.96,197.03,39.77,138.97,18.49,177.87,205.85,282.61,282.85,284.25,299.12,223.32, ,81.29,45.87
80.02,140.96,261.99,273.87,148.53,150.03,143.95,122.76,47.03,198.43,156.28,187.17,226.45,161.59,203.28,287.74,272.42,217.41,138.26,65.95, , ,203.70,280.40,216.89, ,115.32,54.77, ,187.99,161.93,52.63,257.04,48.52,169.06,163.88,157.21,294.10,145.82,15.90,224.27,153.64,48.10,177.53,171.76,211.44,115.09,98.90,4.43,1.59,113.34, ,270.55,174.91,241.12,1.03,296.97,220.98,281.92,297.26,161.86,59.90,177.87,294.44,28.39,251.60,255.20,82.69, , ,210.89,30.30,220.82,145.73,147.01,131.89,276.11,207.05,189.29,59.98,34.93,25.60,290.26,103.60,206.55,30.54,169.45,29.36,88.12,232.08,2.74,79.40
 ,286.45,247.02,74.85,106.31,156.35,153.49, ,226.43, ,256.97,81.85,190.49,105.93,104.20, ,168.17,47.18,106.91,172.91, ,3.66,0.13,77.43,297.15,80.05,186.25,201.99, ,92.48,160.76,244.43,226.37,22.27,38.49,35.60,7.48, ,292.07,75.07,26.25,43.36, , ,143.31,197.70,107.53,58.90,282.35,191.96,282.99,133.44,201.11,119.65,259.89,246.24,181.22,107.18,78.79,154.18,235.30,120.24,89.82,8.42,139.85,167.12,65.89,235.01,45.39,40.61,166.37,40.23,259.35,272.17,67.66,260.24,178.25,45.79,259.61,40.23,254.59, ,20.48,157.30,253.29,28.10,78.33,298.81,274.30,98.10, , 
272.67,102.70,262.63, ,16.84,112.22,18.34,291.92,191.82,179.54,7.50,182.10,136.92,296.75,106.12,197.01, ,113.84,34.99,204.04, ,15.03,64.75,194.50,259.61,36.07,190.09,277.27,66.02,80.22,97.32,71.95,216.92,108.18,88.79,254.23,277.96,296.52,2.63,99.38,277.34,101.40,179.02,239.63,192.85,7.81,206.20,284.50,133.55,173.31,277.32,58.88,96.80,297.99,246.43,61.67,232.81,91.21, ,30.84, ,50.70,124.74,144.45,80.01,201.92,200.34,80.87,134.52,14.63,277.09,229.88,184.83, ,276.04,143.55,31.41, ,96.10,14.47, ,94.49,114.02,118.90,128.67,127.78,92.76,283.43,190.17,238.64,224.01, 
67.56,58.80,279.13,148.53,95.46,88.09,174.65,132.93,264.57,295.68,3.82,254.34,146.14,296.28,200.54,226.39,132.51,13.77,140.10,105.24, ,193.33,97.58,82.52,293.80,261.16,297.39,219.04,63.27,51.30,96.10,188.66,94.76,77.96,13.95,11.64,163.20,199.10,234.20,226.26,275.19,192.70,104.56,27.61,7.31,130.10,41.16,167.61,192.61,42.33,185.83,156.08,258.94,9.81,36.79,121.13,123.50,284.56,125.57,95.89,91.07,236.28,244.75,268.16,49.46,43.93,64.46,284.31,255.18,216.54,230.19,3.95,51.50,281.75,0.67,9.94,3.63,223.98,50.11,85.75,202.63,34.86,29.68,290.49,13.29,276.83,244.71,297.18, ,278.93,269.95, 
61.70,129.45,8.59,177.81,279.13,224.02,47.52,33.16,238.56,245.04,289.94,196.17,185.96,266.05,135.41,242.46,82.83,182.77, ,60.58,230.60,109.79,188.54,277.75,2.05, ,217.44,61.34, ,247.30, ,6.54,289.94,11.58, ,194.35,272.38,49.97,95.95, ,284.49,125.33,225.29,82.63,163.68,256.35,91.28,132.26,49.89, ,61.47,67.73,59.16,210.75,243.09, ,90.67,192.12,202.23,65.53, ,229.20,216.51,220.11,226.40,201.82,64.76,243.56,219.10,172.60,111.85, ,80.73,127.74,122.36, ,187.88,50.43, ,266.93,63.78,137.64,20.68,146.47,129.79, ,132.51,32.92,267.26,25.09,297.21,295.99
88.21,42.01,0.96,105.57,249.45,49.84,245.11,177.63,65.87,132.14,8.15, ,275.42,167.83, ,165.76, ,253.97,100.93,29.88,198.17, ,122.60,267.21,227.99,296.78,1.42,192.24,293.99,284.99,202.81,60.27,279.07,22.55,220.13,37.86,13.33,142.78,271.85,203.64,254.82,193.70,29.35,265.81, ,250.80,23.74,112.13,63.90,114.86,151.45,109.74,243.35,200.96,61.51,282.93, ,183.35,222.01,240.99,236.05,138.62, ,223.45,177.96,31.35,59.23,222.85, ,166.20,141.94,20.14,228.40,118.67,136.54,24.47, ,260.51,67.13,225.09,48.45,277.93,95.88,262.61, ,203.59,164.75, , ,198.43,166.38,170.56
57.79,80.45,155.54,53.42,144.98,152.41,21.93,43.91,194.82,265.20,247.55,143.95,14.84,136.75,59.48,184.15,202.34,103.56,184.48,161.84,200.98,277.49,246.46,281.99,84.03, , ,77.14,109.54, ,246.29,185.50,157.35,155.95,106.34,6.43,75.67, ,89.91,87.21,34.78,177.65,16.39,150.40,200.98,185.51,206.23,212.51,16.06, ,138.00, ,144.43,5.28,149.24,193.70,131.56,5.66,47.28,126.55,115.58,157.62,54.54,159.80,223.68,182.33,13.87,169.09,188.88,38.61,269.57,274.58,160.78,110.34,2.29,105.74,264.42,118.96,27.20,286.00,154.63,190.35,72.27,26.79,233.81,299.28,297.71,4.50,254.11,66.55,51.73,74.28
135.65,35.10,172.01,113.73,189.43,195.13,63.52,222.85,287.32,200.70, ,205.20,150.11,210.06,71.77, ,87.92,74.03,80.86,144.12,272.67,198.67,295.25,89.71,259.52,140.23,62.05,65.43,186.34,115.62,157.24,173.64,115.98,68.18,193.70,91.43,245.86, ,241.10,123.87,211.82,299.43,262.94,137.48,222.01,284.12,80.20,88.51, ,36.18,194.93,5.86,96.25,276.46,192.82,254.28,140.58,51.46,118.12,50.12,9.13,270.74, ,152.84,78.64, ,172.19, ,178.05,74.83,8.67,22.58,159.53,78.02,126.06,132.83,40.77,222.31,90.19,67.12,158.82,93.96,17.95,186.10,172.03,25.76,166.18,118.13,122.94,40.42,186.80,162.17
292.69,241.41,230.80,25.91,154.28,297.14,259.68, ,131.71,93.99,10.34, , ,265.26,76.47,213.49,76.43,242.41, ,25.29,90.98,181.34,171.07,117.49,61.71,262.46,279.70,216.21,105.41,87.29,28.72,45.59,77.97,220.85,269.10,30.60,297.34,5.35,90.41,299.17, ,261.63,288.26,274.21,41.91,197.58,255.19,219.59,277.10,154.48,75.34,246.59,97.96,140.77,248.94,265.54, ,227.17,260.43,133.26,205.57,268.29,14.91,299.17,144.51,103.01,180.74,7.08,1.58,156.94,114.54,233.49,92.71,74.65,24.32,123.85,267.62,9.47,259.56,231.06,114.04,164.55,237.70,10.96,37.23,207.23,288.44,67.37,1.38,134.29,49.91, 
17.53,265.06,9.84,231.13,87.74,278.46,202.90,93.48,187.32,49.41,249.82,106.46,191.51,165.26, ,123.40,15.92,137.85,183.52, ,297.42,212.31,281.82,125.96,257.39,36.68,52.38,196.94,17.47,107.32,5.64,6.12,121.63,16.29,63.31,84.72,27.12,36.60, ,162.57,69.64,120.92,228.23,273.38, ,61.82,7.61,0.10,245.90,193.52,259.34,90.02,17.57,41.09,126.09, ,210.33,92.59,299.42,138.67,107.90,34.63,271.17, ,284.89,124.12,10.19,135.25,127.51, ,168.60,43.45,123.72,244.91,285.03,237.13,217.14,87.25,47.32,53.86,43.31,173.83,112.04,56.98,84.79,129.61, ,173.06,240.50,220.25,111.86,93.95
81.72,22.81,186.29,87.35,124.54,109.83,1.25,103.24,151.90, ,105.30,216.17,70.31, ,227.13,165.46,90.42,160.05,280.68,194.45,282.34,257.23,65.25,159.28,171.98,181.52,116.48,131.27, ,174.27,8.77,63.45,119.55,189.90,291.32,127.23,218.58,16.58,211.47,170.04,147.04,261.48,297.71,193.41,54.46,92.81,96.82,93.07,166.91,149.15,219.21,217.57,122.60,148.55, ,18.60,56.24,75.50,197.53,11.78,102.77,185.17,176.28,259.07,208.34,241.80,161.25,284.13,40.78,147.60,127.48, ,183.72,264.37,263.56, ,55.91,93.33,281.44,282.52, ,190.86,4.07,43.81,241.56,263.02,190.47,287.32,226.72,122.69,173.13,203.77
142.16,280.33,0.66,65.76,12.21,123.73,214.05,238.52,210.41,15.46,239.41,157.54,173.82,57.22,66.48,233.95,280.20,291.88,164.23, ,176.44,45.77,228.31,131.24,123.72,99.38,272.19,82.14,275.97,195.54,128.85,256.86,136.73,29.37,35.37,39.63,101.27,104.53,298.71,113.50,268.55,47.04,15.04,79.05,191.56,13.94,131.12,57.90,141.95,85.44,174.28,89.13,210.47,5.12,129.42,31.62,31.51,38.70,207.83,37.56,92.35,119.80,22.30,191.31,264.98,41.56,101.82,114.80,24.35,221.47,238.55,251.73,31.74, ,239.57,54.17,200.53,158.76,127.97,15.31,1.44,33.78,93.88,255.51,188.82,27.64,13.98,294.31,12.46,0.64,92.92,291.00
160.47,117.44,186.22,280.65,124.81,28.37,178.90,24.86,59.31,110.30,33.22,57.33,89.35,297.71,112.77,175.71,138.47, ,24.69,242.34,250.71,240.73,135.67,194.26, ,246.75,57.20,118.29, ,207.64,23.37,285.26,265.62,150.55,220.19,84.68,87.61, ,28.34,254.96,99.04,236.85, ,294.05,290.32,51.42,281.06,287.88,86.88, ,237.43,145.02,296.95,200.28,126.85, ,81.81, ,240.16,81.94, ,107.71,221.02, ,202.08,288.36,20.80,93.23,154.14,70.89,245.81,183.42,199.79,154.47,156.69, ,238.63, ,46.33,233.23,9.82,139.38,3.71,240.04,118.40,35.20,245.26,160.47,53.66,249.22,141.60,2.75
44.53,53.56,218.91,296.32,122.10,226.91,295.88,222.76,261.12,3.58,238.96,35.06, ,284.28,65.91,203.49,134.72,160.82, ,147.61,260.71, , ,95.52,54.57,167.76,276.23,222.06,35.38,207.80,241.40,25.59,12.03,166.31,293.67,157.08,13.78,111.00,5.41,124.87,224.80,75.66,163.98,116.22,254.85,159.04, ,184.63,144.59,94.15,11.16,126.76,199.81,263.44, ,169.96,9.94,88.71,295.79,83.32,152.04,136.03,234.42,195.72,113.17,256.41,224.37,209.62,42.25,40.25,104.13,109.53,4.97,199.67, ,282.99,2.96, ,14.05,217.39,117.85,122.98,113.41,216.69,124.15,177.20,272.40,74.62,95.40,280.16,80.36,278.06
134.04,141.95,254.81,57.87,89.90,146.91,228.19,226.35, ,103.55,294.94,291.37,180.28,57.02,151.32,153.41,22.15,186.41,107.44, ,180.09,108.96,238.97,90.60,89.49,268.86,108.08,297.61,234.01,241.97,219.90,262.77,152.22,150.78,222.84,250.58,132.18,129.93, ,220.53,186.18,205.32,141.76,190.04,193.07,268.67,178.52,265.20,250.96,293.66,3.43,224.01,222.37,236.30,80.23,229.99,190.51,158.83,94.37,58.97,7.49,289.87,126.38,28.88,35.66,50.77,112.73,145.46,258.32,28.63,238.59,4.96,93.93,161.37,212.67,175.74,247.97,106.16, ,135.04,156.33,202.45,270.31,40.88,135.55,34.05,61.23, ,190.33,42.86,274.91,272.03
175.68,16.26,294.34,116.88,293.25, ,188.67,225.71,250.19,52.19,235.36,276.92,3.75,157.28,38.44, ,189.09,247.47,270.34,42.28,87.83,61.68,224.21,62.02,256.64,205.94,58.64, ,173.06,281.34,78.54,143.15,208.87,53.48,101.98,156.51,83.13,250.88,116.25,281.46,213.97,175.95, ,195.30,36.43, ,66.77,73.79,102.96,41.57,96.89,151.74,32.75,145.44,154.31,240.96,231.70,240.50,9.79, ,82.46,221.35,207.06,210.25,21.26,158.56,289.80,29.44,34.87,88.65,118.61,259.46,282.04, ,89.69,298.73,206.63,13.98,46.09,253.34,253.53,21.64,136.06,160.67,58.63,167.91,243.58, , ,200.30,92.82,275.14
82.62,230.59,224.86,28.87,139.76,24.46, ,160.52,274.30,243.79,107.70, ,25.96, ,226.26,33.64, ,125.20,65.38,95.46,32.47,168.44,106.74,33.64,53.42,194.68,162.59,100.90, , , , ,53.12, ,269.36,136.48,98.48, ,88.72,188.01,96.97, ,130.61,203.48,109.81,212.00,297.59,140.58, ,118.22,186.00,146.93,265.97,17.58, ,106.30,66.84,179.94,213.52,276.72,59.96,13.68,190.29,67.46,135.72,149.09, ,278.59,209.07,275.36, ,154.18,185.78,96.41,282.61,76.27,126.93,45.86,108.18, ,175.64,287.60,116.12,269.58,161.09,39.27,105.30,290.64,27.85,234.65,194.27,169.84
71.51,199.46,114.26,63.99,102.64,269.51,52.47,13.47,117.74, ,223.03,40.65,222.67,295.93,146.58,186.09,12.01,199.65,6.42,288.12, ,39.70, ,92.17,70.13,22.65,55.74,17.69,6.96, , ,256.61,243.39,195.46,34.87, ,41.29,167.65, ,207.35,24.94,208.35,5.25,217.95,176.68,157.39,176.01,186.53,101.36,275.32,85.33,91.93, ,222.31, ,190.59,92.52,39.39,10.61,231.87,105.65,164.20,292.20,169.11,172.82,8.66,267.29, , ,58.86,281.54,298.89,231.25,87.67,92.29,15.29,26.84,132.72,83.97,231.24,3.66,223.55,252.20,106.32,250.07,20.33,56.55,103.75,110.64,258.44,289.70,227.08
 ,59.80,178.63,138.81,188.39,55.27,195.07,7.02,196.19,25.93,228.75,231.55,155.78,174.99,112.66,285.79,243.39,36.77,230.32,253.74,118.46,19.41,255.13,19.12,198.63,279.12,90.20,43.94,33.64,4.69,67.65,275.50,36.08,133.06,187.85,85.10,95.81,19.84,130.95, , ,84.01,156.97,92.05,120.20,119.83,271.99,115.38,198.53,259.76,117.85,118.39,153.92,7.46, ,138.41, ,167.99,48.77,170.94,225.86,266.52, ,238.51,231.41,131.71,145.76,200.71,281.69,147.30,111.11, ,249.52,28.43,230.50,142.46, ,68.31,184.55,208.61,47.18,9.07,222.88,42.19, ,23.88,295.51,38.36,80.82,250.33,105.38,186.46
282.27,16.15,289.04,283.46,177.33,121.18,46.36,98.41,124.22,97.18,42.07,136.29,123.41,232.13,267.45,176.63,223.08,24.58,22.94, ,200.27,145.42, ,121.43,47.82,177.20,65.37,280.54,42.15,288.28,32.75,92.88,205.46,102.17,228.09,238.08,25.37, ,281.87,219.17,295.28,213.97,230.18,120.82,175.39,120.13,257.53, , ,281.33,269.07,186.60,149.45,119.55,236.68,166.50,138.19, ,52.16, , , ,82.68,47.66,210.46, ,153.01,260.01,141.17,298.13,20.82,54.90,73.74,106.36, ,268.14,46.67,201.08,93.08,292.85,186.58,145.92,56.31,125.26,159.18,165.97,17.47,149.42,76.77,63.69,0.25,256.59
2.02,278.98,141.43, ,28.00,81.76,231.45,18.52,258.96,265.25,32.63, ,289.96,208.64, ,208.89,7.98,87.49, ,182.59,206.61, , ,200.20,13.19,246.86,258.93,77.73, ,46.00,284.62,123.96,142.44,123.73,288.65,16.05,93.81,130.05,58.20,112.44,224.99,233.39,71.35,115.19,190.07,299.08,252.24,212.95,155.89,245.09,247.89,67.98,284.27, ,42.46, ,29.00,178.82,72.28,157.81,33.93,48.66,222.56,156.06,95.57,172.18,156.50,1.79,161.78,122.52,28.52,182.13,267.17,19.91,11.11,226.91,225.59,78.06,276.46,283.66,246.08,112.68,275.92,27.06,100.53, ,129.06,135.56,49.10,206.49,207.61, 
252.66,291.02,157.96,264.84,39.51,297.46,13.49,266.66,111.08,190.14, ,272.07,82.83,96.56,109.72, ,125.18,83.33,287.55,83.69,82.90,163.30,275.39,53.74,217.34,9.25,229.32,79.56,288.32,225.95,210.46,51.17,186.96,151.84,75.78,126.90,58.73,239.05,166.98,276.17,157.61,191.81,190.91,216.32,72.10,156.88,72.40,18.19,42.54,133.87,105.56,277.00,250.96,198.40,208.83, ,66.44,94.06,50.89, ,230.12,211.96,120.08,295.05,243.72,8.29,155.91,38.35,278.13,48.95,107.24,51.09,24.23,103.57,261.95,247.30,6.51,279.07,143.62,264.86,11.70,164.92,87.00, ,65.13,49.48,299.82, , ,31.50,112.88,165.76
 ,57.83,15.67,114.98, ,79.84,22.72,111.54,139.98,190.85,207.39, ,207.20, ,216.52,43.32,188.20,11.28,266.90,60.27,114.65,14.81,166.18,247.47,227.86,292.54,292.56,59.04,107.13,278.84, ,22.16,173.93,64.33,198.13, ,201.93,198.36,73.13, ,20.59,182.13, ,0.85,234.73,239.93,66.53,65.51,240.93, ,172.15,144.73,246.90, ,125.54,188.95,86.44,219.27,25.35,163.51,127.91, ,67.85,152.62,205.61, ,24.18,99.70,275.81,153.97, ,279.52,31.13,207.68,97.45,199.70, ,225.89,298.13,20.52,164.61,43.84,234.68,200.58,275.10,204.36,275.73,108.59,77.68,4.65,84.23,151.73
240.92,161.67,89.61,77.27,189.33,23.70, , ,158.39,100.67,293.31,109.29,173.37,88.67,139.00,219.04, ,159.96,243.56,157.96,176.27,15.08,135.87,186.53,297.48,160.82,44.07,169.51, ,56.48,288.60, ,207.64,189.44,254.56,166.60,258.76,224.69,40.26,112.94,120.71,277.55, ,21.63,40.16,29.33,102.23,292.12,225.57,99.22,132.90,159.77,190.99,170.11,242.91,277.77,51.39,147.25,258.83,251.67,36.47,95.63,298.92,48.49,266.09,217.66,79.93,44.42,280.07,135.76,145.21,92.67,201.72,229.52,108.80,159.54,162.18,283.98,42.93, ,9.02,3.26, ,80.69, ,60.76,66.79, , ,76.41,82.03,38.30
125.14,102.13,81.67,254.39,100.23,28.37,167.04,217.28, ,69.72,173.08,124.97,48.89,233.22,87.32,195.97,74.69,132.03,197.13,299.49,289.57,168.28,153.39,16.10, ,85.83,185.31,163.69,271.41,275.34,256.29,25.06,299.57,118.22,37.65,44.16,297.12, ,95.95,245.74,164.44, ,203.16, ,66.85,91.81,160.74,192.10,245.94,85.19,296.52,124.11,174.02, ,204.54,97.14,293.25,252.89,107.06,94.50,222.90,19.27,140.64,50.82,186.11,11.46,225.62,96.68, ,98.35,219.88,28.03,139.10,261.22,44.28,184.83,40.16, , ,5.38,249.69,117.29, ,89.86,84.43,34.12,284.90,19.66,293.03,269.85,289.21,274.53
 ,246.27,109.73,45.51,168.47,46.75,173.99,75.61,74.29,12.54, , ,193.72,270.58,47.66,210.91,175.35,52.84,164.02,58.91,277.69,204.72,213.14,14.30,57.13,250.91,262.65,47.21,275.77,78.08,218.62,131.28,6.37, ,170.39,274.52,24.38,284.64,115.04,63.12, ,151.71,190.15,252.67,270.72, , ,251.88,37.79, ,44.16, ,214.56,157.87,38.36, ,87.18, ,150.30, ,2.01,53.10,285.98,87.09,245.63,166.31,173.68,87.17,216.75, ,230.72,126.87,188.18,56.26,148.44,41.59,208.57,64.49,60.88,112.03,0.60,141.63,121.60,207.19,7.85,171.84,6.12,207.65,104.69,257.28,170.46,264.51
 ,29.01,134.66,216.01,84.56,251.60, ,42.70,24.97, ,196.81,295.60,196.76,0.20, ,253.33,146.04, ,219.82,214.14,30.82,164.45,294.08,19.96,158.75,4.58,121.20,198.41,96.90, ,97.10,153.85,286.97,268.27,219.72,11.28,245.93,138.65,135.50, ,115.10,212.99,22.74,21.06,150.98,16.32,215.07,11.51,259.13,233.76,231.13,67.54,94.81,43.97,44.46,237.39,112.11,279.25,184.56,56.00, , ,193.20,44.48,298.84,216.12,59.89,81.47, ,176.28,96.54,80.86,269.79,207.32,219.68,4.73,98.17,38.27,233.46, ,138.17,218.60,3.04,201.53,105.91,260.80, ,293.20,145.84,163.60,83.16,95.33
