Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106
221.76,214.42,76.13,278.73,150.66,87.94,129.06,54.53, , ,251.20,186.70,88.11,115.65,83.69,281.20,210.48,136.72,23.43,35.10,188.52, ,276.47,124.49, ,47.46,246.96,198.04,193.09,150.31,60.17,141.78,194.30,244.33,177.16,243.87,269.91,98.03,108.86,89.83,123.58, ,70.53,221.71,29.03, ,37.77, ,179.55,182.79, ,213.81,221.47,21.23, ,119.25,98.94,246.55,176.37,204.05,219.78,151.09,33.63,286.59,194.06,11.05,97.94,290.66,186.24, ,77.63,47.39,237.35,180.90,276.55,21.79,184.52,74.54, ,280.12,182.84,286.06,251.03,158.67, ,44.91, ,122.54,266.45,165.81,237.79,43.18,5.33,87.05,41.17,34.06,40.30,195.47,110.80,110.36,88.20,14.38,20.33,106.69, ,272.50
131.60,96.58,261.37,121.18,104.39,148.31,81.86,21.16,176.01,218.57, ,19.85,134.10,296.78,26.94,213.30,22.20,176.93,130.71,177.50,44.54,93.27,0.92,191.39,34.48,27.71,14.92,39.81, ,36.59,114.67, ,195.02,172.46,5.70,12.09, ,56.63,41.40,103.18,118.24,234.36, ,114.31, ,154.12, ,190.71,189.97,134.16, ,6.62,72.95,169.02,257.93,58.42,152.52,199.20,73.91,148.06,247.88,1.50,81.50,292.71,266.77,46.71,177.84,208.69,63.13, ,21.05,265.37,155.89,219.58,200.88,274.71,1.02,216.32,96.48,95.73,259.90,55.73,84.16,220.35,172.19,241.91,1.44,213.62,34.24,283.98,186.35,149.94,273.67, ,70.15,86.12,19.28,134.90,76.60,251.28,116.15,53.46,250.79,223.02,294.98,92.11
242.57,80.05,24.47,120.34,205.68, ,224.96, ,255.89,252.66,87.06,156.52,78.21,101.26,215.43,57.45,26.34,58.34,129.96,252.69, ,158.37,51.23,55.67,39.22,12.58,118.24,102.92,159.60,60.02,125.67,218.27,182.59,191.55,48.25,241.66, ,100.03,203.02,210.99,222.59, ,168.98,56.91,19.17,182.14,77.34,235.44, ,118.03,32.56,262.15,48.66, ,148.70,61.73,27.01,254.65,0.19,29.59,95.54,273.62,127.94,285.49,46.58,181.40,159.07,222.64,37.07,24.70,299.36,217.83,111.10,295.55,296.11,168.39,73.90,69.34,192.98,265.22,181.34, ,40.41,122.69,172.10,231.10,5.40,275.69,128.63,27.32,144.29,108.31,126.36,5.28,143.30,293.42,241.45, ,281.86,105.60, , ,119.37,117.03,180.73,265.53
176.12, ,228.58,109.13, ,114.41,107.39,76.56,115.97,173.17,191.67,286.09,90.41,243.87,242.36,56.24,153.49,113.34,160.95,135.81, ,250.22,198.57,75.59,240.70,261.99,183.85,24.62,31.17,166.56,72.44, , ,144.65,93.67,88.16,7.13,11.95,3.07,82.08,299.35,70.84,61.31, ,85.93,233.27,43.94,288.46,166.72,179.74, ,51.07,283.24,186.13,15.55,205.72,267.86,120.42,166.40,293.39,267.66,1.77,214.71,172.13,40.37,129.55,203.39,16.39,238.81, , ,91.71,52.00,292.60,98.26,54.14,227.51,262.43,205.47,102.93,126.95,218.53,277.60,137.11,8.56,196.50, ,288.21,82.28, ,254.69,129.52,237.70,30.63,286.31,77.27,13.71,232.54,160.71,54.17,204.13,73.74,253.10,88.84,186.29,201.53
282.66, , ,88.08,120.49,116.54, ,130.25,96.17, ,6.31,260.50,179.39,11.06,138.25,63.51,236.52,165.53,296.09,139.54,195.78,158.56,157.79,142.57,118.35,222.44,21.74,35.09,217.17,33.63,146.04,79.96,62.18,1.74, ,141.29,156.61, ,168.94,23.19,218.86,216.58,266.20,24.24,139.44,47.43,296.83,270.21,276.04,22.28,90.67,119.07,139.72,234.12,179.50,20.17, ,236.75,65.05,263.91,14.51,113.78,202.14,157.79,283.30,1.21,280.85,80.16,124.05,148.09,180.05, ,278.42,89.63,269.31,181.99,279.20, ,166.78,156.69,268.38,214.75,101.07,253.92,109.55,181.78,210.67,63.04,40.24,153.17,236.62,140.32,97.07,121.71,217.07,288.41,118.38,155.05,98.75,100.68,186.92,165.95,44.28,161.14,196.30,42.86
132.18,105.19,110.80,193.10,205.29,213.33,84.67, , ,177.33,91.73,26.27,161.85,186.67, ,82.97,197.93,169.50,21.07,191.91,291.85,153.25,133.11, ,201.49, , ,163.86,143.08,190.88,260.68,27.93,160.52,13.69, ,94.80,33.50,45.43,206.49,198.71,75.60,241.09,298.22,59.51, ,249.63,167.92,199.84, ,60.35,39.76,195.85,234.22, ,279.64,27.76,153.41,253.92,8.46,8.38,209.07,191.36,62.09,69.02,255.14, ,216.24,159.03,269.40,41.44, ,296.13,251.21, ,205.12, ,54.69,222.62,107.89,122.46,173.26,131.90,286.57,44.63,13.21,90.81,198.16,179.35,299.92,43.84,35.69,79.98,71.65,54.13,116.58,49.51,68.08,118.24,35.60,176.06,19.59,155.27,148.36,112.05,165.19,34.00
59.45,291.25,116.58,10.63,221.98,223.01,241.55,44.71, ,220.76,223.71,181.23,35.99,253.52,81.05,218.27,168.85,273.18,148.84,10.57, ,70.71,230.61,46.25,289.41, ,15.37,83.71,15.54,112.46,3.96,78.46,175.44,254.48,247.26,167.19,185.32,28.53,38.34,236.58,30.20,209.73,61.02,242.17,113.13,45.60,248.14,39.32,71.38,272.20, ,139.39,282.45,5.00,285.46,109.36,75.99,208.84,57.31,63.72,15.40,179.47,66.49,171.81,74.92,162.27,262.75,70.01,248.78, ,234.24, ,233.35,223.63,18.35,44.46,114.81,200.43,192.35,297.82,156.98,229.79,166.28, ,236.30,269.68,255.71,132.11,137.27,106.67,47.25,23.92,202.42,29.76,276.13,194.53,153.65,270.08,133.54,193.80,0.35,81.15,67.41,139.09,242.16,184.14
33.38,118.74,291.84,132.51,145.16,8.26,294.29,171.71,140.96,197.68,229.00, ,296.40,236.45,134.24,85.22, ,293.28,151.40,90.88, ,236.05,261.35, ,239.69, ,80.64,30.75,101.08,19.31,201.66,298.57,137.98,159.55,77.07,204.97, ,188.88,128.88, ,63.74,216.30,38.14,42.39,218.89,78.47,240.96,193.96,16.04,23.31,85.51,277.54,162.56,179.37,299.24,154.44,284.26, , ,67.68,91.29,119.16,224.77,149.90,299.64,150.67,41.53, , ,226.67,189.43,163.72, ,18.16,169.49,184.95,156.57,283.17, ,152.93, ,2.82,39.55,37.31,210.29,185.83,200.16,118.78,35.44,191.42,259.11,142.49,252.79,4.69, ,284.48,210.13,91.70,63.93, ,126.43,107.59,100.10,183.99,13.94,226.33
273.03,266.27,29.50,114.59,155.01,18.67,166.94,35.60,106.99,97.81,166.80, ,266.90,129.67,227.09,112.11,22.13,98.72,27.06,252.24,172.79,79.92,75.99,152.28,229.97,137.52,15.14,109.08,256.07,167.81,287.85,15.61,277.47,147.62, ,99.86,4.91, ,121.60,268.68,124.61,122.22,62.05,5.04,119.40,109.88,144.27,267.12,107.71, ,255.33,106.33,14.90,64.11,232.84,129.28,273.61,28.95,89.98,240.78,285.71,70.99,46.16,240.04,276.43,180.26,133.76,286.96,97.84,9.26,200.08,237.41,166.47,109.43,132.67,217.56, ,288.55,298.26,31.33,133.70, ,65.46,71.15,198.39,103.49,199.67,46.18,177.25,103.44,169.10,36.89, ,288.98,145.78,232.47,191.54,93.08,131.64,47.25,41.20,287.55,115.91,295.03,168.38,56.42
76.78,191.94,47.01,238.63, ,171.10,59.71,162.98,68.91,83.07,46.99,240.53, ,231.65,68.21,198.55,255.08,117.16, ,164.17,77.38,196.11,126.86, ,289.84,254.67,74.70,42.62,148.18,189.23,29.32,179.86,82.07,203.20,281.96,63.41,119.33,206.02, ,161.84,237.07,208.25,228.18,275.31,264.09,191.42,43.09,223.78,230.93,174.16,40.68,193.58,35.45,256.61,261.18,56.84,271.93, , ,81.00,202.31,120.02,89.00,242.59,134.07,71.50,3.69,224.34,162.76,211.22,63.05,237.82,70.65, ,201.59,165.99,12.17,127.86,0.07,48.49,125.04,84.35,225.71,57.62,59.28,34.21,80.46,116.48,277.25,285.35,136.10,186.68,62.41,254.18,5.51, ,130.56,159.68,150.40,21.46,115.49,7.60,119.33,110.62,191.46,5.04
 ,156.38,121.22,271.53,281.27,78.07,107.60,216.29,153.16,92.89,87.99, ,82.13, ,192.75,239.82, ,10.13,132.19,123.76,238.64,32.24,277.23,23.28,5.14, ,277.63,259.71,19.36,147.75,142.23,241.22,70.09, ,72.63, ,196.40,297.93,132.43, ,221.28,52.78,31.60,204.05,145.64,238.57,117.42,81.74,150.23,228.00,255.96,116.48,197.03,13.17,49.11,65.38,163.67,196.81,4.10,114.48,70.54,89.25,262.06, ,112.29,273.86,290.73,296.04,171.52, ,164.11,245.94,232.22,47.65,4.87, ,119.35,0.43,290.74,134.45,234.25,196.49,126.31,182.60,193.21, ,212.36,296.90,147.71,267.90,58.15,247.10,92.12,288.49,139.32,98.97,111.12, ,19.23,84.76,294.37, ,29.44,174.16,48.63, 
16.53,13.61,164.31,81.42,290.14,152.22,144.91,278.14,50.80,62.65, ,57.02,155.12,3.87,112.79,51.14,69.02,81.85,132.67,139.75,73.65, ,240.67,151.05,221.22,216.16, ,115.35,150.95, ,154.82,240.13,50.88,276.34,90.21, ,173.72,297.46,60.10,188.03,146.29,11.91,23.00,85.55,36.66,108.81,91.32, ,298.63,112.49,178.65,9.63,76.42,28.00,244.13,211.81, ,18.65,217.67,42.51,179.99,239.73, ,31.05, ,29.68,159.76,135.42,14.27,138.88,193.97,142.44,74.48,86.74,224.00,134.76,7.64,45.68, ,288.84, ,36.11,57.67,12.74,258.34,59.05,225.31,259.88,170.22,245.02,127.48,261.38,135.53,277.00,216.38,170.04,81.44, ,139.11,215.63,60.38,91.25,167.95,117.48,214.49,180.73
279.32, ,241.57,101.84,66.49,199.11,213.02,142.69,119.66,31.54, , , ,162.70,287.37,77.84,132.01,73.31,8.31,52.90,7.98,260.08,170.57,239.22,39.30,270.79,86.68, ,60.86,151.82,53.12,280.83,264.00,28.29, ,234.42,141.30,99.70,268.59,297.99,121.40,262.95,21.30,214.84,110.48,162.24,33.72,294.31,258.23,16.98,181.42,161.80,193.80,124.10, ,122.08,53.17,33.15,180.67,60.19,193.26,53.33,74.50,201.04,5.79,80.18, ,31.58,38.88,162.66,87.78,285.06,147.60,191.14,25.10,53.15,167.17,269.52,168.43,274.95, ,109.69,62.24, ,263.40,268.78,27.73,220.49,214.54,157.22, ,182.32,114.20,246.77,68.03,76.56,295.62,107.98,20.00,231.17,133.62,32.17,123.65,180.18,3.26,293.65
9.32,188.54,274.48,31.64,155.97, ,151.59, , ,136.40,188.07,239.44,231.97,107.64,79.30,23.95,237.73,36.88,21.43,88.17,192.04,12.70,258.29,116.65,121.20,299.71,152.85,293.26,138.27,105.50,44.97,245.13,262.35,96.39,142.41,140.50,15.24,34.70,17.50,167.42,104.40,147.97,106.27, ,244.54,147.57,287.10, ,269.80,89.23,223.14,250.76,266.09,216.86,239.53,152.13,73.06,274.08,213.78,62.26,24.89,103.42,291.49, ,261.29,83.45,242.96,278.24,281.18,223.47,183.77,134.09, ,90.61,151.91,45.15,260.24,218.56,257.03,144.11,171.33,34.69,106.88,177.04,30.96,36.95,5.04, ,295.76,237.62,277.58,5.70,202.26,110.31,32.77,110.03,191.68,18.70,80.83,267.53,99.45,231.27, ,126.05,89.62,196.98
 ,139.00,121.05,131.62,7.17,251.70,148.40,91.14,233.87,235.59,66.29, ,297.57, ,123.62,173.67,3.75,4.64,279.72,184.00,57.03,275.73,8.36,152.12,291.23,271.48,287.38,261.85,35.34,61.65,216.02,234.30,159.17,62.51,64.62,250.24,137.68,130.39,50.09,245.55,68.49,268.14,254.80, ,290.15,95.11,255.26,83.41,189.60,237.54,86.97, ,208.63,204.69,167.76,21.52,296.10, ,264.24,285.14,179.34,233.48,124.40,4.87,63.77,230.16, ,17.14, ,225.77,106.37,74.85, ,188.16,76.31,21.50,203.65,101.53,149.21,3.34,80.85,101.72, ,103.03,158.45,99.95,195.48,49.00,267.48,158.49, ,76.99,33.81,261.97,159.57,211.32,149.13,74.05, ,215.36,165.75,42.28,158.03,172.03,208.08,242.33
164.24,143.56,87.77,172.44,283.76,134.43,132.74,220.72, ,136.08,259.83, ,225.54,117.50,274.96,237.07,92.16,271.25, ,59.01,184.22,43.67,116.56,0.58, ,84.17,247.13,297.07, ,222.61,218.90,199.92,257.23,36.64,88.46,70.31,32.26,129.59,122.36,266.26,189.30,207.11,24.45,223.61,230.14,106.44, ,6.36,123.62,130.17,212.03,252.47,134.79,189.09,29.37,176.98,24.55,59.41,278.75,174.70,118.31,266.67,187.31,60.87,96.61,193.08,293.56,68.14, ,257.23,81.93,216.04, ,170.34,68.11,181.81,9.32,263.73,267.47,249.02,161.96,219.38,54.26,200.60,41.29,79.63,35.09,296.40,289.12,262.97,15.83,0.03,144.90,1.14,114.79,140.70,295.79,31.79,273.03,172.45,185.55,94.68,124.18,189.95,257.83,170.52
297.70, , ,134.31,254.96,250.10, ,245.89,257.63, ,190.02,143.10,120.47,296.20,28.87,57.93,39.07,260.37,99.00,179.36,259.12,182.40,229.98,155.12,65.88,214.51,19.45,31.47,295.40,84.55,213.81,10.98,70.94,289.64,230.53,103.24,3.32,98.88, ,253.99, ,105.05,115.67, ,147.13,286.57,48.97,88.61,21.83,262.39,31.13,223.71,235.57,203.45,212.23,15.10,155.79,271.28,290.53, ,137.66,67.08,109.16,101.07,99.75,263.00, ,95.33,73.81,129.99, ,42.23,267.20,269.80,179.73,132.60, , ,35.71, ,144.86,83.79,84.40,108.48,100.02,193.97,234.70, ,186.80,265.09,274.64,296.08,294.04,129.89, ,165.59,81.67,25.05,155.93, ,264.41,191.82,180.75,102.92,216.73,270.90
143.73,116.72,99.91,268.49,244.44,95.39,149.10,9.90,261.78,106.36,106.13,94.40,63.82,191.59,187.04,162.38,108.03, , ,89.86,137.74, ,233.13,55.59,29.04,0.75,176.51,254.51,21.35,238.51,132.98,105.71,81.45,103.50,7.06,150.41,149.18,52.62,203.85,121.29,178.36,81.27,48.98,229.56,277.17, ,110.15,94.70,168.58,209.11,238.25,79.54,69.72,137.00,168.09,273.32,123.57,182.24,144.34,108.00,195.20,203.66,63.20,110.95,229.55,160.91,240.61,252.18,204.69,162.37,34.38,173.75,231.04,36.40,274.02,290.05,120.48,174.55,192.08,115.46,5.57,289.43,216.82,256.51,30.78,194.28,254.56,223.13,124.02,260.98,103.94,267.24,144.74,108.09,127.30,158.45,199.93,79.04,89.49,238.25,154.42,185.44,200.56,294.57,68.10,122.61
206.59,96.45,231.65,88.15,128.10,191.82,94.48,144.78,6.42, ,160.84,189.67,116.13,264.39,66.34,263.33,126.53,34.83,284.84,266.01,67.49,235.62,7.09,240.30,212.91,195.28,238.90, ,55.04,7.95,149.53,159.09,54.43,122.75,197.12,198.30,129.61,176.53,118.00,165.43,295.93,204.33,127.67,113.24,72.48,78.46,49.08,9.93,149.82,35.80,194.80,287.85,45.02,249.54,247.41,172.07,3.73,13.03, ,126.27,138.16,92.57,296.54,70.10,179.94,135.85,97.57,214.74,114.97,71.52,26.54,150.05,190.23,282.92,292.13,35.73,56.64,190.46,158.42,153.23,163.33,265.25,59.02,82.88, ,154.40,285.66,2.03,231.12,238.46,220.61,288.47,104.29,241.36,275.20,10.69,65.24,278.81,58.79,109.02,117.92,84.76,4.30,59.12, ,297.58
235.89, ,286.79,293.41,6.98,130.07,282.18,17.44,221.45,119.79,9.01,293.88,41.29,180.57,233.61,98.00,131.74,298.41,292.74,46.68,260.44,17.38,72.06,203.60,111.05,23.98,261.10,213.85,16.04,102.81,290.27,71.42,44.02,240.54,61.65,36.47,163.97,264.70,88.68,229.55,191.70,19.80,271.38,155.19,28.07,237.08,158.80,140.35,78.33,239.58,68.12,162.07,29.91,168.13,295.08,18.33,51.20,39.57,271.78,10.01,152.76, ,11.56, ,214.39,239.43,173.90,130.03, ,159.94,107.77,157.82,296.86,256.64,84.16,6.77,289.23,131.69,24.80,191.90,57.64,122.76,99.71,41.64, ,201.58,177.72,156.24,176.97,39.81,284.99,218.74, ,225.35,244.59,238.85,133.49,62.31,208.11,86.57,297.70,151.34,34.25,152.36,208.43, 
120.39,176.27,2.08,264.48,129.13, ,265.63, ,27.94,241.15,90.96,187.66,42.24,281.73,36.14,282.11, ,102.50,132.65,129.59,106.11, ,20.75,111.95,296.84,73.27,29.85,128.89,111.71,101.29,244.82,192.58,226.77,29.43,281.60,183.85,277.18,145.11,74.93,66.82,96.95,9.77, ,138.66,116.02,145.60, ,283.03,181.53,250.99,264.06,82.03,231.38,259.04,57.14,33.55,105.75,264.04,257.29,254.18,84.37,147.19,218.57,95.85,40.02,11.06,279.43, ,210.80,111.05,209.44,20.85,250.78,297.44,108.64,20.48, , ,257.43,203.02,139.85,127.68, ,131.77,107.26,76.92,94.83,168.99,85.06,190.64,199.83,45.04,277.43,215.81,112.71,164.89,99.65,28.05,182.17,152.46,143.60, ,238.43,117.98,78.66,68.93
 ,25.87,85.83,215.39,265.18, ,130.08,61.09,256.53,180.26,199.90,259.96,118.67,122.88,76.68,257.01, ,177.21,276.72,174.79,264.68,220.22,270.04,287.21,105.23,148.38,234.55,181.55,136.74,186.71,156.63,30.40,4.86,173.72,170.65, ,135.33,93.90,158.52,48.65,47.82,275.03,17.84,150.97,129.84, ,203.23,56.64,89.77,141.24,43.07,11.99,147.21,10.64,58.98,257.31,1.06, , ,58.45,121.44,283.59,108.51,139.88,120.45,226.63,193.14,273.57,186.45, ,197.09,164.58,286.75,151.39,210.86, ,64.62,225.92,295.65,235.03,199.56,65.19, ,258.33,290.74,282.34,269.06,140.96,29.76,183.85,155.06,3.00,159.33, ,207.54,201.19,77.48,198.05,226.96,101.00,205.95,5.20,233.52,158.43,214.39,251.02
