Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80
29.33,140.89,254.13,45.81,284.71,289.54,25.99,99.49,228.18,285.10,131.68, ,18.37,6.32,6.44,122.15,106.10,159.18, ,23.77,237.87,296.37,140.43,234.75,216.79, ,41.08,223.61,142.31,190.83,122.99,211.24,230.11,26.56,9.58,246.53, ,266.09, ,129.56,111.88,18.49,141.72,255.82,82.77,48.86,25.35,17.60,99.27,117.76,162.80, , ,130.44, ,73.60,238.50,16.32,63.76,153.77,283.25,219.11,59.56,278.02,131.95,141.26,117.80,236.63,100.60,107.31,129.82,143.38,113.41,137.32,184.38,141.67,239.60,112.45,284.71,59.60
23.98,261.93,17.41,192.26,65.74,15.81,103.19,137.00,19.48, ,139.09,128.68,146.61,131.18,172.78,275.65,30.43, ,84.35,261.00,149.13,275.39,258.87,291.72,28.06,38.28,179.73,168.17,225.04,186.57,64.51,235.90,137.34,118.76,137.76, ,31.58,63.81,7.43, ,0.68,198.59, ,189.48,141.66,226.38,170.84,234.64,114.59,2.27,59.73,135.48,59.45,132.94,69.88,292.89,227.67,101.31,246.11,174.40, ,43.57,18.17,140.37,187.01, ,269.96,299.64,65.67, ,262.89,224.47,45.97,171.91,259.98,20.57, , ,12.74,94.66
113.84,117.49,292.58, ,26.12,100.19,59.79,253.54,168.00,193.00,223.94,19.09,216.21,145.78,242.14,17.06,67.10,195.16,213.55,221.90,183.51,5.88,166.12,215.40,89.73,122.18,61.26,286.37,27.54,199.17,281.44, ,255.89,24.13,2.44,62.36,177.85,283.15,124.78,93.94,269.27,73.23,205.02,207.45,194.78,224.65,152.44,121.44,106.13,259.22,254.13,131.43,163.59, ,279.87,220.67,24.62, ,273.78,249.25,234.55,81.06,171.57,157.28,196.71,278.47,66.43,83.97,240.69,44.07,225.12,112.44,202.67,248.45,214.89, ,114.21,188.88,136.50,121.00
230.95,114.83,38.67,119.79,9.47,177.61,240.18,237.72, , ,75.21,65.29,211.77,39.64,135.78,204.84, ,143.53,94.12,86.82,216.02,88.54,56.52,52.77,92.41,54.52,133.03,267.17, ,61.29,85.97,234.43,78.49,247.96,257.06,291.71,18.29, ,46.56,107.85,121.40,47.62,75.44, ,134.99,72.19,63.91,284.01,60.62,125.41,31.24,214.10,115.82, ,156.61,137.85,217.64,111.94,24.52,29.78,144.32,18.07,211.92,34.10,37.82,174.81,164.05,151.07,0.51,194.14,38.46,56.53,212.31, ,258.96, ,133.88,243.03,273.92,29.80
206.90,207.36,190.79,139.35,97.93,176.47,299.51,135.90, ,158.49,160.60,48.76,224.22,59.01, ,161.10,195.44,161.63,257.54,163.23, , ,277.07,75.92,182.39,214.72,106.66,78.83,240.46,237.99,88.87,217.69,163.61,152.93,31.53,137.47,89.65,16.81,141.32,56.02,273.71,168.47, ,21.39,56.70,37.58,157.96,67.72,180.44,272.99,69.06,105.42,258.92,96.35,53.20,178.31,93.07,146.26,37.34,68.98,95.14, ,286.39,245.31,107.66,14.13,199.30,285.51,17.41,138.55,122.88,23.44,34.75,73.52,66.90,166.11,162.80,205.67,275.24,82.31
91.57,195.57,149.76, ,37.97, ,289.90,61.45, ,93.73,154.72,237.03,129.24,229.68, ,247.30,252.03,75.82,65.72,265.82,164.16,199.21,255.91,206.72,136.40,181.09,288.37,262.15,109.86,178.75,46.42,226.64,182.55,267.71,57.37,274.77,14.00,284.87,9.60,170.40,260.96,162.46,70.15,261.34,243.99,245.71,126.45,54.11, , ,275.08, ,191.91,265.46,231.07, ,5.96,44.40,164.97,15.19,45.53,172.16,257.01,125.52,146.38,88.10,125.43,136.09,118.34,129.34,61.77,196.32,3.06,278.84,228.22,109.98,295.74,148.73,11.25,250.08
11.85,16.90,189.72,149.07,89.57,158.20,253.71,290.79,100.42,121.64,158.98,88.32,46.11,147.90, ,207.14,195.21,296.59, ,22.39,84.14,135.97, ,215.70,63.60,127.00,246.09,194.99,162.05,265.78,238.41, ,180.29,39.92,266.30,230.52,76.54,159.64,91.17,80.95,248.10,26.30,185.84,230.66,17.26,37.17,11.91,219.34,34.43,49.32,188.95,13.42,188.78,120.73,177.85,102.29,186.38,36.94,165.36,145.36,77.79,114.29,209.68,170.04,167.57, , ,62.42,195.73,41.10,75.40,43.50,208.03,161.52,86.53,125.12,178.45,249.40,261.72,13.17
56.80,93.80,134.86,148.99,110.75,241.00,102.10,276.77,190.15,36.84,177.26,112.90,95.82,259.03,128.92,144.22,34.37,155.10,182.60,89.54,281.95,205.59, ,125.70,148.40,194.15,210.95,72.74,50.30,273.67,122.49, ,256.37,100.33,262.47,244.91,289.54,52.92,154.66,204.96,75.51,8.11,132.77, ,218.03,82.65,43.58,33.12,61.03,114.65,53.39,218.78,226.89,203.18,222.69,5.33,156.00,115.97,96.20,165.77,129.20,107.65,240.83,298.72,66.56,27.06,247.40,117.26, ,167.40,253.33,0.70,100.79,139.27,264.75,290.24,196.69,166.40,230.58,231.05
145.44,246.82,253.42,66.76,279.90,172.57,32.30,120.10,265.54,211.55,181.49,214.46,74.82,258.50,69.63,52.79,152.26,50.43,227.18,113.94,271.19,225.15,53.74,10.12,288.91,121.59,139.64,245.39,271.85,182.74,100.01,124.08,18.40,141.03,88.91,133.18,234.25,192.83,295.16, ,267.01,35.22,226.33,62.08, , ,145.04,147.87,246.29,142.50,149.22,213.74,64.13,224.93,96.29,64.99,160.22,150.86,16.66,6.92,249.39,286.02,50.15,50.96,147.26,278.78,237.00,127.94,192.81,107.56,84.37,81.68,138.51,120.28,188.05,69.13, ,6.13, ,270.57
257.86,252.07,39.56,238.79,125.30,62.79,262.66,31.79,37.92,13.23,227.75,241.66,41.25,4.43, ,60.25,202.25,78.02,181.60, ,295.15,121.04,158.24,85.21,201.17,63.65,185.88,129.64,253.04,208.21,84.36,42.53,254.20,39.41,54.07,64.21,236.98,170.00,299.53,252.66,160.86,64.22,106.75,274.05,100.43,164.64,55.61,271.61,266.54,150.32,23.86,75.40,65.77,132.13,140.25, ,43.59,78.13,275.79,126.10,217.66,212.69,94.85,284.52,4.49,170.69,161.19,284.60,58.91,181.70,106.26,299.39,279.52,6.92,291.44,233.86,164.26,41.73,122.86,124.49
6.19,112.45,286.63,146.64,116.78,117.35,130.94,35.44,133.46,153.50,169.28,1.71,148.85, , ,112.27,65.60,218.23,269.91,169.83, ,40.88,116.05,68.56,219.77,279.22,65.96,95.43,98.79,212.86, ,236.55,147.79,293.95,147.38,144.39, ,179.73,52.25,83.40,166.75,200.23,206.03,242.15,17.47,86.84,279.79,63.10,67.95,262.92,69.57,39.58,190.05,273.42,225.58,267.01,4.77,230.71,56.03,162.76,78.44,192.33,221.88,147.62,58.73,183.72,127.79,250.75,31.85,25.10,260.96,148.11,151.32,62.32, ,21.69,180.22,158.48,203.49,88.47
166.71, ,7.34, ,16.99,236.37,262.09,34.22,227.95,106.07, ,26.41, ,295.36,109.24,76.33,235.85,241.05,95.91, ,87.10,60.49,73.00,36.12,253.88,9.51,179.98,32.93,195.22,206.05,199.19, ,42.15,299.29,210.37, ,261.81,35.57, ,103.07,238.95,274.36,0.73, ,182.44,153.76,85.70,39.94,229.66,256.04,224.43,78.67,252.94,181.24,261.42,24.98, ,41.18,102.06,176.43,240.71,82.32,28.32,182.46,156.02,250.72,238.95,37.64,197.27,260.47,261.65,240.33,39.55,32.80,165.75,296.97,103.35,273.57,130.96,144.97
180.88,220.09,96.89,19.26,115.69, ,239.05,103.81,197.38,245.55,225.14,216.97,98.93,162.54,75.44,48.13,59.85, ,145.31,120.90,238.50,297.78,37.16,86.39,188.52,216.36,290.23,200.35,173.03,97.99,43.36,241.39,4.44,12.42,213.36,72.12,197.81,208.32,263.22,186.67,271.63,46.29,144.44, ,123.78,201.58,94.70,45.60,104.56,1.85,36.72,262.63,244.93,76.99,186.10,223.72,129.86,240.48,150.83,133.55,36.45,250.13,11.80,147.06,184.32,106.34,180.34,6.81,32.20,29.77,230.51, ,152.99,152.73,179.33,244.43,274.05,283.67,94.49,266.95
110.70,261.61,183.10,171.30,120.29,202.28,182.31,74.10, ,13.63,268.22,282.08,143.80,107.89,19.95,61.54, , ,119.56,254.65,264.01,106.57,233.64,174.60,77.00,278.43,220.20,103.01,280.92,257.26,215.87,36.80,280.58, , ,192.80,137.74,70.64,287.19,24.17,226.07,105.15,96.63,57.08,254.60,276.55,131.54,281.29, ,83.84,43.22, ,6.80,26.06,147.70,206.62,231.40,60.19,79.81,111.08,72.87,284.19,36.98,53.02,200.39,249.67,9.58,202.67,65.59,256.46,92.80,259.16,285.55,219.28,146.33,136.62,66.05,0.62,154.82,215.07
192.05,159.07,66.28,262.56,43.31,67.61,46.76,34.25, ,59.84,129.43,105.80,134.64,228.30,170.02,249.58,177.79,215.88,105.55,155.15, ,58.01,16.89,243.03,282.83,154.04,224.60,54.79,48.82, ,67.46,110.69,179.86,21.60,62.84,39.75,144.94,136.82,36.61,109.42,180.07,26.24,170.74,261.28,6.06,87.50, ,19.78,230.21,123.02,21.26,91.43,111.93,47.09,233.76,140.59,237.22,58.26,22.33,151.20,20.83,122.06,45.37,36.25,58.85,295.00,202.27,190.23,4.83,122.04,269.17,49.31,183.25,271.89,170.63, ,111.44,264.94,291.71,240.71
284.58,242.04,254.62,296.17,146.59,254.30,296.91,23.24,259.33,224.00,69.98,236.00,233.43,170.13,4.61,295.75,255.08, ,269.97,267.02,131.26,177.95,245.23, ,118.16,107.51,112.25,190.44,116.87,182.25,196.01,295.85, ,216.06,242.39,69.55,209.16,268.55, ,28.45,279.95,127.53,137.09, , ,166.94,169.81,171.15,253.40,62.05,206.94,50.25,92.87,297.40,131.23,19.54,286.76,70.28,131.94,73.92,72.28,97.96,56.85,100.28,42.36,96.41,48.73,226.95,9.39,221.42,227.55,166.01,193.03,22.06,258.77,189.81,195.80,279.93, , 
106.55,115.16,212.76,99.04,196.38,60.39,82.87,33.73,156.08,54.55,243.22,118.88, ,54.46,73.60, ,34.47,116.80,26.58,33.29,137.78,0.47,31.64,145.67,242.93,87.71,124.53,261.63, , ,230.94,151.64,292.46,259.59,131.76,80.09,220.82,294.43,159.62,183.71,186.24,145.82,148.00,299.53,74.13,122.93,259.20,255.57,118.31,20.75,254.47,165.74,31.70, ,295.99,30.21, ,143.50,198.01,165.04,288.37,268.74,63.98,249.05,107.50,141.52,62.17,18.75,152.84,141.45,234.71,173.89,79.78, ,228.12,38.39,266.57,30.21,86.58,256.46
 ,96.09, ,142.78, ,200.28,29.94,88.76,17.04,37.24, ,85.64,156.62, ,40.29,31.37, ,297.71,74.07,141.28,117.31,78.36,69.47,166.14,95.03,176.75,51.18,200.02,69.94,187.57,9.85,214.66,120.89, ,25.30,39.77, ,139.16,98.53,166.56,133.54, ,97.03,169.64,123.53,171.62,140.03,8.58,31.60,33.40,122.95, ,126.96, ,215.24, ,54.66,167.89,94.51,247.48,50.44,84.97,210.69,3.65,119.63,14.22,169.97,221.60,289.14,142.50,27.28,284.07,43.63,18.07,118.71,222.84, , ,64.34,240.23
262.87,210.59,111.01,36.73,101.96,74.32,269.49,163.39, ,196.14,87.02,282.40,177.46,175.80,43.71, ,246.11,282.54,121.62,134.42,189.81,6.24,234.62,39.92,200.23,278.79,195.45,100.91,129.20,55.73, ,186.74,106.80,167.97,277.82,175.97,85.37,5.91,4.22,13.65,121.70, ,146.09, , ,62.02,12.21,93.40,179.52,77.84,9.01,81.47,248.02,220.71,85.64,265.42,194.10,132.41,29.77,203.74,93.99,277.94,116.35,288.20,187.36, ,29.38,125.15,23.54,244.85, ,119.92,121.14,108.85,25.86,112.89,61.06, ,61.89,3.73
62.70,203.21,8.08,144.72,106.83,271.94, ,287.82,128.42,58.20,216.22,113.97,154.61,142.92,69.27,134.00,127.74,211.72,283.21,297.04,39.11,118.92,257.89,181.75, , , ,289.44,60.47, ,204.03,192.15,170.71,121.22,281.99, ,238.35,9.50,194.91,228.86,42.94,234.83,121.13,46.29,32.97,256.34,271.20,294.95,112.47,295.16,275.88, ,15.51, ,196.51,88.14,269.29, ,232.80,265.31,143.71,292.13, ,107.31,265.04,219.81,272.98,169.73, ,103.76,82.79, ,37.38,191.84, ,121.10,78.66,279.01,85.59,211.94
22.87,12.94,38.45, ,40.69,128.05,135.28,26.21,218.42,136.95, ,282.41,283.78,80.50,221.23,83.79, ,152.90, ,114.70,143.73,152.75,181.41,189.92,10.90,253.36,291.44,240.05,126.67,294.88,84.27,137.46,107.96, ,158.93,142.57,236.62, ,232.58,237.39,139.19,123.95,193.59,122.89,34.34,271.59, ,97.69,230.14,299.72,283.28,125.35,143.04,240.20,64.53,142.87,229.76,296.58,115.88,51.20,126.14,286.56,137.55,18.83,189.99,247.63,128.80,13.29,241.09,249.29,299.86,63.35,145.72,111.28,201.99,213.47,92.89,264.73,198.38,297.41
206.13,73.16, ,134.11,96.55,139.48,118.92,229.88,99.32,176.41,205.81,71.36,227.54,138.72, ,284.37,64.61,88.30,131.99, ,17.16,57.30,110.14, ,223.28,50.96,290.27, ,143.50,250.70,205.30,207.83,103.13,2.21,132.42,197.53,248.26,241.85,50.11,66.43,296.25,267.77, ,80.23,22.04,190.68,67.65,269.22,231.80, ,249.95,119.51,122.84,20.96,238.89, ,154.56, ,57.31, ,77.90,262.38, ,94.68,145.32,142.74,253.74,247.09,230.27,133.22,244.73,201.51,49.48, ,170.94,266.59,90.18,155.63,132.54, 
273.13,52.59,219.76,51.78, ,34.50,60.04,126.03,36.98,176.90,237.69,161.65,133.64,72.58,9.92,154.16,29.97, ,126.95,198.68,257.87,200.06,51.88,175.63,75.98,257.43,42.21, ,61.59,193.16,4.60,194.16, ,44.82,5.36,277.23,138.55,67.56,106.39,213.78,139.42,199.06,126.62,227.79,11.59,31.30,184.30,189.09,47.04,74.40,225.57, ,140.51,173.13,160.70,176.44,102.03,293.25,44.14,28.63,269.44,297.46,140.74, , ,276.26,88.83,165.87,171.02,41.35, , , ,14.23, ,197.25,106.34,3.11, ,285.76
36.50,72.30,230.96,222.35,158.49,89.34, ,91.77,147.32,62.31,200.78,47.26,283.33,228.91,281.90,190.49,241.70,82.38,243.61,281.71,67.44,172.58,166.72,208.65,46.87,242.48,129.88,250.44,175.41,49.11, , , ,175.57,83.76,159.64,249.54,98.64,280.91,191.09,92.54,123.90,223.20,41.88,74.36,56.78,260.90,260.26,286.90,211.24,260.97,250.09,125.63,99.98,286.77,105.79,84.50,75.57,287.10,262.74,171.97, ,99.90,14.74,291.52,57.60,87.36, ,299.78, ,274.07,297.49,29.85,99.85, ,1.41, ,70.43,66.72,171.56
2.30,226.96,93.76,150.60,106.35,242.54,20.59, ,211.49,35.17,237.41,261.92,80.82,91.14,94.53,15.46,280.13,135.53,221.86,172.49,172.01,274.32,215.01,218.73,8.26,184.42,171.83,172.82,114.60,58.15,228.86,78.33,6.11,269.12,28.96,154.84,69.61,240.32, ,3.57,254.66,225.54,46.68,256.29,293.36,113.84,255.12,140.75,35.10,151.83,293.72,163.19,207.68,257.02,144.93,279.15,82.76,29.91,151.27,195.16, ,247.53,28.42,294.83,100.70,40.65,195.26,182.77,125.28, ,219.58,121.17,6.35,10.01,27.50,50.05,109.73,82.92, , 
 ,228.62,205.93,50.37,35.74,127.88,30.64,150.68,213.17,138.45,36.15,263.72,288.56, , ,129.14,193.45,136.96,12.63,210.05,150.01,153.61,29.84,88.33,25.60, ,97.36,173.09, ,282.46,178.06,61.85,286.62,91.78, ,224.31,84.33,42.27,13.51,56.63,251.65,202.25,8.71,83.31,189.35,26.05,103.30,116.64,173.16, ,253.16,26.57,291.80,290.87, ,27.85,20.66,217.64,251.83,179.35,37.39, ,262.65,225.87,154.51,33.88,295.18,183.28,7.96,46.44,178.99,272.05,252.44, ,278.12,160.19,32.02,266.47,216.21,123.20
 , , ,131.90,78.09,123.29,280.98,88.07,14.92,140.13,51.58,154.34,11.08,167.37, ,222.53,36.16,252.05,44.12,23.74,288.68, ,153.26, ,105.36,165.45,61.30,230.69,143.74, ,64.84,181.23,164.53,211.24,165.86,191.98,25.02,55.34,200.91,244.01,277.71,252.41,46.84,269.70,12.29,154.34,134.73,281.48,39.85,17.05,259.20,155.70,84.21,62.77,107.89,65.50,68.30,124.62,186.46,76.93,18.46,275.88, ,257.36,6.69,169.50,109.28,68.10,162.74,156.27,87.03,213.36,231.35,297.25,117.74,123.42,110.03,292.36,21.53,115.67
 ,285.17,209.09,8.72,226.44, ,74.29,21.92,247.52,218.91,299.77,36.34, ,146.37,45.50, ,295.22,227.62,210.42,4.11,176.96, ,164.82,274.84,187.48,187.22,181.40,140.51,168.33,271.18,141.58,124.28,11.90,268.61,259.97,111.03,13.81,134.64,283.29,118.32,71.97,11.51, ,152.02,5.85,142.60,257.31,144.83,171.18,266.91,154.34,89.13,117.56,223.07,190.14, ,60.90,120.05, , ,224.44,263.42,71.92,297.48,128.80,102.38,262.68,177.51,169.61, ,76.47,180.19, ,294.70,26.08,99.93,72.33,13.30,85.23,62.01
148.52,118.81, ,199.30,86.91,15.12,145.38,151.10,125.68,139.51,260.57,235.74,263.80,68.65,34.27,90.35,236.90,169.52,168.61,157.78,137.73,226.43,77.03,95.10,223.34,54.46,174.05,216.81,239.25,166.19,73.84, ,10.74,193.75, ,262.57,228.80,150.01,83.40, ,178.51,156.11,184.21,287.17,256.83,113.67,291.21,16.13,111.43,52.43,146.19,267.75,254.52,273.31,151.45,42.52,30.09, ,214.30,130.24, ,255.26, ,246.47,153.91, ,180.77,106.20,272.38,150.25,141.98,36.66,23.90, ,53.99, ,268.30,296.70,111.96,259.40
198.43,103.65,50.01,39.32,11.38,230.15,238.61,285.18, ,9.08,88.95,32.27,31.38,252.10,60.71,47.80,102.50,114.10, ,98.52,203.00,246.19,271.53,205.27,160.06,265.79,59.78,246.78,60.25,267.29, ,171.35,266.69,193.22,169.01,179.32,143.01,49.68,260.74,181.43,94.54,183.24,212.04,255.82,272.36,194.51,107.58,17.44,39.71,155.07,150.68,12.22,23.60, , ,296.38,201.78,3.54,99.96,297.14, ,269.51, ,90.51,103.18,88.99,18.61,51.62,278.44,162.98,125.74,286.37,284.11,213.04,273.18,203.24,68.79,239.83,83.37,290.64
 , , ,156.90,81.07,2.12,189.16,270.65,290.52,6.11,5.81, ,18.81,122.18,243.04,63.52,92.34,212.96,133.79,87.52,23.47,159.60,2.87, ,24.87,231.79,32.94,24.74,256.41,6.97,164.78,107.53,161.31,104.14,295.49,179.46,70.01,12.56,296.04,77.40, ,9.19,63.52,76.62,203.19,255.28, ,24.26,54.32,216.44,277.51,205.00,64.90,150.15,213.40,253.77,167.10,299.99,47.87,295.60,149.97,251.46,157.08,151.92,161.29,69.86,280.28,295.78,249.87,122.64,292.11,154.07, ,154.06, ,100.84,104.81, ,56.27,224.83
199.90, ,268.26,32.08, ,27.86,130.81, ,294.08,192.76,25.10,2.21,62.14,177.08,53.86,223.21,169.64,1.75,148.48,211.95,218.55,208.42,223.70,28.62,248.08,65.93,174.89,76.47,171.18,103.97,198.36, ,68.01,28.65, ,298.65,11.43,78.72,129.47,2.04, ,250.12, ,223.31,54.25,191.38,253.32,150.48,22.53,219.69,206.02,135.78, ,147.21,58.11,251.34,69.09,280.71,188.89,242.52,21.08,34.62,195.61,97.00,52.50,266.99,180.39,193.20,239.95,206.94,107.47,58.58,267.71,195.78,6.12,299.84,80.60, ,276.21,70.72
116.92,290.50,225.49,67.54,190.99, ,189.05,75.79,91.99,286.93,200.10,126.08,20.26,234.40,182.89,64.71, ,109.81,290.09,147.94,45.85,165.60,227.99,39.14,173.02,162.55, ,155.60,182.68, ,117.08,76.44,234.55,231.65, , ,79.65,279.38,66.62,88.86,226.00,170.23, ,32.78,193.36,246.68,64.24,193.12,216.67,168.64,240.68,79.25,292.65, ,118.15,286.79,168.16,35.00, ,245.62,271.63,259.56,215.03,58.55,257.89,117.18, ,57.86,253.98,32.16,62.10, ,48.89,102.62,92.31, ,37.93,245.13, ,163.44
195.55,200.10,197.21,279.96,75.13,25.91,51.63,57.52,21.28,259.25,68.09,264.91,89.49,286.72,48.85,58.36,72.15,97.83,275.73,41.29,97.26,46.29,154.02,50.82,210.21,299.19,61.63,19.89,141.19,117.54,156.77,134.44,134.36,198.26, ,239.55,107.32,207.24,160.77,7.02,221.26,35.26,78.72,219.46, ,226.06,30.60,223.28,11.74,97.30,167.73,149.55, ,156.31,170.88,246.98,53.15,194.99,67.80,87.78,203.56,213.32,258.93,174.23, ,231.87,217.89,28.63,128.29,223.75, , ,11.20,293.98,187.07,247.24,170.18,64.34,147.81,57.45
