Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115,Col116,Col117,Col118,Col119,Col120,Col121,Col122,Col123,Col124,Col125,Col126,Col127,Col128,Col129
 ,287.41,232.59, ,257.75,214.70,149.50,164.34,163.27,50.70,190.99,168.02, , ,299.48, ,231.47,249.49, ,236.90,88.54,219.84,295.55,178.10,244.05, ,107.31,121.78,154.55,259.03,85.63,193.43,128.93, ,78.43, ,15.33,137.31,51.44,276.98,61.70,130.02,193.11,67.71, ,222.26,287.37, ,216.65, ,45.58, ,124.00,286.13,77.21,120.77,7.05,14.63,219.79,172.89,81.99,127.80,162.86,97.71,198.71,288.71, ,123.25,183.94,166.72,146.07,144.04,297.22,289.35,161.58,238.86,216.00,102.27,42.33,124.05,271.41,10.12,198.34,95.24,202.22,105.55,252.13,23.01,191.38,15.32,146.37,27.43,133.65,88.72,202.41,197.38,51.17,88.47,40.87,31.80,145.66,291.38,86.94,47.14,26.76,31.29,16.63,235.51,188.43,26.26,236.99,264.66,131.14,237.68,236.83,115.09, ,106.47,193.78,227.42,147.62,203.39,6.51,256.26,150.54,183.05,217.48,206.04,237.82
143.33,196.00,224.92,219.65,158.79,152.25,285.53,76.09,20.62, ,276.88,1.58,122.44,174.85,149.01,166.94,223.83,4.18,201.68,256.29,141.47, ,227.68, ,3.77,105.81,95.22,25.77,40.06,39.77,77.33,295.41,296.95,221.03,255.88, ,212.18,125.28, ,52.96, ,56.73,32.09,76.55, ,173.36,17.08,69.75,101.89,38.67,284.39,99.97,82.41,152.45, ,134.35,262.02, ,18.75,237.63,229.39,30.73, ,47.81,277.00,117.76,180.88,26.54,16.58,222.99,119.26, , ,40.44,125.12,290.20,183.61,207.35,182.79,143.27,25.97,72.82,162.42,60.34,94.29,155.77,177.27,78.45,228.65, ,53.77,148.34,248.48,239.09,183.20, ,113.80,148.05,118.89,140.32,199.42,256.14,251.88,30.23,20.11,149.21,12.65,26.59,162.56,283.47,210.19,74.85,207.81,210.61,233.36,205.92,285.53,187.98,295.46,267.74, ,116.95,189.73,220.41,193.58,217.57,157.60,15.50, 
238.39,84.73,143.13,4.54,152.69,66.07,110.72,163.72,150.75,177.52,277.95,75.36,29.20,82.95,31.51,237.46,56.74,141.66,12.82,28.52,38.71,13.67,128.39,137.22,234.94,160.92,126.36,138.24,252.30,34.99,185.73,253.71,294.63,142.32,241.57,172.97,265.43,129.72,64.04,72.97,281.68,211.86, ,50.10,122.47,298.59,157.01,59.99, ,155.36,273.11,112.64,77.22,32.72, , ,173.88,95.73,178.75,263.60,57.68,171.39, ,277.66,196.83,285.45,193.01,135.61,39.88,67.18, ,274.12,111.17,234.69,3.55,214.48,162.35,194.36,1.13,11.40,16.99,172.55,242.07,15.09,139.66,299.19,11.19,247.44,121.31,29.26,295.56,92.01,215.90,191.65,106.53,104.13,252.10,3.00,76.47,126.18,14.88,173.74,98.69,148.44,3.30,44.86,121.43,156.77,123.25,254.36,251.46,53.29, ,56.29,111.65,223.90,89.27,201.52,147.97,263.78, ,141.47,24.86,249.70,0.23, ,254.59,181.50,56.01
48.26,182.77,186.69,187.68,155.96, ,3.93,55.07,137.91,184.72,159.44,44.40,207.37,114.25,155.94,266.10,175.59, ,35.49,230.44,241.04,12.38, ,124.29,162.22,283.94,124.98,181.36,3.05,143.83, ,299.77,264.93,120.23,64.52,8.42,78.89,81.36,281.80,215.56,33.90,53.15,2.75, , ,199.58,15.96,49.76,261.52,256.48,58.03, ,66.45,16.35,97.32,297.72, , ,2.89,120.08,203.71,45.93,216.20,91.81,146.62,194.60,64.01,219.34,213.80,100.98,1.71,37.78,167.29,66.36, , ,253.92,203.06,241.49,96.71,52.34,140.83,104.65, ,23.99,137.08,90.84,11.50, ,10.93,165.99,26.61,263.73,293.57,280.37,286.05,268.36,20.42,285.32,14.03,149.06,45.68,94.72,170.34,217.94,240.28,258.56,211.87,247.42, ,227.80,75.14, , ,25.30,98.85,232.08,299.43, ,158.28,166.06,114.55,209.89,167.94,21.73,90.74,285.25,196.95,254.97
234.62,227.12,167.35,84.75,76.92,227.95,51.42,263.81,178.01,220.81,42.15,125.76, ,111.01,108.64,267.69,171.37,237.59,203.54,108.80,92.00,6.29,180.95,291.01,278.31,267.73,206.86,150.03,121.96,52.46,197.79,241.07,56.34,93.20,193.74,38.23,31.53,12.94,144.83,259.39,168.65,147.40,137.40,115.25,258.46,189.97,187.87,225.41,9.69,204.09,220.62,189.18,286.85,164.61,206.05, ,74.70,102.22, ,99.65,147.88, ,37.85,21.04,139.77,178.58,169.35,79.00,271.19,98.53,195.75,79.36,185.01,70.87,4.27,86.88,107.28, ,145.13,123.95,199.11,192.60,258.56,136.48,245.80,168.76,63.36,198.46,283.97,153.99,56.79,58.07,220.67, , ,262.40,79.82,42.58,218.99,247.03,71.37, ,240.13,286.45,210.40,23.05,223.54,19.72,52.32,257.59,175.67,217.77,103.21,171.62, ,172.76,53.73,215.48,184.25,263.26,137.82,246.39,256.37,120.47, ,166.71,248.33,274.28,171.42
245.37,153.11,215.80,297.36,91.25,44.18,237.43,156.49,213.91,226.62,77.71,147.50,170.81,286.79,261.93,222.58,201.25,150.93,251.46,276.97,122.46,61.37,288.67,30.15,175.10,57.12,176.69,197.23,0.45,192.58,42.22,169.68,190.85, ,142.30,37.49,291.35,246.38,47.32,81.39,39.35, ,292.16,211.65,262.35,73.41,174.48,270.09,59.10,64.76,3.24,157.11,225.01,134.63,263.08,57.65,38.22, ,30.38,131.66, ,43.76,127.94,108.80,262.40,258.97,287.52,260.82,150.46, ,285.09,23.46,219.72,22.17,156.45,26.20,272.32,31.87,127.16,74.28,212.51,184.15,229.70,200.49,296.82,134.72,248.39,265.86,94.62,183.65,40.58,239.17,209.07,278.38,221.14,261.41,294.85,73.32,291.93,298.88,60.12,270.65, ,236.51,86.39,60.26,265.12,276.63,179.18,256.40,168.81,176.82,3.92,75.78,14.31,227.36,109.70,273.70,52.74,294.83,134.76,176.59,25.20,77.90,100.88,119.79,43.37,272.16,18.99
275.77,97.52,36.35,264.09,25.43,220.27,155.95,75.35,154.90,185.75,4.94,267.10,256.33,121.34,57.77,276.43,173.62,236.66,281.17,220.02,217.56,26.87,195.31,106.05,202.77,283.01,278.44,32.44,260.58,163.27,294.10,51.88,213.64,77.68,189.28,201.43,137.98, ,33.29,286.41,233.28,66.50, ,16.61,191.44,27.20, ,21.30,47.43,108.05,266.69,225.25,204.30,102.37,212.46,163.10, ,96.38,285.66,133.77,110.79,279.46,79.92, ,274.33,48.30,58.40,85.25,279.39,15.75,122.14,217.42,127.09,81.62,122.24, ,124.50,163.17, ,243.09, ,217.42,175.36,159.80,85.05, ,74.60, ,196.74,168.92, , ,263.60,127.73,56.66,112.35,56.20,162.91,207.17,236.57, ,96.37,165.19,142.62,99.01,136.54,263.03,100.93, , , ,264.69,48.49,296.10,157.16,239.86, , ,146.86,272.79,184.68,262.36,11.62,261.02,19.50,298.97, ,18.59,226.34
 ,3.38,237.48,250.00, ,189.35,71.72,26.57, ,239.17,218.00,210.28,148.83,158.56,217.82,166.39,46.55,134.91,52.24,210.47,249.73,191.58,207.05,30.08,193.94,252.33,220.04, ,68.87,149.53,10.22,83.06,16.28,147.25,96.56,276.68,169.38,290.37,19.07,202.96,284.74,69.91,92.25,87.66,24.92,77.79,206.92,47.49,205.17,289.42,114.38,100.51,78.12,156.64,181.68, ,166.42,284.68,24.05,50.77, , ,262.96,194.87,24.76,28.97,107.50,33.88,131.21,151.71,174.27,103.78,163.67,165.68,233.31,65.54,74.90,272.04, ,166.91,9.69, ,229.18, ,263.06,52.55,17.80, ,266.70,88.84,48.63,278.71,144.24,266.03,51.92,257.01,104.97,46.54,9.33,182.45,238.79,283.22,66.33,74.45,36.30,163.39,117.80,66.88,186.36, ,238.28,138.20,75.94,21.67,266.21,48.36,236.19, ,155.67,137.97,196.25,93.41,259.19,201.74,173.25,58.98,26.38,192.65,105.89
23.18, ,20.58,12.63, ,192.73,280.26,42.56,204.96,236.14,47.17,190.23,225.98,274.88,279.15,253.86,17.06,56.83, ,76.99,254.39,38.17,174.29,109.38,273.84,286.94,292.52,28.22,50.80,187.83,256.57,257.02,72.42,98.44,231.69,50.67,69.46,252.91,157.71,294.55,7.64,269.54,106.31, ,157.11,100.95,231.76,117.29,228.72,71.81,283.04,184.61,16.71, ,260.46,184.32,262.71,236.49,192.13,230.01,199.91,206.19,136.96,177.47,291.21,182.14, ,129.38, ,146.09,203.01,114.38,61.55,279.30, ,171.42,239.36,240.76,182.86,281.52,178.40,236.56,273.98,19.08,71.48,249.45,3.08,169.07,117.55,69.71,255.51,156.44,217.80, ,100.66,20.95,276.54,282.57,86.77,102.85,115.76, ,170.45,195.57,296.42,285.69,128.71,7.27,136.07, ,175.50,180.50,71.74,9.24,240.80,98.59,286.14,246.57,84.81,21.29,148.99,110.03,163.12,222.39,187.31,230.63,173.20,259.27,268.17
299.25,64.52, , ,12.19,176.38,51.77,221.33,232.07, ,95.19,38.28,269.91,174.09,58.94,291.99,253.39,3.12,25.01,114.99,113.15,252.04, ,149.71, ,81.78, ,176.97,120.88,215.33,294.53,65.57,240.04,233.15,72.58,225.54,210.50,286.68, ,196.82,102.96, ,184.75,39.98,136.55,182.16,167.49,299.93,156.45,2.52,140.50,185.10,248.63,67.25,20.30,132.13,123.47,268.33,51.55,69.94, ,252.09,36.66,239.92,285.23,272.24,20.39,259.93,295.96,153.68,75.84,63.41,297.65,55.13,275.39,75.81,232.61,103.48,156.69,239.00,223.28,216.74,258.58,30.09,232.20,185.82,57.95,94.84,173.07,61.48,213.40,11.95,165.18,115.29,158.82,163.79,265.54,25.77,257.19,178.67,239.63,197.44,13.72,53.19,142.25,35.24,251.95,201.66,162.62,139.00,71.24,103.55,83.32,260.89,185.18,229.91,204.05,122.40,119.63,104.54,290.25,17.53,186.97,59.33,236.15,71.04, ,174.59,284.43
5.05,189.09,254.85,48.66,136.30,201.84,70.96,2.14,181.25,97.72,3.67,36.60,218.36,103.11,88.15,96.86,112.49,237.82,299.86, ,136.16,51.38, ,215.10,234.61,94.53,196.80,179.65,0.19,277.38,190.95,190.86,158.73,273.76, ,273.62,220.24,35.92,257.83,186.72,294.39, ,26.72,0.74,113.26,4.38, ,195.33,295.10,14.90,156.90,69.14,194.47,240.29,261.00,290.17,6.14, ,208.68,10.65,217.66,210.36, ,14.60,70.71,0.50,8.15,197.05, ,91.52,228.21,27.66,12.08,132.47,6.16, ,16.81,225.60,160.93,55.25,265.01,185.24,211.57, ,108.62,110.82, ,39.03,64.99,234.13,297.83,246.52,238.73,289.56,104.04,11.97,26.03,285.25,242.48,104.65,5.43, ,205.57,215.25,177.63,61.75,78.44,64.52,231.26, ,95.59,257.49,291.17,84.54,194.79,173.23,92.41,74.75,84.24,183.87,65.03, ,183.03, ,247.54,197.41,267.34,107.27,100.56
208.35,74.86,212.12, ,4.53,177.32,210.99,157.02, ,121.50,12.78,62.59,24.78,235.71,253.00, , ,141.42,238.66,228.43,164.36,155.31,208.33,202.11,285.48,102.80,121.40,271.40,75.90,144.00,288.30,54.59,150.55,30.55,112.29, , ,289.98,267.77,223.75,171.36,194.83,16.21, ,287.61,165.63,44.22,272.09, ,177.33,127.84,80.98,166.86,216.78, ,184.55,40.01,226.51,249.25,265.44,290.40,165.71,236.83,33.27,51.15,86.25,92.94,123.91,161.00,249.84,261.13, , ,188.81, , ,200.18,103.54,168.86,46.62,179.18, ,230.34,100.86,137.94,97.17,256.00, ,273.84,255.23, ,144.04,154.67,246.53,85.64,239.34,183.74,234.07,59.64,8.63,137.67,255.50,17.57,176.88,185.33, ,232.17,237.68,139.03,225.05, ,62.17,60.32,193.87,209.55,158.80,114.00,64.74,231.31,281.00,220.72, ,14.36,172.59,77.03,171.82,221.12,64.25,237.56
263.82,219.72,90.75,31.33,202.64,18.52, ,126.71,248.16,220.03,187.52, ,199.13,125.77,221.14,190.21,200.19,90.66,71.36,257.81,268.63, ,287.15, ,113.86, ,128.79,280.17,143.19, ,187.09,35.70,119.66,266.94,79.95, ,151.31,97.58,207.63,157.52,103.45,8.64, ,137.43,56.54,268.83,69.20,90.04,264.15,30.82,229.54, ,69.31,227.68,216.08,124.92,30.10,216.46,82.90,176.17,49.37,177.37,99.13,299.82,297.43,234.86,139.05,217.19,7.70,75.25,280.19,297.37,128.54,49.03, ,225.20,256.03,297.34,54.25,165.63, ,75.14,256.57,238.76,122.55,18.64,170.25,97.96,9.12,81.45,137.93,283.35,244.15,255.24,292.72,275.59,13.92,144.13,264.92,144.25,29.36,285.26,161.71,67.23,9.72,228.98,136.80,105.55,150.80, ,143.51,166.50,60.57,238.64,182.14,175.30, ,38.18,250.50,38.09,70.72,166.41,195.46,212.04,84.15,61.80,206.35, ,0.86
58.78,200.07,261.03, ,11.93,165.38,13.43,280.15,251.28,83.87,149.76,147.75,58.74,208.97,18.00,265.95,109.30,87.09,166.49,260.73,275.99,140.84, ,120.99,280.86,157.45,117.31,275.35,212.09,260.19, ,10.71,89.93,48.58, ,215.07,130.96,15.47,234.32,286.66,78.47,22.86, ,140.17,70.47,1.37,151.58,158.28,21.68,282.29,125.23, ,164.70, ,180.17,13.15,227.21,263.53,91.32,289.85,288.73, ,290.10,274.47,173.97, ,122.19,260.60,271.57,112.12,24.77,195.59,177.35,106.38,17.54,40.34,129.20, ,252.08,83.41,187.83,63.30,79.57,38.76,153.92,139.10,9.47,4.55,8.74, ,149.62,51.47,152.29,219.04,132.75,3.40,126.04,122.60,40.35,242.96, ,227.67, ,237.14,272.38,46.57,138.30,244.63,86.16,70.42,16.92,243.40,262.46,281.11,273.64,90.01,88.79,144.27,216.70,33.06, ,79.63,204.25, ,94.01,30.36,67.17,67.60,67.61
80.02, , , ,205.14,158.98, ,154.21,195.96,259.79,266.90,166.15,182.03,4.69,124.59,259.68, ,27.29,162.45,37.39, ,242.53,5.17,0.90,167.26,46.64,158.77,75.64,256.25,285.08,170.07,32.81,1.87,157.04,277.69,261.52,79.24,80.16,0.60, ,167.86,290.43,136.69,70.54,260.22,146.69,198.29,253.97,258.24,185.08,46.90,143.90,197.38, ,281.79,101.93,216.41, ,211.31,219.96,78.16,10.08,101.34,181.22, ,139.46,121.49,171.42,165.72, ,213.67,118.78,234.91,178.63, ,89.94,180.32,9.46,81.88,161.84,115.53,226.65,41.67,276.81,287.76,25.22,56.21,243.54,93.10,197.06,248.25,39.17,58.80,189.07,282.95,130.92, ,57.56,9.74,30.27,93.46, ,218.21, ,161.75,199.34,144.49,97.90,46.37,190.29,115.54,77.95,161.88,134.51,229.89, ,260.16,118.60,15.13,61.98,198.57,20.72,153.92,146.12, ,72.59,169.31,206.67,54.58
123.69,287.99,33.35,13.74,131.74,115.57,208.69,67.13,257.66,72.04,261.46,59.89,233.15,222.18,176.46,208.36,165.86,53.72,209.49,299.64,214.17,209.79,52.14,40.98,92.26,295.40,170.47,87.77,284.49,243.43,286.71,161.09,48.15,51.77,282.27,298.86,166.61, ,218.75,60.29,277.82,223.96,43.79,119.30,263.74,90.84,115.96,285.77,290.78,20.30,182.85,247.28,238.32,98.60,41.49,85.63,32.21,50.84,288.85,223.40,299.39,77.27, ,63.05,247.66,104.17,146.49, ,225.78,299.28,271.26,183.28,60.07,66.49,291.49,281.06,7.93,229.13,95.79,148.25,133.67,283.83,258.37,173.09,273.90, , ,213.13,2.06,7.32,84.12,123.89,213.70,45.62, ,141.41,65.26,162.51, ,192.25, ,65.33,138.52,228.20,150.82,85.75, ,154.30,26.14, ,239.84,18.93,27.03,111.52,181.42, ,186.32,104.95,231.60,189.46,52.81,20.11,58.90,100.17,52.28,191.40,66.15,44.52,28.45
