Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49
232.78,38.86,101.14,29.75,261.21,147.24, ,191.84,15.28,278.19,267.43,111.93,299.00,73.71,295.95,266.54,119.43,268.81,265.99,1.56,33.22,295.47,136.76,90.69, ,101.98,221.80,34.54,205.95,68.73,109.81,105.02,222.44,241.87,233.68,171.64, ,297.42,248.87,95.07,230.03,163.45,205.96,129.16,280.74,54.25,277.53,262.62,52.84
196.43,156.22,74.01,54.74,32.90,127.65,290.75,102.54,126.60,293.12,289.93,220.72,19.57,294.00,103.01,241.20, ,3.54,229.75,27.55,270.06,89.38,69.88, ,234.89,113.98,284.43,277.40,177.82,68.36,123.96,207.04,125.58,283.82,123.07,84.62,253.20,79.05,259.17,59.15,181.58,179.03,204.70,211.51,46.93,142.34,98.46,156.10,247.25
203.12,283.82,191.21,293.35,119.12,180.68,183.89,10.91,120.78,58.84,48.81,198.60,294.23,217.11,227.19,80.28,4.66,108.21,20.18,163.54,123.77,14.03,8.83,138.28, ,201.21,195.50,71.00,71.09,219.59, ,297.30,210.22,51.56,230.25,50.36,52.41,165.05,191.12,18.74,214.29, ,11.69,284.37, ,150.91,12.25,44.27,183.01
118.14,229.70,275.09,253.81, ,224.57,263.74,298.53,170.85,234.33,99.22,169.80,260.57,15.26,196.68,129.65,219.42, ,249.15,143.60,115.79, ,178.45,34.33,102.58,114.21,71.71,174.74,216.38,185.25,111.67,252.54, ,163.07,210.61,294.19,245.87, ,10.89,249.59,84.66,105.33,70.08,83.67,87.59,117.58,177.48,113.15,160.66
219.77,230.11,294.58,82.90,249.29,195.95,288.56,299.15,91.46, ,9.10,190.37,135.91,143.14,81.44,74.64,16.75,295.01,4.11,168.45,211.79,129.64,57.25,180.92,142.81,277.41,27.79,116.52,1.25,143.34,281.40,175.56,121.47, ,23.30,276.55,15.00,253.63,46.96,156.92,88.58,20.45,168.83,253.86,151.89,276.68,165.53,67.36, 
260.67,120.00, ,297.18,168.89,283.17,225.81,191.82,8.94,78.36,235.87,286.18,77.53,53.13,130.83,190.80,295.62,79.76,28.46,166.68,251.03,74.51, ,43.83,29.52, ,227.67,291.01,90.77,216.14,259.06,118.60,230.18,236.83,164.50, ,139.62,7.85,69.05,107.91,68.67,113.60, ,191.06,250.87,31.67,219.01,68.89,92.33
 ,263.46,230.33,286.78,24.70,253.96,140.37,288.04,242.68,137.47,44.05,122.54,298.15,288.88,87.95,225.87,261.25,291.91,125.20,86.34,283.26,110.50,70.61,168.77,230.37,104.16, , , ,138.54, ,177.03,19.44,129.94, ,25.66,107.35,131.57,209.60,159.97,263.16,243.41,236.05,166.85,72.50, ,77.74,264.74,33.83
136.56,244.80,180.86,57.03,215.97,223.78,1.52,44.26,159.57, ,227.36,183.16,151.33,53.57,272.50, ,68.32, ,23.54,183.10,295.30,68.78,74.13,225.47,125.73,168.54,156.96,262.61,132.38,168.08,160.34,23.16,10.17,190.16,292.06,294.27,183.04,89.80,279.04,262.43,16.04,70.86,142.89,242.68,283.70,238.28,31.76, ,197.72
122.39,218.19,57.65,142.00,38.80,229.24,52.13,284.40,168.43,4.73, ,163.03,39.96,65.17,220.28,100.69,104.02, ,158.14,122.73,82.18,212.78, ,9.46,71.72,132.94,144.40,252.34,239.24,113.49,74.72, ,274.93,154.23,108.79,162.01,39.53,124.04,270.85,252.86,35.89,0.58,166.79,180.19,76.31,192.05,215.71,27.43,214.60
263.79,33.49,17.79,263.87,19.04,239.65,47.27,77.43,286.90,85.15,119.07,150.47,168.25,36.35,171.34,150.75,54.73, ,96.24,80.16, ,200.97,295.73,89.84,121.24,181.59,32.34,67.71, ,203.42, , ,50.13,269.91,189.03,71.39,192.63,250.99,145.49,47.46,238.44,93.03,167.89,166.99,111.33,26.95,157.57,114.37,149.59
123.50,61.94,105.68, ,289.72,77.77,101.40,262.29, ,29.42,49.69,214.86,168.02,88.18, ,91.20,82.52,255.67,93.21,296.02,265.11,86.92,109.13,17.28,174.83,73.05,155.57,111.24,284.12,284.78,249.89,269.69,253.55,165.47,208.62,281.67,137.23,191.72, ,263.00,255.50,235.99,57.28,24.16,140.85,49.48,48.20,168.38,116.85
269.77,95.19,195.06, ,221.74,245.90,90.00,136.23,180.06,35.75,54.26,209.74,118.01,178.59,241.65, ,132.99,87.55,136.60, ,172.36, , ,147.34,147.41,26.00,126.34,145.03,5.57,188.27,111.40,175.18,8.72,198.17,233.23,250.38,114.67,249.28,24.13,229.64,175.40,289.30,25.33,123.71,26.66, ,72.79,3.03,92.92
41.61,146.18,254.36,115.23,299.29,101.57,128.23,257.33,159.00,62.62,119.91, ,199.43,153.79,189.33,127.04,228.62,56.85, ,162.11,101.86,257.40,154.54,197.87,135.78,265.44,152.37,8.40,135.57,266.58,174.11, ,30.79,299.05,113.03,102.89,296.95,247.86,131.37,195.00,212.26, ,173.05,263.37,160.50,297.95,100.84,68.18,45.65
205.44,1.52,164.18, ,107.26,257.49,242.54,22.72,228.00,25.79, , ,231.84,250.25,146.83,49.35,120.27,216.82,22.33,170.61,191.73,249.28,199.53, ,84.00,129.81,181.43,42.66,120.76,280.26,172.00,120.17,20.80,104.80,244.81,26.54,207.97, ,293.09,272.72,30.82,30.97,206.70,270.80,201.18,128.04,82.74,125.32,210.56
253.06,119.65,158.25,96.21,198.78,250.24,50.27,133.01,258.33,51.02,52.18,264.50,211.35,7.56,74.57,24.81,103.09,229.98,31.33,287.15,153.54,118.03,119.58,27.38,72.32,16.05,175.24, ,14.27,3.15,127.94,32.32,99.51,257.57,33.44,183.87,255.76,278.05,11.60,97.31,156.39,188.71, ,77.98,293.70,89.38,201.11,11.99,134.92
 ,125.15,240.60,17.66,193.90,261.98,157.94,12.23,54.27,202.72,292.87,286.73,147.99,165.65,72.02,293.56,76.27,126.79,139.01,193.29,295.28,88.87,122.22,265.50,254.36, ,247.92, ,46.21,187.76, ,73.31,158.54,130.72,100.93,236.79,128.17,108.94,279.54, ,179.04,241.13, , ,47.54, ,255.97,85.07,37.45
295.31, ,215.42,59.28,176.37,203.51,248.67,19.43, ,7.21,241.29,113.68,186.00,284.42,30.03,146.63,169.17,8.94,180.18,109.40,128.68,38.02,98.76,117.56,42.06,164.26,24.38,33.33,65.19,121.31,68.15,50.50,236.00,248.02,289.06,227.58,37.80, ,78.96, ,143.22,31.22,0.77,17.72,164.04, ,21.03,79.93,5.67
15.67,170.81,60.99,142.71,177.89, ,126.17,81.99,20.93, ,50.83,176.86,228.73, ,51.14,162.19,96.08,148.79,216.33,62.99,230.07,184.28,271.40,22.54,289.81,201.86,88.08,105.47,215.04,167.72,155.83,117.93,181.48,41.12,229.86,144.39,25.66,288.29,162.48,127.86,284.62,144.94,153.86,118.33,267.53,243.94,70.64,86.84,207.72
192.34,125.34,222.62,238.02,56.36,12.87,148.36,32.62, ,185.09,113.68,285.15,127.59,150.32,72.49,144.70,240.27,232.10, ,70.36,283.04, ,103.56,198.16,235.54,156.03,4.47,20.91,58.65,189.74,147.17, ,286.04,68.23,139.65,299.42,97.63,261.26,13.47,212.45,88.94,91.76,89.77,299.51,20.49,102.53,236.65,282.13,194.58
 ,108.49,229.29,140.91,46.71,296.56,132.80,115.91,144.17,35.23,239.78,17.01,240.32,108.55,235.79,271.62,40.15,197.37,80.03,57.38,293.06,265.46,69.54, ,20.38,288.52,173.82,239.09, ,127.73,274.46,226.78,270.12,100.89,75.09,230.87,198.71,253.36,127.79,267.85, ,299.53,185.06,229.81,152.65,224.20,20.67,290.66,199.73
228.94,245.32,8.72, ,3.05,231.52,84.79,176.56,114.26,169.76,166.41,253.11,37.72,143.28, ,19.81,88.58,151.83,211.34,133.44,221.06,174.17,92.04,215.88,65.81,204.22,292.80,18.21,209.54,174.60,117.95,98.30,190.34,239.38,62.48,90.81,19.24,247.94,155.45,86.35,6.90,5.50,195.84, ,117.51,140.41,188.29,113.52, 
245.15,105.01,48.51,6.35,7.67,37.16, ,213.21,87.90,210.53, ,190.64,4.87,227.87,220.39,162.47,55.21,68.31,61.86, ,134.68,156.56,51.40,194.50,13.30,152.57, ,109.67,162.77,235.12,13.91,226.77,82.26,46.53,74.36,200.86,243.07,111.25,215.77,245.40,275.93,30.27,221.54,177.49,12.18,67.79,245.00,105.39,10.23
179.27,103.71,133.99,273.94,29.70, ,110.62,81.30,147.65,258.57,137.84,293.04,101.10,117.58,83.80, ,93.31,4.84,115.71,165.92,134.72,188.24,202.95,9.21,204.45,45.64, ,71.10,199.73,57.38, ,72.94,127.64,299.23,158.34,186.09,177.71, ,290.89,186.26,78.77,239.35,19.61,270.45,127.69,0.99,270.92,92.55,277.60
 ,90.73,89.39,217.20,204.30,261.47,191.76,84.89, ,233.39,99.30, ,121.95,251.39,35.16, ,153.62,0.78,295.88,47.99,208.68,270.80,25.06,248.36,4.43,99.50, ,105.49,187.50,93.89,99.32,195.83,180.44,142.19,130.09,129.12,211.50,234.97,294.98,194.65, ,146.54,102.05,239.83,220.84,278.49,67.92, , 
 , , ,222.31,198.67,39.85,105.16,179.25,28.63,7.12,41.09,100.27,41.34,163.82,237.31,155.80,275.36,156.88,273.64,246.81,287.90,88.17,33.11,93.16,195.78,87.98,222.14,79.02,52.66,20.41,287.38,119.85,205.05, ,245.66,73.05,65.26,76.39,109.88,253.64,74.90,119.14, ,21.99,82.40,105.16,166.72,276.60,111.22
188.87,130.04,132.87,249.35,122.51,230.81,264.80,254.05, ,145.97, ,71.53,275.78,219.16, ,152.51,236.68,93.21,162.43,293.58,235.07,6.60,51.03,222.44,43.21,195.72, , ,72.25,151.83, ,152.43,213.59,245.23,233.74,174.98,112.10,42.99,57.59,42.53,21.05,14.68,154.83, ,220.00,64.14,98.52,46.96,100.06
 ,298.27,202.43,177.39,163.64,212.28,280.59,94.72, ,161.31,265.86,168.21,281.08,258.39,41.46,69.61, ,63.66,167.47,85.37,202.17,119.02,10.98,286.87,18.54, ,187.65, ,163.41,23.90,52.70,276.00, ,233.35,87.82,116.16,84.28,0.10,165.35,69.22,249.77,219.80, ,153.50,72.84,275.55,283.43,50.44,95.98
110.01,63.95,129.00,46.12, ,258.73,258.44,255.46,158.26,56.60,49.55,107.12,277.22,119.51,232.12,190.86, ,25.84,59.50, ,174.42,72.56,140.39,33.05,152.56,215.24,69.44,44.82,22.82,204.32,123.24,90.91,130.08, ,282.64, ,225.41,81.74,149.41,61.97,147.61,78.46,207.32,282.53,138.71,210.13,39.42,263.25,165.16
180.44,6.16,162.75,201.80,215.34, ,124.63,168.19,282.02,192.98,80.75,174.67,278.56,63.66,43.12,167.42, ,183.64, , ,151.50,249.46,84.30,94.84,260.56,49.72,231.13,75.29,65.24, ,77.79,165.32,211.52, ,92.31, ,254.10,284.50,202.40, ,135.75,159.51,34.77,208.42, ,64.23,199.32,11.87,221.81
78.33,101.90,37.81,259.10,25.06,67.61,174.39,273.29,155.91,14.47, ,121.22,277.65,4.94,270.56,38.17,186.94,106.30,216.81,239.21,39.94,115.24,257.44,181.37,171.07,30.28,77.05,13.23,45.52,208.70,40.91,14.07,86.54,185.01,116.25,167.70,73.30,0.34,4.42,132.25,217.13, ,178.58,194.94,237.83,280.25, ,59.16,4.00
8.42,145.64,158.86,39.75,71.63,64.52,9.53,157.33,243.56,295.12, ,235.94,223.89,297.70,69.33,50.66, ,207.51,265.84, ,191.21,147.19,248.81,45.48,214.17,32.33,168.60,153.57,86.91, ,100.21,74.12,240.60,122.96,66.60,218.16,226.45,297.61,103.99,298.97,35.54,30.81,256.26,200.64,95.66,256.70, ,245.74,140.04
177.32,127.53,192.11,211.64,178.37,22.91, ,223.09,20.85,281.78,101.72,132.57,297.90,136.38,9.79,95.74,43.51,185.61,177.02,63.28,278.53,60.18,105.09,157.68,122.13,171.57,72.02,170.57, ,216.36,46.56,61.04,104.86,61.59,199.18, ,18.70,244.41,275.21,283.14,289.12,259.01,274.83,98.00,97.89,57.91,245.19,125.76,256.04
115.70,25.66,228.74,64.19,98.85,245.59,69.54,172.24,104.74,89.51,251.20, ,128.15,127.16,14.60,164.69,57.76,116.86, ,7.81,147.34,181.20,15.92,126.93,80.48,156.36,37.98,140.44,0.11,194.80,278.39,232.93,158.26,249.17, ,145.49,189.76,228.71,120.09,53.03, ,215.01,275.24,93.55,199.22,109.55,121.60,276.76,235.03
153.99,86.67,233.17,78.95,99.49, ,206.67,153.48,169.16,134.07,223.61,257.86,3.08,290.65,110.58,283.51,279.50,182.06,89.05,77.96,150.11,20.22,72.82, ,137.76,294.22,214.68,204.29,65.35,100.72,24.21,274.12,29.20,62.78,160.75,119.70,46.11, ,78.35,187.54,12.49,94.95,21.31,23.05,94.01,103.39,259.97,266.89, 
42.19,173.41,276.82,219.80,209.80, ,271.02, , ,171.33,285.73,263.30,221.62,120.20,196.44,6.78,291.00,134.98,139.55, ,5.12,219.43,245.51,210.31,177.42,23.19,158.58,125.51,157.27, , ,29.20,121.06,11.00,198.57, ,226.24,44.90,261.69, , ,185.77,202.78,241.12,153.98,9.42,246.30,32.47,217.45
90.26,258.23,210.68,157.29,86.15,86.37,272.61,115.47,46.25,66.21,266.39,176.56, ,81.77,242.38,183.90,153.10, ,23.63,206.26,8.90,216.89,201.60,223.17,160.59,204.17,117.91,144.51,259.32,278.35, ,284.31,53.01,252.91,201.15,145.66,52.63,36.67,34.19, ,284.42,0.75,243.37,34.03,10.53,288.12,239.62,272.27,49.02
 ,275.92,244.12,244.81, ,250.19,187.52,244.63,66.63,39.06,204.09,202.75,154.80, ,261.70,48.19,96.50, ,281.24, ,264.21,293.42,99.17,24.65,271.08,163.99,276.06,236.25,120.87,157.87,135.04,17.63,256.83,141.92,116.65,171.31,192.08,280.23, ,135.89,286.12,106.62,236.72,155.04,239.72,227.41,244.81,107.90,179.03
285.65,16.46,126.97,219.20,24.94,142.85,67.41,103.52,206.95, ,70.29,170.30,192.55,166.65,12.99,235.14,72.10,232.30,250.66,280.76, , ,263.90,154.31,218.72,117.55,224.88,40.59,180.57,19.41,160.75,278.89,92.53,234.22,234.21,146.48, ,225.38,119.35,246.90,254.04,207.24, ,283.43,219.66,265.24,5.35,121.26,265.37
 ,77.92, ,61.35,61.56,123.00,235.08,154.10,236.38,7.68,234.79,132.60,168.84,140.98, ,198.93, ,164.11,275.64,36.98,232.21,76.91,279.47,232.79,108.25,10.22,183.16,153.58,2.59,272.99,95.95,137.05,66.21,27.85,205.44, ,83.80,263.60,140.33,182.24,183.29,162.23,242.48,161.62,76.49,118.73,279.16,255.85,245.88
270.30,72.60,99.26,238.77,191.93,56.52,191.94,160.00,42.17,100.58,157.71,94.92,4.15,96.22,219.50,283.71,172.50,88.34,143.03,261.18,239.76,137.27,6.52,46.42,298.80, ,37.56,70.30,176.21,289.33,141.47,118.85,77.17,217.44,67.60,118.60,46.79,6.32, ,107.94,81.09,240.63,195.63,268.02,4.36,115.95,244.60, ,6.49
6.77,29.95,144.60,152.26,256.91,140.80,169.22,240.93, ,152.15, ,237.54,33.20,58.22,190.64,294.74,286.10,228.83,98.71,110.78,129.60,114.21,197.74,16.15,150.29,251.43,271.98,46.67,213.33,189.45,190.10, ,291.65,176.15,214.97,289.24,279.12,266.77,141.71,137.35,110.29,295.51,261.77,295.02,189.11,100.44,156.68,141.56,118.20
 ,8.35,74.18,294.01,49.85,81.45,79.19,176.71,20.63, ,18.65,203.32,52.28,247.75,50.35,230.38,52.78,292.04,163.63,9.79,282.63,5.32,130.34, ,199.41,7.48,269.73,138.44, ,93.28,136.17,242.00,126.76, ,116.95,169.84,36.39,163.94,271.10,28.40,147.90,79.42,140.21,270.59,6.58,159.09,43.06,216.48, 
243.02,241.27,24.82, ,52.34,291.00,234.13,0.93,207.80,85.60,248.85,97.40,84.74, ,41.51,215.54,208.65, ,48.13,233.00,106.04,240.69,207.60,23.15,176.47,286.70,294.69,206.51,94.10,30.53, ,120.78,177.84,174.58,49.20,89.98,59.17,222.29,139.70, ,247.74,141.73,141.18, ,184.41, ,211.06,131.50,74.32
64.16,232.59,252.79,49.40, ,228.68,188.80,283.37,28.58,299.62,223.86,247.72,44.52,45.45, ,5.05,186.22,30.15,64.92,274.02,118.61, ,147.24,148.75,231.81, ,103.44,151.33,235.32,139.40,102.49,251.01,23.48,234.31,14.64,187.43,24.40,106.40,260.67,50.10,196.55,75.15,229.61,206.49,133.59,199.70, ,249.24,37.87
87.82,119.68,82.08, ,278.55,147.47,79.51,59.64,50.54,98.14,180.22,254.11,209.50,37.78,211.13,263.36,80.88,158.76,52.64,101.80,69.47,74.00,18.79, ,230.34,56.27,22.66,244.95,161.40,278.45,102.07,269.61,134.88,265.86,92.90,149.11,3.98, ,258.24, ,113.56, ,285.69,195.41,287.93,200.66,131.71, ,227.77
125.00,238.56,205.59,246.12,7.48,196.47,173.27, ,29.10,80.70,282.55,80.60,43.47, ,221.35,19.56,166.89,169.91,211.92,112.26, ,122.59,88.40, ,88.93,72.07,115.74,202.31,170.67,189.62,0.35,86.04, ,130.78,107.57,254.64,59.21,100.90,18.52,168.30,87.45,217.87,241.92,111.31,99.79, ,58.53,106.50,271.89
 ,114.19,14.55,257.58,283.28,8.86,233.19,25.82,228.71,171.67,16.68,208.34,215.22,143.98,292.14, , ,15.67, , ,79.81,128.05, ,148.63,43.30,43.93,279.45,198.99, ,262.44,284.69,93.63,224.55,20.27, ,28.44,184.83,208.21,46.06,119.53,224.92,53.37,276.76,163.42,53.66,98.50,39.29,110.65,65.83
160.94,162.05,284.60,112.67,146.17, ,262.64,135.58, ,93.39,128.84,52.65, ,151.83,219.05,263.32,70.67,259.79,245.18,271.18,140.28,246.84,129.21,117.12,288.82,200.99, ,16.22,235.04,195.54,74.14,260.76,256.97,173.96,154.66,107.42,281.13, ,102.22,274.21,102.20,62.26,56.21,65.16, ,129.75,54.23,52.30,26.97
253.09,286.71,259.53,235.05,296.19,52.01,230.23,63.31,9.23,202.70,205.69,215.67,144.17,122.31,223.95,146.99,92.40, ,276.47,253.09,287.71,196.55,46.73,160.06,198.57, ,123.00,73.59,234.16,126.92,216.73,241.28,166.91,168.68,49.75, ,57.75,1.76,212.51,175.13,215.58,217.98,221.23,221.67,289.87,285.65,53.74,278.02,258.92
154.97,58.74,291.94,106.30,280.93,136.85,281.95,201.07,222.58,205.18,187.28,268.47,172.58,246.07,56.95, ,123.41,256.64,59.42,47.46,22.42,10.05,259.17,282.93,211.06,35.52, ,227.68,208.67,205.74, ,140.35,19.37,155.24,145.47,206.89,160.93,141.44,36.41,41.58, ,243.31,127.71,219.39,270.14,212.22,138.68,248.84,166.63
180.83,139.53,266.40,90.46,299.74,113.34,102.66,248.00,6.07,97.04,36.46,77.26,269.33,155.46,178.50, ,150.50,2.29,229.81,266.27,22.73,14.77,290.31,220.15,187.90,115.60,273.38,189.86,75.82,5.19,241.21,77.78,219.05,292.86,71.29,269.49,31.12,85.62,135.44,281.96, ,135.42,4.62, ,71.30,102.42,98.48,233.92,147.14
29.23,164.66,64.73,51.25,205.31,287.69,12.27,132.69,58.62,245.01,249.28,205.26,196.37,179.45,204.61,63.38, ,225.81, ,230.02,267.02, ,26.84,68.82,11.68,25.60, ,109.85,37.67,28.33,48.94,167.22, ,245.12,126.14,89.98, , ,278.11,94.81, ,204.66,192.38,87.03,142.38,155.91, ,24.18, 
176.78,184.63,262.93,52.91,212.16,90.64,269.88,28.12,274.15,97.65, , ,113.49,146.04, ,181.27,198.91,142.25,284.15,289.12, ,262.70,77.62,153.75,245.01,186.21,87.30,20.85,192.85,230.49,135.58,125.55,252.82,203.77,242.28,49.39,208.85,284.19, ,45.15,222.53, , ,106.48,28.00,247.12,222.74,149.58,96.56
148.37,210.21, ,62.86,175.16,59.81,265.64,57.21,97.69,293.29, ,277.44,106.07,138.83,176.17,103.46,138.40,230.39,45.31, ,283.90,179.32,277.57,14.54,220.37,251.00,126.15,13.54,287.88,190.10,176.32,196.78,109.45,29.81,153.48,273.55,16.55,198.96,89.06,285.63,33.47,203.00,286.52,45.34,281.49,219.09,132.27,241.78,89.04
95.27,272.94,64.73, ,22.99, ,159.04,278.23,31.76,46.61,180.65,98.52,257.81,184.78,226.05,185.42,117.11,157.70,55.12,82.81, ,204.54,236.25,107.99,219.19,162.22,259.05,198.82, ,235.14,194.35,59.95,256.30,179.90, ,158.48,82.41,286.20,151.74,296.79,44.10,138.63,234.48, ,150.27,118.58,44.01,127.74,34.75
3.56,265.22, ,12.27,143.32,233.22,34.96,178.47,166.96, ,284.35,296.62,210.94,258.36,90.33,116.84,197.95,243.96,224.54,61.51,25.29,245.11,202.83, ,139.55, ,62.13, ,117.53,0.50, ,266.35,254.07, , , ,159.59,153.30,162.39, , ,260.24, ,210.08,264.39,98.64,280.64,196.34, 
3.13,254.27, , ,256.90, , ,265.99,237.62,58.00,25.18,45.57,133.68, ,283.64,6.91,57.83,131.05,131.57,245.12,20.92,0.90,273.25,37.12,206.22, ,11.81,1.38,235.06,235.96,240.80,269.56,285.74,52.37,34.57,83.14,18.89,285.81,218.61,88.01,150.07,53.97,219.60,284.20,201.04,216.72,101.48,70.89,231.87
63.80,9.34,40.37,175.90,84.34,100.47,104.95,266.50,191.44,67.34,165.14,237.61,77.51,182.76,133.99,19.61,211.54,222.19,203.48,48.28,18.09,156.04,284.74,164.26,228.72,268.96,76.19,102.14,75.88,69.73,240.58,26.16,218.67,117.63,96.04,4.62, ,244.63,96.58,62.23,249.15,155.52,190.28,58.46,160.62,10.16, ,210.65,165.26
186.27, , ,184.58,4.16,283.95,208.56,212.39,147.31,19.82,206.23,291.81,263.22,287.02,36.36,210.89,9.36,134.49,246.95,233.71,103.67,221.49,69.71,50.41,176.19,33.80,250.74,64.88,76.89,27.57,238.83,143.18,245.68,266.28,80.42, ,282.18,225.42,209.55,136.60,2.76,116.94,79.44,91.49,68.51,293.93, ,208.15,124.81
281.46, ,230.44,193.66,62.96,267.67,268.61,4.14,237.20, ,105.94,163.35, ,21.96,34.52, ,75.66,40.08,281.89,65.49,249.26,14.17,244.82,201.89, ,29.03,94.52,35.72, ,29.53,15.43, ,175.11,196.59,138.25,189.86,287.71,197.87, , ,136.86,42.00,208.60,188.39,33.09,172.68,25.44,139.61,98.47
227.32, ,47.71,158.57,67.18,255.56,178.92,11.81,271.55,65.39,257.13,23.09,57.39,95.38,5.35,76.17,284.69,262.53,250.86,90.66,152.39,143.04,151.36,70.16,50.13,237.21,221.23,17.24,255.73,154.61,140.78,181.40,239.01,98.49,93.16,195.40,2.14,56.26,299.56,168.84,41.12,128.43, ,32.38,200.59,63.78, ,296.92,230.93
4.86,211.25,58.02,81.84,202.01,221.56,41.65,162.32,152.33,194.87, ,240.30,244.57, ,176.87, ,260.89,82.16, ,71.68,103.58,184.06,134.13,121.79,106.06,47.80,241.57,246.19,5.10,126.78, ,269.92,296.88,248.42,253.65,157.26,111.44,152.17, , ,31.28, ,109.69, ,32.41,7.96,124.40,134.50,77.94
272.23,156.82,196.66,158.43,144.79,263.60,296.08,67.70,125.10,154.85,192.44,53.52, , ,259.29,270.30,10.17,89.86,221.86,148.61, ,7.48,21.60,281.15,94.86, ,149.47,221.25,17.08,39.37,139.80, ,173.52,210.01, ,204.92,162.80, ,293.97,219.57,18.85,240.65,261.00,104.49,162.06,249.37,299.84,115.86,233.25
