Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110
223.44,248.22,185.60, ,141.79,102.14,241.77,290.39,7.30,228.99,57.93,34.52,192.65,90.32,9.01,292.30, ,209.47,122.46, ,78.67, ,180.81,144.03,112.94,201.42,175.63,15.68,145.27,136.33, , ,183.76,58.51,104.28,162.53,63.06,5.40,252.73,122.47,80.33,43.40, ,219.03,208.83,237.77,299.04,299.61,296.27,123.76,239.58,57.84,154.79,171.72,61.04,277.18,138.25,201.20,105.74,212.49,282.94,223.63,262.77,47.22,58.55,154.35,262.72, , ,20.49,272.22,94.08,239.33,161.98,52.33,260.76,282.28,115.07, ,77.84,272.89,187.70, ,185.83,103.40,224.09,86.43,205.43,145.71,112.85,285.28,275.40,129.99, ,245.07,115.40,292.75,59.78,232.15,66.28, ,116.55,178.30,159.13,83.49,228.48,12.53,61.52,159.81,245.63
136.58,164.93,101.98,219.27,185.37,48.71, ,165.25,102.99,46.06,151.73,115.20, ,28.97,51.38,1.11,238.31,106.23,297.18,56.46, ,241.83,239.35,11.42,52.86,172.84,1.12,149.83,72.64,145.29, , ,183.35,272.37,67.90,18.23,132.08,166.76,21.42,239.85,210.71,147.24,91.64,108.12,264.68,154.75,62.99,144.04,81.08,267.38,192.02,125.09,220.29,98.01,97.95, ,8.67,121.78,122.21,200.33, ,81.09,44.79,37.84,90.42, ,57.80,197.25, ,221.35,84.83,205.40,57.21,191.45,1.72,209.99,184.00,206.67,192.10,109.18,140.29,48.86,257.39,42.77,109.74,264.50,283.48,77.35,49.84,128.48,252.47,23.40,12.14,101.57,181.53,134.19,110.34,167.34, , ,68.54, , ,204.10,202.94,198.42,250.25,4.33,65.37,39.20
257.81, , ,51.53,161.17,298.98,229.61,238.62,208.32,31.19,270.58,93.87,186.90,195.90,246.85,218.97,38.78,126.83,16.12,136.47,40.22,205.79,34.23,267.98,257.28,54.96,233.29,96.87,192.95,11.42,254.04,125.85,107.16,13.35,131.03,0.57,285.27,141.08,50.78, ,8.06,17.01,41.52,32.78,58.79,173.13,279.60,24.43,210.68, ,33.96,135.59,279.39,240.89,140.37,229.54,299.73,119.44,79.29,268.43,44.07,114.14,273.58,267.09,128.35,231.77,52.34,196.84,188.23,152.20,129.41,131.02,119.51,64.78,235.74,139.81,27.19,222.46, ,189.55,299.96, , ,186.09,59.11,134.15,70.03,26.25,293.77,271.28,220.17,179.97,9.89,280.57,82.24,135.45, ,135.41,106.67,291.64,56.79,186.73,279.49,279.89,43.25,102.53, ,272.62,8.82,27.22
246.35,270.73,81.25,217.22,5.51,178.43,271.68,244.83,67.38,205.20, ,40.48,25.06,273.78,104.73,219.73,202.64,64.84,110.44,201.67,269.20,175.67,88.25,272.13,30.93,218.76,4.02,230.73,55.16,221.58, ,141.31,63.44,18.84,280.94,249.56, ,66.12,279.03,117.40,167.93,217.61,77.90, ,8.63,101.09,172.30,73.94, ,137.39,233.82,165.06,134.84,168.07,297.08,55.33,98.26,262.81, ,40.71,55.89, , ,262.48,117.96,74.13,173.81,266.75,123.30,193.93,51.17,263.61,150.22,296.52,40.89,83.44,249.90,130.94,296.31,198.64,129.84, ,3.65, ,62.73, ,256.66,48.22,284.46,201.77,243.01,103.43,58.70, ,198.03,43.44,109.38,8.61,214.86, ,145.87,5.60,266.83,221.04,13.82,261.54,268.03, ,71.46,249.54
65.27,272.45,41.91,50.79,21.05,206.34,111.52,269.52,142.95,232.75,245.60,119.54,106.27,52.04, ,1.58,249.31,106.66,191.06,108.81,209.55,147.93,185.97,143.00,166.99,130.43,20.39,144.53, , ,233.62,52.67,86.88,84.35,60.00,82.04,216.99,243.27,165.06,88.96,26.93,82.84,280.95,126.03,284.81,294.11,153.63,153.62,48.76,134.05,213.38,277.58,207.68,195.30,50.09,80.80,240.21,234.37,266.86,46.65,261.36,170.09,87.53,55.50,261.68,245.05,105.64,5.44,143.48, ,193.57,166.85,125.21, ,46.38,265.36,249.01, , ,41.71,142.82,57.60, ,2.65,92.40,285.01,68.76,191.76,70.75,232.91, ,137.87,86.44,35.36,29.95,154.55,90.44,168.88,101.88,150.70, ,75.98,53.75,252.20,107.08,4.12,218.91,177.86,179.65,196.59
 ,65.73,82.70,67.03,4.22,107.21,250.35, ,16.80,75.64,54.51,291.96,222.71,151.84,72.10,81.66, ,92.69,16.24,190.59,126.97, , ,49.72,289.43,219.31,56.27,152.93,180.27,161.70, ,262.27,94.88, ,41.46,166.35,12.01,140.96,251.75,73.16,295.63,282.09,161.00,103.26,277.35,225.48,74.67,101.31,83.75,69.83,281.86, ,293.87,23.87,244.87,206.01,112.62,228.43,129.60,130.83,244.14,69.00,189.04,184.50,141.62,196.78,11.59, ,5.46,173.60,70.95, , ,103.21,245.72,142.51,261.61,156.65,55.04,265.02,124.34,254.54,288.74,165.66,71.10,247.78,9.44,235.30, ,38.51,281.74,209.19,130.90,50.91,250.26,171.90,115.08,17.71,252.60, ,74.31,5.94,254.89,40.82,69.15, ,135.83,97.98,252.82,240.24
135.76,294.48,253.68, ,271.39,224.12,213.53,220.65,20.52,234.86,65.72,138.16,139.83,92.39,149.56,125.09,157.04, ,164.70,257.33,240.66,60.34,249.58,71.78,79.28,103.92,13.04,278.78,247.76,99.85,25.07,257.70,278.16,26.13,242.55,279.07,19.51,34.35,98.17,138.15,53.45,18.07,50.00,73.94,172.36,130.37,294.91,75.80,61.35,115.92,85.39,187.12,134.40,74.00, , ,110.03, ,128.10,204.22,221.47,297.31,32.34,90.16,270.54,181.75,179.15,157.86, ,262.76,294.22,41.10,248.91,102.85,279.23,7.34,171.85,101.49,241.65,57.26,266.77,243.80,299.64,197.09,202.21,82.31,196.62,218.24,274.54, ,253.77,256.00,143.32, ,110.42,155.66,169.01,288.18,161.66,242.25,261.59,218.61,40.89,167.30,260.75,280.23, , , ,153.55
30.71,205.45,168.64,6.68, ,119.49,49.13,211.47,206.21, ,247.10,221.91,206.05, ,115.45, ,280.85,233.20,25.90,149.22,211.79,185.60,275.40,22.24, ,32.96,79.87,190.45,9.49,231.22,283.15,232.61,27.51, , ,271.42,188.28,104.96,51.56,19.58,100.31,39.68,0.07, ,190.52,230.33, ,3.58,122.60, , , ,146.19,153.14,77.45,144.31,70.66,141.22,22.69,200.23,198.02,76.80,164.50, ,240.43,46.10,246.90,213.14,283.95,281.75,179.76,167.62,71.51,142.62,112.68,132.29,238.58,45.44, ,52.58,257.00,148.96,10.19,233.16,270.68,120.55,215.23,161.60,192.91,59.24,64.28,257.26,38.38,78.36, ,130.94,82.89,17.33,204.43,36.07,274.74,163.78,286.77,130.33,178.09,262.64,146.21,260.31,100.83,257.49
195.53,34.70,282.66,81.32,56.09,230.32,188.94,299.55,79.29,79.10,211.81,260.43,104.19,237.14,290.38,71.36,283.06,164.32,158.08,152.82,63.03,245.00,177.25,127.68,74.44,213.92,248.53,44.27, ,281.41,85.48,29.10,159.10,135.70,293.24,277.64,144.37,152.41,238.03,224.01,171.40,108.49, ,282.84,132.03,183.32,163.41, ,134.79,254.02, ,247.25,20.94,196.19, ,292.53,104.03,214.33, ,22.82,126.64,35.00,83.60, ,247.01, ,81.81, ,52.30,68.58,260.38,0.31,230.31,61.86, ,276.19,256.70,142.86,4.67,42.01,96.18,35.28,257.76,270.03,169.38,147.67,169.85,273.82,1.22,273.81,176.03,45.34,249.00,216.07,66.06,41.93,48.53,236.12,194.30,85.39,115.61,37.18,3.98,197.42,277.65,40.77,121.22,286.42,274.31,23.89
160.57,202.61,143.04,215.39,44.86,101.01,233.84,145.94, ,43.35,126.83,283.78,35.80,266.94,44.20,129.91, ,195.74,239.08,125.88, ,170.75,177.11,89.10,177.16,164.48,269.94,135.09,271.83,23.61,276.91, ,106.83,138.18,139.53,41.33,231.74,136.16,294.55,176.10,44.54,174.32,172.96,100.14,137.46,150.30,247.95, ,54.78,22.59,210.01,98.67, ,216.11,118.59,178.97,220.50,197.71,188.56,260.45,197.36,259.75,174.14,265.76,262.47,81.16,246.25,118.49,212.60,133.27, ,12.24,165.75,223.60,124.31,221.02,191.63,72.77,193.08,205.04,242.94,32.80,187.53,81.24,126.41,142.47,61.10,183.49,90.46,187.41,101.36,27.79, ,100.56,20.44,137.31,23.96, ,286.72,218.68,275.32,183.80,202.69,272.51,171.74,193.27, ,294.63,5.53,294.96
219.88,187.12,287.47,135.77,197.80,211.03,77.21,149.57,158.81, , ,266.21,138.26,208.22,192.96,120.50,19.85,203.31, ,190.78,233.33,15.85,94.15,112.44,131.18, ,225.65,154.07,105.45,217.22,125.22,227.42,298.09,286.09,154.23,92.18,16.99,288.13,69.46,164.64,100.93,28.80,47.05,218.44,175.19,166.17, ,93.58,243.93,232.22,195.08,237.51,32.86,155.49,282.28,249.71,226.17,130.80,168.85, ,21.35,6.84,189.26,281.10,196.61,67.61,217.02,279.45,116.33,239.87,174.54,151.10, ,272.90,244.03,121.00,163.10, ,50.61,74.73,34.51,53.66,13.28,185.60,55.06,184.99,203.33,60.03, ,51.31,143.41,169.07,110.54,274.28,82.78,7.33,207.92,168.16,291.95,195.63,193.91,169.67,100.89,248.87,265.27,182.64,295.51,73.10,83.87,38.65
220.78,281.14,24.66,138.73,288.14, , ,231.92,70.89,100.16,188.13,19.94,174.11,122.47,121.51,294.58, ,215.36,54.13,230.80,182.78,191.58,248.71, ,119.67,181.88,164.29,285.25, ,159.36,263.24,21.19,101.15,242.57,87.50,60.56,200.14,265.72,160.47,165.35,34.09,191.41,174.16,239.17, ,98.53,65.42,279.28,6.25,177.56,248.13, ,266.43,26.65,166.12,146.57,196.66,41.34,134.57,49.49,273.89,172.28,217.09,211.25,83.63,29.65,20.01,189.70,278.32,218.58,103.47,175.90,245.80,88.20,132.73,154.12,289.36,38.60,103.78,58.53,21.74, ,41.74,183.51,270.42,246.75,203.33,290.75,257.69,291.66,40.71,192.18, ,218.58,25.16,135.78,209.77,171.87,199.26,87.09,134.39,174.19,90.28,239.99,143.78,285.41,188.67,74.03,233.47,221.93
14.98,42.31,215.23,128.33,78.15,41.94,102.37, ,192.65,101.77,246.00,171.80,138.40,201.88,220.03,96.33,209.47,220.96,69.27,262.55,213.30,225.71,280.33,287.63,244.06,59.37,39.13,17.91,217.73,51.93,114.29,16.41,2.30,157.98,72.52, ,285.82,181.05, , ,99.29,266.95,211.18, ,142.35, , ,94.72,197.85,5.55,232.76,151.63,79.43,211.27,209.97,215.82,188.59,120.93,205.67,251.57,237.45,237.60,154.01,200.10,241.32,266.12,213.51, ,292.94,176.09, ,85.86,273.51,182.25,14.84,104.06, ,41.51,88.20,214.34,284.41,61.84,232.32,103.57,200.75, ,76.84,43.84,67.75,137.14,111.78,37.92,118.39,257.35, ,41.67,97.23, ,159.07,291.59,19.71,295.75,133.62, ,177.45,8.18,72.44,6.58, ,222.43
184.61, ,161.32,14.60,247.53,117.62,65.46,183.37,208.37,240.73,240.01,216.25,12.98,206.37,213.10,241.99, ,121.77,248.39,192.05,290.75,24.56,31.38,37.79,145.55,79.23,277.38,42.75,210.39, ,229.95,34.41,200.45, ,77.90,36.94,276.82,235.87,182.10,238.57,105.75,257.25,210.62,82.39,160.22,284.81,222.73,26.57,129.81,88.39,217.94,177.66,153.01, ,35.10,134.72,186.54,212.24,129.45,153.90,7.10,67.63,69.41, ,164.09,173.89,34.50,77.79,286.60,25.68,265.90,17.46,293.00,133.13,65.74, , ,287.11,216.19,134.51,12.20,39.96,251.07,277.93,286.61,259.66,147.27, ,164.74,111.74,279.58,166.77,94.67,246.70,231.52, ,144.69, ,184.65,243.95,109.28,245.70,232.48,221.08,76.73,4.50, ,284.08,53.63,159.40
190.37,0.48,13.45,68.69,29.82,250.28,9.32,234.62,155.58,4.21,269.35,18.12,276.89,222.55,245.88,99.48,101.12,259.68,245.13,120.90,228.41,263.87,294.28,20.87,91.10,163.48,115.11,218.27,183.81,122.52,222.77,265.93, ,225.61,267.09,259.34,182.39,205.91,24.80,141.00, ,166.08,255.95,219.74,73.20,15.04, ,237.81,199.16, ,124.77,106.75,59.49,261.14,254.70,114.81,222.27,254.60,27.60,69.55,84.77,50.87,38.46,37.62,183.26, ,8.02,102.58,158.95,47.91,106.08,63.77,51.46,119.78,80.83,209.36,115.11,79.04,90.56,252.54,246.40,242.56,51.32,41.19,196.52,159.23,218.28,167.78,276.23,109.55, , ,85.22, ,164.26,161.57,0.47,173.79,50.86,3.64, ,213.91,258.50,295.13,296.13, ,272.36,256.07,168.39,114.64
45.98,49.32,206.30,15.86,2.11,208.31,162.73,219.65,36.21,150.39,288.91,59.50,163.79,290.69,290.54,33.57,84.23,244.09,132.67,70.63,26.67, ,189.40,60.18,92.86,195.05, ,208.35,3.15,80.92,104.32,99.17,107.99,220.78,173.94,12.02,188.24,223.51,228.09,88.94,73.02,167.79,183.78,144.22,148.29, ,252.61,279.95,104.59,11.28,37.30,168.69,252.97,205.39,135.47,70.67,258.57,276.01,96.36,181.66,200.44,164.07,103.40, , ,7.38,64.65, ,233.34,272.52,231.93,276.19, ,84.40,237.51,113.50,112.56,17.16,101.96,166.05,25.26,113.34,64.41, ,83.96,103.86,252.04,10.74,153.28,12.63,273.17,42.84,185.61,24.21,139.96,64.66,230.71,158.66,238.66,40.66,147.98,79.11,180.32,28.26,125.51,262.93, ,5.77,299.55,129.93
183.74,262.82,266.08,87.72,75.72,270.09,272.35,177.45,294.93,100.63,92.82,291.46,255.46,297.23, , ,153.17,162.54,153.80, ,241.52,28.78,28.15,38.25,4.58,137.69,211.26,64.70,157.69,8.25,253.43,195.93, ,120.68,232.42,71.77,216.00,214.25,157.97,20.14,45.96,138.42,42.02,82.53,162.34,103.06,292.16,213.20,182.74,15.90,8.35,0.63,217.48,206.24,256.26,76.18,57.14,20.06,219.25,193.97,141.33,98.85, ,12.05,246.09,222.14,54.27, ,278.62,276.76,2.74,111.24,235.25,293.53,267.55,57.90,294.38,158.55, , ,105.28,167.98,161.11,205.47,291.10, ,267.86,100.96,180.21,136.13, ,91.44,86.20,177.67,48.57,173.81,258.12,20.27,130.28,55.33,52.30,219.85,14.30,251.47,169.02,51.32,4.77,233.76,292.10,171.55
147.65,121.97,24.44, ,154.72,287.21, ,33.64,226.43,99.14,263.13,9.25,185.78,157.20,104.99,230.96,189.97,21.90,184.38,154.18,201.05,103.46,253.71,201.85, , ,58.03,269.15,162.63,81.31,274.46,169.13,162.84,284.03, ,168.41,225.22,132.12,88.12,56.72,125.50,110.28,294.89, ,62.17,250.56,140.92,29.78,130.44,69.16,77.36, ,8.43, ,140.55,55.66,225.16,189.70,91.17, ,49.63,219.07,62.37,11.65,92.33,117.83,90.87,62.32,215.17, ,182.72,164.94,275.50,219.27,252.10,181.38,60.08,28.07,55.56,242.45,182.96,160.78, ,93.07,286.10, ,282.59,212.29,129.34,237.62,52.99,59.06,298.72,227.56,49.94,117.41,26.06,256.55,168.28,279.91, ,288.16,280.27, ,127.80,199.58,57.08,255.15,186.94, 
114.50,285.22,98.07,123.68,234.16, ,245.74,65.24,278.59,223.67,176.53,166.17,116.89,28.68,39.38,25.90,30.12, ,127.73,237.48,203.07,261.93,117.38,235.03,230.95,284.46, ,35.93, ,152.82,81.10,217.46,250.76,26.84,151.99,61.95,105.99,261.12,134.81,20.28,139.29,169.61,39.88,159.68, ,12.50,279.43,90.26,188.12,2.99,134.37,207.38,263.55,184.97,7.21,51.75,102.76,246.66,42.86,86.19,290.90,210.37,36.05,246.48,283.01,69.60,107.04,41.23,149.38,102.06,189.67,233.63, ,180.29, ,272.86,237.21,103.81,234.10,148.20,64.03,130.05,248.60,110.60,7.69,216.03, ,105.69,50.19,120.35,17.05,203.34,257.19,125.99,101.20,252.97,29.88,111.83,32.78,274.11,56.62,238.63,50.65,129.94,142.45,31.33,270.27,181.68,101.78,32.23
273.53, ,3.41, ,166.91,45.52,124.78,75.10,268.52,107.74,226.59,48.75,109.69, ,291.37,294.36, ,197.34,263.92,275.98,78.70,135.48,283.91,226.37,23.67,184.76,293.36,81.60,69.27, ,261.86,7.62,181.71,153.57,250.26,130.27,14.37,119.05,257.07,64.96, ,259.85,234.39,12.20, ,81.47,56.45,89.95,299.56,50.41,125.94,88.80,284.24,229.38,241.76,182.59,202.53,266.57,219.95,115.58,215.08,143.21,240.38,35.60,204.82,93.07,86.68,286.98,285.03,174.20,102.80, ,5.33,200.07,262.30,224.29,34.93,41.44,61.72,42.06,179.42,94.73,214.75,197.16,261.63,159.88,216.31,121.93,259.02,30.36,141.85, ,176.77,160.98,137.71,225.29,15.01,234.10,268.12, ,253.79, ,113.67,152.18,182.67,289.35,104.18,46.52,30.21,134.81
106.52,26.78,111.90,85.19,266.98,256.70,7.10,25.20,189.77,151.11,251.21,277.11,51.13,114.22,246.92,272.53,221.56,85.26, ,170.45,8.08,36.15,230.86,122.61,54.94,202.74,251.20,104.49, ,128.12,175.66,69.84,128.49,147.50,24.85,84.20,196.67,140.45,238.81,116.70,60.57,193.17,67.90, ,74.49,120.57,206.36,265.14, ,256.55,237.85,90.66,85.70, ,226.15, ,231.78,259.24,214.81,180.31,88.79,57.20,293.33, ,188.95,80.41,174.19,150.90,73.12, ,60.46,167.44,171.75,139.99,91.57,283.40,37.51,144.64,191.68,47.20,26.93, ,239.97,280.40,294.61,263.81,113.98,103.33,38.50, ,169.49,50.65,266.01,225.08,182.86,248.63,34.28,194.91,215.53,12.61,28.55,270.21, ,136.97, ,175.47, ,44.95,82.47,230.47
