Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59
142.78,132.94, ,285.03,179.97, ,150.09,282.54, ,205.43,241.11, ,179.15, ,250.61,61.68,274.60,283.96,233.41,20.05,254.95,225.30,127.35,285.01,87.66,140.12,106.80,85.02, ,192.97,210.99,257.27,166.04,63.99,281.30,73.20,33.79,166.19,205.63,153.72,58.98,25.44,221.16,137.08,67.06,233.50,221.50,58.08,238.66, ,219.96,213.91,234.71,27.05,197.81,257.14,57.35,108.57, 
215.24,30.56,276.56, ,198.06,18.43,93.49, ,13.45,40.22,276.13,201.35,230.22,36.69,257.07, ,66.48,37.16,131.41,289.53,279.81,250.30, ,43.79,299.51,180.16,231.54,72.14,235.84,32.61,15.70,80.72,56.16,174.78,12.98,58.66, ,246.25,172.30,102.54,118.97,191.20,91.32,230.83,283.32,256.83,248.89,36.57,2.66,261.30,231.11,130.46,29.60,98.31,196.17,212.94,60.63,173.83,151.63
76.16,37.85,90.80,279.50, ,282.16,34.55,276.62,184.42,219.69,114.49,157.31,34.54,75.97,46.28,290.31,4.08,188.79,216.06,16.56,248.78,88.94,52.68,173.42,81.73,198.24,214.71,211.57,227.99,87.93,215.47, ,219.54, ,256.61,189.52,162.99,271.90, ,24.58,295.06,99.21,159.92,2.88,207.01,143.45,40.06,110.02,242.91,21.79,286.18,146.42,4.33,231.26,106.36, ,101.42,72.95,77.45
192.47,275.41,136.37,184.66,279.99,196.99,24.74,295.74,0.31,170.41,186.36,91.40, ,192.81, ,82.40,241.76,130.09,119.48,87.13,220.54,7.09,76.68,271.42,197.91,27.51,256.77,194.99,56.07,240.98,168.77,252.97,298.26,27.68, ,114.81,270.07,128.96,258.60,59.01,58.69,58.53,287.51,22.01,28.48,276.66,186.18,97.25, ,180.32,116.04,139.20, ,21.13,287.51,227.67, ,286.37,69.29
 ,41.69, ,70.17,77.12,38.98,11.69,75.47,60.08,121.85,129.43,220.41,9.27,123.99,210.89,133.05,223.73,21.87,298.29,211.92,6.47,152.57,286.59,210.16,119.56,245.94,53.77,145.31,66.49,118.82,79.65,257.56,149.70,62.51,71.45,223.40, ,75.98,211.93,6.25,123.58,204.54,92.03, ,155.07,187.18,114.76,225.76,270.22,51.74,223.46,7.16,201.12,222.84,144.42, ,103.02,41.72,123.02
78.44,288.82, ,262.71,194.91,102.90,263.94,197.86,277.82,34.26,137.52,176.15,183.97, ,234.42,92.51,55.08,98.34,86.78,6.61,221.34,220.26,159.02,284.34,52.71, ,231.65, ,107.80,221.76,93.78,208.73, , ,57.25,7.72,38.39, ,259.73, ,46.20, ,30.54,9.25,195.53,246.77,48.70,155.09,49.37,244.84,224.89,292.91,216.37,275.25,98.32,140.11, ,208.55,11.72
245.74,218.93,178.39,235.34,7.34,183.35,216.29,243.51,111.93,41.32,155.62,47.18,112.13,71.78,263.64,44.08,15.12,96.02,115.27,27.48,2.82,141.23, ,84.74,141.78,85.36,120.73,137.83,169.51,283.11,128.61,234.28,81.73,134.02,12.56,2.72,168.20,276.41,243.41,131.35,26.26,175.83,274.10,58.31,178.63,33.81, ,268.09, ,165.38,164.99,44.65, ,212.85,289.54,24.67,131.51,76.94,285.69
22.33,282.23,177.99,199.76, ,167.84, ,33.22,186.43,154.39,224.29, ,213.83,160.07,198.92,41.46,255.62,269.48,247.61,132.96,35.19,102.95, ,124.39,58.42,147.42,64.96,280.06,285.54, ,250.05,30.35,193.54,256.89,240.94,298.45,175.77,92.10,236.68,103.11,99.19, ,12.01,92.07, , ,39.54,27.66,170.03,179.46,276.06,96.93, ,170.83,74.57,35.05,3.69,184.19,252.09
114.90,296.62,210.24,146.50,101.89,219.94,11.88,97.12,172.86,95.29, ,169.86,69.05,10.30,65.29,159.30,228.08,266.46,200.52,181.55,142.58,170.38,25.85,60.75,119.17,175.49,72.44,169.46,226.46,48.70,292.94,261.59, ,228.04,98.81,137.61,111.30,219.63,177.43,135.69,285.12,133.13,246.56,17.44,104.94,136.75,190.14,58.27,243.04,67.23,255.04,91.10,56.43,141.28,176.68,191.51,151.10,9.78,203.13
185.71,224.41,104.75,67.21,225.72,149.34,52.09,197.80,170.72,153.92,188.09,288.98,192.40,104.24,237.73,229.40,15.43, ,120.18,213.11,194.09,132.54,275.45, ,118.63, ,272.55,227.15,108.62,195.55, ,97.73,118.35,9.87,180.95,253.96,68.89,43.40,69.71,267.69,15.27,114.27,58.88,281.47,42.54,257.58,99.20,177.67,82.45,51.32, ,5.28,112.20,156.11,12.15,72.13,101.81,133.05,217.33
137.61,109.52,236.94,225.03,278.42,74.71,193.90,209.27,150.81, ,6.92,153.76,198.03,195.27,5.59,273.81,189.01, ,14.84,282.84, , ,82.44,127.22,295.17,175.51,57.95,152.90,170.89,81.89,141.64,49.02,112.17,82.06, ,96.90,286.50,137.80,119.20,74.98,90.05, , ,169.41,88.94,159.06,135.16,176.94,251.50,85.69,152.05,76.75,106.47,285.71,11.01,39.15,200.45,197.45,65.23
159.68,120.14,189.47,221.22,228.81,136.40,245.81,165.54,237.39,85.81,216.28,28.01,182.82,84.63,99.97,147.14,4.02,278.38,222.57,259.90,72.32,165.89,84.74,40.69,3.43,245.23,223.33,175.14,201.70,186.41, ,33.55,113.65,239.70,223.39,267.05,211.62,240.66, ,272.08,170.22,96.95,195.22, ,70.36,290.39,12.83,139.76, ,253.41,193.07,270.59,227.60,243.99,286.02, ,258.10,9.27,241.14
128.83,213.41,87.83,229.33,195.87,147.04,22.51,42.32,164.83,210.67,18.68,196.21,40.67,36.62,87.92,174.66,239.17, ,26.99,45.28,187.73,274.68,136.88,79.29,33.75,30.62,172.66,140.16,272.91,101.71,82.39,197.50,18.63,115.10,277.44,173.27,274.75, ,111.64,281.44,50.63,262.21,8.08,134.74,167.36,174.88,211.60,87.72,272.98,25.84, ,186.22,215.89,39.84,272.61,99.47,107.35,166.40,242.96
236.66,228.22,191.01,277.48,206.14,118.34,214.07,30.15, , ,261.26,64.07,125.38,138.06,98.42,34.65,65.31,57.51,37.19,111.96, ,18.11,212.21, ,49.16,217.24,273.72,146.64,112.37,201.33,204.75,254.89,41.14,210.71, ,247.90,125.70,141.05,165.45, ,282.41,169.02,180.40,78.15,180.53,299.07,140.96,81.61,143.21,116.06,221.40,1.83,255.50,109.62,129.85,240.64, ,109.66,145.71
90.06,132.93,171.82,121.54,296.39,218.85,33.46,40.53,274.61,118.76,118.72,68.85,158.71,246.91,193.00,220.78, ,53.71,137.20, ,212.83,2.58,84.02,104.46,199.31,133.66,18.07,236.14,233.99,268.02,63.23, ,284.01,238.90,107.72,6.22, ,271.10,120.61,231.53,179.68,4.13,148.91,265.72,109.12,179.91, , ,238.15,227.16,293.03,189.95, ,82.85,242.20,178.67,209.86,177.01,107.87
189.61,156.07,239.19,154.58,136.39,254.48,24.88,183.55,226.65,260.86,10.74,287.83, , , ,77.39,101.01, ,231.08,102.66,179.60,186.59,54.96,206.51, ,90.06,104.42,30.46, ,233.52, , , , ,211.29,37.05,65.83,2.86,138.41,125.73,198.44,166.07,260.54,195.01,148.27, ,262.19, , ,234.12,63.38,39.32, ,218.35,175.33,235.52,103.67,38.74,241.95
107.06,248.65,232.63, ,293.24,231.05,123.05,115.38,35.31,187.63,73.05,117.85, ,131.59,251.44,100.05, ,207.11,23.79,28.51,149.00,179.83,9.11,245.21,189.31,279.19,223.03,31.60,46.51,172.47,173.22, , ,117.94, , ,60.78,262.45,212.74,289.83,145.16,46.35, , ,111.40,77.79,179.47,64.79,268.75,94.74,4.61, ,167.09,125.63,16.86,270.83,25.24,4.29,239.03
175.84,150.15,42.36,193.90,57.94,135.41,40.58,0.56,113.50,7.67,225.73,274.55,183.66,89.24,260.07,226.70,292.84,150.35,70.01,201.86,290.10,123.89,85.92, ,199.42,291.61,217.83,113.10,199.80,203.64,72.96,14.44,224.75, ,259.95,103.47,289.24,199.08,124.25,237.58,184.42,99.80,147.51,136.08, , ,165.54,21.93,117.92,22.19,290.02,70.51,143.94,187.05,172.89,28.02, ,212.45,219.29
 ,35.22,149.56,20.47,154.43,112.54,273.19,181.56,116.86,56.70,11.82,3.83,255.06,295.17,244.30,293.83,222.97,251.22,80.01,87.62,14.08,206.78,34.88,250.48,40.41,112.54,250.94,236.93, ,232.10,92.51,274.37,190.39,223.45, ,195.14,17.87, ,224.65,285.56,146.97,53.40,249.84, ,66.21,11.07,274.66,6.94,265.98, ,269.40,95.37,97.77, , ,96.59,203.48,8.34, 
61.74,169.28,9.67,209.92,149.92, ,156.87,278.33,259.11,38.68,0.55,200.39, , ,66.59,79.12,97.36,136.67, ,4.03,103.34,32.37, ,44.73,225.18, ,184.30,284.85,271.35, ,42.60, ,109.19,215.28,109.02, ,110.98,24.82,185.02,154.98,37.31,248.41,222.77,146.79,179.43, ,0.73,207.51,60.91,277.14,200.82,190.04, ,271.72,19.75,185.21,295.02,74.44,185.01
138.01,190.78,117.37,18.17, ,283.65,279.90,79.22,46.96,102.33,240.98,263.85,233.97,92.75, ,36.18, ,174.19,101.01,190.65, ,232.77,193.46,99.81,115.03, ,84.28,145.30,131.61,122.99,247.72,222.07,251.92,70.97,36.84,17.75, ,227.55,148.59,196.07,275.26,228.93, , ,21.77,143.40,243.63,78.65,131.04,111.29,10.35,131.45,255.15,211.01,219.21,3.72,8.00,126.37, 
 ,248.71, ,92.11,286.03,86.79,132.14,256.70,36.53, ,218.85,117.12,31.97,189.46,151.61,14.68,134.39,199.74,47.36,175.22,228.17,142.31, ,168.48,235.18, ,293.36,73.65,253.73,146.82,141.32,40.65,276.42,26.14,258.15,118.29, ,46.46,271.32,18.11,150.31,44.82,246.66,148.35,122.40,203.97, ,202.40,251.30,181.28, ,139.43,173.27, ,219.73,151.29, ,291.09,253.86
264.77,204.59,257.67,67.11,292.58,64.04,113.71,180.11, , ,142.11,292.32,90.83,173.36,275.35,20.67,200.36,129.74,98.57, ,165.68,124.53,13.09,141.79,3.46,253.79,75.06,15.31,215.73,270.49,265.45,66.99,35.30, ,140.25,111.81, ,60.86,44.76,220.07,29.89,119.51,246.52, ,261.83,24.30,262.18,217.38,137.61,132.42,136.46,41.05,244.87,9.13,102.49,261.67,112.97,108.55,131.72
 ,93.55,229.53,256.99, ,54.11,74.92,27.80,159.21,159.66,126.57,145.68,251.87,218.11,292.55,161.49,29.78,217.82,296.24,281.58,226.17,134.14,222.21,212.47,230.79,185.51, ,31.19,192.79,204.54,131.08,119.11,260.98,173.16,182.06,267.14,62.63,12.58,225.04,276.19,105.32,191.97,289.25,149.11,61.69,139.66,284.84,148.11,144.60,231.39,157.73,205.09,201.36,284.08,92.20, ,197.52,24.83,297.84
209.31,9.68,19.54,247.80,50.56,122.90,125.01,229.57,54.65, ,272.33, ,64.53,184.17,102.86,22.25,157.00,280.58, ,0.11,142.31, ,35.93,191.52,250.89,184.49, ,109.39,105.02,42.40,44.87,2.15,26.70,110.88,83.43,152.77,46.67,61.97,31.01,57.88,114.18,76.44,149.98,97.59, ,139.98,91.41,156.44,171.12,156.17,42.72,282.15,180.39,188.23, ,51.52,200.20,283.59, 
133.57,83.01,209.02,242.86,67.42,45.73,58.58,67.92,35.62,227.56,27.30,262.76,167.31,235.75,50.98,18.45,74.88,273.12,24.45,284.34,15.27,30.42,231.97,175.15,148.41,183.60,218.50,211.26,213.74,118.83,59.41,149.28,238.74,118.20,38.38,55.06,132.62,127.50,183.82,32.17, ,215.77,23.85,119.21,275.87,228.50,25.63,89.86,4.51, , ,250.64,22.76,213.28,131.79,292.06,10.04,239.80,232.24
287.94, ,263.80,1.81, , ,294.25,72.10,181.34, ,262.01,161.45,170.80,153.16,127.69,187.15,89.02,31.13,170.84,40.76,106.26,231.80,239.40,245.94,16.37, , , , ,153.68,157.78,81.95,170.05,52.95,88.50,36.02, ,76.78,294.79,79.65,261.33,114.58,231.05,110.33,148.61,63.11,132.64,149.66,240.00,171.06,207.27,235.10,143.68,14.46, ,94.11,295.14,121.69,239.84
212.72,70.61,212.38,20.23,287.97,222.34,9.40,14.00,56.51,108.23,195.06,102.19,253.82,297.96,199.72,297.52,87.06,0.03,206.45, ,194.42,204.11,167.99, ,132.54, ,240.77,90.82,252.61,141.30,77.94,249.66,214.33,102.80,62.13,188.91,84.02,240.98,84.48,13.66,241.51,295.39,246.10,69.75,166.19,248.65,127.86,259.87,260.41,24.65,164.91,104.92,296.90,237.06,154.86,181.01, ,176.40,292.50
48.39, ,259.44,72.93,38.17,129.49,95.46,21.11, ,126.03,64.60,146.36,26.79,27.00,143.48,101.81,166.01,27.20,109.64,67.74,205.22,26.42,196.00, ,156.37,50.94,12.87,212.04, ,9.12,72.83,89.26,288.59,24.84,250.08,182.84,31.41,118.36,291.86,238.40,170.73,267.71,199.54,148.45,140.25, ,213.08,33.52,298.77,112.55,238.88,197.40,278.44,75.06, ,89.41,194.09,161.34,196.54
52.38, ,192.62,63.53,212.73,193.41,85.85,226.05,253.00,281.43,108.91,267.72,145.89,280.32,103.74, ,164.62,47.55,87.13,47.42,162.83, ,74.33, ,0.38,45.20,236.47,232.73,244.36,138.84,299.29, ,141.42, ,35.92, ,123.05,186.44,107.94,102.12,261.23,182.64, , ,152.74,239.20,160.54,284.54,257.46,37.81,176.85,134.80,31.94,116.95,273.72,249.28,107.15, ,289.79
209.71,279.52,235.45,286.43,109.75, ,39.15,249.96,264.47,87.85,42.60,214.78,129.68,92.17,74.57,226.61,272.06,180.87,158.32,84.38,115.82,203.03,189.66,70.98,237.74,150.54,63.62,296.67,229.38, ,3.95,56.73,123.25,86.16,137.93,5.57,208.07,92.90,13.34,134.03,183.63,18.01,56.48,160.65,12.71,79.89,100.69,221.95,116.23,145.13,100.36,144.03,274.39,71.47,182.82,155.20,198.35,230.43,256.55
 ,269.26,284.49,141.28,207.87,237.34,210.35,16.34,35.53,35.44,96.23,155.27,178.37,200.07,152.15, ,243.23,277.39,43.98,125.09,171.17,102.44,100.67,103.50,29.47,197.16,224.50,157.19,98.70,126.30, ,281.19,174.29,135.82,84.67,283.20,270.30,52.21,274.18,160.95,75.61,33.06,213.71,234.72,52.08,266.23,244.69,60.80,288.12,277.09,295.74,22.55,133.81, ,107.99,184.45,196.51,276.94,87.38
208.77,282.41,193.55,167.10,245.57,129.09,263.18,137.93,224.43,57.28,127.45,120.09,109.15,185.56,290.66, ,199.43,298.83,93.80, ,234.78, , ,271.36,265.75,161.66,213.25,189.38,84.21,52.60, ,238.16,16.73,295.87,111.36,37.99,178.30,139.94,1.94,278.84,169.57,101.80,1.37,249.13, ,258.61,298.31, ,277.76,243.94, , ,268.34,260.46,282.50, ,284.44,132.96,173.79
26.37,222.46,182.68,152.06,59.21,125.97,128.12,35.99, ,91.29,0.54,216.74,152.15, ,156.37,192.05,124.89,263.71,265.53, ,117.59,71.09,113.65,96.07,199.13,286.01,267.93,42.17,269.60,255.52,50.69,129.13,284.23, ,31.57, ,43.46,178.63,98.62,277.69,233.33,92.52,167.24,205.90,245.12, ,200.64,154.42,241.70,44.20,279.83,2.33, ,132.99,233.78,41.69,126.30,88.28,194.36
 ,100.25,224.41,268.65, ,123.07,30.01,229.23, ,5.01,208.94,154.58, ,86.19,269.48,275.05,131.32,13.28,269.66,35.01,146.86, ,269.94, ,28.28, ,66.44,104.58,103.56,233.73,45.35, ,257.84,188.83,78.22,199.77,80.33, ,227.19,27.02,139.93,225.40,173.76,93.57,267.23,237.50,58.72,134.73, ,43.55,29.86,280.73,169.66,164.41,288.25,189.97,99.17,110.78,154.49
6.99,69.86,70.32,262.83, ,152.62,149.11,23.73,211.97,140.54,117.77,261.27,193.46,176.19,257.42,28.68,96.60,129.91,231.82,263.55,206.29,278.86, ,2.59,259.37,166.81,73.72,193.67,63.77,26.94,297.73,266.64,213.14, ,213.86,288.42,44.96,293.58,250.10, ,276.37,282.37,232.75,13.48,206.83,166.73,15.21,50.32,222.25,109.98, ,169.94,54.73,293.06,238.72, ,265.14,89.65,62.70
3.60,148.82, ,15.55,168.63,194.52, ,157.98,212.20,130.39,90.03,3.62,284.01,227.64, ,17.29,229.00,200.26,188.51,158.60,254.89, ,149.41, ,7.39,98.53, ,109.08,13.85,271.06,59.47,247.02,215.98,154.77,43.94, ,154.63,48.23,45.79,258.93,18.63,61.67, ,30.23, ,44.08,112.79,98.42,288.97,227.47,178.95,176.58,27.31,57.45,140.74,207.84,26.73,65.99,43.62
118.63,216.74,8.80,204.66,41.02,131.40,26.27,151.63,49.25,234.07, , ,209.94,174.48,88.78,25.07,15.48,102.26,6.41,261.75,218.28, ,49.68,130.96,122.89,109.29,267.89,256.31,125.93,217.18,207.41,87.67,173.13, ,105.35,253.13,148.84,69.87,221.08,84.50,164.02,90.41,86.20,122.16, ,240.78,194.92, ,282.59,76.85,30.06,151.74,249.30, ,19.18,75.67,38.62,224.34,147.19
243.13,212.34,285.91,118.10, ,21.82,189.31,77.39,280.88,202.56,229.72,249.36, ,9.68,189.60,79.39,24.20,190.38,94.55,89.67, ,90.99,220.55,33.15,199.66,227.08,244.21,159.36,40.65,203.25,181.78,42.50,161.47,108.95,159.58,187.69,42.37,6.71,258.98,260.87,53.90,260.86,44.76,191.68,112.40,48.52,232.20,212.75,156.06,191.69,6.94,87.87,58.06,12.22,134.45,175.68,161.04,186.45,256.76
 ,69.16,39.73,105.28,276.09,286.82,90.64,4.72,90.32,228.09,66.24,19.35,120.81,200.37,94.14,214.10,97.38, ,137.11,150.63,22.69,254.69, , ,25.19,47.47,238.33,145.45,251.72,4.26,85.16,253.56,175.71,288.71,171.19, ,21.81,228.27,48.39,211.60,273.93,53.01,160.16,198.60,237.10,47.88,168.54,50.07,185.21,48.58,47.09,249.77,268.09,140.29,126.78,22.01,273.72,153.86,60.40
 ,297.50,225.39, ,234.88, ,120.09,112.84,67.08,114.04,255.33,276.28, ,28.16,219.56,68.83,135.77,125.88,126.72,238.67,266.12,64.82,293.63,143.23,151.90,271.94,85.79,264.16,82.87,51.40,294.21,75.85,249.46,143.27,163.47,296.91,255.48,159.98,146.55,107.01, ,78.95,219.46,250.49,125.83,28.46,237.03,204.11,98.15,210.28,269.31,171.24,247.69,258.88,79.52,3.81,95.76,64.30,125.72
292.28,257.61, ,194.64,283.92, ,89.76,141.90,164.16, ,111.85,116.86,25.62,12.46,174.72,167.88,220.93,182.22,140.28,252.29,72.40,296.58,25.97, ,85.04,195.00,144.54,59.89,166.73, ,270.32,260.86,203.50, ,85.72,161.16,6.56,61.08,192.66,268.73,282.92, ,177.93,238.41,56.68,185.77,257.24,209.08,294.29,99.89,198.30,176.32,160.73,248.08,265.06,72.22,32.05,120.13,122.80
 ,179.48,114.79,107.37,284.09,265.16,125.36,294.97,156.64,140.25,130.04,194.11,15.97,211.23,40.49,264.77,50.23,249.16,219.25,135.90,82.01,0.01,81.38,186.90,176.95,167.07, ,61.18,286.87,97.40,22.04,93.61,268.84,70.23,157.11,269.76,208.77,60.47,152.21,3.05,232.41,257.31,1.10,125.58, ,222.97,22.08,210.42,110.43,213.37,5.38,214.06,248.91,126.30,137.08,68.10,114.16,184.63,99.40
179.14,203.16, ,225.23,114.61, ,262.89,298.42,21.88,34.10,197.36,35.84,42.16,261.76, ,146.38,1.64,89.02,252.65,293.21,134.84,246.26,70.71,187.39,249.88,73.08,297.22,256.51,275.64,293.42,262.69,41.84, ,130.86,141.95,46.56,156.84,266.09,225.10,233.20,143.98,37.16,30.30,21.15,246.29,55.38,44.29,120.09,84.47,61.97,272.96,246.25,262.93,175.61,106.44,152.10,141.88,15.06,159.90
234.14,117.81,184.43,184.69,170.72,255.47,195.58,41.23, ,4.16,233.83,160.63,44.28,184.53,126.11,93.43,290.85,280.13, , ,165.05,12.96,44.03, ,29.80,272.45,286.89,171.63,30.68,291.05,225.82,264.51,183.23,86.44,7.16,227.52,197.49,191.68,161.05,23.59,248.39,254.48,185.91,239.24,154.10,166.04,219.60,238.14,8.28,84.65,26.70,21.24,218.86,70.73,266.89,248.66,43.18,253.78,120.29
73.86,244.83,46.11,38.37,128.06,132.55,45.52,55.58,30.04,237.21,216.63,53.63,185.60,171.11,239.54,124.84,25.21,105.58,44.44,263.35,113.86,129.08,290.06,135.10,47.95,60.79,101.99,296.61,103.97,55.76,116.90,177.83,0.59,163.01,216.19,128.65,295.56,261.72,184.23,25.60,198.93,100.86,79.22,84.53,271.97,18.76,209.36,297.18,124.34,253.80,260.53,238.20,82.88,250.59,73.30,130.83,11.38,175.28,127.44
115.34,231.05,244.33,293.17,231.64,107.34,209.36,60.29,102.90,171.08,244.52,128.49,70.01,45.37,207.72,154.53,17.34,226.48,63.90,14.52,50.82,17.70,275.06,289.02,100.58,225.65,62.32,231.41,237.02,237.60,58.85,52.37,168.65,3.18,45.54,100.29,110.52,254.90,160.58,213.42,125.98,105.09,41.91,195.99,150.47,249.63,50.53,167.81,176.10,114.42,182.33,226.92,132.12,157.39,215.94,232.71,83.03,278.26,164.12
20.06,215.87,222.97,72.42,84.51,226.15,117.96,184.80,36.67,72.86,45.38,250.09,198.85,150.47,292.00,94.84,0.94,241.63,145.36,168.75,117.73,259.79,51.08,44.66,91.91,208.47,260.60,24.62,291.50,238.86,188.74,11.56,154.73,111.71,83.98,239.24,37.86,201.94,124.04,74.54,274.81,169.42,24.63,173.65,19.89,16.63,268.49,20.83,258.26,113.85,189.57,75.99,73.64,240.65,120.65,165.55,149.12,81.25,190.17
140.62,20.11,78.90,152.18,174.84,190.61,236.16,114.08,228.47,138.10,238.12,3.01,112.91,107.54,27.64,286.56,127.43,44.27,255.05,148.25,2.53,68.90,37.83,78.53,142.53,278.48,199.18,8.08,127.60,280.43,198.25,268.22,0.54,277.15,120.39,175.38,167.76,56.55,289.46,96.24,194.65,227.58,99.24,7.56,35.12,126.88,294.12,162.54,171.15,249.16,10.80,173.69,18.06,48.62,252.22,160.59,27.10,151.39,168.67
