Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94
84.62,211.10,176.55,62.92, ,164.03,82.53,199.90,100.07,70.00,210.79,253.11,26.10,262.25,132.11,251.61,109.01,277.91,233.16,62.89,222.38, ,116.88,291.81,181.20, ,145.43,253.54,233.07,144.71,66.52,97.18,210.56,33.65,251.36,46.80,206.63,31.43,217.20,261.01,6.58,104.05, ,38.53,181.65,194.91,131.66,151.76,70.52,290.75, ,259.73,174.88,136.00,192.48,44.25,288.18,266.43,229.44, , ,295.80,193.87,76.26,98.36,179.93,35.09,133.42,257.88,284.77,182.21,78.05,212.24,98.66,67.67,56.14,223.41,273.43,114.97, ,283.80, ,205.12,81.95,65.48,134.18,150.31,7.67,249.50,106.78,29.04,149.13,189.99,124.07
187.36,107.37,222.83,67.12,214.95,148.26,159.36,82.32,166.02,161.14,87.69,275.05,288.81,29.13,265.02,62.00,276.30,32.96,74.35,125.48,40.01,146.43,153.89,67.90,255.15,1.77,54.48, ,141.51,215.86,291.60,81.35,218.48,297.17,5.72, ,6.13,216.29,227.98,58.21,96.29,87.89,266.84,78.41,132.13,137.85,91.88,147.80,75.78,99.18,184.63,30.08, ,296.92,129.81, ,251.58,99.79,69.45,8.17,83.95,183.13,282.62,251.88,248.80,86.55,142.28,63.20,102.45,293.45,91.44,74.06,288.99,73.60,38.65,228.26,61.28,47.21,105.79,60.26,110.98,118.80,212.44,95.90,110.13,53.55,22.40,69.61,249.47,140.37,247.22,140.02,173.80,269.70
104.25, ,157.80,158.73,114.04,192.34,106.49,246.51, ,260.26,142.45,34.21, ,149.13, ,189.49,7.60,71.10,144.35,164.80,251.27,153.02, ,141.50,175.71,29.32,232.36,217.92,289.02, ,131.91,298.17,203.87,100.99,141.54, ,9.18,245.91,236.28,252.22, ,207.36,122.47,155.34,162.37,104.30,91.66,10.93,185.09,273.15,163.64,210.41,89.08,221.93,3.63,231.32,165.58,192.57,213.39,289.09,222.89,231.63,20.41,299.69,264.10,249.99,131.40,106.11,260.76,104.47,94.07,135.39,189.34,120.35,70.33, ,237.82,254.58, ,181.30,285.77,193.06,211.52,9.88,221.21,239.07,296.69,229.88, ,67.41,80.93,295.22,219.85,171.07
113.70,152.67,127.36,57.24,22.99, ,124.49,105.50,25.34,50.91,23.38,57.10,93.97,192.81,168.96,22.66,37.00, ,142.50,26.67,276.30,156.11,195.74,203.08,59.44,281.86,94.75,222.56,241.47,279.13,35.99,260.68,85.54,95.24,36.30,72.95, ,229.18,252.00,37.82,256.38, ,292.58,65.23,189.30,125.93,244.46,233.59,58.59,125.05,106.92, ,5.64,93.66,63.45, ,223.92,49.84,248.72,174.99,240.89,144.91,273.41,95.43,32.95,157.10,188.29,145.23,280.04,96.02,295.42,192.76,166.17,160.32,193.27,28.45,151.90,238.88,97.82,54.29,204.71,113.22,286.40, ,158.20, ,275.81,217.26,234.61,47.97, ,102.27,78.19, 
136.08,74.34,130.06,83.60, ,3.20,219.26,285.78,261.49,137.37, ,195.03, ,29.64,195.45, , ,117.06,158.26,230.42,22.78,284.28,23.96, ,269.49,5.55,77.30,157.36, ,139.76,270.37,207.01,100.21,233.72,203.21,138.86,88.87,203.53,210.15,117.74,75.84,247.48,178.45,126.06,279.58,196.94,219.74,231.16,260.24,298.37, ,278.42,258.55,70.44, ,92.78,153.31,106.70,276.01,273.63,272.14,75.92,282.45,137.64,257.09,110.40,70.42,154.29,130.31,291.53,151.01,36.04,135.50,291.95,162.89,230.24,25.37,70.80,9.97,169.20,264.91,65.06,114.40, ,0.43, ,34.49,10.55,239.53,116.04,63.40, ,251.81,233.59
170.88,197.21,205.95,53.53,297.84,256.85,85.07,245.16,208.86,52.45,223.33,146.59,196.63,99.43, ,238.60,25.67,88.57,173.94,287.64,34.93,292.18,86.82,283.45,53.67,191.97,217.64,146.42,235.73,8.00,234.79,44.82,92.58,147.54,212.17, ,242.59,247.52,89.57,39.14,35.03,77.96,122.78,297.48,163.62,114.93,172.69, ,48.18,138.06,176.89,181.99,221.90,288.80,116.93,131.12, ,218.07,251.26,124.67,258.49,181.86,143.83, ,232.00, ,58.25, ,124.96,272.16,272.97,67.43,217.61,231.04,90.98,51.76,27.23,116.64,37.17,271.11,206.36,3.86,261.45,162.77,241.67,7.39,84.42,288.63,101.61,92.98,106.05,282.33,37.24,49.98
213.17,196.51,181.96,239.44,275.87,134.03, ,176.63,69.41,212.80,182.59,38.72,285.11, , ,131.57, ,163.66,118.87,183.63,189.86,72.45,175.60, ,63.37,116.85,36.07,40.41,34.78, ,146.49,242.92,71.99,109.65,131.02,244.16,61.01,93.78,263.04,122.33,132.65,243.04,184.04,151.10,145.79,75.18, ,82.98,114.75,6.40,140.10,213.77,147.00,239.65,171.10, ,177.50,128.91,223.03,233.86,168.29,284.79,198.55,222.76,285.21,80.91,140.61,269.52,120.40,182.47,293.74,198.70,200.99,123.75,33.57,139.40, ,36.00,266.74,125.92,141.53,28.91,227.61,204.52,115.90,134.11,101.56,137.56,143.08,18.00,149.19,23.12,98.93,93.76
176.26,139.13,258.97,78.26, ,190.34,287.63,62.66,190.01,295.54,123.94,63.51, ,35.06,126.79, ,27.61,142.23,9.52,64.02,250.76,95.32,297.49,289.89,48.45,235.51,273.27,91.41,158.01,90.41,145.31,284.75, ,33.20,295.76,151.66,246.99,118.47,28.77,233.13,252.58,160.96,116.25, ,291.70,198.83, ,78.66,17.78,76.47,165.81,191.65,137.44,235.79,227.53,29.10, ,63.82, ,230.51,133.71,158.40,288.48,189.09,196.28,24.39,294.70,284.26,2.06, ,259.99,258.60,113.93,162.70,178.66,41.10,254.26,17.47,251.12,132.59,118.94,185.58,250.06,37.05,117.01,110.63,78.92,235.40,51.94,252.34,244.23,260.59,101.39,226.41
178.70,8.98,13.14,298.44,167.87,173.29,222.53, ,286.92,206.28,6.64,134.02,109.96,273.65,269.12,242.10,245.89,244.17,177.19,110.58,173.68,208.75,279.39,225.32,94.11,128.11,16.51,127.22,112.85,291.91,96.63,182.30,147.04,245.92,147.14, ,174.25,4.28,86.03,288.92,154.89,194.62,172.17,87.97,84.23,182.27,133.82,148.00,158.24,179.90,126.50,29.00,10.78,20.46,221.84,33.99,296.33,196.66,237.63,131.01,172.27,60.39,73.17,201.23,221.41,185.41,192.59,151.23,224.88,226.96,267.45,135.65,206.76,118.14, ,133.60,57.83,98.97,12.25,214.17,151.16,222.08, ,187.56,195.13,64.39,201.04,215.42,254.08,164.45,58.63,256.84,48.86,162.08
166.42,285.53,222.95,288.54,44.46,64.11,163.11,53.96,267.35,204.46,283.48,74.51,289.77,217.13,287.17,85.04,291.37,175.23,1.74,261.63,217.18, ,86.72,134.44,112.81,14.44,191.88,146.12,31.69,91.69,295.78,226.24,144.50,158.19, ,163.41,191.49,193.89,87.12,229.20,157.86,76.28,255.20,193.97,156.30,114.90, ,190.57,247.90,122.89,86.47,296.88,181.72,60.12,275.80,26.45,244.11,119.02,256.48,205.17,233.23,128.32,29.68,2.22,147.60,107.20,3.47,257.27,173.57,132.76,122.67,198.76,155.71,99.60,91.18,34.15,173.58,3.10,199.64,98.40,127.65,227.14,119.86, , ,73.62,92.26, ,22.59,127.41,144.84,212.30,254.23,113.78
56.33,66.61, , ,83.72,160.66,97.95,89.40,69.06,2.46,10.31,251.19, ,249.84,95.88,262.48,212.34,201.92,84.79,68.94,33.64,229.72,230.72,64.78,208.98, ,33.13,93.27,249.85,176.20,166.01,165.72,136.07,76.54,223.25,59.71,233.17, ,183.02,121.30,90.13,43.13,253.54,188.25,111.50, ,79.65,288.18,36.66,238.19,154.78,192.69,66.67,95.47,294.20,66.42,122.70,93.80, ,26.44,102.81,55.90,40.39,157.88,149.22,112.97,132.19,107.34,72.32,297.06,38.29, ,52.43,36.50,41.31,172.67,70.33,75.64, ,133.13, ,282.36,47.31, ,125.30,152.20,286.83,244.16,250.21, ,20.54, ,213.97,279.83
30.19,88.53,19.30,265.49,248.17,157.18,218.93, ,110.96,52.15,67.78,82.11,89.70,268.17,48.35,181.83,100.31,299.15,15.40,67.55,108.20, ,139.19,205.65, ,194.26,280.22,21.45,230.86,247.45,174.88,117.34, ,292.56,253.92,297.89,35.39,240.48,86.86,101.42,133.41,250.58,199.09,141.35,36.34,258.37, ,117.82,245.51,91.85,37.45,137.36,31.77, , ,211.73,248.07,83.42,77.25,235.83,127.51,181.05,67.82,205.18,287.27,207.52, ,41.76,243.98,21.23,129.01,184.32,271.17,272.99, ,161.32,187.24,229.00,172.98, ,230.04,252.45,48.17,266.72,291.33,2.09,296.47, ,210.41,285.69,243.44,270.72,85.67, 
83.63,98.87, ,295.75,274.33, ,22.13,256.45,73.83,245.89,192.74,158.55,152.22,72.75,206.97, ,59.07,270.53,136.44,270.35,268.86, ,272.33,206.52,95.16, ,56.65,77.59, ,3.98,177.78,85.66,294.42,237.89,203.99,46.15,162.05,9.83, ,117.18,119.04,21.76,13.68,3.18,159.99,7.12,103.54,25.63,59.22,187.82,262.87,11.10, , ,275.78,95.90,295.86, ,136.26,9.20, ,254.33,129.94,184.45,21.88,19.29,281.96,277.82,296.48,118.53,89.38,43.71,173.65, ,58.10,79.98,99.27,80.59,86.09,292.34,186.88,284.47,231.53,121.64,297.93,255.36,177.18,80.58,177.72,223.64,237.53,179.21,210.08, 
183.16,254.78,74.89,262.22,141.89, ,235.23,4.03,261.20,77.67,147.70,242.40,247.02,45.66,148.58,224.77,106.62,89.06,241.81,106.94,198.25,215.35, ,137.32,107.09,176.29,237.13,274.36,185.84,156.70,284.85,163.85,134.86, ,208.14,169.64,100.80,197.28,43.38,165.55,49.67,167.29,3.42,173.07,298.96,216.56,90.71,184.01,113.25,12.20,16.22, ,48.24, ,250.73,202.21,129.67,93.93,286.63,192.93,287.21,162.23,250.48,5.84,111.38,54.32,192.80,153.82,279.24,88.67,232.33,276.29,242.33,244.90,23.08,156.74,78.25,123.09,225.11,110.73,94.92,249.21,92.87,167.14,63.04,100.59,73.69,110.50,275.72,14.04,2.71,30.39,151.34, 
36.70,187.74, , ,163.00,146.56,105.44,272.15,228.76,257.66,65.83,214.49,121.40,64.10,263.47,268.39,129.83,262.79,254.82,224.87,21.23,101.70,59.11,7.97, ,184.73,276.36,80.58,286.59,149.87,62.06,178.83,190.77,94.88,275.55,183.32,10.78,8.09,270.27,275.80,185.26,17.96,106.96,155.22, ,256.31, ,66.30,7.72,197.14,267.09,188.97,44.95,111.66,1.38,195.98,292.73,134.86,227.11,271.79,6.43, ,188.35,43.56,239.53,181.87,94.96,246.37,286.74,211.46,199.24,284.11,172.44,69.32,176.07,117.27,64.90,117.27,34.47,208.52,139.16,123.28,295.72,65.04,103.48,220.75,285.65,102.92,137.40,45.92,185.08,8.36,44.65,175.39
102.81,206.29,127.05,118.46,244.51,245.60,204.21,119.93,98.94,284.03,184.71,62.64,238.03,40.84,113.80,232.26,176.77,144.91,264.84,3.42,188.13,191.35,102.88,213.74,27.54,259.79,136.56,102.34,105.77,284.37,185.24,211.72,204.68,52.78,38.62,54.24,189.19,25.76,96.40,136.91,239.26,290.75,38.92,220.92,18.10,56.72,67.70,268.76,53.99,196.23,285.19,64.91,119.74,94.60,263.33,182.18,264.44,160.67,210.77,30.50,241.30,24.71,258.36,68.50,66.27,74.79,99.50,198.35,36.29,233.61,55.52,152.15,117.64,235.85,163.23,143.20,263.87,53.71,182.43,47.90,261.50,170.39,13.46,171.90,119.10,232.55,205.76,299.91,77.36,263.52,90.84,171.28,259.00,241.94
