Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73
46.37,265.00,276.57,280.37,40.92,163.09,98.07,115.53,42.50,123.24,13.70,53.23, ,226.64,202.33,10.23,67.91,40.27,216.54,89.41,115.63, ,188.79,61.37,276.59,166.26,82.92, ,136.15,188.52,200.30,84.32,166.12,150.49,261.27,281.10,29.77, ,155.59,27.01,289.86,20.83,103.43,36.07,239.90,84.62,110.73,87.01,41.60,171.75,200.51,229.09,268.55,90.99,11.35,41.10,121.61,157.31,165.68,121.13,103.82, ,214.55,195.28,122.83, , ,35.03,299.91, ,25.72,139.02,195.21
38.27,242.04,241.85, ,62.98,192.78,21.56, ,216.84,172.81,150.70,86.38,243.54,211.91,149.79,6.33,231.04,61.81,240.18,280.81,66.64, ,35.39,29.27,132.50,258.18,223.12, ,120.15,42.83,114.60,82.99,237.62, ,299.43,105.71,167.93,69.73,56.79,277.70,190.48,158.47,294.06,50.46,201.74,7.13,10.41,16.79,137.36,296.87,217.94,139.87,237.43,147.90,14.72,80.28,235.80,53.86,20.34,194.16,0.12,155.87,101.04,141.86,203.48,75.19,241.31,207.30,124.67, ,139.39, ,44.59
191.99,46.46,202.76,134.40,141.92,213.41,162.93,181.35,194.00,187.84,171.61, ,296.27,187.02,31.13,180.24,32.25,194.19, ,134.81,84.33,69.25,219.68,53.01, ,247.02,186.42,229.18,96.38,131.89,61.11,123.66,10.74,220.04,100.49,39.74,185.82,248.72,236.15,236.57,179.48,94.76,265.92,47.46,249.40,45.71,42.37,251.87,25.28,258.04,273.40,5.25,14.25,42.78,134.86,287.58,162.94,80.23,106.30, ,55.70,236.87,49.40,18.09,131.52,60.55,163.41,262.55,72.59,65.41,51.37,10.57,207.70
145.93,199.21,227.72,280.66, ,30.06,39.22,102.35,193.13, , ,22.20,24.06,180.69,290.08,57.61, ,150.52,169.70,175.33,4.65,262.01, ,232.83,18.63,294.23,94.82,163.24,202.15,55.73,234.33,8.28,101.58,142.46,11.13,178.63,196.84,70.55,220.67,287.63,38.56,151.07,68.73,250.40,201.60,53.71,51.93,127.87, ,270.34,214.54,35.43,59.38,93.65,290.72,269.63,135.59,81.10,20.21,219.36,297.01,44.80,277.41,260.82,10.20,287.72,93.69,247.84,93.20,135.06,138.51, ,274.10
95.04,76.38,162.42,187.46,112.27,65.31,281.22,229.26,183.95,6.06,101.85, , ,294.19,281.85,98.16,155.04,199.01,83.65,298.90,149.33,291.52,30.23,110.87,185.12,113.50,201.91,50.31, ,44.50,40.52,84.58,298.41,195.47,61.43,228.74, ,39.91,20.87,296.81,29.63,126.56, ,28.47,123.43,117.15,217.10,11.29,154.15,279.45, ,40.88,168.29,112.76,97.48,278.34,265.37,276.22,151.10,120.39,172.76,26.73, ,184.41,269.84, ,249.30,1.24,94.70,63.60,77.73,41.08, 
6.45,231.59,215.15,218.77,153.69,151.45,238.01,246.35,74.41,157.15,9.28,257.28,210.92,256.55, ,12.63,212.26,258.96,291.82,229.41,93.57, ,287.94,3.85,45.11, , ,240.84,49.58,130.44,62.85,32.51,99.62,180.93, ,191.57,258.72,284.65,20.23,40.23,256.48,202.60,216.86,275.59,154.44,298.92,236.57,147.45,185.53, ,61.82,277.73,184.88,214.58,118.93,277.40,123.70,179.02,168.78,134.03,138.33,36.19,244.30,100.73,7.64,235.69,234.23,299.39,12.13,56.28,81.18,107.48,285.60
 ,154.39,197.35,108.72, ,62.00,49.95,298.92,170.79,127.04,148.04,224.13,40.40,291.22,14.09,26.46,85.21,154.08,287.13,164.32,273.59,41.60,89.04, ,259.84,208.17,123.17,288.99,75.00,274.56,283.49,223.04,158.48,137.27,299.95,78.40,156.59,233.76,93.76,261.25,249.42,118.45, ,107.44,279.01, ,175.59,103.76,43.51, ,180.78,111.39,254.72,220.37,237.31,53.20,61.74,161.01,225.25,135.17,289.53,109.52,289.77, ,88.40,86.02,94.14,11.23,217.05,78.29,252.09,229.69,240.53
24.68,261.73,6.86,247.82,103.94,110.81,91.62, ,177.64,281.29,110.28,57.03,217.50,77.14,163.21, ,199.69,208.49,223.79,155.85,36.38,139.44,233.59,46.39,108.71,102.04,255.72,5.71,158.74,157.92,102.45,291.82,64.24,163.56,115.65,159.63,279.20,299.22,230.14, , ,191.06,287.53,76.81,227.55,232.48,190.58,184.21, ,248.45,200.63,198.36,96.11, ,95.18,112.03,95.22,64.17,281.13,133.05,44.94,293.51,146.08, ,30.29,49.42,149.19,215.22,170.09,97.93,106.51,181.37,242.75
195.99,8.07,62.08,292.63,59.53,268.76,282.41,10.09,277.79,281.88,206.81,204.33,221.31,152.27,142.66,129.62,24.05,286.34,203.71,208.81,249.03,206.84,176.61,263.27,76.20,47.40, , ,287.75,262.57,121.13,235.05,143.88,88.44,45.23,109.20,255.38, ,162.22,8.22,252.95,155.35,210.02, ,161.75,13.67,266.13,229.55, ,73.44,173.98,205.52,12.86,121.51, ,283.73,299.40,13.71,218.23,72.04,207.03,182.70,58.11,55.50,50.02,61.10, ,264.76,181.15,275.40,48.71, ,109.47
49.26,127.99,34.98,24.08,133.81, , ,55.60,179.59, ,240.69, ,205.45,255.44,107.15,231.78, , ,39.69,164.42,261.23,67.71,141.42, ,4.14,247.69,273.03,281.62,69.23,119.17,11.35,8.13, ,81.85, ,121.55,139.68,168.89,56.94,180.49,46.28,51.90,106.98,47.27, ,116.50,57.81,155.86,25.61,294.06,39.22,229.02,108.99,115.76,275.18,28.56,16.24,285.53,20.18,57.47,249.10, , ,191.45,66.97,234.47,24.53,30.35,220.56,171.79,287.41,6.29,80.61
229.17,32.73,76.60,58.13,264.17,32.62,120.59,72.69,160.62,28.74,50.77,30.31, ,17.72,291.92, ,14.45,216.29,212.21,137.38,18.59,281.76,257.18,150.80,157.40,127.10, ,177.88,232.69,121.09, ,113.01, ,127.46,236.42,159.19,12.02,247.90,111.28,70.76, ,100.63,161.33,257.18,105.61, ,206.05,246.83,26.74,96.17,177.92,28.84,261.91,166.63,154.44,208.92,191.55,25.83,220.16,219.76,59.17,280.30,226.13,41.27,158.07, ,35.99,135.90,131.95,239.73,31.20,250.68, 
9.51,71.77, ,291.53,294.96,193.85,230.06,1.45,279.04, ,15.03,125.89, ,2.65,182.65,245.49,290.24,142.85,126.45,208.24,286.08,121.91,163.38,0.91,234.90,3.73,294.98,50.78,153.57,110.95,87.27, ,77.51,12.40,237.56,258.20,71.00,177.46,24.77,251.84,164.33,193.33,226.77,139.99,59.57, ,95.78,177.25,58.20,277.74,225.93,66.36,133.66,158.93,252.51,36.44,252.69,35.44,195.00,181.90,1.00, ,96.79,202.95,114.20,39.87,117.25,288.72,236.19,257.66,168.97,57.23, 
25.47,40.63,287.95,125.35,297.84,85.74,53.98,168.05,187.73,62.55,79.12,226.45,118.93,164.56,4.48,163.67,222.15,250.41,126.83,199.06, ,284.80, ,132.67,226.08,136.98,10.66,149.91,211.69, ,76.24,188.83,297.47,174.03,169.19,28.59,283.20,171.75,31.78,100.68,78.62,215.32,131.74,217.16,43.11,253.21,19.79,71.24,60.81,219.02,29.41,174.95,100.88,280.62,199.23,211.01,202.37,45.09,257.76,102.97,148.25,120.23,198.22,185.30,136.74,189.03,51.94,178.77,110.67,285.48,240.68,287.74,22.82
177.17,295.09,281.45,36.32,11.38,293.15,193.56,1.01,296.04,146.56,205.77,34.19,267.13,87.74,117.93,287.71,91.13,275.24,126.15,174.26,246.09,34.21,297.29,222.24,88.16,168.13,26.03,185.18,177.20,248.04,83.47,290.23,218.56,247.19, ,121.45,223.13,216.44,286.15,285.02,39.82,147.61,79.85,218.93,227.13,21.05,275.32,212.49,175.36,97.11,155.00,102.30,207.42,140.91,270.40,173.05,179.74, ,259.58,262.91,297.72,53.64,130.08,132.46,185.81,77.12,165.42,208.18,203.10,84.46,197.33, ,207.55
290.37,49.71,214.43,58.68,135.94,199.27,111.11,32.19,256.39,286.96,46.26,155.17,14.98,170.51,221.54,15.49,29.59,272.87, ,31.55,283.43,212.48,121.32,162.01,48.15,229.81,46.34,155.38,175.30,190.03,28.76, ,240.67,181.35,241.70, ,254.91,255.30,142.09,259.15,19.48,4.19,7.51,109.62,70.06,270.11,85.59,228.19,239.54,83.09,167.57,98.18,124.20,289.87,130.10,270.40,256.31,98.87,25.13,126.71,193.41,55.29,95.68, ,35.22,263.82,76.92,286.48,199.95,189.28,170.06,136.64,94.60
118.50,136.36,185.12,220.39,286.84,77.62,80.13, , ,1.14,119.70,156.01,27.57,185.89, ,22.53,278.17, ,36.59,62.75,201.67,203.65,182.53,158.84,94.11,6.62,295.11,82.85,145.97,196.40,8.05,54.39,58.14,261.08, , ,16.44,6.97,248.45,201.36,152.17,145.80,90.71,285.10,292.03,283.98,162.93,268.40,217.35,105.48,121.27, ,137.70,209.22, ,98.73,79.43,254.61,109.68,66.14,218.88,225.85,246.59,194.90, , ,241.53, ,62.80, , ,99.03,258.29
 ,217.44,151.76,75.82,217.37,56.22,200.13,39.12,70.86,61.71,46.26,188.56,66.03, ,266.53,32.00,134.09,142.26,84.63,60.51,231.69,102.30,102.60,107.06,155.22,11.02,87.34,120.75,80.29,54.13,147.57,271.64,19.00,266.36,128.22,149.71,229.34,127.84,36.38,281.25,275.97, ,63.31,244.53,86.81,241.71,176.75,105.26,46.85,124.78,47.38,0.20,80.98,235.12, ,170.02,180.19,86.43,209.29,248.50,179.76,38.59,154.44,118.64,113.29,137.63,85.18,263.98,70.26,127.58,204.78,277.33,143.58
88.94,156.71,149.75,15.13,49.85,254.78,182.42,206.30,31.85,9.33,183.93, , ,262.76,9.10,201.77, ,290.71,160.57,55.31,43.28,246.89,198.43,95.26,21.67,298.35,124.64,197.08,206.20,166.98,217.70,224.78,110.93,275.94,243.65,168.53,274.90,199.77, ,295.03,252.47,138.19,234.98,162.70, ,71.29,61.58,113.26,59.37,201.85,195.68,66.56,132.42,179.62,214.80,27.22, , ,192.83,72.54,191.20,63.78,217.93,251.47,111.72,255.37, ,151.05,112.72,291.49,94.88,68.99,50.91
268.18,16.47,261.01,187.88,105.45, ,230.81,121.88,112.69,56.10,228.31,271.57,206.67,238.45,194.75,281.26,111.93,34.86, ,76.53,3.50,146.85,112.80,216.07,61.38, , ,221.64,191.79,33.27,3.66,212.29,244.88,259.34,265.54,245.35,64.44,224.05,43.03,159.99, ,221.37, ,141.59,230.21,239.27,50.92,227.11,90.33,193.90,286.61,117.62,201.50,180.79,93.35,162.39,182.92,174.71,158.17,9.41,49.67,51.86, ,278.97,281.95, ,31.62,117.14,69.53,31.30,144.19,174.14,77.99
61.15,192.40,268.99,7.70,150.50,119.27,38.54,24.06,140.79, ,257.94,96.61,236.22,120.77, ,127.35,278.12, ,170.52,60.56, ,79.23,175.08,264.95,81.57,103.12,44.69,180.31,226.81,185.83,277.66,194.80, ,172.92,177.13,101.33,115.77,16.92, , ,3.56,296.98,108.65,37.25,99.65,165.65,172.69,234.20,34.18,204.96,32.71,250.53,19.78,50.89,104.91,252.11,148.33,101.03,168.44,195.82,125.15,224.63,200.85,117.24,198.03,142.12, ,92.65,124.08,115.68,263.86,112.89,106.81
173.36, ,11.64,198.51,21.08,134.64,281.98,156.96,274.09,110.76,91.72, ,250.67,63.25,249.71,286.86,238.13,120.32,171.87, , ,101.01,143.30,172.19, ,52.21,178.97, ,270.69, ,221.37,113.38,279.47,122.76,227.65,156.31,154.85,163.26,37.25,6.81,225.66,240.08,171.25,140.84,89.74,69.02,209.13,147.01,171.91,224.60,252.75,195.76,17.15,271.11,112.49,114.59,79.90,16.02,173.71,270.04,36.23,274.56,221.45,133.96,91.34,192.93,139.48,151.68,147.70,211.04,100.70,298.34,80.29
 ,254.00,101.79,207.45,192.02,62.30,286.78,104.92,48.60,184.82,0.69, ,123.48,245.17,278.11,104.78,257.87,12.40, ,229.85,179.15,189.35,135.45,97.12, ,145.72,106.29,90.06,267.98,100.23,137.72,156.67,136.75,179.02,243.62,79.00, ,200.86,37.93,45.62,276.68,280.77,73.38,156.12,231.76,21.36,207.38,1.58,236.45,28.89,59.72,164.59,42.69,209.37,101.77,215.68,222.09,144.51,160.22,216.60,70.30,236.89,37.67,127.56,54.57,59.72,102.66,154.17,289.76,225.97,18.54,169.99,38.10
236.10,15.14,290.30,90.66, ,128.33,190.68,220.22,162.16, ,86.47,295.14,252.22,167.77,62.76,211.39,52.26,299.18,0.19,152.84,216.66,219.18,106.64,2.52,183.78,3.55,225.71,46.49,219.80,148.68,252.01,83.42,207.56,71.67,72.08,298.61,140.48,71.04,239.40,100.88, ,104.43,36.30,139.93,22.92,62.91,6.20,88.91,30.54,82.14,243.59,236.91,147.13,3.36,94.09,195.13,187.51,10.72,102.68,138.03,204.82,131.09,23.91,221.49,91.50,292.75,10.29,267.42,84.35,251.67,47.71,95.72, 
106.44,249.04,297.06,161.90,205.73,221.90, ,276.36,298.05,252.33,198.77,165.76, ,117.42,238.24,257.29,110.58,32.48,20.80,134.26,227.53,255.63,165.72,125.79,248.09,35.28,293.68,122.18,145.55,138.36,203.82,257.24,159.37,74.01, ,208.27,246.79,18.52,113.98,222.00,216.65,232.20,10.58,295.24,32.77,125.75,138.67,73.79,80.77,227.08,82.77,23.84,83.61, ,197.59,47.78, ,64.68,100.62,213.94,62.65,30.71,63.27,109.79,22.44,200.57,151.51,84.86,12.90,217.70,66.06,186.45, 
251.13,256.79,101.24, ,47.95,277.44,252.75,248.28,277.79,224.71,132.20,4.65,178.04,283.78,150.97,104.68,121.36,263.92, , ,236.81,99.93,252.37,1.47,27.87,49.51,108.57,262.15,26.81,35.58,84.30,180.82,193.68, , ,149.94,174.16,115.30,0.99,26.78,268.33,281.73,7.22, ,269.37,226.36, ,236.95,125.66,82.83,119.94,176.93,237.92,56.61,25.19, ,51.97,89.23,41.79,113.84, ,83.21,232.97,274.73,86.63, , ,119.73,133.23,77.49,47.75,124.37, 
 ,124.91,34.51,293.55,45.36, ,128.56,81.17, ,251.08,236.39,277.41,46.38,52.78,181.79,257.97, ,149.67,298.38, , ,94.99,275.26,275.72, ,56.89,217.90,233.11,246.73,210.42,21.16,116.98,63.74,209.12,224.61,235.59,146.51,121.03,140.75,249.76,123.56,69.72,14.62,195.77, ,106.19,234.51,71.45,133.13,46.58, ,207.15,97.04,171.43,27.70, ,277.47,83.30,26.47,298.74,20.53,242.64,214.57,196.12,14.61, ,61.20,203.41,105.53,22.01,218.53,289.14,27.18
261.56,272.36,10.04,106.85,244.29,184.71,129.69, ,158.94,197.25,206.56,64.07,187.60,125.55,30.17,264.49,265.36,248.41,285.83, ,255.97,92.11,15.81,11.42,80.74,49.12, ,214.71,128.14,144.37,39.62,257.49,150.59,279.90,274.55,49.07,221.71,225.20,259.24,73.82,227.75,160.22, ,74.93,137.66,214.74,216.87,48.84,239.87,200.89,246.25,87.95, ,31.38,150.74,151.54,101.73,12.95, ,22.46,116.68,214.13,251.47, ,0.31,60.57,252.88,218.26,187.39,207.85,2.13,209.40,283.14
232.95, ,279.26,9.97,178.67,127.36,55.11,130.46,8.62,59.98,20.73,295.45,87.34, ,145.92,174.13,134.75,125.15,86.34,117.79,22.37,9.64,97.00,282.97,266.32,264.09,106.17,69.84,230.92,144.96,107.68,205.91,126.16,50.25,174.75,94.77, ,104.41,6.94,32.60,28.43,175.13, ,18.71,48.72,156.71,26.47,212.77,206.82,263.44,251.43,125.11,35.31,150.61,42.00,117.55,241.15,128.17,159.81,216.62,96.50,102.21,37.72,55.36, ,18.79,5.34,26.72, ,61.78, ,103.77,94.80
 ,30.39,99.99,31.86,98.74,89.94,251.34,215.94,72.20,25.49,275.19,0.54,74.77,228.89, ,43.76,222.90,177.20,199.78,139.74,166.15,6.32,219.43,283.04,206.18,251.61,228.08,180.53,208.85,183.70, ,227.47,31.83,284.88,227.03,279.46,218.44,149.73,166.99,268.58,189.89,44.73, ,178.82, ,87.67,288.06,2.18,156.21,242.78,173.73,193.37,13.23,100.74,97.35,146.67, ,36.56,105.58,136.94,56.85,72.06,229.35,252.28, ,286.29,117.88,257.45,13.21,123.06,133.64,81.68,286.34
