Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115,Col116,Col117,Col118,Col119,Col120,Col121,Col122,Col123,Col124,Col125,Col126,Col127,Col128,Col129,Col130,Col131,Col132,Col133,Col134,Col135,Col136,Col137,Col138,Col139,Col140,Col141,Col142,Col143,Col144,Col145,Col146,Col147,Col148,Col149,Col150
 ,114.92,56.18,108.51,20.85,129.75,112.33,267.75,6.88,30.86,6.81,63.95,40.65, , ,204.99, ,95.55,205.47,157.81,103.24,195.77,230.49,15.46,152.18,256.21,245.27,209.89,96.73,78.86,127.10,207.82,142.26,296.51, ,154.32,101.34,118.43,185.55,19.93,155.03,91.09,179.61,268.00,220.60,296.69,173.86,131.26,190.67,65.26,132.74,161.06,174.64,238.55,282.34,195.08,192.82,195.48,110.04,290.25, ,286.94,84.10,85.34,226.02,218.11,52.72,25.48,12.34,225.35,287.30,267.61, , ,20.14,63.82,139.32,93.85,48.55,161.62, , ,53.87,252.06,86.60,93.38,282.50,171.48,202.55,94.47,92.87, ,156.70,267.59,92.07,299.71,255.47,0.81, ,249.72,294.05,272.71,135.27,106.16, ,8.71,19.49, ,134.09,95.41,83.76,224.39,46.29,133.09, ,176.20, ,171.37,181.26,148.85,99.30,23.28,263.71,43.81,107.84,67.78,10.22,249.83,29.16, ,162.25,24.22,243.38,209.83,50.41,153.65,153.21,90.22,72.36,221.34,67.18, ,270.43,243.31,44.06, ,173.07,92.40,173.18,66.44
40.58,136.91,183.80,2.87,167.66,233.37,99.21,188.24,270.98,134.28,41.77,107.62,241.47,112.13,235.80,197.65,295.43,170.60,24.68,153.25,248.71,281.34,87.17,238.89, ,73.17,209.06, , ,121.39,236.03,192.84,133.69,110.03,39.81,192.93, ,85.27, , ,209.91,236.20,74.46,221.97,12.56,80.86,223.28,72.49,230.73,293.01,297.13,139.76, ,53.04,139.46,58.05,124.94, ,273.74,245.77, ,258.32,253.52,220.89,167.27,222.14,73.22,51.48,161.84,288.66,166.78,129.92,34.19,299.19,228.60,122.23,20.66,121.91,175.34,265.58,123.01, ,196.23,148.45,71.63,119.36,53.10,116.43,281.67,277.12, ,125.12,124.20,60.93,119.95,288.91,278.86,273.25,8.15,224.27,254.68,258.21,163.70,57.63,187.37,118.76,128.81,25.87,89.66,199.12,23.06,295.15,299.96,77.75,151.45,146.96,112.62,47.32,10.87,117.95,233.87, ,62.68, ,15.69,56.41,179.86,102.85,81.39,143.42,110.92,161.16,100.99,63.05,250.09,253.27,272.15,4.75,249.82,185.49,155.58,180.31,21.36,210.46,85.97,261.89, ,123.04,149.74,217.83
46.90,251.32,263.89,119.69,88.28,65.27,160.61,234.09, ,217.25,131.29,160.40,200.12,216.22,58.88,272.72, ,264.46,174.87, ,294.56,234.99,173.41,160.20,222.85,209.12,162.78,143.33,133.58,232.32,98.35,62.83, , ,35.53,297.63,203.09,72.02,291.78,126.84,126.01,208.24,189.80,75.53,94.21,76.59,258.91,17.73,246.01,144.49,122.23,245.43,134.31,163.39,262.88,278.07, ,186.32,229.73,199.54,51.55,39.45,67.57,95.81,160.40,233.79,283.89,87.37,210.22,172.61,67.70, , ,202.77,280.60,158.05, ,209.60,134.81,56.37,83.49,209.61,79.46,229.04,138.93,65.60,110.86,11.45, ,168.04,17.00,8.95,28.78,84.65,239.12,73.95,155.82,197.94,299.08,30.01,88.43,220.05, ,21.96,52.81,211.67,155.25, ,30.30,42.54,106.66,187.27,269.99,100.22,144.06,117.44,253.75,142.32,238.04,195.75,274.24,193.34,189.25,141.74,42.73,34.49, ,221.77,135.93,130.21,108.91,121.31,183.26,125.29, ,46.73,246.89,286.80,224.48,93.88,95.61, ,130.10,116.43,15.98,16.73, ,125.64,77.55,258.95
233.91,69.94,268.81,1.60,157.07,131.67,292.30,87.55,57.37,59.23,89.52,125.97,267.83,11.40,60.22,150.10,286.36,274.77,236.87,210.78,202.45,44.88,269.72,137.56,205.97,136.33,208.38,231.19,213.91,221.60,212.95,268.26,291.73,154.47,219.39,22.53,107.69,16.61,199.84,104.50, ,240.83,259.34,32.48,117.03,57.15,188.02,59.42,120.58,241.80,221.84,71.71,114.74,60.30,38.95,296.65,265.41,246.04, ,278.51,257.64,117.46,141.61,108.22,66.89,170.73,32.50,187.77,292.52,136.49,65.83,181.33,16.36,156.62,259.41,1.42,88.72,265.84,65.19,159.26,184.72,248.13,207.77,293.41,162.78,84.97,180.85,139.19,85.10,138.33,130.93, ,219.65,227.40,23.81, ,155.89,39.21,103.40,239.92,147.28,226.72, ,107.56,170.49,283.64,143.10,297.23,289.70,241.47,66.84,218.56,121.18,115.28,208.14,165.12,209.54,231.67,299.13,40.34,44.01, ,187.11,33.14, ,250.02,258.93,76.72,92.92,282.23,123.10,270.47,195.32, ,126.98,255.16,62.14,210.23,160.70,138.25,267.30,143.86,139.01,155.46,253.64,298.72,176.45,132.31,84.40,120.70
34.12,77.60,200.64,182.38,85.17,255.19,200.70,131.20,259.76,56.21,40.01, ,216.46,207.54,28.42, ,239.81,277.69,50.25,5.24,239.68,253.26, ,153.97,274.08,253.66,249.89,0.74,242.29,248.84,298.33,69.69,217.07,177.84,73.93,239.72,295.86, ,190.72,113.80, , ,138.28,257.36,108.55,247.62,211.02,24.08,167.14,105.35, ,39.82,158.26,271.30,9.67,44.84,44.93,29.76,67.75, , ,246.13,20.71,182.98,295.96,285.30,176.60,22.29, ,180.55,112.16,205.64,79.51, ,8.97,140.62,255.64,149.81,122.34, ,5.31,169.62,273.97,253.17,112.11,290.93,65.56,27.33,146.38,59.52,115.82,75.21,133.23,42.35,47.93, ,53.24,78.27,175.51,82.98,280.20,16.52,18.14,0.19,265.99,48.86, ,226.45,115.38, ,157.73,249.31,3.34,272.13,132.35,249.70,173.23,167.91, ,186.05,202.94,275.36, ,175.94,150.70,48.18,53.10,5.06,276.50, ,248.64,137.31,39.71,269.51,220.54, ,106.59,75.29,143.99,206.23,18.05,171.65,267.31,272.14,227.16,280.77,197.28, ,293.56,122.05
80.09,122.34,149.19, ,131.17,112.97,154.91,94.32,197.26,251.31,34.00,118.05,110.59,85.55,8.89,2.06,276.12,94.31,193.85,256.28,220.27,62.41,200.28,101.74,218.35,266.94,231.53,267.12, ,52.67,109.22, ,81.18,268.84,153.38,260.79, , ,178.91, ,79.19,57.97, ,111.02,277.54,228.65,84.66,297.33,138.19,230.97,170.85,94.87,62.50,133.89,236.72,200.31,91.99, ,268.72,61.94,9.87,41.04,189.15,251.86,208.20,126.90,68.74, ,92.97,278.11,39.42,239.67,107.78,246.88,0.38,120.64,289.08,153.79,114.27,195.46,132.01,137.10,162.09,182.04,253.03,181.93,74.98,232.19,153.25,241.45,158.27,266.39,287.21,90.95,43.98,111.69,79.76, ,241.86,17.62,65.64,78.85,252.75,290.28, ,169.35, ,27.61,173.71,126.27,265.91,37.88,39.43,32.08,49.45, ,67.07,166.47,249.71,197.60,214.85,203.85,110.07,111.81,284.89,75.39,252.67,16.66,42.57,237.08,279.97,131.62,81.88, ,31.59,189.49,137.50,85.61,32.67,33.50,181.68,57.18,272.94,177.12, ,107.64,133.69,26.02,134.66,263.40
139.50,16.04,23.56,106.86,271.31,278.75,185.32,10.29,271.96, , ,173.51,264.89,118.16,272.50,98.82,79.38,121.96,259.56,34.07,90.76, ,69.52,255.38,268.78,40.50,224.06,212.90,155.28,72.77,192.60,245.01,104.98,250.46,142.88,234.47, ,239.85,256.25, ,24.78,235.90,206.51,255.67,114.57,39.50,257.14, ,202.15,17.91,11.06,228.36,152.79,293.75,117.02,290.97,274.78,287.66,64.59,295.73,262.19,223.50,63.82,62.47,216.20,51.45,298.69,34.28,117.46,244.11,278.03,286.23,93.17,292.88, ,288.62,83.71,265.26,159.12,295.71,37.05,176.54,74.78,298.59,273.80,170.37,4.65,194.51,198.63,250.34,289.92,98.16,34.25,6.88,184.28,18.46,78.68,185.64,51.34,79.72,210.84, , ,55.55,172.95,296.32,10.58,62.25,59.87,172.16,289.88,69.35,277.78,203.35,1.50,47.64,279.82,31.32,173.97, , ,41.05,170.22,23.69,160.38, ,32.54, ,88.98,27.20,67.70,230.17,185.23,150.43,236.29,78.27,268.61,157.19,156.87,61.30,259.88,264.12,254.21,7.71,34.11,109.95,265.47,171.02,17.94,15.75
203.19,64.50,213.43,181.47,249.09,250.85,164.45,197.83,29.42,161.86, ,271.81,205.92,36.37,29.87, ,284.10,166.38,132.82,270.28,150.11,257.07,128.35,15.93,240.17, , ,108.89,73.84, ,85.77, ,115.64, ,99.74,73.47,162.26,118.62,3.39,133.62,166.35,120.28,195.31, ,297.34,296.42,248.76,156.95,209.24, ,116.32,57.24,220.66,43.08,96.05,77.27,150.83, ,271.11,80.12,260.38,111.27,148.63,31.31,19.40,278.17,56.87,104.43,271.14,289.75,119.98,87.69,187.05, ,158.16,14.59,127.82,106.18,240.68,115.92,185.61,224.42,113.34,37.24, ,61.17,256.47,85.97,230.81,75.46,131.17,179.87,70.72,232.25,212.59, , , ,27.73,216.88,58.18,201.07,15.29,260.70,36.78,127.26,80.32,140.96,172.41,93.94,199.29,56.91,220.55,281.82,299.02,89.34,152.81,61.43,241.22,64.53, ,191.79,107.30,128.75,56.74,224.46, ,173.75,292.82,173.72, ,172.74,131.91,26.14,291.36,63.54,258.76,40.47,29.33,34.88,278.28,253.87,292.67,76.49,241.78,124.35, ,297.09,45.26,115.88
218.38,231.12,268.87,272.33,1.98,154.30, ,245.92, ,238.59,77.62,4.66,13.58,161.75,10.82,237.69, ,156.07,5.71,105.67,60.27, ,180.37,140.41,25.30,279.87,17.23,153.12,5.89, ,167.64,253.79,115.05,149.26,217.29,59.06,133.34,248.05,299.70,254.09, ,208.43,16.64,15.81,247.55, , ,189.34, ,264.00,224.79, ,142.08,59.07,101.57,113.10,178.10, ,156.55,77.78,209.92,130.69,251.00,116.14,41.74,285.82,58.85,119.00,52.70,117.91,188.81,30.84,174.41,273.42,64.66,145.84,54.65, ,5.64,170.41,170.66,132.98,259.23,295.40, ,82.64,14.03,132.30,75.51,216.25,37.68, ,183.52, ,160.06,160.42,180.18, ,80.56,36.04,184.16,57.86,114.08,294.49,26.15,161.04,255.62,70.55,10.10,192.03,114.13,25.30,81.99,262.75,173.45, ,57.61,260.20,144.30,32.56,180.21,90.86,27.54,283.62, ,237.70, ,51.83,201.10, , ,117.68,107.44,204.79,146.69,203.12,19.05,220.82, ,11.69, , ,95.96, ,33.65,199.25,213.24,240.41,34.34,55.59
174.57,6.83,125.39,12.26,145.62,43.70,244.77,188.37,251.99,280.74,42.92,71.13,280.35,9.30,69.64,156.47, ,163.30,150.66, ,295.10,210.81,72.09,194.84, ,146.83,93.60,190.97,203.61,253.94,156.43,284.79,125.10,246.59,194.46,61.64,92.36,82.99, ,238.57, ,51.43,161.11,5.32,118.63,199.21,124.08,41.20,276.95,37.87, ,154.69,232.33,20.80,216.33,104.51,113.16,196.83,187.50,244.32,249.42,126.06,270.32,262.47,177.49,143.15,123.58,22.53,148.47,175.66,141.16,57.39,74.87,213.72,181.47,130.51,254.92,290.34,107.46,121.22,28.21,31.00,275.92,260.53,51.81,192.25,65.04,164.96,89.08,252.54,109.28,38.50,78.60,79.60,0.97,256.10,222.75,124.55,278.63,71.22,0.22,119.78,128.62,75.09,33.51,10.09,205.59,288.43,0.43,13.05,109.65,28.64,44.06,85.57,289.17,95.86,277.81,54.22,260.83,66.89,6.75,70.11,105.39,85.36,149.71,106.37,41.45,72.46,230.92,20.08,143.69,231.14,139.86,272.30,6.22,173.37,282.40,211.81,161.80,282.83,224.86,271.45,11.47,268.92,57.02,0.64,64.78,34.83,54.86,25.61
