Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24
122.18,298.95,239.79,130.34,6.41,31.12, ,4.68,107.17,24.62,212.89,186.78,65.68,89.05,173.19,240.33,33.35,112.99, ,3.51,235.75,114.02,176.79,124.41
 , ,223.83,292.72,18.66,78.39,129.35,250.13,290.33,84.53,187.62,211.66, ,12.53,76.08, ,176.72,107.74,68.05,55.28,109.14,174.87,133.74,260.23
148.60,103.30,24.45,103.33,261.63, ,91.90,11.98, ,191.88,247.25,60.49,65.97, ,61.17,56.83,195.89, ,196.13,187.39,13.36,295.17,153.89,260.72
254.89,85.35,239.99,257.73,35.48,33.63,185.88,30.98,8.09,86.03,95.00,166.76, ,226.07,79.69,167.98,102.64,240.38,47.05,296.24,7.64,8.36,75.96,145.78
193.61, ,177.85,1.63,139.68,219.18,215.65,207.46,151.02,109.88,152.16, ,80.08,75.06,25.27,63.81,150.52,101.86,283.56,121.14,175.08,98.34,239.18,244.84
82.04,129.06, ,198.16,98.56,262.20,281.76,198.12,146.02,162.29,284.88,263.88,140.77,91.97,182.61,288.10,299.87,250.89, ,121.92,62.56,113.79,65.70,186.35
187.65,185.41,97.73,107.13,100.87,2.06,219.90,95.04,65.17,92.11,33.31,199.23,186.03, , ,40.24,64.21,176.90,19.93,96.42,182.09,177.22, ,31.50
27.64,152.31,247.84, , ,208.51,85.73,216.80, , ,207.81,43.52,19.98,147.90,238.61,151.70,129.19,122.26,256.20,36.66,272.61,223.46,246.05,187.86
88.09,76.89, ,1.75,168.30,202.30,263.96,191.77,182.24,13.71, ,168.77, ,242.62,80.47,252.12,143.87,121.29,74.43,72.42,299.60,246.75,90.91,176.15
251.85, ,176.32,0.75,240.71,16.75,129.09,293.03,139.30,270.22, ,259.00,87.13,238.91,239.53,20.15,33.88,105.22,75.44,247.02,46.01,29.24,232.52,250.11
 ,257.43,67.66,19.74,2.08,296.47,211.53,80.44, ,258.89,129.78,86.49,112.67,127.53,134.17,177.02,188.74,118.37,108.36, ,24.87,164.19,69.43,227.41
169.36,238.82, ,101.30,81.95,274.34,166.68,138.10,279.07,57.35,48.07,271.75,113.94,19.81,50.36,158.79,128.47,275.73,201.86,42.20,136.45,69.05,166.71,140.64
49.02,223.19,125.05,199.07,70.36,11.85,21.22,21.01, ,195.84,237.63,193.46,93.29,57.88,280.22,115.08,287.17,182.46,248.65, ,46.37,15.75, , 
229.06,71.18,68.67,134.67,189.50,76.86,136.55, ,63.14,192.68,98.02,164.18,117.08,278.25,81.55,294.82,34.62,250.04,250.58,155.63,179.60, ,163.17,207.32
101.47,86.84,196.41,257.15,239.60,298.61,242.11,250.04,79.98,244.94, ,257.73,137.47,95.65,252.95, ,41.01,94.30,94.17,226.96,277.30,211.22,82.09,254.59
19.36,232.27,220.64,63.75,188.71, ,9.50,260.99,256.60,108.27,68.87,252.18,37.90,251.66,83.09, ,268.17,94.24,169.64,92.12,243.23,174.12,192.41,30.93
66.85,161.49, ,272.59,56.55,238.06,281.45,104.13,239.35,11.39,258.79,182.21,278.53,235.08,5.98,116.89,105.87,271.86, ,78.81,295.37,86.66,57.63,271.46
168.81,138.94,112.56,167.26,257.30,178.24,80.98,42.11, ,213.99,88.24,144.16,21.27,259.89,138.69,92.75,22.09,68.04, ,197.29,108.97,102.00, ,294.17
107.76,257.90,229.59, ,175.15,207.50,55.51,209.75, ,281.55,99.10,157.74,5.31,266.90,19.58,19.27,121.83, ,242.25,164.23,266.36,234.40,192.48,147.75
208.76,130.78,228.88,37.25,10.76,11.08,159.67,286.19,178.59,155.06,180.61,152.78,169.52,283.68,225.29,14.02,217.39,237.07,78.50,28.49,70.63,116.02,143.47,84.29
245.34, ,7.17, ,67.67,267.61,66.24,186.67,66.23, ,271.11,174.75, ,199.57,203.85,130.92,292.03,293.51,111.96,83.07,30.20,227.23,126.80,83.03
201.72,199.52,183.37,255.28,59.09,236.60,60.75,103.52,59.48, , ,198.21,243.98,293.18,171.75,68.98,144.81,245.29,147.45,261.45,5.53,51.51,59.99,6.38
256.08,297.23,295.32,61.60,69.32,40.58,109.57,293.76,88.48,2.13,36.14,225.63,259.00,42.99,128.68,182.18,191.53,285.55,248.14,138.94,276.26,102.53,100.29,182.85
182.99,76.25, ,64.57,289.29,190.66,107.30,73.79,211.15, , ,114.08,18.49,68.29,236.28,15.45,234.85,18.95,103.03,9.62,125.71,285.54,251.14,231.93
234.00,276.08,150.04,181.62,184.31,78.31,215.56,214.17,106.25,10.32,27.73,162.84,191.80,264.51,195.24,292.85,260.96, ,296.28,53.25,169.18,129.00,141.54,20.59
201.14,256.75,43.81,184.43,253.66,155.04, ,91.07,76.94,96.70,100.00,81.88,21.50,136.85,287.27,86.61, ,176.61,238.40,176.77, ,284.53,297.27,100.46
221.95,271.12, ,83.76,142.53,67.88,61.86,125.99,279.61,255.73,106.66,5.09,177.05, , ,246.29,21.09,174.77,40.70,81.35,142.81,252.63,85.66,115.12
202.12,294.86,273.93,288.06,241.97,171.78,200.84,275.22, ,11.58,87.63,63.77,143.41,215.78,26.51,99.65,169.60,11.69,159.31,287.54,262.31,229.08,8.40,103.78
27.08,280.60, ,248.56,185.20, ,197.19,87.95,242.71,76.98,261.42,174.14,38.93,235.70,95.57,120.55,237.34,80.21,165.26,143.22,119.72, ,175.54,59.05
 ,96.69,266.91,264.28,137.75,231.62,25.28, ,246.18, ,213.53,101.27,273.92,148.19,278.49,53.89,224.72, ,178.41,21.64,235.07,127.18,161.89,207.81
201.64,92.50,238.15,64.91,100.70,233.29, ,295.01,11.81,242.10,71.64,78.60, ,110.78,151.27,285.33,298.55, ,278.97,133.95,266.22,59.75,96.08,51.73
0.96,136.31, ,268.51,187.91,37.76,30.16,81.89,122.82,180.78,54.57,26.63,251.37,214.22,22.33,220.44,181.49,234.09,141.97,171.60,46.19,154.30,140.03,236.87
234.62, ,75.91,21.66,47.55,61.72, ,264.84, ,273.53, ,93.74,195.32,180.38, ,226.64,238.72,199.57,19.25,277.07,143.78,103.55,119.20,295.38
262.51,141.30,159.88,273.04,280.31,67.42,67.32,261.52,285.98,165.23,90.28,95.50,248.72,45.07, ,240.33,159.83,25.85,123.42, ,8.52,214.11,239.95,299.39
42.00,273.90,279.42,17.20,256.28,47.63,245.05,168.97,45.54,82.38,105.30,175.20,85.42, ,73.77, ,124.53, ,235.42,117.90, , ,124.58,195.20
42.24,217.27,274.76,257.89, ,213.00,142.83,180.76,227.31,13.00,169.15,157.99,251.37, , ,107.88,38.57,153.30,77.59,166.25,292.28,174.74,247.58,243.27
40.11,296.40,238.99,230.01,37.70,243.93,46.75,34.87,19.11,169.93,240.22,273.27,188.37,59.03,109.41,265.04,299.04,284.61,88.59,157.20,120.00, ,54.50,84.16
214.79,105.80,51.72,164.88, ,126.59,35.03,0.31,158.73,220.25,281.17,13.66,173.68,169.67,54.57,213.98,105.47,223.61, , , ,71.68,106.17,60.66
197.81,285.99,140.31,122.47,286.07,21.41,177.89,229.09, ,30.05,107.30,241.26, ,287.72,88.60,226.94,283.59,195.63,113.82,6.16,210.54,297.26,222.12,60.13
 ,23.63,171.78,74.81,183.61, ,218.47,127.85,262.72,69.98,28.83,69.94,209.01,134.35,156.32,188.43,127.60, ,261.31,259.05,168.75,45.24,263.45,158.48
63.54,236.18, ,94.90,294.30,294.28,198.63,211.06,196.60,88.04,273.77,220.80,271.62,107.26,53.42,74.17,116.83,111.00,280.46,197.68,207.82,62.01,11.79,203.97
168.55,33.58,155.76,208.50,2.84,96.50,39.98,3.92,264.77,152.02,205.76, ,80.26,189.05,144.06,232.75, ,30.80,194.27,86.08,190.85,234.69,220.00,48.47
264.90,254.75,255.70, ,262.68,140.92,109.54,263.87,43.01,45.70,20.47,223.65,57.89,181.25,58.31,118.82, ,3.11,12.49, ,291.12,221.73,156.69,275.31
112.32,287.37,142.99,189.17,97.06,30.00,292.25,113.35,122.67,231.22, , ,146.23,169.77,172.71,192.10,270.59,83.70,1.97,270.86,287.40,297.38,269.55,229.78
231.10,203.25,259.66, ,220.98,244.98,229.65,18.09,84.67,230.08,24.83,164.05,207.68,240.18,133.96,95.05,40.18,246.27, , ,276.25, ,36.54,82.76
174.81,12.79,141.41,178.97,66.26,275.70,109.12,26.08, ,230.79,78.26,256.29,106.60,198.91,179.66,162.73,79.94,104.31,112.59,64.59,36.71, ,1.04,257.72
94.06,211.98,81.67,117.93,241.75,247.61,213.79,67.18,57.52,233.17,286.26,39.42,41.52,166.66,272.86, ,246.24,232.11,73.97,257.67,162.60,36.94,105.67,122.09
144.18,68.95,26.82,223.25,38.69, ,122.19, ,1.91,288.45,119.82,155.24,95.31,249.96,96.66,36.61,8.18,177.13,183.81,187.73,241.78,239.15,174.96,89.80
215.31,85.69,68.86,204.41,166.81,90.96,297.13, ,161.30,293.74, ,290.84,192.50,284.57,1.43,175.35,22.52,35.21, ,22.33, ,29.29,295.26,15.82
117.27,182.35,240.65,261.12,180.74,109.19,94.35,138.46,100.08,297.25,67.36,117.86,156.30,166.61, ,85.87,266.91,160.88,178.12,198.52, ,48.89,204.65,96.68
113.68,163.76,119.88,275.81,196.50, ,275.02,12.46, ,5.50,275.96,32.45,198.81,56.17,275.09,186.24,146.47,257.49, ,274.51,51.38,214.77,223.44, 
 ,22.66,143.03,286.63,293.05,193.75,34.54,139.28,9.67,174.63,240.13,209.47,140.51,208.55,22.94,282.73,113.58,205.48,156.45,35.87,256.47,174.46,194.54,133.16
230.94,248.34,248.52,0.36,31.71,196.12,146.43,168.82,129.84,18.58, , ,195.84,168.65,144.11,112.21,97.81,59.27,71.90,246.54,131.23,171.14,276.28,74.61
 , ,91.13,214.35,277.31,156.86,33.85,229.87,297.52,165.28,92.42,10.28,142.90, , ,264.19,176.52,92.63,218.93,196.86, , , ,7.61
215.39, ,89.65,192.21, ,125.85,82.47,118.49,100.36,114.57,148.23,226.08,154.86,107.12,210.84,254.08,54.44,75.17,165.79,64.41,219.28,26.39,215.98,126.83
141.79,44.17,282.43,175.06,1.00,276.37,208.13,214.78,122.40,161.15,199.19,231.92,106.99,91.87,187.51,26.85,140.58,81.13,102.59,259.39,120.53,19.72,251.64,117.55
150.50,130.40,247.53,95.01,217.24,155.99,12.04,203.75,115.24,122.51,16.31,97.62,42.81,60.01,64.01,108.66,65.84,143.55,240.98,290.06,97.76,55.97,20.00,180.71
274.66,38.67,215.86,106.83,47.73,192.70,101.57,191.88,110.29,130.30,65.97,112.50,267.70,191.26,238.99,131.69,233.26,47.92,93.49,34.08,189.32,19.22,187.79,272.22
