Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115,Col116,Col117,Col118,Col119,Col120,Col121,Col122,Col123,Col124,Col125,Col126,Col127,Col128,Col129,Col130,Col131,Col132,Col133,Col134
62.51,251.47,279.71,159.38,146.12,137.26,40.03,221.89, ,206.34,48.53,108.26,299.82,47.94,193.89,54.71, ,56.24,132.61,132.78,268.97,180.32,210.91,153.93,175.15,39.14, ,179.22,184.90,225.14,210.39, ,265.10, , ,74.01,57.28,269.79, , ,132.48,70.45,229.41,109.46,245.50,147.77, ,26.81,98.76, ,256.52, ,101.70,292.62,280.93,49.29,85.12,139.66,269.85,111.13, , ,160.95,227.45,82.48,193.40,191.46,137.76,209.84,17.41,18.97,101.87,5.53,267.66, ,237.51, ,152.96,259.52,123.35,228.51,141.22,87.07,113.14,126.45,164.30,225.44,142.21,251.52,214.30,292.92,156.68,162.85,170.98,23.54,9.33,200.16,73.97, ,187.12,9.68,76.37,135.53,295.76,211.15,77.14,136.42,287.01,223.00,271.58,20.20,54.69, ,205.24,153.32,233.34,98.16,141.75,278.97,247.47,12.54,218.95,227.38,129.88,202.09,299.57,146.72,2.14,131.56,165.20,295.85,50.27,241.97,45.71
 ,293.18,5.94,281.71,11.53,278.68,162.90,39.08,251.93,112.49,136.13,236.10,15.73,171.28,276.61,155.45,56.70,260.30,232.78,211.45,202.81,283.82,295.34,176.06,27.47,18.17,8.43,284.62,288.90,133.90,219.20, ,275.90,123.36,70.76,250.00,268.19,298.88,135.47,209.97,49.26,100.91,206.96,197.48,44.08,65.02, ,54.36,248.48,296.01,263.10,237.02,29.58,277.05,212.63,273.44,48.09,96.28,78.93,158.43, ,211.80,205.11, ,77.76,21.77,119.87,135.15,263.04,134.05,228.21,238.91,42.05,73.62,247.94,289.77,162.60,18.17,90.41, ,168.17,88.86,155.27,77.09,36.77,46.22,170.03,215.76, ,202.76,273.28,297.85,257.07,148.35,98.10,177.79,106.94, ,48.88,27.78,280.63,67.80,41.40,119.76,9.51,159.93, ,10.63,191.05,13.10,242.96,278.17,276.39,33.94,133.99, ,259.97, ,27.77,64.18,229.66,275.11,181.27,112.37,282.57,159.62,42.82,106.86,223.32,106.10,13.69,59.67,200.06,294.68
 ,58.86,182.25,168.53,261.48, ,153.39, ,13.01,225.24,83.54,38.91,52.33,180.49,55.83,192.49,147.08,151.13,13.73,286.15,100.01,180.70,101.02,161.44,138.39, ,221.93,268.51,85.25,269.21,20.52,270.16,268.68,70.19,104.20,160.77,203.59,167.16, ,28.87,23.44,130.71,89.18,221.56,248.87,147.12, ,268.72,125.81, ,196.00,191.38,272.80,203.16,45.00, ,73.87,14.05,260.51,30.31,188.65,73.00,55.33,281.65,96.25,261.46,3.46,74.80,46.29,206.19, , ,118.10,121.74,12.63,99.24,206.37, ,279.38,6.48,44.42,175.18,291.99,155.34,133.40,111.76,64.56,83.67,57.35,178.24,167.80,288.73,166.86,161.89,39.38,225.17,198.90,235.68,158.94, , ,249.40,78.38,7.38,70.46,17.23,254.21,209.19, ,76.05,257.65,258.93,147.46,24.92,278.41,106.75,172.18,18.83,177.48,247.68,103.25,56.77,266.61,261.15,37.57,129.10,259.50,121.24,130.75,54.76,61.98,178.59,260.60,174.47
230.20,177.61,134.55,85.40,176.17,10.72,83.75,208.96,227.84,150.20,176.38,167.75,66.46,172.52,243.75,165.13, ,42.74,3.70,292.80,153.29,115.58,123.10,276.00, ,6.20,241.82,221.51,120.94,155.90,15.03,40.45,273.61,222.91,213.29,173.81,53.32,133.74,36.26, ,202.61,102.55,214.20,140.66, ,128.63,99.53,279.32,23.83,49.57,133.93,146.76,281.02,220.90,20.42,203.90, ,176.27,78.92,204.45,114.23,48.22,110.05,273.22,215.71,299.60,60.08,9.20,243.49,288.73,229.69,262.14,105.65,265.78, ,170.23,43.12,152.39,290.81,10.24,259.99,240.45,296.47,131.63, ,40.90,204.64,298.91,17.05,5.20,289.14,153.06,277.20, ,14.22,289.97,265.47,260.85, ,257.32,204.02,255.23,74.64,215.51,26.66, ,31.87,167.25,68.45,243.16,206.26,126.90,281.84,146.18,298.29, ,107.12,221.63,67.51,222.23,69.82,215.57,280.75,115.19,199.41,189.86,282.00, ,178.23,220.94,71.76,242.98,26.35,193.40
133.08,10.92,259.50,31.66,240.56, ,187.27,98.37,63.71,224.37,258.60,113.23,125.20,226.00,58.81,290.38,124.65,158.43,139.55,272.40,58.80,69.60,197.06,23.20,248.34,153.06, ,266.29,126.21,115.96,57.56,213.56,232.18,63.49,233.16,145.32,240.52,49.73,177.40,209.79, ,157.35,72.97,257.53,284.57,78.88,13.84,121.31, ,214.93,291.51,164.12,128.22,117.17,291.23,95.64,132.75,58.37,34.64,81.52,201.29,76.45,51.64, ,270.55,145.29,72.96,117.06,121.59,26.95, ,21.53,113.95,56.85, ,91.49,59.78,290.33,165.50,149.22,29.73, ,175.01,282.77,189.77,289.98, ,289.51,241.03,138.34,141.54,73.57,99.69,22.08,230.93,189.39,15.93,199.92,94.13,208.51,162.40,252.49,20.56,298.26,26.70,56.90,147.25, ,246.94,123.34,194.75,226.35,26.85,174.83,239.60,161.11,9.86, , ,282.73,281.98,123.32,1.22,265.83,92.82,95.50,249.72,227.08,265.15,21.53,206.53,287.45,163.25,29.80
281.04,114.47,256.85,81.60,229.35,89.76,260.18,238.33,175.51,85.97,119.35,280.64,68.63,93.50,265.40,249.73,135.83,209.46,1.99,50.76,38.47,253.51, ,191.84,201.28, ,41.94,102.03,202.47,290.67,102.53,119.28,202.52,116.46,47.79,103.03,49.79,239.07,140.16,195.13,166.12,43.26,128.99,230.64, ,221.31,118.47, ,170.73, ,287.19,149.61,294.90,155.42,187.23,276.57,53.84,18.18, ,226.24,213.84, ,229.78,194.11, ,40.82,35.47,206.17,292.25,222.25,167.22,127.64,35.22,79.78, ,86.01,224.12,42.91,87.91,159.17,20.94,22.85,150.20, ,77.54,157.89,98.15,58.45,51.05,205.49,154.19,216.83,127.49,26.16,225.97,67.65,19.79, ,259.71,96.33,110.12,263.69,52.22,168.36,39.85,183.50,116.22,87.50,214.36,125.64,151.54,190.48,144.27,290.37,105.44,209.79,40.77,25.48, ,193.84, ,155.88,72.80,41.36,71.58,85.87,78.56,21.70,296.94,41.90,269.96,74.01,62.90,53.23
207.76,282.22, ,138.10,190.43,274.61,181.78,136.60,8.89,100.70,70.95,19.83,236.64,132.26, ,247.04,18.44,85.13,133.56,138.77,93.19,41.43,130.74,280.52,280.65,10.44,125.47,278.41,213.77,15.99,75.63, ,94.07,284.91,251.39,233.51,280.85,59.63,13.22,105.29,12.05,233.40,285.29,249.03,124.29,185.01,170.23,54.23,265.87,59.05,226.80,235.46,175.02,32.42,26.49,111.20,297.52,9.17,255.12, ,79.41,36.85,223.04,288.09,150.75,246.39,254.03,3.47,113.97,194.10, ,31.81,63.60,158.00,12.15, ,163.98,83.78,126.38,85.71,194.16,141.70,4.46,79.50, ,193.46,151.50,31.56,9.07,212.64,167.93,280.18,88.77,282.69,299.09,75.30,183.67, ,24.22,50.99,24.16,297.18,159.90, ,43.21, ,255.85,25.32,49.17,269.40,206.92,220.97,34.29,80.09,289.80,62.28,208.03,49.19,117.10,98.07, ,299.98,208.15,62.03,118.13,58.19,193.17,260.98,51.47,169.68,285.31, ,26.11,246.25
87.25,284.39,242.67,185.30,144.85,41.41, ,27.66,112.41,9.00,10.43,68.90,158.00,154.11,80.32, ,155.62,27.41,8.71,76.71,249.46,148.27,155.19,18.53,33.08,156.01,249.79,175.37,74.49,284.01,9.91, ,165.53,83.76,152.25,82.24,3.30,194.52,158.99,12.70,148.27,162.01,201.85,130.10,152.98,15.77,69.59,1.63,179.47,240.66,139.23,77.98,26.69,136.70,87.69,191.68,101.46,190.69,132.19,35.07,80.48,230.45,86.76,85.19,17.48,297.96,48.74,299.24,48.44,261.12,285.34,72.08,206.50,90.11,283.56,23.86,176.01,214.11,186.40,229.01, ,226.97,73.89,59.84,51.34,110.45,181.11,259.55,169.74,58.01, ,183.19,269.91, ,184.02,73.01, ,276.90,177.95,282.36,97.33,232.19,242.14,174.21,79.21,75.13,200.13,207.40,215.86,142.51,61.34,175.48,115.47,153.14,189.87,174.28,267.19,280.30,226.13,114.72,296.62,6.86,173.42,280.06,91.58,191.75,287.06,97.58,219.60, ,109.47,270.24, ,76.71
262.74,231.47,8.17,267.32,124.84,229.30,230.02,227.48,173.79,188.99, ,108.60,113.04,8.30,14.74,159.98,24.45,23.18,170.99,69.24,76.12,115.32,140.01,108.51, ,23.05,281.35,259.37,153.18,211.73,192.18,96.44,297.89,7.07,130.25,169.04,34.46,131.61,219.03,23.99,277.79,31.57,87.18,162.58,168.38, ,60.56, ,44.44,232.52,145.44,9.85,79.06,93.51,259.79,178.47,193.35,30.82,115.40, ,277.98,84.23,235.17,100.03,189.23,140.94,291.11,250.60,282.77,99.10,254.70,71.91,4.99,269.29,43.57,145.76,145.64,73.84,74.79,289.23,19.54,204.77,33.89, ,16.66,115.33,104.97,282.01, ,210.18,161.87,100.03,275.30,237.63,26.48,223.01,276.43,145.89,253.20,36.57, ,186.84,106.54,11.74,35.27,298.73,105.56,148.04,227.78,50.82, , ,199.93,39.66,281.78,95.67,257.43,58.00,149.87,136.09,253.09,105.30,219.36,204.30,24.06,161.11,108.99,138.11,117.19,151.39,98.63,260.53,12.17,200.33
183.07,23.64, , ,87.98,39.81,194.54,124.36,138.75, ,276.85,154.13,93.66,253.25,213.63,52.90,209.63,115.22,238.58,153.82,39.36, ,31.64,171.20,231.14,89.35,286.80,122.22,125.27,94.67,288.95,218.90,13.61,36.33,72.42,113.47,27.08, , ,269.92,214.73, ,4.08,115.23,291.36,160.97,51.31,55.63,245.87,168.89,13.08,152.13,242.02,27.87,239.34,6.37,1.32,186.25,76.57,41.09, ,202.06,9.44,190.24,174.89,33.61,180.06,106.73,104.18,208.72,38.14, ,95.96,54.43,2.04,283.69, , ,245.18, , ,223.77,49.10,149.58,270.80,110.43, , ,60.37,247.36,103.57,52.33,25.54,289.01,97.49,251.04, ,202.29,145.23,265.99,167.84,206.78,80.11, ,289.33,252.08,174.49,280.02,213.65, ,202.66,78.67, ,121.35,168.11,157.29,4.22, , , , ,54.02,229.32,177.28,280.04,237.04,278.57,265.61,53.36,38.41,246.22,156.00, ,13.29
202.21, ,176.11, ,230.13,218.03,42.35,253.52,36.47,72.69,179.19,240.52,70.85,105.80, ,220.13,253.76,30.80,275.74,166.92,137.04,182.49,74.35,64.03,18.38,241.15,156.80,146.06,44.43,122.18,171.00,103.63,263.14,185.09,41.35,203.34,84.00,288.91,67.74,26.81,30.55,291.66,241.55,203.72, ,25.90,239.26,64.63,31.35, ,270.24,1.12,118.80,259.41,243.47, ,270.29,191.19,104.93,179.80,282.26,10.91,126.77,76.37,14.20,90.47,77.97,264.44,149.68,210.96,293.03,118.03,51.39,201.57,87.76, , ,247.14,78.18,60.07,265.31,262.28,37.60,86.65,291.80,51.60,193.72,140.88,7.95,20.98,48.59,290.89,178.76,257.48,11.94,111.49,91.83,33.02, ,119.68,105.82,183.06,249.73,149.45, ,41.72, ,90.31,136.06,269.96,195.37, ,212.92,63.28,112.17,134.17,215.98,32.01,148.69,221.72,190.04,12.02,165.67,22.08,293.24,226.84,155.34,153.36,192.14,73.00,12.95,230.51,172.79,200.92
3.11,97.86, ,109.88,171.53, ,128.41, ,55.25,262.30,181.00, ,97.65,105.46,10.72,39.52,298.49,204.99,63.09,194.75,112.73,240.48,166.66,40.10,124.14,235.93, ,266.49,46.38, ,156.98,275.73,264.26,136.94,275.82, ,170.57,284.83, , ,56.90,104.72,102.48,266.46,121.19,269.92,2.99,24.55,185.41,48.01,57.99,135.45,89.37,226.99,196.25,138.82,114.79,283.68,115.99,52.90,183.09,104.76,232.50,269.82,50.36,277.54,235.09,66.37,119.00,98.66,129.81,268.40,181.01,161.87, ,214.77,85.30,38.95,170.09,241.21,218.62,265.54,194.13,93.35,197.52,17.24,216.52,181.16,135.73,22.98,35.46,66.92,175.34, ,45.43,33.35,192.76,298.96,186.51,13.08,275.00,122.34,16.30,68.93,212.79,200.40,237.62,112.44,13.49,150.52, ,183.87,85.19, ,4.92,168.79,167.87,117.78,31.55,67.27,11.51,2.64,25.57,50.06,298.64, ,149.17,248.74,214.81, ,6.11,272.07,56.85,18.69
130.15,8.73, ,20.23,153.36,203.04,282.20,92.27,97.35,168.20,274.48,80.03,89.12, ,264.02, ,282.72,125.93,59.11,183.68,200.81,11.48,130.66,144.89,39.42, ,207.62,138.84,68.37,79.74,178.46,63.01,26.48,0.17,172.50,243.12,224.32,263.33,110.82,173.05,296.42,198.12, ,36.96,172.01, , ,238.03,122.28,44.67,112.44,108.17,47.23,60.27,23.34,138.22,261.49,276.77, ,180.81,107.04,52.43, ,111.70,68.07, ,112.74,29.37,277.81,264.08,225.60,61.15,129.69,275.53,18.26,71.74,232.74,274.55, , , ,150.05, , ,205.26,96.34,178.30,86.19,187.27,277.28,207.36,176.84,37.04,280.76,161.90,210.66,204.95,243.95,27.62,121.97,175.30,54.99, ,141.18,67.24, ,268.54,265.78,35.22,74.54,238.93,175.53,83.51,84.69,135.47,2.27,45.20,175.74,231.17,241.37,122.96, , ,286.42,236.89,116.51,37.62,247.86,205.02,293.62,58.84,102.03,86.53,238.67
247.42,17.99,70.75,49.01,232.46,32.34,57.07,180.78,204.28,7.85,160.01, ,218.84,201.06, ,48.29,179.36, ,197.36,159.22,233.51,270.78,110.22,26.01,20.90,163.36,128.55,9.55,71.69,260.58, ,177.67,126.96,16.75,254.39, ,292.70,152.53,103.70, ,129.71,124.51, ,274.05,57.84,208.98,211.99,102.27, ,123.31,104.27,162.73,41.31,51.35,89.92,279.77,118.43,274.48,59.90,216.99,117.50,47.85,112.57,49.29,264.64,180.20,12.65,127.57,280.32, ,70.24, , ,12.18,97.39,79.19,172.10,274.54,265.90,185.26,270.86, ,143.45,216.87,41.30,210.07,223.36,91.86,49.90,129.28,12.15,148.39, ,66.44,29.18,65.31,215.66,32.60,179.62,280.49,72.27,245.79,248.29,185.76,135.79,194.67,112.68,53.37,235.56,125.63,152.16,179.18,227.11, ,106.73,111.94,15.03,88.25,85.15,294.69,9.93,45.21,207.90,268.28,259.84,15.41,240.25,103.77,133.47,139.51,258.31,82.66,88.32,82.26
45.05,24.01,172.16,269.89,93.50,269.84,26.26,277.93,191.61,274.58,97.25,265.28,65.54, ,153.86,111.15,263.90,51.35,60.24,288.77,214.08,110.14,253.21,245.35,287.00,194.29,124.30,277.35,73.93,208.75,244.14,255.13,207.99, ,268.23, ,108.53,142.63,8.57,14.05,15.55,280.97,13.13,218.24,285.14,15.77,219.96,213.79, ,121.77,94.86,8.65,198.53,153.18,58.36,131.25,264.57,293.26,145.43,92.65,83.67,151.68,4.78,191.34,279.53,61.47,103.12,84.92, ,238.10,178.27,250.09,151.68,183.82,227.82,118.75, ,203.57,43.56,26.99,88.24, ,149.71,51.13,165.82,39.74,171.62,291.03,108.57, ,292.38,131.92,287.57,40.74,111.05, ,138.04,187.74,267.22, ,18.35,91.27,297.01,242.75,186.22,23.59,268.55,197.75,290.70,296.11,76.46,115.74,245.20,63.70,102.17, ,120.52,106.46,55.43,134.40, ,198.86,216.79,10.01,267.88,299.85,32.15,71.15, ,16.35,15.97,85.01,121.30,175.54
