Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103
142.59,271.93,121.25,191.43,98.80,278.10,218.18,195.25,263.85,87.30, , , ,219.45,79.64,118.97,268.74,204.84,37.53,82.19,139.15,223.79,138.16,287.84,125.75,226.71,258.27,226.01,241.15,15.65,15.05,83.04,200.22,244.74,235.61,62.74,186.98, ,25.14,132.25,42.79,214.72,261.50,199.51,34.86,269.35,60.02,138.69, ,126.58,241.94,15.48,136.94,291.21,227.60, ,215.61,116.84,224.53,224.04,32.03,169.01,14.55,105.35,272.84, ,261.39,42.01,56.15,179.33,160.32, ,273.93,206.66,152.86,169.11,255.24,35.80,202.52,53.28,203.60,117.41,287.51,225.43, ,104.39,272.41,250.63,238.64,134.69,126.03,198.51,221.13,238.73,2.18,98.66,192.69,127.46,112.28,1.55,221.39,220.36,70.64
121.82,144.16,38.68,222.40,173.13,36.85,188.91,100.95,49.07, ,176.53,224.63,71.30,94.26,221.64,247.88,109.88,236.79,295.84,288.80,80.12,269.88, ,8.91,8.81,286.58,234.51,45.79,127.64,201.65,268.70,252.76,299.58,298.12,205.75,54.78,285.23,108.67,208.36,170.15, ,156.73,110.06,84.11,40.71,119.09, ,8.79,161.21,208.26,74.36,64.43,252.80,16.25,226.87,179.03,141.78,253.76,164.64,264.22,207.53,201.18,195.28,251.47,218.35,215.81,273.74,121.85,29.90,288.00,62.71,53.79,221.62,84.60,174.37,168.35,144.22,35.02,279.50,95.98,146.22,190.55,292.03,46.51,150.49,278.70, ,32.49,123.17,202.30,214.41,77.79,95.34,31.33,126.81,230.82,164.05,215.20,234.64, ,256.57,65.03,291.29
267.76,89.75,11.29,222.20,76.97, ,224.29, ,51.10,123.40, ,66.01,115.74,218.54,257.22,211.29,287.91,160.26,267.62,108.19,90.26,43.78,128.35,258.61,19.17,144.34,58.01,85.86, ,4.39,168.22,231.29,288.93,220.97,76.79, ,43.60,264.62,188.05,55.45,113.91,72.95,169.54,168.60,4.70,259.79,247.81,255.99,249.73,229.49,141.93,229.58,197.78,272.91,287.18,232.49,102.98,59.34,136.39,227.91,7.54, ,255.35,121.77,98.24,193.36,28.86,63.38,109.65,187.30,244.76, ,45.85,133.41,291.17,33.14,110.89,106.79,296.02,98.44,53.53,153.25,14.22,250.71,174.78,115.91,153.06,198.24,50.22, ,41.39,37.25,112.33,67.25,73.95,187.44,76.08,187.09, ,252.22,115.64,122.43,197.26
263.12,174.41,127.14, ,128.58,15.20,293.70,29.91,105.00,101.49,90.17, ,277.20,58.63,67.80,24.39,156.55, ,30.96,187.68,55.59,125.26,257.18,153.24, ,258.24,288.10,294.62,283.82,217.48,64.66,223.50,250.33,76.57,111.00,198.56,133.01,145.74,172.00,57.03,151.31,63.54,154.59,116.09,29.98,180.85, ,104.35,269.17,260.25,295.40,178.61,170.68,161.63,265.43,131.50,277.65,188.06,1.35,233.14,276.19,20.61,285.55,254.51,9.35,234.77,252.44,20.64,206.80,197.60,8.60,296.75,175.87,103.30, ,36.44,107.21,37.59,288.70,132.56, , ,178.19,299.77,197.28,198.36,20.50,88.15,67.34, ,252.14, ,83.17,119.69,217.31,68.42,19.83,149.43,248.30,68.37,19.17,70.97,45.21
 ,133.36,55.46,66.54, , ,90.77,288.93,216.94,49.57,166.04,272.37, ,299.98,146.92,91.79, ,137.00,224.81,150.41,178.13,287.87, ,78.64,75.12,180.18,109.36,87.37,275.49,258.75,271.27,294.63,23.55, ,32.89,170.43, ,48.56,124.26,186.44,275.41,262.69, , ,158.71,131.94,115.39,109.67,196.35,149.72, , , ,191.73, ,28.12, ,152.38,122.78,256.35,17.97,267.23,270.65,221.95,52.88,214.53,209.00,289.26,54.44,81.69,259.26, ,228.03,126.67,276.91,165.33, ,277.27,289.93,265.98,52.78,224.52,158.39,286.13,262.42,186.69,286.74,261.89,73.98,87.69,92.93,148.28,169.56,182.67,73.48,71.37,167.50,93.57,129.42,173.54,120.27, ,107.01
97.83,280.16,155.72,6.77, ,160.95, ,43.61,10.43,225.78,59.76,230.27,51.09,259.19,130.25,278.86, ,76.69,205.76,161.02,297.30,280.26,281.30,201.86,227.65,61.50,153.88,294.62,34.27, ,177.19,218.14,72.11,232.75,49.49,238.42,220.58,198.62,206.10,280.69,43.48,103.32,228.69, ,168.22,107.03,297.96, ,154.01,128.81,91.38,10.04,96.66,254.59,9.45,111.11,202.51,64.95,262.41,92.33,161.86,171.88,211.04,213.88,127.73,151.82,220.99,248.92,92.48, ,101.93,124.03,266.72,157.03,241.03, , ,12.53,177.75,189.01,155.21,119.23,105.89,118.89,287.27,60.23,149.47,254.98,254.24,252.12, ,193.14, , ,274.47,76.76,126.11,71.02,187.49,186.07,87.81,213.11,214.04
 ,76.21,47.31,280.57,141.72,192.58,133.96,78.13,168.35,197.17, ,277.35, ,163.42,121.69,263.06,231.27,119.85,125.81,37.93,166.60,281.20,283.30,150.77,186.22,55.36,255.74,60.74,154.20,129.80,241.39,21.93,159.79,180.15,8.95,91.97,97.72,234.73,188.33,142.45,104.63,157.93,18.13,140.22,142.84,148.22,62.86,256.89,11.93,208.26,55.12,196.43,73.40,233.86,216.66,36.28,274.12,81.65,112.89,164.58,191.88,39.95, ,296.85,194.87, ,215.75,85.88,41.85,243.33,121.01,52.01,181.27,51.50,18.37,184.79, ,76.66,160.06,78.69,208.80,290.79,189.31,80.34,221.64,244.81,60.63,249.35, ,275.48,248.98, ,133.77,253.91,72.55,241.84,270.88, ,261.67, ,141.47,15.59,165.06
260.46,65.19, ,51.25,113.03,179.14,134.00,200.75,128.49,286.27,285.60,104.53,282.00,88.73,134.22,72.49,112.30,159.81,141.79,207.40,211.28,201.66, ,102.40,270.97,75.97,102.72, , ,194.88,138.71,8.08,174.82,102.85,262.50,14.79, ,269.61, ,171.27, , ,219.83,90.80,183.05,208.68,243.50, ,82.21,120.21,80.71, ,253.71,0.57,58.96,238.11,151.83,273.91,83.05,45.56,189.54,67.37,166.87, ,279.00,107.68, ,188.39,41.47,207.51,110.59,74.97,110.26,158.08,40.01, ,85.57,167.46,182.35,181.04, ,160.04,275.16,152.15,281.35,5.64,235.66,155.31,164.94,237.44,49.74,264.15,63.01,195.12,261.48,258.22,28.29, ,3.45,293.15,58.85,172.64,122.43
103.02,153.82,70.51,118.33,140.98,110.96,41.11,181.59,146.37,230.20,177.28,42.13,100.65, ,273.30,179.64,151.70,115.99,83.22,38.62,133.81, ,53.92,130.28,127.64,271.79,241.28, , ,19.51,84.40,65.45,256.35,284.78,143.62,52.28,243.70, ,128.31,24.17,255.86,181.68,231.47,173.78,231.03,100.05,241.59,88.64,133.11,59.46,259.88,154.46,208.23,66.59,163.48,90.57,50.44,51.84,211.78,62.45,82.82,166.00,39.26,99.08,70.90,274.55,123.06,127.11,166.91,67.82,284.46,149.73,130.65, ,42.43,79.27,210.01,51.24,281.03,33.49,76.77,127.95,15.08,234.67,123.87,114.19,112.83, ,147.74,205.56,145.66,243.83,242.76,82.13,166.62,210.66,164.77,147.97,117.76,206.99, ,35.36,83.06
 ,87.05,54.15,160.49, ,104.32,268.12,12.84,156.53,55.96,265.62,24.53,276.40,144.93,58.26,118.87,28.48,228.38,123.94,184.90,246.36,254.46,279.12, ,135.66,115.73,33.77,36.74,250.77,116.64,224.45,210.18,25.41,294.15,103.91,234.71,161.49, ,75.97,49.43,38.71, , ,151.37,87.65, ,253.85,267.93,236.65,244.07,158.08,11.88,153.36,89.65,170.52,90.83,221.21,112.28,178.07,190.16,250.85,280.54, , ,83.00,126.59,151.68,265.30,246.66,110.15,133.52,208.07,54.24,150.94,168.08, ,58.24,280.58,113.46,24.46,268.28,188.52,65.76,260.66,119.85,39.48,212.84,64.22,74.39,288.12,61.58,270.64,150.04, , ,136.51,25.43,129.85,100.15,87.15,124.94,140.12, 
52.96,127.37,258.96,178.27,82.45,170.53,45.44, ,8.94,9.37, , ,248.33,34.83,224.00,242.47,24.19,117.08,132.98,167.72,185.50,236.30,238.13,126.34,232.18,18.14, ,81.18,117.98,115.59,168.37,95.93, , ,49.57,234.52,76.01, ,143.62,23.19,163.25, ,95.43,159.76,154.45,117.73,185.32,125.89, ,221.82, , ,35.75,257.87,192.53,34.84,70.90,117.89,207.55,29.57,119.27,46.80, ,19.23,117.60, , ,66.94,234.49, ,51.01,113.69,94.39,279.68,206.56,99.44,57.08, ,176.35,53.26,79.83,182.08,217.61,223.70,166.69,74.84,209.20,1.54,217.39,132.42,56.63,182.13,287.06,177.19,206.69,99.97, ,282.05,220.56,107.65,30.04,279.95,175.04
 ,27.77,69.49,103.03,90.17,296.85,296.30,240.65,104.50,189.51,22.67,28.01,181.11,216.06,213.06,21.98,53.36,36.35,209.94,248.96,124.54,77.35, ,18.00, ,58.62,31.79,286.80,267.31, ,183.36,205.97,36.84,70.66,258.34,296.54,142.46,222.27,74.01,208.11,66.93,150.63,164.25,267.07,199.23,216.96,149.83,99.90, ,170.56,3.25,269.79,206.53,23.24,40.45, ,132.46,35.37,113.54,215.02,123.66,215.58, ,65.41,296.75,208.46,225.32,231.37,12.69,161.56,132.70, ,35.60, , ,17.58,270.58,129.70,46.85,134.86,110.69,240.45,206.87,288.08,39.13, ,177.03,167.19,246.77,45.32,205.01,298.83, ,231.43, ,278.28,15.98,239.77,162.43,221.25,290.60,9.31,171.09
218.56,196.06,7.76,146.58,57.67, ,144.55,250.68,55.13,41.64,19.53,139.53,277.28,12.65,119.02,188.20,105.01, ,270.34, , , ,200.46, ,45.01,264.56,94.31,112.32,63.85,210.95,145.62, ,162.73,285.00,145.04,277.41,60.35,189.24,58.67,139.61,134.71,37.12,273.10,17.70,145.30,255.47,31.67,29.75,115.82,245.32,104.76,7.30,134.39,42.38,286.23,265.62,60.78,26.33,84.19,78.39,230.08,160.69,9.99,156.15,205.20,86.66,24.20,175.07,290.50,51.65,99.44,97.68,20.01,194.09,168.03, ,98.11,194.39,16.33,216.01, ,17.48,299.98,22.76,200.26,92.51,290.00,269.18,52.16,211.68,93.41,218.74,177.82,21.49,241.42,153.70,96.34,12.36,212.85,271.38,48.39,65.03,255.83
126.06,23.41, ,116.82,172.99,295.27,265.42,39.50,86.65,168.08,135.42,170.68,235.79,218.94,48.82, ,83.03,263.50,121.13,223.26,90.75,233.85,132.60,228.33, ,51.39,211.29,36.83, ,272.62,276.29,114.58, ,197.61, ,4.06,109.06,76.72,94.51,88.64,177.38,131.45,68.35,42.13,240.71,12.51,189.86,185.62,222.43,202.04,4.74,77.59,133.42,13.61,164.89,155.05,119.21,173.12,190.37,142.72,39.35,44.41,144.04,233.64,43.46,5.91, ,83.49,175.20,175.60,102.69,258.18,97.05,18.08,135.05,127.32, ,282.55,201.88,240.57,193.05,271.19,32.23,282.46,188.17,69.83,22.95,249.48,144.73, ,129.34,119.32,295.33,239.21,293.88,246.44,258.86,100.58,262.70,140.27,1.72, ,293.02
 ,242.50,119.16, ,248.49,256.72,161.18,144.37,42.59,113.49,169.03,272.57,6.66,167.12,87.84,90.34,11.15,23.36,183.93,99.95,25.87,37.58,105.39,54.10,92.12,19.96,211.56,288.00,78.65,81.81, ,172.15,93.93,270.72,120.85,156.43,156.60,290.85, ,172.80,166.47,265.36,226.08,178.96,95.13,69.20,124.10,49.09,245.91,42.17,106.86,158.83,29.51,50.99,90.42,170.92,188.72,143.33,13.19,28.87,279.90,285.26,250.05,175.45,20.36, ,127.22,57.17,120.04,238.35,219.53,64.13,50.86,19.76,213.60,194.52,21.95,7.19,242.63, ,138.58,219.03,189.12,94.10,129.60,14.82,142.74,86.93,227.82,38.92,200.94,287.99,102.93,230.05,223.20,230.28, ,149.31,222.60,192.82,288.47,13.89,258.77
98.20,118.67,16.86,286.48,200.13,200.76,139.39,103.90,59.92,144.45,264.40,68.11,66.12,273.25,67.85, ,166.06,89.54,226.81,238.08,201.80,225.41, , ,186.40,114.96, ,24.20,9.28, ,75.40,146.94,216.74,126.28, ,215.82,215.72,272.48,119.30,165.77,106.70,88.20,35.78,146.70,156.77,152.29,231.39,177.41,217.92,213.09,245.28, ,161.00,7.60,165.70,267.15,234.20,155.71,223.75,285.37,152.76,136.02,72.74,60.64,55.11,72.63,262.29, ,123.29,98.56, ,226.06,181.15, , ,298.92,32.84,287.24, ,123.26,198.40,129.47,15.57,130.58,108.76,162.36, ,260.92,93.70,48.52,47.22,11.70,131.81,30.44,230.15,242.31,54.49,128.45, ,274.93,289.73,275.14,15.75
113.00,48.90,220.98,47.20,35.44, ,79.99,0.14,279.88,9.12,145.22,146.81, ,89.83,196.20,205.37,20.16,84.42, ,5.40,65.55,128.25,235.77,282.68,218.38,178.36,296.94,65.07,87.13,233.59,73.79,45.78, ,64.15,87.78,75.56,148.05, ,6.95,217.07,1.91,252.20,62.95, ,128.02,290.98,26.49,79.40,177.17,43.77,135.30,23.83,12.13,41.10,178.83,238.04,109.02,120.66,136.44,193.15,162.70,270.07,15.53,214.24,114.60,134.03,89.55,160.76,29.74,122.65,8.97,77.02,134.17,107.29,267.48,235.07,184.57,19.38,254.60,92.81,191.63,19.11,84.70,82.87,81.73,22.99,266.19,208.69, ,15.97,265.18,6.05,200.98,114.76,165.79,193.90,240.02,254.11,205.43,4.07,215.71,42.86,175.77
215.09,140.58,47.12,247.48,201.13,264.35,249.55,64.27,65.14,264.19,225.48,153.23,189.49,139.13,75.34,75.23,291.04,221.51,21.56,91.32,17.45,238.57,185.81,110.45,7.12,270.20,244.25,162.15,192.36,66.09,16.17,258.14,57.11, ,78.67,136.68, ,192.35,33.08,242.77, ,249.88, ,182.48,122.73, ,15.09,62.25,62.07,240.94,260.67,114.64,169.23,40.71,143.68,268.39,223.41,250.96,30.08,55.77,73.00,188.65,146.30,70.89,154.45,277.65,132.42,154.47,43.62, ,187.31,205.35,99.22,60.11,47.35,28.29, ,128.69,171.46,79.38,183.36,254.18,48.96, ,203.43, ,98.62,184.23,230.57,73.66,53.49,295.18,74.46,147.24,63.51,178.14,261.05,76.72,222.51,1.83,29.12,172.74,115.30
102.17,50.36,293.70,222.00,167.71,223.90,199.61,33.65,130.29,139.25,209.92,32.69,237.58,1.84,189.55,167.29, ,217.65,156.71,89.54,189.21,69.49,285.62,237.80,187.19,202.63,142.42,126.89,201.96,56.02,78.25,179.57,36.18,237.50,118.71, ,7.92,107.98,98.66,149.88,52.06, ,146.26,29.05,278.98,161.86,243.29,208.17,10.08,220.08,137.24,274.63,46.71,283.71,186.34,108.66,200.65,113.04,115.83,20.07,73.10,129.81,122.04,139.26, , ,79.71,98.13,295.28,142.01,103.61,127.58,76.72,103.31,75.14,31.85,13.95,277.14,121.35, ,260.61, ,19.95,283.61,65.35,262.91,257.88,235.70,278.80,113.69,202.18,1.25,284.04,38.98,158.96,60.38,120.94,204.75,2.70, ,68.05,221.87,125.13
211.12,267.18,24.29,125.73, ,59.76,65.74, ,224.70,218.73,80.01,170.14,213.12,179.86,225.74, ,50.87,167.70,57.29,285.75,216.96,157.12,96.03,75.46,147.55,173.11,114.55,283.07,296.64,215.30,267.30,234.40,107.13,279.64,193.33,271.01,164.27,87.02,50.97,214.69,197.02,11.46,171.32,47.01,36.10,145.77,279.33,21.57,182.26,250.89,266.61,185.90,50.02,91.18,135.41,299.52,93.66,44.00,5.51,132.94,53.32,45.01,58.88,119.12,67.80,16.75,291.91,165.29, ,256.47,10.97,142.44,56.00,87.39,158.94,153.92,231.72,245.56,191.51, ,132.66,153.51, , , ,279.65, ,236.12,238.59,172.72,254.46,69.38, ,247.78,85.63, ,31.20,153.49,227.38,123.29,135.56,226.31,217.31
115.23,143.94,51.89, ,6.34,105.17,227.90,111.12,232.46,44.73, ,88.07,212.75,84.60,149.02,235.92,124.57,219.75,104.96,285.18,277.98,245.93,255.90,70.88,231.34, ,7.67,102.24,283.32,95.98, ,106.89,228.94,18.69,199.98,120.33,264.41,213.16,58.07,209.22,138.49, ,152.65, ,254.88,26.84,255.60,131.10,26.02,293.96,208.72,168.36,79.10,127.35,43.10,161.31,14.37,92.87,152.44,30.82,100.72,75.80,116.13,118.81, ,112.76,175.65,55.21,85.79,32.05,231.07,239.35,231.84,276.26, ,217.36, ,18.08,274.71,123.75,193.20,148.54,152.74,12.66,228.89,95.91,176.49,178.41,210.37,54.99,29.39,103.99,45.48,286.97,196.47,201.79, ,50.34,229.34,108.28,3.42,233.19, 
260.18,199.06,253.01,57.18,100.62, ,146.10, ,166.29,59.43,269.37,118.42,65.37,173.27,196.37,135.85,163.22,3.49,266.57,16.34,238.89,184.91,263.06,149.36,47.86,197.42,44.82,82.22,208.79,12.85,35.50,265.88,244.72, ,211.29,277.33,164.76,119.94,57.35,214.76,35.96,84.12,168.37,135.41,8.74,291.42,126.40,79.78,84.83,286.11,275.01,231.15, ,51.10,115.09, ,1.78,243.49,128.34,185.85,90.43,54.65, ,181.05,88.27,6.79,192.28,112.42,234.07,213.47,157.38,24.36,30.34,220.80,227.85,2.09,123.09,246.25, ,127.30,293.45,133.69,225.75,243.29,70.67,294.95,52.86, , , ,179.71,170.09,283.65,299.15,68.87,11.68,72.70,267.50,272.27,31.91,41.65,179.54, 
235.38,131.83,20.18, ,271.16,2.85,227.95,61.55,247.40,270.88,211.80,126.25,36.74,292.94,271.54,15.53, ,5.52,123.44,97.38,296.86,21.58,81.10,13.22,270.98,48.80,298.25,117.33,23.93,175.26,247.03,117.85,155.60,238.61,149.07,297.77,189.14,97.60,42.93,48.17,197.28, ,195.53,122.31,108.09,253.12,44.83, ,71.74,151.63,135.51,46.33,146.63,152.64,205.72,55.06, ,252.34,214.46,135.03,225.73, ,178.84,179.40,181.77,36.17,261.48,34.09,4.97,243.29,124.96,53.17,102.90,132.37,177.10,288.79,205.97, ,84.81, ,264.52,178.98,0.59, , ,148.28, ,91.56,40.38,88.11,43.46,52.77,227.86,186.02,238.98,190.16, ,118.00,170.55,289.00,137.45,205.83,38.71
