Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92
45.51,205.88, ,26.24,195.59,76.63,88.90, ,157.95,266.15,16.17, ,169.40,108.64,181.08,233.18,16.95,103.05,91.59, ,117.84,131.27,233.88,226.69,140.84, , ,204.08,30.48,142.37, , ,170.79,96.17, ,281.88, ,73.47,79.46,223.37,29.10,28.65,0.85,40.43,276.49,230.62,12.10, , ,189.71,118.80,77.81,82.20,41.30,141.13,124.78,84.21,43.89,153.09, ,10.73,199.72,88.71,248.95,6.75,158.94,252.87, ,257.90,190.09,238.72,108.77,287.73,7.44,288.57,140.27,171.26,122.59,160.46,57.06,102.85,288.62,144.00,196.59,12.80,101.09, ,209.86,105.63,22.47,91.41, 
14.28,49.26,162.38,232.98,39.40,110.57,296.63,137.64, ,150.44,157.54,97.79,116.99, ,139.46,261.65, ,275.93,67.44,239.10, ,158.54,81.60,44.58,223.67,271.46,32.65,137.67,49.15,251.61,75.31,293.24,113.53, ,190.26,125.69,56.03,287.90,253.07,167.51,140.92, ,271.64,133.41,139.66,61.23,128.21,290.54,270.23,67.95,290.36,231.64, ,141.98, ,1.81,240.16,213.33,180.79,154.86,56.68,166.29,93.05,211.84,207.91,85.75,61.82, ,293.46,240.09,28.97, ,101.38,143.30,5.10, ,159.95,256.37,204.57,247.52,286.11,106.99,116.86,230.00,145.35,219.72,58.89,98.19,50.07,39.44,56.19,264.47
 ,220.84,6.38,18.14,281.22,12.45,166.11,79.40,240.65, , ,61.73,124.28,277.55,297.31,231.56, , ,162.64,218.33,222.75,74.48,285.72,53.37,182.24,210.92, ,189.72,197.35,273.27,94.76,152.52,24.61,123.18, ,261.07,264.80,53.02,281.67,208.98,298.93,181.12,232.11, ,211.90,189.72,31.51,44.72,183.25,154.05, ,182.58,141.83,262.04,197.24,137.29,53.76,47.67,166.60,65.02,191.69,61.35,240.09,28.09,127.21,47.09,176.94,101.16,77.06,213.63,6.91,80.52,187.14,295.55,107.97,225.38,269.16,283.03,230.69,102.28,108.53,191.56,79.05, ,156.12,217.88,62.83, ,123.51, ,119.06,147.10
135.06,148.79,129.79, ,140.90,110.38,9.69,234.91,294.65,244.86,157.04,113.41,286.22,281.78,55.97, ,235.61,19.21,148.31, ,200.79,2.75, ,12.44,240.21,195.08,287.86,279.82,129.17,132.73,65.88,137.48,210.57,277.76,133.89,101.90,95.85,19.35,38.96,290.18,38.84,153.12,121.96,259.26,17.43,165.13,12.93,141.74,49.29,3.93,213.62,264.88, ,284.23,113.43,91.81,15.27,245.72,99.03, ,50.15,93.22,179.39, ,21.13,267.17,33.58,54.25,115.24,213.87,165.35,75.90,119.91,234.23,133.13,144.28,83.41, ,298.69,33.73,140.89,183.75,96.96,35.77,149.35,150.24,264.84,24.72,297.45,156.23,249.02,207.36
272.90,10.97,267.48,188.17,108.09,89.89,106.02,141.41, ,291.65,189.99,228.91,184.72, ,57.79,247.58,37.38,216.64, , ,129.34,17.00,256.99,199.45,65.25,288.87,4.18,92.89,77.01,172.63,46.67,267.56,48.83,280.51,11.35,248.71,105.57,228.86,29.59,0.70, ,289.57,3.62,60.47,194.53,164.16,175.97,182.55, ,187.50,108.90,256.04,39.53,23.31,124.18,96.69,147.74,114.46,99.75,175.78,126.50,255.45,181.05,224.03,193.46,201.99,10.37,59.96,219.65,18.29,136.18,168.71,211.11,99.25,215.14,102.16,83.13,129.07,146.72,282.90,266.83,66.07,36.39,127.70,60.77,287.46,176.29,211.16,10.40,117.85, ,90.26
50.65,48.94,163.36,11.09,214.37,83.89,77.85,38.85,153.00,72.49,24.49,177.44,139.74,10.53,216.83,195.51, ,101.62, ,205.15, ,119.52,76.63,246.86,120.46,251.89,32.19,227.59,61.10,187.90,136.75,250.88,224.22,278.07,260.04,230.99,64.72, ,141.34,72.37,252.57,192.13,64.26,83.27,136.89, ,170.94,29.03,138.68,96.50,279.09,188.73,13.04,260.59,94.79,210.93,45.28,227.15,7.27,284.22,139.83,120.01,239.93,132.60,102.29,195.36,285.63,291.46,37.53,137.23,44.76,167.34,291.16,291.00,97.43,118.12,168.93,248.03,87.17,187.46,9.72,270.83,166.90,165.72,171.86,132.66,271.03,272.50,139.34,16.73,69.60,134.01
48.73,71.94,39.56,297.37,30.81, ,3.95,101.39,3.83,154.71,269.84,144.98,102.19, ,8.04,32.12, ,80.85,293.37,150.16,221.72,78.21,209.38,175.55,104.21,9.58,51.87,221.77,198.10,194.65,32.01,165.64,183.46,284.64,170.83,224.24,108.51,136.13, ,11.68,188.83,38.25,242.93,69.52,215.77,34.43,125.49, ,299.54,161.42,56.77,118.98,124.80,283.45,245.39,272.61,256.90, , ,106.60,174.17,245.76,280.82, ,277.29,92.69,71.39,213.99,195.86,228.44,178.45,68.74,161.97,203.42,153.71,251.78,4.76,94.70,79.47, ,106.18,179.70,138.49,140.98,164.26,100.20,273.85,27.36,176.45,299.87,9.81,96.49
242.20,102.96,292.78,46.07,180.19,125.34, ,266.32,175.95,19.05,94.29,52.28,107.17,49.60,218.19,48.37,229.24, ,1.50,229.97,53.40,273.34,128.84,145.06,160.97, ,185.90,297.46,109.53,146.56,56.51,146.16,291.19,66.55,76.90,250.56,74.40,97.81,189.56, ,237.25,63.72,129.71, ,67.89,106.10,92.16,279.20,267.48,13.71,290.98,55.03,215.08,2.26,82.58, ,180.79,39.54,133.07, ,134.54,1.05,151.60,103.24,31.53,101.19,209.71,49.44,285.24,0.01,253.79,167.44,9.57,106.69,36.56,166.19,166.20,67.31, ,295.92,88.20,41.38,44.38,50.50,257.72,171.95,92.74,262.61,217.24, ,272.60,194.52
130.09,295.27,12.40, ,184.35,164.32,149.86,226.48,170.76,126.50,258.52,213.20,178.14,124.72,179.92,45.26, ,208.85,145.47,110.85,105.60,126.20,17.82,231.97,205.12,214.11,231.77,55.20,16.83,130.64,169.02,212.84,112.31,299.23,42.94,219.67,278.03,154.02,80.22,83.47, ,297.59,291.02,182.54,153.11,127.59,40.66,233.51,296.33,126.38,98.14,173.79,214.48, ,112.42, ,9.34,109.81,250.72,260.07,164.74,74.16,139.97,223.19,142.50,286.24,292.81,255.83,227.98,149.74,108.81, ,178.57,211.31, ,249.33,14.63,39.90,60.69,18.50,4.65,141.44,272.14,214.04,148.09,257.96,184.69,246.87,245.34,278.64,168.42,213.02
19.79,202.06,117.52,127.41,198.61,119.63,69.52,98.72,175.69,215.45,123.45,127.71,234.71,115.88,34.31,286.17,281.82,134.58,108.80, ,7.42,41.13, ,74.80,217.96,33.57,10.87,295.73,225.81,244.92,33.57,70.60,33.32,207.98,151.75,129.88,24.20,114.38,61.05,179.26, ,212.83,150.55,108.15,295.67,234.04,72.16,107.96,246.59,299.89,12.12,244.38,40.88,199.75,66.14,122.51,228.60,157.59, ,265.74,100.86,2.32,76.50,246.19,162.18,168.29,118.68,221.05, ,226.13,169.09,192.73,37.43,26.93,200.49,160.76,232.98,271.08,241.59,17.40,48.84,278.28,242.64,246.56,89.08,250.50,164.97,249.76,264.57,97.42,108.82,133.82
123.26,113.01,291.57,174.84,254.37,65.92,16.36,43.70,185.18, ,50.15,13.37,102.01, ,267.06,8.13,140.68,205.79,196.25,84.09,237.76, ,3.68, ,16.16,45.99,273.37,251.48,122.97,212.81,253.99,211.91,214.77,14.25,45.20, ,224.29,173.83,22.40,3.52,261.69,293.44,68.27,191.26, ,98.46,68.48,121.35,181.82, ,196.07,176.70,141.64,231.44, ,253.84,109.27,83.74,252.52, ,80.82,106.09,98.12,199.83, ,55.14,281.57,34.56,63.35,193.84,229.92,270.08,31.36,142.84,41.33,223.49,176.19,177.67,21.27,207.37,247.23,116.42,149.16,281.01,149.46,76.84,84.16,263.14,126.27, , ,201.35
 ,77.54,116.84,98.53,292.45,65.85,192.88,104.12,275.66,193.31,93.47,234.67,235.84,266.66,280.80, ,134.90,20.72,190.28,10.69,98.24,74.75,280.03,157.33,228.18, , ,74.57,161.82,286.26,154.77,93.39,18.33,74.66, ,88.84,203.04,85.90,201.27,189.69,9.18,266.77,15.95, ,100.28,1.62,118.14,38.94,192.83,208.99,266.83,56.33,262.46,29.77,26.59,212.06,200.38,31.95,280.30,279.54,95.83, ,213.97,206.05,30.38,34.49,230.14,54.19,56.37,203.78,206.09,290.80,295.36,3.22,235.45,177.57,232.04,183.14,296.28,271.52,52.50,24.52,99.91,156.65, ,60.43,164.31,225.82,150.77,138.80,116.42,226.37
207.05,15.58,81.37, ,108.03,30.58,139.90,211.26,286.77,56.98,33.78,147.62,63.15,8.16,145.01,293.10,296.31,122.69,125.49, ,144.63,258.37,228.56,188.49,69.29,5.07,123.05,262.93,20.04,66.22,28.27,152.52,151.78,115.57,162.28, , ,214.32,137.23,55.51,280.18,294.23, , ,292.20,154.53,266.53,171.66,76.22,287.68,60.97,285.15,35.77,230.17,144.96,92.98, ,73.15,87.34,291.05,50.60, ,62.83,279.90,181.08,258.66,284.12,272.00,242.90,205.14,257.87,240.46,250.57, ,275.85,182.39,25.54,186.64,295.82,64.59,254.01,188.98,104.83,94.76,151.51,279.23,60.41,265.05,279.90,235.25,119.54,222.64
50.63,229.77,182.21,276.77,115.06,258.97, ,53.74,225.87,273.22,216.68,215.50,282.45,263.18,33.66,160.84,131.45,108.51,152.33,154.67,217.93,247.51,94.78,131.80,157.52,271.11,107.57,102.14,100.74,28.22,146.13,13.14,159.18,155.49,224.52,0.05,30.58,280.27,248.81,146.01,217.10,180.54,3.73,114.68,47.99,238.87,31.96,171.71,73.67,202.65,37.37,140.65,150.27,193.31,232.99,205.42,156.44,174.75,68.64,264.65,132.33,10.75,155.54,55.43,209.67,227.41,160.78,14.98,188.97,110.12,247.61,272.06,101.50,264.23,136.24,286.76, ,297.52,287.95,188.29,89.65,144.57,206.17,110.94,171.86,120.74,88.41,13.66,113.90,32.73,140.34,32.00
232.15,258.44,30.56,108.37,121.20,204.07,276.27,57.00,203.56,61.12,73.89,228.12,46.69, ,187.03,240.49,247.36,96.65,71.46, ,172.39,243.93,70.07,91.48,68.32,4.82,287.02,204.22,266.49,175.98,137.94,115.48, ,156.38,7.46,294.30,100.23,228.65,107.08,268.17, ,263.21,46.60,17.69,165.36,201.72,159.17,232.53,15.80,131.02,78.55,82.90,159.09,291.91,226.99, , ,57.91,100.14,217.38,55.33,102.00,124.08,296.71,235.82,127.71,101.11,125.71, ,284.79,261.43,230.91, ,35.57,6.70,104.93,168.04, ,220.03,153.39, ,278.95,72.00,255.13, ,246.33, ,38.79,28.28,29.57,285.18,294.06
 , ,250.86,53.63,169.23,199.64,52.88,188.40,276.49, ,167.58,185.85,128.65,96.54,234.33,176.79,116.03,80.63,119.53, ,165.78,83.35,81.15,244.00,261.12, ,93.17,202.93,156.33,183.77,223.19,74.83,117.57,268.64,105.88, , ,253.95,157.87,208.25,263.37,255.22,290.87,271.92,27.41,225.38,81.11,29.28,248.55,46.81,45.05,5.36,227.20,100.19,278.67,79.18,186.24, ,177.11,97.82,110.21,296.30, ,144.87,163.13,197.51,10.61,44.18,299.18,219.50,198.84,157.79,238.34,254.15,186.52, ,288.39,235.56, ,276.99,93.23,79.78,189.74,289.53, ,288.71,83.28,118.74,222.93,282.58,228.45,247.85
259.50,4.64,235.52,172.05,50.97,151.85,135.27,221.23,247.07,289.09,275.08,74.59,82.12, ,10.58, ,33.53,143.44,241.13,295.91,151.04,58.70,278.58,86.18,263.16,109.74,63.61,60.07,282.83, ,242.18,281.93,186.30,292.82,269.12,220.37,222.81, ,225.70,34.97,145.63,45.14,250.37,40.19,246.94,152.63, , ,124.24,191.70,107.40, ,179.18,203.65, ,44.65,249.62, ,95.25,84.71,28.12,90.82,140.40,191.20, ,196.60,193.64,259.19,204.45,180.23,284.19,244.78,9.91,108.47,289.65,134.20,214.35,131.10,168.06,144.11,23.99,257.73,129.00,218.68,297.46,274.44,81.12,10.50,113.61,140.52,5.20,143.54
2.38,172.47,219.58,21.22,57.29,161.21,195.87,219.74, ,194.18,259.91,185.49,227.01,191.47,9.67,173.81,168.57,101.69,68.04,60.24,175.56,172.83,235.07,281.59,131.51,3.39,289.17,142.37,193.35,246.45,200.03,132.24,268.72,107.61, ,167.85,227.78,221.20,142.12,271.22,5.42,273.91,136.16,239.22,56.14,298.78,191.58,236.24,270.54,27.53,95.77,161.91,219.63,211.93,13.63,242.68, ,267.31,21.63,254.75,36.96,21.03,99.48,141.99,21.21,88.15, , ,105.73,152.18, ,104.32,75.98,153.02,14.31,267.98,18.62,58.38,187.42,26.01, ,86.62,242.97, ,175.60,8.85,259.51, ,63.83,275.68,149.49,125.15
190.01,231.98,204.96,243.82,184.51,275.22,141.22,145.91,93.80,53.19,212.75,75.18,195.52,87.42,272.89, ,162.90,190.35,264.11,163.12,233.36,108.42,186.24, ,230.59,3.65,295.89,182.83,192.98,121.93,123.36,192.97,257.73,272.08,216.23,40.14,254.30, ,80.09,218.68,85.15,82.20,200.90,196.56,60.43,131.74,211.64,248.12,118.95, ,162.19,82.59,287.88,186.03,24.01,12.12, ,196.10,122.22,212.04,28.52,211.94,108.71,130.86,135.97,217.39,112.00, , ,233.43,180.38,252.98, ,151.57,235.08,52.40,44.41,60.60,283.12,125.59,51.71,242.67,99.81,113.52,130.17, ,59.14,5.66,0.96,163.69,279.72,283.53
40.46,72.39,37.82,182.93, ,65.34,46.48,232.30,210.51,267.86, ,256.11,133.73,239.59,188.20,293.48,231.11,226.43,91.28,296.74,108.75, ,195.93,204.70,248.17,190.71,4.51,172.14,146.05,183.79,117.87,176.44,98.58,218.84, , ,213.23,191.58,40.86, ,299.06,150.01,294.29, ,233.58,92.15,173.36,294.53,63.46,256.23, ,175.07, ,290.50,185.06,289.13,186.62,224.98,84.84,180.59,109.88,153.09,289.91,177.96,17.69,155.42,103.47,148.99,236.53, ,121.59,43.29,208.19, ,94.49,63.12,53.50,89.24,75.03,233.05,63.60, ,219.02,297.88,73.64,11.57,24.24,234.69,180.65,45.64,237.37, 
212.45,89.24,68.70,80.84,117.25,252.48,63.46,9.55,250.78,150.06,3.87,98.60,163.86,117.04,178.85,233.22,87.74,92.99,186.73,158.19,18.27,257.00,262.34, ,293.03,54.30,287.90,166.09,236.51,271.55,30.44,288.33,287.70,48.00,277.67,179.94,62.01,286.69,32.47,276.48,275.31,106.54,89.46,142.90,235.88,146.31,148.88,124.83,165.91,115.13,162.73,173.27,65.19, ,97.66,151.76,242.79,229.70,272.00,48.90,138.21,144.28,12.23,229.35,144.83,263.94,264.91,161.68,24.20,64.93,289.12,245.03, ,174.72,71.22,186.82,215.25,213.47, ,192.39, ,37.22,175.14,16.22,187.31,158.36,270.81,198.07,225.25,286.73,267.91,177.02
 ,92.27,40.61,267.28, ,178.47,112.49,295.84,187.77,34.58,92.10,26.34, ,251.59,179.63,88.08,228.58,64.73,147.70,132.90,38.34,293.45,6.57,4.40,234.83,169.86,279.65,7.30,68.16,90.00,10.45,185.38,120.89,259.89,55.44,83.57,286.87,102.33,124.08,128.72,294.28,39.86,173.84,243.76,6.05, ,16.50,75.17,32.74,215.42, ,8.21,174.50,161.92, , ,83.56,44.90,115.83,51.77,131.92,231.67,29.30,154.46,196.63,273.89,25.42, ,33.64,177.11,222.05,17.26, ,134.50,15.34,37.70,240.00, ,171.67,91.94,162.05,189.75,6.99,297.47,114.27,42.35, ,264.40,77.09,82.83,125.39,161.93
165.27,32.72,273.59,131.75,60.74,268.25,194.17,294.49,256.08,172.77,288.43,104.96,12.28,46.32,282.93,261.68, ,273.86,138.01,61.35,20.45,149.66,186.51,106.20,197.50,96.37,218.51,207.41,60.16,19.42,182.71,17.99,240.27, ,78.27,88.10,272.02, ,83.73,50.75,190.54,120.01,50.70, ,258.11,94.95,31.05,40.61,169.24,101.28,164.49, ,252.58, , ,248.58,299.97,58.34,247.58,177.42,216.87,256.39,7.17,259.54,154.90,27.66,221.83,157.12,1.41,240.61,142.73,254.49, ,12.82,136.10,210.63,108.04,90.78,130.02,296.08,59.96,16.10,38.46,209.72,206.26,80.45,146.49,74.27,40.76,264.25,215.69,111.30
265.59,179.04,40.12,205.12,220.96,31.51,156.10,55.67,126.35,42.84,229.55,28.88,114.54,191.07,56.22,254.31,148.02,219.28, ,124.40,237.21,119.85,282.70,1.11, ,199.63,276.00,197.34,99.48,298.01,42.11,292.94,76.04,129.77,29.10,119.72,83.23,237.29,229.03,29.79,117.25,46.65,58.60,98.13,255.88,148.64,150.36,294.41,282.54,221.72,270.19,129.08,287.77,82.09,180.47,183.22,41.30,90.96, ,189.09,129.74,106.63,135.59,122.13,230.75,283.71, ,25.15,269.92,137.84,229.72,163.89,16.02, ,106.98,216.66,263.07,281.30,174.12, ,296.24,248.66,162.58, ,187.74,128.95,100.37,130.37,44.85,134.70,286.10,255.13
