Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55
223.34,15.40,279.68,207.34,212.46,174.40,235.59,153.97,251.28,249.37,284.93,280.81,206.00,209.90,79.72,202.26,194.16,215.27,76.06,147.12,2.68,279.02,217.75,77.85, , ,19.75,298.60,158.09,157.42, , ,182.09,240.21,118.97,250.08,278.08,183.55,118.72,219.02,295.56,205.50,24.09,135.86,225.81,227.30,61.93,20.36,127.64,20.28,116.04, ,94.12,25.19,186.29
293.90,183.32, ,256.56,53.52, , ,86.37,62.55, ,82.91,18.84,112.61,159.51, ,253.63,132.29,36.83,22.41,203.37,87.86,28.03, ,65.59,38.72,183.26,221.63,279.36,9.64,205.92,174.94,122.79,145.30,62.31, ,21.90,186.88,228.64,251.15,280.49,219.71,255.11,232.57,86.10,230.92,78.96,53.01,222.87,237.28,140.80,247.87,171.35,272.47,49.66,280.98
295.47,41.09,7.44,171.86,146.70,271.59,202.86,17.65,103.09,199.89,57.56,106.59,282.52,28.90,2.68,62.34,103.43,218.01,120.59,223.79, ,149.45, ,167.10,110.83,151.84,179.58,161.31, ,240.37,14.30,147.27,241.20,180.06, ,257.15, ,180.94,270.54, ,278.27,12.05,19.52,143.82,163.50,7.59,245.49, ,188.54,236.57,50.09, , ,73.78, 
254.72,283.88,24.17,182.60,51.26,200.12,101.22,200.20,209.24,253.79,34.24,5.73,296.12,183.64,196.15,35.41,177.90,135.97, ,18.57,32.69,138.42,21.90,127.97, ,273.66,180.44,30.53, , ,8.54,48.72,269.34,55.55,103.41,49.31,210.09,117.54,126.02, ,28.06,283.38,146.93,19.77, ,205.95,125.06,82.21,119.18,257.90,198.79,66.25,146.16,235.70,107.12
9.01,89.78,243.18, ,11.06,184.05,154.83,234.52,292.96,188.50,66.20,243.31,129.48,273.67,127.10,212.95,246.39,278.61,115.92,157.90,156.60,236.44,252.70,80.76,279.26,290.18,32.49,172.97, ,146.64,251.99,180.75,30.40,119.42,169.41,16.97,183.74,232.82,11.63, ,257.29,245.19,128.51,180.96,139.66,148.12,257.83,288.21,262.53,218.07,211.11,138.57,128.96,140.31,209.13
0.06,27.15,113.89, ,294.85,62.60,5.26,258.52,158.28,199.92,275.25,111.08,160.09,49.42, ,73.55,102.99,133.14,18.87,285.80,241.88,4.41,148.21,201.09,32.76,285.51, ,7.03,153.98,62.39,224.72,276.94,24.27,24.58, ,271.61,11.23,283.15,156.06,190.13,216.96,15.41,155.62,209.51,102.90,261.82,1.36,283.24, ,33.79,61.77, ,201.98,102.49,130.10
16.49,15.69, ,31.10, ,280.02,298.16,122.06,89.22,143.07,16.22,106.25,112.20,122.60,23.92,199.31,183.62,174.26,149.25,230.41,216.10,30.60,293.35,174.23,276.07,155.03,67.73,225.89,170.75,194.11,273.57, , ,9.23, ,158.48,286.92,256.42,174.25,190.70, , ,2.97,128.30,129.94,221.16,260.32,203.98,243.22,203.69,6.63,156.92,166.97, ,123.39
183.01,231.89,38.96,212.88,33.46,231.09,129.31,83.36,144.95,42.17,142.05,148.99,299.50,135.66,22.87,184.53,253.11,115.78,21.57,93.22,236.81,178.07,265.28,165.07,199.78,252.58,49.82, ,49.33,146.18,138.54,77.19,58.34, ,50.40,188.86,270.21,167.94,191.79,109.70,243.45,264.10,51.30,297.61,63.25,207.99,251.83,33.11,71.56,156.45,141.90,265.59, ,133.54,62.77
70.08,210.21,83.72,130.86,103.85,160.89, ,116.81,113.89,165.22,76.63,7.42, ,273.01,237.95, ,0.72,61.10,283.51,204.07, ,1.71,164.19,110.74,279.41,78.75,144.93,205.95,271.62,233.57,155.12,51.17,172.24, ,292.58,47.90,197.73,198.36, ,60.96,148.47,181.78,169.69,191.42,193.31,200.12, ,55.24,158.83,170.64,108.62, , , ,289.02
258.22,59.57, ,208.04,164.21,229.23,26.68,84.23,204.99,297.37,209.51,161.61,139.50,243.36,126.76,219.80,261.45,62.28,282.59,40.17,105.58, ,132.26,121.96,179.25,19.34,242.58,1.09,15.04, ,245.83,269.31,100.80,165.79,211.38,133.40,295.18,220.94,71.25,154.87,74.45,112.56,130.52,215.02,3.15,119.32,284.43,114.61, ,280.40,230.77,81.71,123.96,103.26,91.94
11.74,72.91, ,286.83,285.83,183.43,88.19,237.95,91.38,157.85,32.97,41.54,187.87,285.71,27.13,0.49,154.32,98.50,183.37, ,169.20,267.61,75.37,96.13,61.75,5.84,181.66,214.06,299.87,29.12,165.05,208.92,26.02,289.13,277.94, ,147.14,131.81,137.01,101.44,163.93,290.85,131.79,250.50,102.72, ,11.15,76.02,144.11,14.64,182.05,207.71,139.71,178.06,106.36
 ,91.37,196.60,180.61,185.07,203.59,219.54,298.94,183.92,17.13,233.64,168.00,58.08,65.93,92.31,133.79,157.42,216.72,7.37,82.41,228.43,180.23,93.90,20.99, ,38.12,31.81,131.78,246.58,23.95,138.35,107.80,92.32,127.62,40.33,228.74,153.37,113.00,8.64,22.33, ,60.45,122.16,82.03,195.52,104.14,266.41,277.33,131.36,4.93,50.62,206.44,83.24,96.39,129.82
106.92,178.91,66.52, ,148.55,11.84,185.40,243.03, ,120.34,168.98,33.50,55.13,202.99,61.12,222.96, ,29.88,266.86,73.74,13.57,49.19,198.91,206.77,159.02,262.27,234.45,248.32,142.67,57.04,249.37,204.00,144.37,147.52,131.13,79.16,143.55,170.10,62.93,184.38,142.34,136.77,234.19,230.84,273.35,57.91,44.30,63.03,195.79,299.90,131.81,171.63,207.41,17.80,118.60
192.29,48.84,37.73,114.15, , ,256.45,10.23,79.72,189.43, ,189.33,115.62,174.06, ,215.79,146.14,10.96,295.34,67.48,42.84,1.65, ,258.10,279.37,0.27,148.28,36.44, ,152.06,152.28,181.79,51.81,102.46,66.36,122.58,130.87,15.47, ,284.61,188.71, ,188.98,197.75,53.06,142.98,241.35,148.16,63.32,151.08,262.74,263.58,51.27,250.74,226.97
51.36,107.61, ,296.59,264.81,85.02,4.32,141.52,138.30,62.89,115.75,1.01,192.25,84.46,37.07,213.68,202.57,63.57, ,60.16,263.15,34.89,225.82,4.85,163.33,288.28, ,216.95, ,109.20,202.92,26.01,9.58, ,240.85,174.61,105.70,202.34,159.37,253.02,70.51,47.73,166.70,125.30,151.93,192.85, ,288.75,200.80,148.85, ,194.39,178.37, ,80.71
15.96,280.32, ,158.74,256.90,197.41,109.09,25.96,190.20,290.69, ,289.02,230.94, ,263.05,100.41, ,127.71,33.65,35.96,266.77,207.43,181.44,101.30, ,103.23,188.23,178.06,82.93,192.61, ,155.66,284.72,4.99,110.90,220.46,289.17,130.89,179.45,186.23, ,201.83,64.10,177.89, ,260.82,244.35,210.43,89.66,75.31, ,186.21, ,33.07,115.28
19.06,176.30,275.47,107.13,183.51,237.34,248.92,151.80,170.12,293.28,257.38,54.44,254.81,193.00,10.19,151.83,3.01,234.55,147.54, ,37.92,31.06,238.87,275.26,156.72,187.79,173.42,8.52,81.06,43.54,70.75,74.34,3.32,28.13,142.93,57.76,293.09,97.74,245.49,186.09,85.61,255.68,194.37,237.44,284.93,197.37,265.57,219.49,175.85,113.11,261.17,213.78,144.17,200.03,189.04
0.88,87.82,62.46,9.40,168.88,106.00,80.15,243.21,109.32,108.28,86.14,167.08,101.37,183.88,112.57,287.46,269.49,68.25,181.82,206.92,53.18,79.20,172.49,272.67,255.05,285.60,233.84,168.83,129.77,133.87,57.86,130.65,221.69,120.32,140.05,90.57,226.32,220.20,33.78,35.64,28.48,119.92,202.72,129.85,3.80,15.29,117.30,273.29,83.54,299.12,180.21,136.73,78.32,52.70,109.40
