Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115,Col116,Col117,Col118,Col119,Col120,Col121,Col122
9.93, ,93.36,136.94,10.82, ,256.20,133.61,287.52,262.17,286.03,174.96,134.54, ,41.86,227.55,56.41,258.92,228.33,106.16, ,116.98,292.85,175.14,85.53,228.82, ,214.85, ,53.34,237.42,131.86,30.73,84.50,39.77,185.72,276.97,245.51,48.61,167.14,64.83,86.41,0.37, ,255.82,261.83,186.16,177.67,95.74,298.74,298.29,238.86,146.52, ,240.47,274.21,162.20,60.27,32.68,28.70,16.46,203.01,163.60,239.95,63.77,76.59,196.76,55.77,92.65,22.94,184.08,140.73,36.19,294.89,121.27,93.09,9.05,250.55,162.44,165.03,95.76,12.45,116.04,189.48,91.15,73.74,232.51, ,65.39,285.45,143.05,182.60, ,285.04,199.62,108.11,41.10,188.36,162.33,280.73,148.89,251.63,84.14,201.90,280.20,78.61,69.07, ,243.14,268.57,91.48,12.62,168.05,107.90,220.67,176.86,193.03, ,172.54,291.46,68.98,8.30
242.31,248.14,77.17,79.23,125.96,277.46,262.20,275.58,75.95,28.60,252.31,85.59,188.91,265.32,198.24,264.79,9.03,129.58,4.36,245.50,142.76,6.09,192.83,140.54,146.83,270.15,82.65,178.56,226.43,239.51,220.85,176.29,89.32,220.67,58.85,252.02,227.86,262.21,26.88,136.30,176.37,36.66,190.44,171.24, ,110.76,59.62, ,137.53,47.59, ,106.45,219.65,92.30,28.05,91.38,176.32,7.18,1.75, ,216.97,290.09,248.20, ,180.58,252.89,9.30,169.92,175.53, ,267.84,209.64,245.45,184.17,47.63,212.29,40.16,151.28, ,99.48,0.36,29.71,182.34,264.33,154.76,141.83,107.71,245.99,241.35,299.73,34.06,64.17,206.83,199.17,78.42,5.07,278.71,32.03,73.79,213.31, ,55.14,243.93,210.89,292.38, ,144.26,225.89,279.28,101.87,69.79,177.09,259.07,109.64, ,183.44,230.16,182.28, ,189.41,242.12, 
243.32,243.96,106.98,260.71,174.85,87.24,186.26,280.23, ,36.96,65.76,145.35,250.21, ,139.62,141.99,228.71,220.54,153.51,88.19,110.27,94.54,282.32,162.22,185.22,299.52,151.57,198.10,17.64,22.94,290.26,210.27,250.24,91.64,158.33,217.96,142.86,166.11,293.30, ,178.52,87.26,265.72,129.36,172.34, ,29.60, ,239.87,226.88,241.09,229.02,248.59,263.78, ,88.96,92.06,132.90,263.96,171.93,193.53,290.99, ,20.59,49.07,213.67, ,154.76,260.17,255.16,239.46,221.52,170.63,205.12,219.79,67.69,287.73,52.42,94.97,299.31,173.92,72.87,290.92, ,251.08,111.60,142.77,30.38,198.47,76.32,263.75,269.69,233.12,107.89,25.88,211.14,106.65,257.94,161.83,112.95,88.89,221.78,252.39,102.85,296.12,52.85,124.56,15.34,253.44,269.52,55.97,164.39,51.56,119.13,7.91,26.30, ,248.08,109.01,131.32,196.37,12.72
135.05,171.58,288.70,162.25,50.78,132.41,94.47, ,7.86,264.60,59.47,282.24,230.24,219.24,78.85,202.82,64.78,106.67,226.78,119.75,152.27,27.21, ,281.97,264.97,62.79,4.10,281.36,114.26, ,4.37, ,207.19,5.77,284.45,72.05,83.02,238.21,294.06,202.79,102.06,220.66,166.89,48.88,16.78,12.10,167.51,269.03, ,274.80,117.02,292.01,21.09,141.17,252.92,169.55,247.10,149.61,204.20,160.84,91.14,64.55,191.49,88.21,151.89,186.15,1.08,171.87,137.03,288.94,158.07,18.90,195.80,217.13,242.87,152.45,101.95,153.18,236.33,259.63,4.40,57.13,23.95,27.66,242.03,250.92,175.09,205.28,138.33,170.90,200.38,115.21,240.35,295.78,209.78,264.91,101.18,219.67,251.04, ,193.08,237.02,139.03,198.46,45.18,80.83,221.25,241.58,44.54,219.36,119.76,186.13,275.94,253.62,159.21,87.17,164.88,45.47, ,243.93,276.22,294.66
186.05, ,109.63,254.16,64.60,203.75,107.86,158.89,280.76,262.43,70.39,92.14, , ,59.79,299.40,39.71,210.64,146.19, ,100.35,46.53, ,297.26,132.69,43.61,174.25,181.39,133.35,60.50,296.71,9.62,144.89,98.12,187.89,75.80,44.67, ,218.94,213.61,210.75,244.68,244.01,205.60,84.07,249.15,175.84,58.25,214.34,270.08,295.46,45.67,259.06, ,178.00,295.25,159.53,23.76,9.02,89.34,58.55,146.81,144.31,165.43,130.59,286.35, ,200.74,133.75,16.85,37.81,210.65,125.17,140.64,284.68,98.25,173.67,29.15,211.03,146.28,76.00,213.65,87.75,22.58,274.20,136.90, ,47.55,130.23,269.53,7.89, , ,258.33,219.39,215.13,85.46,240.79,56.07, ,170.46,213.99,179.25,156.66,98.43,14.54, ,153.67,39.73,19.76,95.15,237.23,103.94, ,44.73,208.77,219.92,1.80,223.88,184.79,65.36,66.09
104.86,233.57,60.91,254.15,119.77,296.20,297.23,282.74,246.32,203.94,270.74,0.14,86.79, ,152.15,41.26,273.00,165.63,123.34,161.53,10.03,178.50,52.06, ,94.02,14.32,9.94,203.70,179.68, ,154.85,63.14,74.69,258.55, ,81.89, ,264.20, ,142.70,211.93,103.48,183.79,3.92,102.87,203.80,198.10,137.41,161.93,115.43,292.07, ,73.96, ,38.16,106.52,7.58,220.94,24.41,228.87,298.45,235.94, ,134.04, ,174.78,185.23,61.04,45.95,251.27,149.27,259.17,170.28,274.24,77.82,195.95,26.98,38.44,96.64,96.96,204.45,260.64,261.94,266.98,224.30,240.15,207.67,29.36,166.07,169.17,2.25,250.59,259.52,292.14,41.77,153.83,60.84,35.89,136.16,30.67,221.11,134.03,170.13,206.73, ,75.90,169.23,230.70,100.54,190.59,261.50, ,207.71,125.01,63.31,246.47,21.63,64.79,296.35,19.05, ,186.04
251.23,120.00,253.73,101.66,77.23,124.02,270.87,212.76,227.86,160.94, ,28.52,51.21,21.54,227.95,256.30,243.90,26.92,265.31,227.48, ,290.64,112.43, ,25.19,26.06,36.91,94.67,134.50,90.29,216.14,148.71,225.16,184.02,218.44,199.52,258.97,136.56,36.62,290.83,274.03,260.93,64.77,76.37,201.47,55.32,184.90,290.06,296.64,62.13,23.42,61.00,185.85,175.01,295.62, , ,182.73,280.59,0.81,146.78,223.61,19.89, ,9.95,102.77,280.69,207.45,78.84,128.20,64.86,272.01,34.96,113.42, ,60.92,279.20,183.26,109.80,11.32, ,229.88,97.14,36.54,152.91,194.43,91.78, ,63.79,66.74,3.41,227.70,27.89,272.03,109.71, ,121.03, ,50.91,124.54,52.98,114.38,23.56,260.13,127.27,172.84,29.38,240.92,240.58, ,212.61,273.69,294.26,292.19,145.63,146.20,61.61,221.48,298.90,190.10,144.25,154.59
243.40,279.17,271.42,64.45,127.93,178.46,132.86,143.85,179.28,85.58,265.38,170.85, ,60.95,168.29,100.62,218.37,185.71,102.88,183.30, ,221.44,83.81,36.01, ,215.29,118.37,183.09,27.02,149.48,93.39,62.95,224.31,25.47,100.16,243.70,115.25,204.90,289.13,16.64,291.98,134.49,88.10,235.80,164.94, ,258.33,266.04,27.35,177.81,47.52,81.07,121.41,235.88, ,195.07,192.30,50.59,297.41,44.35,253.82,18.49,167.62,122.96,148.88,197.76,117.85, ,148.83,53.71,127.35,279.78,221.52,296.61,164.25,292.66,89.13,115.95,69.57,69.01,86.36,287.28,257.19,139.94,216.52,190.72,222.88,289.89,37.34,92.71,121.81,299.05,287.33,156.99,52.48,146.42,65.34,211.47,24.90,128.54,245.06,285.28,189.76, ,227.10,105.07,83.48,127.74, ,242.74,234.67,77.41,134.08,214.79,165.28, ,293.83,42.01,166.38,202.85,222.31,103.22
258.63,217.82,181.12,29.12,30.26,109.93,158.42, ,203.96,265.82,111.79,42.92,13.30, ,154.85,157.68,202.58,144.77,202.69,216.00,58.40,256.15,57.60,121.02,18.53,49.55,50.79, ,175.67,15.25,64.61,61.08, ,177.40,213.44,193.33,11.90, ,268.05,133.30,241.09,101.15,266.59,230.86,182.96,72.82,9.94,88.67,160.11,248.42, ,28.51,224.58,172.61,8.45,133.57,233.76,192.22,17.19,44.71,195.78,253.06,161.18,182.67,250.60,180.62,159.50, ,84.08,71.63,257.98,217.92,298.07,241.27,285.73,156.62, ,7.87,243.87, ,126.54,160.12,281.86,50.41,37.29,140.52,218.84,173.23,147.54,105.30,283.22,42.89,256.99,147.71,136.64,285.55,118.00,154.08,283.94,290.85, ,131.37,257.82,3.39,77.40,199.88,157.91,209.10,247.89, ,23.92,162.22,201.68,155.15,80.09,260.24,160.33,202.32,257.03,293.87, ,168.57
75.79,242.38,24.24, ,169.70, ,31.93,226.93, ,282.69,217.92,163.19,242.14,68.73,197.69,250.78,231.17, ,257.65,167.94,34.93,151.59,279.95,172.81,195.67,189.57,169.56,151.11,74.63,16.53,114.31,224.58, ,126.84, ,271.49,249.84,227.25, ,207.21,128.35,180.62,3.66,249.54,19.64, , , ,184.58,293.01,272.14,236.00,271.27,49.32, ,276.58,169.45,7.49,297.87,77.78,56.64,137.68,224.66,12.54,233.05,131.54,35.25,278.21,106.13,161.33,99.61,49.79,21.69,266.86,245.39,21.09,71.95,78.31,207.24,135.14,153.97,182.50,101.53,1.22,46.42,234.90,0.46,115.09,41.97,41.70,126.58,289.40,221.56,195.14, , , ,12.53,151.58,98.48,202.97,58.71,241.05,65.97,19.83,267.72,129.82,228.35,244.48,114.18,22.02, ,52.29,183.28,63.63, ,75.92, ,134.63,94.92,119.49, 
 ,288.38, ,243.46,230.05,216.19,200.12,287.20,290.50, ,39.74,39.19, ,27.19,173.44,136.25, ,156.91,107.81,132.97,88.75,75.28,138.48,176.81, , ,67.19,201.84,268.83,294.39,268.22,181.08,171.98,249.12,65.90,174.17,202.16,121.15,239.60,96.95,36.32,64.09,209.60,210.43,206.96,186.08,240.55,224.11,161.05,141.41,230.16,125.81,278.50,109.78,206.60,34.52,110.38,46.42,64.53,198.42,161.68,146.68,151.66,214.75,244.03,239.66,71.74,6.52,12.44, ,219.04, ,161.95,101.47,153.39,165.23,137.51,136.32,129.13, ,43.88,299.02,240.36,171.78,179.73,18.28, ,237.31,193.25,152.46,7.64, ,172.86,298.24,193.98,28.89,37.42,182.66,172.80,209.65,128.85,266.61,85.41,84.44,50.24,256.92,191.34,205.70,20.44,263.97,186.37,96.38,65.63,260.22,102.05,283.02,259.25,78.03,106.61,149.12,46.16,201.81
68.81,1.70,11.45,3.66,258.53,121.60,79.08,262.59,251.70,112.03,195.23,255.61,52.52, ,98.68,60.50,279.58,37.88,179.46,72.49,262.07, ,286.23,280.70,132.73,194.43,143.35,134.81,91.50,203.68, ,114.45,22.19,178.71,162.85, ,235.33,25.69,34.32,59.46,260.74,247.42,136.95,244.82,189.73,159.10,286.51,207.86,167.31,175.91,164.73,291.00,69.51,207.92, ,267.38,289.36,66.27,296.53,89.35,46.77,127.40,112.17,48.03,139.82,285.29,214.64,58.21,288.88,222.61,103.52,211.56,49.57,237.40,134.88,14.39,152.41,21.82,114.31,73.96,119.77,21.33,278.62,49.11,154.44, ,257.96,271.77,211.28,288.24,84.48,271.77,167.39,287.94,227.88,205.95,177.57,203.34,243.82,261.09,137.32,271.52,94.53,146.12,192.89,263.19,149.34, ,16.73,231.43,276.41,54.66,166.81,61.76,263.67,39.88,181.96,146.51, ,89.80,73.03,257.71
260.06,271.18,123.78,134.98, ,124.22,154.54,47.00,69.81,260.94,185.66,82.37,120.14,121.97,222.61,201.20,64.72,230.01,132.02,103.25,245.84,131.66,218.49,16.67,189.33, , ,120.51,107.16,29.95,184.14,33.79,211.39,93.59,66.78,91.11,30.12,97.50,137.33,40.43, ,229.76,102.28,252.12,111.92,12.59,76.90,74.84,176.54,255.83,240.13,109.05,211.56,207.66,283.33,113.77,227.95,268.94,48.29,12.87,113.82,201.25,290.60,52.97,149.44,185.07,190.25,199.73,140.12,175.16,31.05,260.77,32.46,289.24,150.77,240.96,27.56,155.32,118.30, ,267.75,70.38,107.35,257.05,204.62,84.32,95.50,288.84,105.72,43.74,69.31,127.43, ,269.64,91.58,97.51, ,14.61,113.01,111.78,31.13,134.51,44.47,188.71,284.52,251.85,180.90, ,8.33, ,277.98,239.11,41.81,121.62,263.28, ,75.06,209.51,139.20,135.93,213.67,53.72
121.10,89.00,156.09,197.34,75.31,242.73,183.44,262.86, ,197.49,197.07,27.74,41.37,124.47,266.37, ,174.46, ,263.46,102.38,154.41,136.10,48.73,179.48,240.20,29.47,237.56,39.86,215.08,18.00,191.81,33.27,158.83,2.40,105.15,183.08,210.79,255.61, ,135.10,236.72,196.44, ,122.98,157.29,195.49,77.61,159.65,143.42,258.95,140.77,250.60, ,161.39,279.29,39.56,287.87,68.82,50.68,7.29,118.11,60.44, ,147.74,233.84,171.53,136.98,256.90, ,280.57,79.17,69.87,74.25,95.01,242.06,103.87,10.64,294.71,215.38,218.82,51.51,239.95,46.95,201.21,288.38,83.50,141.65,186.27,211.12,58.96,126.97,102.53,84.81,208.69, ,127.50,266.43,8.56,84.42, ,218.95,293.72,16.72,155.82,51.26,184.28,220.11, ,22.64,57.86,57.55,34.79,126.66,222.53,211.96,96.02,225.90,17.62,61.92,84.16, ,151.09
14.48,160.45,93.84, ,213.72,103.44,251.92, , ,65.32,181.40,185.60, ,35.63,56.21,233.37,270.88,274.95,243.03,135.92,7.86,19.21,298.17,41.40,145.58,109.60,268.05,134.26,198.42,143.04,289.69,215.10,158.99,2.65,152.52,54.36,188.22,271.68,44.69,134.29,119.80,217.24,239.10,262.44,221.40, ,211.09,7.25,40.89,174.30,49.82,197.26,201.10,181.88,15.52,221.78,14.75,123.03,104.78,65.04,95.94,34.45,52.42,178.68,239.00,236.20,65.86,199.02,104.29,54.44,275.86,25.59,141.90, ,246.67,158.26,119.10,223.41,81.19,4.81,204.11,110.70,123.66,91.94,48.45,145.06,148.69,193.85,263.18,232.52, ,90.77,184.72,22.24,200.74,15.65,191.46, ,84.38,130.10,287.72,49.16,46.81,254.06, ,217.24,269.68,48.75,225.93,180.00,244.32,235.51,155.98,33.42,211.36,172.03,218.24,136.84,97.39,5.08,71.86,21.17
49.43,101.98,3.40,223.52,62.73,207.70,286.01,260.63,171.64,285.05,183.24,140.91,156.59,18.67,68.32,269.98,109.76,93.10,53.95,60.88,175.65, ,161.65,296.02,81.35,44.06,11.91,12.14,22.54,11.21,226.45,220.97,160.81,137.29,46.88,34.85,29.55, ,191.21,194.96,294.49,294.29,35.55,177.86,182.78,39.29,262.44,54.74,251.15,143.92,94.56,259.97,27.38,157.06,176.54,168.81,75.66,36.74,23.34,139.29,250.60,39.89,268.92,219.68, ,63.60,236.85,105.15,88.81,52.03,245.09,176.21,179.71,152.85,62.64,130.21,18.06,8.65,277.71,150.78,245.56,42.97,275.80,77.38,216.67,72.01,233.46,277.86,287.52,104.10,198.17,18.92,243.10,147.34,130.84,118.60,212.49,258.82,9.68,252.91,165.61,88.11,273.14,212.26,196.68,10.83,250.67,11.09,57.32,114.59,156.54,264.56,94.75,257.33,259.59,30.79,235.17,224.28,184.86,168.96,152.89,176.40
209.54,297.32,45.93, ,202.47,119.59,139.85,228.84,2.56,275.08,74.25,52.03,278.84,151.51,41.45,236.79,240.85,142.33,170.21, ,72.68,182.31,139.20,273.02,227.84,58.57,186.35,107.63,131.39,20.42,37.64,128.57,292.57,24.97, ,279.21,195.75,145.32,117.75,212.96, ,25.07,54.04,112.36,80.32,157.86,135.53,152.46,78.15,216.96,45.31,82.34,235.78,153.63,178.64,88.68,222.68,39.69,25.16,138.39,95.80,206.22,191.76,195.43,203.72,73.03,152.41,257.33, ,110.97,94.91,52.58,257.88,214.48,191.49,73.00,162.33,203.20,261.02,289.09,165.60,3.96, ,159.33,42.06,182.93,170.51, ,45.30,224.87,110.62,26.31,113.34,252.88,282.31,278.43, ,144.03, ,258.66,8.12,68.81,213.55,254.23,133.33,7.70,259.31,174.56,1.95,174.27,4.45,168.73,127.99,126.91,162.34,227.61,116.19,254.18,71.20, ,204.53,169.12
