Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32
78.51,147.44,27.03,297.49,70.86,293.06,27.89,104.46,262.07,245.55,268.52, ,128.05,12.22,177.87, ,122.31,259.47,91.39,76.16,148.44,243.84,109.49,6.48,207.62,156.49, , ,176.79,253.06,27.32,7.90
297.53,3.08,99.95,243.50,183.34,23.14, ,132.63,239.93,6.53,203.07, ,28.08,192.78,166.52,251.64,196.05, ,199.13,104.57,149.67,176.93,3.83,175.07, ,115.00,109.57,86.11,201.17,5.76,95.34,14.05
46.70,296.15,109.22, ,102.82,136.58,293.62,283.87,276.87,283.69,196.48, , ,208.35,171.51,155.56,16.35,90.49,198.70,35.67,297.71,153.03,118.24,274.70,15.34, ,299.04,85.50,57.52,214.57,122.76,273.30
233.22,257.05,74.55,195.34,96.56,28.60,152.06,205.56,190.59,143.20,268.62,195.85,179.95,143.87,27.29,169.27,293.03,120.18,225.17,243.15,49.34,252.59,147.00,155.58,15.27,227.23,227.48,10.03,233.50,110.14,271.08, 
264.11,41.48,30.89,274.83,106.33,5.22,93.58,163.31,178.64, ,162.53,181.47,196.99,26.46,75.76,286.54,261.65,38.54,123.16,268.15,201.86,181.01,8.31,72.90,223.00,197.88,24.55, ,221.55,284.55,270.09,215.22
243.74,5.69,130.64, ,6.43,119.95,212.67,231.80,267.73,220.56,240.34,244.97,166.66,182.98,109.38,10.57, ,18.05,45.89,183.43,155.12, ,42.55, ,274.35,167.04,5.32, ,250.44,267.93,116.93,212.44
16.00,2.84,241.06,170.70,268.49,244.87,192.86,254.19,261.77,259.20,44.27,160.44,269.49,111.80,279.29,12.72, ,15.56,188.31,290.80,69.10, ,224.11,210.34,97.63,217.24,263.05, ,123.49,18.18,68.01,231.14
117.31,39.51,46.53, , ,205.88,149.94, ,155.41,104.99,211.26,9.87,283.75,297.80,76.75,7.98,180.80,298.65,139.75,153.76,65.00,273.44,41.03,294.29, ,99.28,52.65,159.35,105.27,224.76, ,174.42
176.00,153.45,162.45,6.16,60.76, ,34.21,248.32,133.05,277.84, ,30.49,153.58, ,71.49,204.36,56.63,242.15,111.03,274.30, ,290.50,194.12, ,32.88,35.65,290.87,98.25,43.97,138.68, ,210.17
215.59,240.26,218.46,284.19,26.41,158.21,253.40,214.71,85.21,188.24,51.70,49.39,245.70,175.49,212.72,130.76,61.97,1.48,123.14,15.69,74.10,166.46,226.23,180.09, ,68.34,193.71,11.95,215.76,106.00,126.16,293.65
253.62,255.96,187.82,249.74, ,123.64, ,49.87,223.33,127.00, ,20.71,35.82,177.49,57.23,75.43,34.03, ,98.71,136.56,227.52,23.90,209.95,286.49,212.72,21.12,201.49,60.44,80.81,40.71,68.89,105.50
115.13,220.28,121.28,200.38,143.15,292.05,152.00,12.91,188.36,104.45,79.01,253.08,176.55,189.88,74.89,263.22,130.78,103.86,240.35,0.85, ,292.89,80.50,149.49, ,183.52,249.65,114.56,122.34, ,12.22,271.40
199.78,138.37,265.28,23.63,91.28, ,84.17,278.53,93.21,215.40,73.42,239.25,67.78,179.10,73.80,235.69,15.44,219.77,62.38,122.37,101.47,229.92,173.21,241.25,32.19,243.14, ,182.39,89.47,172.70,17.77,289.46
3.80,18.93, ,29.13,180.84,154.39,16.25,19.20, ,51.40,237.15,135.84,150.61, ,23.31,81.28,268.54,15.47,199.38,204.05,42.90,59.12,195.65,224.88,32.86,266.25, ,123.27,275.59,208.17,297.20,120.39
155.79,24.34,200.22,114.94, ,199.83,82.52,263.21,10.34, ,276.59,82.35,125.93,73.75,97.04,221.35,79.81,218.26,288.03,246.48,247.22,2.80,214.24,98.28,108.62, ,85.21,230.29,63.37,258.81,85.26,18.81
109.57, ,213.71,39.43,186.95, ,189.74,206.14,220.00,96.64,275.72,251.79,66.91,194.23,112.63,55.49,282.18,227.39,78.76,242.57,198.32, ,88.06,137.00,270.93,172.72,240.50,237.07, , ,40.74,64.86
202.70,2.41, ,205.55,135.06,85.46,77.33,121.44,153.32,99.19,70.26,58.60,21.54,246.31,245.84,38.63,296.23,268.48,58.61,210.49,22.15,227.05,12.27,227.75,246.03,283.68,111.41,141.11,247.38,106.73,180.95, 
177.17,127.77,138.90,151.64,23.95,259.63,159.85,51.18,254.16,9.12,189.53,111.56,298.78,129.21,79.93,51.29,54.86,198.25,180.87,226.34,197.47,28.26,194.09,82.76,157.56,118.69,143.27,69.58,129.23,34.06,173.36,166.26
264.41,121.99,114.41,50.11,234.29,69.21,157.81,276.63,243.84,62.47,25.57,229.17,30.84,63.96,48.57,132.43,294.73,158.27,2.74,121.02,286.74,65.41,42.19,159.93,137.36, ,162.94,2.32,85.29,81.69,14.12,121.91
6.64,185.37,79.06,236.80,80.49,81.50,169.21, ,155.25,7.38,123.84,230.72,147.12,223.26,210.39,258.52,241.80, ,57.58,216.61, ,297.10,211.50,290.61,7.13,295.94,74.25,76.34, ,223.46,184.61,111.63
18.59,61.58,171.98,167.34,113.54, ,234.93,7.84,243.87,71.40,29.48,59.58, ,20.93,51.87,89.35,25.32,212.61,161.37,206.06,173.19, ,258.88,234.87,180.08, ,251.48,11.16,178.13,247.77, ,299.63
235.62,129.93,75.73,204.92,122.90,33.51, , ,97.03,259.11,73.28, ,191.83,25.74, ,273.50,215.19, ,150.81, ,194.36,120.40,72.31,32.91,85.80,98.21,187.13,159.95,298.11,152.24,114.28,18.99
191.22,60.91,84.99,168.42, ,288.83,181.45,111.55,17.93,85.48,291.25,60.72,140.91, ,90.96, ,109.95,217.32,112.25,129.12,50.60,118.56,187.10,271.56,287.29,102.78,190.26,215.57,45.70,100.25,147.44,175.70
115.14,1.53,275.20,236.81,239.12,65.23,55.38,124.87,26.29,115.45,21.69,167.54,87.50,216.98,31.60,192.34, , ,74.13,24.51,186.71,66.30,89.84,288.73,164.36,142.36,231.58,10.83,231.43,66.91,33.28,241.10
245.25,119.48,287.70,30.31,107.61,126.35,218.31,112.17,130.10,62.48,118.58, , ,171.64,198.43,26.21,130.54,266.32,290.84,94.00, ,201.61,254.78,36.08,211.23,199.96,181.23,284.34,122.44,126.18,232.78,76.36
161.64,38.63,38.66,205.65,121.09,177.59,206.32, ,117.54, ,283.30,7.34,168.17,1.99,179.93,25.46,7.07, ,45.70,42.79,204.40,159.44,280.19,217.98,81.04,226.26,18.82,134.07,8.07,288.44, ,223.21
 ,230.28,104.20,213.73,14.34,249.59,129.79,109.09,123.63,83.28,16.86,189.78,88.56,114.77,200.27,0.21,58.63,143.12,206.48,9.81,174.98,94.60,189.17,52.53,93.83, ,110.69,252.47,26.48,76.39,50.59,103.70
93.56,121.86,240.67,266.20,53.69,256.10, ,159.80,127.57,246.80,64.32, ,25.93,293.06,14.67,137.26,22.40,152.56,187.21,22.97,254.72,79.01,135.12,70.62,21.35,192.89,88.56,54.36, , ,216.81,91.08
121.83,284.89,257.74, ,280.71,22.34,104.52,192.49,3.78,19.65, ,231.26,109.08,231.07,33.05,101.34,201.94,237.61,197.55,58.93,176.05,287.51, , , ,187.25,264.49,252.46, ,69.04,123.78,202.93
147.98,280.96,227.44,236.75,113.91,90.17,80.12, ,269.07,49.29,222.79,63.21,9.76,244.29,25.15,17.74,92.37,162.94,249.45,79.04,195.41,164.61,154.84, , ,240.64,280.22, ,43.43,181.58,282.98,269.94
14.13,19.75,14.85,285.60,241.09,291.76,224.66,170.65,285.87,107.59, ,271.02,18.20,197.31,292.68,232.94,207.84, ,243.99,101.85,196.06,289.63,58.75,64.94,81.25,223.95,194.72, ,210.45,169.56,179.92,1.47
82.29,197.71,153.29,123.95,193.48,72.51,225.65, ,155.04,197.06,256.89,277.72,2.23,286.30, ,148.54,187.41, ,85.12,174.06,76.89,276.03,29.45,169.43,203.58,84.31,103.47,192.43, ,194.66,144.24,50.38
116.12,223.61,22.92,10.96,253.44,81.49,297.35,66.65,42.40,97.92,194.58,35.47,297.06,251.59,234.78,134.09,239.76,187.80,234.25,68.14,166.66,84.91,288.44,177.61,242.68,173.88,114.65,113.03,139.47, , ,66.58
125.16,144.80,269.02,211.72,266.74,186.77,242.38,203.20,206.05,95.53,283.14,289.27,21.88,160.78,202.99,61.99,233.70,41.11,285.84, ,252.58,126.64,273.59,207.43,207.90,189.11,36.44,277.10,121.16, ,96.05,220.74
36.98,64.83,57.16,30.92,3.25,123.66,35.71, ,129.30,268.22,21.24,117.70,137.27,104.19,34.92,51.40,150.00,257.78,263.00, ,260.02,21.13,19.18,209.19,186.15,202.31,263.84,22.27,44.24,66.37,296.05,226.29
29.39,146.79,95.13,216.48,166.94, ,186.13,48.02,180.60,22.53,254.47,107.44,273.74,283.02,64.61, ,253.61, ,100.40, ,2.20,255.64,65.76,57.36,122.58,3.37,196.19,8.71,297.83,244.21,128.93,178.43
