Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115,Col116,Col117,Col118,Col119,Col120,Col121,Col122,Col123,Col124,Col125,Col126,Col127,Col128,Col129,Col130,Col131,Col132,Col133,Col134,Col135,Col136,Col137,Col138,Col139,Col140,Col141,Col142,Col143,Col144,Col145,Col146,Col147
63.16,43.34, ,178.47,125.79,23.99,80.24,124.31,6.49,125.67,53.57,56.88,180.52,207.27,189.50,243.13,155.11,42.62,105.48,45.61,248.75,142.95,118.97,237.94,292.18, ,45.75,102.70,281.64, ,247.16,75.74,53.84,53.88,185.90,17.55,90.64,1.11,295.29,200.84,245.53,296.85,238.77,94.05,79.62, ,26.79,74.84,67.49,270.96,191.59,181.49,220.96,124.21,143.08,55.38, ,248.40,181.16,171.15,202.47,234.30,277.56,276.41,15.44,165.60,173.69,60.88,216.89,121.00,51.75, ,128.06,75.21,136.25,72.37,164.84, ,66.41,293.71,195.34,24.92,188.55,56.87,195.40,158.10,45.18,81.67,37.91,247.21,173.01,11.51, ,34.66,140.84, ,183.66,33.09,291.65,107.18,171.07,22.28,18.97, ,100.65,276.92,186.66,10.42,227.57,170.68,25.11,297.59,195.18,82.13,219.95,210.94,174.84,290.74,232.49,143.02,297.66,170.54,36.00,280.57,175.84,225.80,162.78,249.99,151.69,161.72,35.89,40.10,286.17, ,218.65,257.75,86.70,122.32,113.69,251.60,179.12,3.07,265.64,30.06,78.15, ,149.79
257.97,8.81,220.73,162.79,81.29,96.47,236.90,272.67,19.09, ,121.94,199.37,279.46,111.17,291.62,207.40,254.46,98.51,18.01,61.39,3.34,124.25, ,191.74,53.04,184.93,32.76,71.71,217.39, ,275.00,228.00,82.47,279.68,81.07,103.03,25.47,18.42,268.70,41.46, ,252.28,56.67,226.56,105.38,129.53,118.95,264.90, , , , ,228.43,188.78, ,295.15,153.91,220.59,67.54,147.65,161.58,282.73,238.08,119.49,245.63,239.88, ,87.24,232.29,206.73,86.55,116.22,64.84,96.45,147.61,107.86,62.95,186.51, ,13.19,153.62,114.19,205.80,180.73,193.03,40.54,282.95,130.32,16.31,255.26,58.00,84.37,219.58,148.30,203.57,144.90,120.32,150.68, ,31.40,112.86,200.48,210.75,257.28,168.25,24.81,225.67,229.14,101.01,35.77,157.63,218.40, ,177.49,43.71,96.90,210.17,104.12,235.45,294.41,124.31,29.80,87.75,198.21,12.25, ,85.75,208.25, ,225.83,290.22,278.96,173.18, ,277.30,47.27,220.66,57.67,82.07,170.49,224.95,5.55,156.68,87.13,95.46,290.76,2.08
256.07,133.48,201.02,71.46,44.13,0.55,74.86,128.54,75.91, ,81.46,247.73,217.84,268.22,3.42, ,263.72,20.98,46.60,207.98,170.28,110.17,53.91,253.45,130.37,235.94,110.82,169.15, ,181.82,214.18,197.14,148.96,166.93,145.13, ,263.19,106.26,130.04,258.39,42.62,112.85,10.19, ,179.34,29.68,159.06,246.39,89.81,154.74,41.52,45.66,263.06,1.92,134.91,294.81,204.70, ,183.25,254.91, , ,258.13,21.23,280.65,291.78,232.17,117.52, ,13.18,299.05,231.52,177.19,52.36,9.91,265.14,38.52,76.77, ,111.02,53.70,299.35, ,231.52,285.20,288.18,58.66,13.49,121.19,216.51,272.56,257.15,30.09,131.30,196.36,217.88,36.71,117.63,177.23,76.19,212.71,160.81,51.59,261.55,64.97,46.32,104.49, ,134.58,106.53,195.50,159.32,126.26,131.41,46.10,284.64,93.26,69.34,100.58,26.18,8.61,19.68, ,23.15,143.31,127.90, , , ,231.57,112.94,252.16,243.53,67.57,285.80,101.42,80.55,59.74,31.85,135.30, , ,183.90,284.57,42.64,212.71,245.74
 ,197.90,280.71,252.26,120.49,118.92,169.73,266.61, ,46.03,18.96,250.86,273.45,171.50,137.46,290.30,109.86,281.10,8.18,246.81,236.29,144.60,205.72,109.78,69.50, ,88.46,209.67,277.84,162.82,282.57, ,65.77,11.70,51.43,162.67,45.56,34.22,242.12, ,51.90,50.77,63.36,212.10,130.55, ,293.37,100.70,168.10,297.29,213.35,199.68,46.95,174.98,135.39,21.11,169.00,167.43,189.01,288.80,137.21,280.17,62.61,70.99,247.35,110.51,117.00,236.71,255.43,245.12,228.79,207.47,91.89,174.48,81.56,142.94,42.02,49.36,203.98,35.35,188.62,12.02,156.05,169.57,60.42,202.30,80.92,86.99,184.67,153.71,124.76,185.01,119.75,271.41,54.71,175.05,152.62, ,8.67,118.52,196.22,22.45,14.13,272.42,16.89, ,283.12,37.29,225.44,102.49,180.76, ,55.81,56.24,49.49,78.69,185.07,101.23,160.33,39.74,2.30,66.65,39.75, ,207.88,237.28,247.60,167.57,173.86,207.44,17.59,195.43,157.42,286.83,30.67,104.67,104.49,230.08, ,55.38,108.93,164.97,53.72,286.86,156.87,112.38,272.54
169.05,242.15,144.97,70.06,111.76,51.65,163.56,174.12,126.78,25.07,102.33,274.77, ,131.64,96.11,16.69,274.31,122.99,19.80,83.75, , ,18.61,180.80,89.03,44.49,124.81, ,203.61,263.59,142.65,283.45,24.42,222.22,287.28,219.05, ,186.01,36.91, ,217.70,63.16,166.83,142.26,9.63,214.09,233.21,280.96,4.65, ,226.87,68.22,123.67,182.45,244.79,214.31,137.07,282.07,203.48,296.77,126.93, ,100.15,77.38,192.49,86.48,8.91,41.64, ,227.22,124.47,273.51,90.93,75.42,265.09, ,261.86,17.23,106.10,280.34, ,172.83,284.97,274.43,187.90,90.86,200.27,287.14,254.11,284.36,151.06,8.44,211.31,58.58,199.99,196.14,74.45,48.99,215.22,35.51, ,126.37,69.82,205.39,295.81,227.97,134.51,33.78,88.72,234.45, ,110.42,111.14,269.62,244.30,183.56,287.97,106.18, ,147.89,66.53,95.07,169.05, ,202.83,260.63,39.91,58.17, ,169.31,135.42,279.50,213.00, ,266.10,214.47,213.38,155.56,121.16,226.13,21.97,156.20,159.47, ,217.64,113.55,81.62
 ,61.12,29.39,277.48,85.93,84.52,218.03,56.40,90.14,89.93, ,246.13,270.97,42.45, , , ,270.28,91.95,74.22,51.84,116.84,243.65,137.08,141.44, ,231.58,290.80, ,236.93,258.48, ,147.09, , ,238.10,214.61,216.04,21.35, , ,211.38,296.19,195.59, ,127.17,264.75,53.19,9.24,280.84,158.76,226.92,186.76, ,156.27,231.97,252.51,36.73,138.90,236.96,222.59,161.66,175.65,41.46,41.75,58.17,211.88,158.75,193.59, ,49.86,21.28,164.78,264.20,244.94,265.64,219.70,141.09,52.20,249.43,215.34,187.70,214.43,5.92,88.12,197.03,145.68,65.44, ,29.64,269.29,4.77, ,181.31,154.43,263.40,63.04, ,250.73,20.84,31.83, ,265.24,71.35,243.89,121.38,166.43,237.53,165.27,139.65,276.05,280.10,97.95,118.20,293.87,225.20, ,53.75,141.18,143.85,23.23,73.48,147.07,229.00,99.26,179.92,91.29, ,30.74,169.08, ,162.94,101.51,168.99,74.57, ,218.41,257.83,35.75,46.12,178.30,69.00,266.30, ,140.31,115.57,209.86
288.57,257.56, ,126.55,149.43,179.94,99.00,266.90,87.07,104.49,99.41,258.91,88.32, ,129.11,18.27,123.83,111.76,96.92, ,42.25,44.66,103.90,59.96,278.41,83.82,112.40,256.39,248.93, , ,173.82,173.22,98.19,24.54,276.98,87.52,247.23,241.42,275.84,121.92,148.40, ,260.80,293.55,37.89,147.15,212.07,66.06,219.71,149.40,223.10,186.82, ,19.01,58.92,185.12,249.11,86.58,294.32,279.81,213.44, , ,230.14,172.33,214.81,204.40,41.55,200.93,272.76,167.63,214.79,212.52,86.27,150.16,174.65,107.02,148.04,194.36,275.69,133.18,185.15,204.61,2.54,210.59,25.48,6.98,130.98,104.17,218.61,297.85,84.31,181.35,85.45,10.54,142.41,251.65,181.30,254.28,261.81,159.13,243.10,227.57,85.61, ,4.22,289.18,70.39,278.84,179.49,13.28,196.96,192.29,38.30,178.81,10.36,81.27,286.78,225.23,32.99,52.19,243.05,134.70,135.41, , ,168.09,255.54,186.46,289.58,196.38,146.89,212.08,204.40, ,129.63,208.53,11.90,29.64,80.44, ,193.98,203.58,88.70,127.11,6.94
199.91,285.08, ,197.16,14.46,150.48,55.73,230.67,4.75,120.91,3.38,279.17,213.16,151.33,168.34,79.21,26.39,270.12,92.59,48.14,263.29,251.12,257.63,86.66,142.11,47.57,217.15,208.12,67.97, ,236.31,281.80,212.33,191.46,56.91,33.66,22.03,115.08,189.92,127.71,138.99, ,284.48,226.62,82.74,252.06,230.90,267.12,50.33,43.70,288.36,69.51,124.47,267.40, ,264.28,44.03,28.51,87.75,170.52,63.69,232.41,96.01,16.13,120.73,291.95,235.95,226.10,218.85,55.67,119.62,77.60,123.21,107.56,87.06,191.31,143.19,199.76,194.13, ,14.87,179.39,99.42,97.55,192.62,243.35,145.08,54.59,86.51,116.28, ,94.36,98.51,12.51,176.74,214.16,221.51,243.57,177.05,190.51,109.96,8.09,61.04,141.53,57.90,186.05,249.99,244.15,217.96,46.77,163.30,158.88,38.56,177.76,19.79,280.36,284.24,216.69,259.84,115.05,60.44,73.09,281.52,58.94,273.90,294.18,66.63,222.00,255.51,20.81,168.03,105.05,289.61,197.56,79.96,267.18,13.71,150.84,57.51,194.70,15.48,168.60,41.94,187.30,190.36,272.76,209.27
210.67,99.56,148.33,120.83,19.91,155.78, ,213.30,24.48,96.00,113.31,255.30,65.41,94.26,225.52,182.80,63.31,102.89, ,282.40,45.52, ,201.31,256.68,253.58,59.31,194.52, ,149.82,293.10,170.78,28.09,149.42,86.74,134.31,161.11,250.64,119.02,107.94,34.24,245.66,281.86,209.91,222.94,231.00, ,101.77,190.40, ,221.82,263.19,170.22,172.85,30.94,198.42,283.96, ,229.62,43.29,157.97,147.80,128.76,80.00,246.51,55.73,192.22,241.78,137.89,121.21,97.02,157.16,97.04,297.33, ,40.62,195.84,99.34,67.14,193.54,109.69,53.40,56.17,30.06,158.95,125.74,193.16,274.87,35.86,126.39,102.56,14.06,105.38,111.94,276.57,170.18,169.43,174.55,244.65,230.13,0.76,221.30,294.68,22.98,260.86,93.07, ,107.12,121.75,173.76,197.09,164.44,48.68,157.90,32.67, ,136.27,260.27,257.18,253.74,285.50,129.53, ,145.89,39.83,106.21,261.91,92.85,286.65,214.37,115.82,207.05,83.31,280.51, ,235.46,207.67,9.21,299.54,183.09,27.06,291.44,112.64,33.51,281.39, ,125.93,100.40
 ,183.71,291.60,230.81,119.21,148.03,175.67,115.65,32.80,209.48,83.37,18.98,261.11,291.93,126.30, ,159.28,98.57,285.50,93.39,242.36,60.60,107.54,186.44,240.96,75.78,112.52,284.18,59.00,221.34,110.85,88.33,198.04,132.72,10.06,96.11,157.98,23.21,64.87,131.81,238.79,271.03,5.48,280.73,239.77,237.95,106.21,20.75,213.18,187.80,79.58,175.66,140.61,203.09,108.51,211.32,242.48,98.62, ,79.34,77.34,250.40,87.63,148.71,189.85,279.68,81.76,288.74,104.21,222.42,296.12,221.00,199.80, ,147.76,221.38,18.26, ,146.22,87.28,82.30,297.11, ,78.87,78.96,129.78,20.62,262.68,60.47, ,163.83,25.49,69.52,123.01,296.31,262.73,264.16,60.73,107.02,40.15,229.90,262.38,158.97,159.14,162.32,14.64,13.37,130.90,225.83,55.20,223.15,5.74,62.96,148.59,217.40,2.58, ,264.95,186.06,202.89,229.12,37.60,81.50,86.17, , ,40.09,219.59,225.70,263.24,237.52,231.44,150.55,0.49,297.90,299.14,170.47,215.31,187.88,173.05,62.61,214.97,138.00,106.36,101.02,204.80,9.26
