Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115,Col116,Col117
176.31,118.05,260.65,18.65,237.11,21.65,273.68,41.59,70.21,133.36,134.20,83.95,53.92,255.08,66.07,231.83, ,49.88,211.89,216.92,69.87,295.34,30.33,27.59,271.29,165.03,263.81,245.70,109.53,147.16,35.24, ,277.62,120.63,96.14,92.81,23.26,65.17,179.79,36.85,237.55, ,99.30,132.10,22.36,14.18,80.56, , ,27.04,271.95,82.92,295.73,248.60,217.92,24.98,294.71, , ,12.92,291.46, , , , ,183.34,29.64,18.52,272.66,259.60,215.81,208.33,100.53,122.27,10.43,61.94,278.16,53.19,219.88,283.45,299.44,173.74,152.67,85.76,182.73,180.90,0.70,262.94,215.49,226.74,202.20,58.08,63.54,149.99,130.50,289.95,0.22,159.03,55.95,278.21,290.14,37.21,248.35,92.07,85.37,89.76,7.49,167.93,259.11,54.45,151.35,219.56,208.09,4.46,23.37,202.72,141.79
4.35,240.09,253.98,115.23,13.03,191.57,193.75,198.89,240.30,292.60,201.81,238.44,164.74,188.94,275.32,7.39,120.87,76.10,272.95, ,285.98,10.15,207.81,65.83, ,116.07, , ,49.30,224.15,161.24, ,136.56,288.89,264.68,192.33,209.32,158.10,97.73,62.25,29.08, ,130.21,10.14,262.03, ,186.18,151.86,254.98,143.08, ,107.75,296.99,89.58,5.37,178.38,47.14,202.71,45.45,119.38,124.12,115.04,267.59,266.61,43.51,109.93,59.69,167.64,64.96,137.33,242.10,243.96,199.64,164.46,179.59,0.69,65.25,118.45,204.25,299.70,40.09,235.14,27.32, ,92.28, ,162.62,9.51, ,209.14,155.79,132.83,154.92,204.88,254.99,174.89,237.43,80.14,57.79, ,160.57,166.66,30.16,222.67,135.87,248.81,69.79,221.95,257.97,114.31,13.47,103.50,289.46, ,36.53,13.56,144.51
277.57,80.09,287.74,142.72,68.57,271.54,153.78,129.58,295.27,225.74,161.69,36.77,112.90,71.78,184.21,176.39, ,256.48,269.12,11.36,144.81,142.40,96.98,146.01, ,204.20,65.95,214.24, ,27.13,225.52,60.23,29.98,123.19,90.65,62.70,263.17, , ,223.94,128.94,151.44,274.15,213.52,0.67, ,27.80,119.31,252.49,211.38,84.32,265.15,260.54,139.80,112.37,92.00,74.30,106.01,136.10,135.40,193.11,69.94,43.91,102.30,150.37,170.91,211.52,111.32,203.22,40.11,196.48,270.16,294.06,192.66,268.61,6.31,179.71,82.64,265.50, ,115.87,90.93,110.14, ,282.19,112.99,145.82,154.41, ,148.47,172.92,160.77,284.94,80.70,105.13,26.68,224.34,188.69,193.11,242.27,281.02,167.98,218.31,157.74,157.70,226.44,284.84,231.61,109.70,30.97,16.62,204.89, ,93.58,93.32,198.52,73.42
16.29,189.32,234.49,51.44,150.04,225.54,13.67,46.95,226.30, , ,166.66, ,260.24,277.48,138.33,126.06,142.08,298.65,137.30,87.25,72.30, ,9.55,198.87,208.95,18.26,109.12,235.11,145.16,270.76,13.25,23.87,238.63,121.23, ,43.49,141.98,231.00,125.33,44.39,22.92,200.09,278.68,209.58,230.17,242.72,97.75,151.84,277.90,41.56,142.51,14.03,200.84,130.01,59.00,208.00,43.96,56.39,193.09,294.60, ,237.31,148.21,103.08, ,181.60,206.83,195.15,8.60,165.88,122.17,13.02,6.80,138.26,79.62,29.15,154.62,11.53,227.82,208.94, ,90.54,149.43,1.61,123.25,236.17,219.78,274.88, ,31.86,231.04,119.57,185.70,39.79,80.05,185.36,263.96,79.54, ,194.19,47.68,169.64,279.30,144.91,39.37,286.04,243.79,247.16, ,221.35,180.46,211.37,290.40,193.78,245.76,264.12
 ,281.56,202.71,276.84,215.04,60.37,143.80,298.60,208.14,12.31,162.29,63.27,4.12,121.90,184.37,38.17,211.93,89.58,280.59,162.25,82.64,96.71,226.78,17.39,77.14,286.82,43.43,167.54,288.71, ,173.08,159.76,194.44,164.82,160.09,171.33,13.88, , ,20.73,257.71,24.88,142.46,30.84,131.85,181.26,199.97,103.80,129.58,239.23,7.31,225.64, ,239.52, ,179.83,255.21,148.96,124.95,244.39,183.98,234.17,197.53,119.59,193.88,299.56,243.56,232.43, ,87.47,158.08,288.56, ,126.09,30.23,291.76, , ,50.87,240.98,175.14,249.72,9.73,202.12,256.15,122.50,222.02,299.73,219.78, ,45.88,97.33,143.23,103.75,122.82,259.95,19.88,20.93,30.26,291.01,226.36,106.06,47.58,67.74,257.07,131.63,70.33,299.86,0.92, ,123.74,192.48, ,213.00,57.13, ,48.14
112.46,32.87,221.28,248.22,27.22,117.46,237.41,30.03,47.34,83.48,82.00,66.02, , ,107.36,168.01,59.03,29.21,160.95,162.06,236.31,276.25,219.45,100.19,64.61,83.13,18.60,124.06,215.37,66.54,145.24,178.23,215.01,296.17,157.94,185.13,47.52,148.02,75.02,216.45,95.74,287.74,164.70,198.97,124.81,102.80,200.05,174.32, ,170.50,46.42, , ,76.25,288.69,12.54, ,152.18,259.24,146.98,251.71,204.01,11.44,46.57,287.84,26.55,91.39,222.74,293.72,196.37,52.09,243.77, ,95.95,158.47,168.60,187.58,186.42,225.99, ,137.48,231.56,57.40, ,280.13,75.32,39.43,95.63,250.32,178.25,106.24,282.14,19.14,189.39,133.82,98.80,252.87,76.04,37.27,198.50,242.06,60.94,280.36,260.51,241.18,276.96,175.48,22.27,128.82,100.18, ,198.97,279.92,183.17,216.11,295.32,224.22
294.45,249.49,166.23,92.20,157.13,180.46,161.90,245.05,175.25,100.62,14.82,253.07,177.36,180.14,102.70,141.81,10.09,248.17,271.47,181.30,179.99,244.83,136.84,115.46, , ,86.32,296.63,10.38,208.58,46.67,294.90,108.42, ,56.59,251.24,62.60,276.95,24.68,261.21,134.30, ,50.38,124.55,99.02,221.00,25.45,18.86,156.14,25.33,183.88,87.15,269.24,257.78,191.66,54.82,110.91,118.38,87.74,208.31,77.85,194.35, ,213.22,253.11,148.99,224.38,176.16,24.87,162.99,234.82,173.29, ,201.41, ,289.16,20.12,180.20,70.27,246.40,107.16,24.00,288.53,11.78,153.59,207.84,155.13,156.18,183.71,229.84,218.50,145.48,94.91,88.05,9.19,148.68, ,172.68, ,121.06,87.19,120.94,291.23,137.69,4.49,254.10,64.53,153.32,111.23,235.70,113.43,233.73,61.24,134.79,90.20,218.04,230.51
172.42, ,10.11,19.55,23.26,96.04,107.20,7.09,241.75, ,186.63,130.98,7.81,81.62,221.63,275.39,38.64,73.89,157.91,73.24,166.30,285.46, ,291.51,189.75,275.62,119.89,189.59,123.54,149.39,76.99,196.93, ,44.73,241.39,146.06,92.06,41.76,74.52,69.03,65.83,119.39, ,235.12,189.95,169.41, ,246.40,177.12,76.09,178.55,124.49,32.12,36.96,294.06,249.95, ,15.78,74.64,187.56,154.27,68.41,116.86,270.07, ,145.60,147.57,98.83,48.75,188.61,204.83,197.19,245.76,170.55,227.07,198.70,165.05,5.24, ,53.85,98.34,4.39,127.15,278.52,77.28,287.82,14.30,60.18,116.24,39.63,139.68,26.09,215.46,81.75,95.39,262.97,115.17,73.42, ,51.94,73.16,29.34,175.71,296.32,16.06,84.42,48.61,169.53,50.29,206.87,267.23,117.43,157.63,234.38,80.66, ,153.82
170.81,23.44,86.28,86.69, ,230.14,287.48,168.95,271.51,192.23,118.28, ,275.91,34.08,175.10,217.32,168.13,118.88,158.75,259.80,200.38, ,244.21,275.25,137.68,188.97,185.50, ,285.21,134.00,59.01,39.69,38.02,64.46,99.39,62.06,168.66,171.63,206.65,19.50,109.23,208.77,151.77,178.70,199.18,156.26,21.80, ,59.82,298.99, ,222.20,262.34,241.22,135.11,105.52,167.67,120.87,53.89,292.47, ,191.66,265.86,267.10, ,26.92,83.38,168.72,222.41,96.44,265.03,11.50,86.15, ,207.02,39.20,248.09,289.25,217.10,289.61,116.92,211.13,157.37,251.21,77.18,259.39,47.31,252.31, ,131.48, , ,142.37,35.20,53.02,31.27,164.55,125.04, ,207.53,281.37,258.87,241.01,299.35,109.20,106.18,83.14,270.42,51.72,205.44,87.20,197.17,244.94,220.37,239.25,279.41,286.64
279.17,156.54,215.97,230.18,52.04,231.49,183.57,56.65, ,143.85,46.27,114.34,159.55,98.17,277.24,274.10,297.97,72.05, ,37.79,139.87,220.00,112.30,54.57,192.58,12.80,249.94,176.32,111.53,207.02,151.40,73.09,223.78, ,200.28,176.76,232.44,26.95,78.90,58.38,23.10,260.64,211.99,261.40,24.15,227.88,286.95,196.22,77.48,192.83,263.62,84.70, , ,199.86,242.17, ,265.27,23.58,132.28,11.75,260.35,81.01,134.25, ,188.11,150.75,289.94,150.53,10.44,186.30,1.82,168.54,93.74,88.34,221.11,155.83,284.89,155.26,137.38,48.06,102.15,106.43,13.19,166.73,143.69,233.93,181.49,210.27,191.30,119.32, ,275.16,8.04, ,76.40,131.89,141.16,23.28,26.12, ,192.85,48.24,294.03,127.36,104.03,287.80,221.91,125.79,286.88,175.36,210.23,160.69,132.18, ,79.76,94.44
13.69,32.56, ,226.32,245.07,189.51,132.98,33.08,8.49,92.60,48.76,174.86,37.52,4.17,86.80,189.93,138.70,103.67,193.05, ,138.12,74.67,193.31,104.07,194.58,244.68,172.79,253.28,285.03,86.41,47.13,270.45, ,14.93,148.37,251.91,46.09,108.21,205.55,221.15,188.88,2.32,217.97,220.59,234.85,86.63,228.03,285.82,48.17,268.19,208.73,230.09,232.34,71.89,32.61,195.53,38.22,188.79,147.68,256.41,290.29,97.89,41.09,264.60,84.47,285.81, ,215.90,85.23,19.90,286.82,118.66,51.17, ,7.36,206.48,246.71,6.81,115.10,128.32,137.17,12.50,205.98, ,153.99,293.09,173.75,186.83,188.22,8.92,245.37,191.81,119.83,215.95,203.68,292.76,101.02, ,224.00,161.27,265.52, ,139.41,235.89,278.06,264.24,109.42,160.09,118.75,89.81,144.36,298.55,276.88, ,272.76,154.20,286.46
245.92,259.12, ,285.36,2.43,196.60,159.20,113.08,36.62,12.65,196.39,18.09,110.77,146.02, ,280.05,34.66,63.26,157.54,279.14,244.02,263.77,87.94,168.96,57.08,78.54,268.23,256.14,200.51,287.52,231.85,155.68,193.54, , ,160.52,118.24,168.18, ,256.12,29.37, ,101.22,97.61,190.29,210.95,70.64,125.67,166.03,269.01,200.29,110.64,168.74,165.35,10.89,293.04,55.13,272.92,115.61,225.80,124.27,96.71,35.22,197.41,203.74, , ,95.71,164.84,0.35,1.38,55.95,124.61,9.47,267.44,168.05,130.99,30.00,187.23,150.09,266.47,251.05,157.85,298.76,11.22, ,12.59,108.83,134.96,16.48, ,141.57,80.60,92.85,200.27,175.82,64.72,104.18,69.59,62.53,284.72,67.46,86.34,146.42,212.77,109.83,253.69,245.80,223.96,144.89,18.73,174.58,163.00,99.21,240.80,0.93,235.48
263.12,146.20,115.16,175.88,204.23,176.38,163.87,188.68,224.56,29.46,290.85,77.90,125.04,251.80,244.22,194.36,209.09,16.88,99.52,249.23,22.34,153.78,225.94,194.96,249.87,249.63,116.88,30.78,46.23,67.89,169.85,197.80,2.79,103.18,107.44,106.07,178.01,15.99,2.32,254.45,135.36,192.90,231.61,194.15,206.25, ,76.10,166.09,227.08,258.21,188.22,135.47,188.62,33.99,97.65,247.02,80.30,242.73,82.71,226.69,72.66,28.85,113.01,3.79,275.72,69.48,272.61,181.94,0.28,153.81,160.86,147.76,251.93,273.69,256.91,95.19, ,124.03,202.12,182.12,294.69,11.68,116.73,40.56,216.92,131.79,117.36,162.61,184.55,32.21,210.01,14.38,21.70,117.90,157.38,166.01, ,177.70,260.87,51.25,11.25,70.63,125.10,188.71,187.81,215.83,51.83,121.37,170.11,109.31, ,109.33, ,253.47, , , 
31.17,243.23,223.82,164.01,158.04,114.88,263.46,51.68,43.25,281.99,152.40,120.19,35.86,215.21,69.33,105.47,282.75,139.41,18.02,133.65,51.05,175.92,170.40,126.38,270.70,216.69,184.29,84.83,126.30, ,195.63,199.10,112.35,135.53,265.82,152.57,189.99, ,204.50,245.40,185.15,139.25,39.19,138.72,243.68,124.07,160.64,236.41,66.03,292.30,150.02,237.53, ,38.62, ,10.12,256.62,171.20,297.12,119.40,34.42,100.85,100.39,112.17,118.25,221.00,263.16,241.79, ,263.03, ,188.77,27.72,144.71,241.26,109.31,277.67,123.74,2.22,40.01,260.92,292.60,268.81,252.95,156.44,173.64,88.49,45.18,207.80,15.13, ,124.44,9.39,33.46,270.39,127.91,218.50,77.38,254.98,53.37,189.58,39.23,157.73,30.50, ,220.39,158.51,113.51,261.50,101.68,52.07,177.31,277.77,214.23,118.47,131.57,136.95
23.29,58.55,152.77,134.37,21.57,25.28,61.10,216.76,36.18,222.06,105.67,76.98,278.02,267.27, ,104.22,202.79, ,27.72,101.46,152.43,154.97,258.11,164.48,78.86, ,0.92,249.36,191.13,178.77,236.54, ,40.76, , ,67.74,46.51,58.68,292.22, ,250.33,241.12,208.59,268.89, ,218.26,147.06,289.02, ,277.38,164.83, ,132.08,265.19,213.09,77.53,237.53,155.64,95.29,275.84,249.74,193.00,295.60,55.52,273.71,262.00,44.41,242.03,282.06,55.08,231.09,100.46,286.77,235.87, ,211.72,186.68,212.13, ,252.20,77.29, ,39.29, ,277.46,210.67,248.58,154.66,98.35, ,85.12,284.17,148.17,186.31, ,98.44, , ,199.72,276.54,202.21,223.69,117.24, ,65.83,293.84,198.46,293.81,160.18,150.77,173.87, ,166.83,132.74,186.17,115.36, 
17.57,145.65,55.83,36.41,80.12,67.17,279.20,262.16,38.95,147.74,150.01,79.65,23.69,171.70,147.46,278.12,273.00,62.27,103.77,150.49,128.92,162.46,278.63,247.51,237.55,230.40,286.20,73.09,42.14,66.05, ,44.17,252.20,116.91,271.70,131.52,44.50, , , ,142.68,45.38,195.38,167.79,285.83,191.48,185.67,217.58,1.70,117.07,89.13,141.33, ,296.92,278.79,201.83,157.65,51.98, ,27.76,78.92,46.55,41.57,227.92,97.10,231.38,99.25,12.26,25.23,237.51,220.67,276.27,110.13,279.24,175.57,153.68,20.60, ,62.17,152.81,229.55,252.71,181.67, ,122.26,97.86,72.89,12.25,245.79, ,225.02,202.97,24.07, ,224.30,14.79,235.15,286.30,288.82,199.25,286.00,260.49,81.27,102.39,82.55,215.90,273.20,12.91,110.37,157.84,252.72,91.43, ,77.73,197.57,104.69,193.75
120.11,207.47,80.00,236.04,216.89,101.37,58.89,113.55,164.44,181.98,239.64,245.82,275.29,225.13,3.00,206.18,96.49,276.60,114.64,4.67,258.62,34.70,112.63,246.77,296.47, ,236.11, ,253.48,103.35,253.86,297.49,229.46,273.69,270.48,118.70,119.86,81.18,94.82,2.81,170.89,170.33,235.39,144.99,242.79,67.48,54.69, ,284.15,30.38,129.43,8.91,238.57,185.76,181.05,95.94,250.46,92.96,30.61, ,219.48,228.83, ,283.52,58.00,210.88,157.89,207.08,144.89,253.03,238.78,110.22,56.71,129.95,196.17,11.54,80.03,105.48,117.51,118.92,56.67,263.88,70.12,81.37,16.61, ,255.39,55.88,225.18,120.06,12.72,86.38,60.65,294.86,20.09,246.56,140.53, ,55.10,30.44,261.49,170.86,2.44, ,292.55, ,112.62,92.30,125.73,153.88,276.53,48.41,228.07,200.92, ,256.02,133.92
212.40,263.33,183.41,82.57,267.16,288.58, ,81.81,236.12,160.56,217.20,273.04,152.98,49.69,129.98,90.39,212.99,185.79,154.77, ,30.74,277.25,162.13,101.13,167.81,154.93,254.02,53.49,216.89,148.98,57.44,263.74,62.57,165.69,89.88,210.21, ,187.46,71.88,241.08,286.96,221.19,231.92,120.90,201.98,180.18,105.79, ,85.69,274.18,187.43,5.51, ,215.26,24.62,104.26,53.40,243.59,158.62,259.69,206.71,27.89,237.00,116.64,219.37,250.25,96.39,176.26,198.99,179.15,78.67,189.30,74.62,106.66,8.39,212.77,228.02,1.98,74.34,141.09,27.58, ,123.98,40.70, ,132.22,228.25,180.57,42.96,250.44, ,258.84,101.21,143.99,175.92,116.20,150.10,22.12,274.36,47.11,164.11,147.28,280.01,241.85, ,197.04,250.75,6.84,186.69,10.70,56.69,44.76,169.81,73.34, ,219.43,144.08
 ,291.36,190.12,86.67,150.67,35.69, ,42.53,255.89,278.84,280.00,229.21,168.36,104.57,212.91,137.97,107.55,48.35,238.21, ,225.89,22.74,49.97,4.12,47.83,296.95,207.43,161.49,163.85,43.24,158.28,281.43,174.80,263.62,267.72,166.20,10.06,155.20,280.88,78.14,86.75,260.99,70.58,232.85,67.85,77.90,43.33,141.40,88.85,45.30,166.52,250.18,100.44,236.61,264.69,110.03,89.83,45.62,193.50,94.86,254.55, ,297.89,28.88,20.95,261.31,0.41,27.69,273.25,113.60,97.76,164.59,218.18,194.82,129.12, ,90.47,46.22,125.72,6.84,299.26,3.05,141.15,104.46,149.10,131.74, ,260.09,184.49,3.88,256.86,252.59, ,80.42,201.43, ,208.27,154.11,250.93,190.15,35.34,275.89,40.03,8.17,247.83, ,251.71, ,84.70,265.57,4.97,209.60,296.95,158.99,166.88,81.94,236.71
