Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115,Col116,Col117,Col118,Col119,Col120,Col121,Col122,Col123,Col124,Col125,Col126,Col127,Col128,Col129,Col130,Col131
185.28,0.39,179.90,122.15,209.43,156.99,186.63,179.87,241.32,211.65,16.54,83.69,242.91,238.04,219.11,83.77,179.96,249.36,167.04,146.52,292.48,0.07,56.18,17.59, ,229.24,243.22,197.26, , ,143.07,147.12,222.08,157.03, ,216.89,272.39, ,264.87,249.82,123.09,161.56,56.44,234.16, ,131.42,24.81,47.76,206.55,85.21,181.85,58.95,264.73,162.14,296.21,164.30,52.15,1.74,50.51, ,50.17,238.33,53.70,2.62,204.31,2.03,209.30,121.33,58.22,170.18,148.88,137.00, ,131.07,24.11,83.34,231.74,69.34,165.93,189.22,271.41, ,33.80,178.27,133.99,7.80,209.18,103.40,145.74,177.25,278.88, ,109.90,32.11,177.16,246.34, ,217.75, , ,109.00,106.68,180.32,247.15,271.15,135.68,5.32, ,284.20, ,94.10,205.42,239.48,219.69,84.25,288.90,88.99,93.67,40.88,10.14,63.49,38.58,98.18,212.10,28.10,224.92,46.17,95.55, ,15.24,18.06
 ,167.89, ,261.56,119.18,147.47,299.03, ,198.21,189.70,278.56,94.17,40.01,33.82,125.99,150.80, ,3.48,153.57,176.20,82.47,50.67,102.61,58.71,247.91,138.10,264.22,152.39,95.91,201.52,118.71,82.28,154.83,34.11,30.90,123.53,205.70,43.32,223.91,256.71,87.69,230.05,150.72,219.61, ,121.12,193.87,260.39,145.10,164.19,77.05,277.02,280.21,233.75,75.13,245.23,123.48,177.00, , ,94.99,34.59,15.52,206.38,58.55,22.06,204.98,297.25,289.55,33.22,265.97,259.09,55.31,251.25,257.96, , ,279.43,269.07,154.81,270.86,226.93,136.10,92.04, , ,110.79,4.88,155.49,287.97,46.54,143.11,81.25,57.44,261.19,55.63,201.96,29.35,19.41,260.80,298.79,193.03,21.84,186.35,161.88, ,208.42,231.24,194.80,270.35,227.28,11.11,198.83,72.63,57.01,288.53,236.86,61.49,285.08, ,162.41,107.11,29.71,181.78,115.46,212.98,75.15,82.04,108.67,191.05,176.65
124.93,65.99,106.61,73.25,45.22,187.31,186.21,73.00,159.64,215.86,259.39,282.46,109.43,161.08,227.52,129.60,82.84,140.62,8.02,255.46,149.54,205.58,59.79,103.75, ,19.61,126.43,274.51,120.04,28.94, ,66.67,45.61,145.72,38.95,100.11, ,249.65,112.57,196.97,89.15,258.19,108.45,119.37,252.49,148.59,59.94,48.10,187.36,155.78,236.55,173.70,216.50,68.14, , ,120.21,81.51,6.66,163.02,272.92,65.44,96.94, ,145.04,150.62,291.22,279.20,97.90,217.23,278.31,30.00,66.50,24.93,234.56,7.92,187.81,126.04,220.37,272.58,86.85,108.05,47.40,78.80, ,296.02,275.71,96.56,8.81,244.06,259.03,161.63,46.76, , ,205.44,28.66,183.92,78.90,199.25,40.79,163.55,111.12,279.12,58.39,232.14,141.63,161.41,210.80,288.33,264.25,153.53,164.61,144.76,299.45,109.64,88.58,77.05,112.45,107.37,44.09,173.30, ,34.71,141.49,177.30,207.14,51.49,235.67,44.82,88.39
288.82,177.41,205.68,74.46, ,245.31,223.99,191.64,153.33,296.17,257.92,3.36,245.61,264.66,248.23,122.95,132.65,214.47,157.26,169.12,176.05, ,100.04,16.66,86.39,250.90,55.20,185.97,90.64,48.85,37.62,248.14, ,199.72,119.99,280.73,176.08,103.56,256.82,17.76,123.00,162.45,170.25,191.58,98.12,3.29, ,195.98,93.26,71.18,41.30,63.15,4.24,133.98,176.75,23.11,293.59,250.76,8.40,190.79,56.35,266.13,190.34,151.11,83.42,66.02,50.46,155.15,49.09,60.04,159.71,14.15,221.30,152.51,223.14,192.54,215.05,259.15,20.78,88.99,32.56,228.93,284.18,137.71,73.20,259.12,280.89,86.21,238.17,131.88,282.01,140.80,183.09,2.44,210.22,8.08,246.44, ,230.62,163.50,94.27,223.01,42.14,113.40,134.45,76.21, ,100.64,231.19,236.51,187.60,25.06,89.50,132.68, ,153.75,166.01,40.03, ,82.17,88.60,119.74,102.72,174.85,252.06, ,188.58,74.68,64.73,124.80,103.03
238.36,218.88,204.82,193.40,41.08,268.63,298.44,170.29,284.20,66.00,260.72,129.90,289.88, ,114.69,108.79,169.22,273.66,270.40,166.99,273.64, , ,44.12, , ,212.60,224.07,245.89,132.73,168.53, ,283.22,95.84,127.44,11.66,131.81,268.03,217.87,101.29,57.84,170.61,242.29,139.97,101.65,77.85,187.15,69.99,63.42,208.38,27.24,291.89,164.26,141.29,273.64,41.22,272.27,247.39, ,87.36,169.24,237.54,293.14,22.17,106.16,71.89,215.23,288.90,156.18,215.58,222.47,279.52,130.43,201.34,258.93,204.68,94.68, ,87.82,102.52, ,290.52,288.12,15.14,280.04,225.85,109.63, ,89.16,184.21,3.60,239.44,133.89,86.98,147.97,161.06,126.14,241.01,140.29,164.50,126.79,43.17,145.47,76.19,293.75,215.13,189.60,289.65,222.18,299.59,251.44,20.65,12.82,226.94,108.42,270.44,127.28,257.62,205.09,207.37,294.21, ,183.81,185.85,199.25,206.90,213.93,290.05,80.37,218.45,60.13
203.93,137.17,252.96,122.63,17.28,280.98,217.67,116.84,72.09,66.00,285.49,46.54,271.44,227.25,60.40, ,264.32, ,181.86,146.86,222.46,25.96,3.90,68.24, ,140.33,113.15,122.32,165.86,64.52,25.11,53.17, ,17.49, ,199.35,37.98,153.38,229.79,206.02,125.07,220.57, ,33.71,285.90,250.58,191.32, , ,296.52,299.90,116.59,213.36,229.02,200.89,46.99, ,220.41,63.91,48.18,174.69,213.39,83.49,192.81,106.01,23.36,38.43,43.98,250.74,158.48,292.38,114.94,26.76,32.87,176.33,18.16,213.96,52.51,228.69,24.30,283.84,262.08,85.03,251.74,97.55,103.72,99.83,40.01,254.00,217.26,153.95,181.35,166.96,65.36, ,89.66,163.01,92.43,222.35,137.02, ,247.24,285.96,280.49,173.67,98.87,64.82,26.35,20.72,180.03,288.96,175.75,222.22,211.75,235.41,244.53,206.28,255.38,238.84,218.22,170.37,203.43,269.90,181.37, ,61.40,112.06,252.46,42.82,143.12,200.94
94.85,59.65,49.86,225.46,170.12,156.11,241.39,157.11, ,147.73,34.08,106.34,176.90,197.51,180.84, ,34.21,137.84,129.31,45.75,173.43,92.72,103.07,120.86, ,93.54,199.56,32.35,282.30,43.62,51.68,227.63,258.67,232.87,199.63,98.26,294.00,47.11,117.19,144.41,286.51,185.27,65.56,191.97,126.88,227.65,160.04,273.59,225.61,171.23,27.03,79.63,283.62,44.59,207.97,178.17,126.93,80.54,281.07,240.34, , ,286.50,23.29, ,248.90,58.07,193.60,153.77,11.18,259.22,188.47,290.15,275.15,163.49,34.67,107.98,44.09,129.12,299.26,299.07,255.78,22.30,84.70,64.01,156.57,207.85,171.44,127.99,251.61,14.23, ,122.21,171.57,258.01,97.45,282.87,3.00, ,152.38,243.97,220.58,239.62,145.58,26.44,257.65,265.06,264.33,94.09,264.11,51.22,289.73,230.78,101.45,103.26,95.49,170.22,147.77,144.50,220.89,266.93,149.00,150.42,24.52,206.54,136.78,236.54,56.21, ,157.66,265.12
233.61,281.71,160.12,94.18,12.43,120.40,114.12,41.38, ,285.89,65.53,91.74,249.19,169.39,5.61,76.17,241.11,98.81,248.64,284.97, ,250.10,93.73,274.90,291.67,121.00,117.33,217.40,192.86,288.80,70.96,80.09,237.41,286.87,117.26,113.18, ,63.28,173.72,116.78, ,168.58,244.84,73.51,105.32,227.58,270.28, , ,186.61,218.98,156.04,50.69,255.61,32.50,4.39,214.28,279.18,143.06,68.78,86.25,182.93,268.22,12.38,203.58,86.47,72.47,158.80,211.72,253.83,211.91,104.23, ,83.41,114.50,277.85,93.69, , ,120.17,119.90,270.78,265.27,91.36,252.14,119.50,168.35,278.46,167.95,98.02, ,212.52,291.57,52.47,157.58,263.68,279.90,195.56,107.75,90.16,241.04,135.03,173.02,286.06,66.71,97.61,104.44,276.85,253.71,239.52,189.32,36.07,45.68,168.02,220.53,168.97,262.85,169.16,202.76,135.47,245.93,287.54, ,264.39,196.93,85.89,183.04,44.28, , ,220.29
196.43,57.19,141.32,227.16,263.96,112.66,28.31,220.96,288.96,225.04,179.07,194.10,0.02,114.38,214.29,223.01,213.13,168.73,41.39,31.64,178.27,238.78,190.05,285.25,45.10,64.90,221.22,286.28,197.38, ,111.67,179.05,48.45,91.12,200.65,134.53,65.28,144.77,168.89, ,47.90,167.39,273.78, ,260.05,269.18, ,80.85,144.95,244.48,94.36,204.85,181.90,46.64,255.62,29.62,275.59,9.74,190.31,231.58,243.57,231.29,207.33,200.31,15.38,56.47,192.16,91.11,72.16,234.80,156.25,287.91,41.93,274.82,281.18,194.36,147.83,229.04,137.79,107.43, ,163.90,166.29,54.01,197.39,175.15,48.01,213.08,181.50,154.67,191.92, ,116.67, ,45.71,271.54,71.49,149.19,87.61,60.61,255.84,33.38,183.17,270.56,261.25, ,115.91,198.91,273.92, ,107.68,49.93,236.35, ,85.55,291.53,117.43,56.88,166.53,258.60,158.44,209.17,61.84,276.31,202.06,276.33,57.90,37.87, ,159.29,59.52
32.57,33.53,217.44,32.25,67.55,263.75,189.34,184.23,250.56,116.48,121.31,258.68,142.28,132.92,136.83,217.67,53.00,35.12, ,67.37,127.71, ,250.11,13.76,151.30,279.33,165.10,72.20,259.58,219.57,216.05,284.93,225.81,84.93,8.37,28.30,272.80,123.64,12.72,57.25,101.72,131.81,137.22,90.59,118.50,189.29,66.57,168.28,212.15,253.31,98.30,4.65, ,128.29,70.17,51.27,67.41,66.01,225.06, ,21.86,134.97,123.07,85.37,193.91,244.56,218.04, ,222.69, ,50.98,256.45,159.24,84.08,256.67,172.15, ,194.01,78.07,138.29,190.53,173.52,74.21,106.09,149.57,231.04,79.76,292.30,198.26, ,145.35,298.80, ,241.91,81.54,16.68,299.59,49.48,95.25,193.85,240.77,230.12,79.27,210.83,106.31,254.53,254.45,285.62,160.47,183.47,247.51,161.85,107.35,120.21,35.03,103.94,57.48,147.61,43.94,208.32,167.54,137.06,257.00,93.93,50.21,59.48, , ,244.82, ,65.04
167.70,291.44,136.59,291.11,69.43,181.66, , ,56.74,1.50,133.00,229.62,178.46,287.95,172.16,232.46,160.34,16.31,243.65,177.28,126.23,284.31,166.39,52.40,240.47,102.54,172.88, ,51.34,171.83,131.66,83.59,5.01,85.17,127.40,34.07, ,280.79,72.19,247.86,70.31,178.50,261.79,205.01, , , ,253.84,162.17,65.04, ,150.21,48.58,58.05,152.57,157.20,186.02,49.35,293.38,129.17, ,34.18,81.93,118.34,194.86,73.20, ,294.38,171.66,198.38, ,50.95,10.88,154.56,25.06,109.31,240.06,232.13,165.33,172.94,49.84,264.17,27.70,117.41,283.51,36.18, ,87.13,24.93, ,140.87,147.21,40.82,14.67,61.51,287.02,163.67,2.25,159.89,239.70,167.75, ,203.93,151.72,18.19,53.91,17.51,201.72,182.65,282.37,50.50,142.62,26.03,287.20,39.37,93.56,184.89,154.34,153.20,79.89,182.70,225.91,275.63,167.92,116.62,13.88,12.64,152.07,35.98,192.54,156.40
92.02,2.88,130.11,252.42,27.48,43.81,35.34, ,203.26,197.63,191.59,66.18, ,104.85,56.07,159.42, ,251.44,286.38,83.88,150.22,169.94,37.70,20.69,204.33,234.85, ,126.44,43.66,83.51,258.61,145.91,52.06,69.47,115.79,89.70,117.50,128.19,121.28,123.53,155.84,113.27,24.96,124.51,114.24,217.14,47.60,190.88,192.47,105.49,227.62,266.51,278.78,147.96,46.21,278.48,18.96,159.86,31.46,112.54,192.38,218.55,92.73, ,285.20, ,293.46,40.32,42.51, ,190.47,100.89,97.64,180.91, ,224.83,147.18,66.56,67.05,279.55,94.54,144.98,164.33,161.70,98.41,223.75,94.68,253.97, ,256.92, ,119.73,250.81,99.75,6.46,2.48,26.58,5.20,261.33,9.99,74.18,27.25,261.48,40.84,78.56,172.38,211.35,278.48,259.01,179.53,245.03,251.48,279.03,143.16,126.22,63.40,261.56,198.33,212.58,138.50,120.58,207.24,2.98,194.09,263.95, ,208.97,178.93, ,135.62,175.03
176.89,162.23,29.08,61.49, ,199.99,120.31,140.03,213.84,46.34,289.69,103.28,75.59,79.24,117.83,185.28,279.86,241.90,152.78,179.80,2.19,27.23,290.66,274.74,193.00,80.33,141.04,81.35,165.82,226.89, ,112.17,243.42,5.21,88.66, ,183.10,21.33,132.35,77.58,216.48,128.17,153.27,180.42,185.84,95.21, ,58.76,93.21,160.77,63.91, ,5.44,115.94,42.86,38.75,55.39, ,183.56,244.30,132.47,38.61,274.13,208.60,76.22,35.07,100.22,186.43,104.42,22.24,61.82,169.95,25.91, ,209.47,217.60,209.70,100.84,70.65,297.00,28.40,138.61,99.02,151.82,42.01,27.56,232.60,43.14,24.00,88.17,245.56,295.71,102.28,243.67,48.73,276.47,239.48,42.52,52.66,43.82, , ,267.86,69.47,112.60,179.33,26.93,206.53,280.15,119.19,181.75,164.49,245.04,273.29, ,25.94,186.30, ,257.68,244.76, ,57.36,278.81,147.54,164.66,83.85,289.38,55.22,172.17, ,276.14
89.90,212.67,4.91,218.84,121.75,289.74,220.95,200.03,257.89,43.73,87.58,117.45,272.42,267.42,77.09, ,166.99,285.25,67.09,57.63,140.27,19.43, ,129.78,21.25, , ,215.75, ,33.20,254.62,115.50,85.04,213.05,121.25,90.83,216.82,218.03,69.69,118.57,67.24,233.12,45.33,70.66,280.30,246.24,111.82,75.39,120.81,148.89,186.75,130.40,88.19,160.65,285.90,69.75,59.31,208.05,0.98,202.80,82.58, ,194.39,291.60,31.59,240.14,166.79,104.05,268.05,131.01,138.38, , ,169.55,99.56,199.53,177.00,160.86,97.02, ,88.62, ,68.66,242.05,266.50,205.81,198.58,60.47,147.06,228.47, ,28.03,54.22,167.79, ,193.83,22.42,120.67,99.05,255.55,124.78,87.20,156.59,67.41, ,214.47,251.20,27.89,221.87,85.55,17.13,283.50,75.13,169.85,213.19,199.60,183.95,41.49,278.24,281.95,50.01,68.50,127.48,280.44,178.49,139.02,118.71,244.80,236.66,137.88,173.81
104.14,159.13,272.30,172.91,32.67,150.66,224.13,197.55,27.49,270.56, , ,289.03,283.11,31.10,75.53,158.47,262.68,25.31,154.96,189.22,121.14,288.80,18.02,249.84,262.39,212.03,9.67,150.51,126.73,113.77,86.52, ,49.20,107.25,144.78,173.39,126.61,21.21,231.29,121.72,169.95,188.83,51.80,254.51,216.62,158.34,222.63,200.82,120.40,256.00,13.54,297.60,42.66,12.03,226.36,250.76,175.88,200.32,229.48,272.25,290.93,264.98, ,165.79,81.56, ,46.75,270.77,27.54,63.15,287.38,173.33,85.83,77.74,276.89,140.96,153.31,79.72,45.46,284.08,122.45,72.22,45.32,213.55,56.42,112.45,266.21,281.95,34.99,38.18,66.90,261.01,11.04,38.49,81.62,287.34,180.50,73.28,102.56,298.69,263.52,202.79,96.92,281.76,244.42,143.79, ,104.80,210.12,270.02,227.16,253.96,173.09,204.51,116.08,97.61,154.85,177.85,5.66,66.34,7.01,281.35,285.36,249.85,231.68,162.10,212.45,290.07,129.58,184.46
