Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112
74.88,90.43,264.37, ,202.88,130.16, ,290.18,234.26,75.34,272.60,125.60,65.66,216.31, ,166.53,24.92,282.81,83.90,79.55,265.09,105.62,33.63,85.43,10.09,269.68,87.45,274.70,109.66,168.63,188.98,217.75,28.63,29.08,7.17,81.69,91.06,67.52,263.13,19.02,267.79,122.32,32.70, , ,124.15, , ,211.34,227.04,270.48,52.50,64.75, ,155.82,17.43,284.62,299.53,138.16,80.16,20.92,200.96,1.34,15.46,288.49,241.51,55.87,280.97,262.38,283.43,136.65,98.70, ,98.23,9.40,159.28,107.38,103.77,37.81,286.12,169.41,293.80,127.38,78.84,153.82,144.33,30.64,70.72,16.42,231.03,255.40,228.62,126.77,33.43,213.30,216.87,91.07,180.59,102.11, ,255.92,223.68,184.08,298.65,85.29,267.02, ,57.33,185.76,72.12,48.69,238.75
68.13,176.24, ,278.35,27.62,61.59,162.21,20.16,281.66,28.46,216.56,6.01,37.22,28.40,238.80,195.17,81.96,80.59,173.26,238.84,293.21,152.17,246.10,16.28,277.78,176.43,196.19,150.63,72.55,189.82,192.86, , ,9.97,5.50, ,244.34,48.45,236.29, , ,220.14,86.41,295.05, ,177.50,94.48,10.41,261.40,69.28,178.08,173.40,262.49,127.92,277.09, ,180.96, ,101.10,177.91, ,158.66,254.72,21.53, ,5.83,203.71,43.27,154.37,265.38,145.32,163.46,165.99,3.36,237.85, ,115.76,288.94,97.50,264.46,148.43,124.87,168.62,57.87,54.35,215.81,119.86,34.67,175.10,245.62,118.86,216.36,220.53,209.04,148.96,137.06,138.41,11.99,161.91,257.46,44.39,87.47,182.37, ,57.47,52.14,122.00,278.48, ,183.77,40.78,139.17
30.13,139.77, , ,111.97,217.95,115.34,20.62,127.56,55.19, ,117.30,281.49,9.32,279.55,45.02,114.16,42.42,62.64,76.36, ,18.43,52.88, ,73.50,115.24,186.67,79.89,198.64,99.75,65.62, ,110.64,297.10,134.01,96.13,165.20,115.06,142.72,17.41,241.43, ,142.06, ,221.95,90.22,139.29, , ,181.13,10.19,193.08,267.08,62.74, ,177.79, ,45.73, ,287.16, ,129.22, ,51.17,50.24,96.61,83.45,229.56,25.39,136.12,74.87,232.32, ,110.11, ,155.84,90.18,138.57,272.22,118.63,13.65,57.89,217.30,125.47,84.39,254.66,20.44,45.85,236.68, ,159.73,218.71, ,61.70,237.04, ,55.67,24.65,115.20,141.85,260.38,40.94,243.37,131.68,7.29,209.59,147.30,16.39,185.41,127.72, ,161.64
 ,218.95,12.08,10.62,290.70,142.64,82.23,293.09, ,0.38,268.50,145.64,44.91, ,139.73,63.29,201.01,259.12,90.06,154.11, ,144.81,267.77,153.90, ,67.81,169.92,81.21,211.79,243.36, ,83.09,105.55,63.83,213.80,109.96,37.89,10.13, ,277.90,136.20,228.69,144.40,270.15,297.06,44.64,5.39,23.52,192.45,232.03,192.00,22.30,153.71,87.13,215.24,95.56,96.73,255.45,122.87, ,119.93,211.37,112.94,83.88, , ,213.17,254.08,125.37,182.70,118.21,273.54,14.66,279.97,280.44,161.78,87.83,13.59,42.06,297.47,107.66,188.02,291.25,49.83,173.17,174.93, ,148.47,166.28,154.60,153.89,66.97,163.53,73.52,90.74,160.21, , ,104.70,39.66,78.37,119.97, ,111.35,179.68,28.81,140.58,207.03,0.97,79.82,40.49,140.38
102.77,248.23,161.75,190.84,55.15,228.52,78.33,228.57,25.85,11.15,191.38,82.72,185.15,241.98,105.10,166.16,139.41,59.05,91.17,109.71,297.01, ,75.34,140.94,103.95,44.50,289.70, ,182.04,215.64,73.46,206.38,228.61,54.02,46.96,237.54,291.51,194.90,9.89,44.83,76.96,87.75,132.85,100.45,198.26,138.91,36.83,211.34,91.07,253.09,110.55,294.70,125.19,5.95,162.60,178.33,193.93,286.90,16.50,41.66,103.44, ,140.27,97.82,16.92,58.79,173.74,149.64,74.62,281.75,201.84,88.03,226.46,128.30,70.60,294.89,19.09, ,159.36,269.67,118.21,23.85,206.59, ,182.40,162.03,257.59,196.68,205.26,99.73,76.37,249.21,155.69,246.70,127.66,297.20,166.21,116.57, ,89.84,119.04,124.17, , ,179.87,93.30,240.68,79.38,76.08,266.70,97.34,172.04
291.44, ,21.49,150.91,171.17,77.17,237.23,104.24,240.24,218.56,185.88,22.63,121.51,263.60,270.61,37.94,249.27,127.49,84.02,228.89,91.45,264.10,66.43, ,6.67,72.50,199.42,272.56,239.44, ,105.33,117.74,232.37,145.97,37.77,38.26,185.18,272.73,158.38,217.63,45.83,84.82,130.59,268.32, ,114.15,247.52,4.55,162.95,236.76,109.33,261.07,51.93,48.71,249.16,118.85,133.71,46.29,180.62, ,207.52,211.94,38.76,98.89,5.47,66.30,279.78, ,55.77,280.14,186.20,192.35,190.77,55.07,155.53,186.10,143.22, ,237.55,7.78,145.64,206.90,241.53,144.98,242.44,111.03,16.16,239.28, ,265.34,168.15,11.97, ,155.19,239.45, ,247.22,193.31,36.08,202.00,250.24,165.20,143.92,96.36,151.41,115.34,193.84,237.62,37.74,61.00,251.26,117.01
282.93,158.95, ,60.95,65.81,106.98,237.77,242.37,170.52,237.35,253.77,224.88, , ,220.58,187.95,144.93,57.26,245.38,270.83,18.06,100.18,182.65,144.16,159.96,184.94,1.94,18.15,298.29,163.51,4.65,293.21,137.89,4.83,126.75,89.61,12.30,269.86,227.75,19.97, ,204.91,130.64, ,57.46,179.91,260.79,272.44,34.13, ,38.96,131.23,283.23,26.92,245.91,100.77,241.83,188.62, ,19.26,276.67,232.28,297.69,41.13,147.08,80.46,114.22, , ,257.30,155.76,204.73,231.09,19.47,153.28,193.06,56.58,249.26,26.31,181.94, , ,142.70,180.58,271.62,85.77, ,241.53, ,19.16,291.57,109.90,204.84,17.39,172.70,250.28,213.60,266.44,161.24,128.23,66.06,205.18,28.78,93.35,54.27,78.36,151.13,190.69,191.23,17.39, ,267.66
88.32,229.37,261.12,47.24,104.56,208.12,175.87,49.73, ,162.24,35.59, ,226.28,121.75,86.73,9.07,148.61, ,77.98,115.40,63.64,221.05,26.46,86.61,227.17,251.69,92.76,102.80,213.55,145.03,258.88,56.98,179.31,167.55,170.78,73.79,101.29,145.16,172.28,89.69,282.27,188.87,28.66,98.31,163.81,290.12,274.04,135.96,201.48,110.65,286.47,6.68,179.28,215.51,83.60,151.01,46.59, ,75.25,239.22, ,182.56,18.03,54.69,9.96, ,120.62, ,5.05,231.73,186.94, ,270.53,86.89,199.04,177.31,158.30,291.76,299.08,71.68, ,225.67,10.20,286.26,227.14,73.73,175.65,6.12,231.20,198.43,57.61,144.91,183.50,23.67,260.51,8.82,77.04,281.84,17.66,125.87,259.41,103.68,160.27,246.59,268.37,59.07,170.21,57.89,165.42,290.85, ,299.67
181.61,223.97, ,192.07,196.63,294.32,286.54,110.11,246.06,78.15,104.46,209.12, ,74.53,292.92,48.46,142.59,226.75, ,178.58,293.64,110.11, ,96.65,185.63,88.61, ,93.74,56.30,230.91,77.39,51.29,223.27,120.45,270.63,52.25,145.64,224.42,33.85,52.40,185.57,265.01, ,58.75,246.43,149.15,139.00, ,116.86,99.98,100.56,124.32,219.83,198.71,225.70,144.19,108.96,60.28,179.43,132.71,196.83,246.82,33.32,257.74,218.00,87.48,128.34,171.38,181.75, ,107.45,36.60,111.61,145.82,245.79,18.28,293.06, ,194.70,261.06,96.08, ,183.57,38.49,69.02,277.12,279.06,141.76,170.12,82.02,138.94,112.17,71.27,69.81,299.93,22.62,111.80,62.53,99.32,90.74,187.67,7.44, ,149.20,22.56,264.42,241.51,150.68,63.50,168.53,255.85,147.68
296.04,170.74,148.68,82.15,159.43,24.46,2.44,208.57,276.24,63.50,165.21,16.48,170.09,53.78,69.26,234.15,250.83,56.71,76.65,116.53,288.87, ,291.31,170.82,290.89,79.81,209.02,225.12, ,110.14,290.01,92.97,244.70,29.05,143.31,140.28,41.79,100.82,120.45,174.86,106.37,216.56,127.69,240.14,74.62,156.94,229.67,288.79,293.70,175.80,123.55,96.85,145.22,169.38, ,44.24, ,262.91,134.53,229.53,56.02,124.94,68.79,162.87,228.99, ,104.79,198.97,90.43,266.09,233.69,1.25,34.18,240.84,255.30,282.70, ,286.85,0.42,209.53,113.22,19.86,243.31,87.60,103.87,30.26,85.60,93.22,296.20,4.37,169.29,32.06,123.28,54.17,74.56,286.99,102.21,76.41, ,164.01, ,15.92,216.12, ,9.35,98.18,169.43, ,205.24, ,28.52,46.06
273.07,139.21,111.97,237.25,166.33,267.19,117.18,206.61,209.14,83.75,139.30,154.85,158.42,223.82,232.97,39.16,279.63,66.88,24.42, ,190.75,216.28,222.58,87.84,232.57,225.03,143.10,94.74,36.63,298.85,62.16,262.74,248.36,35.09, , ,289.04,144.61,237.51,228.76,208.46,29.16,101.22,11.71, ,48.34,246.14,87.31,234.65,163.23, ,203.19,129.82,297.55,97.56,41.62,260.42,187.65,83.58,161.84,184.83,143.62,55.28,297.29,50.18,133.38,143.40,67.21, ,64.77,26.37,289.27,260.25,240.34,22.93,111.67,114.03,261.84, ,77.37,246.23,74.11,253.48, ,20.69,45.00,138.39,85.29,124.05,67.02,295.37, ,107.04,107.63, ,131.64,247.37,250.14,227.06, , ,145.93,35.32,134.55,262.29,1.37, ,68.39,260.74,144.32,66.50,95.61
83.60,183.87,49.66,163.61,287.18,225.33,43.50,170.82,78.55,218.57,56.02,15.63,145.30,84.53,111.90,148.30,279.66,132.05,290.96,108.72,3.83,14.41,150.32,264.53,275.88,93.77,170.07,48.66,269.35,227.17,13.34,276.75,107.64,22.32, , ,76.74,165.10,155.61,276.38,244.30,3.25,284.16,147.46,188.69,166.02, ,179.36,174.82,298.97,194.69,88.07,174.31,190.84,51.96,241.84, , ,175.36,178.26,36.09,237.38,77.10,50.97,244.56,128.83,209.40,41.10,49.25,193.82,180.87,146.34, ,296.90, ,185.53,41.94,106.15,74.52,32.55,139.72,51.27, ,260.67,261.75,41.30,151.96,58.02,127.73,215.63,197.53, ,92.60,231.77,230.14,82.00,131.77,239.81,190.26,143.71,122.20,223.62,253.80,57.39,32.74,267.18,135.65, ,228.25,99.30,57.04,208.99
237.37,259.54, ,119.99,203.29,65.96,241.56,31.92,71.31,237.06,222.03,214.56,0.96,188.87,98.49,36.94,231.83, ,52.23,197.75,91.91, ,218.82,102.07,80.45,15.41,211.87,90.22,27.01, ,215.87,266.38,256.07,142.16,162.36,12.34,210.75,200.06,23.08,95.12,62.01,289.23, ,226.68,6.80,260.92,169.55,141.07, ,225.68,259.84,116.45,148.16,76.44, , ,29.78,73.35,83.87,171.32, ,41.06,242.94,145.74,182.04,192.38,212.49,278.00, ,250.18,258.09, , ,126.14,93.71,18.47,262.07,141.82,230.86,194.27,258.60,114.88,199.14,157.91,111.04,244.46,7.13,87.85,180.88,130.72,113.49,152.17,38.98,26.89,106.85,202.68,227.91,10.87,150.61,140.63,27.22,22.88,287.64,238.39,24.72,143.11,218.30, ,257.28,240.65,96.11,129.80
 ,147.37,216.78,41.22,259.62,142.50,102.79,93.22, ,117.94,141.78,28.59, ,285.87,110.56,222.44,42.79,62.10,256.45,188.13,36.28,66.10,130.24,8.93,210.08,41.41,149.38,48.95,167.47,112.77,247.81,250.40,119.21,180.75,291.38,73.32,216.62,206.44,8.32, ,218.40, ,238.76,9.29,58.79,22.54,154.79,206.76,260.95,117.69,101.63,210.58,136.73,14.37,174.08,258.55, , ,156.15,253.87,167.57,42.20,184.22,160.47,2.18,116.95,263.12,228.95,93.53,0.91, ,174.99,67.40,71.68, , ,202.79,119.10,83.19,99.67, ,190.65,291.09,102.24,226.18,127.92,96.86,127.61,3.83,273.11,29.88, ,281.40,239.76, ,22.94,139.92,279.38,285.48,38.17,224.68, ,52.61,215.76,111.67,185.27,94.57,99.75,107.26,141.41,181.64,69.96
21.59,270.73,58.56,90.33,165.88,265.17,38.74,99.92,2.38, ,96.96, ,113.55, ,254.96,282.82,117.91,158.21,244.89,249.55,0.69,51.96,60.98,94.10,70.37,244.29,164.79, ,184.81,250.18,109.75,268.81,116.05,104.58,187.86,256.59,15.64,125.91,113.39,165.11,166.73, ,222.29,40.82,159.22,121.71,5.36,114.02,235.91,56.31,244.85,199.54,86.89,144.71,65.33,23.00,107.79,120.20,107.03,201.61,56.62,111.46,143.18,13.71,282.46,22.04,141.26,246.11,173.53,86.04,31.89,59.49,241.66,169.76,40.69,14.93,94.70,159.29,51.86,16.96,243.01,261.64, ,207.75,134.12,98.47,30.45,132.47,149.16,39.89,52.85, ,150.16,39.17,143.83,182.45,125.36,199.80,209.73,294.74,294.51, ,67.49, ,199.96,77.29,233.78,264.96,187.92,251.00,124.57,18.12
255.63,132.47,230.48,15.82,264.36,218.52,77.82,213.10,136.17,189.90,265.53,114.98,269.99,80.54,160.81,101.58,242.14,271.87,276.25, ,240.61,16.36, , ,138.69, ,129.08,164.75,98.36,248.07,45.71, ,206.52,264.49,69.42,294.83,174.79,39.87,280.53,40.98,14.87,109.97,8.75,274.42,151.83, ,220.18,80.04,206.37,47.58,276.73,224.15,120.90,258.64,187.20,277.28,29.75,53.52, ,106.99,269.06,67.99,179.01,100.54,274.21,9.68,284.59,127.68,76.69,162.00,221.55,290.27,206.62,218.62,12.92,159.88,284.43,2.48,295.70,125.54,110.87,173.44,91.00,298.82,35.48,180.69,37.70,122.13,18.19,290.36,66.36,13.09, ,15.56,73.81,39.77, , ,217.16,265.99,23.74,253.76,14.38,222.27,32.91, , ,156.95,140.02,247.72,85.30, 
159.11,144.82,11.32,119.98,285.81,59.99,292.03,133.88,166.82,235.73,222.75, ,157.39,197.55, ,282.85,145.27,150.26,44.78,9.91,197.83,203.03,115.22, ,249.10,69.19,33.60,191.07,292.96,192.39,153.56, ,221.96,15.31,67.97,233.80,224.85,73.60,89.45,22.94,137.92,61.02,154.41,297.31,156.58,89.78,199.33,220.45,100.26,193.50,295.86,246.12,258.94,48.59,208.54,40.22,192.34,152.70,264.86,244.13,195.77,168.54,56.29,216.38,24.76,24.79,237.19,241.32,290.64,244.53,61.44,245.65,85.99,0.52, ,244.65,144.12,40.83, ,129.82, ,154.57,216.19,202.68,116.51,177.74,43.34,167.85,22.57,114.08,122.15,69.27,37.23,45.35,152.60,207.87, ,62.44,187.78,176.37,54.13,252.63,18.53, ,46.62,150.03,173.05,25.64,38.98,155.70,140.92,164.52
16.51,111.23,23.90, ,98.79,141.76,263.54,80.98,206.91,141.98,6.16,93.25,153.14,104.17,297.03,101.99,128.99,157.04,262.01,285.77,8.90,112.21,287.82,264.39,26.30, ,32.46,55.59,73.67,85.10,208.72,113.13,26.58, ,145.78,17.48,74.04,259.08,298.82,79.44,141.63,69.57,138.20,159.56, ,71.25,74.90,101.82,234.51, ,46.09,252.50,105.73,89.95,212.79,11.72,51.97,97.98,257.32,111.64,55.31,188.13,250.30, ,138.32,189.76,148.71,30.08,269.67,2.23,269.41,46.20,142.97,59.63,156.87,76.15, , ,161.87,201.85,72.03,132.59,117.75,125.74,193.58,204.45,129.89,286.81,135.51, ,195.14,232.51,170.45,242.07,68.13,23.85,24.77,230.70,181.78,112.30,105.58, ,1.39,107.93, ,243.44,289.32,212.28,29.53,128.08,204.73,224.35
294.31,292.61,235.69,137.01,203.99,255.70,243.98, ,232.18,189.42,196.29,262.44,57.54,246.19,249.90,253.50,136.70,171.08,138.31,198.71,249.46,142.00,85.27,33.49,42.26,67.61,250.92,56.66,75.21,37.61,145.24,203.59,193.73,43.64,120.14,218.34,83.65,157.11,195.62,186.38,113.52,176.42,284.03,72.91,235.92,84.36,101.63,63.10,62.62, ,182.75,245.74,132.75,109.45,201.69, ,139.57,142.04,178.01,249.06,185.33,61.44,266.15,257.63,158.43,135.98,203.00,131.56,17.83, ,19.50,264.86,178.89, ,194.88,175.69,207.36, ,268.79,295.07,288.33,290.28,160.30,211.58,7.67,63.20,31.74,184.64,290.27,75.02,258.41,215.56,238.81, ,207.60,126.35,295.60,29.74,10.96, ,56.34,282.70,58.83,202.24,11.03,7.00,232.38,117.50,67.77,124.51,263.91,25.40
127.39,33.11,187.03,47.33,152.48,62.91,44.46,154.79,157.67,141.53,127.21,238.00,15.34,94.03,194.30, ,21.68,15.74,182.53,200.58,107.18,188.82,275.07,173.29,11.64,172.10,162.29,39.69,146.47,151.29,296.49, ,18.17,124.09,148.76,72.01,185.97,163.48,277.69,77.76,29.09,180.35,275.13,170.47,157.95,183.69,269.16,92.03,120.64,158.76,294.90,244.06,233.38,85.34,124.99,219.32,275.94,284.86,111.15,283.46,127.99,252.77,21.56,84.48,260.91,111.58,174.00,136.68,163.17,18.44,85.12,142.23,37.43,12.12,282.41,117.67,162.72,207.55,115.24,26.46,235.26,31.96,193.68, ,56.86,235.07,175.78,187.25,210.27,248.95,296.76,176.52,107.24,14.71,62.20,17.97,241.99,170.31, ,38.95, ,129.61,151.58,75.79,242.23,53.17, ,49.93,221.43,242.94,171.79,230.59
