Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34
14.89,249.82,121.87,95.92,155.51,264.36,189.72, ,194.29,146.17,179.38,28.69,211.91, ,141.82, ,270.54,47.17,34.01,86.86,193.43,23.40,165.98, ,237.17,237.59,279.47,232.33,139.95,183.12,147.17,22.39,295.48,226.61
140.60,47.33,217.55,31.89, ,58.12,52.11,52.02,170.89,37.40,3.23,25.21,17.62,31.52,45.62,123.68,278.70,53.43,65.36,19.08,117.32,250.92,268.62,274.49,166.21,281.60,182.33,178.57,56.95,97.02,48.19,108.67,68.50,14.08
164.49,270.35,110.35,151.22,224.20,218.47,137.59,259.86,206.87,219.88, ,16.90,96.69,175.08,6.10,137.66,201.67,110.31,281.16,34.70,255.78,278.59,298.00,6.05, ,144.47, ,192.97,115.75,192.31, ,198.42,250.91,229.68
148.70,102.88,147.84,136.05,141.59,6.25,188.29, ,32.76, ,225.74,270.88,109.00,28.65,289.72,45.80,101.28,32.54,74.77, ,210.82,208.76,194.88,281.36,34.78,181.04,239.86,160.79,206.73,183.92,112.21,259.95, ,154.45
168.92,244.53,140.04,144.84,28.05,214.47,108.63,128.15,168.45,159.32,132.61,207.62,94.03,6.72,35.86,189.78,90.38,140.86,267.48,163.52,59.54,242.65,6.58,166.71,296.67,198.73,7.85,176.06,177.46,227.51,43.94,118.10,251.61,64.73
244.66,214.63,6.25,172.38,228.07,187.86,65.11,54.04, ,230.09,70.41, ,283.73,219.65,291.12,60.78,90.35,284.12, ,290.36,182.02,90.34,191.05,286.22,69.12,170.59,234.02,112.08,224.72,256.02,260.01, ,15.87,92.77
222.62,290.35,284.44,175.22,184.59,191.77,259.43,32.82,184.97,70.73,198.53,177.37,299.63,12.40,222.28,15.49,207.59, ,192.03,105.00,183.98, ,46.21,240.30, ,125.27,284.12,251.37,223.98,23.36,188.84,150.90, ,295.80
60.18,93.63,30.58,243.55,180.56,280.64,68.78,246.13,178.14, ,201.87,249.43,145.35,264.09,132.28,292.05, ,217.63,138.19,18.71,274.11,71.49,20.13,148.78,261.89,259.00,228.79,284.32,21.07,118.12,254.86, ,288.74,227.00
53.36,134.95,149.33,206.58, ,46.85,20.60,279.77,43.64,155.32,62.59,150.54,193.71,17.26,94.14,130.08,285.80,45.34,154.63,27.48,133.91,211.56,83.08,134.11,99.90,154.67,165.81,43.20,110.61,262.60,292.90,115.13,97.98,99.59
240.03,211.32,201.40,228.45,14.22,111.19,51.98,276.61,271.06,277.30,80.26,286.42,32.58,51.86,262.03,83.18,278.51,276.00,117.39,164.38,267.01,245.72,241.43,236.78, ,214.08,22.40,280.58,186.57, ,17.14,298.86,246.22,94.83
157.27,126.68,43.82,297.23,112.69,211.87, ,154.01, ,176.40,125.89,4.10,119.37,252.18,121.56,95.59,120.62,128.60,274.52,40.99,161.96,210.40,203.14,227.84,206.86, ,32.74,288.32,195.57,192.94,131.12,109.38,211.96,176.11
36.76,200.25, ,53.93, ,257.07, , , ,16.41,220.06,96.31,288.18,53.77,237.00,111.35,57.07,160.61,210.35,116.58,119.63,137.77,127.58,16.12,5.54,59.33,125.15,86.43, , ,115.29,285.30,183.01,100.23
258.70,252.76,229.45,245.80,176.34,185.45,24.72,225.00,116.59,239.69,163.46,43.22,99.71,205.39,70.89, ,29.59,279.10,245.65,50.67,227.82,198.31,148.77,45.28,205.90,172.52,258.88,152.14, ,180.66, ,251.55, ,281.14
161.58,110.50,136.69,140.88,21.68, ,110.99,42.34,101.87,125.81,288.57,298.39,158.61,18.14,290.07,91.29,62.19, ,275.26,88.80, ,110.48, ,221.47,126.59,185.62,64.17,30.02,244.76,200.73,210.15, ,110.77,231.18
279.48,148.22,285.40,268.21,41.66,17.36,179.05,11.03,19.89,250.51,202.17, ,288.35,273.62,163.44, , ,55.27,184.62,177.79,16.96,190.63,291.04,248.46,27.08,266.65,119.47, ,262.00,175.01,265.03,178.11,235.40,96.09
99.13,5.58,161.79,138.74,270.30, ,217.06,48.62,166.36,212.38,130.09,228.03,168.82,22.87,103.05,5.73,36.52,236.43,12.35,123.36,185.99,123.22,160.02, ,26.38,199.14,170.03,7.42,271.75,37.67,278.12,187.12,11.57,145.40
 ,61.09,293.59,97.70,50.13,288.67,284.10,236.03,198.65,70.91,10.72,251.11,224.10,79.23,237.73,278.47,166.95,53.48,286.64,277.36,108.90,73.65, , ,156.48,48.64, ,59.36,57.84,97.46,30.69,221.73,209.00, 
248.56, ,235.20,152.46,169.20,45.61, ,55.29,6.41, ,113.14,219.43,114.75,154.97,247.42,293.05,232.35,104.99,182.71,201.78,12.14,153.65,33.17,113.04,273.19,197.92,80.25,257.30,134.24,40.44,188.97, ,121.32,43.08
223.81,164.57,95.40,112.63,268.72,266.19,52.60,18.49,263.41,96.23,270.07, ,51.73, ,289.81,273.45,181.58, ,46.15,211.55,268.87,250.42,30.90,100.89, ,239.82,225.31,35.87,244.56,247.10,167.07,260.82,269.80,37.79
188.55,297.51,162.90,120.67,93.12,12.08,281.13,184.64,287.95,101.82,155.23,274.54,285.83,162.83,77.75,41.59,94.64,136.55,101.31,168.74,148.87,201.60,132.72,36.45,6.75, , ,187.18,184.29,263.07,128.65,247.73,7.12, 
143.67,10.65,168.66,249.76,106.67,182.19,116.21,199.66,56.04, ,83.76,14.67,293.04,87.65, ,94.77, ,238.44,233.55,151.72,289.08,245.29,83.39,185.05, ,139.52,99.51,226.05,295.85,38.48,60.53,152.74, ,75.64
245.46,133.07,147.82,298.37,190.99,231.31,168.00,215.57,68.69,236.35,192.59,152.61,269.76,184.50, ,260.15, ,269.34,136.89,174.02,210.27,217.01,141.06,110.76,95.31, , ,293.57,240.89,177.74,278.05, ,72.31,254.51
291.72,248.91,180.40,19.15,1.18,86.48,271.49,181.49,96.49, ,242.46, ,120.19, ,182.43,41.04,54.92,196.54,101.98,241.71,24.57,187.32,273.61,156.79,155.00,213.21,152.23,222.20, ,286.90,158.29,152.70,142.23,259.65
107.74,145.25,289.64,181.21,5.98,31.73,9.72,35.91,191.67,0.07,167.43,146.24,74.28,88.83,4.70,120.05,13.55,106.32,297.67,178.14,142.24,126.36, ,162.27,140.98,229.90,221.27,21.82,291.15,35.82,25.45,27.71,97.85,244.21
290.67, ,294.32,189.05,225.94,282.95,279.34,85.67,258.06,176.73, ,197.48,201.35,25.17,60.82,222.05,224.08, ,203.26,10.76,27.72,230.67,92.47, ,178.14,5.53,241.64,174.37,151.46,62.05, ,122.87,226.82,223.74
 ,127.00,75.43,74.32,149.97,104.60, ,282.73,137.98,66.54,37.77,200.02,267.71,118.26,76.31,218.49,184.63,127.04,58.60,5.54,196.32,175.33, ,158.06,60.96,147.73,59.24,9.53,21.11,290.99,162.50,30.18,220.71, 
151.93,35.94,142.69,248.00,188.56,176.08,231.93,117.49,256.78,50.98,191.99,120.51,299.67,33.86, ,47.22,229.22,187.75,261.87,34.69,8.57,155.96,137.61,95.82,10.29,230.04,158.69,260.30,66.88,196.23,194.17,80.91,62.63,210.09
88.67,4.38,150.45,75.57, ,171.39,224.12,97.15,296.77,24.23,231.24,55.37,35.28,241.25,61.44,68.77, ,13.55, ,164.00,171.38,164.48,19.17, ,116.32,177.62, , ,211.92,92.12,53.15,13.51,152.38,280.59
221.99,28.63,158.13,189.18,143.76,29.35,112.79,84.89,126.34,27.16,279.50,110.53,210.22,244.47, ,225.06,269.44,29.54,77.32,176.42,152.58,116.86, ,262.53,211.56,131.46, ,110.96,237.66,268.22,88.07, ,13.12,78.59
61.27,9.64,242.26, ,50.62,7.60,176.53, ,265.40,122.05,119.84,30.19,148.27,51.51,201.04, ,279.63,272.08,6.58,287.72,264.83, ,272.43,194.26,193.44,158.73,252.19,195.53,242.02,74.27,222.87,58.16,254.94,105.76
61.69,288.13,112.75,183.15,36.58, ,230.01,93.76,189.26,141.02,14.36,245.91,107.69,66.05,176.15,47.14,182.85,164.69,7.82, ,93.00,8.83, ,245.90,103.25,194.13,6.80,129.09,216.38,173.92,178.15,103.59,226.63,120.35
34.72,282.48,221.17,274.97,67.98,70.99,56.03,115.50, ,244.59,89.99,189.45,59.52,176.02, ,162.46,257.47,233.34,163.32,150.18,103.71,59.16,89.38,139.82,178.01,149.47,103.42,82.99,90.35, ,75.17,214.32,146.12, 
 ,274.81,236.25,71.88,172.26,243.78, ,148.66,99.83,59.00, ,141.99,119.31,130.95,53.14,74.81, ,188.48,131.58, ,244.68,75.99,175.12,104.38,168.43,61.34,28.84,195.52,43.68,35.32,209.31,219.91,287.73, 
273.06,29.26,152.94,270.64,132.91,74.25, ,44.08,25.39,120.36,243.75,235.74,38.69,67.53,129.18,35.28,28.33,31.04,96.47,193.61,121.75, ,216.18,184.67,68.24,192.31,201.35,224.90,95.05,247.95,199.13,88.93,31.54,231.95
128.93,148.12,42.54,35.86,74.98,30.67,178.13,132.37, ,57.27,74.40,207.85,26.36,216.97,242.60,159.22,78.36,45.23,122.55,9.50,152.34,111.93,108.17,127.93,14.25,147.55,12.42,216.69, ,133.66,209.05,125.27,161.46,151.38
 ,228.74,109.09, ,221.02,182.82,204.57,270.18,218.02,102.19,275.52,239.87,107.02,192.28,255.08,137.58,188.84,35.20,274.50,108.09,192.92,151.46,61.38,187.26,180.47,252.82,130.42,265.18,41.62,169.74,211.21, ,100.05,138.36
147.22,241.58,147.57,194.20,293.87,132.32,196.31,226.08,252.19,17.49,160.39,59.37,86.16,260.25,239.40,19.71,53.26,129.37,193.78,145.89,39.41,160.91,99.97, ,52.16,5.50,66.16,1.18,266.62,183.50, ,282.11,93.89,133.82
236.20,246.83,215.25,60.29,221.96,163.16,212.43,215.48,135.10,155.41,62.55,241.85,230.54,87.91,259.34,247.70,249.33,277.63,180.77,240.75,198.18,12.70,172.84,264.83,24.12,66.30,43.51, ,274.05,89.95,191.46,246.18,261.02,64.63
 ,102.54,124.21,170.25,111.33,65.09,51.04,196.40,175.88,125.49,213.96,267.88, ,279.56,36.06, ,100.68, ,203.23,145.04,2.77,15.28,47.04,96.91, ,214.25,227.75,190.05,97.34,54.17, ,212.80,78.07,183.14
