Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52
190.03, ,3.93,104.33,142.96, ,32.56,140.21,39.59,76.39,2.45,152.43,286.13,178.04,259.31,27.47,135.85,0.50,221.43,131.00,232.00,160.46,203.08,26.60,138.73,226.31,299.44,36.21,277.05,190.93,33.58,135.94,135.90,196.10,225.48,277.43,120.30,122.04,138.56,266.05,251.62,118.46,271.09,236.63,68.91,184.50,45.96,271.91,156.88,239.20,195.11,239.84
54.52,38.79,210.52,170.36,197.18,113.21,143.49,116.41,177.40, ,223.37,286.80,178.24,44.43,49.91,200.44,15.59, ,208.66,108.94,34.99,67.85,174.40,198.04,123.74,291.72,298.81,125.43,191.31,148.47,30.15, ,95.47,14.67,33.79,8.52,222.50,180.66,189.04,268.74,215.75,171.56,42.98,179.81,75.95,295.50,190.20,280.20,230.16,185.25,182.39,76.76
208.41,175.59,49.43,277.30,188.50,19.56,33.51,78.51,59.42,37.31,179.05,235.29,12.39,73.15,14.30,299.67,107.35,20.17,19.59,121.96,146.35,139.58,40.90,289.31,292.10,49.94,44.13,280.35,105.76,251.30,203.43,42.78, , ,167.55,60.44,53.92,131.03,86.64,111.60,272.25,102.57,274.85,7.42,203.22,8.71, ,212.14,276.03,231.73,90.46,99.43
131.47,211.00,92.85,136.57,55.18,271.37,215.12,84.79,21.29, ,175.81,91.17,107.26,213.03,104.54,245.68,122.05,95.51,44.75, ,213.55,223.86,10.99,2.99,9.30,293.75,200.10,279.50,232.24,94.43,98.13,24.17,207.06,78.15,20.81,37.68,190.21,119.28,100.52,296.97,146.55,298.15,115.70,228.04,271.24,126.43,107.49,52.00,126.66,68.63,86.73, 
276.94,201.10,168.36,175.11,169.91,276.32, ,253.97,29.48,167.07,294.57,6.50,289.11,176.72,280.62,164.04,240.39,263.54,100.25,293.63,156.81,54.74,141.00,217.97, ,85.04,228.50,32.89,48.70,151.79,146.67,270.48, ,202.37,174.16,159.56, ,16.37,135.78, ,144.49,38.74,92.75,6.92,98.02,201.05,133.79,110.73,277.98,4.68,192.49, 
52.05,264.00,73.88,158.16,244.27,280.88,258.62,29.61,144.03,12.01,145.40,218.83,297.48, ,177.83,277.95, ,24.57,251.63,124.56,40.59,275.66, ,234.28,121.14,211.52,57.25,278.15,238.44,74.24,171.70,8.27,12.85,174.23,143.11,162.20,13.28, ,34.75,162.84,143.70,13.75,265.33,254.60,271.80,116.32,198.89, ,48.54, ,222.77,191.75
281.07,208.72,73.22,234.67,45.71,144.15,54.81, ,9.41,64.62,267.89, , ,70.69, ,119.33,236.38,102.23,155.74,129.55,254.43,165.03,142.58,59.60,118.66,206.80,217.04,238.12,178.87,201.25,91.90,69.67,31.66,245.73,182.86,116.37,139.51,137.43,290.58,179.49,49.45,79.46,29.68,97.05,291.97,71.44,18.88,112.16, ,57.89,195.87,54.32
272.68,170.59,26.29,134.26, , ,214.99,250.23,180.61,224.53,230.22,197.79,120.57,84.34, ,280.21,240.61,284.32,183.97,2.62,73.35,68.67,53.13,244.13, ,102.90,211.76,218.64,104.44,57.89,217.66,168.99,184.78, ,161.11,152.69,17.93,1.87,219.94,238.83,40.70,266.97,183.42,169.56,104.53,50.86,126.42,162.31,179.82, ,40.93,122.01
 ,48.05,215.55,261.54,132.06,126.04,253.16,99.11,2.44,31.49,196.97,48.34,213.63,103.96,269.10,4.95,43.93, ,259.47,41.83,153.04,239.89,297.23,51.18,251.79,151.45,151.79,53.43,222.99,15.03,250.69,110.88,273.92,204.74,184.85,47.25,290.64,289.96, ,41.14,188.28,259.28,147.76,246.80,191.64,73.86,179.09,108.44,277.78,208.29,157.17,258.43
145.50,185.02,182.05,241.20,222.12,263.70,169.12,128.71, , ,58.32,206.43,21.54,139.07,95.39,84.69,191.30,299.38,63.56,2.47,251.76,205.23,294.47,125.97,135.10, ,193.42,232.19,4.41,199.25,211.79,18.93,86.79,264.99,12.69,165.57,98.18,222.68,84.63,139.61,132.13,233.58,87.35,85.73,282.17,26.00,180.47,159.57,294.06,130.36,270.98,24.21
86.09,82.80,243.93,78.55,26.90,101.61,177.90,206.01,172.32,54.03,276.95,20.05,38.15,277.77,146.34,78.28,248.88,103.15,83.50,268.86, ,70.47,71.73,130.66,130.13, ,182.92,199.42,10.65,53.38,246.69,290.41,132.14,186.06,132.09,117.00,79.95, ,4.60,129.24,14.37,197.94, ,237.58,45.27,137.19,236.65,298.37,108.86,166.34,65.81,264.47
99.38, ,270.81,276.21,184.28,59.42,290.79,19.80,247.00,27.60,204.68,44.01,220.34,298.07,240.33,179.71,95.87,16.78,273.15,166.72, ,226.15,274.37,259.46,74.87,192.38,132.16,164.52,224.19,261.96,279.37,19.15,54.32,119.28, ,112.27,73.86,213.87,70.22, ,235.00, ,127.37,32.63,101.64,55.42,258.48,120.06,214.01,271.25,41.84,73.72
79.98,249.96,161.10,35.59,255.18,34.54,89.31,213.77,63.68,31.64,164.05,239.08,74.25,235.35,2.59,270.20,156.65,76.41,240.35,151.82,264.20,278.07,253.51,244.46,161.03,39.35,127.80,103.14,188.77,18.14,47.56, ,204.20, ,221.95,162.33,44.38, ,22.45,213.64,124.50,75.33, , ,228.40,203.55,137.37,148.59,289.59,2.64, ,52.98
194.31,189.52,41.84,261.14,63.28,46.38,250.77,264.29,75.38,254.73,50.27,54.42,186.36,81.64, ,134.61,131.13,85.42,91.76,30.97,298.34,60.02, ,206.99,208.35,169.63,188.20,59.84,298.89, , ,26.36,215.14,201.94, ,271.76,242.76,70.46,209.13,233.55,37.48,274.66, ,137.74,279.81,150.68,143.79,59.23, ,274.36,257.42,100.11
296.25,231.91,283.97,197.19,207.35,107.82,254.52,19.75,147.55,13.25,61.11,185.48,53.41,23.68,99.26,240.01,166.66,162.23,12.97,68.16, ,175.98,248.61,122.07,191.26,124.43,100.52,202.99,175.76,55.46, , ,126.60,45.91,119.82,11.50,264.71,173.34,34.15,184.39,233.12, ,57.56,296.14,296.15,55.67,83.37,221.06,68.86,8.53,298.48,78.89
169.79,51.06, ,173.01, ,106.13, ,163.69,92.85,59.83,99.27,204.14,39.87,110.39,175.30, ,80.38,94.74,267.39,260.64,18.81, ,124.94, ,288.62,102.88,249.54,131.49,127.79,108.21,283.41,169.85,243.75, ,38.49,85.26, ,97.51,16.52,28.03,20.88, ,123.76,281.79,180.36,175.20,158.35,36.78,39.59,128.84,15.85,190.20
51.61,198.62,67.74,282.73,230.34,242.54,48.26,101.51,274.46,281.99,146.45,17.90,216.76,175.85,14.06,33.71,117.27,20.38, ,3.11,72.13,37.84,50.75,227.73,236.62,261.36,50.88,87.33,196.89,112.77,248.13,163.21,296.09, ,181.10,37.28,9.48,14.24, ,276.40,69.88,267.87, ,18.75,69.77,208.28,68.44,251.96,200.99,243.35,299.94,233.88
 ,243.36,115.10,167.51,142.50,4.52,268.64,129.12,56.73,188.30,153.24,12.53,127.07,43.85,278.24,57.49,269.17,92.46,79.91,175.78,197.37, , ,167.25,146.03,246.70,284.55,260.41,200.43,275.37,211.09,112.60,269.07,269.43,166.05,21.49,271.75,222.11,84.87,166.43,13.35,265.24,213.05,294.97,13.13,57.77,223.96,192.80,252.14,254.55,211.56, 
183.31,82.12, ,171.48,210.67,167.38,182.73,101.56,193.92,148.05,38.91,122.05,265.03,93.94,192.37,195.62,188.81,134.49,70.29,130.90,190.81,156.88,78.72,251.23,73.13,224.32,171.28, , ,120.55,55.88,143.19,65.29,42.02,108.65,205.76,93.28,237.84,170.10, ,121.33,281.72,213.52,91.89,137.52,80.45,284.09,118.41,158.66,277.61,259.06,264.20
183.21,136.46,230.87,41.95,142.22,272.81,117.43,15.63,292.91, ,277.00, ,212.59,198.99,106.55,280.13,56.66,131.52,296.69,46.13,114.58,62.32,244.09,152.09,134.70,55.79,122.00,113.44,293.33,224.78, ,204.91,227.14, ,120.26,64.53,103.58,54.74,266.51,45.65,258.54, ,14.33,85.59,58.67,252.88,44.96,241.57, ,168.71, ,288.97
290.06,186.63,210.11,135.68,98.18,167.48,217.88,223.76,141.36,123.64, ,168.60,295.10,70.39,136.58,152.78,285.97,106.26,218.26,290.83,256.96,294.67,162.98,159.25,17.84,290.09,195.20, ,190.30,29.47,113.74,206.90,11.36,139.63,133.30,157.34,255.38,255.17,265.42,50.12,149.48,121.96,87.00,220.66,257.81,31.41, ,238.30,286.88,244.55,286.65,10.72
198.34,202.32,78.58,139.33,183.45,32.40,118.12,65.67, ,15.80,42.41,65.13,278.19,91.89,205.14,142.30,233.19,54.61,34.05,161.73,272.01,276.89,10.98,182.70,260.80,233.23,189.81,150.55, ,242.44, ,277.29,274.27,97.35,232.89,117.44, ,89.46, ,206.48,42.72,104.86,287.67,6.74, ,157.30, ,99.74, ,77.03,49.54,284.31
220.41,195.85,191.59,2.51,191.79,287.10,105.83,268.65,297.37,180.37,191.62,254.40,208.93,123.65,18.96,36.88,223.66,254.40,218.04,59.63,257.88,90.80,37.35,207.62,205.58,189.39,221.64,33.88,175.23,89.04,265.48,133.55,58.65,4.40,44.86,86.52,110.76,66.45,236.77,182.84,62.06, ,283.70,273.42,91.24,203.31,96.43, ,285.58,206.93,64.56,54.01
254.54,28.40,12.89,295.06,107.51,267.95,40.82,20.47,275.20,58.41,247.85,79.61,175.52,223.40,238.34,91.16,142.18,213.86,84.73,50.79,266.03,239.29,202.71,161.95,111.19,138.54,8.00, ,183.51,215.87, ,193.28,35.91,34.31,190.53,158.69,11.28,260.07,131.57,210.33,40.69,213.88,80.55,97.38,105.39,288.89,145.12,143.74,217.63,130.81,297.09,49.48
114.22,258.93,172.31,239.32,190.77, ,271.33,189.61,180.47,33.23,36.81,253.20,133.02,48.65,128.33,290.65, ,0.19,98.16,264.88,85.51,190.68,126.98,67.35,146.22,204.56,295.85, ,213.69,40.13,194.16,0.49,5.16,185.01,251.02,65.66,143.02,179.17,48.30,88.11,291.15,124.19,42.99,155.71,197.13,219.03,64.30,276.10,72.37, ,23.39,235.90
61.65,191.06,205.51,170.51,27.13,249.33,260.65,129.67,90.59,136.37,89.81,157.98,128.25,29.51,237.71,163.52,122.62,81.76,90.57,153.27,169.93,91.66,296.07,47.93,246.85, ,36.66,126.52,68.42,225.44,83.30, ,82.66,138.16,41.60,116.69,46.42,297.47,117.20,59.42,80.20,49.42,42.93,175.26,58.01,164.31,104.16,61.64,68.62,51.23, ,167.92
174.94,2.57,271.74, ,136.87,78.72, , ,175.89,60.53,21.15, ,125.31,273.60,48.60,63.36,1.91,163.92,85.82,189.88,162.58,194.43,41.06,63.93,256.61,223.25,85.38,102.47,128.06,222.83,249.46,35.49,217.47,128.23,65.88,60.84,280.45,167.36,36.00,184.23,295.51,183.12,255.55,291.59,61.65,260.28, ,295.77,118.08,90.71,261.05,182.21
89.27,56.88,173.48,295.01,283.68,49.21,58.05,56.17,96.45,101.94,171.19,70.04,292.87,110.64,269.58,143.45,130.34,169.63,188.49,169.91,267.14,236.75,253.91,166.84,263.50,157.92,66.49,123.97,88.72,13.29,227.46, ,57.80,286.78,245.56, ,117.74,150.64,143.74,47.40,154.91,279.36,145.59,240.80,105.21,204.16,87.81,275.24,189.42,191.73,277.88,182.56
161.71,150.10,137.76,16.03,208.39, ,53.98,246.30,146.45,227.70,63.63,240.19,248.75, ,199.79,203.48, ,65.19,196.09,253.32,86.66,1.98,251.50,123.28,79.50,173.62,234.68,66.53, ,15.28,66.17,97.75,297.41,34.83,39.83,66.29,192.12,135.39,263.78,97.45,270.85,35.21,1.86,44.58, ,59.86,244.48,121.86,272.33,248.95, ,54.41
