Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71
261.80,171.43,104.85,34.45,34.56,103.67,290.80,209.53,89.93,292.38,278.12,91.09,225.96,134.54,192.50,253.51,257.53,201.13,114.62,241.51,172.27,210.83,70.90,235.40,256.64,270.79,31.19,44.79, ,179.33,235.56,209.18,14.72,291.00,148.75,18.61, ,63.79,261.92,29.11,295.51,125.10,220.51,28.18,113.44,144.62,6.80,278.30,216.53,87.67,161.18,12.24,113.10,67.85,210.70,272.34,82.71,172.50,253.72,268.51,271.92,136.28, ,114.58, ,127.01,225.11,177.29,147.29, ,215.14
224.07, ,130.28,135.19,98.02,203.46,156.08,179.66,154.09,106.94,126.09,92.52,222.14,288.54, ,1.91,25.61,296.67,56.26,198.55,189.49,262.51,143.54,135.68,291.98,242.84,156.36,13.97,98.93,196.10,243.98,152.94,124.00,32.95,241.08,239.31,218.96,86.60,39.71,198.39, ,141.23,108.91,267.10,116.95,212.58,194.85,138.26,234.60,197.39,228.95,54.18,47.86,146.12,295.71,8.76,20.94,280.53,168.01,146.33,198.51, ,93.36,108.54,104.11,155.19,25.35,273.15,31.96,231.00,224.86
151.08,20.33, ,150.19,180.41,154.03,55.43,172.28,232.85,29.05,285.27,54.60,221.18,1.32,70.47,75.20,294.71,90.19,260.23,164.85, ,18.88,292.33,91.84, ,221.92,105.30,194.35,176.56, ,177.88,69.84, ,139.69, , ,12.01,170.26,169.39, ,88.96,38.94,16.75,102.72,220.29,157.43,186.47,79.55,238.83,85.87,289.08,48.41,114.11,89.22,246.55, ,35.51, ,216.31,40.64,275.68,28.94,41.10, ,120.65,44.89,65.63,259.12,73.20,281.84,267.29
96.91,159.51,159.51,48.72,125.79,147.80,96.69,127.82,86.97,291.86,218.51, , ,225.23,55.70,80.22,179.88,186.65,9.54,124.55,218.28,126.01,37.06, ,164.89,133.97,226.66,31.88,122.49,209.39,265.21,132.57,296.34,174.85, ,221.01,77.51,110.64,205.38,126.22,12.59,86.34,287.68,157.83,174.67,181.24,32.54,59.59,294.05,195.59,88.53,190.07,255.89,69.55, ,195.77, ,256.79,286.95,252.14,216.32,212.10, ,244.64,113.42,89.31,160.97,271.23,9.16,233.46,206.81
 ,102.58, ,59.37,6.23,60.48,220.17,63.11,241.12,112.99,273.14,237.24,21.38,111.67,45.73,40.42, ,198.70,48.21, , ,224.22,217.02,38.52,138.34,45.43, ,99.96,71.53,253.33,245.66,123.46,110.13,243.94,62.58,298.19,113.57,204.79,71.75, ,176.06,26.68,264.45, ,83.68,58.65,60.36,102.01,295.70,47.70,162.12,238.71,90.86,15.03,284.19,275.67,262.85,281.31,58.48, ,142.15,264.44,205.04,281.18,264.45,136.56,55.43,142.80,37.71,230.77,179.26
9.02,280.41,115.20,161.53,70.55, , ,182.85, ,164.02,268.19,267.57,112.77, ,28.50,210.16,285.48,276.83,223.31,97.56,121.99, , ,262.76, , ,210.19,9.63,199.45,8.78,179.74,86.82,175.33,167.51,86.40,155.32,101.58, ,223.57,79.16,174.72,43.63,157.40,29.96,174.33,207.38,276.67,32.88,5.91,52.43,116.26,22.04, ,274.92,221.92,253.36,61.60,81.65,57.97, ,256.58,208.83,176.92,294.54,70.41, ,122.84,55.92,189.20,17.95,56.10
51.00,277.89,210.03,194.53,116.08,224.58,215.26,223.86,83.07,171.16,73.32,250.68,13.60, ,31.56, ,271.42, ,249.31,286.73,62.13,124.93,179.32,283.81,95.73,50.93,255.73,2.72,85.13,263.33,143.09,229.00,266.31,287.02,151.59,224.48,228.49,282.27,221.29, ,17.02,126.59,6.37,249.14,46.16,219.44,224.19, ,134.52, , ,96.27,95.29,249.47,70.17,131.58,197.82,8.48,33.83,254.84,204.03,41.04,130.38, ,44.71,43.83,96.54,21.61,260.66,81.77,112.53
 ,103.98,23.27, ,57.10,114.64,271.39,93.01, ,105.21,200.67,209.65,114.12,147.63,35.69,28.19,2.52, ,106.50,159.42,112.84,286.32,268.49,253.07,214.22,166.71,9.71,289.70,298.41,283.35, ,173.34,120.54,14.71,282.36,116.11,80.59,187.65,1.12,261.14,59.59,229.33,79.89,129.34,112.04,198.96,294.48, ,115.02, ,71.72,12.35,131.85,220.46,101.01,164.86, ,224.45,213.54,212.22,193.43,139.20,26.79,81.98,225.95,47.25,268.72, ,156.54,75.84,129.12
298.59,239.01,218.43,196.34,283.57,175.96,62.71,138.19,45.43,184.73,284.53,211.15, ,67.69,214.02,201.03, ,195.01, ,113.44,22.42, ,245.93,196.19,235.38,267.41,271.66,223.24,7.43, ,145.62,290.39,46.78,150.52,86.42,16.16,281.62,295.83,284.51,262.61,203.13,260.56,268.65,107.18,120.14,143.32,143.65,25.40,25.13,80.50,56.31,11.42,135.24,104.35, , ,112.90,63.94,62.08,186.17, ,6.31,100.75,254.48,297.46,259.59,225.42,229.69,82.56,157.31,71.97
64.83,89.96,202.86,5.05,49.58,192.88,285.14,27.95,228.08,84.54, ,9.96,128.48, ,96.10,131.19,166.41,6.99,138.99,119.78,145.30,18.36,225.25,31.80,243.13,278.62,147.56,37.62,5.88,147.75,259.00, , ,174.96,81.78, ,201.57,32.18, ,70.36, , , ,122.98,228.01,209.61, , ,111.30,163.73, ,142.67, ,17.63,124.13,47.23,189.58,96.63,149.77,245.78, ,68.76,270.23,223.59,107.68,186.95,103.30,282.53,283.56,263.61,149.00
191.15,184.78,271.33, ,64.14,72.26, ,86.23,184.66,152.23,249.39,57.94,139.41,298.67,65.35,266.89,257.47,89.05,128.60,92.96,124.52,21.18,254.70,7.46, ,159.69,66.62,189.63,38.28,117.98,295.45,128.14,37.73,298.85,114.78,272.94,183.75, ,114.63,192.31,56.43, ,188.12,180.64,195.48,7.84,80.18,93.71,213.09,194.50,11.42,271.17,73.00,246.74,269.55,50.20,220.25,73.41,135.91,186.11,172.98,44.84,197.24,161.47,270.00,22.26,65.26, ,138.26,212.52,117.91
46.35,296.59,282.97,242.01,291.07,110.00,18.24, ,156.80,192.59,280.60,108.21,208.29,184.13,286.51,174.56,226.63,59.44,67.08,274.73,155.47,114.10,266.36,122.75,101.88,249.95,230.19, ,138.47,12.48,118.67,69.68,119.39,240.96,220.87,126.84,260.82,39.07,41.33,124.05,18.21,114.44,69.58,229.06,4.76,103.17,134.30,4.95,26.64,105.81,51.25,172.48,7.61, ,48.94, ,213.43,276.82,246.79,200.48,254.45,117.39,28.67,230.47,205.38,279.51, ,30.77,77.09,251.45, 
0.39,193.64,262.61,241.70,216.87,85.25,47.41,228.94,154.33,109.69,116.51,70.90,119.97,98.21,266.18,219.03,203.36,180.41,283.14,75.37,264.28,71.32,63.25,87.77,159.67,277.29,286.67,297.31, ,95.52,29.11,188.49,85.72,176.09,284.30,27.05,262.47,255.63,250.91,61.94,115.55,145.79,246.08,89.04,256.90,22.19,66.92, ,152.64,157.77,196.14, ,80.45, ,36.08,269.94,154.55,107.52,284.22,60.05,288.30,135.10,134.97, ,45.65, ,257.49,196.74,116.52,234.08,47.14
27.58,262.12,155.52,296.09,268.89,17.94,168.92,130.05,274.14,49.53,162.25,37.47,160.65,87.09,88.96,64.90,151.31,298.66,96.65,146.57,50.90,22.74, ,152.79,291.69,273.23,84.87,106.07,140.90,230.94,49.03,0.53,216.48,164.22, ,158.98, ,209.88,212.48,251.93,53.39, , ,12.22,6.86,216.60, ,147.55,127.39,83.93,129.19,157.18,235.68,122.36,226.04,37.91,8.68,109.12,91.07,264.52,142.59, ,290.35,227.97,288.58,157.68,269.87,138.71,204.83,144.72,80.90
68.18,210.14,245.76,262.43,126.96,224.09, ,214.44,134.65,59.54,145.86,245.21,179.78,19.85,112.30,115.55,118.30,223.91,197.95,252.09,213.31,203.53,285.03,194.06,106.16, ,252.02,40.24,174.46, ,209.11,137.01,133.89,276.86,244.96,144.16,154.25,275.40,180.56,175.74,80.11,28.22,233.92,215.38,197.36,87.85,43.32,131.15,180.16,235.01, ,79.17,137.06,297.57,17.20,70.57,38.11,120.04,286.39,128.63,40.30,75.19, ,0.04,272.35,85.93,5.32,286.54,205.79,25.07,140.37
171.20,21.18,52.22,210.06,63.07,235.46,272.59,210.04,60.17,152.84,89.76,214.83,185.66,199.47,221.25,193.80,272.03,16.12,149.42, ,212.49,154.88,96.17,237.42,297.29,221.64, ,79.81,285.86,178.85,176.20,225.18,192.56,284.99,221.48,134.86,46.90,295.78,54.60,11.69,230.20,45.05,41.07,131.81,90.32,212.27, ,137.45,3.32,21.50,256.15,46.86,202.81,92.83, ,25.74,183.30,120.28,29.53,53.20,188.28,172.00,110.04,237.99,286.09,168.06,228.81,244.95,226.78,118.68,10.13
192.66,100.36,121.77,174.29,291.23, ,163.23,128.53,101.11, , ,143.14,2.58,275.13,93.90,147.11,235.49,190.43,91.89,250.70, , ,213.00,144.16,3.36,222.23,247.77,178.24,84.51,258.02,209.25,285.00,49.69,47.88,49.42,143.50,61.54,125.78,61.41,50.78,242.63,169.24,27.34,281.31, ,239.33,137.54, ,193.90,76.98,281.06,81.55,126.51, ,252.29,107.14,168.41,164.87,41.15,168.76,36.57,16.93,152.08,267.15,48.36,85.54,289.14,71.69,38.45,159.43,32.42
212.98,138.48, ,179.64,211.01, ,191.62,145.58,139.66,52.27,120.81,178.17,49.75,223.65,164.65,78.94,49.65,97.90, ,140.15,202.87,36.04,242.78,218.13,160.90,38.75,151.67,227.10,226.30, ,14.50,268.37, ,18.02,36.58,155.12,273.93, ,9.97,170.69,48.67,192.11,195.91,231.21,168.14,298.77,78.12,86.72,106.72,64.50,61.99,47.20,244.58, , ,235.73,285.75,194.49,63.94,118.90,162.87, , ,32.15, ,118.87,281.64,77.08,206.27,220.92,292.32
11.63,261.84,232.62,243.44,10.18,229.38,196.71,193.31,248.58,233.27,171.99,211.73,88.63,296.81,263.00,35.66,235.98,23.59,243.75,279.08,0.87,259.26, ,152.57,73.47,189.20,183.96,52.65,192.74,129.84, ,118.96,108.30,235.45,223.54,98.91,133.13,111.08,297.35,244.97,9.43, ,150.35,246.58,273.94, ,103.78,207.33,279.55,277.69,147.51,94.20,103.86,46.19,19.73, ,264.70,160.34, ,10.69,85.88,36.50,287.36,266.81,63.03,210.32,161.36,241.95, ,45.81,50.44
202.63,111.65,90.81,88.97,282.67, ,196.37,241.19,28.30,78.42,154.36,132.05,46.56,271.28,119.81,101.25,56.81, ,224.13, ,13.10,146.87,232.14,52.65,226.97,81.33, ,235.68,4.33,40.68,222.69,198.15, ,278.70,87.97,57.81,35.11, , , ,222.29,288.19,152.19,176.95,241.44,151.69,64.04,24.10,283.86,63.59,200.95,264.56,255.07, ,25.98,288.96, ,214.18,46.63,18.86,223.94,36.21, ,100.25,230.17,251.86,150.56,53.38,93.00,2.88, 
 ,160.29,290.38,135.37,157.93,258.96,125.68,117.72,125.32,169.31,4.94,207.91,249.61,203.32,86.54,174.18,235.06,239.95,145.77,165.54,277.05,85.21,43.75,4.03,120.91, ,125.85,132.47,244.12,184.66,180.30,160.92,25.93,139.01,41.15,116.91,191.37,130.06, ,32.99,154.23,171.46,279.75,211.26,110.09,145.76,185.33,257.74, ,153.13,213.92,137.71,239.13,272.24,23.18,102.18, ,256.08,190.43,58.74,196.93,106.72,265.65,279.31,76.43,76.53,155.77,137.54,209.93,158.85,189.80
 , ,227.89,103.87,273.22,220.00, ,26.72,297.08,192.15,95.20,297.00,289.77,232.56,177.74,35.23,288.98,238.16,79.37,3.96,248.76,117.68,197.99,31.75,163.17, ,258.37,112.54,47.67,285.95, ,85.14,114.95,110.76, ,190.12,278.17,277.41,205.48, , ,128.06,213.06,53.33,109.85,224.83,246.22,81.56,295.92,19.25,151.60,44.25, ,22.42,78.41, ,174.73, ,2.80,297.95,200.96,164.60,94.20, ,4.99, ,0.90,236.62,296.12,115.20,109.98
167.35,4.76,63.13,287.23,62.25,120.67, ,285.27,248.76,43.10,111.07,254.65,197.07,251.70,140.80,16.03,156.88, ,59.23,197.79,33.47,31.64, ,186.19,253.29,146.80,88.70,256.84,213.45,68.95,59.96, ,75.99, ,280.41,70.80,69.11,281.43,148.90,252.40, ,205.69,121.79,258.75,158.92,293.11,71.05,72.80,12.96,168.95,129.21, , ,109.39,58.60,61.50,90.93,169.16,266.64,198.69,70.60,227.49,70.44,221.97,279.34,292.04,259.45,188.56,198.42,267.38,136.48
151.19,125.47, ,92.12,122.71,81.90,245.01,250.76,67.57,222.89,86.05,261.94,259.72,105.71, , ,94.14,213.93, ,234.28,230.59,68.27,27.48,193.11,199.35,240.65,59.54, , ,205.09,90.44,92.41,205.93, ,218.93, ,57.40, ,287.99,177.63,276.41,129.20,25.56,90.14, ,33.29, ,238.37, ,160.19,294.66,32.57,285.06,0.70,104.98,30.45,287.68,30.31,95.74,139.45,269.94,87.01,256.69,241.60,189.68,219.14,167.93,21.24,53.34,195.45, 
225.90,119.67,242.53,288.18, ,49.79,231.38,95.50,79.92,229.79,138.89,153.94,100.64,159.81,197.13,12.30, ,224.52, ,167.05,161.78,155.35,81.64,48.36, ,128.29,204.60,53.13,251.83,154.17,219.76, , ,20.46, ,244.97, ,112.02,291.52,139.74,183.03,251.45, ,79.74,105.87,27.53,129.46,13.58,7.24,280.63,42.19,238.41, ,68.15,220.34,200.58,262.77, ,214.22,187.83,118.19,171.58,153.11,233.21,257.52,188.43,222.69, ,161.10,208.01,16.98
 ,217.56,251.70,174.99,144.96,159.87,56.52,108.88,32.49,76.31,282.53,228.17,195.36,66.32,108.24, ,236.60,47.69,236.21,0.02,193.83,262.01,119.35,265.86,25.95,105.29,290.47,244.12,265.39,262.02,252.59,208.67,242.11,14.22,5.22,280.46,77.08, ,196.44,21.90,261.86,30.71,20.31,221.94,66.13,178.02,18.89,53.34,77.73,222.30,14.93,236.51,13.63, ,210.07,291.91,76.76,166.20,42.06,276.52,33.07,136.09,61.70,231.09,49.44,192.08,255.72,242.01,142.25,139.71,235.88
187.81,153.38,67.21,20.94,153.51,86.54, ,148.24,162.84,10.76,10.10,59.34,258.27,280.97,68.75,15.13,221.09,53.76,94.97,296.03,102.71,225.24,281.79,53.62, , ,248.25,80.64,40.32,236.63,118.16,54.57,205.76,161.05,250.76,208.72,94.71,296.84,103.74,93.43, ,284.93,71.50,2.38,226.85, ,248.13,21.09,292.72,278.38,186.36,109.79,175.93,106.51,224.46,151.39,67.60, , ,46.14,291.72,116.20,140.94,192.44,67.04, ,45.42,275.24,148.73,150.49,176.83
277.70, ,295.59, ,298.41,195.43,135.74,3.97,161.59,61.18,135.35,112.49,285.27,155.33,158.05,187.24,29.08, ,203.73,276.63,158.94, ,46.71,269.11,125.12,118.99,154.32,132.64,135.11,54.54,251.92,296.26,247.47,4.10,229.06,46.06,23.56,230.53,123.09,120.95,30.33,134.52,194.28,151.46,85.07,19.83,118.60,176.14,41.42,135.50, ,181.56,68.42, ,138.69,82.71,119.57,199.58, ,93.86,149.17,6.31,143.08,173.78,219.44, ,99.68,171.06,256.91,212.96, 
51.65,89.41,296.10,210.88, ,4.74,49.33, ,104.50,221.03,130.25,218.13,240.15,201.90, ,25.51,255.56,49.29,121.62,128.19,271.47,224.23,249.80,104.21,78.06,48.57,205.54,274.47,129.19,138.28,218.34,211.52,196.00,5.99,21.40,41.69,212.55, , ,239.48,289.89,148.58,73.88,227.51,290.51,16.29,270.58,292.57,108.53, , ,206.18,248.69,157.17,213.79,23.59, , ,170.81,51.95,102.24, ,92.75,9.32,6.75,214.10,52.48,31.75,8.86,115.68,53.23
170.51,0.51,79.00,194.59, , ,229.36,132.31,81.57,243.63, ,157.74,138.05,8.93,269.27,120.73,258.21,96.51,98.16,216.68,14.88,178.10,273.16,286.46,5.07,238.89,213.66,70.57, ,79.49,26.30,177.49,242.69, ,80.36,169.10,185.44,40.85,38.13,287.04,9.26,152.67,85.51,44.77,118.05,235.57,128.11,52.30,162.73,129.21,100.72,240.14,182.29,49.70,294.99,245.00,28.86,252.40,164.01,270.44,98.97,156.87,126.06,7.48,236.59,231.88,135.01,23.47,153.01,237.71,109.92
152.26,280.39,253.14, ,223.59,200.79, ,127.87,192.48,244.44,272.06,166.38,48.35,124.36,263.03,49.37,244.79,211.73,6.28,69.57,88.46,8.90,179.34,173.71,272.13,200.89, ,67.27,42.83,175.61,220.17,293.57,182.48,204.85,201.48,177.22,158.18,18.48,252.58,249.95,127.37,225.29, ,292.56,105.41, ,49.61,236.10, ,118.58,67.83,139.85,103.46,295.74,167.91,129.28,21.93, ,90.03,222.09,71.52,258.02,43.31,191.07,50.80,97.98,121.88,129.02,127.67,255.18,146.37
133.65,49.08,20.06,66.30,291.73,287.05,159.04,257.37,9.76,104.16, ,226.04,126.36,259.63,140.65, ,167.81,120.72,85.00,56.01, ,47.73,69.98,148.15,254.85,110.09,2.42,260.36,49.80,113.94,191.54, ,142.73,71.10,39.29,104.22, ,187.16,296.50,140.51,57.47,42.90,58.39,85.40,273.78,105.47,144.62, ,118.06,164.70,103.19, ,207.41,52.65,142.32,51.71,193.80,78.20,276.74,282.02,155.33,197.33,43.50,257.82,160.01,250.50,200.74,94.43,153.77,202.72,196.23
278.93,63.61,26.73,193.71, ,49.05,299.81,8.03,267.67,201.76,44.33,265.97,45.36, ,192.44,48.68,231.27, ,294.87,205.43, ,214.17,27.50,137.50,186.73,5.02, ,70.25,31.95,223.71,110.33,269.75,24.98,18.44,237.13,137.33,48.53,56.72,143.28,23.73,122.15,185.65,284.01,127.62,292.11,93.26,27.63,189.61,121.44,105.21,221.36,201.12,58.32,156.12,193.27,82.23,82.83,118.14,223.79,82.79,297.08,18.34,239.07,77.33,116.01,119.07,125.07,7.26,278.04, ,171.31
 ,186.73,135.10,192.89,250.63,274.79,151.74,272.43,201.08,151.32,232.29, ,57.36, ,240.75,225.08,139.94,192.95,94.35,31.54,86.94,262.93,229.88,54.85,205.48,252.06,273.02,27.18, ,17.77,182.47,14.27,126.34,101.16,76.92,184.55,216.15,27.09,96.60,32.72,47.24,250.97,261.67,131.21, ,148.98,259.52,92.62,261.72,268.89,152.11,299.28, ,166.00,292.11,85.13,261.50,13.48,236.39,47.79,264.30,216.58, ,51.96,252.09,210.45, ,62.57,127.68,33.31,222.22
256.27,50.24,139.72, ,76.11,178.03,3.17,60.29,87.23,181.08,125.93,260.31,154.10,82.01,12.69,55.16,31.95,88.35,202.23,79.94,190.94,122.05,260.84,239.93,294.59,87.40,212.54,74.85,27.08, ,39.78,254.74,264.48,166.24,219.48,294.13,209.25,19.86, ,202.20,261.01,164.29,17.31,96.12,143.46,249.01,162.98,297.78,146.02,107.10,234.51,54.34,34.65,152.18,219.38,181.29,251.17,228.81,122.40,60.64,148.13,8.91,191.19,251.97,21.72,97.42,184.48,88.56,158.20,57.14, 
238.43,246.30, ,214.78,211.71,72.28,285.07, ,176.26,22.92,109.60,10.89,266.47,154.39,20.84,242.74,90.26,56.39,165.18,251.35,154.88, ,214.71,125.05,88.11,8.58,22.52,12.47,57.05,242.75,195.96,185.40,128.15,50.76, ,293.93,203.34,42.84,63.52,72.25,42.79,57.77, ,148.35, ,205.40,38.80,127.92,33.46,204.83, ,69.55,166.99,235.12,228.45,79.33,254.57,225.93,186.28,247.44,27.15,240.03,82.29,87.03,121.54,63.80,82.38,253.35,18.96,265.18,70.79
130.54, ,56.47,59.30,212.54,53.92,33.95,38.31, ,197.28,9.39,165.14,94.44,41.15,6.95,60.81,50.83,103.09,247.82,283.15,280.74,28.50,111.03, ,233.06,172.36,150.99,41.77,227.89,283.92,167.21,102.10,41.08,48.04,241.26,248.08,96.97,244.35,136.18, ,69.24,181.18,278.48,287.65,242.52,205.16,15.13,85.90,236.49,8.11,20.61,149.50,221.32,180.81,10.83,263.87, ,145.05,272.66,13.61,102.19,99.06,176.64,171.90,230.96,144.83,271.86,281.88,190.50,89.13,167.36
109.43,250.01,273.39,114.16,116.57,148.51,2.35,210.10,161.87,125.49,273.45,275.89,5.67,111.86,11.95,50.63,226.65,75.87,223.30, ,39.87,35.54,108.73,165.60,222.57,108.46, ,205.81,235.44,71.55,6.29,26.51,204.89,57.56,153.20,170.79, ,277.17,276.23,136.46,68.86,148.50,288.30,83.14,64.05,265.01,0.92,137.85,253.40,115.41,244.21, ,284.44,82.11,93.24, ,235.08,255.69,114.20,212.18,137.45,191.97,87.57,150.97,250.73,16.44,38.52,162.42,245.08,225.58,72.67
201.95, ,157.64,144.64,3.51,239.09,233.94,67.31, ,292.74,296.89,143.70,269.82,178.88,285.55,220.19,198.03,65.97,279.78,73.12,160.80, ,140.54,62.06,175.88, ,253.44,209.76,286.89,103.27,94.48,270.22,147.03,136.80,96.73,70.30,197.99,284.96,71.64,280.56,209.88,180.07, , ,260.46,269.40,39.26,152.54,78.54,177.73,212.58,31.92,144.32,213.97,148.42,163.28,265.09,64.11, ,250.72,196.94,204.40,163.47,113.21, ,112.79,262.17,25.15, ,169.47, 
298.74,207.82,201.40,235.17,18.07,216.23,68.59,157.46,203.92,142.47,172.56,127.55,280.63,128.82,22.17,211.08,125.25,182.92,291.81,292.16,289.74,262.95,248.84,87.59,246.16,229.63,185.32,253.45,209.88, ,232.05,65.91, ,184.81,287.01,253.97,186.51,187.56,2.04,269.88,289.16,19.69,34.76,275.98,70.97,70.49,117.91,291.70, ,176.51,152.96,160.72,239.64,19.69,106.47,58.99,145.26,215.80,9.79,40.03,191.78,68.50,43.81,109.27,140.04,21.43,38.91,125.13,286.57,67.66,0.91
