Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61
286.98,248.40,71.29,250.83,88.47,14.97, ,271.64,263.50,131.68,246.70,161.39,253.18,259.16,173.28,29.97,264.17,73.26,256.56,186.27,170.65, , ,289.10,64.77, ,196.45,277.28,68.52,88.04,56.34,201.56,11.54,297.70,99.68, ,181.86,58.09,18.41,164.83,169.09, ,199.68,167.24,260.92,274.13,264.04,30.51,64.00,192.02,238.86,294.84,173.57,150.32,132.66,90.91, ,20.52,196.86,267.53,107.50
47.95,167.33, ,32.93,229.01, ,167.86, ,260.10,13.21,16.30,238.51,286.04, ,86.33,274.32,206.37,257.16,170.12,202.08,170.32,230.10,286.94,10.84,164.94,26.91,64.74,106.43,98.11,77.59,148.59,277.82,163.99, ,34.11,47.97,250.75,201.95,53.56,53.82,103.42,295.24, ,197.66,279.75,195.77,253.96,246.93,235.28,155.72,145.03,129.14,186.91,18.82,249.31,283.70,60.73,212.88,32.28,242.87,106.32
69.37,183.00,292.05,127.22,199.46, ,28.60,270.83,107.94,173.67,184.40,125.97,4.21,42.30,167.41,221.07,123.70,189.06,273.38,267.22,206.80,205.07,28.59,159.76,76.60,201.77,124.76,271.03,252.28,243.71,67.66,125.75,146.11,31.36,22.15,196.30,235.90,97.98,272.47,187.82, ,212.82, ,244.46,219.14, ,200.96,105.02,47.83,182.54,33.01,194.46,192.99,269.50,111.99,156.22,69.21,124.88,108.48,111.72,182.04
188.68,244.07,297.52,45.75,239.63,14.61,107.59, ,208.21,61.52,96.87,242.42,199.16,239.82,151.23,65.55,244.68,261.88,224.41,115.33,30.38,248.23,239.89,155.12,162.73, ,110.97,222.14,250.62, ,8.79,236.56,27.42,254.43,295.29,14.06,217.07,124.92,128.12,236.10,35.08,222.43,209.80,256.73,47.51,120.49,191.95,206.97,3.91,148.26, ,162.32,274.23,92.26,3.86,165.78, ,264.61,226.73,6.43,127.38
50.51,110.24,4.91,161.83,178.62,8.02,172.40,210.01,67.61,52.01, ,39.12,270.09,43.55,255.08,271.88,277.52,119.27,224.66,81.80,15.11,241.50,264.30,160.90,284.47,64.45,6.07,25.97,52.21,120.67,296.54,16.32,12.30,194.04,272.07,170.44,67.73,238.07,28.79,44.47,99.57,222.41,212.48,81.81,17.92,271.99, ,288.31,7.35,182.56,95.97,114.75,226.13,21.22,255.47,2.62,219.76,191.15,24.02,107.21,157.46
260.69,4.74,160.44,72.89,256.40,201.39,252.01,297.83,85.68,93.42,222.04,199.84,38.58,252.74,156.48,66.21,123.08,261.65,67.23,124.22, ,158.16,214.47,104.91,40.47,176.36,127.72,105.80,76.08,261.61, ,184.18,32.44,19.71,68.29,166.06, ,207.08,33.35,129.61,228.19,2.23, ,129.95, ,256.65,119.86,277.23,102.43,297.30,174.70,177.99,157.45,22.47,121.18, ,250.79,114.26,196.32,146.39,8.42
282.92,97.58,151.34,3.60,59.75, ,51.13,142.67,61.78,273.11,220.97,133.74,273.45, ,192.26,37.65, , ,74.79,221.74, ,225.34,298.49,113.49,29.91, ,91.69,231.31,42.28,108.38,63.95,168.72,163.98,156.89,226.95,119.00,157.80,74.04,56.24,9.97,197.31,131.50,47.04,200.93,40.80,70.79,211.56,299.66,184.81,70.10,249.63,237.57,193.27,175.53,273.12,167.90,278.18,197.71, ,98.64,222.75
263.82,51.18,147.37, ,109.81,293.68,148.30,59.61,224.33,238.89, ,106.79,98.83,265.59,288.15,17.08,203.85,58.61,243.56,280.28,15.79, ,75.23,15.94,265.51,69.98,137.72, ,205.60,117.39,113.51,235.42,16.43,111.49,94.30,281.01,146.07,150.20,72.02,246.70,39.64,276.85,24.69,255.23, ,72.62,270.45,36.89,194.58,212.53,270.45,250.63,113.65,195.22,19.45, ,226.32, ,203.17,202.76,256.91
110.30,77.03,263.70,128.13,245.25,134.54,156.26,7.02,78.98,158.77,140.67,105.91,122.17,186.88,246.65, ,56.94,150.44,222.47,61.74,143.03,123.15,66.43,128.93,169.78,58.08, ,161.27,279.75, ,166.64,250.26,294.12,269.20,240.80,42.34, ,185.36,3.43,279.13,136.22,264.01,236.52,246.99,16.14,81.23,93.38,270.01,296.06,73.01,218.01, ,220.54,68.32,148.38,112.38,211.82, ,183.09,143.74,25.13
56.83,179.63,108.30,254.02,126.85,244.98,291.70,265.40,196.26,285.03,211.03,183.68,134.25,129.19,196.85, ,253.68,17.50,68.98,57.91,294.00,118.31, ,246.25, ,142.51,198.32,13.95,298.05,260.21,44.99,261.68,76.07,159.99,19.25,260.72,102.30,162.10, , ,166.86, ,9.37,50.36,114.73,121.79,136.53,75.52, ,274.84,63.65,244.37,63.80,160.06,159.83,86.71,260.90,151.27,262.95,163.29,66.78
208.48,176.13,172.83,243.39,101.66,282.50, ,46.29,250.00,110.96,299.11,233.05,115.65,215.63,209.26, ,248.87,231.79,5.89,75.86,252.29,256.32,223.56,281.08,296.26,285.65,192.57,201.45,65.68,60.89,156.69,267.86,274.01,230.56, ,6.42,256.57,185.51,107.49,172.43,228.03,298.76,174.57, ,34.39,202.63,104.13,81.81,284.54,0.60,56.16,144.11,251.91,59.18,221.76,211.29,72.43, ,265.14,262.66,31.23
14.06,50.63, ,280.60,206.50,106.93,53.00,157.17, ,216.36,104.58,236.06,249.74,195.31,55.19,26.32,104.46,149.47,178.09,135.68, ,116.88,163.49,58.31,174.78,237.02,45.71,135.61,64.08, ,278.96,249.54,35.55,45.67,209.09,179.36,224.10,161.65,243.67,89.67,206.31,201.35,76.51,241.46,79.76,64.36,84.54,64.01,67.90, ,276.99,184.48,257.52,183.42,208.33,78.56,121.25,74.01,185.86,168.57,169.44
222.99,170.35,190.53,279.10,165.78,22.22,79.08, ,126.73,239.02, ,179.69,97.83,125.35,287.46,50.87,274.48,75.38,286.48,271.70, ,137.48,187.88,19.89,107.87,263.83,228.71, ,273.13,242.28,48.97,52.51,284.49,221.86,171.82,25.78,173.91,281.01,79.32,134.61,98.11,15.94,209.94,71.59, ,13.87,130.98,34.07,228.11,152.68,232.88,13.75,234.92,57.41,284.51,184.26, ,165.49,290.77,202.61, 
284.62,240.06,19.85,46.42,35.18,235.94,260.11,44.45,154.88,244.67,149.51,176.00,294.42,286.04,131.16,28.34,124.63,231.38,242.52,92.45,176.89,22.41,202.55,214.67,34.27,57.93,174.27,283.65, ,120.93,289.98,150.27,293.70,160.96, , ,273.26,236.79,67.49,161.80,232.41,283.92,221.65,171.59,65.02,135.42,35.32,110.66,119.22,192.32,54.63,134.54,289.75,287.13,89.06,6.89,12.65,18.80,72.19,293.23,108.60
23.16,254.06,29.51,238.18,53.45,166.51,20.68,259.32,213.49, , ,69.86,211.20,103.69,279.04,120.60,225.57,231.56,277.57,252.90,182.91,208.55,194.34,205.67,237.05,202.04,39.55,263.17,60.55,234.14,163.78,127.22,198.49,268.97,19.85,91.82,228.21,252.17,229.61,276.21,245.41,272.90,156.34,12.74,28.00,208.82,76.02,32.49,17.19,248.10,220.47, ,169.56,188.27,119.80,39.46,74.52,268.57,237.60,80.31,281.97
72.81,77.22,121.38,115.05,134.82,195.47,28.67,63.99,50.32,46.04,179.45,171.04,188.12,101.99,272.62,269.63,172.85,143.29,233.56,269.23,180.34,140.18,229.74, ,280.06,171.98,267.40,240.88,180.66,217.40,22.13,118.72,174.21,210.86,99.14,137.67,49.54,7.70,232.12,84.48,299.82,282.02,248.99,82.63,272.40,278.74,1.39,62.10,263.04,44.04,142.16,229.70,184.08,150.24, ,234.72,149.10,10.39,269.43,253.33,14.16
80.42,175.22,254.22,57.83,138.56, ,58.06,185.09,219.98,30.62,208.06,114.31,146.93,81.79,100.08,17.01,258.31, ,106.88,227.40,239.27, ,215.56,162.60,22.29, ,52.91,53.31,226.38,8.29,247.45, ,125.34,249.02,119.89,190.53,127.45,105.13,154.77,17.41,121.34,99.96,92.60,19.90,138.42,262.26,133.02,84.75,1.53,42.01, ,232.54,61.27,92.40,142.57,272.09, ,11.79,201.02,171.94,58.36
 ,20.61,239.51, ,197.88,40.42,116.95,172.43,35.52,196.62,2.80,262.29,244.14,122.64,78.46,66.08,4.94,157.43,112.09,233.50,53.62,102.88, ,251.24,121.38,221.61,1.87,206.17,131.29,72.83,227.46,70.85,180.82,49.74, ,238.84, ,292.46,213.67, , ,236.11,196.06,97.33, ,3.51,94.99,264.66,279.15,262.18,214.65,56.92,271.95,277.64,288.22,296.39,128.91,235.65,57.36,187.42,57.08
147.12,242.61,43.40,145.60,228.94,46.26,162.43,281.63,100.94,129.18,269.38,258.63,48.18,298.41,271.28,126.53,207.56,230.16,290.91,256.54, ,2.80,298.45,187.35,121.95,267.71,126.58,177.91,273.98,30.03,165.17,36.12,293.08,213.73,96.17,200.57,125.50,221.74,224.38,262.48,266.28,238.44,235.16,209.82,26.56,165.26,197.22,277.62,114.06,75.79,28.88,297.26,87.07,140.03,224.22,73.74,26.26,1.34,158.66,253.31,155.40
234.92,189.37,177.81,268.45,275.20, , ,60.91,244.69,196.09,35.27,56.38,282.02,22.96,268.87,25.90,94.85,176.90,173.37,287.64,8.30,139.14, ,200.06,179.99,152.12,136.27,105.27,103.96,220.77,131.86,270.55,291.89, ,276.11,187.74,246.56,226.60,284.66,285.76,41.89,92.82,223.03,196.05,18.73,41.61,190.90,233.92, ,165.29,206.66,167.81, ,63.85,2.29,258.91, , ,74.80,91.58,296.78
118.67,235.95,232.15,127.56,101.19,133.59,260.90,178.87,22.70,160.32,14.94,230.12,140.79,73.10,173.22,73.56, ,9.52,120.41,167.27,186.43,235.01,76.95,93.85,71.29,15.84, ,187.66,41.03,111.35,127.85, ,201.42,116.37,0.03,296.17,38.20,283.35,97.59,21.80,215.82,8.14,160.07,119.32,180.80, ,294.92,253.09,177.04,39.41,213.44,84.15,14.39,64.09,64.34,9.41,40.21, ,271.86,103.69,119.74
 ,88.25, ,41.34,91.60,241.87,168.18,263.72,232.45,13.01,294.81,229.47,177.60, ,149.46,18.20,114.29, ,202.54,94.15,184.55,198.62, ,66.80,29.04,172.64,282.43,219.73,152.71,58.76,27.22,233.59,148.32,58.41,215.18,138.65,9.52,131.65,65.14,277.44,151.03,260.53,134.00,212.16,27.49,67.56,48.83,74.40,181.13,205.98,91.26,263.79,14.20,235.35,142.21,194.77,62.88,126.70,35.55,183.60,9.78
117.75, ,192.15,133.45,161.74,116.23,193.55,220.57,152.37,131.21,194.69,128.04,251.15,85.54,208.53,299.80,266.32,112.01,14.17,183.43,175.23,82.27,216.68,57.77,2.77,134.21,13.43,247.44,287.18,254.60,181.55,55.40,12.81, , ,112.88,202.88,189.43,56.89,288.00,175.16,3.65,188.22,181.93,100.41,149.40,180.42,175.18,124.56,156.16,8.75,57.60, ,208.20,26.24,219.57,86.24,108.25, ,128.53,61.48
117.54,138.44,116.19, , ,185.05,87.43,7.84,106.19,53.22,51.75, ,49.51,210.01,209.96, ,41.62,215.24,213.45,157.13,67.30,270.40, ,57.83,234.38,252.34,256.08,11.63,99.56,90.29,218.91,250.66, ,253.24,201.03,174.13, ,241.43,166.74,248.45, ,182.83,292.27,83.52,154.35,7.99,3.89, ,4.14,39.61,221.46,247.04,34.20,284.49,27.12,169.41,75.81,158.41,201.61,286.77,155.47
118.03,204.25,205.37,103.80,254.40,105.05,113.41,89.59,131.85,224.11,150.39,206.79, ,230.19,188.96,165.89,144.58,7.60, ,185.55,275.11,70.37,137.97,25.56,36.48,212.62,219.93,156.33,88.80,56.91,290.97, ,238.18,282.27,120.20,131.33,26.09, ,232.26,241.28,109.49,115.22,238.35,85.12,161.87,196.69,230.79,268.51,125.84,135.81,283.03,202.95,212.88,20.44,128.84,102.95,239.48,260.44,253.33,272.50,219.49
33.98, , ,3.82,165.32,254.31, ,157.26,239.30,285.35,233.01,187.39,186.54,131.79,58.89,36.86,96.85,208.06,262.89,250.95,75.87,99.88,117.02,189.14,61.31,140.77,121.55,7.35,86.21,122.16, ,189.29,278.21,98.16,156.20,106.10,185.71,122.06,71.32,215.23, ,207.92,296.92,174.10,69.59,215.22,48.33,81.04,233.67,267.05, ,157.96,99.02,268.24,15.48,221.62,247.93,138.63,122.95,24.98,246.44
42.43,33.62,219.24,231.57,169.56, ,27.52,26.87,18.65,86.67,169.57,6.14,156.00, ,32.85,245.76,167.27,117.48,286.08,103.40,32.16,155.59,0.48,286.88,224.64, ,282.85,175.71,99.99,146.00,64.56,164.29,195.25,161.31,138.57,199.55, ,172.51,190.19,117.80,244.65,111.90,25.29,278.68,16.28,160.27,74.95,99.10,296.10,235.37,198.22,231.99,93.98,138.86,177.10,150.19, ,124.84, ,22.73,89.51
285.26,277.08,106.54, ,102.65,193.84, ,154.66,61.96, ,200.83,79.37,283.64,89.45,275.80,131.20,64.89,293.99,181.68,56.87,148.76,108.88,142.14,197.26,156.35, ,57.18,38.40, ,86.58,71.45,248.28, ,13.18,65.09,288.94,20.39,104.14,119.42,22.04,43.99,70.16,37.81,169.23, ,132.21,283.69,225.18,106.32, , ,61.38, ,16.77, ,120.91,32.48, ,246.28,209.79,201.53
143.77,23.81,202.98,138.25,111.79,212.96,15.37,169.46,29.06,153.07,7.14,274.59,93.01,131.15,121.67,233.85,80.54,27.80,111.92,12.58,88.37,267.48,66.18,246.15,37.90,153.97,180.61,77.47, ,208.62,106.81,222.78,204.02,158.57,130.38, ,219.66,279.49,75.59,256.66,48.55,131.99, ,12.60, ,129.38,158.89,206.69,41.10,186.39,196.03,189.94,150.04,268.75,296.74,175.20,66.09,247.96,126.27,210.68,71.03
40.89,158.37,212.29,285.05,259.02,260.61,219.29, ,188.04,255.31,115.38, ,39.12,196.56,277.42, ,48.45,147.29,5.67, ,205.14,289.34,261.02,13.12,60.59,68.35,227.00,116.14,299.22,292.37,20.65,3.01,18.24,274.34,7.83,254.22,189.49,173.26,172.82, ,180.36,109.44,203.52,73.02,248.27,246.07,20.45,145.14,105.95,274.71,190.47,128.26, ,7.41,64.88,226.22,60.59,165.60,268.14, ,223.81
