Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48
 ,292.21, ,217.44,214.95,285.97,85.77,105.37, ,273.85,83.32,212.73,12.88,52.27,75.67,288.92,270.08,280.84,160.29,179.73,99.62,109.91, ,150.13, , ,115.59,262.26,31.46, ,140.85,256.79,2.07,177.47,65.97,234.44,42.98,50.20, ,160.11,292.12,20.72,189.18,284.88,83.67, ,43.92,30.16
 ,32.23,251.18,12.39,238.81, ,52.98,295.07,148.96,55.36,194.76, ,31.07,199.81,222.73,158.66,294.64,153.65,105.79,31.24,214.32,56.83,23.03,61.87, ,235.91,53.84,63.14,161.74, ,276.49, ,135.15,261.15,125.83,100.31,19.25,144.98,275.32,12.34,273.64,215.65,240.24,40.23,71.71,272.91,178.46,40.25
137.35,8.13,289.41, ,8.66,38.82,2.26,10.30,224.23,238.92,49.15,174.01,280.11,25.45,254.43,94.11,27.97,276.17,84.92,184.99, ,223.81,113.82,101.83,98.63,76.01,259.90, ,12.43,182.39,18.38,228.50,104.87,208.00,247.62, ,132.61,277.22,178.02,230.82,228.13,190.60,261.87,288.55,162.93,250.67, ,87.50
83.95,85.78,273.41,284.86,166.01,116.28,249.37,153.26, ,182.71,139.60,270.32,212.86,81.23,34.07,251.04,136.63,249.16,116.81,113.44,148.58,72.16,134.16,224.27,114.95,183.22, ,153.54,164.43,163.92,20.86,279.00,53.24,133.40, ,115.97,195.10,180.06,35.57,246.75,77.61,66.83,16.24,114.36,182.83, ,210.79,179.46
6.26,12.19,114.52,255.63,146.51,289.84,255.75,60.53,81.67,282.43,138.46, ,237.40,258.02,94.44,79.71,86.29,296.42,126.92,181.58,94.34,226.54,57.52,268.64, ,90.87,54.77,256.36,166.73,169.66,234.45,146.68,35.98,215.10,286.00,143.51,257.27,149.24, ,79.84,275.91,224.90, ,154.23,58.52,27.82,87.93,177.87
180.95,93.69,175.77,258.98,2.40,264.56,81.65,231.48,243.26,140.58, ,294.81,229.00,90.35,103.69,35.04,233.57,131.99,124.66,288.60,214.09,108.50,286.50,297.20,19.11, ,193.83,37.57,120.27,46.70,157.02,12.48,32.89,27.31,86.02,51.12, ,255.97,218.81,114.31,144.66,236.80, ,128.07, ,248.34,30.30,135.33
238.26,162.51,57.97,285.65,276.15,150.06,254.07,174.60,284.89,201.81,206.67,49.76,212.66,109.97,223.88,72.57,275.96,61.77,160.11,30.91,263.03,68.38,249.84,285.48,262.23,156.42, ,206.18,29.00,110.54,128.17,44.52,31.81, ,65.74,99.50, ,62.52,44.35,227.46,265.10,249.56,18.61,268.73,119.02,129.08,269.67,285.40
247.56,293.79,82.95,99.14,109.48,157.22,141.28,141.16,246.88,258.77,209.18,190.30,225.22,257.76,276.63, , ,260.38,223.84,36.38,222.94,184.64,299.70,164.85,132.31,231.59,77.23,18.57,168.97,286.91,138.67,69.91,187.73, ,111.57,287.00,296.56,19.18,132.57,241.57,177.41,205.02,130.54, ,98.07,230.84,41.50,48.53
117.26,141.70,47.83,54.87,211.87,201.56,20.30,230.17,124.08,198.75,114.03,79.63,159.30,297.08,79.98,12.21,281.87,265.11, ,19.98,281.10,113.64,228.01,199.87,184.39,120.49,297.37,56.58,224.33,206.56,147.02,137.35,234.04,9.36,60.48,175.82, ,289.46,165.06,211.15,234.15,207.28,91.87,267.68,196.64,207.90,181.75,159.11
94.11,235.37,210.85,233.67, ,223.12,66.81,174.86,207.03,60.88,61.22,85.81,229.83,270.47,2.29, ,228.29,261.08,282.49,128.37,124.37,139.28,96.93,262.94,19.19,11.41,293.51,223.14, ,43.68,226.03,157.08,274.26,297.82,64.21,266.29,294.12,119.65,93.34,45.13,251.01, , ,270.93,11.47,74.32,53.54,101.12
37.09,292.34,213.30, ,179.58, ,175.99,280.97,88.39,13.19,3.51,127.74,168.36,1.44, ,54.97,295.48,280.11,257.93,284.15, ,163.74, ,39.73,99.41,296.37,22.24,129.01,163.52,259.07,104.89,197.09,144.78,125.45,263.43,139.90,97.85,111.32, ,151.05,277.42,53.60,182.35,231.94,252.89, ,255.62,133.89
0.14, ,125.60,8.72,243.45,6.83,67.63,181.04,213.31,78.79,261.39,56.28,234.19,228.72,264.79,0.21,69.15,162.80,82.42,103.72,127.84,28.90,266.63,114.15,68.40,146.84,154.07,223.11,212.30,254.59,220.83,294.60,233.67,184.72,28.93,41.97,98.98,52.24,280.80,245.54,59.33,78.98,295.51,1.66,153.92,84.91,211.05,64.73
236.92,160.82,237.88,122.62,273.65,102.47,41.25, , ,140.40,13.98,84.72,43.73,271.90,13.40,208.15, ,145.07,188.50,265.46,233.54,64.93,104.80,149.64,23.04,293.21, ,129.13,279.84,129.04,1.49,134.69,220.57, ,248.14,165.65,142.14,215.93,207.58,226.46,173.53,7.44,55.17,295.87,251.49,74.61,170.22,37.92
137.62,134.59,251.14,299.37,99.42,0.36,236.02,64.23,176.33,276.30,43.32,177.07,140.90,198.03,168.73,90.99,136.23,92.12, ,91.49,25.24,181.02,242.80,96.47,284.18, ,215.68,0.83,206.27,44.43,152.85,40.25,219.52,169.42,263.85,103.12,120.46,25.53,52.70,249.17,117.56,133.71,28.78,125.99,276.27,39.34,83.59,72.95
256.07,14.74, ,117.86,158.06,89.96,280.47,259.94,40.90,219.24, ,53.78,41.08,70.55,159.16,160.01,157.25,174.48,36.00,289.85,70.14,190.39,198.08,40.85,154.62,202.84,224.14, ,265.22,199.43,145.81,205.66,210.82,252.40,57.74,72.66,234.62,48.55, ,162.27,171.94,174.48,245.65,31.39,63.85,273.97,163.86,15.15
238.36,194.19,94.62,93.83,293.30,1.34, ,163.61,144.38,239.69,126.16,250.56,102.17,174.65,132.47,226.81,140.56,268.45,58.31, ,11.10,39.64,29.26,176.05,156.46,34.16,182.71,26.17,174.65,258.06,127.25,13.11,0.81,169.96,35.12,118.09,217.53,58.66,169.81,41.26,291.27,101.89,147.91,257.38,122.84,108.86,75.69,151.60
98.78,239.03,218.66,180.12,214.84,82.98,173.49,110.92,199.67,38.73,40.86,70.13,211.55,113.79,0.97, ,99.74,2.75,205.61,113.76,274.70,124.78,226.03,170.27,148.70,129.52, ,125.63,287.64, ,101.43,146.37,88.13,53.77,179.75, ,293.51,125.44,125.97, ,75.00,62.87,138.13,119.97,18.01, ,55.18,51.13
78.15,167.72,171.71,204.00,109.34,132.28,243.57,119.57,33.25,278.52,12.75, ,274.82,163.30, ,95.08,23.68,93.59,197.49,150.00,96.40, ,228.68,242.58,13.68,220.18,136.75,201.06,254.06,196.56,100.39,212.45,164.34,169.62,283.16,205.74, ,165.08,160.00,26.23,72.88,267.12,21.21,162.25,98.31,225.42,138.52,128.12
230.41,84.19,196.95,191.89,150.43,65.26,116.17,57.37,275.96,150.24, ,12.49,267.05,251.45,189.15,10.84,247.92,187.89,121.58,125.96,257.44,168.45,299.10, ,188.15,49.72,233.07,50.88,185.51,210.55,290.65,79.07, ,3.70,110.06, ,236.02,46.69,96.92,118.04,39.80,292.77, ,225.84, ,184.94,196.95,261.74
 ,40.81,199.54,264.21,169.80,245.62,100.16,195.20,182.61,154.52,244.84,233.37, , ,55.63,225.78,107.28,174.67,95.33, ,59.54,62.41,29.44,213.16,55.89,276.62,182.40,252.79,98.80,78.49,179.11,53.40,31.32,204.90,262.12,72.03,62.94,134.66, ,47.82,51.01,163.02,258.11,11.76,127.25,163.05,14.35,8.28
118.40,249.48,137.18, , ,291.54,293.50,199.40,270.32,117.02,9.38,161.80,159.69,156.39,243.92,109.82, ,228.21,164.79,264.44,295.85,84.93,116.77, ,158.09,49.94,272.52,50.24,80.47,123.37,232.67,107.60,19.49,270.70,187.71,111.19,192.57,66.03,51.23,192.22,74.05,184.42,1.48,180.90,144.59,18.82,71.56,119.74
149.34,237.80,287.15,18.15,283.45,272.41,19.05,243.99,106.79,139.68,63.07, ,207.66, ,284.92,35.46,187.46, ,125.26,182.24,239.99,157.70,34.38,43.22,136.37,5.80,276.01,27.85,4.29,21.44,220.43,248.78,5.31,220.18, ,102.42,295.41,162.53,198.76,62.80,191.28,103.57,175.14,183.92,221.92,193.18,39.86,84.02
16.34,285.12,273.01,151.74,251.93,288.00,69.18,248.47,249.93, ,125.07,0.44,191.59,189.99,159.73,110.85,217.37,209.80,1.45,216.02, ,230.29,99.97,8.67, ,258.59, , ,70.16, , ,196.76,288.58,171.48,281.16,127.88,153.13,188.30,99.20,299.44,237.55,65.74,258.82,86.47,107.99,112.16,118.38,158.92
65.41,206.39,119.25,237.52,163.60,41.53, ,40.96,200.94,85.60,298.69,273.40,217.92,146.12,248.41,265.31,220.45,261.76,114.96,204.54,159.62,128.87,293.76,142.28,209.70,81.63,37.82,242.35,185.06,62.13,243.51,188.84,23.15,130.98,146.62,225.46,65.88,128.65,224.16,254.33, ,35.96, ,90.98,192.37,73.07,109.51,281.94
180.54,148.94,143.21, , ,1.79,122.99,172.56,101.37,181.00,162.85,236.82, ,129.20,280.90,39.39,65.65,178.02,186.67,213.95,236.58, ,49.50, ,222.06,115.82,33.77,211.80,52.83,164.84,95.51,265.73,143.23,172.63,102.12,210.79,241.52,298.70,196.88,139.99,257.08,167.89,71.82,247.85,245.32,6.68,258.44,175.72
3.79,122.92,107.65,121.98,181.09,174.70,224.98,196.92,270.50,172.91,144.51,166.97,233.46,130.66,146.06,293.57,54.73,255.75,150.21,211.54,198.40, ,123.38,6.19,71.43,178.35,215.51,280.71,232.57,135.99,0.41,118.05,197.10,106.00,84.75,271.01,82.12,225.32,158.19,210.95,2.51,43.37,88.41,223.36,178.45,145.46,201.72,29.12
 ,135.12,282.79,129.31,100.97,24.15,44.76,217.43,258.16,17.76,95.14,99.54,220.30,261.58,60.62,128.28, , ,17.73,282.25,204.74,33.61,89.70,184.53,52.75,13.86,18.88,112.37,225.12,277.31,131.82,111.78,197.37,223.50,40.80,62.14,288.96,174.43,174.12,85.79,201.66,297.39,208.65,38.96,142.42,20.46,54.20,234.34
67.13,166.67,63.58,53.48,24.56,131.21, ,217.00,188.52,122.96,225.30,148.02,75.14,79.53,218.49,283.72,278.91,36.72,205.13,140.33,290.09,88.89,55.10,14.34,22.54,52.69,70.02,6.92,65.00,194.54,298.23,153.54,19.81,63.98,155.78,182.62,272.55,34.65, ,48.99,299.94,23.97, ,224.68, ,289.68,296.00,39.38
126.70,194.07, ,119.00,284.80, ,257.35,53.24,250.51,256.28,288.53,198.23,204.94,46.31,194.09,167.79,216.57,249.98,11.44,229.64,15.28,202.77,204.38,257.63,58.25, , ,194.17,291.62,156.51,293.73,80.24,284.06,156.00,107.46,264.51,51.61,268.36,252.42,210.39,27.65, ,132.99,18.14,7.04,293.08,110.97,125.21
27.73, ,261.77,295.92,266.59,206.08,1.91, ,212.30,135.35,192.52,196.35, ,203.39,97.99,138.86,73.57,169.39,239.82, ,235.74,91.67, , ,285.17,134.32,190.57,78.40,238.01,293.74,178.15,140.91,160.49, ,271.83,95.67, ,220.75,40.57,130.65,39.04,126.12,13.29,143.04,99.78,66.46,123.97,115.14
 ,275.64,271.18,99.40,159.12, ,6.51,0.01,127.18,252.98,212.42,269.98,57.97,136.51,163.27,69.03,225.36,254.05,111.32,272.21, ,54.73,67.14,165.77,4.99,157.28,117.25, ,172.71, ,9.22,161.29,74.98,195.07,93.76,26.43,40.08,55.91,70.35,272.62,27.35,140.94,235.90,8.18,130.90,162.19,195.65,109.83
163.19,185.74,72.77,252.22,116.76,207.66, ,180.28,158.53,264.16,93.80,51.34,53.26, ,193.38, ,3.21,6.82,293.06, ,205.23,193.72,224.11,209.08,281.66,213.82,296.46,233.36,8.31,272.07,11.47,86.04,168.66,161.93,186.42,257.64,41.68,113.63,252.74,21.09, ,234.90,51.48,7.32,200.18,242.36,210.12,235.58
276.47, ,153.23,52.85,107.02,262.23,60.34,243.37,149.38,16.32,49.86,230.67,108.38,262.50,39.43,193.49,46.78, ,200.01,84.66,144.82,273.12,239.54,8.83,37.48, ,260.82,245.48, ,53.86,39.72,60.23,205.26,156.81, ,56.83,281.35,110.31,40.83,100.09,184.61,266.40,158.33, ,103.81,26.11,139.52,169.43
175.86,64.63,2.38,89.49,242.67,78.18,198.03,203.30,138.56,93.36,182.67,279.27,139.30,144.14,71.20,178.57,88.27,279.73,204.51,58.52,226.43,250.40, ,153.70,229.21,44.78,60.71,238.86,204.66,191.33,15.44,62.04, ,5.24,83.83,11.45,56.93,279.04,62.35,161.03,298.90,58.55,99.78,197.35, ,141.58,212.04,243.22
119.52,279.32,20.22,73.20,246.00,141.61,73.42,114.35,210.21,145.74, ,269.65,100.18,207.63,210.26,81.70,184.16,163.65,38.31, ,19.10,200.88,298.72,30.18,42.50,252.05,103.60,253.81,66.40,190.79,164.01,219.82,36.53,32.71,173.03,6.17,98.76,273.20,4.39,6.38,111.68,214.64,71.03,193.38,98.98,255.19,211.48,262.63
201.10,249.79,15.35,220.20,150.67,14.07,250.38,193.17,266.12,53.98,146.98,32.52,244.77,10.99,252.35,281.30,43.70,125.37,287.47,142.46,98.57,291.86,148.85,210.26,206.50,219.88,103.64,5.48,175.07,15.12,268.12,76.17,264.91,283.47,296.37,115.58,297.54,246.76,8.75,263.66,0.74,155.73,296.19,245.51,166.72,248.53,226.81,210.43
