Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115,Col116,Col117,Col118,Col119,Col120,Col121,Col122,Col123,Col124
286.99,36.41,192.28, ,112.48,85.25,255.47,232.48,176.19,108.21,243.43,35.79, ,102.37,272.14,106.13,298.85, ,35.26,297.90,166.14,30.15,163.05, ,95.53,71.06,200.08,195.17,133.26,261.52,113.29,285.74, ,284.59,291.85,188.86,127.38,100.12, ,263.17,201.24,235.03,10.43,69.78,167.28,153.18,138.67,62.47,185.89,109.00,240.54,87.29,256.23,30.41,148.66,256.92,52.27,22.20,27.06,268.31,295.02,23.15,87.96,258.10,34.32,172.27,195.95,205.15,101.84,265.93,229.14,0.40, ,22.60,141.86,12.42,109.60, , ,221.87,201.39,179.30,67.98,164.44,59.31,129.38, ,79.88,205.40,205.41, ,249.52,217.47,198.26,95.85,270.35,102.59,213.43, , ,136.05,8.95, ,138.33,3.83,114.22,298.49,229.43,269.15,18.84,289.76,26.95,16.25,49.96,258.09,28.23,167.90,248.44,54.19,253.47,4.98,267.24,87.32, 
 ,288.17,287.57,169.58,225.30,59.17,73.83, ,102.07, ,134.97,238.26,291.97,247.18,259.42,0.42,111.10,103.21,228.94,77.18,105.29,284.35,277.74, ,284.85, ,159.86,43.68,184.39,289.85,32.60,45.99,296.01,138.27,256.35,190.01,165.72,36.01, ,13.75,41.49,68.52,158.46,223.65,248.13,246.43, ,195.70, ,191.71,163.18,239.12, ,272.66,176.26,246.18,22.42,77.52,222.96,179.48,181.15,234.83,82.48,132.35,140.21, ,122.99,160.83,250.81,34.77,218.04,293.10,65.85,31.58,70.49, ,57.19,102.41,10.68,6.55,163.07,0.28,269.75,193.79,271.52,66.63,153.62,11.54,175.92,139.26,229.57,229.14,298.57,278.78,216.44,152.27,132.09,112.46,173.25,133.70,241.82, ,95.44,174.76,186.33, ,149.12,170.73,250.17,109.81,178.54,214.28,105.75,183.35,148.21,224.46,201.38,182.25,261.72,239.35,78.98,207.22,236.58,6.37
247.24,115.70,142.43,156.59,76.34,166.39,96.54,206.47,257.13,62.51, ,1.86,60.35,290.91,211.63,294.82,16.11,214.07,253.43,298.48,20.39,67.99,134.96,151.41,115.97,195.39,221.50,118.51,172.29,270.30,178.28,182.29,76.12,36.28,40.42,231.15, ,299.14,208.14,157.17,273.95,236.41,18.80,127.28,5.95,270.95,114.99,272.16, ,68.53,41.73,80.41,169.77,272.02,61.73,32.70,103.96,39.16,148.80,240.01,178.77,120.39,291.71,240.80,68.65,46.74,118.29,83.26,280.75,163.58,185.28,145.23,26.28,101.97,57.21,24.52,218.70,204.62,201.38,211.50,154.76,80.41,85.39, ,66.14,124.69,104.22,253.85,47.25,195.43,195.45,246.86,156.12,36.04,293.15,278.02,36.22, ,9.27,207.25,87.79,95.06,230.41,150.26,163.28,219.30,183.95,32.46,12.82,51.42, ,232.88,80.56,293.64,278.37, ,248.74,157.58,299.50,159.82,111.86,138.27,108.71,187.86
37.60,265.41,280.04,21.90, ,291.00,287.50,46.35, , ,176.47,148.94,121.72,76.32,136.98,253.52,295.34, ,196.03,285.83,142.89,213.49,298.72,293.74,290.89,186.18,189.11,289.27,269.79,229.88,124.96,68.13,32.69,180.98,222.92, ,65.81,18.27, ,262.81,141.34,78.43,94.04,175.60,121.10,71.29,260.00,88.34,180.42,190.95,49.74,228.20, ,102.73,251.73,135.61,117.32,95.95,183.35,20.45,184.59,37.95,125.84,23.91,114.62,44.92,194.68,104.22,38.48,222.01,182.94,7.74,146.94,145.11,167.18,296.95,31.39,287.34, ,11.24,83.72,56.13,50.85,63.95,253.40,22.07,153.84,251.36,226.62,299.21,222.24,253.86,196.15,261.35,257.87,64.58,128.77,1.33,35.63,279.68, ,1.75,190.02,184.01,8.06,43.33,161.30,218.83,104.24,96.66,165.46,222.20,198.02,208.37,78.55,57.33,9.84,0.24,140.52, ,148.57,287.31,284.63,32.36
299.64,216.60,105.41,79.46, ,122.38, ,200.93,18.86,204.32,268.75,218.46,48.17,276.34,180.57,230.88,80.91,152.89,87.78,283.37,270.75,289.62,128.77,86.06, ,290.38, ,94.56,280.83,211.06,178.22,218.13, ,299.03,157.46,127.41,279.91,86.51,284.28,275.93,64.15,33.89,49.13,149.09,142.53,104.23,170.04,17.82,200.43,18.76,13.40,173.64,140.83,140.47,238.24,299.94, ,33.83,289.10,206.00,38.07,286.49,67.86,155.59,82.79,65.76,185.85, ,179.17,274.47,177.87,136.04,215.09, ,272.00,107.18,247.36,75.81,283.02,116.20,190.66,11.06,39.67, ,53.98,221.11,95.72,241.16, ,156.25,188.42,72.87,6.24,140.85,254.08, , ,262.48,269.27,72.80,170.46,62.92, ,91.38,261.24,274.04,188.79,126.45,54.67,23.28,262.91, ,86.78,99.25,147.43,22.80, , ,161.39,139.81,231.75,284.90,156.13,153.08
49.38,192.60, ,267.50,298.72,221.12,95.72,177.20,293.18, ,186.44,82.08,282.49,208.35,278.12,190.32,202.40,1.31,111.14,62.50, ,58.96,223.19,136.97,18.92,197.83,16.59,42.70,139.16,251.19, ,15.66, ,218.06,167.17,47.71,75.56,255.29, ,178.49,296.75,8.13,176.71,143.48,11.46,172.53,137.51,102.64,275.95,71.23,135.66,260.24,159.86,152.83,113.21,283.60,10.19,236.86,260.49,220.28,266.67,39.94,71.90,257.36,111.08,260.37,112.89,144.27,174.04,267.14,28.41,97.21,242.48,225.50,114.42,174.92,238.59,185.27,57.44,58.33,171.22,115.26, ,259.53,113.36,224.01,285.04,197.82,117.23,249.14, ,94.92,127.39,109.98,44.00,155.30,35.94,121.04,10.63,110.73,173.72,191.51,52.40,172.14,183.49,25.18,150.33,98.80,153.62,290.40,76.19,299.95,172.21,263.33, ,74.06,55.07,41.85,193.82,201.53,291.60,295.04,155.90, 
133.63,202.86, ,279.05,166.32,141.93,54.52,168.66,175.12,270.00,253.13, ,154.66,16.69,128.71,16.12,206.06,212.61,273.77,87.97,245.30,85.42,233.68,101.27,285.31,32.26,278.14,227.37,29.75,293.03,156.04,102.32,158.90,171.01,93.92,76.16,138.14,271.83,271.77,134.08,98.12,159.36,62.41,209.05, , ,211.23,248.93,67.89,202.81,78.92,201.03,140.54,288.87, ,122.95,44.08,228.75,51.70,29.39,46.28, ,233.11, , ,212.84, ,115.65,80.89,278.18,235.16,286.82, ,109.77,141.10, , ,150.77,290.83,107.37,89.14,65.01,222.51,151.95, ,229.10,188.12, ,123.29,290.14,155.34,287.62,198.97,257.88,94.31,44.37,171.01,242.16,70.12,213.88,89.15,151.16,195.51,97.85,116.78,189.55,187.89,268.56,210.39,136.60,175.14,206.38,14.49,282.18,13.20,6.67,203.43,196.89,216.28,117.73,82.72,5.17,184.44,57.47
200.17,99.54,75.03,121.47,154.45,253.67,130.95,204.15,194.32,219.64,21.61,242.11,120.94,113.96, ,67.81,108.35,272.65,201.15,163.31,171.95, ,181.69,229.29,160.09,8.98,95.75,161.60,218.10,269.17,234.34, , ,28.80,53.87, ,24.53,3.89,239.80,78.18,273.62, ,97.23,49.82,203.60,230.84,193.96,153.76,120.46,209.51,269.58,186.48, ,87.01,184.40,234.90,136.82,126.60,5.76,156.73, ,68.14, ,262.10,178.66,150.06,299.91,101.86,185.80,251.20,179.12,299.62,98.17, ,224.76,28.31,100.08,127.57, ,152.47,86.23,220.71,163.40,235.60, , ,253.81,94.22,270.69,246.95,230.28,293.63,297.81,273.71,45.56,281.50,272.24,229.15,4.02, ,239.63,297.45,11.61,155.25,103.25,91.49,179.37,165.74,58.80,26.71, ,168.64,27.32,32.91,33.81,49.01,276.55,144.82,118.43,192.83,80.62,54.46,21.30,118.47
174.24,101.01,31.50,123.08,110.52,15.28,192.91,291.70,171.10,207.05,113.89,252.49,241.81,147.25,122.39,37.41,167.93, ,199.43,277.62,218.60, ,62.93,37.80,195.97,191.15,198.43, ,150.92,144.71,46.81,280.26,145.23,180.46,131.44,91.74,38.13,242.66,73.27,49.45,165.14,19.05,156.78,171.07,223.65,165.57,123.60,282.99,122.73,252.50,243.34,63.22,54.57,293.12,275.05,255.74,0.92, ,157.70,279.42,222.53,30.98,118.80,175.97,299.54,40.13,282.76,16.93,138.94,257.34,297.85,222.52,0.83,246.39,196.19,23.94,221.00,11.70,231.72, ,231.26,167.57,209.85,201.89,90.87,131.41,222.55,280.18,132.15,6.97,73.67,14.62,153.77,204.08,1.25, ,232.50, ,117.47,140.50,102.76, ,234.17,166.60,269.21,197.63,234.16,220.36, ,112.75,272.45,214.28,108.58,206.20,123.86,56.12, ,158.88,287.09,184.77,158.53,80.89, ,15.05
221.03,147.40,202.69,50.61,93.56,52.26,286.62,23.43,140.47,201.62,53.56, ,207.25,74.96,209.36,3.18,296.66,1.24,87.86,81.05,214.65,257.09,226.86,237.84,273.68,171.23,57.87,230.87,19.10,253.26,81.46,82.30,141.61,108.56,204.64,134.30,129.84,33.70,224.60,26.31,275.86,208.18,63.43,298.84,144.88,10.99,208.54,4.46,176.83, ,81.46,113.93,132.47,234.45,129.92,215.48, ,113.02,215.58,75.44, ,220.32,269.97,75.07,151.12,240.08,104.84,266.76,222.29,124.09,288.40, , ,282.22,16.90,160.18,294.05,152.33,241.12,61.03,185.55,141.40,176.28,147.16,165.02,242.26,226.20,243.12,134.54,233.54,143.96,44.79,168.31,52.38,19.42,125.61, ,267.01,201.82,177.75,78.27,287.12,173.39,10.51,52.32,95.87,79.82, ,217.82,145.67,167.32,83.60,70.05,259.93,10.97,278.38,251.46,42.96,98.97,29.36,13.05,57.17,45.03,165.36
4.65, ,171.97,16.66,246.17,124.82, ,298.01,192.61,250.77, , ,196.31,11.04,262.89,126.17,14.97,270.77,2.57,191.59,220.48,124.86,181.30,183.07,196.86,128.78,11.26, ,207.56, ,116.92, ,243.09,291.58,36.35,237.19,202.79,160.66,240.74,140.57,90.02,9.27,148.66,176.96,54.26,40.53,201.45,239.27,163.76,79.16,242.05,140.29,132.24,104.11,207.90, ,297.92,194.67, ,51.57,58.96,125.12,68.48,197.67,171.10,238.61,261.55,266.62, ,98.85,129.61,10.68,57.23,38.84,172.23,3.46,211.01,37.94,177.77,208.16,235.61,124.13,231.14,152.49,30.28,135.76,123.17,234.18,155.05,132.29,125.07,240.11,245.03,46.57,42.57,8.32,224.33,164.04,137.23,188.45,267.87,27.41,170.65,271.44,234.61,52.99, ,293.11,184.50,142.33,13.73,15.61,21.39,155.94,285.28,65.30,140.34,180.20,260.17,202.81,76.40,38.86,246.01,231.83
3.13,137.81,171.22,8.76,1.48,69.46,37.17,139.55,224.28,108.88,161.53,170.32,18.23,74.01,241.15,94.74,80.00,261.14,85.98,143.83, , ,74.22,48.06,49.29,233.52,156.78,169.86,32.99,236.28, , ,112.84,121.71,179.62, ,265.60,287.89,187.36,127.28,249.24,108.43,274.57, ,69.63,105.45,24.55,209.61,219.15,123.93,215.28,123.70,269.15,47.23, , ,149.48,197.65,231.39, ,197.99,234.73,3.02,58.99,246.95,263.88,59.79,184.68,128.44,32.49,291.26,68.71,204.17,137.32,123.06,259.80,154.11, ,157.13,114.49,178.82, ,148.22,170.48,173.49, ,205.97,268.18,72.53,164.84,45.18,87.26,219.34,155.84,163.80,45.74,214.83, ,80.58,138.79,105.68,249.99,218.25,50.79,26.34,43.75, ,3.29,5.55,186.11,36.49,174.35,28.21,6.79,169.76,195.65,185.26,70.81,126.17,18.66,50.95,48.84,281.14,119.29
274.76,148.08,55.31,93.47,111.62,140.38,179.84,102.20,243.94,32.97,197.62,75.21,28.94,290.06,176.18,296.78,114.74,162.18,167.29,253.57,55.92,260.29,129.97,0.86,235.49,144.03,85.45,81.68, ,71.74,219.47,121.26,295.83,232.58,133.41,119.45,244.15,72.60,43.38,180.77,70.58,261.33, ,180.57,114.43,57.11,143.32,60.16,234.02,146.30,159.69,219.36,278.68,44.61,176.14,39.36,250.28,254.76,253.98, ,68.41,196.46, ,134.66,116.21,93.76, ,253.45,87.95,275.72,270.07,96.85,173.67,100.05,45.04,81.60,93.37,239.55,157.34,124.49,258.26,18.58,61.76,217.81,197.49, ,167.56,167.26,201.52,117.38,2.59,110.74,164.78,122.51,118.09,279.10,222.82,61.49, ,33.52, ,231.01, ,98.57,21.40,184.31,233.29,281.53,24.19,169.47,287.00,103.02,3.18,174.38,207.42,109.47,79.38, ,34.32,270.53,68.74,201.43,19.71,29.22
139.06,193.88,180.71,227.02, ,72.95,96.57,24.61,221.31,99.24,138.31,63.79,215.33,56.85, ,171.72,194.34,185.95,134.78,6.17,198.93,134.76,23.87,230.19,36.44,29.16, ,175.75,27.91,43.72,54.09,256.48,107.99, , ,102.05,202.37,197.87,298.61,153.54,33.64,150.18,112.62,240.30,173.39,79.44,52.97,130.75,179.85,276.72,134.95,111.07,242.64,166.99,112.38,54.99, ,205.18,216.61,154.14, ,122.35,275.56,117.94,184.78,45.06,109.92,240.28,217.32,229.93, ,42.31,179.17,208.84,102.16,269.41,30.43,78.65, ,253.97,109.73,130.57,0.26, ,240.54,252.11, ,198.93, ,236.05,178.71,140.58,224.96,39.34,135.55,241.07,226.11,44.30, ,244.38,106.67,94.83,207.92,27.29, ,250.66, ,129.37,151.21, ,4.13,48.96,67.14,295.75,46.26,139.59,284.43,67.53,298.39,99.85,92.48,142.17,249.59,172.50
4.00,142.21,208.12,147.82,181.19,268.52,183.62,188.32,11.67, ,10.07,159.83,113.52,125.06,16.12,29.16, ,199.81,289.99,132.91,83.20,281.38,241.56,159.82,33.05,85.74,181.56, ,164.45, ,289.51,35.51,106.13,249.21,76.79,113.86,77.01,223.81,248.77,223.39,295.25,280.10,49.48, ,2.35, ,21.75,185.04,136.21, ,122.15,216.84,59.70,10.79,47.21, ,50.87, ,204.13,238.60,263.89,289.35,179.82,190.41,78.60,140.81,14.87,19.14,11.82,55.10,248.41,216.49,153.18,243.99,113.60, ,77.48, ,286.18,105.08, , ,126.54,11.33,68.68,73.11,109.31,103.10,230.52,250.56,255.77,141.01,77.14,146.85, ,133.03,184.36,82.80,136.15,79.38,257.19,50.66,219.16,140.78,109.40, ,193.10, ,34.10,199.13,32.36,228.86,174.64,175.01,181.26,145.95,288.72,70.49,140.81,218.26,266.52,141.96,220.75,15.95
143.62,104.43,271.81,41.37,146.51,103.89,227.54,59.40,131.94,69.15,246.73,85.77,87.68,279.98,179.93,266.17,232.00,193.62, , ,67.41,34.15,199.08,14.21,165.75,206.13,20.42, ,106.20,263.94,202.63,234.98,292.61,102.28,298.02,135.07,65.61,205.12,136.64,108.61,93.16,1.25,275.19,204.32,76.76,136.43,194.69,149.67,175.82, , ,250.14,44.81,92.49,110.15,177.34,24.25,173.52,298.55,179.61, ,256.37,66.53,265.82,85.43, ,37.38,187.60,27.93,3.27,182.33,49.56,32.17,30.16, , ,54.41, ,284.50,2.71,171.05,188.96,121.65,293.86,90.32,22.58,284.65,205.05,192.57,130.24, ,35.94,23.58,44.60,74.84,257.87,150.94,14.83,48.06,101.28,7.87,65.28, ,208.29,165.38,200.35,67.23,31.56,218.79,177.52,196.75,131.83,8.35,37.44,106.30,217.05,262.87,214.28,67.01,229.10,223.42,228.01,24.67,123.56
 ,1.08,278.22,249.24,166.84,38.28,113.77,199.66, , ,177.05,266.38,178.72,223.04,126.78,32.84,37.26,167.83,93.71,196.83,146.88,50.44,46.29,178.43,126.99,145.31,84.19,3.66,10.46,271.08,140.40,223.59,280.21,215.99,237.46,116.89,176.50,269.50,31.54,168.73,282.51, ,66.70,166.22,136.18, , ,233.32, ,110.97,288.43, ,108.25, ,92.07,168.12,251.30,192.45,0.66,4.45, ,279.23,275.09,93.26,54.89,251.93,290.91,245.01,162.22,45.64,145.33,215.52,96.13,162.78,137.73,187.96,39.06,28.11,242.50,14.38,233.19,172.82,260.21,162.61,171.09,169.83,53.08,286.76,222.42,32.71,269.16,56.72,87.86,22.38,206.20,27.74, ,200.56,263.28,226.10,189.49,255.55, ,40.90,36.63,42.22,23.46, ,80.18,77.86,41.99,71.22,135.96, ,36.53,45.09,200.20, ,34.55,150.34,127.24,258.60,85.24,114.02
