Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115,Col116,Col117,Col118,Col119,Col120,Col121,Col122,Col123,Col124,Col125,Col126,Col127,Col128,Col129,Col130,Col131,Col132,Col133,Col134,Col135,Col136,Col137,Col138,Col139,Col140,Col141,Col142,Col143,Col144
60.85,228.79,100.51,120.72,196.87,32.13,225.34,256.02,89.48,215.84,163.08,244.36,210.96,293.17,12.18,202.35, , ,278.94,124.07, , ,181.13,210.34,263.65,98.04,68.14,123.97, ,68.33,0.50,122.17,77.46,196.87,110.77,129.44,152.08,49.36,110.22,83.35,239.17, ,292.30,28.61,249.06,184.60,118.65,200.22,27.34, ,177.84,38.04,33.03,236.37,63.13, , ,263.28,96.18,289.37,6.61,63.08,290.24,243.41,41.35,267.45,66.60,286.00,152.57, ,88.94,57.87, ,204.35, ,0.54,145.74,83.42,177.65,241.62,151.59,60.14,149.18,274.75,154.43,147.04,74.13,274.86,71.50,36.36,290.54,247.12,151.46,87.67,238.72,47.89,211.01,298.46,276.45,54.66,52.59,4.33,137.67,258.72,113.36,79.49,31.97,240.19,57.14,212.53,57.14,86.16,68.44,28.34, ,83.00,110.42,180.11,122.37,195.86, ,190.94,76.57,137.63,106.35,44.61,190.63,279.30,69.90,61.41,92.64,181.23,229.65,148.54,288.30,62.65,280.51,130.88,176.51,73.84,163.29,1.73,220.20,30.71
 ,92.12,121.42, ,89.84,135.49, ,123.80,70.43,226.73,274.53,200.53,57.65,106.33,185.11,96.29,190.96,194.92,174.71,194.43, ,35.42,44.56,103.56,113.64,217.52,221.73,38.20,258.98,271.11, ,131.36,272.84,17.76,5.39, ,199.82,290.29,16.52,278.45,25.64,67.29,229.76,144.49,153.80,189.53, ,296.22,169.94,278.58,136.82, ,20.93,116.93,119.04,46.06,253.53,189.58,14.86, ,159.35,163.66,276.82,201.39,244.83,242.10,259.03,207.39,99.85,156.14,210.22,157.13,243.12,197.29,243.70,273.81,103.91,65.88,126.03,53.77,38.60,294.26,74.80,36.84,292.83,285.73,182.57,210.75,71.70, ,15.39,63.45,228.57,184.33,26.94,63.07,190.21,92.06,133.75,224.69,286.54, ,189.59,136.99, ,208.68,215.58,33.05,42.53,179.96,270.92,78.47,4.70,92.93,156.52,90.47,235.08,198.88,266.60,66.20,25.05,275.34,198.96,219.68,270.01,168.34,6.53,274.92,215.49, , ,294.52,153.22,275.47,158.81,251.21,9.02, ,284.36,98.84,136.59,262.76,208.67,242.75
178.60,70.96,61.96,240.97,296.19,235.89,29.38,299.50,186.98,154.26,192.67,164.09,293.43,265.48,30.53,57.56, ,128.52,224.18,96.55,267.68,120.48,296.50, ,250.88,291.22,56.76,58.24,213.15,47.70,253.76,86.87,287.36,139.85,173.26,239.50,79.01,178.33,203.12,110.42,62.19, ,118.96,17.38,198.69,87.51,22.81,164.19,153.11, ,296.05,285.32,44.37,142.17,159.30,99.48,199.28,71.37,280.63,175.81,255.59,107.95,267.67,197.09,126.80,175.79,296.88,58.40,225.45,263.96,245.85,54.48,225.11,3.56,182.75,226.18,124.22,171.24,7.82,93.70,78.69,257.48,130.61,116.82,216.45,140.81,144.21,7.44,21.14,275.05,190.36,42.23,235.36,106.47,281.81,77.80,169.67,136.07,51.16,56.34,33.66,129.91,92.45,247.18,148.35,17.47,123.46,53.28,273.17,1.99,59.92,15.48,115.08,229.88, ,286.22,138.11,263.76,275.82,263.16,249.45,106.88,8.86,41.44,139.76,69.67,261.12,110.22,264.54,120.59,66.22, ,204.33,228.37,266.01,183.46,278.93,162.30,77.71,8.53,168.63,215.05,170.84,73.60
29.05,182.15,101.59,124.44, ,52.81,245.16,109.68,61.23,162.88,256.25,36.85,60.39,16.69, ,81.21,178.98,132.73,270.08,50.08,240.25,147.34,274.40,276.15, ,154.68,19.18,29.62,212.57,2.61,113.78, ,211.14,120.73,60.13,278.20,185.34,139.44,84.91, ,61.06,253.17, ,272.35,256.30, ,46.31,168.52,151.03,71.23, ,115.11,90.53,20.38,11.76,8.55,273.67, ,62.49,73.47,196.37,245.47,39.41,255.74,151.88,86.92,256.81,38.22,177.17,187.37,143.29,161.60,20.87, ,83.35,171.16,252.85,17.99,10.72,133.34, ,240.11,84.76,92.21,63.91,254.51,122.42,298.48, ,19.34,135.46, ,6.62,125.80,193.21, ,202.98,207.31,76.84,149.38,5.09,37.68,226.87,96.89,287.44,62.44,197.38,109.48,204.51,196.13,177.91,171.11,36.26,145.51, ,294.90,296.39,124.55,194.13,67.75,100.94,281.24,46.04,217.20,83.64,12.51,79.81,137.20, ,215.63,61.40,1.10,203.32,272.83,162.49,241.92, ,90.58,295.01,241.65,253.00,114.11,291.38,177.55
54.62,44.22,187.26,61.93,154.47,8.36, ,94.70,274.07,61.16,276.98,278.25, ,3.54,116.29,197.24,123.51,119.69,12.69,118.88,42.48,104.92,2.00,145.54,271.77,33.74,104.50,286.62,82.30, , ,285.08,192.43,146.10,276.31,19.07,233.41,68.54,112.40,36.02,43.12,85.46,16.16,8.37,183.66,292.93,289.26,74.91,86.59,193.81,79.80,158.09,274.44,51.53,297.17,44.77,95.35,117.15,20.19,114.29,216.19,84.52,85.22,87.14,80.45,234.72, ,92.81,168.27,224.99,16.61,299.88,107.90, , , ,299.57,54.14,140.91,121.22,298.09,97.95,189.31, ,83.14, ,251.41,37.24,161.54,206.39,157.68,92.49,186.79,110.78,7.82,79.58,177.83,37.40,156.20,8.44,9.85,207.23,278.85,167.78,294.26,58.82,110.67,229.04,243.37,238.39,291.51,80.23,95.65, ,251.85,153.56,54.18,254.07,266.33,183.23,192.80,165.53,68.08,273.78,260.20, ,211.39, ,291.62,117.56,19.56,153.57,116.24,160.60,223.20,268.85,233.64, , ,206.40,116.01,197.45,193.78,287.60
223.30,73.33,88.46,110.28,266.01,149.79,296.83,253.54,179.41,127.33,286.35,75.15,213.91, ,107.68,166.18,97.30,79.90,233.86, ,175.90, ,25.68,171.79,218.96,278.08,264.81,92.49,296.48,212.45,73.42,143.07,26.70,85.00,78.53,279.40,194.76,201.93,83.64,19.11,211.19,108.75,218.51,174.54,96.09,184.07,107.11,109.11,267.51,240.41,212.96,73.02,38.02,28.16,48.66,124.26, ,233.01, ,134.25,177.96,97.38,99.84,89.17, ,56.68,278.71,16.02,175.74,236.54,151.90,199.35,182.46,243.62,295.06, ,5.46,180.04,146.59,7.32,188.84,292.44,24.32,7.91,270.91,159.37,283.55,20.95,100.03,126.34,175.22,165.21,117.50,283.51,25.14,199.85,36.45,205.87,287.46,283.61, ,142.98,28.99,100.93,160.58,38.05,156.30,241.28,188.49,20.50,11.67,52.42,47.78,131.51, ,45.29, ,90.73,270.52,295.71,31.42,52.53,232.37,140.46,245.82, ,266.32,171.85,233.94,25.44,229.00,110.83,226.17,65.02,271.90,157.03,216.16, ,285.64,4.72,119.34,155.05,216.86,151.37
270.52,219.94,177.87,260.01,280.10,217.19,233.28,298.46,18.09,72.51,257.47,129.83,27.77,56.34,21.47, ,291.99,59.08,34.44,101.17,93.13,103.79,295.84,233.01,223.81,44.98,202.26,57.37,149.99, ,94.62,243.12, ,99.69,196.89,105.86,20.74,60.61,133.53,30.25,28.92,11.33,181.60,196.11,192.67,281.24,140.71,171.20,100.69,67.30,105.02,295.64, ,56.25, ,112.70, ,141.61,283.54,116.19,111.62,89.81,36.41,298.44,189.08, ,159.97,179.64,13.36, , ,231.53,291.17, ,263.38,256.14,101.35, ,212.97,233.87,163.90,69.13,140.84,127.35,282.23,265.80,182.27,81.10,97.57,158.01,35.65,75.26,145.19,126.65,275.09,128.85,12.28,84.27,40.01, ,22.24,119.75,100.88,98.93,273.86,72.69,206.85,168.24,261.73,16.08,290.92,148.75,88.89,214.19,86.74,95.96,44.42,126.82,92.00,59.97,96.96,158.85,249.20, ,210.93,209.33,33.84,79.57,74.82,77.94,213.04,112.80, ,28.51,93.47,74.60,186.38,286.11,175.37,72.31,146.24,277.94,149.07,156.64
38.70,90.77,195.99,168.33,242.69,66.87,17.35,189.61, ,175.73,188.40,21.26,257.28,234.96,285.56,190.99, , ,89.16,69.93,161.40,26.37,54.81,75.59,252.15,209.31,228.26,238.91,54.73,86.00, ,71.57,121.53,126.06,159.12,65.40,280.54,269.16,108.17,114.37,283.85,213.76,21.93,50.63,66.20,57.45, ,129.02,298.90,70.48,58.09,59.77,170.15,270.05,221.29,23.30,285.59, , ,138.91,147.95,217.18, ,273.06,296.82,271.03,287.96, ,177.57,254.76, ,224.81,59.59,279.95,212.15,124.83,235.83,157.41,192.99,213.98, ,210.80,195.36,71.49,60.47,185.93,296.78,240.04,83.81,233.39, ,30.31,88.21,169.79,12.32,197.81, ,122.13,12.35,243.71,178.24,32.90,19.42,88.39,283.12,126.06,241.35,246.82,293.01,5.11,225.29,136.43,296.70,288.71,276.05,92.89,236.60,218.46,155.48,215.47,179.05,55.11,246.33,255.72,214.90,177.97,28.72,291.79,272.96,34.47,212.91,103.30,253.16,105.52,28.61,247.24,62.52,28.06,4.28, ,219.18,126.16,273.33,51.16
 ,31.66,62.54,160.60,94.07,187.59, ,216.19,169.63,283.10, ,291.96,135.70,95.44,66.32,53.65,205.98,20.41,85.64,182.20,248.78,59.99,175.86, ,96.44, ,79.54,28.33,200.26,11.65,244.35,150.52, ,56.50,5.26,136.05,176.33,36.98,142.28,28.47,225.91,276.69,204.45,130.65,200.95, , ,239.03,47.17,50.42,287.45,97.80,143.88,205.80,126.74,54.20,172.75,280.12,82.43,150.14,160.53,207.77,247.75,213.70,83.84,98.58,19.80, ,163.68,100.60,297.24,98.73,21.43, ,170.88,17.14,74.36,72.11,25.80,128.92,14.77,203.63,284.06,9.73,87.11, ,131.64,128.13,29.92,9.22,20.44,179.63,244.85, ,226.97,133.44,22.61,268.66,261.56, ,271.29,236.77, ,68.41,239.17,58.90,8.00,109.18,101.01,123.34,264.22,241.41,106.21,245.86,190.25,27.59,178.71,276.69,270.20,59.21,43.89,298.11,39.49,230.37,257.93,298.81,104.02,19.81,204.23,285.11,173.09,134.41,171.86,82.02,156.21,51.44,259.33,251.98,156.84,139.33,236.06,36.92,78.35,250.32
22.40,77.08,248.12,247.29,22.59,262.05,170.55,78.90,63.04,128.70,213.23,34.65,106.16,189.39,128.30,167.11,75.14, , ,155.68,143.24,22.80,57.08,118.78,23.22,166.86,101.69,119.95,229.39,207.91,110.64,258.49,186.90,221.93, ,77.61,200.13, ,5.42,142.71,148.93,6.02,17.86,95.89,244.06,63.93,144.06,188.17,152.32, ,74.25,193.05,234.73,107.74,98.60,26.81, ,192.75,285.42,36.53,48.42,106.58,132.55,286.92,53.18,95.79,213.49,82.40,38.68,173.08,274.17,249.59,263.40,125.79,52.94,30.13,142.91,213.72,87.36,296.19, ,91.98,253.36,112.29,234.61,191.79,262.03,106.98,148.97,284.79,2.25,127.93,290.03,17.33,52.00,261.69,257.84,222.43,249.60,229.91,22.57,41.60,7.27,143.61,97.89,254.03,275.52,203.76,46.60,231.04,139.06,291.14,246.40, ,196.00,238.03,270.85,121.82,66.99,99.06,68.29,177.25, ,259.21,168.53,293.30,104.40,292.31,229.26,9.10, ,257.38,214.93,235.13,183.68,7.16,225.35,210.21,243.89,61.81,281.73, ,81.31,141.75
267.56,12.33,8.39,234.04,61.98,118.92,45.95,105.89,46.40,238.90,125.23,210.81,33.83,150.71,150.45,188.77,63.47,94.67,48.15,255.65,190.98,208.87,195.62, ,242.02,204.52,21.34,1.84,290.45,13.38,130.72,294.37,69.30,43.40, ,72.12,53.75,171.38,200.02,277.38,9.03,70.16,194.82,101.88,17.23,70.86,212.87,117.20,146.00,205.00, ,277.11,10.03,255.35,140.23,250.02,31.39,76.03, ,102.81,75.81,15.47, , ,223.37,89.93,72.74,56.52,272.04,39.05,95.85,52.48,261.72,149.59,134.38,103.56,214.34,57.23,26.05,158.14,60.18,18.78,242.99,161.94,215.79,127.27,212.68,129.84,238.10,259.63,260.45,9.67,242.56,104.60,67.01,218.01, , ,260.11,12.09, ,227.88,196.09,235.73,69.35,13.95,69.76,9.23,96.10,75.50,288.62,230.01,262.11,162.16,17.31, ,139.36,138.87,280.87,98.13,147.73,70.66, ,157.09,110.96,89.77, ,78.39,46.20,192.67,191.91,120.70,2.57,292.63,122.47,219.82,30.21,128.86,264.07,257.96,217.83,259.58,27.33,34.84
 ,227.51, ,19.08,167.49,257.68,163.08, ,82.90,163.83, ,264.69,236.49,284.34,133.80,258.61,281.89,234.65, ,111.58, ,109.20,261.69,36.86, ,170.48,147.78, ,277.40,172.66,221.65,68.20, ,26.81,82.81,151.23,241.22,141.67,72.00,142.96,55.27,285.91,175.42,260.05,111.09,106.21,180.70,93.18,64.11,152.72,140.25,279.34,266.75,262.74,139.42,177.63,73.43,120.44,297.24,182.40, , ,133.31,251.81,156.38,46.48,162.83,13.05, ,279.79,230.94,102.61,196.17,110.07,117.73,56.95,241.32,237.76,298.59,181.74,14.38,271.56,60.50,36.53,126.49,165.85,34.86,94.07,265.76,290.74,263.07,281.71,212.96,134.33,77.47,136.63, ,108.19,274.22,151.86,92.97,42.75,203.04,244.48, , ,124.80,111.69,42.17,85.45, ,297.00, ,133.64,80.21,246.29,208.31, ,1.28,274.07, ,285.28,3.42,244.80,22.70,0.70,72.58,26.52,83.15,89.47,196.60,158.62,224.10,241.04,68.22,129.49,76.73,16.08,77.01,208.37,17.36,164.59, ,191.11
78.38,102.39,153.34,153.80, ,220.73,51.59,144.64,208.85,295.85,1.51,185.80,172.58,118.97,293.10,228.27,192.58, ,187.76,80.49,34.58,262.28, ,251.22,209.32, ,205.18,39.36,270.80,150.62,68.22,167.06,116.05,74.99,281.51, ,62.00,73.99,266.58,66.89,162.33,77.88,181.39,239.54, , , ,7.63,197.83,139.43,47.78,14.94,177.17,91.29,128.35,148.05,196.84,36.53,143.73, ,6.61,213.88,65.05,147.91,121.76,161.49,70.38,150.58,253.07,190.97, ,20.91,207.49,48.45,90.81,180.72,198.79, , ,122.02,186.97,104.84,5.57,279.95,91.06,34.55,270.59,29.29,151.69,209.26,180.79,92.33,145.33,118.49,30.18,187.56,84.60,126.73,232.87,171.65,186.31,19.93,75.29,148.40,286.00,127.12,57.73,228.31,210.57,107.55,287.32,157.91,287.51,162.08,91.32,244.31,239.93,134.53,13.47,242.20,40.60, ,98.33,94.57,199.34, ,140.09,104.06,200.60,282.64,11.95,96.41,51.59,220.51,51.56,169.05,233.44,63.09,7.98,194.27,251.21,118.33,164.31,89.31
