Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44
70.44,196.11,197.27,169.89,218.28,195.22,219.29,229.72,176.48, , ,36.36,169.45,153.29,5.70,241.18,281.76,156.33,263.59,51.84,31.76,165.36, ,84.65,224.31,218.83,105.75,270.01,22.61,204.14,228.88,260.41,175.36,31.07,235.62,105.06,116.42,234.46,69.77,85.75,199.83, ,5.58,197.75
180.35,260.57,49.81,159.99,29.53, ,82.75, ,187.81,156.69,71.20,32.75,285.83,290.14,254.57,148.15,52.14,273.26,228.09,166.88,247.61,220.10,279.16,243.49,124.50, ,195.70,162.70, ,189.53,276.51,271.86,296.42,153.17,36.72,292.75,169.33,100.01,143.57,77.19,246.13,187.23,97.38,238.77
173.58,59.52, ,31.38,268.82,127.91,92.10,231.25,78.49,95.71,15.17,245.11,121.01, ,197.08,176.93,27.55, ,87.07,236.55,175.35,173.83,143.88,212.43,261.62,246.74,158.85,232.20,64.13,250.76,250.29,230.51,222.48,50.30,181.63, ,56.98,1.83,36.12,272.67,229.37,57.99,122.45,218.90
84.02,177.17,222.41, ,8.55,49.12,4.15,45.71,287.73,133.97,274.06, ,85.32, ,143.31,106.68,236.70,247.22,210.27,131.22,152.92, ,202.04,281.11,244.34,120.52,247.23,156.35,189.12, ,173.36,97.85, ,34.55,195.40,223.39,74.59, ,214.37,35.18,163.84,57.34, ,239.63
156.97,273.29,37.65,219.44,151.19,70.79,212.60,129.10,246.41, ,79.54,224.49,231.06,282.69,65.43,228.03,128.13,263.05,61.65,93.66,167.57,255.06,205.74, ,41.74,86.11,247.20,8.00,135.23,44.60, ,15.77,151.52,75.65,18.12, ,111.78,298.53,276.63, ,197.88,52.41,20.37,12.73
143.91,59.77,119.25,102.01,235.04,278.92,68.11,148.00,108.82,197.59,146.20, ,44.08,276.82, ,112.74,128.61,196.99,196.90,71.77,151.26,252.45, ,20.55,165.49,236.04,117.20,181.26,74.20,250.33,34.95,163.76,283.00,54.29, ,70.53, ,221.79,268.67,267.44,179.18,208.83,167.99,265.01
92.67,274.59,90.23,197.39,166.83,74.39,51.76,291.66,107.92,244.85,265.41,65.80,45.23,259.82,0.68,262.47,264.04,136.34,246.59,8.26,214.11,34.55,174.35,260.77,239.65,58.85,117.91,49.67,99.29,76.35,234.32,193.31,275.87,252.64,63.37, ,277.48,70.44,217.89,204.12,36.30,258.99,227.65,291.03
182.93,167.13,234.84,176.21,181.82,85.85,269.23,140.18,90.28, ,8.17,94.18,43.56,167.31,131.57,275.96,133.89,89.47,211.33, ,44.54,198.86,281.53,177.13,114.80,32.33,275.58,99.05,83.16,51.21,134.54,44.05,136.06,146.36,231.86,245.86,19.03,106.78,12.80,122.28, ,154.62,226.90,231.53
277.38,162.01,69.05,89.52,0.24,272.30,41.92,198.95,133.13,125.09,56.46,255.97,60.32,16.55,4.80,98.01,182.59,27.65,124.19,77.58,227.23,77.52, ,276.46,297.10,112.56,76.58,86.77, ,197.36,269.10,225.29,184.34, ,212.00,151.32,137.08,256.41,53.26, ,29.72,48.03, ,178.82
247.15,87.08,162.94,198.13,289.58,249.45,292.37,156.95,190.61,119.43,180.99,72.58,202.41,279.96,11.19,78.68,124.36,187.37, ,85.49,219.63,1.85,43.10,174.03, ,168.06, ,49.06,273.51, ,259.12,33.58,119.72,228.64,278.03,231.39,201.50,127.72,285.65, ,148.95,182.13,186.89,103.79
67.26,216.94, ,177.88,6.72,294.43,241.69,51.36,180.54, ,8.26,142.53,200.44,171.89,194.33, ,298.12,38.18, ,186.77,89.55,118.55,63.37,28.84,105.27,216.37,58.80,263.24,77.69,192.80,246.24,8.36,85.25, ,160.67,142.12, ,211.06,91.45,144.96,10.25,22.21, ,81.01
271.61, ,135.29,178.54,262.28,298.70, ,254.05,104.74,180.71,7.22,200.49,116.72,291.90,42.99,75.34,69.79, ,298.74,281.48, ,243.76,262.48,254.16,199.49,12.69,167.93,51.96,1.55, ,293.45,132.20,10.98,281.76,62.55,240.18,157.79,287.79,166.43,176.13,178.58,95.65,102.96,10.74
117.11,260.59, ,92.79,126.05,4.31,111.54,124.16,142.61,143.36,194.55,240.71,1.02,73.16,278.70,270.54,5.83,110.67,265.02,138.94,252.45,275.05,128.06,219.56, ,62.92, ,185.37,299.39,151.70,146.18,261.27,280.48, ,91.15,231.70,222.44,247.06,297.82,193.74,230.61,224.37,199.66,178.90
245.65, , ,211.48,279.47,138.18,294.87,30.07,223.93,249.34,18.19,182.04,44.20,76.35,106.19,214.82,151.63, ,178.95,261.87,158.14, ,104.71,104.17,211.51, ,160.85, ,108.01,17.43, ,93.78,300.00,35.60,221.43,35.49,74.73,137.04,287.42,37.58,116.05,183.86,259.66,43.26
152.71,82.58,18.21,125.70,246.15,3.30,57.37,267.95,36.14,64.96,116.87,295.90,274.90,77.08,224.46,299.71,244.75,82.10,258.64,281.16,69.11,72.36,23.25,258.58,145.30, , ,126.08, ,100.99,272.18,183.07,35.26,37.28,42.35,76.18,281.40,19.27, ,145.76,93.63, ,238.93,131.44
253.96,96.20,168.90,90.49, ,125.75,198.17,54.57,19.46, ,0.43,145.67,169.76,147.38,183.29,101.97,287.42,225.02,110.88,152.00,145.88,27.12,211.07,212.67,289.87,289.29,241.41,44.05,269.74,85.27,277.75,167.76,243.18,48.79,186.69,255.43, ,282.55,124.75,103.34,242.83,223.51,262.15,277.17
28.21,158.59,146.36,49.00,289.01,160.32, ,61.11,61.05, ,251.73, ,55.07,176.83,257.27,37.97,87.13,43.95,269.89,102.10,274.19,4.74,73.95,144.45,46.32,109.84,157.23,261.37,243.13, ,200.40,26.08,35.30,260.09,107.27,93.14,159.48,127.74,80.71, ,215.77,25.41,249.23,234.98
94.95,48.81,78.52,109.15,32.28,254.75, ,140.03,176.79,123.24,274.96,180.08,119.72,120.28, ,2.92,261.78,258.41,180.93,7.58,31.59,236.60,63.19,126.37, ,125.88,171.71, ,51.78,26.57,15.99,204.90,252.19,116.78,177.27,247.53,287.79,224.71, ,287.90,91.82,81.96,170.46,18.55
5.45,103.88,230.25,64.08,227.96,65.95,108.03,86.08,51.45,217.58,30.65, ,122.47,272.59,243.49,58.72,231.72,124.67,203.22,154.97, ,85.72,166.95, ,253.04, ,18.24,9.30,9.69,171.36,172.52,26.22,270.25,30.49,171.69,146.44,276.35,0.53,217.17,255.82,120.52,232.61,246.66,187.64
141.83,39.07,270.53,113.13,112.31,183.99,265.00,256.14,29.27,3.43,124.15,145.60,101.70,83.43,20.12, ,161.95,43.78,0.60,289.42,221.38,125.37, ,155.81, ,185.07,42.83,242.33,277.10,103.79,270.43,75.43,156.85,271.58, ,272.19,103.10,231.07,38.93,34.19,297.97,79.81,116.42,58.48
188.42,222.30,215.92,19.17,231.30,129.02,70.23,141.63,14.77,109.48, ,143.67,207.12,28.24,33.68,81.75,127.98,74.50,243.16,90.89,80.25,229.61,117.66,53.81,45.58,100.47,35.67,47.71, ,75.95,195.08,47.81,143.50, ,215.22,270.72,118.81,53.54,263.16,79.24,162.19,143.49,224.10,206.79
121.94,47.77,263.27,135.80,206.78,132.31, ,103.03,47.87,181.64,117.16,175.53,215.03,277.63,224.46, ,196.27,152.67,66.71,7.32,126.48,113.36,36.10,61.82,90.29,45.84,32.99,62.12,13.71,144.75, ,1.53,183.20,128.56,46.96,134.55,70.98, ,29.77,105.25,248.94,7.41,82.12,93.47
207.52,206.71,298.59,53.81,76.84,103.04,81.02,38.62,118.52,93.32,172.02,239.87,94.11,115.74,287.68,20.47,16.39,247.47,120.82,289.45, ,92.49,116.37,140.35,258.55,240.19,99.64,46.71,232.86,36.34,281.67,129.56,261.93,124.34,177.55,266.35,160.97,176.93,198.87,124.20, ,64.39,44.55,10.97
136.01,1.48,286.64,74.66,208.95,287.85,8.94,152.20,274.44,261.07,109.91,75.99,223.26,231.59,43.52,232.95,247.53,124.62,181.45, ,90.40,85.52,39.61,128.46,173.43,84.82,149.40,201.20,286.43,48.32,85.10,187.18,238.41,89.25,3.05,270.26,19.20,69.70,254.77,182.55,237.65,253.42,30.54,203.78
196.20,271.20,242.98,245.93, ,35.18,283.03,24.24,42.90,146.18,34.78,284.26,281.99,116.40,282.17,272.83,167.23,270.34,167.91,94.46,108.69,103.28,153.34,168.19,207.53,297.95,58.71,105.30,233.84,109.75,192.73,215.15, ,185.48,175.42,2.94,122.88, ,214.59,155.52,182.15,97.15,5.37,162.30
196.56,32.37,12.14, ,227.29,96.40,193.54,126.96,196.54,29.06,164.44,80.07,197.11,44.37,148.49,239.50,96.79,291.53,47.78,191.99, ,288.39,95.23,214.81,156.74,20.77,29.09,161.35,232.84,20.69, ,220.92,112.12,285.19,120.81,20.27,8.05,1.19,17.18,10.70,118.13,29.66,204.44, 
180.76,65.23, ,218.19,257.83,140.07,133.95,276.00,273.68,76.17,79.94,236.26,102.25,265.99,253.81,197.30, ,195.53, ,203.81,74.99, ,215.05,162.23,80.66,149.61,92.62,144.65,60.75,288.23,201.28,68.95,17.44,122.91, ,75.54,161.29,278.42,65.58, ,241.51,68.25,228.46,215.61
46.85,8.41,91.50,155.21,281.41,243.96,85.62,179.85,268.56,180.81,95.96,209.94,127.65,128.60,139.06,129.23,20.57,220.99,47.32,272.50,248.85,133.05,23.73,236.86, ,117.68,139.23,60.35,209.23,5.30, ,49.50,63.51,232.20,182.13,60.69,8.25,71.10,44.01, ,280.87, ,98.55,36.70
297.88,89.35,218.69,214.02,149.25,38.27,262.02, ,22.71,69.22,146.13,76.26,64.72,28.06,155.68,298.88,263.47,125.15,130.98,213.91,29.08,137.44,153.46,171.49,132.88,208.42,151.24,219.96,41.82,178.14,213.61,233.30,89.30,176.97, ,90.88,267.36,156.90,135.77,249.37,47.62,220.36,41.33,246.59
246.88,135.42,108.23,77.68,101.74,162.28, ,253.16,41.77,198.37,71.24, , ,160.73,3.54,0.44, ,257.72,28.57,299.85,105.58,122.11,213.67,229.35,237.55,29.86,169.20,244.25,218.54,143.04,30.97,178.09,164.36,95.03,228.95,29.74,172.40,241.86,136.24,74.15,142.03,246.81,253.52,293.54
218.49,49.71,166.99,189.02,63.62,224.28, ,254.02,251.33,268.96,242.11,111.55,282.20,262.71,169.08,286.97,72.26,90.85,290.55,210.74, , ,246.18,273.71,101.94,6.07,262.44,211.07,264.09,289.56,186.70,80.56,199.79,297.23,174.53,9.29,9.67,280.06,166.40,156.06,178.81,39.24, ,250.32
74.41, ,1.20,63.46,203.96,234.56, ,109.09,263.18,198.63,174.42,221.14,10.55,7.00,228.72,283.00, , ,22.63,58.60,31.78,256.87,74.92, ,184.01, ,78.37,266.83, ,187.97,110.68,87.98,6.17,266.36,299.74,207.84,82.37,299.84,217.62,297.64, , ,122.68,260.02
122.70,168.45,293.79,88.11,262.48,18.01,279.49,252.61,285.82,148.07,257.69,280.52, ,224.30,264.05,97.01,202.86,200.83,3.61,1.63,142.44,103.40,75.40,23.89,106.97,110.80, ,176.50,271.89,297.46,281.91,205.88,280.49,215.12,219.31,195.65,237.51,108.10,66.96,32.69,36.23,140.49,108.10,202.02
34.85,188.86,277.10,31.05, ,246.16, ,41.24,234.45,38.82,287.55,271.82,135.47,111.79,136.91,292.95,299.88,238.40,44.56,283.49,173.09,21.78,223.68,71.95,41.77,200.69,216.55,49.55,180.55,27.99,81.23,56.39,48.74,269.87,210.29,168.92,247.28,108.07,253.71,29.10,290.78,24.79,102.29,259.35
