Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115,Col116,Col117,Col118,Col119,Col120,Col121,Col122,Col123,Col124,Col125,Col126,Col127,Col128,Col129,Col130,Col131,Col132,Col133,Col134,Col135,Col136
270.95,200.28,101.91,225.07,77.78,192.84,298.08, ,230.90,93.72,190.03,192.07,91.67,90.16,128.29,155.23,295.34,150.24,188.80,280.90,282.40,33.23,178.21, ,109.11,250.40,280.71,79.38, ,87.48,217.25,126.83,69.27,196.92,178.00,124.13,226.12,39.02,212.21,142.28,26.34,19.29,213.69, , ,140.61,2.95,296.28,130.35,251.95,285.05, ,109.18,39.11,27.87,127.93, ,196.82,73.73,185.09,250.22,50.65,258.63,148.70,183.37, ,135.33,5.50,119.30,254.13,30.40,156.89,227.09,55.15,71.37, ,58.78,261.73,12.30,163.02, ,46.40,195.71,146.35,147.00,15.89,124.07, ,261.10,276.56,7.30,166.53,52.48,271.94,5.18,163.95,188.64,58.42,146.27,67.67,200.96,103.18,216.71,47.81,172.73,273.21,221.48,234.11,55.34,135.81,126.34,5.65,44.41,257.01,57.33, ,258.30,117.83,278.84,243.89,110.70,129.86,189.74,224.83,24.94,299.51,257.22,91.10,43.67,229.21,212.51,249.00,16.02, ,294.86, 
151.51,279.05,106.21,250.98, ,275.93,32.00,119.14,152.49, , ,20.55,220.17,258.29,290.47,157.86,29.90,136.84,147.69,251.60, ,282.64,45.13,80.97,263.71,259.00,187.18,75.60,186.83,154.76,40.52,135.65,209.78,6.77, ,217.44,133.97,201.76,160.75,297.83,228.33,14.24,292.04,127.69,138.73,207.44,200.66,238.48,69.87,235.48,178.93,274.45, ,202.78,120.13,200.05,57.61,152.24,173.56,282.37,172.44,196.48,248.27,43.08,268.15, ,206.03,111.05,160.13,221.43,73.66,256.73,112.01,93.34,180.93,54.40,285.83,191.79,67.05,196.60,163.80,109.04, , ,45.35,25.22,149.25,221.87,238.08,42.69,266.95,271.14,270.30,158.19,150.80, ,263.09,114.82,166.15,12.68,199.66,60.83,60.07,188.73,243.38,73.46,127.68,28.09,203.42,204.28,152.67,96.05,181.59,178.32,252.44,217.89,243.48,57.88,220.30,64.60,215.14,158.45,252.43,122.55,83.70,79.76,210.23,254.02, ,132.34,120.80,147.88,220.45,121.74,191.69, 
137.11,276.68,144.99,203.74,10.57,264.10,218.67, , ,248.47,225.15,22.63,296.31,121.38,35.89,130.58,153.44,18.92,13.02,195.64,175.59,199.68, ,51.46, ,190.12,277.99,230.57,18.15,195.95,91.20,229.75,286.31,267.82,154.42,23.86,168.21,233.84,27.40,111.93,238.59,137.24,85.09,65.17, ,6.57,150.23,26.30,109.10,121.98,60.57,266.97,52.06,28.45,224.06,129.25,5.24,271.58,174.44,292.61,242.37,172.45,267.14,12.40,51.16,244.02,232.63,74.80,253.85,89.35,239.69,253.33,87.05,148.98,161.57,53.29,163.45,243.59,51.76,285.37,225.70,228.69,286.24,78.67, ,168.03,299.86,95.42,290.52,205.21,182.08,172.97,210.25,229.60,150.46,26.22,111.28,182.07,241.84,48.28,245.73,24.02,119.77, ,207.02,8.04,237.64,5.48,204.11,10.52,264.42, ,173.26,23.97, ,196.10,19.34,142.58,70.33,34.76,131.72,174.26,292.07,37.02,121.86,141.20,172.43,1.78,213.15,37.53, ,41.68, ,27.53,138.23,39.78
181.83,37.95,189.51,274.98,178.35,148.51,212.68, ,8.31,133.97,190.86,266.26,201.14,227.29,146.35,125.04,233.41,111.91,209.25,145.64,77.73, ,293.88,52.51,261.79,141.29,172.95,116.37,136.90,20.54,143.71,49.24,271.19, ,45.04,216.26, ,293.99,287.57,184.97,295.20,22.17,296.87,72.24,288.38,110.60,133.34,46.71,159.28,70.28,62.95,92.41,135.22,185.12, ,70.09,69.47,185.05, ,80.18,26.96,187.33,77.48,91.87,203.25,142.09,127.30, ,219.72,275.97,43.80,80.39,261.65, ,146.71,244.45,34.01,295.44,108.96,242.01,197.10,151.98,118.79, ,259.53, ,235.50, ,14.87,207.13, ,27.67,163.92,98.11,99.54,208.46,182.90,151.24,168.22,269.83,215.75,132.29,281.92,60.77,174.78,112.89,112.34,73.13,67.04, , ,111.71,102.18,189.18, ,57.40,87.53,34.15,226.25,24.59, ,230.35,153.49,217.40,183.80,242.09,161.77, ,273.48,219.60,29.53,85.79,291.41,180.89,215.99,43.90
193.29,170.94,276.50,71.63,97.98,184.42,223.92,166.24,111.77,165.49,258.84,228.24,124.59,275.80,216.27, ,109.56,152.11,119.22,35.42,164.27,245.97,21.49,79.32, ,165.15,170.47,35.66,74.24,207.85,200.84,69.74,233.68,34.13,31.67, ,23.80,149.22,158.00,198.64, ,125.57,100.24,52.11,8.36,201.25,7.16, ,121.91,82.15,30.91,212.44,62.80,195.48,283.35,21.34, ,201.53,213.16,52.86, ,61.22,12.44,1.93,132.91,82.26,139.40,65.98,142.47,288.09,40.79,91.44,153.42,263.66,259.04,213.83, ,275.06,89.08, ,258.34,44.84,269.39,153.76,236.09,164.14, ,204.94,125.63,49.03,130.54,123.83, ,20.30, ,60.82,79.38,284.28,115.53,72.67,215.21,81.93,236.13,272.70,223.46, , ,187.44,52.23,41.45,68.41,15.06,135.52,280.04,190.93,258.02,62.92,279.50,260.31,161.89,86.55,274.66,56.49,149.49,192.00,281.24,230.66,117.96,270.84,159.79,194.53,224.77,55.30,23.19,288.46,18.24
 ,292.90,93.34,282.67,188.90,113.31,195.30, ,71.18,157.67, ,52.20,83.19, ,66.82,174.18,124.31,149.00,185.32,254.50,264.84,71.11,199.88,124.78,151.01,70.43,126.93,60.88,12.04,188.19,172.35, ,296.65,283.13,140.11,112.31,230.15,93.44, ,145.53,98.49,180.36,5.22,97.78, ,109.82,175.38,43.46, ,40.11,5.94,32.66,10.24,201.41,148.42,7.89,45.45,290.49,275.31,233.10,61.80,182.91,95.68,276.38,94.40,225.98,214.42,71.60,29.52,299.52,84.49,222.58, ,200.70,251.03,211.18, ,264.81, , ,135.68,52.93,201.27,200.02, ,177.88, ,96.75,285.51,163.24,272.13,108.79,183.41,134.30,189.60,46.42,80.92,0.20,144.12,292.42,48.96,222.03,264.92,150.44,200.00,158.51,246.07,95.25,43.43,214.26,28.67,140.48,142.77,243.44,42.14,31.04,199.77,41.05,271.85,115.12,205.17,43.99,240.93,280.71,68.80,217.39,155.64,207.06,198.55,285.31,86.36,31.79,269.42,150.83,264.32,113.12
239.57,20.72,296.35,164.86,196.40,162.62, ,69.67,38.67, ,279.36,52.11,292.67,83.98,262.80,192.23,81.68,223.30,53.89,213.17,12.36,245.45,132.90,87.93,94.79,226.37,25.97,56.34,28.95,222.40,59.47,132.37,67.62,64.66,275.81,31.07,27.45,298.04,262.79,151.24,28.69, ,54.65,60.43,77.04,68.02,146.78,81.20,250.26, ,71.77,30.41,100.86,79.37,218.20, ,69.43,213.55,103.84,195.14,113.82,251.59,221.01, ,2.21, ,139.08,86.51,169.28,52.63,268.73,145.33,36.38,110.64,61.81, ,256.95,31.95,30.36,150.15, ,152.36,293.00,53.90, ,223.18,295.84, ,147.36,248.48, ,59.13, ,273.61,229.16,83.76,82.73,8.45, ,160.81,268.80,180.38,185.02,118.61,232.09,117.74,196.72,150.05, ,109.16,293.90,32.92,233.61, ,170.70,284.57,260.61,61.59,173.37, ,291.98,288.24,182.43,85.03,138.11,296.83,218.28,120.00,257.20,290.05,224.31,20.12,245.30,76.00,48.42,87.50
87.31,228.72,63.80,228.29,19.35,149.17,215.85,188.84,22.79,208.60,163.59,261.51,103.77,140.24,60.13,192.60,3.48,117.19,135.06,269.18,270.60,92.05,87.53,59.49,159.79,57.43, ,18.94,0.57, ,152.76,200.24,264.03,166.67,270.99,126.69,156.15,58.53,283.73,229.09,256.39, ,13.82, ,32.76,208.67, ,61.43,117.25,169.83,273.45, ,275.18,232.14,175.03,79.53,136.73, ,93.11,213.28,209.74,139.69,30.06,71.25,134.72,198.27,209.46,255.60, ,33.34,278.23,124.23,67.13,66.38,54.06,182.40,73.61,0.69,33.84,299.10,64.33, ,68.88,195.31,298.49,57.83,20.44,256.28,33.33,144.58,271.29,184.84,82.06,132.97,222.47,9.01,126.90,71.39,293.68,220.27,8.91,124.22,244.30,107.56,297.73, ,269.02,164.92,42.66,234.28, ,296.85,23.80,258.20,19.54,61.88,244.05,217.91,100.14,148.77,139.84, ,119.92,120.44,216.82,38.38,215.67,147.95,38.18,235.46,202.60,225.61, ,97.92,229.49,40.29
290.09,138.70,272.81,231.91, ,181.69,155.14, ,293.28,186.02,59.66,198.28,51.41,132.93,62.37,299.30,52.54, , ,285.36,86.36,221.88,98.97, ,57.84,37.60, ,33.28,60.37,20.73,195.39,257.75, ,195.02, ,135.42,64.07,89.41,182.18,170.79,263.80,35.32,92.34,148.51,290.75, ,293.18,129.74,90.02,233.03,90.40,187.11,295.73,199.31,19.92,225.53, ,57.45,153.14,228.54,191.92, , ,212.47,298.97,54.64, ,24.41,60.10,280.42,49.25,110.57,36.10,162.44,299.47,243.33,17.23,147.30,291.87,83.56,12.83, ,7.29,191.80,112.30,85.90,89.45,14.09,156.94,44.23,17.20,122.75,282.32,274.90, ,39.56,153.22,173.53,159.49,292.46,186.98, ,291.66,209.82,202.49,251.60,287.15,94.29,112.98,123.83,46.01,221.00,26.26,19.05,59.26,196.18,122.17,176.36,84.17,101.52,174.51,193.16,231.59,185.84,266.58,73.17,237.07,162.13,259.14,18.44,151.10,81.77,218.13,133.87,48.80,132.51
98.26,221.66,233.38,247.96,115.96,212.55,15.31,16.36,255.86,292.85,249.43,80.23,32.75,169.86,149.50,4.87,28.03,277.61,34.02,161.37,246.71,203.01,148.59,236.46,254.17,35.83,173.68,174.87,230.45, ,20.23,133.81,102.63,8.18,44.02,96.54, ,270.22,286.68,117.61,174.49,112.91,167.58,49.34,16.22,180.91,202.36,217.84, ,153.38,114.09,186.62,173.66,136.47,198.15,191.45,31.49,138.17,137.01,138.43,121.67,64.25,256.81,61.68, ,43.41, ,204.05,119.05,123.24,164.12,224.42,267.64,191.09,91.29,234.26,169.55, ,47.88,41.71,190.49,233.64,27.52,78.31,226.86,238.95,173.06,162.58,125.84,118.56,294.47,137.83,258.45,203.64,266.75,220.23,209.32, ,236.84,160.44,227.51,291.49,42.43,28.26,275.52,88.47, ,66.75,72.92,82.18,56.60,61.70,199.52,225.66,272.50,15.73,163.27,184.57,171.97,118.84,212.86, ,280.99,289.79,122.04,154.01,270.41,62.87,227.65,147.08, ,231.80,166.86,257.19,217.32,297.57
123.05,92.22,191.43,35.88,263.38,117.27, ,145.40,141.51, ,288.58, ,220.39,1.73,19.45,232.78,50.74,271.65,61.17,152.60,53.63,165.89, ,130.45,78.54,64.91,102.78,61.38,273.88, , ,143.08,222.13,43.29,263.34,252.24, ,154.75,272.94,38.03,151.09,284.62,26.35,111.74,197.58,53.72,288.78,164.30,265.19,24.63, ,29.10,100.41,263.24,159.05,105.60,97.68, , ,52.24, ,78.25,271.51,147.42,71.17,185.84,48.00,59.46,46.68,30.97,96.80,288.51,220.72, ,52.45,152.66,42.38,182.94,241.20,116.16,99.16,58.34,116.32,284.37,196.70,16.70,0.18,14.67,52.54,146.85,45.79, ,88.17,92.61,210.40,173.08,219.77,141.25, ,291.26,43.44,32.43,214.12,191.95,57.29,60.87,49.49,203.66,194.83,51.78,83.27,124.82, ,66.22,236.84,298.68,167.37,98.33,100.75, , ,188.23,90.41,113.43,296.04,91.90, , ,252.18,168.46,88.91,125.77,58.60,91.65,11.09, 
111.84,272.92,209.16,231.79,150.30,152.42,176.63,240.55,258.80,114.33, ,150.90,203.85,87.77,141.88,282.17,79.42,118.33,15.42,207.14,177.45,118.24,224.35,140.33,59.75,154.73,51.69,290.06,86.73,127.57, ,109.74,143.76,277.13,89.78,107.93,274.34,173.83,80.00,14.44,34.54,275.13,276.79,136.95,67.48,59.90,279.12,154.90,243.99,23.67,228.92,89.37,287.26,77.37,237.99,187.66,16.90,119.41, ,256.37,211.02,285.92,150.27,62.02,99.55,296.82,122.97,222.69,115.69,103.60,123.88,70.61,212.30,215.83,76.94,132.01, ,117.93,193.61, , ,73.04, ,206.37,292.00,0.35,14.96, ,121.93,130.00,105.92,274.90,75.73,73.78,40.64,179.33,123.91,202.03,268.54,67.52,26.97,189.56,155.43,208.57,245.03,31.65,255.22,123.52,188.28,33.43,107.92,268.83,29.75,253.09,17.38, ,44.34,137.79,243.38,221.32,75.55,252.40,215.12, ,246.06,147.32,76.15,192.25,187.06, ,140.16,233.22,168.53,248.72,290.31,136.84
112.85,171.52,38.88,24.20,32.70,136.20,247.58,204.44,278.50,208.40,46.74,279.43,119.18,221.58,120.26,21.12,270.80,298.36,279.28,298.57,193.99,24.17,226.21,134.13,55.05,23.37, ,2.80,3.32,238.63, ,297.05,107.87,231.25,193.56,161.24, ,108.71,144.29,259.38,62.31,131.22,39.33,254.29,294.81, ,294.67,248.48,165.50,184.22, ,108.76,57.32,166.77,123.99,235.34,226.49,254.89,246.05,101.13, ,227.84,176.61,212.33,9.50,18.22,77.05,194.83,107.91,122.17,8.14,296.86, ,180.00,1.07,228.86,32.60,153.54,217.69,224.04,173.86,260.18,188.33,10.92,226.90,85.30,120.65,192.54,265.14,8.00,57.60,250.22,131.15,196.12, ,120.16,141.84,269.74,37.79,206.62,37.07,12.49,226.73,85.37,15.22,87.98,108.03,219.05,80.68,282.58,54.33,59.68,252.19,64.62,214.37,295.14,132.43,230.64,278.25,247.23,93.50,109.05,159.51, , ,287.08,246.79,180.42,232.36,135.69,278.18,109.13,240.41,236.60,36.12,265.90
 ,35.07,202.80,297.18, ,289.85,32.85,249.90,160.87,61.40,54.06,60.05,298.48,136.27,144.47,203.27,216.17,10.35,72.39,14.54, ,66.28,285.36,151.70,273.02,9.01,206.87,192.84,189.40,35.16,223.06,62.78,238.39,189.61,116.31,228.24,104.98,217.85,198.07,144.56,11.29,236.61,249.35,156.34, ,79.40,120.24,9.40,249.87,292.59,292.78,195.21,9.70,290.71,179.50,20.88,123.89, ,130.16, ,9.59,272.82,169.12,81.73,154.56,229.67,82.54, ,125.80,59.35, , ,239.07,279.68,150.70,149.70,149.54,290.45,108.17,234.44,85.84,160.76,52.05,162.86,237.76,90.61,153.97,298.49,235.65,89.81,155.20,67.21, ,57.66,183.04,4.51, ,126.88, ,178.93,90.79,32.05, ,29.16,200.10,26.48,5.81,222.10,55.80,165.74,46.97,13.71,240.32,256.35,252.95,246.13,275.07, ,54.53,108.46,102.57,14.44, ,130.73,2.93,149.72,17.20,104.49,5.42,233.86,112.00,146.05,234.06,87.13,175.64,121.82
92.17,178.04,99.85,190.91, ,40.63,212.49,75.95,256.94,175.94,91.08,62.52, ,174.72,20.99,151.67,225.76,25.62,200.03,125.99,108.07,188.07,261.57, ,93.61,108.28,159.09,44.98,284.09,172.28,286.95,254.72,297.55,293.71,216.06, ,232.34, ,193.91,66.88,1.89,229.02,179.86, ,224.84,24.79,232.64,215.55,108.23,178.33,94.91,167.52,93.48,246.71,293.77,271.03,100.77,229.95,11.37,251.64, ,276.43,11.05,80.37,238.18,70.16,276.47,57.16,55.50,150.80,230.67,81.69,99.75,178.16,174.59,81.05,291.00,160.87,128.37,207.73,289.41,5.11,79.15,237.59,293.91, , ,247.27,248.83,79.37,12.22, ,98.29,245.08,1.34,206.40,7.09,88.13,249.22,173.50,118.62,64.43,185.51,150.93,158.23,108.74,289.70,252.51,105.74,261.89,44.74,9.19,220.60,210.83,59.65,155.74,118.51,177.33,175.67,31.45,5.73, ,295.43,17.18,167.35,45.30,259.51,11.34,222.18, ,18.84, ,0.66,54.31,267.91,268.59
