Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102
173.80,110.24,213.94,38.99,156.94,262.44,270.15,81.27,230.26,155.94,159.88,109.82,95.20,227.93, ,41.08,69.33,159.26,116.94,278.50,12.00,258.50,115.82,14.80,53.02,97.93, ,220.32,95.52,75.67,251.07,64.53,40.53,159.35,84.46,258.54,26.41,39.01,220.03, , ,214.80,259.96,184.06,57.97,195.80,3.02,104.84,146.96,35.07,125.41,20.72,200.05,188.16,7.07,100.84,270.22,131.27,247.11,110.46,294.91,138.72, ,243.55,0.08,100.55, ,220.08,298.29,74.24,59.19,294.65,63.12,175.67,195.06,209.72,127.85,11.77, ,164.89,268.04,299.05,171.37,288.68, ,108.81,98.13,54.03,28.04,57.65,11.53, ,221.25,154.33,270.00,28.44,31.02,299.87,65.09,243.45,69.71,162.58
253.26,96.46,58.63,103.69,225.13,288.81,14.62,272.27,264.04,119.50,297.20,25.12,290.60,116.06,123.70, ,76.96,199.22,67.86,226.69,37.95,19.00,297.70,156.61,126.18,101.82, ,221.19,216.81,114.94,272.11,11.51,15.60,274.08,88.60, ,118.79,48.37,9.19,299.94,28.39,23.12,247.35, ,93.71,263.18,127.32,147.29,10.15,159.56,1.49,71.12,66.95,115.15, ,161.22, , ,30.79,19.82,271.72,71.86,34.39,193.49,127.80,279.84, ,264.07, ,35.19,206.98,174.12,136.33,16.39,224.95,1.37,25.33,15.98, ,50.37,232.76, ,265.08,196.18,263.96,296.99,247.33,230.31,15.69,156.79,273.93,79.26,26.51,248.40,201.78,92.85,220.43,184.96, ,81.15,76.75,39.45
216.85,6.21,259.11,195.09,46.78, ,22.08,175.04,45.81, ,138.66,178.58,241.26,64.36,106.55,291.92,217.02, ,223.23,48.53,142.15,42.86,110.18,122.31,35.43,62.04,6.79,172.16,59.59,22.72,42.80,73.92,80.86,278.23,229.75,0.17,66.49, ,176.67,13.19,143.40,223.93,188.10,9.13,101.86,169.18,288.18,257.77,113.88,155.21,170.20,118.13,248.47,132.99, ,146.18,112.53,210.95,215.60,258.63,55.07,231.25, ,264.27,69.17,137.15,196.12,106.37,249.46,175.41,179.97,228.63,257.07,77.94,171.73,165.20,86.23,165.04,261.40,221.85,207.46,254.96,66.34,117.84, ,293.25,296.14,26.88, ,283.01,1.44,272.24,88.53,235.86,83.62,82.89,227.84,64.46,93.93,244.13,146.60,205.02
56.44,271.74,137.68,160.65,109.49,5.77,191.35,151.60,138.89, ,66.73,44.89, ,175.69,230.53,253.97,267.15,178.36,229.98,193.63,155.16,223.52, ,114.87,52.75, ,287.23,8.18,115.16,230.84,151.39,13.15,296.91,115.77,219.18,191.31,136.39,115.94,207.40,174.78,69.83,251.41,34.89,269.13,217.31,140.91,61.33,174.05,134.36, ,53.54,124.83,171.96,282.29,78.70, ,88.66, , ,126.26,299.66,256.20, ,97.12,56.70,159.72,85.53,48.46,185.11,5.42,44.60, , ,287.08,211.97,166.82,182.55,251.71,229.17,273.31,154.35,277.47,144.95,163.61, ,48.72,207.49,111.31, ,234.62,190.27,238.57,98.63,30.06,99.07,219.02,285.52,102.38,87.43,25.98,140.74,299.76
135.55,18.76,200.25,213.04,99.96,147.62,272.73,248.93,136.91,144.18,241.31, ,28.74,111.40,34.63,279.54,175.00,260.83,285.34,118.78,14.17,223.49,243.13,161.68,238.08,159.12,270.93,145.92,299.57,279.45,296.77,276.27,44.07,77.51,151.30,105.28,166.69, ,109.82,239.90,68.00,283.87,240.46,274.43,89.11,219.59, ,178.58,100.27, ,177.78,187.97,57.34,240.77,131.65,216.03,175.35,41.09,112.54,248.77,221.68,18.71,161.19,19.85, ,242.50,225.28,185.39,251.90,240.12,70.48,254.03,166.06,183.12,50.60,274.04,86.36,156.28,173.11,247.47,150.99,131.30,84.53, ,36.44,15.75,25.99,28.47,172.53,51.16,17.13, ,154.70,183.77,229.81,114.48,190.75,67.25,41.75,38.74,188.22,133.13
20.25,291.13,12.12, , ,274.79,81.77,157.45,140.48, ,254.96,213.17,31.78,262.19,273.96,71.78, ,34.43,52.30,176.74, ,116.18,258.01,56.11,128.89,227.99,44.07,180.67, ,212.45,65.58,166.42,167.78,57.85,123.09,227.78,174.56,116.01, ,87.45,256.51,226.67,132.47,67.45,227.98, ,120.45,21.60,81.55,121.50,91.59,249.54,244.43,230.36,273.01, ,178.03,64.22,240.38,75.44, ,3.42,135.43, ,157.03, , ,232.23,138.00,285.57,121.25,87.73,82.68,29.58,242.98,65.41,290.50,191.20,144.27,35.77,184.93,78.87,239.20,117.58,187.93,234.57,212.82,190.87,209.40,256.21,14.25,35.75, ,226.95,6.74,240.87,181.74,53.75, ,64.86,150.07,184.04
261.97,106.94,92.36,73.29,168.73,70.19,92.30,131.43,239.40,238.26,9.99,268.02,144.79,54.17,285.67,79.50,35.07,100.48,202.78,176.00,261.32, ,53.62,107.41,118.24,289.29,245.64,0.54,206.01,273.10,19.08, ,266.72,166.81,73.81,240.96,141.09,195.99,255.91,224.49,193.09,296.21,105.78, ,24.72,259.56,164.31,209.13,245.35, ,12.55,81.08,179.12,155.79,39.25,149.96,118.63,123.87,268.65,172.27,254.37,154.34,0.02,161.32,78.34,156.19,246.16,44.39,159.45,200.40,11.89,162.42,93.40,245.37,215.95,256.84,253.35, ,253.37,283.84,22.50,254.27,246.83,157.78,50.99,272.51,69.86,112.10,116.27,145.74,14.35,135.16,216.73,7.19,190.51,268.18,291.71,26.40,113.99,10.66,242.14,114.65
6.03,212.38,25.15,0.63,21.50,224.17,82.14,108.34,222.39, , ,298.97,152.65,96.25,277.93,146.47,50.39,19.33,274.81,20.89,83.97,111.23,280.63,239.49,166.03,165.50,75.99, ,228.64,60.01, ,98.41,47.93,90.92,111.57,111.73, ,195.69,152.41,155.49,143.32,211.81,109.96,81.19,227.27,251.84,101.78,85.70,255.12,131.12,46.07,134.10,238.03,53.39,233.62,136.23,153.33,82.15,11.55,237.72,173.17,226.11,96.75, ,51.87,146.26,292.37,208.33,281.14,224.28,171.75,207.81,286.49,30.84,267.40,187.50,67.35,132.33,173.81,57.43,90.43,299.91,246.80,253.70,146.37,299.53,11.13,266.81,163.19,247.40,191.83, ,259.18,169.13, ,13.26,11.44,262.59,186.49, ,140.19,65.96
136.86,29.30,50.89,207.39,274.33,240.36,74.77,21.19,201.01, ,259.91,60.85, , ,131.90,87.53,115.28,106.09,135.01,250.25,57.69,136.27,239.15,170.44, ,114.34,73.65,299.60,132.34,21.79,54.00,167.22,186.40,129.33,107.94,36.01, ,34.79,132.98,51.63,112.62,117.75, ,189.24,284.03,74.03,101.28,76.94,151.26,241.42,49.11,260.21,19.23,119.91,130.50,177.00,206.47,251.67, ,140.91,271.34, ,277.16,112.75, ,264.01,173.69, ,223.05, ,242.28,271.58,32.85,244.64,271.89,118.43,127.27,241.36,121.84,75.77,38.84, ,2.85,191.57,213.88,152.27,56.90,37.12, ,102.55,254.23,209.14,105.10,32.01,135.02,272.55,239.45,40.67,14.24,148.89,101.86,113.97
20.40,204.53,256.06,214.13,81.51,282.96,159.68,233.07,168.80,205.50,217.02,65.57,134.15,192.96,177.97,103.42, ,7.96,131.57,257.45,96.55,24.82,240.40,216.23,208.59,140.61,38.87,82.42, ,296.88, ,174.86,260.37,45.53,116.55, ,74.00,79.91,243.80,95.12,279.30,192.18,170.83,140.03,291.45,178.53,273.25,163.19,295.84,188.80,52.97,247.53,284.88, ,228.67,76.80,69.80,104.44,277.86,10.99,4.91,113.99,94.40,156.42,145.31,126.46,145.81,57.01,177.24,254.47,174.95,18.18,138.30,115.71, ,126.70,140.99,165.61,42.25,290.65,160.39,106.38,229.30,26.88,175.99,156.55,286.28,0.08,26.12,46.74,258.77,193.88,121.29,233.98,74.57,143.45,8.12,204.83,248.57,139.51,43.05,106.47
183.88,260.36,229.24,52.26,180.54,287.76,5.64,165.37,146.37,15.17,258.65,91.92,151.71,31.79, ,138.25,111.36,184.45, , ,73.62,72.10,49.80,25.40,239.30,117.92,120.78,206.77,64.34,192.49,145.78,223.25,11.33,228.83,55.97,87.33,164.90,149.36,233.35, ,172.65,4.18,101.15,27.54,40.94,34.41, ,121.65,271.34,294.56,28.76, ,116.09,167.93,29.47,208.87,268.89,184.60,202.29,249.67,127.67,71.36,27.31,283.73,30.01,281.81,145.48,233.20,212.45,237.09,183.77,146.15, ,30.75,129.78, ,59.61,66.02,6.25,189.65,80.58,106.70,149.83,94.74,213.75,184.17,249.11,296.81,220.61,126.02,54.07,121.75,286.69,244.66,281.10,282.93,53.96, ,203.79,218.81,255.56, 
 ,175.11,103.21,159.55,96.39,81.57,27.64,225.60, , ,196.51,201.47,28.16,82.27,32.91,218.78,227.08,94.87,28.71,72.57,225.58,94.15,107.87,202.40,37.21,252.02,16.52,191.90,144.59, ,177.50,195.42,202.33,260.84,13.90,77.09,84.50,296.31,53.92,294.06,155.31,39.41,52.89,280.93,37.50,74.21,230.35,80.96,254.82,137.20, ,214.29,285.22,167.19,214.26, ,1.65,107.30,229.62,233.96,257.77,165.65, ,96.00,267.41,256.42,65.88,209.93,96.02,140.52,272.03, ,42.96,89.10,97.47,10.45,229.28,2.88, ,189.33,1.80,119.60,165.95,183.37, ,279.39,6.17,243.07,191.10,117.36,136.29,298.93,246.27, ,249.15,115.15,214.06,295.22,75.18,219.15,237.06,237.94
90.98,151.18,71.64, ,51.84,184.13,120.24,278.98,79.54,50.35,216.17,213.23,242.48,168.98,11.46,138.97,44.77,70.74,91.15,165.98, ,50.11,1.68,172.75,260.04,287.22,91.04,91.29,97.00, ,298.03, ,137.00,208.41,167.46,247.66, ,90.66, ,284.43,201.68,195.39,32.04,39.78, ,131.07,134.13, ,132.16,237.45,270.63,125.67,250.96,213.49, , ,243.22,128.86,5.58,6.63,206.86,160.69,177.48, ,174.25,210.28, ,179.43,181.75,156.88,78.42, ,242.40,297.96,69.56, ,93.82,134.01,195.90, ,73.38,22.79,117.79,295.79,112.50,35.44,171.47,196.02,222.88,182.55,229.24,63.69,45.93,159.64,109.08,291.28,173.69,130.09,247.13,145.17,140.46,177.23
48.75,253.77,211.68,192.47, , ,166.54,169.34,180.96,180.53,160.89,186.30,45.71, ,190.88,257.31,70.29,120.25,223.00,55.22,284.35, , ,62.68,109.86, ,88.28,35.30,23.61,240.14,55.04,260.20, ,31.69, ,151.94, ,243.82,265.86,113.29,168.68,95.71,264.82,66.81,294.08,257.81,256.12, , ,287.33,27.41,237.23,170.96,217.49,16.33,42.95,296.96,5.58,190.16,51.46,204.61, ,162.43,229.08,231.97,176.88,269.61,88.03, ,187.20,181.65,81.41,33.15,136.23,171.05,9.14,283.37, ,256.32,229.29,265.73,127.59,12.06,38.52,77.76,287.29,287.04,57.22,223.97,47.86,6.64,271.84,57.62, ,13.94,126.50,227.50,26.93,299.81,108.64,201.89,87.20
201.07,234.92,201.99, ,164.70,234.81,6.31,22.13,6.37,30.02,211.40, ,281.52,56.77, ,258.66, ,136.36,182.71,17.96, , ,249.39,113.33,225.24,108.05,112.13,158.78,3.34,250.48,194.14,75.02,265.91,216.31,284.47,173.55,183.71,180.95,234.27,219.04,100.04,288.27,119.04,230.01,23.60,107.24,187.74,229.36,261.47,255.92,244.69,248.36,144.80,261.51,123.59,238.57,207.64, , ,73.90, ,97.50,256.31,134.02,244.61,100.04,243.59,34.97,294.34,217.86,124.88,247.24,235.49,213.07,6.65, ,72.45, , ,45.13,152.76,293.59,283.74,84.02,118.83,24.07,74.94, ,71.87,112.51,265.82,169.70,265.32, ,54.14, ,99.27,216.42, ,56.85,266.11,296.43
297.96,67.14,168.21,144.77,286.73,228.98,21.83,277.63,246.38,267.44,131.03, ,114.00,283.31,4.45,77.13,122.15,156.53,265.84,39.81,17.48,158.00, ,59.45,41.53,39.19,15.87,165.07,284.22,225.64,207.86,142.05,171.98,153.78,205.52,106.84,202.01,292.53,212.54,239.22,57.81,263.05,148.63,16.01,31.53,197.77,291.48,236.64,279.50,230.48,274.94,19.56,36.09,108.76,64.07,202.71, ,165.76,175.02,211.57,25.40,205.64,144.71,201.43,224.96,238.65,266.78,129.54, ,141.62, ,205.69,163.40,26.87,223.12,23.03,209.76,287.91, , ,60.85,140.78,206.49, ,173.28,225.33,67.44,269.52,272.65,191.52,296.88,223.34,243.71, ,292.14,223.91,178.55, ,19.33, , ,66.37
154.15,16.81,58.65,249.71,256.34,31.51,61.92,151.98,12.87,297.76,184.42,237.36,223.15,139.75,55.45,49.45,197.82,131.19,52.59,287.77,222.14, ,284.06,114.12,287.00,287.44,259.04,283.17,213.71,267.98,295.32,12.82,71.92,36.11, ,117.01,140.58,35.43,23.21,216.84,296.55,0.32,250.51,25.52,204.60,46.71,260.71,180.79,292.73,201.74,91.51,37.26,57.90,34.81,82.24, ,78.79,94.31,193.62,146.67,289.80,19.07,72.77,38.56,232.61,140.14,89.92,290.99,216.79,56.82,145.92,91.88,251.58,45.85,271.39,117.55, ,136.61,77.34,157.51,9.11,155.88,245.85,253.82,231.55,24.68,163.42, ,88.13,207.51,129.92,26.51,140.08,84.08,108.43,116.55,169.68,280.04, ,294.80,186.19, 
210.87,267.26,177.11,228.74,189.38,263.51,6.14,246.97,62.63,250.80,179.57,151.67,253.00,154.42,256.18,143.17, ,110.44,113.66,39.81,55.21,161.78,104.61,218.08,28.01,145.63,153.05,58.86, ,128.86,258.44,247.84,252.09,212.05,298.06,102.97,133.10,58.12,6.06,22.27,51.50,46.52,148.80,17.56,231.74, ,190.18,276.37,183.55,203.85,158.82,49.67,114.83,113.27,257.18,241.31,188.27,204.59, ,217.22,247.31,10.95,39.13,252.21,125.96, ,72.66,216.52,26.95,73.45,250.38,276.99,188.69, ,93.28,214.60,176.76,159.45,137.74, ,89.95,256.07,164.29,174.71,151.06,112.16,41.87,255.14,254.23, ,82.97,196.34,247.61,159.48,260.81,5.63,87.17,47.00,99.44,164.79,226.80,292.42
108.32,106.45,9.19,11.29,187.40,89.74,280.74, ,241.55,247.70,33.60,79.48,282.28,188.48,82.01,154.96,63.24, ,190.42,290.07,11.28,109.35,12.48,50.23, ,296.66,64.11,85.08,53.95,298.80,229.91,197.35, ,260.59, ,151.01,44.00,225.16,162.07,233.96,76.41,283.80,90.74,103.34,191.50,243.19,99.71,271.12,257.96,257.65,39.20,166.62,161.39,4.68,117.97,275.62,127.14,267.45,7.33,93.70,228.08,89.13,209.99,24.86,45.51, ,84.71,287.31,252.56,172.60,197.07,251.65,238.37,58.89,218.39,249.95,57.76,206.34, ,266.58, , ,92.93,96.81,172.78,136.67,137.32,148.94,64.34,186.93,299.28,193.79,293.13,186.73,217.34,176.82,82.70,196.02,127.08, ,299.86,196.39
94.88,100.69,73.42,230.36,40.36,242.61,266.67,56.06,170.95, ,54.87, ,250.89, ,243.72, ,201.27,143.78,251.88,39.58,285.54,74.12,243.48,195.22,270.34,156.81,279.63,196.16,45.38, , ,90.77, ,292.04,273.37,18.45,27.78,203.37,117.87,241.20,124.49,104.95,8.17,55.40,142.39,33.85,223.44,80.21,100.99,113.76,60.45,292.19,175.95,85.95,124.82,128.43,178.51, ,186.68,80.50,22.00,209.00,150.02,91.66,281.40,10.97, ,143.17, ,19.13,98.55,68.32, , ,4.20,42.73,254.37,66.03,49.81,287.82,155.43,97.03,243.40,192.58,251.18,180.37,184.02,283.26,104.62,269.98,199.40,299.71,135.94,130.14, ,117.97,196.20,182.60,140.85,225.60,241.79,189.00
50.15,195.35,272.53,272.48,219.38,81.06,121.14,203.29,187.56,92.45,218.71,116.78,265.66,68.18,208.51,119.54,125.09,261.16,34.87,178.98,218.83,27.40,106.84,46.85,251.96,78.16,114.36,230.22,237.32, ,145.83,107.01, ,121.89,178.30,299.29,111.01,17.32, ,124.15,4.94,21.07,196.71,258.60,121.96,28.97,26.08,75.94, ,156.61,44.95,111.74,92.19,262.37,61.16,233.66,225.40,151.33,248.92,28.25,165.02,69.54,92.95,61.32,223.64,181.02,252.84,12.83,215.50,154.53, ,88.19, ,140.41,190.71,1.32,129.90, ,199.44,78.78,213.03,67.42,185.84,83.80,48.84,94.10, ,70.76,71.55,40.76,135.94,1.29,150.43,3.59,30.64,215.03, ,219.85,199.27,277.85,284.28,111.90
50.73,149.14,166.81,11.19,162.76, , ,93.09,3.60, ,158.90,116.33,64.22,126.49,36.03,154.20, ,232.58,16.71,83.89,108.54,262.29, ,42.36,130.82,274.92,195.53,204.53,61.04,70.03,138.67,297.09, ,218.55,282.24,7.16, ,115.70,81.08,198.93,58.33,77.06,89.90, ,294.44,228.11,54.47,101.87,112.73, ,31.29,11.54, ,77.66,143.05,166.42,137.79,288.38,66.93,257.43,188.71,23.97,215.07,232.47, ,45.20,268.28,131.86,43.04,57.49,2.25,294.80, ,284.67,1.66,242.33,91.12,210.97,247.87,193.53,142.98,225.53,100.78,86.52, ,245.73,173.43,134.43,180.29,152.90,270.23,43.32,295.62,140.29,122.23, ,2.56, ,228.10,237.51,150.49,275.17
 ,148.61, ,16.84,259.19,25.48,74.24,158.74,243.15,180.57,265.35,67.94, ,296.04,259.05,289.11,201.32,133.34,129.53,66.77,83.15,79.49,10.76,171.30,91.44,261.19,135.67,224.76,167.54,48.96,146.95, , ,123.40,98.20,61.03,6.94,101.49,156.74,234.72,192.87,198.36,182.97, ,107.73,167.60,293.32,175.48,97.92,154.79,21.95,96.03,114.66,288.42,96.96,135.80,293.53,23.35,44.93, , ,1.74,181.19,9.44,26.45,280.42,142.36,288.96,189.30,178.60,4.70,278.38,100.55,2.46,119.49,181.28,200.05,282.39, , ,137.91,99.19, , , , ,179.93,178.35,187.71, ,166.08,134.63,26.02,257.48,139.80,273.47,207.00,200.90, ,105.43,10.94,239.56
265.94,141.62,178.01, ,212.09,50.89,33.40,5.24,150.32,215.49,167.87,178.50,21.32,174.20,82.05,258.89,31.34,55.31,256.38,202.95,280.05,215.19,30.75,4.33,65.48,4.85,42.31,2.11,254.46,82.96,241.71,250.21,120.23,148.68,90.16,245.08, ,160.27, ,80.71,217.29,7.81,79.53,105.49,113.74,257.96,96.47,238.56,172.73,52.19, ,142.35,80.47,78.51,296.24,21.45,32.02,92.03,247.17,59.65,255.89,286.78,216.07,91.14,59.19,14.94,285.32,153.64,69.86,6.54,46.89,150.33,195.62,33.07,84.51,171.62,212.32,192.98,44.86,91.14,134.05,184.65,263.38,185.17,270.44,99.34,219.69,96.24,192.03,258.10,222.03,16.93,288.12,262.75,194.04,137.03,159.98,147.47,59.97,156.60,224.34,47.75
