Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115,Col116,Col117,Col118,Col119,Col120,Col121,Col122,Col123,Col124,Col125,Col126,Col127,Col128,Col129,Col130,Col131,Col132
69.04,130.49,90.27,41.54,210.60,222.43,51.97,244.99,261.32,145.19,160.00,250.89,40.03,35.17,245.55,106.19,230.66,190.56,161.34,299.33,147.60, ,199.56,100.30,72.41,14.25,164.69,150.64,286.50,166.07,169.10,183.74,133.64,74.26, ,6.35,53.71,75.66,53.51,9.33, ,14.02,158.92,183.29,9.61,233.11,247.35,78.65,285.90,251.52,66.85,66.51,287.01,296.41,273.97,205.37,142.34,133.36,98.10,10.83,186.45,283.39,46.14,264.90,274.34,92.20,149.72,261.94,79.17,32.76,141.53,249.68,157.52,285.14,99.70,63.34,239.90,119.96,108.79,18.09, ,110.29, , ,86.26,48.18,20.50,186.14, , ,116.16, ,71.78,151.11,219.90,181.86,77.06,124.72,73.78, ,198.09, ,284.35,222.62,285.26,215.10,74.94,60.05,240.26,142.73, ,62.62,148.83,259.45,227.20, ,53.21,111.34,134.49,294.99,124.66, ,39.76, ,124.87,64.96, ,207.69,82.99,38.89,72.79,71.29
52.94,53.20,95.88,147.47,78.42,16.24,285.62,282.81,180.86, ,245.99,114.25,166.03,141.38,157.36,169.14,192.67, ,205.66,293.98,141.14,257.70,131.07,213.37,84.92,80.89,40.22,105.74,29.96, ,127.81,123.82,205.01,150.62,222.15, , ,241.33,232.98,13.01,12.08,261.22, ,252.70,71.73,289.25,248.73,229.50,97.16,201.40,77.07,35.81,126.51,118.59,244.06,21.46,229.38,81.57, ,34.27,127.88,171.47,41.43,159.07,241.98, ,55.64,256.20,39.84,102.53,91.16,75.73,166.94,260.98,40.80,282.78,145.02,94.50,116.92,233.66,181.30,93.98,181.76,28.38,132.89,80.02, ,155.75,44.44,297.65,201.66,275.74,159.80,219.19,168.15,168.05,39.81,116.88,68.98,5.12,299.95,70.60,13.52,260.67, ,258.31,288.87,26.65,132.90,32.76,246.02,235.34,231.07,85.80,191.55,212.93,252.81,252.72, ,179.07,120.43,95.79,255.15,198.00,201.78,101.47,221.90,204.41,223.80, ,131.61,229.48
100.64,93.50,59.11,232.43, ,198.71,147.74,61.26,222.57,21.62,232.11,16.77,134.35, ,110.97,82.02,116.73,222.74,236.03, ,168.46,42.59,170.81,221.04,236.08,195.12,167.65,201.23,263.75,124.99, ,197.18,186.99,91.94,224.14,91.59,196.44,32.93,140.83, ,72.91,28.26,117.05,95.25,80.33,53.86,186.26,102.51, ,116.43,197.14,215.46,30.90,258.75,75.52,287.10,172.49,288.44,263.51, ,281.79,294.77,170.01,236.06,276.57, ,164.06,129.51,209.33, ,168.08,266.94,211.35,140.15,215.55,21.31,216.43,64.59,38.75,92.23,207.12,298.28, ,218.89,12.38,285.99,296.31,170.74,121.60,104.13,13.41,200.72,1.22,177.90,242.57,4.66,19.62,215.67,6.33,141.26,262.78,222.51,37.50,223.06,191.11,38.50,111.98,17.83,143.04,25.62,8.23,3.00,103.74,43.52,53.23,128.78,12.03,275.10,144.54,208.62, ,247.13,37.33,257.99,29.38,176.15,161.94,117.99,10.18,233.31,89.89, 
105.90,0.32,179.65,279.16,180.51,35.40,241.84,78.66,251.12,268.52,94.31, ,284.10,220.77,5.38,35.50,116.56,254.73,45.27,176.73,280.09,168.93,23.08,179.41,41.80,83.97,206.10,292.02,144.05,107.61,223.44,103.84,8.73,237.57,158.15,187.53,195.54,239.00,147.14,34.07,230.20,296.84,76.96,26.50,201.64,70.44,277.22,165.09,232.86,39.95,216.96,229.26,283.94,31.13,286.67,20.01,183.23,53.17,5.71,181.19,213.78,32.43,125.93,176.96,0.18, ,217.14,79.06,128.32,60.78,233.99,279.40,9.20,204.04, ,283.71,209.31, ,241.74,228.14,265.45,139.44, ,56.59,215.79,155.05, ,114.44,272.99,247.96,90.10, ,92.06,102.15,33.21,243.11,132.51,87.16,221.82,256.17,296.24,64.65,35.06,265.73,184.65,80.11,149.67, ,241.73,220.56,101.03,186.21,257.44, ,76.88,279.41,168.82,205.00,126.94,145.13,72.20,152.25,196.62,84.43,243.66,235.59,253.29,72.97,17.97,185.92,231.97,127.89
140.98, ,267.92,179.39,45.15,212.85,105.79,281.90,158.43,56.41,87.44,118.16,134.91,149.39,91.68,57.64,155.70, ,123.62,106.12,108.62,97.06,121.08,287.98, ,122.13,215.46,115.25,173.05,193.33,179.91,37.17,177.49,28.09,16.49,210.34,200.19,297.77,46.72,194.26,179.88,286.93, ,102.19,99.02,22.28, ,7.29,169.81,51.50,288.99,289.47,268.69,124.97,95.94, ,290.19,155.94,147.24,232.56,80.23,1.77,153.05,109.79,103.84,63.18,283.56,291.21,99.86, ,66.32,179.56,267.00,198.32,187.11,206.14, ,237.72,32.34,72.33,102.45,136.70,177.91,296.80,3.16,49.98,162.98, ,205.36,230.45,267.37, ,173.51, ,111.23,215.45,164.72,4.44,194.28,218.79, ,87.90,263.54,28.72,164.67,31.88,149.76,125.82,88.85,221.39,110.56,187.41,178.50,17.00,139.26,138.17,53.96, ,17.50,200.22,228.62,175.90,269.28,212.90,100.31,157.99,22.79, ,35.34,204.66,269.65,239.42
197.72,33.88,10.88,269.44,26.45,30.80,58.24,26.43,142.58,152.82,261.45,174.53, ,79.19,44.50,288.56,20.83,186.19,292.81,59.49,10.47,178.51,206.69,150.42,63.36, ,278.21,78.94,47.32,231.93,198.29,85.01,75.87,236.80,59.75,225.42,231.29,85.97,280.56,205.72,70.11,236.44,45.32,201.05,169.17,189.09,188.02,118.06,41.04,129.82,275.68,8.25,129.10,262.26,100.98,291.76,162.77, ,208.09,120.45,112.74,189.82,141.45,298.25,204.95,235.16,28.79,13.99,119.50,198.01,209.19,220.92,228.75,299.68,92.69,137.57,73.56,85.62,191.30,20.36,136.99,101.98,245.92, ,65.42,299.53,133.37,215.51, ,64.63,131.11,33.46,62.75,296.06,22.03,232.25,283.60,297.91, ,243.83, ,9.25,36.07,259.11,219.35, ,283.98,226.96, ,195.63,226.56, ,248.60,284.68,62.65,288.89,288.93,49.78,241.97,61.53,134.63,165.15,258.97,93.48,290.44,81.56, ,273.25,88.19,231.61,114.94,68.06
 ,0.79,299.92,188.48,188.56,224.57,30.50,202.85,69.46,37.00,87.78,124.27,264.78, ,43.95,251.84,254.69,112.80,226.21,156.13,244.11,212.22,209.73,200.67,165.22,70.71,181.73,140.52,212.08,182.75,8.61,68.05,60.89,230.95,236.41,274.76, ,186.98,176.04,79.01,147.96,280.46,54.70,4.73,139.85,153.89,30.44,163.94,49.37,224.70,281.20,11.23,278.08,40.06,180.95,63.87,292.04,193.13,272.09,17.88, ,171.77,250.13,71.77,209.62,168.57,97.76,257.31,158.42,299.54,36.47,76.41,110.66,258.51,92.83,175.28,76.06,112.60,207.30,270.07,0.93, ,98.68, , ,177.41,57.70,212.31,266.36,286.98,236.20,179.92,19.67,168.63,197.30, ,81.67, ,82.59,153.94,22.52,239.43,50.09,89.87,173.46,240.09,143.32, ,23.25,24.50,137.50,5.24,65.23,197.22,169.50,10.10,223.27, , ,234.44,213.06, ,269.29,21.24,13.24,135.86,50.56, , ,249.04,207.01,49.17
205.45, ,256.22,257.62,296.39,233.77, ,94.57,225.85,291.36,141.87,221.20,71.02, ,20.06,241.21,241.92,261.46,77.65,65.05,164.12,227.34,270.90,192.46,242.10,141.00,150.14,102.39,39.24,76.78,35.95, ,277.87,76.79,100.02,234.76,158.59, ,256.48,78.88,116.75,157.22, , ,225.97,49.93,147.76,24.53,144.70,161.58,216.64, ,211.11,102.38,262.26,26.19,243.88,46.11,32.35, , ,229.84,89.64,19.35,219.58,61.04,64.63,276.07,195.19,61.99, , ,162.57,253.62,158.21,71.31, , ,230.26,109.93,128.48,236.24,32.33,107.50,225.39,192.89,270.76,118.16,279.13,210.73,87.18,232.48,259.50,96.84,169.49,209.66,36.05,46.03,143.19,165.34,237.10, ,207.85,7.32,292.25,46.23,75.23,157.47,74.67, ,264.44, , ,260.99,20.00,41.76,160.55, ,97.65,120.94,278.46, ,270.71,187.24,191.55,53.18,77.09,155.84,109.74,215.62,66.55,77.75
 ,238.30,30.58,280.77, , ,279.79,229.94,69.69,287.66,178.82,149.19,268.78,135.27,106.33,128.50,283.75,140.76,252.24,257.99,22.87,192.24,181.89,98.77,247.82,23.68,199.37,152.17,63.58,230.09, ,58.59, ,295.41,99.24,223.97,180.67,56.67,249.50,195.09,190.13, , , ,34.07,121.72,150.25,132.30,2.60,232.03,186.31,279.03,208.62,14.64,92.94,104.96,282.64,221.63,287.93,95.10,222.11,224.21,25.97,92.52,247.41,208.36,9.21,267.70,223.67,73.29,69.89,48.10,31.48,178.09,105.17,41.40,190.00,99.64,22.12,244.54, ,152.90,225.92,70.95,263.97, ,280.57,95.30,175.72,298.41,146.20,27.00,130.85,153.21,132.96,122.65,144.86,230.40, ,270.70,109.03,72.37,215.24,121.38,71.28,242.33,94.36,152.09, ,69.08,107.24,10.50,279.53,269.25,103.49,180.63,43.57,194.93,30.54,191.03,161.76,216.78,233.56,138.93,139.43,50.69,110.05,176.57,216.56,299.51, ,180.15
123.92, ,193.56,128.01,0.43,223.78,276.61,179.89,72.86,23.55, ,133.60,142.57,101.31,222.70,68.74, ,192.65,1.50,124.26,170.80,119.27,41.90,251.93,211.43,241.11,148.34,68.58,49.67,134.39,214.46, ,17.30,299.44, ,85.65,50.71,64.54, ,106.44,2.97, ,27.75,112.28,176.44,209.16,172.63,264.17,299.29,104.40,70.40,140.20,159.83, ,224.37,163.55,26.76,59.04,194.26,16.33,204.81,279.51,69.83,95.09, ,166.05,241.35,181.30,92.50,272.45,265.50,68.55, ,235.06,264.15, ,280.49,288.53,179.18,247.51,214.55,224.60,65.75,17.05,247.50,288.17,14.55,253.29,249.98,18.16,277.55,89.04,47.16,135.72,197.03,128.58,187.66,192.18,219.13,200.46, ,188.63,33.32,39.87,92.27,134.59,30.81,186.64,29.24,124.56,161.24,84.16,95.45,165.00,56.47,249.32,93.00,9.67,280.25,242.74,102.80,170.12,59.41, ,88.64,247.01,182.21, ,155.03,265.73,299.12,94.25
245.30,86.39,13.57,4.51,139.16,33.64,240.91,66.04, ,87.00,225.91,165.16,124.24,20.03,114.53,238.52,287.53,149.36,139.34,247.00,55.15,129.29,295.22,130.47,104.03,68.95,186.69,84.25,49.53,155.19,146.50,227.03,219.47,76.52,292.39, , , ,283.75,73.06,242.45,10.13,200.59,46.61,124.32,184.24,212.72,75.10,275.34,225.90,285.66,44.12, ,91.66, ,203.64,29.00,291.73,6.01,79.20,27.03,110.15,132.13,259.57, ,234.90,255.20,102.01, ,111.20,122.41,201.98,58.30,172.14,270.12,242.35,230.76,252.85,180.64,63.79, ,93.10,108.56,61.75,288.20,21.77,214.91,269.26,278.29,113.10,170.36,270.67, ,240.04,262.93,257.50,260.88,119.82, ,168.12,268.84,190.24,223.59,210.60,46.11,93.09,217.21,150.46,183.14,127.92,35.39,13.17,209.48,181.93,21.14,43.21,206.37,280.59,38.60,22.81,80.08,243.93,79.35,185.17,166.85,18.16,261.69, ,171.17,146.29,15.35,159.86
102.71, ,232.67,177.10,216.63, ,160.55,150.73,139.64,121.79,131.38,114.43,288.39,156.91,102.24,31.02, , ,55.41,66.40, ,21.87,297.78,264.51,243.98,91.90,41.24,188.58,59.07,53.66,208.20,146.91,219.36,258.05,164.42,119.48,162.15,155.70,234.60,112.19,39.66,235.78,148.73,146.16,175.64,252.46,88.15,164.29,208.38,60.59, ,180.07,106.04,280.26,256.03,78.17,140.14, ,221.03, ,67.20,70.38,291.26,55.17,18.51,299.02,123.27,84.73, , ,24.77,156.75,277.13,115.40,217.19,38.30,80.52,86.99,72.51,5.11,168.89,190.36,164.46,239.74,16.98,139.96,12.79,22.56,231.63,107.19,23.74,197.01,250.99,255.16,62.25,151.18,283.89, ,148.35,38.79,72.16,237.50,187.72,136.48,165.85,284.83,298.18,211.67,81.31,57.61,257.91,256.00,1.77,288.09,52.72,247.66,201.81,238.80,119.37,267.17,49.71,299.88,82.32,150.33,107.22,268.45,225.83,254.17,221.98,77.72,269.15,99.58
210.54, ,29.91,227.66, ,179.67,211.25,226.57,125.62, ,94.07,195.35, , ,240.49,200.67,264.51,14.76,136.59,95.97,166.78,181.63,203.30,241.39,123.22,290.91,272.49,255.93,103.49, ,43.98,191.46,268.89,273.93,254.09,200.33,193.86,2.22,127.26,165.39,22.09, ,179.10,68.44,8.70, ,299.49,148.42,175.08,8.47,221.67,176.08,83.15,45.96,293.94,284.25,165.78,27.68,185.44,217.67,177.23,164.51,5.50,67.67, , ,29.59,38.70,173.91,275.61,207.23,93.11,128.87,197.82,108.12,25.08,103.73,115.38,79.02,281.18,1.46,222.84,163.34,236.72,83.39, , ,181.88,182.11,9.12,167.30,163.20, ,266.93,258.40, ,79.27,20.41,27.78,111.77,204.78,228.37,260.82,278.80,235.73,153.44,240.84,62.08,213.12,70.97,163.50,181.51,222.50,23.50,145.16,141.40,183.76,38.12,255.27,287.27,177.83,135.85,161.45,222.70, ,293.67,266.53,263.88,222.33,232.80,10.95,14.01
251.84,99.01,39.05,83.69,293.75,65.90,85.85,35.12,66.87, ,33.40,206.66, ,72.45,123.55,243.57,144.29,221.34,291.82,59.22,190.44,299.91,165.38,220.17,246.17,229.29,20.43,95.62,208.85,138.63,251.47,169.96,277.61,39.05,51.70,44.94,151.23,198.48,130.60,217.11, ,146.40,126.11,61.34,13.16, ,45.57,10.07, ,287.68,15.67,58.54,2.04,265.17,199.15, ,17.80,254.25,45.29,249.59, ,38.83,210.71,208.33,276.77,68.21,130.70,221.55,197.82,189.92,270.48,144.78, ,43.67,230.35,22.19,238.57,218.77, ,185.47,5.79,133.53,126.68,157.89,153.48,271.83,218.71,132.47,90.27, ,192.49,196.11,49.63,218.17,236.01,153.88,138.18,79.22, ,142.80,43.45,70.07,191.04,196.93,125.78,162.86,240.33,44.49,105.17,72.79,107.97,195.44,12.13,215.12,87.93,181.82,111.23,2.61,231.45,245.91,220.78,199.85,181.92,53.16,53.73,127.60,191.34,69.85,206.82,103.52,212.65,250.27
