Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96
231.35, ,203.02,15.71,179.41,131.98,9.04,87.71,93.83,71.59,231.95,51.13,218.85,177.76,54.85,199.49,180.52,143.57,286.43,46.98,132.67,200.07,102.87,246.82,196.21,251.60,58.45,197.48,72.01, ,126.86,183.42,204.92, ,288.46,275.96,40.54, ,240.61,17.28,197.16, , ,165.58,274.03,150.24,240.32,235.26,249.89,40.28,6.96,143.27,132.91,222.21,93.11,191.88, , ,24.36, ,189.94,278.66,18.82,298.57,165.24,194.20,106.03,290.88,192.28,95.91,94.76,164.10,229.33,48.79,298.84,23.00, , ,247.04,231.65,96.29,11.36,80.82,39.50,80.39,244.25,2.76, ,166.86,143.07,45.39,140.18,184.45, ,186.11,295.15
221.62,214.66,81.93,50.38,67.18,53.20,7.06,50.45,222.82,63.88,92.43,204.35,109.78,245.59,209.33, ,130.95,28.31,114.11,114.32,90.97,288.73,252.15,152.85,267.51, ,31.68,162.16,94.75, ,40.34,78.68, ,209.62,109.81,127.37,87.88,224.57,51.62,285.11,179.81,63.82,94.90,72.03,31.53,229.01,207.13,279.55,278.35,201.47,162.74,221.76,91.73, ,143.35,268.69,53.11,3.48,221.66,204.85,130.51,107.74,278.76,10.95,282.93,68.43, ,97.27,13.48,139.19,32.34,265.75,65.59,275.47,14.17, , ,204.97,0.64,153.65, ,20.62,147.44,59.25,186.32,223.79,191.29,107.65,186.60,269.36, ,167.77,129.57,186.19,145.92,270.89
192.04,20.19,65.64,239.44,295.56,199.73,182.83,178.53,7.19, ,286.30,223.73,142.85,165.78,40.68,148.28,244.65,60.44,132.13, , ,165.25,7.81,238.67,114.65,135.58,81.23,86.11, ,228.97,267.26,240.40,254.64,264.51, ,89.36, ,153.65,76.01, ,12.14, , ,173.42,199.62,54.99,259.61,214.69,123.72,99.74,275.68,108.09,121.47,150.06,51.09,108.25,80.52,108.72,247.19,111.15,236.78,132.53,22.60,55.73,68.28,289.90,235.85,40.77,295.44,89.56,2.21, ,82.73,115.82,265.40,71.92,34.73,244.73,260.66,286.86, ,142.33,104.20,194.88,135.50,35.79,236.84,122.88,120.72,59.75,106.49, ,218.69,91.47,123.57,155.38
159.11,252.75,19.81,150.87,166.44,200.56,278.02,214.38,59.28,281.71,161.97, , ,31.85,244.08,137.78,265.84,15.08,252.88,249.52,199.67,144.93,207.46,38.79,44.91,177.32,238.84,166.02,119.95,18.67,53.28,163.49,153.34,237.70,213.46,209.97,3.19, ,210.65,252.15,222.76, , ,289.05,115.39, ,13.25,133.07,97.19,85.64, ,23.35,88.58,266.71,213.76,115.07,199.46,156.90,117.43,71.58,15.81,28.56,200.22,217.93,66.49,52.39,89.61,73.75, ,40.46, ,62.07,24.47,262.20,83.74,248.07,186.11,42.28,48.74,183.97,209.24,181.15,267.47,37.36,148.95,81.68,223.72,123.83,105.27,129.55,165.66,44.32,41.51,266.44,29.09,56.91
100.87,199.95,208.81,109.55,260.97,286.61,34.98,132.88,196.47,29.26,40.06,113.90,160.17,171.81, ,228.72,31.62,27.54,75.59, , ,225.82,119.96,135.72,243.40,126.87,5.23,245.90,2.89,238.97,199.28, ,128.00,45.60,283.37,70.36, ,203.70,155.80,284.56, ,227.96,80.92,272.73,79.69,272.80,290.50,6.43,70.01,74.56,129.20,261.17,6.15,103.26,172.03,164.76,80.97,131.06,226.51,131.80,155.32,113.35, ,119.78,230.63,39.12,83.40,7.41, ,23.64,283.40,213.13,59.23,240.87,155.99,294.08,173.57,92.38, ,253.01,259.76,60.90,229.89,95.93,127.25,260.94,182.53,126.59,215.84,271.56,276.68,100.20,12.51,56.84,244.80,106.13
193.50,203.45,11.32,60.68,198.50,52.04,178.22,111.71,299.32,200.19,222.20,240.46,249.99,234.15,7.16,99.36,207.30,24.04,2.18,57.20,106.34, ,284.56,93.41,287.19,278.81,98.88,203.65,229.19,267.74,208.11,223.34,215.31,132.80,228.32, ,129.00,0.37,8.42,204.11,275.42,65.86,179.67,142.26,274.26,181.01,251.32,21.59,104.33,192.89,176.06,129.40,134.28, ,142.70,19.87,93.42,295.61,280.34,174.29,14.94,74.61,168.83,134.77,67.97,121.81,258.57, ,263.63,265.39, ,83.39,138.97,199.92,208.83,175.26, , ,0.63,3.38,112.11,98.37, ,220.18,179.23,21.94,218.92,222.25,70.72,267.10,221.43,156.36,276.94, ,167.13,24.02
109.56,8.67,16.20,128.11,108.57,224.45, ,211.78, ,282.50,294.69,116.61,86.38,73.30,93.83,265.96, ,75.52,119.62,270.17,111.56,157.52,97.13,291.53,282.62,291.41,13.80,294.41,7.81,183.48,6.53,299.62,234.86,78.35,58.59, ,170.15,260.95,18.34,253.76, ,272.88,230.33, , ,96.85,137.44,281.56,104.24,268.35,56.32, ,114.91,197.01,16.43,247.29,227.85,62.02,173.93,210.70,20.77,257.46,272.87,250.23,42.02,85.18,287.73,174.69,227.11,87.70, ,34.99,157.50,40.33, , ,48.57,141.78,228.02,156.87,60.67, ,292.08,288.93,190.77,82.46,235.32,61.41,205.15,22.47,80.05,251.15,208.91,42.83,149.74,249.79
213.94,223.36,282.39,185.84,75.92,291.03,138.46,176.22,92.17,184.79,59.04,73.27, ,116.10,207.39,10.66,183.31,146.30,216.55,275.18,134.52,80.74,81.95,21.99,225.35,10.35,279.72,170.83,203.94,8.55,256.29,34.26,253.37,228.94,239.15,259.62,147.61, ,229.56,241.42,98.89, ,196.45,211.76, ,115.69,98.06,10.48,261.28,70.65,79.02,80.99,200.19,130.76,74.10,114.09,115.44,177.63,109.42,92.67,108.97, ,207.03,241.36,96.66,94.95,170.47,19.49,235.71,284.38,248.25,290.34,160.14, , ,12.73,133.72,269.84,120.30,177.46,201.18,153.11,212.61,31.65, ,267.35,161.59,54.51,133.95,66.43,159.70,49.99,241.21,290.41,59.70,160.74
68.46,274.48,47.47,96.23,175.27,85.82,207.20, ,41.14,9.58,18.31,128.39,58.28,29.28,127.49,202.31,265.03,223.34, , ,125.85,96.68, ,133.53,290.34,137.77, ,216.18, ,44.56,261.61,235.42,239.85,205.48,97.01, ,126.62,33.45,91.48, ,241.50,238.54,40.34,80.79,292.49,29.94,154.18,149.40,294.73,221.58,277.96, , ,145.22,123.46,261.61,239.59,217.25,134.95,254.44,84.20, ,114.14, ,105.70,107.57,222.63,0.63,47.74,290.60,13.63,290.64,67.65,178.34,108.36,242.49,229.03,9.72, ,293.69,246.53,218.36,49.70,47.59,295.25,240.88,204.71,178.86,122.59,58.29,217.45,49.97,0.61,289.97,217.50,204.22
110.73,210.99,70.09,110.71,149.66,253.55, , , ,229.13,292.59,158.95,86.58,64.78,129.16,80.75,62.43,223.55,155.77,255.09,194.69,264.01, ,18.37,106.39,281.95,245.27,206.83,105.14,74.23,175.19,49.14,294.86,211.55, ,295.52,264.04,155.38,136.49,246.42,235.75,171.26,144.37,190.47,294.96,228.03,111.68,12.49,155.33,11.24,156.10,170.16,196.97,48.18,154.90,222.78,193.68,74.29,283.87, ,278.84,119.89,12.92, ,112.61,261.08,170.90,130.61,237.31,66.60,61.06,280.08,12.15,77.89, ,61.76,103.67,252.44,282.79,203.92, ,39.62,201.82,15.72,251.57,60.03,238.52,239.67,104.93,92.35,38.26, ,89.45,285.18,31.39,7.25
205.43,274.93,287.04,119.69,137.02,79.51,11.24, ,229.83, ,22.18,84.94,132.91,134.17,216.28,86.06,100.87,8.75,95.45,261.25, ,98.27,94.78,299.10,48.32,0.89,251.10,179.93,22.14,111.61,270.60,226.28,78.04, ,153.84,198.68,228.35,213.36,8.74,215.31,215.14,5.00,95.34,190.07,216.36, ,56.59,161.57,109.12,200.63, ,213.84,208.54,124.64,58.41,288.73,137.49,117.96,214.01,36.72,286.09, , ,9.67,32.07,72.59,193.17, ,107.01,273.67, ,95.58,253.29,281.35, ,99.31, ,12.62,6.28,223.08,169.21, , ,225.28, ,118.45, ,225.47,211.76,290.59,182.30,91.64,34.65,262.96,282.03,237.92
274.30,43.07,93.74, ,19.03, ,137.48,155.82,198.18,237.62,74.91,132.64,283.58,246.38,135.22,222.12,216.72,234.14,39.92,21.07,46.91,2.44,200.68,247.34,225.83,287.62,4.88,167.30,287.55,235.00,42.09,195.92,53.55,218.59, ,239.66,204.85, ,89.24,38.87,112.37,221.54,265.45,220.25, ,207.81, ,30.58,7.01,247.32, ,165.91, ,105.57,119.34,212.81, , ,245.16,216.39,144.29,93.12,14.59,272.35,157.89,249.53,229.42,225.45,62.76,200.46, ,19.80, ,228.39,276.18,62.95,40.24,74.41,271.79,141.37,50.02,247.07,164.15,196.40,162.46,169.08,127.48,82.73,5.26,232.86,184.66,174.01, , ,58.27,37.42
118.98,198.89,86.99,242.54,152.65, ,21.73,70.01,250.66,7.75,217.07,146.43,163.20,115.94,129.61,149.05,109.76,228.14,23.47,118.34,143.83,249.39,91.27,168.06,3.61,3.70,165.01,133.57,221.47,139.83,240.28,80.33,225.37,225.84,299.66, ,143.49,205.08,58.79,177.11,228.09,104.41,217.93,282.34, ,231.84,227.10,74.86,222.17,15.90,249.07,192.19,159.04,109.84,218.50,45.21,262.41,123.63, ,78.17,262.21,25.36,181.28,123.04,119.66,204.61,72.34,159.85,79.20,86.95,238.06,292.51,83.67,80.89,106.70, , ,113.25,117.10,211.21,183.24,63.41,298.53, ,158.38,87.22,199.81,115.99,27.02,104.75, ,299.59,13.22, ,126.47,110.37
212.88,4.25,113.93,242.27,100.11,62.54,278.58,221.85,283.42,167.84,66.53,87.76,35.21, ,161.68,94.55,290.26,286.93,259.00,176.27,179.15,271.22,255.50,288.32,216.98,217.91,3.73,92.90,275.12,278.81,245.99,119.49,218.43,170.26,185.46,86.10, ,57.32,278.95,119.40,207.86,246.94,60.33,5.91, ,174.52,298.78,107.12,56.77,224.70,202.98,273.56,174.76,46.40,275.96,125.25,245.15,251.93,242.17,164.06,0.76,30.90, ,138.02,215.86,42.51,66.55,116.45,27.42,102.03,89.43,158.51,84.46,46.35,282.53,106.68,185.89,10.56, ,148.58, ,12.15,63.10,198.41,134.34,293.02, ,82.45,117.61,160.14,223.23,140.50,209.43,294.26,130.72,59.04
182.93,291.46,42.36,127.08,204.50,214.94,12.01,216.54,174.27,287.58,179.44,205.86, ,200.12,78.96,202.61, ,181.86,191.42,119.88,146.13,71.42,165.24,58.46,213.05, , , ,37.91,236.08,276.95,270.34,216.02,114.18,54.81,70.19,283.78,125.16,160.12,173.40,244.68,156.60,113.65,207.62,85.94,278.34,279.90,118.80,121.63,74.69,96.87,155.46,233.58,88.80,166.85,37.25,217.38,288.93,251.08,182.59,40.24,99.90,109.60,216.07,151.67,107.66,135.65,29.19,243.74,162.93,80.20,222.12, ,211.04, ,107.59,82.12,72.12,167.98,100.72, ,252.40,220.61,210.46,230.14, ,48.14, ,128.33,160.18, ,71.23, ,178.81,264.09,137.84
194.63,246.83,132.52,53.49,100.18,236.86,243.64,78.45,2.41,129.08,32.70,233.81,147.89,252.94,139.27,258.09,110.35,12.57,104.15,296.00,30.01,234.64, ,13.09,299.60,189.00,252.57,96.00,2.83,92.73,47.90,72.90,293.87,94.37, ,160.43,286.30,165.60,164.09,234.03,162.39,113.02,106.48,120.58,270.78,39.01,77.11,158.49,216.40,253.28,218.28,85.89,4.16,125.52,114.28,92.27,213.47,1.25,173.24,266.22,151.04,229.62,227.76,87.06,224.41,297.31,154.05,47.28,34.69,26.46,232.36,125.63,24.01,165.78,248.71,41.27,137.23,27.90,58.99,209.15,155.29,126.10,289.67,167.55,46.19,173.32,12.74,124.38,125.84,234.00,122.16,174.30,246.16,24.38, ,233.53
172.45,114.67,129.66,49.35,34.24,27.34, , ,137.17,152.13,226.85,249.48,100.98,148.29,233.25, ,166.79,192.79, ,74.59,244.72,290.47,67.31,291.74,44.09,16.27, ,243.13,205.71,223.88,293.54, ,146.98,214.63,140.18,245.65,57.86, ,48.33, ,66.13, ,110.22,145.72,246.19,129.34,234.09,266.49,280.27,74.61,228.96,67.84,9.24,208.22,21.33,68.92,22.68,256.80,219.93,139.34,191.36,18.02,21.90,53.09, ,127.70,227.80,297.67,200.54,286.39,1.61,169.06,265.61,85.77,18.95,237.86,79.64,203.09,228.43,258.18,186.44,160.43,277.17,192.39,138.38,277.85,121.72,268.96,245.93,185.85,243.02,149.96,30.24,227.75,240.64,189.28
271.81,241.31, , ,126.69,12.49,186.17,251.45,221.54, ,107.38,152.89,12.22,261.33,103.30,5.91,109.28,261.04,74.30,66.78,36.72,220.50,299.12,92.71,276.24,64.12,152.36,14.71,92.55,229.85,196.03,185.08,68.75,164.29, , ,51.06,44.02,234.11,26.26,197.40,16.92,86.12,178.52, ,271.07,263.71,272.89,52.00,268.23,142.49, ,73.56,47.11,133.90,160.73,8.04, ,24.96,248.77, ,49.59,169.23,191.81,99.33,88.14,59.52,220.03,240.50, , ,111.17,268.83,27.21, ,189.86,49.66,196.06,188.23,117.04, ,153.18,107.26,191.54,227.57,37.58, ,70.73,216.34,124.51,264.99,218.26,103.20,293.49, ,181.72
32.78,139.40,10.40, ,201.95,54.86,151.04,118.68,78.61,159.55,223.25,4.49,279.40,109.43,106.96,154.61, ,51.00,243.91,16.47,263.35,126.05,280.95,95.55,127.59,62.27,53.83,35.20,166.20,4.78,249.86,293.69,87.89,250.05,106.10,102.99,96.43,46.33,278.02,280.10,272.45,136.32,229.17,221.62,14.41,234.46,256.34,144.51,272.85,76.03,61.07,148.41,108.07,234.88,36.61,191.70, ,28.02,186.52, ,281.89, ,216.36,139.69,22.73,117.37,259.95,178.36,44.73,247.04,270.74,276.07,224.83,143.06,20.47,152.38,11.47,160.78,244.54,72.34,184.39,84.56,86.03,283.32,298.78,70.22,263.49,155.24,31.41,141.16,27.88, ,39.35,190.08,4.42,39.52
74.94,56.25,15.26,202.60,17.95,216.24,96.45,142.71,293.93,125.93, ,119.47,208.23,265.18,183.77,214.92,230.66,211.72,159.41,52.54,248.84,221.66,281.95,79.02,178.11,92.64,88.91,299.02,91.46,172.55,119.93,130.70,231.62,200.53,273.30,96.46,138.57,158.45,202.31,87.22,157.50,4.33,91.97, ,183.43,116.12,87.47,289.36,135.21,38.59,5.07,22.71,130.23,85.67,243.14,37.97,180.64,27.88,9.80,70.63,298.77,51.90,90.33,224.30,73.04,151.78, ,174.49,84.79, ,35.54,114.13,182.01,291.33,121.84,241.12,194.37,79.20, ,169.53,250.43,60.59,246.85,167.88,144.02,36.66,288.21,49.15,77.13,53.05, ,54.18,58.22,168.03,194.84,6.95
144.58,242.97,48.87,225.78,225.69,206.88,166.65,209.85,179.14,281.41,119.53,94.31,284.16,15.16, ,22.11,1.07,4.35,173.00,284.74,11.70,250.10,29.85,82.26,231.25,239.63,155.55,191.73,259.38,48.45,10.56,199.75,194.69,70.60,290.11,110.91,218.54,174.22,113.12,206.60,292.50,141.79,121.45,181.35,187.60,219.21,0.36,209.79,23.07,262.74,35.74,15.00,134.67,202.66,145.70,292.16,255.49,286.26,167.49,157.79,97.40, ,97.77,163.03,219.04,255.56, ,29.21,133.44,136.44,111.66,145.37,120.34, ,106.60,105.27,35.60,71.60,113.60,8.57,162.19,120.05,159.83,146.95,132.66, ,168.77,225.63,226.32, ,164.11,292.83,126.76,129.74,141.04,67.73
219.96,77.22,47.66,39.23,44.10,205.44,40.66,213.21,254.26,169.82,111.74,87.74,191.07,136.86,160.81, ,80.77,258.94,182.17,160.01,240.09,282.23,72.57,140.89,264.42,297.19,211.81,170.53,50.91,287.17,248.82,264.74,26.27, ,208.45,10.38,59.76,267.47,114.85,128.33,242.06,239.41,140.21,195.38,150.15,277.69,232.21,197.90,195.72,112.17, ,122.55,1.00,56.88,279.69,116.76,276.58,161.32,185.36,196.82,110.71,153.57,112.42, ,74.22,63.35,22.91,8.94,5.60,169.20,153.45,110.79,180.30,236.68,41.31,78.55,7.96,70.75,71.17,293.60, ,56.96,35.42,40.72,67.15,16.94,67.94,171.97, ,27.91,282.68,277.23,286.41,19.98,37.02,150.93
236.55,87.58,198.86,9.05,216.28,63.54,291.47, , ,85.14, ,67.82,192.00,232.96,149.04, ,240.19,244.83,4.50,145.07,181.54,249.96,77.65,75.28,297.68,203.90,102.03,150.65,10.66,281.55,128.74,102.05,112.74, , ,79.30,20.60,244.86,58.66,284.05,91.63, ,295.53,160.67, ,209.25,194.91,12.69,162.48,92.58,161.63,92.45, ,113.05,73.85,260.44,67.65,187.98,153.02,113.94,297.70,222.94,224.07,135.24,276.23,40.31,111.62,43.90,207.55,254.32,240.55,77.75,9.14,57.59,149.25,175.84,200.69,269.49,212.53,72.48,54.72,140.20,191.35,218.88,41.05,80.30,87.96,289.81,123.79,259.26,218.93,119.99,233.88,244.38,194.22,35.16
129.66,115.27,59.45,119.91,207.35,82.10,58.27,92.42,119.31,155.11,186.78,157.87,64.58, , ,119.12,207.74,177.57,269.79,57.15,37.53,289.92,259.81,191.55,230.25,103.91,49.10,60.46,111.34,9.22,83.84,80.62,77.13, ,46.92,71.73,232.75,126.54,296.04,243.93,104.98,152.18,3.89,250.79,254.20,220.09,159.68, , ,125.56,165.84,266.64,9.10,273.80,251.78,10.38,18.12,150.50,5.69,13.17,65.26,32.32,299.98,33.79,43.25,184.62,31.83,146.65,50.65,176.58, ,186.95, ,2.31,278.71, ,291.87,268.29,296.81,259.22,287.43,232.07,257.04,178.60,287.81,158.95,96.11,198.55,59.51,285.37,285.67, , ,257.87,236.79,233.12
143.49,268.43,67.33,216.71, ,204.52,192.73, ,54.11,244.65,218.30,221.77,223.40,181.51,212.42,135.95, ,279.44,282.74, ,208.21,79.36,176.24,134.72,206.42,100.36,2.45,81.09,222.62,157.16, ,69.58,21.70, ,1.14,219.45,114.66,27.85,69.66,138.86,93.11,93.20, ,95.65,277.43,134.74,177.02,167.68,161.28,161.73,190.53,17.46,257.62,274.52,214.78,290.50,271.73,212.36,232.12,77.32,27.87,191.47,150.93, ,12.21,13.23,139.07,127.66,113.81,60.26,187.56,255.95,210.60,219.07,223.84,153.12,254.94,24.86,216.10,11.32,32.56,38.52,180.73,257.36, ,17.63,26.52,215.94,167.10,252.31,131.50,96.01, ,161.19,294.15,73.78
5.60,30.02,277.96,210.29, , ,252.95,75.78,81.22,76.56,61.32,120.38,115.47,75.03,75.03,53.95,74.66,255.14,103.67,15.43,168.43,63.22,86.01,30.84,248.00,156.10,126.85,250.04,61.76,218.98,94.26, ,168.92,240.73,136.16,289.04,42.27,213.33,295.77,194.49,0.33,19.10,128.75,259.69,57.34,290.05,79.02,179.72,295.48,221.56, ,210.60,36.55,195.09,116.14,94.69,247.74,298.24,225.33,217.10,51.18,286.45,280.89, ,228.83,245.47,76.55,60.99,276.30,253.39,297.49,271.19,148.55,274.87,293.10,23.05,19.88,275.95,205.79,90.20,170.31,285.02,275.42,5.16,227.36,128.21,159.35,201.47,167.17,113.85,145.05,149.77,61.81,130.10,51.10,102.23
