Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115,Col116,Col117,Col118,Col119,Col120,Col121,Col122,Col123,Col124,Col125,Col126,Col127,Col128,Col129,Col130,Col131,Col132,Col133
131.65,156.06,109.72,107.50, ,45.24,131.11, ,214.27,25.96,141.65,185.99, ,115.11,37.74,222.58,132.72,261.16,295.15,285.08,205.25,197.82,234.92,91.20,243.20, ,104.18,105.88, ,39.26, ,77.00,55.87,122.54,167.68,190.11,282.97,170.67,44.16,160.26,212.36,16.30,83.76,93.32,110.64,228.90,131.91,205.75,212.40,82.74,26.17,45.50,119.18,234.48,37.32,236.44,53.77,31.69,73.21,27.16,123.62,99.78,261.95,143.31,33.80,254.43,198.89,69.12,216.09,181.42, ,117.86,152.11,234.78,143.81,16.79,183.41,127.44, ,132.96,109.14,208.30,226.74,63.49,125.26,299.46,232.99, ,136.08,195.14,239.54,130.64,66.61,229.18,152.98,27.01,273.11,43.53,120.51,100.18,275.98,115.83,12.75,107.20,163.53,219.68,41.29,59.40,64.36,1.95,152.55,52.58, ,96.11,43.24,262.53, , ,275.44, , ,12.66,52.61,123.54,56.29,215.07,238.22,166.13, ,195.09,181.86,4.26,161.07
6.73,173.88,296.13,104.06,92.00,237.80,131.47,163.29,8.55,243.55,193.61,268.40,7.27,206.52,194.46,262.61,88.27,250.22,215.83,269.60,62.20,114.83,0.88,199.00,5.60,221.63,241.67,287.91,40.29,260.47,262.03,135.95,59.57,134.70,140.44,283.23,11.70,96.30, ,295.30,81.79,243.63,79.53,268.91,173.95,288.94,125.38,244.65, ,30.81,246.99,114.68,73.89,28.28,138.95,165.49,186.26,104.58,82.87,136.17,112.20,100.29,124.90,165.54,283.90, ,230.89,125.64,141.49,189.39,90.96,177.17,180.12,56.50,263.39,183.55, ,183.06, ,7.96,193.38,171.23,19.50,157.35,263.22,97.15,10.52,146.48,140.03,68.20,73.98,191.27, ,298.22,281.33,148.55,219.44,39.89,176.59,166.53,105.23,118.88,175.88,104.33,147.02, ,43.55,163.35, ,269.67,3.03,259.09,119.66,8.67,187.72,1.55,206.99,219.61,64.63,32.87,159.05,299.88,223.44,154.17,67.23,91.30,74.84,221.84,228.93,54.04, ,55.59, 
162.37,48.65,185.98,95.95,261.40,35.85,0.62,43.10,13.85,138.11, ,59.95,113.72,37.22,106.24,101.25,255.18,177.67,77.72,278.12,220.58,158.59, ,48.61,142.42, ,280.53,167.72,134.33,30.94,211.81,264.36,266.21,204.79,101.72,103.05, ,23.64,263.85,228.37,277.59,74.92,51.33,128.24,60.40, ,231.95,259.94,34.54,115.85,70.02,221.84, ,27.10,151.20,25.77,3.40,150.36,263.87,4.39, ,64.78,116.24,223.28,193.04,2.33,197.16,226.45,245.42,146.10, ,137.05,154.62,171.25, ,135.13,223.16,200.16,129.04,284.68,92.58,10.14,186.60,167.26,26.30,36.90,254.80,9.46,266.57,293.95,68.69,178.21,56.32,279.81,94.77, , ,142.20,282.26,155.12,141.86,262.19,53.83,290.71,39.69,213.20,228.83,162.73,273.75, ,253.56,280.18,42.09,60.25,149.80,145.04, ,26.46, ,80.30,100.39,218.20,56.79,286.49,114.57,12.44,278.94,138.03,184.04, ,244.28,276.46,15.06
264.25,237.29,121.82,174.32, ,231.98,285.83,60.88,12.01,134.02,39.32,250.08, ,76.74,22.19,200.98,28.98,78.78,239.16,82.06,166.01,45.47,101.89,249.09,275.96,36.31,61.73,216.99,160.52,152.72,46.94,219.97,218.94,42.19,199.34,271.59,240.31,253.55,281.00,244.49,225.05,223.86,289.16,271.85,134.58,32.39,178.28,257.44,251.10, ,150.45,226.91,64.21,169.34,224.95,50.90,297.03,105.77,20.85,255.65,81.20,202.92,258.51,220.17,106.38,11.05, ,237.95,107.91,41.97,106.87, ,288.77,296.91,94.78,41.16,188.29,130.66, ,89.17,5.25,52.88,155.95,268.75,182.34,275.81,290.97,38.26, ,149.23,166.00,270.85,294.44,29.51,250.36, ,196.86,59.17,44.89,259.46,9.01,90.30,66.10,67.51,37.46,253.59,4.96,261.40,192.04,241.63,70.91,231.41,176.07,217.51,205.69,234.61,18.77,199.54,106.18,189.22,106.01,134.19,40.40,23.08,216.14,249.58, ,181.00,197.01,172.34,77.27,52.58,68.08
191.52,183.66,42.16,264.57,161.50,225.37,98.61, , ,107.40,84.26, ,281.27,287.46,237.25,151.82,104.85,120.75,112.96,299.95,243.87,1.76,110.29,118.02,132.09,75.51,265.61,107.50,223.88,46.12,131.72,90.36,127.24,194.36, ,194.31, ,79.23,153.69,41.08,157.63,153.06, , ,297.04,65.55, ,111.67, ,9.62,136.30,83.51,77.06,224.97,108.21,239.75,193.71,233.62,154.01, ,19.56,281.50,270.90,60.62,284.46,92.19,96.65,240.37,6.10, ,163.63,56.47,284.42,84.22,1.52,4.73,257.80,267.49,180.98,11.04,154.37,55.74,68.04,251.61,290.89,247.62,188.43,257.91,254.27,90.90,280.37, ,238.16,209.26,186.68,199.62,233.54,205.98,239.05, ,134.40,62.30,36.19, ,294.10,40.38,214.47,16.60,237.93,15.80,143.34,226.36,52.72,213.97,104.67,149.47,287.42,63.36,67.33,155.56,137.67,97.66,192.10,62.23,69.02,277.22,280.52,255.32,63.47, ,168.15,141.41, 
172.55,79.17,246.67,1.31,130.68,136.47,213.23,152.81,276.73,194.61, ,149.92,97.08,282.43,41.51, ,51.23,67.02,236.28,65.14,98.02,36.55,218.59,133.19,232.02,201.43, ,235.04,57.66, ,40.10,37.27,131.80,160.34,218.90,212.50,34.20,179.85,245.01,20.52,169.84, ,71.27,255.29,55.73,38.43, ,35.79,216.99, ,77.33,96.15,278.91,208.14,260.03,234.44, ,12.64,251.95,299.58,156.05,86.85,44.33,222.06,227.08,247.70,216.39,200.47,293.01,298.46,240.69,216.88,276.75,227.47,130.28,259.82,232.95,155.34,185.00,57.39,216.46,216.41,19.19,223.17,97.54, ,38.23, ,37.39,141.03,104.43,191.91,257.64,110.92,102.13,190.38,108.00,164.60,239.68,141.30,195.99,84.48,277.06,102.14,159.20,279.30,214.48,27.88,296.06, ,98.19,175.48,242.73,122.30,221.99,108.44,202.07,169.32, ,152.78,38.78,138.01,275.60,189.29,224.62,142.28,283.54,85.19,219.74,63.54,289.49, ,74.32
42.59,64.40,96.42,105.70,97.24,84.00,13.07,74.36,229.76,181.96,69.27,126.50,186.73,126.26, ,200.58,51.29,292.46,240.64,223.91,48.94,133.03, ,220.51,259.17,257.11,57.03,264.32,163.14,196.92,107.41,189.98,256.92,27.94,274.83, ,23.86,46.73,227.25,77.40,66.65,157.39,284.70,172.10,46.91,65.16,130.57,226.28,227.70,193.98,235.31,1.87,202.18,116.07,156.08,29.71,121.13,130.52,70.87,274.06,25.77, ,156.34,80.38,237.71,216.37,276.16,242.41,292.17,51.40,147.09,151.31,66.00,200.34, , ,145.89,228.73,81.16,195.11,107.47,202.39,73.36,113.83,113.89, ,165.30,153.86,78.90,176.16,124.02, ,26.98,153.67,78.98,40.80,96.37,106.92,172.11,177.32,196.04,91.94,156.51,56.67, ,280.36, ,104.38, ,131.37,296.01,163.68,127.88,27.21,244.69,148.26,203.29,21.01,226.13,51.02,280.50,44.09,160.55,65.24,102.16,136.07,283.69,29.01,137.53,87.71, ,235.97,285.48
228.20,296.30,231.01,132.53, ,93.38,245.87,160.64,55.22, , ,296.47,150.48,231.43,216.22,174.16,299.10,51.61, ,203.63,182.58,58.83,129.54, ,288.16, ,43.39,8.75,21.90,232.77,115.39,72.11,45.11,128.11,247.13,230.05,117.32,186.92,281.26,44.23,4.62,258.31,98.39,130.30,151.01,276.19,234.04, ,279.15,223.51,190.96,198.64,48.04,228.64,292.54,268.41,249.72, ,297.73,13.66,260.06,191.11,131.07,284.56,104.30,149.98,119.35,271.53,128.74,89.71,275.34,21.33,284.53,110.25,202.47,110.29,288.58, ,119.65,83.35, ,11.74,3.74,276.80,292.16,258.08,158.46,116.67,297.07,242.50,83.46,231.23,7.50,195.16,39.46,189.64,252.57, ,256.31,258.49, ,64.03,106.50,123.08, ,120.15,44.79,107.84,158.70,197.26, ,3.55,218.45,203.56,94.57,127.33,143.73,151.68,248.57,130.25,181.36,191.81,277.33,13.57,277.99,64.36,211.90,174.49,261.11,1.37, ,128.70,107.03
34.41,136.18,145.04,173.94,99.66,54.92,93.24,196.92,286.37, ,54.28,150.65,205.96,71.07,280.72,276.28,288.20,4.51,136.11,154.72,12.01,268.61, ,190.62,136.04,81.30,231.27, , ,115.18,17.73,139.72,260.72,259.72,12.55,87.90,95.22,236.92,270.20,57.26,295.75,37.80,49.63,286.26,215.73,215.60,85.87,204.98,63.36,298.37,105.20,0.83,87.86,230.04,105.62,218.87, ,256.67,230.22,164.68,141.48,202.43,51.99,279.92,21.11,96.95,249.81,97.86,271.07, ,29.13,67.57, , ,204.67,178.39,285.70,271.90,67.65,3.81,26.75,46.51,199.32,121.17,241.40,53.61, ,82.74,119.23,60.86,235.42,245.78,167.58, ,119.40,84.57,204.04,225.59,282.69, ,103.86,35.50,261.06,126.93,130.77,74.55,13.56,73.50,75.80,70.34, ,248.99,183.70,9.43,103.58,234.20,95.98,233.18, ,245.70, ,76.46,221.05,257.88,41.59,6.82,287.56,43.16,18.46,89.58,36.15, ,270.34
115.99,24.02,214.69,285.38,46.18,282.25, ,213.27,104.80,38.52,40.44, ,58.90,118.49,44.69,106.80,102.48,127.01, ,41.70,195.39, , ,85.14,12.67,212.49,218.50,209.83, ,238.75,41.23,104.64,68.88,100.94,134.23,297.85,269.65, ,72.55, ,157.69,77.39,5.59,74.59,104.70,289.28, ,30.51,156.01, , ,217.36,201.69,38.77,114.96,185.56,69.28,45.20,27.68,167.96,275.90,27.25,113.84,60.80,171.38,260.77,284.27,81.86,23.45, ,138.41,17.46, , , ,185.11,272.42,217.98,177.63,257.75, ,18.55,187.31, ,228.25,274.73,105.59,130.73, ,84.19,162.51,222.68,292.03,206.05,136.09,222.73, ,214.21,130.66,284.55,146.63,285.66,222.90,119.54,28.73,137.81,118.64,206.35,236.77,258.32,260.55, , , ,118.81,55.46,123.67,15.47,107.14,259.36,256.38,227.12,150.79,31.15,117.14,32.29,41.73,202.16,218.77,79.22,83.15,206.42,256.16
243.27,58.72,261.69,215.61,227.61,99.61,161.93,42.17,158.36,208.39,238.31,4.55,164.73,152.21,294.51,293.03,171.68, ,133.37,56.02,294.47,121.80, ,38.55, ,196.91,86.96,17.60,261.98,78.84,187.34,44.18,143.02,167.39,122.37, ,178.39,256.10,144.74, ,183.29,163.74,283.99,37.63,164.82,36.72,49.29, ,93.48,236.67,87.16,197.81,93.07,110.86,77.02,258.49,138.90,225.93,147.20,256.74,41.45,185.51,5.65,78.76,29.35, ,116.51,72.37,239.94, ,289.11,270.90,287.78,110.81,28.90,90.34,106.80,242.00,116.91,101.89,46.77, ,221.33,57.96,152.18,142.28,287.01,138.37,55.65,45.43,277.08,59.70,110.24,204.72,8.41,204.45,199.13,115.17,283.45,114.16,171.03,3.10,24.31,92.66,89.65,49.33,141.54,29.44,0.53,54.34,86.52,213.01,294.49,106.10,201.30,113.56,176.70,230.37,258.14,280.98,161.12,114.50, ,143.95,139.87,8.79,164.63,61.81,262.07,256.38,291.29,53.56,53.35
293.99,128.36,235.34,178.14,290.64,104.99,135.24,212.70,93.66,111.61,227.60, ,183.99,236.75,67.24,113.98,294.37,65.82,3.68,189.52, ,70.32,67.19,19.17,49.60, ,161.21,284.81,213.76, ,150.51,15.81,43.41,145.25, ,156.63,261.05,84.75,116.48,260.84,178.24,71.65,297.93,259.37,167.75,151.55,23.63,132.14,124.39,19.77,104.51,51.56,222.56,259.21, ,220.04,173.62,132.75,158.69, ,141.44,297.18,49.69,73.96,195.33,267.24,134.49,91.51,137.31,22.37,53.12, , ,191.37,246.97,36.01,180.11,245.94,170.42,198.10,177.46,142.73,8.53,216.46,163.27,114.11,150.28,203.39,281.45,44.15,150.82,241.00,257.59, ,128.02,106.31,60.04,215.13,208.27,121.21,55.63,122.42,25.25,144.67,271.11,236.23,90.25,140.53,273.97,29.40, ,135.71,270.09, ,174.84, ,296.05,37.50,74.44, , ,123.44, , ,24.57,153.12,75.26,14.93,3.71,12.79,291.30,174.87,157.72
62.69,70.61,24.79,78.97,209.14,9.41, ,33.98,118.40, ,92.71,57.06,206.78,235.84,52.73,278.90,229.30,64.22,141.79,144.96,10.07,123.17,298.44,53.46,206.85,131.84, ,188.90,125.04,31.81,11.47,2.02, ,43.61,71.73,75.16, ,85.23,229.34,269.21,158.17, ,286.57,224.21,167.45, ,126.20,52.99,194.52,59.60,98.62,38.07,120.91,90.20,225.53,10.85,37.34,41.46,155.60,186.19,187.47,90.30,258.38,151.35,198.30,119.25,256.69,280.95,112.07,283.74,90.69,232.33,163.61,90.01,293.81,79.64,182.59,194.95, ,46.30,211.54,113.12, ,270.44,291.54,260.56,120.10,269.86,179.27,26.23,152.69, ,232.33,128.07,96.27,115.52,262.91, ,76.04,13.75,124.93, ,85.48,249.08,250.43,16.00,27.74,236.59,230.76,249.09,271.21,27.87,187.94,113.79,66.82,1.50,174.24, ,259.72,191.37,237.78,112.44,220.62, ,268.40,127.21,87.31,262.86, ,150.79,298.94,172.80,140.05
222.49,228.38,134.19,278.65,12.63,93.66,188.81,201.65,179.15,4.60,81.99,162.72,225.76,71.32,209.91,84.65,58.21,14.61,132.78,264.38,84.35,78.67, ,280.31,289.12,195.06,181.43,129.41,240.61,185.54,200.98,123.82, ,136.85,47.53,41.24,115.05,69.95,98.76,174.03,169.05,184.27,154.90,265.15,139.73, ,178.89,251.57,190.58,139.56,154.22,279.81,224.24,236.07,204.17, ,193.38,265.46,120.78,276.76,89.48,42.15,295.38,195.70,89.93,137.64,156.60,8.32, ,113.72,289.03,74.79,211.27,246.48,180.62,265.68,156.32,8.70,77.54,296.15,297.98,213.26,155.15,34.80, ,148.52,20.20,211.47,77.68,247.70, ,14.54,118.47,114.43,271.30,35.22,267.60,266.00,59.69,40.95,299.02,243.01,92.32,47.16,187.10,41.24,170.38,285.96,226.63,116.03,292.37,165.39,184.46,140.82, ,181.77,251.55,281.65,46.20, ,139.74, ,180.97,23.25,217.84,163.37,128.14,10.60,226.69,163.86,111.38,10.60,146.66
247.03, ,293.23,183.81, ,36.68,129.44,250.68,72.04,65.50,175.35,179.58,46.66,160.11,151.46,151.18,132.87,126.42,91.44,66.08,243.37,238.33,162.70,120.09,3.05,134.93,261.69,280.43,57.95,166.39,11.24,207.53,115.78,26.38,79.75,131.61,195.23,95.94,258.95, ,262.00,127.60,63.30,120.83,200.07, ,109.48,255.61,116.72,50.95,278.61,235.57,153.83, , , ,139.11,181.41,267.40,241.51,151.12,102.35,23.70,160.67,296.01,113.02,228.63,46.01,191.69,213.17,36.40,211.23,28.73,276.63,101.65,26.83,280.48,3.97,169.58,0.47,42.32,232.98,69.61,30.29,135.23,283.79,106.40,47.15,287.65,131.26,241.92,42.08,287.27,226.57,210.68,22.43,40.53,223.96, ,254.25,69.64,55.22,4.12,288.43,237.89,270.51,254.14,69.27, ,115.32,272.72,30.15,279.00,250.57,180.82,157.21,254.62,7.47,59.04,184.33,195.60, ,222.79,297.40,27.22,107.38,85.98,160.48,112.38, ,15.35,216.67,64.22
