Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97
253.89,163.56,137.03,294.60,225.10,131.71,185.87,246.76,122.91,102.82,129.55,60.10,37.75,84.34,103.47,88.19,39.00,46.25,30.30,157.08,44.73,105.82,230.43,237.28,276.89,158.01,196.87, ,234.61,158.06,281.42,194.53,254.84,85.04,176.58,287.95, , ,237.80, ,290.38,260.52,78.60,73.70, ,147.42,214.60,16.42,221.33,234.81,57.23,7.04,145.74,65.80,271.74,117.58,293.98,139.43,234.67,34.95,294.61,120.20,187.84,105.23,47.57,285.34,59.88, ,205.62,104.40,259.11,39.55,101.98,277.46,130.29,98.17,230.04, ,139.25,297.24,277.55,284.51,149.60,255.28,250.01, ,171.99,100.60,39.79,107.16,265.81,252.68,277.87,44.51,21.96,135.73,190.44
250.95,30.14,108.62,245.35,210.95,253.04,28.88,214.14,10.09, ,262.76,51.37,288.44,167.44,25.58,91.77,84.83,236.26,53.73,25.52,65.55,58.04,171.73,291.24,60.96,81.27,115.11,169.20,22.49,4.88,170.52,254.19,41.76,35.51,45.05,200.49,203.88,187.71,9.41,83.39,50.14,94.10,297.29,268.81,299.95,67.85,70.34,125.81,212.49,207.60,222.35, ,126.23,255.86,76.02,285.24,184.95,240.49,147.19,19.02,203.74,234.82,63.05,200.02,169.36,82.75,283.70, ,109.93,150.90, ,285.71, , ,146.91,220.87,24.16,161.06,232.59,2.11,52.74,170.80,263.47,49.00,144.39,57.10,94.95,135.32,65.89,251.32,135.55,206.89, ,67.95,44.65,89.72,216.57
 ,138.67,164.64,202.49,131.72,110.87,28.46,7.32,261.38,7.15,130.82,256.64,281.98,287.54,133.97,62.38, ,201.05,103.56,283.62,220.44,223.47,271.67,154.42,131.03,73.16,243.87,184.60,269.18,174.30,62.82,177.37,141.05, ,244.61,253.41,87.58,280.68,168.28,89.10,281.37,7.46,146.03,93.93,263.84,207.08,85.61,256.19,250.26,244.03,201.75,252.08,94.05,224.01,83.09,196.63, ,204.10,61.29, ,94.08,90.51,241.42,110.37,150.37,232.23,255.50,291.84,123.31, ,47.32,223.42,244.86,275.69,261.67, ,29.39,210.31,132.21,296.02,49.34,3.20,240.79,115.54,166.27,18.52,286.17,230.03,11.62, ,160.58,59.27, ,190.32,28.88,270.33,265.11
171.28,1.23,227.01,44.69,55.62,99.89,129.96,88.39,247.84, ,127.42,210.45,60.28,65.28,299.37,47.93,261.45,20.26,243.26,118.20,192.65,136.44, ,166.36,152.96,133.51,241.62,65.56,63.74,43.29,93.97,194.48,94.91, ,168.42,270.30,190.52,168.03,97.39,193.31,32.37,253.73,249.13,253.03,20.93,270.43,141.61,61.96,198.80,87.88,126.66,53.83,221.13,44.13,101.27,138.73,244.95,21.11,49.66,121.22,21.78,238.08,195.55,118.00,272.72,161.56,264.06,116.55,137.26, ,238.54, ,72.18,134.90,237.15,67.44,255.16,150.02,252.60,193.27,139.92,276.48, ,240.54, ,125.73,242.59,292.68,71.87,83.77,158.14,91.34,79.29,14.80,239.73,274.88,38.00
298.98,116.28,255.01,46.25,87.30,110.17,29.55,144.83,88.81,134.24,228.56,226.64,142.84,210.75,299.36,232.52,263.22,262.69,81.96,298.97,297.78,249.24,291.19,140.65,97.06,260.14,188.42,268.96, ,179.71,52.51, ,50.86, ,13.55,212.24,8.88,20.28,30.75,109.21,188.26,221.89,149.35, ,36.13,82.82,96.17,141.80,13.27,16.30,206.21,55.80,35.08,248.98,168.06,262.32, ,151.52, ,0.87,99.57, ,182.38,174.90,268.08,127.45,115.83,66.94,26.81,177.11,244.62,32.17,292.54, ,144.06,174.06,102.09,181.93,156.01,55.72,276.29,97.63,271.07,203.96,95.45,290.22, ,20.44,85.43, ,211.50,256.59,1.97,59.18,239.50,192.11,185.37
150.46,5.42,51.64,234.64,108.98,106.65,245.31,38.64,115.14,115.33,35.69,130.42,1.19,10.05,65.14,61.69,178.43,37.14,276.49,77.17,196.65,38.67,282.18,100.25,27.44,169.06,32.87,158.00,69.41,227.35,63.48,50.15,56.15,171.98,59.07,118.10,132.96,97.68,234.08,212.47,113.50,24.65,81.02, ,150.43,107.77,114.18,35.12,152.96,228.07,181.48, ,137.21,160.48,125.34,132.81,56.08,119.35, ,200.37,273.10, ,80.87,128.27,70.90,30.65,112.43,74.79,219.95,299.85,146.88,174.98,162.99,226.00, ,18.68, ,291.78,289.28,269.29, , ,1.91,233.49,197.22,104.00,220.27,197.59, ,72.57,92.02, ,74.37,291.53,290.62,190.60,55.96
97.45,200.08,287.27,213.71,141.86,1.67,121.55,129.29,271.83,142.60,148.98, , ,174.05,123.82,261.43,224.55,186.07,158.24,258.21, ,100.07,59.51,211.20,291.49,230.61,104.38,16.60, ,157.11,178.50,260.05,160.70,198.81,9.23,220.12,129.00,67.51,37.46,129.85,221.20,226.84,196.01,105.42,29.89,112.76,243.46,48.33,257.40,150.93,4.19,234.06, ,1.57,86.47,181.70,152.48,9.54,169.35,46.72,172.35,199.46,252.71,129.07,229.67,207.80,80.40,130.37,27.85,265.44,63.22,197.01,120.47,157.00,49.01,76.52,212.98,2.10,248.26,222.55,207.39, ,287.79,204.60,137.04,166.83,99.76,148.37,134.43, ,124.25,76.17,25.29,176.75,154.83,158.57,2.94
207.73,53.75,281.78,153.96,121.96,118.07,253.68,270.36,5.97,112.53,295.38,71.29,165.22, ,23.79,0.09,211.24, ,228.16,98.64,77.36,187.43,56.53,28.95,149.70,121.50,117.07, ,188.36,265.27,286.16,117.99, ,29.23,222.32,122.55,39.50,241.57,95.33,68.03,24.99,159.20,179.96,263.37,164.62,245.29,238.54,97.10,13.17, , ,83.72,256.46,10.73,50.16,196.14,230.34,35.93,67.63,65.80,195.91,283.39,209.53, ,6.64,88.72,135.00,216.69,280.69,256.56,90.08,74.86,292.96,244.20,63.63,148.29,56.00,78.02,288.25,272.74,146.65,127.86,85.69,227.48,84.48,245.10,246.66,82.83,15.96,22.11,187.12,174.22,249.12,140.31,252.18,232.26,174.53
80.48,104.67, ,189.15,271.69,138.66,146.54,7.61,100.39,60.69,261.43,219.91,144.13,165.85,89.54, ,149.65,91.92, ,118.51,245.13,207.18,81.85, ,89.46,262.45,287.99,138.10,153.16,135.93,217.61,99.98,224.82,227.47,203.96,135.25,225.72,254.62,7.30, ,96.77, ,273.43, ,111.53,220.44,51.35,80.90,30.85,69.27,190.67,184.44,221.26,96.99,186.49, ,194.82,250.77,112.10,54.08,35.74,99.81,20.85,279.93,61.54,234.57,133.79,226.46, ,158.33,88.54,208.54,239.64,193.32,298.70,124.18, ,93.68,52.29,8.57, ,70.11,214.39,109.14,38.59,176.81,216.23,241.74,207.90,11.37,251.47,218.75,188.16,169.33,124.31,174.62,263.67
 ,178.07,241.02,95.46,289.85,271.44,234.12,163.10,107.58,66.97,183.07,5.82,11.95,79.40,46.49,259.47,67.81,48.09,250.57,64.04,135.93,195.61,131.69,185.54, ,252.51,206.11,62.76,107.08,240.60,281.11,62.34,244.34,20.42,150.44,17.21,299.89,286.46,184.38, ,123.66,207.98,274.31,243.35,110.19,76.11,159.09, ,131.42,175.27,150.16,15.80,116.55,220.06,85.62,148.19,228.10,249.08,190.70, ,26.21,230.02,275.44,54.96, , ,126.10,102.10, ,269.47, ,189.53,189.50,219.56,222.06,179.67,26.65,82.80,194.23, ,169.67,210.13,22.48,246.61,264.18,183.04,66.77,123.19,176.41,57.69,39.22,286.67,220.28,152.77,12.76,128.31,267.54
 ,290.02,249.55,164.71,267.92,114.73,221.55,131.25,10.55, ,204.19,147.90,43.45,97.61,166.27,238.64,264.37, ,164.90,208.70,239.09,127.97,131.45,6.67,88.22,200.96,221.41,14.04,169.35,143.50,180.97,164.20,33.80,138.60,296.90,228.30,223.91,289.80, ,296.47, ,13.70,60.15,44.93,281.00,88.90,139.83,193.92,284.65, ,123.25,106.71,54.72,94.45,32.50,216.78,167.88,42.66,170.94,131.84,258.77,34.03,185.94,277.19,288.56,299.77,31.33,282.34, , ,197.05,226.59,210.64,224.62,181.38,231.07,40.70, ,74.74,245.26,250.29,67.20,134.99,186.53,161.34,90.64,169.63,164.72,182.94,208.09,140.57, ,153.78,257.16,119.09,158.37,180.56
264.93,128.58,222.29,5.27,160.69,64.51,108.11,15.95,256.06,207.86,219.51, ,176.66,123.17,133.12,287.48,285.84,255.29,245.53,135.05,186.04,204.91,186.55,34.99,208.95,161.70,106.69,172.75, ,295.92,31.21,77.76, ,101.00,132.45,138.56,186.93,45.94, ,232.49,78.63,253.67,48.04,72.50, ,55.85,291.01,200.70,223.90, ,24.90,142.97,10.39,258.36,156.42,78.63,94.92,275.25,123.06,170.93,294.68,251.41,157.03,64.87,21.44,175.39,295.33,117.76,128.84,40.71,126.32,74.17,276.59,269.82,72.72,295.21,6.77,231.57,44.17,28.66,119.93,111.94,222.41,120.98,5.82,36.51,281.03,53.37,160.11,57.26,163.95,0.24,299.10,34.50,228.25,108.87,267.22
 ,189.63,284.43,156.34,277.40,127.15,41.86,248.20,142.02,229.00,181.27,193.60,134.21,41.33, ,89.52,266.54,54.23,237.39,273.40,272.52,210.66, ,295.42,68.79,189.85,31.94,97.50,184.21,162.40,129.09,15.05,174.68,47.92,205.40,265.14,15.56,199.57,230.76,84.98,32.43,297.33,45.96,289.91, ,152.32,155.63,170.75, ,138.76,226.87,240.29,33.08,119.03,32.02,127.64,49.34,91.83,224.45,141.50,67.95, ,223.65,127.13,173.00,233.16,289.13,10.54,10.41,0.18,298.41,70.71,99.31,207.24,155.23,287.47,112.98,136.27,179.19, ,52.19,64.18,14.79,132.98,51.92,196.11,97.77, , ,45.39,120.42,151.70,178.84,278.43,57.56,213.54,146.08
46.62,88.16,251.76,257.35,20.50,298.66,99.54,31.45,60.82,36.29,17.33,133.82,249.47,10.81,212.34,128.73,67.15,20.37,138.04,22.59,131.17,276.81,85.60,75.64,160.14,58.95, ,192.76,276.52,184.04,296.48,268.26,108.07, ,126.98,253.52,181.74,170.82,15.41,166.81,102.85,202.98,204.42,54.56,206.55,261.68,135.18,14.34,110.68,66.43,222.70, ,104.43,258.05,120.07,129.79,17.32,114.10,61.16,233.67,250.68,100.49,207.55,11.09,213.78,64.61,133.29,238.67,189.22,200.70,111.20,220.42,187.23,7.63, ,241.30,29.33,187.69,221.22,37.17,204.57,284.00,81.05,294.68,257.79,219.46,2.60,187.50,137.18,138.74,0.66, ,29.99,60.47,14.93,93.24,255.83
218.32,122.05,6.51,244.67,60.28,200.50,99.25,147.41,170.36,21.93,105.77,44.11,107.99,217.49,293.35,242.23,185.15,198.56,205.08, ,265.36,290.07,154.24,123.00,192.04,197.44,161.76,186.55,57.35,245.49,238.94,200.80, ,265.07,195.62,192.41,135.52,275.27,101.63,234.11,189.00,174.57,151.86,217.99,181.28,125.34, ,244.15,253.13,5.73,143.74,194.71,11.41,104.20,243.73,56.63,290.15,95.44,198.60,239.58,100.65,203.79,205.68, ,158.81,286.89,239.79,55.83,174.19,172.91,141.66,53.33,264.21,157.97,298.66, ,77.11,28.54,118.51,128.84,93.03,86.57,164.68, , ,123.54,106.31, ,80.37,112.10,273.64,30.38,47.42,49.42,284.31,43.92,159.17
11.56,230.17,248.75, ,182.15,183.59,123.29,68.83,45.26,270.51,143.79,62.74,292.23, ,22.55,2.39,175.68,265.79,279.66,285.36,96.68,138.93,111.71,153.96, ,267.37,132.68,21.90,210.72,183.58,36.68,296.97,91.35,184.19,290.58,182.56,195.40,84.85, ,156.95,91.25,101.88,106.98,192.23,123.77,185.98,243.05,115.32,193.00,45.65,116.81,272.74,39.78, ,20.32,4.53,217.64,256.69,85.81,280.21,293.50,274.19,129.62,227.17,268.83,36.72,170.22,31.77,220.87,80.54,1.87,96.00,63.90,7.49,222.43,237.91,174.26,27.78,287.93,294.95,8.36,15.78, , ,111.53,223.03,74.81,277.13,144.41,223.51, ,145.94,128.64,13.86, ,17.73,44.60
285.42,44.35,231.55,48.75,90.73, ,165.55,212.28,41.09,259.86,144.04,32.58,167.67,13.41, ,42.06,76.85,54.89,28.68,78.31,29.52,49.21,34.59, ,70.95,130.25,179.97, ,212.55,4.29,260.38,23.16,263.53,29.92,221.22,4.86,136.03,168.58,299.04,131.14,274.12,6.24,298.09, ,210.64,145.84,187.88, ,190.32,292.79,89.40, , ,213.53,128.64,0.12,285.28,3.67,249.37,264.34,290.45,158.10,251.73,105.83,220.50,130.16,216.39,127.30, ,40.83,142.47,10.22,108.23,273.82,90.85,31.98,274.18,196.41,89.61,297.97,144.63,278.95,210.51,185.22,212.33,115.84,48.99,24.94, ,298.77,58.39, ,96.70,94.72,148.82,217.24,33.12
140.91,119.79,210.57,157.15,231.06,177.70,99.06,137.28,201.41,124.99,18.98,140.60,214.79,298.03,136.22,193.90,43.22,28.55, ,185.70,249.76,254.39, , ,67.09,58.44,149.33,148.21, ,261.90,72.38,117.85,291.08,185.73,25.43, , ,99.98,293.89,19.17,216.42,290.80,234.63,90.10,268.24,259.94,146.94,190.07,240.92,276.53,215.44,40.93, ,140.91,39.99,287.47,15.99,254.50,98.30,46.86,42.77,235.22,54.92,162.99, ,44.14,35.12,298.21, ,44.31,131.42,16.53,48.01,282.55,289.29,77.04,56.13,244.13,92.73,258.90,18.77,299.87, ,259.46,278.54,57.54,253.99, ,72.87,244.56,192.36,136.27,270.00,89.22,183.76,213.19,137.67
10.03,246.97, ,260.19,219.56,86.55,159.58,246.42,243.15,241.79,138.12,147.00, ,61.13,182.36,56.95,206.28,157.57,279.49,113.44,174.12,257.10, ,255.68,40.19,295.94, ,134.06,222.82,193.59,78.87,258.28,95.98,202.79,17.80,208.11,52.83,262.42,129.90,265.61,293.37,119.94, ,254.00,163.10,62.12,197.45,105.33,234.05,236.07, , ,95.70, ,177.93,181.11,34.53,131.83,11.17,3.25,205.77,114.54,233.90,221.81,66.92, ,36.80, ,24.49,289.30,180.69,224.77,175.06, ,6.89,219.70,290.46,164.44,285.69,96.14,110.60,14.20,174.11,256.84,75.48,57.00,147.03,143.67,99.29, , ,90.19,64.85,208.21,242.89,118.08,141.17
207.12,294.37,206.37,148.94,217.55,200.75,130.17,273.40,147.41,35.65,127.81,18.25,29.79,229.92,0.16,76.56,226.46,288.51,22.14, ,239.68, ,4.25,59.86,103.03,68.40, ,196.22,163.11,268.97,162.15,124.40,193.40,159.71,20.20,286.47,107.22,201.05,230.40,182.51,177.64, ,16.31,172.67,97.74,224.46, ,41.30,200.31,78.08,199.03,52.55,255.94,111.64, ,42.04,164.93,109.23,226.55,189.34,81.03,204.13,209.06,46.79,71.51, ,131.53,131.80,66.00,43.86,244.72,219.68,191.21, ,145.92,111.09,195.55,22.34,197.61,270.89,186.84,225.88,173.93,52.17,172.39,101.87, ,128.15,260.94,139.49,165.28,57.57, , ,222.87,147.31, 
91.72,244.34,261.47,123.99, ,296.38,278.15,238.17,16.13,125.66,145.59, ,203.17,222.81,114.35,0.18,55.80,9.72, ,271.20,233.49,294.68,138.39,276.29,79.12,275.66,148.05,195.72, ,87.19,177.29, ,177.47,71.97,179.88,78.86, ,12.35,185.18,274.30,218.51,237.12,26.52,58.98,37.62,172.21,160.78,26.35,226.97,248.91,76.37,275.20,211.51,63.37,229.77,254.69,88.52,59.21,33.71,262.82,116.67,196.14,184.52,154.39,118.98,7.83,124.32, ,35.83,186.17,200.34, ,48.62,279.02,127.40,226.02,84.07,225.25,20.13,202.69,221.27,277.83,217.03,212.13,137.98,226.01,83.04,57.71,162.21,239.49,49.47,79.84,208.20,113.75, ,16.45, 
38.12,265.24,182.82,295.00,60.07, ,143.11,49.00,233.08,214.26,135.20,2.54,287.97,82.49,122.51,19.14,137.06,123.89, ,1.26, ,61.32,294.73,79.10,179.20,129.46,234.88,173.23, ,161.19,15.90,67.56,96.63,251.90, ,44.12, ,131.33,112.67,177.24,218.67,196.30,50.43,165.73,162.98,248.49,48.20,101.65,79.22,41.96,94.73,75.23,143.40,156.33,46.13,273.17, , , ,4.97,61.37, ,164.52,46.37,232.93,28.47,46.31,43.26,162.48,114.85,25.06,261.94,4.75,35.99,104.58,264.27,293.01,286.00,252.86,70.24,180.39,197.94,169.13,67.73,59.70,37.48,153.75,155.96,234.54,117.80,123.59,2.91,66.38,274.14,21.27,205.04,143.09
 ,12.22,196.08,103.89, ,188.65,80.74,90.91,236.56,54.39,290.77,176.76,46.20,76.40,195.27,269.12,84.43,50.58,293.56,232.50,175.73,4.62,165.75,271.75,4.24,162.46,83.44,52.17,190.11,197.10,110.02,123.74,263.69,23.06,268.74,29.46, ,34.08,242.45,72.70, ,98.84,128.87,246.44,11.91,9.62,221.93,75.22,14.08,219.99,296.16,292.69,33.19, ,134.13,189.33,56.60,5.66,152.06,210.25, , ,42.72,268.73,184.07,176.43,234.38,219.15,206.26,156.30,4.49,287.48, ,44.08, ,7.90,90.86,102.17,264.96,99.55,7.23,248.08,206.62,97.23,5.58,70.55,279.13,152.30,268.86,10.70,252.48,254.94,236.75,34.04,201.98,135.39,117.22
92.88,265.94,149.61,193.60,133.39,295.21,139.35,35.26,149.95,168.65,31.08,161.99,7.10,198.72,273.19,225.97,39.78,256.18,163.43, ,296.83,104.77,161.86, , ,218.80,180.55,36.59,185.67,293.05,0.43,222.83,61.52,56.15,245.07,116.86,55.11,117.36,96.21,228.73,291.12, ,171.67, ,157.61,257.81,6.53,286.20,274.61,218.25,1.15, ,118.01,31.41,75.54,27.91,120.03,45.87,261.42,138.78,75.14,75.33,202.19,212.00, ,259.72,38.95,213.12,78.88,46.67,246.84,38.49,57.99,47.45, , ,164.33,40.12,34.67,262.17,177.92,76.43,143.51,98.51,130.63, ,177.30,174.77,226.45,173.25,223.81,248.67,63.13,228.91,242.67,85.29,72.76
 , ,22.52,8.91, ,186.29,210.64,181.85,0.71, ,107.56,97.95,170.80,264.24,284.19,294.54,217.82,248.49,277.70,207.87,50.15,172.91,151.84,239.08, ,297.29,55.44,174.84,150.10,75.91,20.12,244.35,200.64,38.09,289.36,113.66,59.24,148.88,206.71,55.55,43.92,161.34,32.14,211.03,72.11,132.05,269.76,181.83, ,219.91,77.42,189.84,288.23,202.28,151.41,160.25,42.24,97.20,245.24,52.62,205.49,259.54,9.32,179.55,124.01,255.90,28.46,254.83,90.45,121.39,155.43,177.71,194.74,39.27,108.29,267.47,131.45,11.50,262.96,20.48,290.50, ,18.96,243.24,212.57,157.05,255.79,32.14,33.44,192.72, ,284.61,129.11,67.91,256.83,31.66,117.84
