Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115,Col116,Col117,Col118,Col119,Col120,Col121,Col122,Col123,Col124,Col125,Col126
244.74, ,34.90,232.36,17.63,226.08,61.33,65.51,10.24,186.89,167.77,264.04,55.41,188.06,63.25,222.85,215.48,248.42,51.98,230.35,142.82,287.10,41.46,212.50,146.19,174.55,186.72,108.00,103.96,120.62,266.80,277.98,103.11,132.67,107.18,224.70,219.45,154.16,264.41,12.61,166.04,124.56,25.75,294.89,228.61,296.92,158.97,77.70, ,210.37,8.48,41.87, ,253.66, ,218.07,166.35,45.35,153.23,79.25,92.99,14.39,205.87,67.46,287.50,82.07,146.72, , ,49.04,142.25,217.82,40.99,88.99,137.67,184.44,27.99,125.87,185.92,252.18,212.51,282.93,137.54,85.13,18.23,72.86,295.86, ,36.85,9.78,212.52,7.62,279.98,255.31,170.98, ,124.37,214.21,194.14,236.95,60.53,113.44,115.66,124.07,146.15, ,269.34,298.22,240.87,262.02, ,133.00, ,257.37,189.31, , ,1.61,1.58,69.64,72.45,259.04,25.10,155.13,269.40,271.40
131.56, ,132.12,289.66,23.78,296.53,49.37,90.06,239.17,75.20,119.30, ,228.20,191.15, ,160.54,245.07,68.25,177.24,244.90,7.59,239.35, ,288.71,147.18, ,194.04,255.02,23.62,241.54, ,24.87,39.89,221.60,29.81, ,230.18,154.85,13.67,241.90,82.91, , ,64.49,146.65,125.36,7.70,173.13,91.78,226.94,71.27,83.15,25.58,216.35,251.10,274.62,0.83,76.61,134.71,30.83,160.60,151.64,223.10,55.35,174.43,68.21,19.92,117.05,164.69,225.93,263.44,8.79,258.08,183.08,226.50,74.16,70.10,255.39,250.56,8.07,293.03,70.68,227.64,58.46,221.14,208.12,184.94,148.84,2.31,235.82,245.83,15.91,235.77,9.13,282.04, ,275.07,82.00,21.13,46.48,190.87,21.58,215.81,224.30,240.80,294.66,202.04,185.52,240.41,227.10,138.86,138.06,37.78, ,58.91, ,172.37,179.29,156.12,132.43,153.94,36.63,242.85,153.23,156.64,285.19
 ,124.05,58.44,65.82,39.93,168.28, ,248.94,191.05,162.76,185.47,96.72,165.29,160.77,167.93, , , , ,277.17,90.99,195.03,255.07, ,143.43,186.71,207.91,73.84,177.24,28.11,255.83,260.12,235.61,86.53, ,119.08,207.90,281.04,279.55,122.69,79.54,104.03,47.45,64.47,273.05,6.95,110.85, ,85.21, ,171.73, , ,164.87, ,145.91,180.43,222.27,161.56,201.78,109.27,216.66,270.63,95.07,182.52,75.54,179.94,139.46,174.35,143.78,31.15,270.58,71.70,9.33,254.66,85.45,208.70,152.04,73.80,222.35,116.81,224.05,83.49,275.66,193.79,128.83,109.12,136.52,292.26,114.08,56.97,10.86,201.65,144.99,110.01, ,226.83,155.81,148.73, ,106.56,18.67,38.05,34.81,8.60,20.43,273.99,22.21,43.06,147.75,199.31,255.40,184.59,286.89,169.37,7.40,19.33, ,57.38,246.12,162.47,252.38, ,29.77,232.04,231.23
 ,130.54,216.28,222.16,248.50,106.29,37.73,174.05,293.53,217.67,163.38,212.85,65.28,145.54,92.07,3.88,179.25,209.42,96.03,32.46,161.90,199.26,220.97,263.43,4.73,154.16,261.23,283.88,227.03,99.16, ,103.04,227.04,100.38,33.49,55.03,93.85, ,293.48, ,256.91,55.31,183.41, ,250.41,125.75,36.72,196.54,27.95,11.54,187.87,298.89,89.14, ,282.93,207.15, , ,126.93,2.07,83.52,260.75,227.06,27.55,34.73,179.91,123.59,10.10,144.20,246.84,43.60,275.31,27.45,114.82,240.17,164.72,218.20, ,145.26,42.05,298.40,177.15, ,22.46,135.39,260.65,87.78,12.01,255.00,143.17,193.83,186.71,107.02,184.03,250.18,163.58, ,17.68,266.71,147.01,130.76,58.09,101.46,225.00,17.34,7.71, ,91.05,216.84,78.78,19.58,248.56,276.36,200.84,61.36,247.93,26.97,216.89,63.07,164.97,296.57, ,83.73,26.38, , 
136.38,244.02,254.00,141.70, ,242.62, ,190.55,251.20,185.70,215.23, ,142.84,185.57,245.24,104.55,77.86,139.21,273.02,37.29, ,85.94,88.86,52.45,164.76,131.56,194.83,215.40,189.63,136.55,22.14,72.36,87.70,164.18,74.37, ,174.57,294.23,103.84,55.25,54.93,214.81,253.73,20.79,151.24,41.25,119.84, ,144.81, ,8.99,67.14,218.08,192.70,244.51,102.48, ,157.42,294.61,12.39,283.61, ,81.30,226.49,9.44,45.95,110.66,158.02,232.67,119.51,288.41,121.91,63.78,248.31, ,211.12,152.53,51.92,276.03,186.47,19.70,223.12,115.03,25.95,210.72,112.35,90.46,158.01,240.15,129.65,256.03,197.41,235.50,68.54,259.59,88.69,259.38,147.21, ,173.16,200.59,179.59,65.66,94.69,296.11,76.66,110.43,256.10,52.93,287.53,165.02,53.15,201.92,291.52,54.83,43.57,139.88,192.10,279.13,152.54,141.19, ,251.63,290.04,99.56,158.16
60.49,117.17,2.61,196.32,236.97,22.51,200.87,84.49,224.81,258.95,212.47,233.99,234.79,34.72, ,192.88,180.00, , ,296.19,281.11,34.64, ,227.03,243.33,49.38,82.80,68.19, ,2.18,131.27,194.10,45.71, ,225.70,179.53,76.76,291.61,11.86,49.54, ,292.87,26.07, ,34.39, ,230.87, ,62.14,81.96,203.29,191.75,249.50, ,26.26,131.11,60.35, ,299.24, ,249.65,281.57, ,210.77,132.85, ,194.99,281.15,203.03,14.50,99.59,171.53,134.28,204.00,167.47,193.87,152.24,176.57,126.37,44.59,211.40,36.91,186.48,229.15,168.16,121.55,29.43,93.60,295.72,58.33, , ,172.17,95.71,15.34,127.29,59.80, ,96.71,133.16, ,222.67,17.88,250.68,37.30,211.01,41.88,196.21,221.53,252.70,117.12,239.33,27.97, ,274.65,128.20,210.61,30.48,220.32,144.22,112.00,178.64,230.39,41.23,69.51, 
86.75,222.30,171.15,25.21,224.91,282.46,31.65,63.19,105.22,69.40,249.90,251.49,188.29,136.15,168.98,144.11, ,66.40,43.63,7.02,241.58,180.35,159.71,37.49, ,175.39,243.33,112.21,220.21, ,56.36,163.27,34.46,174.60,100.81,117.52,116.12,235.89,33.40, ,70.89,232.20,34.80,71.56,70.35,147.51,48.12,227.91,72.32,224.84,147.72,290.70,259.20,191.44,83.21,17.39,167.54,100.38,125.11,49.34,163.71,260.09, ,188.00,7.03, ,180.20,29.99,38.17,220.71,244.85,216.65,158.01,211.83,286.52,130.33, ,294.04,192.48,167.42,167.95, ,54.86,98.02,225.56,74.03,65.80,150.18,281.12,66.63,266.59,229.88,89.01, ,21.72,296.84,135.24,63.59,219.64,248.65,43.81,78.52,150.65,40.25,78.51,199.72,15.03,201.33,41.87,202.91, ,199.75,253.59,16.33,284.18,52.88,178.39,67.18,288.37,108.71,243.09,21.19,172.19, ,284.14,179.47
79.53,86.80,251.41,48.59,135.51,108.51, ,246.24,130.01, ,238.73,299.02,77.27,268.08,29.44,67.27,139.28,206.74,179.05,77.41, ,212.92,22.30,172.36,228.45,203.14,241.10,283.41,36.50,5.07,226.42,155.10,96.57, ,22.65,200.22,108.59, ,219.39,50.07,104.84,94.12,262.92,267.21,72.20,143.31, ,69.73,246.63,131.13,247.13,129.47,253.84, ,266.82,97.67,249.20,295.42,210.50,78.53,204.67,181.41,228.00,117.71,219.58,93.70,269.91,297.58,201.32,78.63,93.09,185.03,78.81,85.60, ,164.13,43.46,48.43,242.87,209.16, ,231.94,109.07,246.60,19.12, ,97.75,135.39, , ,52.86,263.27,220.33,209.17,142.26,55.23, ,264.39,219.94,289.69, ,236.29,117.30,177.97,100.27,189.10,191.02,82.90,284.12,281.69,267.02,150.89,209.09,286.64,49.81, ,78.83,125.62,98.46, ,13.51,105.81,11.46,144.56,151.13, 
132.82,64.60,172.86,165.87,73.49, ,256.47,131.38,80.46,36.08,138.34,0.39,252.20,240.99,106.21,225.44,224.94,268.39,120.27,47.58,128.73,175.56,67.93,22.82,52.81,138.69,108.49,135.29,150.93,157.45,168.39, ,93.33,129.31,150.57,22.62,13.27,149.14,203.65,121.29,208.89,190.73,288.68,235.32,180.74,206.83,179.99,298.80,20.02,248.36, ,270.99,25.94,293.32,10.35,245.69, ,125.88,158.31,282.93,163.94,105.23,1.54,60.48,258.55,128.45,251.09,177.90,167.05,88.59,294.95,237.15,296.27,10.46, , ,248.22,157.05,112.29,38.68,158.93,253.27, ,204.36,82.03,295.55,88.22,61.57,224.15,22.48, ,177.06, , ,206.29,178.72,138.39, ,297.32,144.62,118.76,113.21,48.61,267.41,95.76,163.03,147.90,7.09,62.57,100.02,78.15,66.56,218.22,288.08,198.59,200.24,181.68,218.13, ,185.55,217.97,230.15,62.43,244.97,178.23,139.71
194.98,132.63,137.75,279.79,15.19,253.53,294.18,250.67,89.19,291.59,50.75,245.03,37.41,152.87,6.83,281.71,212.12,193.51,230.94,103.16,285.80,278.66,23.67,204.45,65.54,120.02,117.78,229.46,255.05,70.83, ,52.53,287.03,57.19,97.82,140.05,216.30,22.61,220.42, ,33.28,296.77,133.77,218.34,269.74,145.56,135.26,93.10,207.51,56.13,57.79,84.45,202.92,124.34,201.61,199.93,93.76,88.18,11.25,290.77,179.91,21.55,56.81,14.10,74.63,208.71,56.85,234.15,274.36,58.98,134.78, ,228.54,199.04,166.86, ,147.85,283.17,100.64,284.06,4.29,184.98,191.10,206.17,201.61,183.75,56.51,219.50,247.08,66.42,241.97,250.00,57.46,259.23, ,243.28,277.44,157.82,193.07,96.62,1.26,202.07,33.67, ,201.05,256.47,270.83,239.45,288.27,154.00,155.01,190.78,104.59, ,295.04,85.33,104.13,68.82,48.45, ,229.80,94.49,271.02,84.72,286.15,207.38
20.48,267.28,190.24,104.01,66.91,261.24,293.95,227.39,96.28,226.96, ,21.45,4.46,297.08,72.91,122.31,90.55,180.34, ,252.21,250.85,295.63,177.69,259.93,289.73,134.97,82.29,238.14,172.86,291.73,97.82,210.10,152.33,191.20,169.72,259.96,162.53,32.66,245.17,145.29,48.80,151.59,148.67,125.75,114.64, ,212.46,19.42,31.60,114.53,283.93,145.69,120.47,137.16, ,129.76,281.35,286.23,9.65,222.68, ,37.32, ,249.78,285.17,163.73,287.63, ,245.57,187.81,296.44,226.71,154.73,24.25,218.92,42.94,79.87,210.26,131.21,66.97,161.19,127.06,227.69,43.88,71.69, ,68.13,166.01, ,98.69,144.68,292.47,71.44,65.95, ,197.16,256.50,18.91,287.56,124.26,23.36,235.78,236.81,211.71,114.93,201.51,167.78,242.67,290.57,121.34,204.55,129.99,179.00,57.62,128.38, ,151.74,266.43,116.22,18.49,85.27,120.55, ,39.68,264.76,293.16
2.53,104.61,58.76,281.41,150.17,298.27, ,177.67,68.31,117.58,212.93,128.39,238.32,73.16,2.51,209.63,105.94,193.22,166.11,219.87,26.99,280.75,291.19,55.06,152.31,146.30,75.48,98.72, ,171.88,14.96,139.91,81.25,296.79,113.36,239.58,200.61,76.60,260.43,163.48,87.34,166.22,111.59, ,125.40,123.18,168.32,195.58,179.73,268.68,256.20,139.01,42.90,128.65,68.68,14.80,151.01,254.83,162.50,254.88,249.10,43.58,176.54,89.31,82.00,255.70,200.28,90.24, , ,94.50,282.56,60.24, ,15.07,22.71, ,10.61,170.10,177.33,293.35,102.91,24.63, , ,153.32,168.09,122.66,27.92,71.90,238.79,103.23,254.82, ,265.43,38.10,151.28,12.98,187.66,142.55,201.87,99.60,235.55,228.31,183.80,270.04,272.33,75.19,156.97,216.27,263.18,142.02,39.11,232.37,243.33,173.04,142.37,250.84, ,179.15,12.32, ,284.28,148.25,233.29,48.71
127.62,103.92,126.35,124.64,69.80,133.64,213.17,215.47,53.94,43.17,56.30,276.11,140.87,100.06,129.58,223.71,160.66,226.84,170.67,45.73,119.45,183.30,155.39,196.63,142.74,239.32,195.65,239.63,39.79,110.67,188.46,126.56,62.02, ,232.69,81.87,224.34,56.45,116.63,153.60,297.95,265.28,289.05,136.62,220.50,136.24,64.77,216.43,232.65,150.03,74.72,38.49, , ,256.02,250.14,35.71, ,0.99,192.06,281.70,102.20,53.86,222.77,108.49,157.14,186.68,153.04,60.96,11.71,108.12,106.03,57.18,120.75, ,12.80,180.90,42.07,284.29,261.66,42.63,65.91,185.00,274.00,149.35,15.29,234.22,111.27,93.94,272.71,64.59, ,245.48,134.07,200.22,246.04, ,244.37,231.80,263.30,132.95,31.90,117.88,185.00,118.09, ,90.79,159.12,223.05,292.23,88.98,125.32,1.45,279.39,167.96,139.66,241.71,105.66, ,71.79,299.33,253.89,280.67, ,56.97,57.57
65.10,241.65,181.57,126.58,119.47,269.72,68.29,211.43,1.38,245.74,280.94,230.22,116.28,27.77,23.15,222.45,231.89,278.67,107.21,274.42,99.78,185.80,155.57,42.02,78.84, ,59.78,63.50,239.65,162.34,101.81,35.35, ,199.45,293.04,273.98, ,73.76,119.14,67.17,283.86,295.21,57.40, ,120.91, ,199.57,147.53,299.60,191.44,82.32,172.21,34.15,22.32,51.26,49.75,57.83, ,53.04,99.96,100.20,297.60, ,49.51,121.82,165.23,228.28,73.43,36.54,240.16,215.50,200.32,109.86,298.86,11.19,252.36,104.28,116.83,293.66,221.47,215.46,128.74,34.26,244.24,9.76,129.67,175.82, ,285.68, ,138.09, ,90.45,297.74,235.39,257.35,158.32,17.19,201.56,279.29,105.17,113.49,179.77,165.39,229.28,197.89,289.16,12.12,15.79,43.29,246.72,52.91,73.47, ,275.03,29.36,36.20,192.26,259.22,191.15, , ,66.87, ,264.10,110.98
0.94, ,247.66,283.97,228.38,102.77,285.11,282.18,211.58,47.07,105.45,39.78,280.43,244.70,70.74,122.79,236.72,281.69,131.98,237.08,19.73,263.78,171.98,26.15,120.39,254.36,11.43,191.59,100.79, , , ,126.46,8.79,203.84,235.51,130.25,189.24,259.66,42.07,220.23,26.01,80.00,4.88,143.43,174.92,0.41,51.78, ,60.57,172.45,165.89,83.98,231.19,121.43,296.15,45.50,53.04,201.78,43.82,148.32, ,128.04,197.28,167.84, ,98.22,194.12,80.29,125.89,232.18, ,228.34,182.25,27.40,251.91,265.02,180.61,78.66,46.55,188.46,141.84,12.61,22.97,260.46,102.62,233.25,108.69,24.28,211.72,212.13,83.96,91.45,182.73, ,229.28,161.67,287.90,156.28,13.49, ,14.56, ,247.81,209.16,9.84,21.12,112.23,145.48,276.20,172.11,83.26,292.38,245.06,235.46,148.36,234.35,263.51,77.36,155.54,20.73,186.62,226.89,226.59,288.24,182.42
49.11,261.75,210.61,21.78,8.15,95.01,147.03,112.48,269.84,210.92,133.39,32.41,96.40,132.65,161.79,245.01,280.74, ,191.35,274.17,121.71,132.42,291.33,176.68,160.78,126.65,278.08,183.75,20.60,171.01,4.54,50.25,166.81,167.83,70.57,95.57,286.30,256.49,118.92,193.36,277.86,131.05,244.21,294.30,157.55,70.05,51.38,77.54,77.32,276.35,87.36,40.17,299.91,51.29,129.82,98.54,264.67,63.62,244.38,173.68,223.22,264.03,64.04,192.80,286.94,289.25,241.08,147.95,26.07,59.82,143.90,263.57,87.94,17.43,85.10,134.25,134.85,282.93,139.85,40.25, ,29.50,285.97,49.04,84.99,286.77,92.18,204.44,233.06,218.18,16.72, ,25.04,197.92,143.03,183.70,164.56,212.78,214.56,114.69, ,62.97,297.56,273.42,55.90,133.62,171.86,83.38,175.38,169.41, ,207.18,53.83,295.65, ,210.21,252.08,294.99,180.02,170.21,194.54,59.93,200.19,178.50,203.29,11.09
237.24,279.88,235.48,299.94, ,210.15,141.09,135.38,141.90,26.35,22.47,55.27,152.66,229.13,190.35,147.32,220.26,242.93,264.45,224.49,183.57,6.94,96.52,180.81,270.24,233.77,159.62,43.34,276.11,148.51, , ,129.52,24.81,100.30,67.00, ,250.57,162.73,255.95,156.04,275.29,128.15,222.82,11.34, ,283.81,259.78,79.45,115.04,161.74,93.51,240.12,179.32,112.04,55.50,10.59,92.37,78.03,296.60, ,231.70,55.52, ,294.81,37.62, ,199.36,292.54,265.31,7.43,53.89,120.36,172.56,263.34,148.28,242.95, ,174.65,150.94,280.37,284.74,255.61,217.36,176.31,246.11,52.90,172.05,131.33,87.44,6.36,49.85,276.73,125.50,125.41,41.35,122.20,123.78,209.86,58.60,86.60,204.34,15.67,54.38,119.40,48.58,175.60,155.83,191.78,3.71,257.77, ,79.96,246.75,281.02,216.37, ,221.07,213.99,47.91,83.75,110.18,293.07,230.75,138.10,130.23
