Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79
85.93,228.10,47.28,27.75,95.34,89.82,266.43,45.43, ,32.22,84.06,150.01, ,49.82,116.48,42.99,52.65,190.28,266.87,298.70,53.99,123.62,100.12,226.52, ,83.17,110.67,180.97,11.69,10.50,298.25,80.00,165.35,96.74,175.79,144.80,88.29,294.03,38.96, ,184.50,241.79,40.64,243.23,120.72,11.82,123.25,237.74,289.87,126.45,22.45,280.77, ,219.61,181.14,270.97,143.07,281.55,241.58,148.56,211.30,254.71,96.81,6.77,69.10,252.97,175.89,185.83, ,105.44,243.91,226.62,207.08,265.21,69.13,260.97,267.09,266.74,31.34
42.90,115.06,110.83,72.21,205.96,287.31,96.61,75.41,214.88, ,180.10,219.92,55.85,202.98,198.69,21.73,282.01,59.72,290.42,250.55,285.81,202.29,188.12,72.61,48.39,62.14,149.98,164.37,214.02,196.22,6.47,57.36,97.53,166.82,196.93,2.93,208.88,179.94,38.72,8.35,7.65,15.59,52.56,63.46, ,259.68,253.80,136.64,275.15,109.09,150.65,66.04,135.33,213.33,9.98,240.69,173.52,112.67,63.74,94.61,239.96,109.59,231.91,136.04,199.96,270.17,171.58,83.99, ,297.32,17.44,179.93,36.72, ,67.87,219.84,285.16,216.77,53.56
40.99,55.74,134.72,291.55,62.12,13.22,72.86,87.02,132.39,272.78,128.74,278.34,203.13,208.38,58.26, , ,151.54,40.20,50.23, ,112.34,5.78,180.15,268.94,90.63,88.99,299.23,92.47, ,55.97,152.66,218.12,213.49,145.56, ,195.78,48.48,92.73,190.05,12.50,89.09,29.48,217.25,7.71,76.51,65.69,193.14,250.81,93.42,159.93,76.39, ,124.87,125.26,253.88,191.63,187.23,142.36,212.01,73.02, ,113.50,280.27,167.35,21.01,251.55,7.87,236.65,152.81,165.67,254.38,223.58,151.05,209.61, ,80.67,52.08,102.88
8.51, ,239.60, , , ,175.49,248.13,71.91,81.57,202.99,27.44,196.43, ,112.79,260.52,128.22,205.06,297.29,74.57,145.11, ,156.58,47.12,33.59,53.32,222.88,160.55,226.56,196.10,169.77,66.93, ,55.71,268.17,191.58,289.87,284.94, , ,165.03,136.21,51.29,206.93,111.92,234.16,53.35,38.67, ,10.62,163.21,94.19,79.21,206.07,121.87,9.16, ,7.13,173.05,12.07,66.02,237.24,292.89,40.75,16.16,42.18,11.45,236.37,9.01,133.72,195.18,134.07,46.69,180.37,199.62,299.73,16.44,265.82,227.56
 ,243.72,83.06,166.27,22.28,21.87,227.64,290.76,280.84,132.02,290.80,21.66,51.50,199.68,253.13,216.04,249.90,114.52,245.67,45.81,74.70,63.53,214.45,87.66, ,219.68,155.52,38.99,22.96, ,11.43,147.46,239.12, ,53.64,32.89,176.13,109.12,64.37,158.26,199.12,283.39,70.87, , ,177.68,136.15,124.65,263.60,54.70,139.35,191.28, ,67.41,251.89,237.45, ,56.12,223.03,81.28,178.42,103.76, ,239.91,109.40,135.84, ,196.80,218.53,173.11,155.48,13.19,283.65,36.18, ,259.20, ,253.10, 
56.86,276.57,186.04,52.27,247.49,218.67,81.00,121.47,162.23,155.48,151.31,65.11,271.02,270.35,277.42,83.11,241.84,31.06,145.64,149.75,245.79,41.49,75.17,169.09,30.63,266.34,256.59,73.01,55.76,18.89,271.40,67.46,161.67, ,7.32,190.86,127.64,141.95,34.45,23.53,35.54,238.19,4.68,290.49,25.39,251.18,5.25,126.03,214.85, ,222.17,150.46,234.05, ,88.49,169.48,116.04,160.11, ,164.79,112.99,49.26,48.25,152.09,233.87,16.28,30.18,264.83,261.07,290.39,287.36,295.12,250.62,259.49,22.63,28.71,221.36,282.46,185.81
71.04,205.13,278.10,25.78,115.96,141.80,112.49,240.92,228.54,7.75,196.38,12.31, ,233.67,148.46,188.88,274.33,188.14,286.66, ,229.58,74.29, ,186.78,286.67,129.10,2.14,74.58,29.44,198.54,2.76,166.40,30.01,200.20,202.38,41.60,116.44,64.11,26.76,88.38,245.28,191.63,234.60, ,264.04,178.49,268.65,93.55,255.51,60.48,136.66,215.26,63.77,190.58, ,141.46,236.45,257.46, ,192.06,14.12,60.18, ,28.82,176.81,73.61,249.59,247.74,162.53,260.70,264.79,281.82,252.28,192.99,46.34,101.79,241.28,200.80,41.15
251.99,118.74,29.04,272.87,265.25,50.98,194.19,138.26,122.02,94.28,0.27,242.17,281.24,59.97,17.33,111.67, ,230.40,48.12, ,24.89,103.19,189.94,91.64,173.39,118.74,228.67,108.29, ,89.53,281.05,71.61,83.25,101.25,35.86, , , ,276.37,250.13,104.23,194.51,255.42,245.30,132.26,54.92,143.13,34.40,180.81,197.95,217.82,257.60,223.99,241.44,68.10,66.67, , ,149.96,274.43,72.85,148.86,160.04,236.97,106.68,11.00,39.52,216.24,296.00, , ,40.59,129.01,198.80,68.44,251.10,144.03,149.56,151.72
284.87,204.03,206.47,96.19,143.85,243.10,152.66,77.29, ,206.30,126.74,68.94,219.74,19.54,261.36,95.41, ,184.09,88.85,90.03,36.54,197.47,73.73,181.12,243.37,57.33, , ,12.81,245.71,130.85, ,143.28,56.94,168.90,229.44,21.97,296.00,11.95,29.58,156.77,5.45,237.94,201.62,262.12,209.62,143.78,172.71,83.82, ,252.72,57.09,183.55,208.18,183.51,168.98,40.59,251.03,287.53,208.03,162.47,161.06,64.75,121.91,43.90,179.47,213.14,208.79,108.11,236.09,0.80,237.21,154.66,47.80,88.59,93.63,176.81,200.26,214.76
293.37,73.73,255.27,109.39,83.56,281.04,209.13,124.72,23.23,34.59, ,123.18,215.21,203.68,274.50,84.66, ,43.32,11.44,57.28, ,140.85,143.70,247.47,285.22,148.76,128.40,86.19,246.67,25.82, ,0.32,255.96,134.18,67.40,297.86,266.46,265.53,4.22,252.28,111.25,278.51,174.49,162.05,144.98,151.89,34.74,290.90,149.20,289.97,270.70,41.29,148.35, ,152.56,194.24,244.10,260.83,114.83,182.00,4.11,92.78,80.18,290.33,94.18,60.85,86.11,52.07,197.02,265.24,191.73,31.90,99.81,155.79,151.86,155.53,83.24,155.41, 
145.74,287.49,295.15,47.25,50.34,240.84, ,290.43,195.23,136.79,15.05,209.68, , ,22.89,13.53,277.03,24.03,194.32,206.48,32.42,242.93,191.14,138.69,53.11,203.89,28.96,182.49,85.85,3.86,26.47,287.03,224.22,214.84,296.23,11.13,71.61,131.59,6.21, ,59.33, ,249.23, ,131.72,52.97,275.65,71.06,148.74,217.27,289.40,156.04,46.94,182.32,16.28,7.21,289.36, ,37.55,23.89,147.49,57.65,271.34,263.14,68.10,181.65,27.11,83.95,264.40,20.14,284.92,272.60,154.56,262.22, ,286.11,202.39,254.43,253.14
57.61,241.89,99.18,122.42,253.76,281.05,280.38,207.32,219.05,0.13,141.01,13.09,89.02,108.92,9.94,217.24,279.59,162.86,28.93,95.41,245.52,205.08,22.90,71.48,291.21,200.13,263.85,259.34,128.69,96.32, ,13.56,109.91,69.05,201.61,284.09,299.86,89.38,83.45,297.24,193.00,225.52,32.70,284.56,267.43,181.90,183.14,12.25,68.14,181.72,135.63, ,135.48,243.43, ,145.22,35.19,127.33,63.43,99.45,245.61,100.81,172.93,22.96,276.99,266.48,60.85,24.51,237.59,158.33,260.67,57.31,41.77,256.57,44.66,153.19,122.89, ,295.82
140.74,214.94, ,73.65,249.58,207.59,49.03,186.00,69.47,5.55,127.94,216.44,18.14,162.88,23.64,136.85,121.40,176.53, ,250.17,114.92,253.52,97.36,188.09,88.91,112.61,259.34,116.59,92.87,294.82,209.86,70.75,96.88,47.97,253.94,196.04,46.48,70.95,169.01,250.90,90.44, ,49.78,274.66, ,160.88,165.01,152.02,242.19, ,290.16,278.31,295.05,34.79, ,178.64,77.16,271.54,193.05,217.38,104.27,262.40,275.64,35.89,63.18,76.55,268.24,65.85,170.61,291.35,231.13,28.85,299.52,175.89,130.00,223.86,192.37,199.42,13.68
295.66,213.39,164.40,247.76,138.18,43.26,133.59, ,162.44,299.03,158.57,292.83,115.46,144.21, ,12.21,61.83,92.25,80.08,156.85,186.89, ,230.15,279.80,124.08,187.22,5.08,14.71,297.63,225.02,131.89,154.05,113.37,239.55,242.00,245.45,83.09,116.05,65.05,217.79,238.10,12.24,150.80,241.08,157.12,290.26,217.64, ,31.01, ,119.61,272.05,218.06,5.54,68.38,129.96,259.72,91.18,11.23,298.91,90.41,118.41,145.05,224.98,67.06,57.21,179.43,251.73,84.39,131.59,27.87,138.95,29.61,259.56,172.11,293.15,114.51, ,259.56
268.16,214.68,298.12,78.79,53.09,111.77,7.87,38.24,103.50,299.03,285.39, ,243.87,168.24,144.60,17.93,179.58,206.89,256.96,157.73,61.33,96.10,41.87,109.93,164.14,10.33,121.16,103.49, ,271.73,227.83,141.34,62.73,126.93,57.14,299.41,196.50,137.57,75.29,78.13,62.35,96.91,35.06,63.59,230.35,223.49,218.47,78.22,165.01,122.87,40.33,263.63,155.70, ,230.98,283.16,61.75, ,21.86,261.60,32.19,120.78,50.14,20.51,20.45, ,143.32,73.85,71.30,121.30,215.71,171.90,69.85,95.92,255.51,145.93,60.23,161.74,88.02
36.42,221.43,249.91,29.61,30.36,34.43,273.39,203.94,149.00,78.95,158.13,272.96,75.42,41.95,49.10,138.15,46.36,7.45,124.34,20.01,137.96,6.36,4.58, ,153.58,35.60,42.22,71.47,145.48,88.23,153.76,220.78,264.56,246.73,104.70, ,259.40, ,265.75,39.86,189.76,60.14,291.95,295.42,148.65,168.08,223.53,155.07,261.11,124.68, ,229.38,61.29,13.39,154.53,136.43,136.26,90.73, ,193.09,85.24,197.94,278.61,275.15,265.79,253.31,144.10,19.85,95.05,49.12,63.16,28.04,131.89,184.46,79.73,250.55, ,148.49,97.90
93.43,235.74, ,26.21,218.65,209.52,254.69,205.31,254.27,111.58,291.25,279.66,73.60,235.95,78.70,290.79,147.65, ,177.34,10.61,25.90,260.65,11.36,244.90,173.56,140.80,169.50, ,240.48,169.59,103.34,230.65,296.94,16.49,255.64, ,6.77,48.63,189.23,186.71,89.20,12.37,19.98,66.84,122.35,128.93,80.62,229.43,74.16,191.23,263.37,47.46,164.60,237.55,156.08,187.95,184.53,175.27,82.19,163.85,219.40,203.31,70.00,174.76,140.47,199.67,80.96, ,245.57,11.53,199.28,187.35,20.32,19.83,169.86,88.67,181.34,277.71,151.45
56.13,250.92,195.28,203.09,128.74,185.61,148.04,276.07,229.45,123.06,221.21, ,9.87,92.57,45.03,242.78,30.06,106.40,133.68,55.27,289.90,161.70,51.97,106.24,176.04,210.42,23.83,36.54,270.66,125.03,103.04,171.17,6.21,285.29,138.73,115.98,244.49,258.79,224.26,83.82,167.65,225.61,197.58,225.18,91.26,183.93,118.03,27.41, ,12.71,171.39,80.10,297.77,258.81,282.04,78.05,191.49, ,82.97,270.10,138.12,58.37,255.67,77.14,0.63,295.78,281.19,44.86,46.82,240.01,84.68, ,167.02,191.39,238.32,145.07,299.38,4.84,162.09
98.57,181.87,140.96,189.57, ,170.78,294.13,277.89,74.65,245.82,288.38,168.30,265.86,149.03,119.62,34.38,269.03,182.74,20.51,66.98,220.85, ,214.98,125.24,123.21,239.61,210.61,221.50,26.26,209.27, ,79.73,156.76,112.47,226.17,68.86,43.50,230.91,204.70,16.10,102.68,138.11,148.94,77.38, ,113.66,123.31,198.19,126.33,168.70,173.11,234.69,45.17,97.18,129.11,252.13, ,190.46,35.21,64.23,248.58,226.25,112.30,265.22,22.14,37.23,85.28,122.66,84.08,48.72,176.18,272.24,4.71,69.50,202.09,152.52,122.72,217.70,274.58
103.55, ,140.78,180.37, ,131.92,54.41,283.88,6.01,134.38,118.81,50.64,37.60,171.56,281.93, ,256.51,198.90,67.27,137.92,219.36, ,183.13,260.19,130.27,123.12,276.93,168.53,262.83,230.73,66.46, ,161.80,195.83,122.40,100.38,210.74,105.60,202.87,250.49,135.56,193.00,193.62,268.74,97.77,151.92,241.33,155.81, ,51.64,56.16,264.20,225.49,122.08,186.82,166.28,262.92,149.70,276.60,31.86,82.41,49.72,148.06,170.37,48.05, ,104.20,79.22,162.26,242.77,249.99,244.32, ,27.30,96.18,41.03,201.69,34.78,137.99
65.71,134.03,230.39,217.96, ,38.65,91.44,107.45,51.56,248.12,79.08,180.80,45.53, ,168.96,236.08,226.46,15.32,115.55, ,33.51,37.82,142.27,53.59,170.70,1.49,189.77,123.31,163.54,79.42,37.81, ,44.76, ,60.09,201.64,119.54,118.66,7.32,286.63,210.64,166.07,276.14,292.69,126.41,268.30,4.44,28.86,50.86,174.82,188.36, ,7.90, , ,18.93,151.90,106.96,245.90,285.36,11.78,128.15,53.11,172.45,62.84,110.08,136.01,29.56,37.77,224.07,202.73,169.50,22.84,63.85,295.55,270.48,134.03,175.34,132.61
246.35,8.97,36.64,277.45, ,15.22,281.51, , ,157.90,247.35,124.87,129.93,186.57,8.11, ,195.25,60.39,13.26,198.02,214.34,116.10,190.70,253.29,226.16,37.00,125.15,112.05,1.30,227.82, ,213.02,189.50,211.54,44.10,229.12,195.24,210.10,295.28,120.31,56.02,211.38,123.27,155.25,84.05,92.32,135.63, , ,36.19,56.23,266.19,174.28,89.93, ,85.22,148.76,270.25,170.98,270.14,168.70,37.78,226.97,145.72,34.14,268.50,227.08,285.63,223.06,2.35,175.51,221.67,47.16,171.15,205.37, ,74.07,209.65,202.91
229.87,204.18,103.73,27.79, ,240.21,56.31,83.02,30.13,256.10,196.61,295.43,268.55,176.05, ,260.20,247.00,282.64,290.78,74.80,238.89,258.78,40.36, , ,231.47,228.29,298.79,4.19,24.09,276.82,248.45,115.98,127.08,46.62,184.99,136.43,105.47,138.34,296.55,118.02,38.01,236.77,101.85,137.57,112.45,94.51,51.40,256.35, ,2.97,194.10,132.78,229.86,156.32,224.53,193.71,130.16,89.31,41.85,4.52,142.72,262.30,170.31,159.97,181.91,45.15, ,177.92,217.19,250.31,30.44,186.59,172.62,272.30,168.45, ,36.24,163.01
48.91,171.34,82.12,71.81,129.25,5.19,276.33,173.55,141.54,155.80,88.63, ,128.21,299.38, ,144.67,185.62,68.65,102.45, ,174.26,239.46,283.23,209.74,36.24,235.87,34.75,40.89, ,169.10,256.60, ,101.26,240.70,145.40,97.29,107.85,274.21,204.95,210.01,51.77,293.64,198.50,248.03, ,205.24, ,161.84,268.61,226.67,257.94,206.96,68.25,26.78,62.12,299.90,46.41,218.38,39.32,68.45,56.27,192.59,27.52,14.69,17.53,205.43,13.43,30.70,127.19,124.14,289.20,161.44,175.72,75.67,196.69,202.38,258.10,117.74,149.40
281.74,73.78,142.40,299.55,168.89,230.58,16.06,117.07, ,292.78,31.08,154.01, ,106.98, ,224.72,54.56,100.65,130.93,63.88,287.37,87.03,167.57,130.18,197.12,42.75, , ,97.72,249.02,225.99,113.07,201.23,207.85,89.12,289.71,256.92,89.99,91.20,124.00,44.90,229.06,211.02,161.49,13.07,216.65,192.83,89.76,197.36,95.95,36.38,139.47,62.74,37.24, ,161.23,231.92,4.38,93.37,181.06,211.51,18.76,184.41,240.32,245.84,74.41,274.29,71.79,222.80,4.82,188.27,152.05,48.41,139.76,54.88,243.90,12.40,116.95,11.15
 ,256.99,249.69,269.48,261.10, ,262.35, ,150.62,261.34,156.35,110.57,172.65,242.02,143.80,255.99,215.83,215.89,8.43,62.13,275.32,214.97,285.59,117.15,264.80,107.01,196.26,119.27,48.98,207.95,265.97,233.39,177.19,54.63,14.85,163.54,139.99,298.03,235.37,261.78,193.67,21.31,286.38,158.84,201.87,228.14,230.72,49.64,10.81, ,25.66,157.08,61.02,13.86,170.96,148.37,22.71,92.43,203.54,271.47,134.87,167.03,268.98,52.35, ,156.62,65.03,227.51,138.67,94.71,34.05, ,105.17,90.78,59.09,130.60,233.21,68.81,268.17
128.80,114.69,177.15,233.20,112.63,93.47, ,118.72,32.50,114.96,83.13,38.05,143.15,10.65,137.42,76.80,239.69,289.90,274.48,41.06,287.65,22.75,163.86,273.17,133.81,175.32,100.68,294.38,281.98,52.46, ,129.25,55.62,284.51,201.05,204.54,147.18, ,110.56,294.54,19.86,171.85,45.28,108.56,216.37,44.69, ,160.62,204.55,24.65,79.72,48.58,56.03,243.90,6.33,203.64, ,31.99,282.44,234.45,116.93,181.54,119.64,22.25,296.02, ,185.08,168.07,2.46,129.43,133.20,13.75,225.82,68.82,83.45,122.19,263.03,56.00,92.65
146.91,143.50,252.74,103.60,262.24,44.91,52.42,227.43,214.94,167.18,40.98,129.85,125.09,136.17,217.54,28.57,239.19,149.84, ,253.44,162.88,57.65, ,235.75,178.09,35.22,134.45, ,264.30,120.99,75.54,274.73,30.65,243.55,189.02,103.36,148.22,201.97, ,13.88,102.77,292.30,237.23,214.20,91.05,54.12,229.10,122.96,86.84,177.01,51.16,92.91,160.71,95.59,279.94,208.19,1.45,220.70,27.24,171.81,288.46,266.53,282.12,151.03,251.63,58.52,40.54,196.42,210.58,267.83,101.49,273.23, ,193.93,103.76,213.42, ,139.35, 
121.47, ,190.44,113.93, ,154.47,128.93,10.96,23.55,222.43,174.71,276.09,66.99,97.48,1.89,119.76,49.63,168.54,131.67,249.45,30.76,181.00,159.63,280.63,93.44,82.75,228.43,36.80,138.68,275.82,249.04,31.05,36.82,134.18,297.84,249.10,187.54,188.28, ,168.91,115.51,13.11,0.40,120.45,210.63,271.64,203.76,82.25,104.04,36.61,279.68,221.63,7.77,196.56,73.80,285.29,137.43,272.97,70.34,133.64,48.14,32.17,172.49,154.33,96.25,249.05,11.17,84.21,222.41, ,296.21, ,185.51,57.56,21.48,251.90,108.87,260.39,251.95
255.46,109.41,297.22, ,8.39,211.86,151.54, ,147.75,160.36,122.50,191.75,45.82,299.10,143.69,295.74,92.37,201.93, , ,260.24,207.54,42.43,40.92,36.06,173.90,221.94,114.33,140.38,257.33,14.85,98.98,196.66,261.80,93.13,297.73,95.30,242.75,140.14,72.78,172.34,72.62,243.08,207.95,47.11,222.94,266.30, ,162.95,34.35,6.39,259.27,94.38, ,232.11,286.18,180.87,251.58,252.79,140.44,278.11,26.03,249.50,222.97,155.28,56.40,142.63,76.08,149.86,204.91,245.29, ,126.16,38.44,2.41,220.09,211.21,189.19,57.13
35.23,36.79,135.57,14.09,229.69,40.91,121.39,115.61,209.74,62.09,21.42,181.28,227.66,49.13,204.75,298.36,185.43,111.44,188.77,212.05,42.00,288.77, ,104.38,285.57,237.97,67.56, ,9.07,207.52,46.97,164.46,52.25,80.49,70.89,289.21,87.71,235.90,194.61,180.86,297.30,8.45,294.57,46.09,241.04,61.84,65.89,33.35,276.18,281.83,83.09,30.00,2.25,247.28,277.63,267.33,55.14,205.99,286.69,53.35,205.70,215.75,41.47,89.73,62.94,64.71,42.59,16.82,60.62,241.69,92.24,13.18, ,219.17,171.49,250.45,76.94,14.99,107.11
138.26,27.03,189.47,252.40,189.87,44.80,238.92,246.22, ,93.61,15.40,204.23,241.15,263.59,18.45,113.89,150.38,9.56,128.12,12.59,72.49,157.11,248.74,172.68,36.39, ,51.79, ,238.43,37.12,204.94,214.14, ,64.52,47.68, ,230.29,197.90,147.13, ,95.87,101.93,31.56,21.98,25.22,21.79,92.76,128.31,137.95,186.44,104.62, ,190.22,164.49,167.19, ,96.43,138.31,0.05,266.57,253.23,77.66,215.16,198.82,18.74, ,205.18,295.23,266.43,3.71,273.57,142.54,267.32,255.01,250.08,132.25,78.11, ,53.12
220.18,82.66,288.71,144.10,268.49,194.37,287.11,127.51,167.83,125.32,199.23,67.94,123.25, , ,89.81,286.49,107.28,248.90,42.41,23.93,76.40,164.84,243.59,221.51,236.56,229.28,37.83,159.90,37.26,108.38,117.46,137.05,164.02,20.73,178.95,217.34,262.97,18.85,74.53,17.99,287.19,146.88,244.49,186.11, ,294.49,86.36,245.87, ,31.82,159.81,76.50,166.12, ,184.97,233.86,264.03,112.51,91.84,155.79,23.65,67.52,246.37,107.49,164.98,224.07,220.68,273.31,0.96,157.16,258.82, ,222.85,123.77,127.81,289.95,284.95,293.94
73.87,110.58,12.79,190.19,92.13,182.92,25.99,247.12,154.53,223.18,74.11,211.54,8.26, ,293.21,122.28,102.84,106.88, , ,259.15,70.46, ,160.43,271.11,222.09,145.68,203.03,192.22,121.70,16.05,193.69,72.32,147.86,296.86,25.29,175.97,45.66,293.19,170.31,13.63,89.95,237.67,79.10,107.54,30.36,150.84,168.61,114.03,265.56,233.30,86.09,208.64,269.41,37.84, ,51.47,256.08,169.79,289.88,56.60,30.04,41.52,48.80, ,65.27,179.02,221.10,107.83,96.86,31.57,216.96,186.17,153.78,18.88,86.84,159.43,48.60,19.04
