Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45
123.75,26.65,219.27, ,84.37,285.93,198.21,277.93,88.03,53.16,98.14,257.32,277.75,86.69,60.76,144.55,138.68,148.08,108.98,126.95,288.43, ,186.64,249.64,153.01, , ,116.35,104.70,3.74,95.82,50.48, ,171.91,183.18,180.81,266.47, ,254.90, ,141.53,106.86,38.63,279.81,241.42
 ,250.55,280.42,158.45,157.11,202.80,35.10,287.35,189.27,212.75,115.75,285.70,176.82,39.99,149.60,243.30,216.69,164.93,240.22,228.01,175.31,203.88,53.60,237.65,186.33,87.03,220.36,3.44,242.52,99.06,269.42, , ,236.22,83.23,135.84, ,11.14,177.65,195.64,159.20,255.20,225.53,229.96,260.72
240.78,126.19, ,168.56, ,104.78,242.91,228.70,254.99,96.18,161.39,201.52,130.32, ,55.85,260.14,74.72,294.88,113.47,52.44, ,212.13,101.05,68.02,109.18,269.59,155.65,197.18,151.57,213.89,83.35,141.90,102.61,132.34,242.65,233.93,168.30,11.48,1.09,299.10, ,268.69,258.15,212.82,251.25
229.21,23.67,274.90,59.71, ,241.20,153.59,271.40, ,282.88,22.28,290.34,164.87,148.19,58.71,138.34,1.32,142.96,24.65,186.13,221.94,25.56,33.19,240.07,221.87, ,244.15, , ,150.19,224.88, ,285.89,64.37,179.10,12.21,25.19,288.11,77.93,215.81,214.37,166.20,78.82,80.39,249.19
214.33,81.98,299.31,299.10,55.07,271.01,81.95,265.62, , ,83.74,154.67,15.02,134.35,233.40,157.98,71.84, ,153.81,126.80,258.94,276.75,161.49,219.09,9.65,101.03,72.90,207.87,275.18,205.37,162.14,227.00, ,299.31,45.77,299.03,218.09,244.20,51.01, , ,297.88,9.74,36.38,258.95
245.09,12.76,49.84,241.11,24.83,266.80,199.57,38.04,155.35,172.90,270.46,115.07,110.71,19.42,94.72,254.49,166.07,53.92,100.13,10.48,235.44,195.55,243.12,252.68,215.83,4.83,272.81,154.63,244.72,230.62,152.42,79.24,152.37,234.40,128.18,77.46,222.15,198.63,206.60,263.74,276.89,8.72, ,163.35,33.19
263.83,189.83,151.86,1.30,142.71, ,87.59,176.81,4.27,175.01,226.75,33.30,107.32,153.34, ,186.55,242.78,1.61,299.31,40.92, ,183.64, ,271.23,128.48,289.93,155.98,130.68,234.11,102.05,187.66,181.50,226.83,224.58,256.88,81.91,224.50,181.44,172.06,164.58,133.64,204.46,55.32,284.34,69.46
265.55,84.23,31.32,271.33, ,228.21,21.41,104.29,107.46,113.87,147.79,93.77,18.87,57.62,67.73,123.47,12.61,238.35,111.89,130.99,188.91,247.58,285.21,152.12,35.07,52.80,80.40,185.16,229.95,153.28, , ,151.80,57.32,162.10,39.55,237.01,52.29,138.77,236.45, ,271.51,182.98,37.28, 
136.54, ,289.82,272.14,108.97,23.89,136.67,238.66,130.11,182.05,5.89,251.14,49.73,253.67, ,290.94,116.55,221.74,117.31,70.99,287.88,107.77,182.25,125.65,130.99,194.06,298.66,96.82,163.34,249.11,96.51,58.30,67.54,11.92,158.95,268.73,128.48,33.83,77.37,22.74,152.26,54.04,30.41,146.36,170.34
289.80,35.53,179.91,28.14,287.93,274.75,33.93,33.16,113.96,227.24, ,79.50, ,230.42,223.78,277.65,172.26,60.98,15.55,10.86,132.73,230.78,255.45, , ,32.47,99.13,161.35,39.21,190.93,298.74,46.41,208.83,243.85,126.45,210.71,3.09,136.10,150.90,198.57,80.15,86.26,190.74,297.29, 
188.22,161.19,245.99,211.77,81.44,291.11,92.29,43.93,264.52,286.62,176.36, ,107.40, ,298.14,12.81,244.54,127.68,203.96,243.33,238.33,297.31,65.62,57.86,225.31,87.34,78.46,260.15,71.10,230.20,176.73,297.34,144.03,227.01,198.70,163.72,195.12,66.47,250.61,70.28,146.72,87.86,121.32,139.87,142.65
261.67,13.08,140.65,84.04,205.10,238.01,119.76,229.84,93.85,10.56,56.38,21.75,82.46,192.25,35.49,292.39,54.27,256.17,162.58,262.59,22.95,136.50,33.71, ,127.57,39.50,3.19,13.45,279.23,39.68,192.00,193.95,128.85,145.34,62.00,286.36, ,186.95,51.20,32.53,48.23,119.64,282.52,53.38,295.64
169.62,101.89,91.15,73.04,136.39,52.56,83.17,230.43,148.42,190.78,61.77,160.28,278.94,197.82,272.75,242.21,90.66,86.57,35.16,172.38,256.42,193.50,107.18, ,255.61,200.49,167.33,296.84,118.45,246.55,112.39,92.98,230.67,41.34,172.25,284.85,157.38,237.31,16.98,206.68,166.80,109.14, ,105.98,65.13
29.40,58.02,8.88,100.08, ,212.56,255.08,62.02,107.20,9.42,60.56,96.77,23.28,261.48,11.89,35.09,73.74,15.54,259.86,43.23,82.44,124.04,153.20,149.97,185.39,84.59,75.50,173.30,87.27,68.73,179.12,56.68,54.80,196.01,100.54,120.49, ,244.53,48.24,70.47,15.98,93.24,5.36,135.23,61.87
