Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104
169.32,162.66,90.98, ,223.07,2.73,102.35, ,18.52, ,286.46,68.11,299.87,224.80,0.16,211.29,144.49,292.54,34.39,299.85,204.86,166.57,179.05,165.20,287.44,135.46,214.33,148.49,3.73,222.28,156.81,127.10,5.31, ,39.70,210.02, ,132.94,23.70, ,188.89,278.55,22.54,118.52,100.94,229.83,254.99,31.03,60.83,93.88,242.49,91.72, ,207.83,11.40,297.43,120.42,281.06,207.05,143.13,34.44,62.98,130.84, ,219.40,272.03, ,214.52,29.71,136.06,52.46,169.06,149.97,234.41,14.09,64.54,274.61,33.06, ,163.90, ,83.30,219.38,29.80,243.44,200.92,297.04,226.97,3.28,155.58,207.98,79.14,26.88,71.50,91.34,223.85,26.51,217.43,103.73,79.80,6.74,126.68,234.10,169.87
130.60,175.07,195.11,11.09, ,82.59,99.30,205.79,188.26,142.35,16.67,213.96,96.32,190.54,128.78,269.97,74.79, ,113.36,195.45,112.53,207.05, ,68.80,227.64,213.21,91.22,159.58,293.73,199.86,56.01,128.46,94.81, ,36.05,211.93, ,24.47,48.10,137.64,119.21,73.95,135.28,262.29,170.35,250.77,140.29,98.85,32.75,171.99,229.71,266.08,29.64,296.12,109.49, ,228.70,268.59,34.32,223.41,4.12,279.95,19.72, ,288.47, ,160.46,296.56,39.71,78.69,153.89,139.76, ,68.46,19.67,221.00,252.98,157.55,230.14,152.13,105.07,236.34,1.06,168.48,49.68,128.81,180.12,219.70,36.32,54.45,17.72,209.42,225.64,103.10,298.85,72.64,95.83,275.84,18.95,147.01,170.55,148.57,261.06,218.44
56.41,53.37,248.36,44.83,29.75,29.78,103.16,132.53,111.41,295.89,252.68,198.98,118.71,173.91,115.81, ,172.23, ,246.36,93.29,187.61,139.11,151.65,19.82,141.26,92.54,261.59,280.04,168.45,208.13,178.51,134.71, ,199.97,142.52,179.46,101.18,272.81,154.16,38.39,56.34,230.88,131.22,173.52,144.56,199.92,150.79,21.64,120.02,192.61,135.17, ,236.35,69.05,228.73,293.32,40.47,297.95,294.16,107.48,118.61,185.87,230.54,27.17,229.74, ,192.28,1.66,20.30,57.58,4.96,268.55,82.18,69.98,125.66,123.61,162.65,297.49,133.90,195.35,36.95,100.47,228.07,217.76,178.35,223.60,17.05, ,99.24,25.33, , ,238.98,232.01,258.41,276.25,295.55,102.57,247.60,67.74,249.57,228.08,239.71,241.97
66.74, ,92.06, ,161.43,265.73,237.91,193.63,289.77,61.28,28.86,124.15,58.60,112.71,298.64,98.07,184.28,281.81,256.87, ,118.29,10.32,171.86,105.36,224.23,147.30,23.40,140.72,214.78,232.72,213.08,299.52,169.42, ,209.20, ,253.78,207.84, ,79.70, ,165.71,251.12,139.37,169.18,94.53,194.53,285.41, , ,261.31,149.26,91.00, , ,209.93, ,61.15,207.46,223.95,268.84,169.63, ,149.72,190.10,65.13,151.86,160.44,259.32,209.98,280.15,95.10,259.23,251.23,11.45, ,41.70,178.37,181.15,61.04,174.61,284.16,257.16,210.56,21.00,280.31,200.41,166.42,220.22,41.73,281.85,179.10,248.46,234.88,41.99,48.64,101.21,266.72,94.49,128.70,97.54,186.80,69.99,88.44
23.62,227.89,140.84,29.03,164.47,218.91,259.83,123.06,0.37,119.41,267.05, , ,57.11,62.54,150.36,117.32,281.14,179.46,152.20,211.29,172.39,223.14,97.76,193.27, ,12.68,103.03,103.33,17.91,230.16,50.84,262.33, ,7.53,184.26, ,95.56,185.17,99.56,23.53,210.66,281.74,14.65, ,117.98,202.04,182.56,69.31,9.38,25.97,98.44,176.65,5.79,296.39,152.63,255.07,224.45,280.13,91.38,31.94,17.31,227.83,281.04,163.55,291.29,7.33,99.76,200.94,237.06,37.10,211.13, ,135.58,68.21,160.29,15.32,150.43,297.49,230.33,213.85,285.92,228.08,203.13,276.59,49.13, ,138.82,37.94,220.63,295.11,267.13,219.33,278.66, ,28.96,28.91,19.71, ,247.79,249.30,67.06,108.99,3.74
26.03,174.71,148.53,150.66,298.05,152.44,238.61,5.67,215.62,57.28,294.65,20.92,64.94,201.93,28.95,121.74,247.36,1.63,166.26,211.54,222.28,141.02,250.70,198.47, ,255.75,89.83,117.68,25.77,235.72,234.61,21.44,88.76,291.23,184.15,96.18,65.81,189.49,110.87,125.17,131.36,73.95,41.75,254.97,97.30,267.22,32.08, ,120.84,12.74,190.70,101.67,222.06,128.65,72.70,273.93,296.19,123.83,96.59, ,164.11,63.03,144.67,119.99,215.96,178.92,17.25,23.11,257.24,85.06,57.64,79.93,246.07,231.36,231.37,35.79,59.59,226.81,193.95,70.45,173.35,31.35,284.53,147.01,39.40,47.78, ,127.71,128.02,135.92, ,82.75,289.35,126.09,46.60,262.97,129.94,66.41,26.92,215.74,292.72,105.98,52.17,168.20
115.95,92.66,24.56,134.68,17.74,230.07,280.81,181.40,29.35, ,56.27,187.79,291.47,36.17,195.10,200.17,140.05,244.49,55.42,82.16,137.64,299.39,23.74,83.39,221.78,106.54,29.95,208.23,137.25,53.38,268.51,184.19,284.42,56.03,248.58,109.16,181.12, ,204.86,71.60,222.74,145.90,132.74,109.02,277.48,207.55,21.94,194.02,145.52,186.54,271.29,294.51, ,103.06,110.71,117.32,26.77,295.97,52.85,36.58,113.67,114.56,111.95,17.53,121.18,128.99,11.52, , ,59.57,114.74,208.12,20.35, ,16.32,205.02,199.03,266.19,226.60,101.00,107.22,23.44,172.44,158.97,31.01,85.73,42.74,43.23,276.36,126.97,140.57, ,39.60,111.39,70.63,129.64,8.30,296.34,45.54,14.74,57.32, , ,285.48
235.66,89.81,87.25,54.36,227.69,263.28,122.61,240.15,6.81, ,3.15,170.88,118.96,86.78, ,279.21,213.45,7.45,128.66,85.75,213.95,276.98,52.51,211.14,51.84,241.12,221.10,48.06,164.30,37.34,90.64, ,4.10, , ,60.08,93.11,289.26,220.09,159.05,77.63,71.51,92.84,216.69,296.75,2.48,204.58,78.03,201.62,152.55,89.48,257.54,155.74,289.13,113.28,95.51,299.90,186.49,115.72,230.91,270.42,99.85,161.86,96.13,260.01,245.71,161.32,232.07,150.05,92.89,69.38, ,69.27,40.73, ,143.91,283.61,26.31,289.34,261.35,251.64,34.16,270.84,100.60,212.54, ,5.44,193.48,68.21,249.27,124.76,252.86,104.02,243.98,56.53,148.82,83.78,176.16,41.02,81.73,284.18,68.03,246.35,183.47
224.26,123.51,253.14,266.69,143.56,244.63,42.81,42.09,163.64,107.72, ,189.45,274.08,216.61, ,178.12,182.75,279.90,151.40,82.63,290.19,28.76,126.28,28.28,198.16, ,5.88, ,195.32,50.59,161.75,285.32,161.46,142.24,174.33,74.39,111.74,183.16, ,9.44,27.67,110.24,264.44,16.15,11.43,91.55,123.04,113.90,267.30,5.15,156.30,183.04,110.53,296.43,247.01,163.11,183.69,194.27,89.45,189.09,171.72,229.46, ,43.36,53.80,162.82,181.63,45.49,272.15,291.33,240.12,86.29,180.89,109.08,149.09,218.11,191.23,179.43,285.25,43.67,248.11,201.50, ,247.00,40.25,115.97,180.22,49.72,294.06,204.10,258.44,241.19,114.83,87.84,125.20,44.49,258.74, ,88.48,12.75,59.34, ,22.77,142.26
228.10,181.85,159.39,55.81,48.71,240.53,171.47,147.18,229.99,166.95,194.40,8.50,245.37, , , ,278.87,22.54,222.50,274.59,210.56,111.50,15.70, ,81.44,168.65,201.15,7.18, ,15.68,167.00,39.68,71.48,175.79,133.74,248.77,161.08,183.50,240.54,220.63,280.64,61.88,217.01,299.25,19.10,215.62,291.98, ,63.46,197.03,107.58,106.25,156.39,99.40,206.13,49.60,279.24,161.24,282.48,270.56,277.81,210.64,277.48,185.15,139.77,198.43,77.50, , ,270.27,62.86,261.27,275.76,177.93, ,160.40,182.38,73.53,66.07,145.37, ,186.31,204.77,19.13, ,182.40,59.68,279.01,106.33,211.85,269.40,258.65,144.56,285.23,8.92,155.52,283.31,40.59,182.89,74.23,214.75,81.31,101.69,210.52
151.80,254.84,171.21, ,15.78,236.24,63.44,89.39, ,67.50,25.96,83.64,115.54,56.81, ,158.50,183.34,108.98,21.35,176.91,181.19,289.36,126.55,104.98,270.51,283.44,101.81,12.47,49.36,258.81,283.68,203.39,183.82,172.72, ,49.63, ,242.31,241.18, ,46.16,152.68,268.24,223.82,93.98,251.42,84.63,88.52,101.03,85.76,128.25,55.95,130.94,120.19,120.86,142.48, ,295.16,142.09,212.86,170.64,295.58,123.30,64.00,294.24,110.99, ,101.92,25.67,43.27,193.16,34.92,31.16, ,20.19,107.46, ,278.10,90.60, ,283.82,120.25,37.13,85.69,33.16,210.59,292.54,159.17,91.37,187.83, ,208.02,33.06,146.04,112.80,264.75,220.47,28.07,19.46,284.22,292.47,114.97,226.03,117.66
262.79,270.53, ,178.55,271.13,160.00,132.42,247.04,17.12,68.31,248.84,199.87,20.10,268.19,59.40,96.24,102.41, ,65.35,291.18,17.92,239.31,143.22,247.25,53.09,251.76,125.47,168.61,299.49,246.89,61.37,74.32,188.91,16.10,229.81,33.57,18.08,247.94,8.85,44.75,71.83,30.68, ,199.29,275.39,122.88,262.64,27.77,98.29,182.22,140.62,86.12,207.57,36.28,67.85,113.62,3.30,160.47,86.04,76.60,261.03,14.89,108.86,89.80,253.47,259.70,161.51,182.43,104.83,137.94,150.19,2.47,61.70,54.10,222.71,209.17,30.17,107.42,266.72,46.18,169.23,14.27,51.71,99.81,115.41,29.21, ,31.68,251.02,173.19, ,3.89, ,34.06,108.49,198.71,219.27,174.94,133.17,276.86,5.49,145.28,162.61,132.57
229.98,88.92,182.35,107.06,207.33,122.28,14.20,21.53,139.90,158.62,102.15,2.94,268.87,50.89,259.11,25.78,267.04,292.26,20.95,39.69,240.43,244.11,182.97,188.10, ,46.71,264.26,298.88,151.07, ,282.55,6.24,295.30,123.03,122.69,86.87, ,27.29,16.37,207.31,170.02,144.13,226.11,98.93,180.30,72.09,232.54,9.33,173.60,63.90,105.30,248.02,280.15,292.02,257.24,278.53,129.50,43.99, ,142.92,111.35,52.68,25.45,123.76, ,106.37,265.74,238.10,179.34,189.08,214.77,70.68,273.57,15.96,255.78,160.48,58.36,289.05,278.84,296.55,24.63,275.38,14.59,204.14,131.74,65.29,239.54,239.81,36.14,230.67,202.79,228.29,44.53,133.94,137.39,268.53,233.41,152.40,157.40,141.94,149.76,35.65,43.19,2.40
231.23,71.26,24.21,95.17,216.90, ,54.30,60.63,293.02,68.72,161.93,82.96,275.02,186.72,33.38,66.71, ,299.78,227.43,183.53,92.72,251.72,154.73,245.45,4.33, ,245.35,265.02,263.00,18.49,4.35,11.89,164.58,70.83,32.74,232.08,187.55,7.06, ,18.37,258.29,267.82,268.06,63.08,42.74,14.86,7.47,204.35,231.31,149.36, ,244.18,97.72,244.46,204.10,123.15,90.00,189.75,113.92,251.14,12.24,125.16,261.73, ,40.25,118.69,103.07,133.80,258.80,259.48,169.63,186.73,181.19, ,69.25,250.81,256.81,274.65,167.73,273.86,276.63,95.46,200.14,0.04,215.33,174.64,135.20,165.63,147.03,208.07,44.74,236.66,121.92,83.52,147.69,266.42,154.45,290.56,18.41,269.75,256.16,212.64,110.22,18.12
 , ,173.52,85.06,22.78,21.50,196.63,163.68,293.50,224.94,72.72,274.66,177.09,186.85,22.18,167.99,254.32,266.49,165.71,238.04, ,259.54,155.17,158.47,122.23,243.17,249.31,80.94,63.60,178.63,33.94,21.31,130.03,40.73,31.51,195.92,50.81,214.79,284.18,224.21,249.85,212.70, ,293.64,117.49,69.57,39.35,292.13,75.31,154.32,189.44,229.10,297.41,24.23,68.74,127.60,47.33,87.85,48.86,137.42, ,206.99,126.25,129.30, ,287.23,260.75,40.75,286.11,274.42,241.56,107.81,218.32,64.13,101.62,87.66,279.35,146.03,0.81,245.82,225.86,34.80,109.72,76.47,113.72, ,55.27,213.98,12.36,188.56,170.74,106.19,280.91,255.82,281.56,43.25,179.97,256.99,86.03,143.04,146.26,288.03, , 
25.96,271.13,18.86,216.08,251.66,105.80,294.42,161.59,9.55,13.98,108.14,299.09,281.88,145.10,46.88,171.93, , ,287.37,284.94,277.30,100.44,144.08,170.45, ,180.00,146.52,155.36,145.64,228.43,251.65,37.86,70.27,218.12,98.07,198.27,47.68,101.96,278.94,1.23,29.36,31.84,27.78,122.43,293.75,164.40,249.20,30.12,12.96, ,111.03,131.06,66.30,214.51,244.87,198.31,140.70,261.33,107.33,139.02,142.29,145.15,139.07,117.81,60.38, ,171.41,222.40,150.96,198.48,133.20,246.35,150.52,24.03,133.23,6.14,14.86,259.14,35.09,220.35,66.94, ,238.35,207.36,222.02,120.80,228.90,216.41,281.14,15.62,75.55, ,189.53,50.41,5.58,155.24,279.12,212.32,160.53, ,82.84,267.14, ,196.04
91.87,15.40,203.24,109.72,18.06,294.46, ,0.04, ,225.97,225.35,97.17,121.68,168.72,235.76,202.53,106.62,19.42,28.57,285.68,14.09,137.55,72.21,8.59,288.66,59.27,72.85,299.87,125.06,221.60,240.95,192.62, ,212.04,147.10,155.27,148.79,122.95,231.22,165.93,97.10, ,11.10, ,10.97,198.18,289.48,120.51,151.62,232.14,37.66,198.36,64.64,51.93,204.49,296.02,140.55,170.90,104.22,130.33,112.11, ,101.59,115.27,139.12,147.34, ,226.58,213.92,148.29,178.80,249.00, ,89.55,294.10,72.16,277.10,150.45,182.11,293.11,167.24,280.72, ,1.72,136.15,232.37,181.50,37.21,285.99,220.05,154.50,26.10,43.92,43.29,95.57,42.64,162.57,73.67,209.87,118.30,291.03,30.45, ,67.67
147.82,223.08,82.58,127.86,33.83,18.72,136.89,125.99,176.62,3.51,210.73,172.07,69.93,287.20, ,54.87,232.39,168.56,65.53,162.00, ,203.32, ,40.20,101.63,250.34,273.55,13.21,176.18,122.37,257.15,183.48,10.31,294.96,150.01,37.33,101.44,215.33,205.25,234.82,225.57,109.36,189.27,251.56, ,73.94,49.67,47.83,149.07,56.65,13.71,65.26, ,294.87,79.69,196.57,207.00,199.66, ,88.93,272.82,231.45,18.73,185.52,42.81,230.26,62.52,216.60,269.68,122.65,214.87,107.29, ,229.43,246.13,217.97, ,72.34,270.26, ,155.78,40.42,87.90,252.88,56.49,1.55,203.31,106.54,19.56,155.84,164.95,199.68,187.02,155.27,93.45,201.13,103.98,139.59, ,92.47, , ,225.30,76.44
136.14,157.13,158.35,37.00,5.81,147.33,275.19,222.45,251.98,25.51,11.27,274.98,141.13,276.88,142.50,203.99,55.82,150.69,167.25,174.49,7.61, ,282.80,224.50,24.65,229.83, ,147.21,211.20,6.06,54.77,241.38,127.20,19.89,211.37,165.58,60.19,107.68,155.99,286.74,204.99,290.14,190.37,16.33,125.69,289.64,170.96, ,298.16,159.12,139.59,141.64,106.44,33.13,170.82,155.42,118.47,221.27, ,58.61, ,184.31,219.92,151.31,204.01,79.16,125.53,109.38,144.21,282.00,84.51,90.82,83.95,178.28,150.92,63.83,237.28,89.25,12.91,8.13,90.04,280.05,6.04,182.73,5.26,27.59,17.55,29.71,27.69,106.71,214.98,287.50,118.67,9.45,17.31,48.50,104.87,22.91,117.97,261.16,70.37,213.01,107.14, 
 ,150.70,13.44, ,0.94,285.33,227.40,94.99,165.40,49.85,225.24,11.92, ,135.15,110.66,289.17,290.87, ,141.58,66.07,41.37,125.21,144.69,143.61,297.59,142.01,202.95,208.21,198.12, ,99.37,98.18,58.58,267.13,230.64,177.29,183.22,263.12,88.99,53.52,13.32,170.68,265.48,268.98,136.04,230.38,139.88,23.95,117.62,9.68,132.93,186.16,131.28,226.06, ,279.58,178.33,119.62,7.59,208.08,193.59,118.33,47.06, ,245.52,144.04,12.78,142.18,293.12,48.23,193.73,198.76,91.57,262.30,248.47,238.74,213.43,254.75,192.97,195.39,66.16,93.70,16.40,277.89,209.34,228.70,239.35,245.74,68.34,61.58,227.88,153.24, ,107.99,39.21,79.15,275.80,271.41,134.98,32.63,116.62,73.20,298.09,165.43
