Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115,Col116,Col117,Col118,Col119,Col120
3.07,203.41,139.30,295.10,1.32,280.18,242.68, ,293.49,128.61,83.27,271.42,197.40,77.25,109.76,98.36,297.01,103.24,270.15,182.55,41.39,48.30,289.68,179.80,110.95,54.15,98.40, ,156.81,191.68,95.97,193.89,162.03,257.21,224.33,159.76,7.40,184.39,214.27,4.01,287.42,49.14,57.52,133.15, ,24.83,145.76,203.74,51.89,256.96,82.25,188.85, ,113.45, ,27.72,58.60,266.60,71.84,75.25,119.19,63.42,299.44,33.87,208.93,61.10,114.86,88.86,61.68,117.16,73.82,143.59,167.57,150.15,96.24,253.04, ,16.46,214.41,93.31, ,179.07, ,293.93,89.31,83.73,114.80,182.35,91.73,127.24,164.92,298.16,19.70,5.29,273.03,261.79, ,96.36,216.00, ,150.34,30.12,162.82,39.59,60.45,291.31,250.12,141.31,27.32,243.99, ,13.58,295.68,101.71,73.91,116.88,232.69,1.88,194.13,59.37
145.70, ,253.65,264.50,14.12,200.96,78.25,271.68,97.13,35.73,197.39,265.06,50.76,171.04,190.49,129.90,101.99,147.05,72.56,150.61,103.39,44.78,153.02,115.65,139.93, ,37.32,63.39,20.22,77.50,250.24,220.66,135.78, ,191.42,231.97,206.07,93.60,216.99,267.30,196.77,184.02,144.55, ,51.02,118.24,264.46,162.32,41.85,231.96,189.53,94.23,257.42,25.16,46.58,175.57, ,282.80,163.64,116.72,35.58,230.54,130.51,296.78,226.03,84.78,275.88,58.43,8.55,26.28,242.22,51.67,76.09,200.86,249.41,269.75,244.77,216.40,52.66, ,271.06,122.62,217.69,95.61,9.22,25.18,48.73,215.00,124.34,201.65,107.39,96.20,6.39,248.78,28.34,148.25,80.77,28.90,271.53,297.36,231.03, ,279.75,59.08, ,217.06,21.58,243.82,56.83,93.47,58.95,146.67,121.22,178.06,225.90,274.63,130.34, ,274.42,16.60
165.95, ,48.15,275.00,51.09,242.18,37.43,266.37, , ,111.53,237.70,235.98,260.69,117.98,40.73,223.10,169.35,24.77,68.14,209.46,31.59,263.78, ,238.15,21.99,12.03, ,271.19,15.85,245.33, ,173.97,26.80,183.93,109.99,62.26,275.77,9.17,174.14,165.30,134.59,6.38,24.92,117.81,230.79,265.26, ,139.23,236.42, ,276.32,53.46,72.58,74.51,55.83,14.89,60.95,108.42,296.11,282.27,153.27,261.32, ,170.94,141.33,224.68,83.68,103.77,74.17,196.77, ,145.42, ,206.37,218.38,16.41,255.97,205.00,91.64,285.31,281.28,69.94,176.95,207.54,275.88,113.72,137.62,18.07,112.51,28.73,198.14,82.62,175.46,23.13,11.14,229.69,135.07,198.37, ,105.91,129.12,106.46,225.24,19.84,221.51,262.41,164.16,73.01,298.27,131.35, ,272.70,255.92,182.15, ,251.76,209.59,165.89,172.38
283.97,221.97,295.95,226.98,137.36,229.68,202.23,243.45,33.73,31.13,149.55, ,101.31,130.73,56.95,73.08,128.69,210.90,95.52,168.60,253.95,185.31,70.83,33.03,280.06,177.17,149.98,4.38, ,135.11,7.88,225.07,108.51,207.71,120.15,218.72,278.26,261.09,158.15,100.85, ,101.28,270.73,241.22, ,192.15,54.54,90.04,196.84,4.24,248.67,128.86,200.17, , ,174.94,68.68,117.04,77.07, ,28.33,202.00,131.75,285.43,102.26,228.62,269.27,249.48,162.03,171.99,296.80,202.16,3.41,89.49,104.10, ,200.50,148.75,85.88,90.02,295.12,163.18, ,121.49,246.13,7.79,152.88,155.55,116.12,280.38,66.58, ,236.55,145.70,120.08,167.49,207.00,150.63,237.47,191.67,16.64,186.05, ,190.64,192.61,149.27,212.36,257.47,152.40,101.64,62.54, ,272.64,267.81,10.40,193.78, ,210.41,269.60,24.32
35.48,167.00,89.93,100.60,35.30,289.85,190.71,170.15,25.03,263.71,120.76,42.07,252.53,209.58,297.65,82.37,150.84,217.88, ,64.02,278.02,162.19,71.10,121.81,245.79,234.62,195.93,19.36,225.91,289.93,163.10,45.54,125.85,290.87,167.49,270.68,179.15, ,176.34,60.16,65.18, ,266.30,278.52,57.57,59.55,289.49, ,35.03,80.40,113.69,15.66,51.65,207.55, ,83.89,146.73,245.79,116.34,214.14,269.92,123.99,250.05, ,204.60,74.93,296.68,65.96,217.02,275.10,6.12, ,186.73,287.53,243.28,44.62,198.72,129.12,44.00,136.20,283.78,71.04,281.39,34.74,176.69,268.84,158.47,209.73, ,197.26, ,1.12,39.61,236.88,222.56,247.91,276.98,43.47,200.46,7.69, ,184.38,287.44,246.02,95.38,256.87,168.94,293.76,178.69,28.16,116.16,295.33,286.01,16.09,258.96, ,198.23,181.04,236.81,105.30
230.07,198.90, ,219.72,153.45,227.38,198.49,163.21,85.56,233.13,49.82,134.94,142.94,17.73,216.37,112.54,126.84,132.99,219.29,174.89,243.55,120.57,193.61,263.45,60.50,174.79,205.12,9.33,27.78,248.71,287.50,117.21, ,153.64,266.67,57.76,161.36,235.35,296.70,224.43,253.74,32.44,177.54,204.00, ,274.63,293.09, ,46.14,226.78,83.64,257.96, ,130.42, ,112.96,168.87,40.19,40.97, ,258.49,240.99,282.47,295.21,62.12, ,288.01,248.20,3.89,294.02,36.57,77.77,281.02,197.41,86.84, ,12.29,101.49,44.26,88.62, ,150.74, ,138.75, , ,25.72,21.80,208.28,287.02,149.06,255.22,20.50,35.44,90.48,286.07,220.90,174.22,225.42,254.26,184.90,91.95, ,113.74,299.80,130.84,12.83,61.05,36.57,296.92,79.91,94.40,5.89,80.02,144.20,236.14,296.90,84.34,31.67,54.30
 ,67.13,200.20,270.50,166.58,21.18,101.20,184.97,30.86,181.54,231.42,83.94,270.89,125.60,289.23,178.95,282.19,263.14,169.95,30.65,36.68,216.54,5.98,62.86,29.50,292.58,118.18,220.79,211.59,296.85,222.17,19.78,276.78,74.59,118.78,175.60,230.09,113.47,165.28,291.51,179.41,1.44, , ,55.22, ,297.51,223.67,214.38,137.54,176.51, , ,109.95,178.34,74.17,278.91,265.70,230.52,160.65,245.46,253.42,43.15,231.63,170.75,277.94,14.07,3.00,139.43,187.15, ,261.32,211.13,257.66,242.96,230.99, ,298.18,279.31,45.50,8.15,56.95,224.54,140.54,174.56,40.49,297.74,23.04,183.84,247.36,278.43,185.17,172.05,214.16,224.68,62.30,175.91, ,100.45,59.46,64.82,68.47,37.16,149.58,225.03,274.21,163.48,64.38,233.23,197.23,172.41,146.89,32.79,24.15,156.39,161.23,123.03,47.75, ,197.33
195.92, ,122.53, ,232.34,290.24,42.87,263.55,299.19,253.59,253.46,277.84,175.93,189.74,289.63,285.54,231.55,85.53,226.32,28.06,265.35,219.50,9.29,153.17,37.17, ,290.63,112.41,21.93,80.38,253.31,127.36,298.98,64.47,157.48,247.12,45.60,235.64,274.71,206.99,155.86,117.76, ,230.17,181.69, ,23.52,184.95,126.09,82.03,103.00,270.81,255.65,15.54, ,290.26,277.22,165.84, ,12.33,21.38,32.43,167.00,62.38,206.83, ,288.86,38.89, ,89.01,75.31,94.81,113.68,251.13,159.46,255.40,179.94, ,231.89,167.78,125.93,175.76,51.88,263.29,3.59,8.27,221.65, ,292.33,236.48,258.92,117.06,59.28,211.35, ,259.81,230.73,19.33,242.31,130.08,74.82,34.61,258.87,12.03,248.58,66.62,43.95,52.92,280.56,128.68, ,88.49,202.36,142.45,263.01,42.04,183.47,43.56,27.40,278.59
248.40, ,184.26,145.44,24.90,246.18,96.86, ,219.98,262.77,32.15,171.08,234.74, ,278.31, ,278.12,27.65, ,251.82, ,97.26,195.79,294.15,20.13,291.44,32.15,2.55,179.99,138.48,228.18,93.04,151.32,249.00,297.68, ,108.47,228.05,79.01,150.59,171.45,119.81,94.71,114.10,254.01,297.50,161.79,114.21,126.54,77.25,64.25,144.15, ,62.62,213.22,248.78,187.81,287.34,204.31,87.23,240.63,83.63,22.61,109.96, , ,89.16,283.33,216.57,115.40,219.19,270.40,78.28, ,65.62,230.96,269.10,104.00,92.26,295.94,273.43,298.23,97.01,175.84,287.22,266.86, ,295.48,25.43,95.03,139.38,283.04,245.99, , ,83.94,215.26,243.65, ,136.16,53.55,171.58,250.28,7.19,133.92,133.17,39.05,47.06,168.29,261.93,156.55,243.92,96.51,70.41,211.49,39.74,218.57,5.81,49.76,276.58
257.02,91.37,295.00,12.01,188.23,23.26,155.20,171.54,195.77,271.33, ,11.07,67.08,30.12,92.21,198.67,60.93,220.23,82.69,56.13,294.07,249.95,35.21,69.42, ,97.51,31.81,166.46,59.32,183.97,166.56,92.60,158.24,119.86,24.75,40.43,233.99,88.71, ,243.43,249.77,289.99,199.34,189.71, ,264.06, ,130.63,117.42,192.72,150.11, ,90.03,222.99,235.92,147.09,255.13,239.36,29.57,22.00,152.32, ,116.38,256.87,46.82,277.26,133.77,116.55,217.40,140.99, ,152.70,259.52,128.09,230.49,161.49,258.81,27.68,130.19,147.73,86.85,54.47, ,181.84,273.81,176.95,40.67,267.50,106.39, ,5.28,114.95,258.30,180.58,264.62,26.01,142.40,258.90,297.28,43.85,81.41,197.11,118.06,230.07,168.87,21.92,27.30,220.75,179.07,131.33, ,14.02,262.71,83.24, ,242.87,252.87,109.57,246.12,264.12
109.15,210.45,57.47,263.92,276.24,28.12,255.75,121.58,111.15,163.34,297.52,176.32,130.49,100.37,213.52, ,22.68,163.26,254.94,117.66, , ,261.29,216.40,6.39,220.87,159.84,214.82,68.99,96.54,265.58,268.41,125.96,227.55,144.83,90.22,115.65,223.13,52.27,186.66,136.03,275.96,0.21,261.91, ,58.45,21.58, ,51.65,83.58, ,228.40,137.00,277.34,114.03,56.73,240.95,89.59,103.13,122.80,157.27,226.61,40.09,281.95,164.72, ,222.79,283.94,129.01,293.31,56.42,162.65,123.62,159.76,146.55,187.73,290.41,121.81,72.28,15.08,3.40,122.80,225.33,255.88,224.54,111.56,179.92,285.63,17.63,68.47,278.53,59.38,288.39,2.07,19.86,114.44,293.75,249.45,43.98,273.42,154.51,249.47,59.18,37.97,80.50,240.99,62.64,27.96,181.56,111.72, , ,224.69,163.40,260.01, ,233.43,233.97,125.36,77.59
6.38,140.97,95.40,175.47, ,226.51,257.99,178.76,264.38,46.10,277.59,35.15,239.53,291.02,36.41,35.53, ,189.93,78.64,137.84,45.56, ,279.39,38.86,193.45,285.99,62.66,118.96, ,172.14, ,136.11,255.88,91.24,13.16,39.80,39.57,165.53,247.91,252.56,126.25,268.42,51.27,180.54,117.44,42.37,279.55, ,235.43,118.96,273.74,30.06,69.65,259.24, ,104.16,190.49, ,158.90,220.72,223.20,7.42,133.33,240.82,193.67,272.40,166.51,42.70,39.84,152.38,183.22,103.24,246.58,76.10,76.32,295.46,87.77,260.79,168.83,232.91,77.85,75.13,151.44,140.94,230.18,190.36,49.41,20.06,27.26,101.48,92.97,103.10,99.82,101.84,265.49,31.16,240.07,287.71, ,128.64,154.29,120.87,203.41,143.41,163.93,3.24,252.40,146.39,238.28,145.05,62.38,13.87, ,20.26,136.81,172.30,26.81,195.17,288.88,70.29
248.19,262.94,249.55,63.23,249.41,14.57,66.09,187.46,206.80,198.11,217.66, ,244.47,13.08,144.75,241.64,45.52, ,262.37,78.52,57.87,29.32,201.52,198.45,12.77,296.70,148.86,281.30,158.83,279.85,281.93,271.82,122.71,153.76,98.95,110.69,260.21,229.26,235.42,250.71,232.95,159.07,161.76,48.58,277.55,50.76,105.61,45.86,233.18,13.40, ,124.09,92.12,118.21,199.52,204.56,178.86,6.78,13.72,9.24,124.71,23.43,235.68,297.71,16.72,215.40,104.03,199.60,34.62,55.27,284.43, ,22.38,14.69,98.37,191.73,191.15,287.46,77.04, ,158.66,54.12,54.68,243.56, ,278.18,50.57,52.43,247.30,174.88,127.97,163.84,237.27,161.06,94.39,243.56, ,279.10,170.83,43.77,288.05,92.57,89.62, ,24.18,183.28, ,11.25,211.15,109.57,192.01,60.52,277.86,226.88,77.63,290.74,212.10, ,4.67,250.08
143.31,228.00,173.30,37.84,186.46,155.18,260.80, ,90.92,105.13,124.31,115.51,4.16,93.84,32.29,114.69,271.98,102.98,262.25, ,7.85, ,163.03,65.98,30.47,219.86,30.24, ,215.44,233.14,27.89,83.46,97.52,163.00,276.31,117.42,291.64,238.07,107.04, ,174.68,232.20,21.95,79.80,177.88,56.60,245.73,195.78,101.67,230.93,233.51,83.17,143.99,287.86,231.01,69.61,120.82, ,142.77,214.13,142.12, , ,77.70,150.21,128.65,76.57,40.92,177.56,72.91,78.56,232.55, ,38.24,238.94,116.11,86.71,45.30,105.17, ,132.15,142.02,257.35,55.19,147.51,88.98,234.29,87.96,20.05,205.08,264.04,109.51,164.36,212.52, ,212.25,129.17,221.45,19.53,145.16,287.56,106.78,12.20,295.94,294.37,84.12,285.07,97.27,26.14,54.53,299.31, ,83.02,299.96,199.27,223.44,23.38,177.07,260.70,124.49
 ,276.91,170.12,38.51,70.03,126.61,286.74, ,180.11,193.47,80.31,113.82, ,137.19,62.47,295.55,216.72,34.68,295.14,237.59,82.99,35.22,132.19,35.51,202.07,55.40,24.75,195.95,33.53,63.35,125.38,16.01,270.08, ,265.23,173.33, ,180.95, ,13.14,283.58,258.12,230.47,252.78,236.21,112.14,44.63,94.74,224.15,73.61,72.57,230.31,37.72,126.85,216.85,127.87,15.05,128.45,126.25,24.13,62.51,31.81, ,126.55,268.57,284.28,35.97,173.72,60.84,108.71,59.35,260.52, ,57.69,231.75,15.22,0.48,66.76,66.95,149.00,0.09,171.09,230.65,287.05,27.08,70.61,214.07,174.40,101.15,8.15,170.21,219.99,279.57,39.18,199.96,54.52,13.26,32.10,122.79, ,149.87,148.65,51.20,36.90,287.54,209.98,139.21,240.44,212.93,49.09,127.15,13.96,250.53, ,194.43,78.46,212.23,121.12,266.78, 
168.61,80.64,15.51,11.95,229.75,183.13,184.32,216.11,37.49,137.85,61.07,175.25,112.44,154.67,57.62,298.82,157.25,4.83,299.30,128.70,241.65,207.90,22.11,24.25,290.65,156.39,62.31,85.27,122.49,61.93, ,60.74,259.37,139.49,260.82,276.44,210.76,242.40,168.02,141.66,162.52,22.46,166.34,175.51,255.00,120.67, ,43.25,121.15,280.56,127.39,2.89,264.78,162.18,253.66,127.53,111.54, ,94.88,222.26,6.73,162.99,133.70,214.48,280.31,186.35,229.12,32.15,277.16,172.69,40.54, ,176.99,102.63,299.73,273.21,243.64,46.14, ,70.61,22.87,208.82,253.93,239.40,112.05, ,268.02,288.37,244.22,274.11,178.54,14.48,86.95,71.01,137.33,187.10,127.55,6.80,122.20,222.19,81.39,189.21,48.25,152.25,231.79,282.55,230.56,253.01,102.32,8.64,224.42,139.91, ,244.17,54.03,7.68,70.08,249.54,196.12,234.96
279.83,18.42,211.97,241.74,115.47,42.82,257.61,278.31,214.28,250.59,8.13,115.53,145.72,4.53,271.14,135.83, ,154.25,291.81,294.54,64.81,71.57,265.60,217.40,17.09,112.13,238.42, ,16.64,166.00,257.95, , ,88.11,248.03,32.31,135.45,262.18,132.63,109.04,118.66,252.54, ,237.95,153.10,4.02,204.88,27.17,285.85,130.13,68.98,58.66,106.49,228.52, ,129.78,187.81,29.56, ,112.26,284.79,117.17,34.59,14.00,64.07,182.71,26.21,165.25,218.02,204.60,221.67,276.33,44.76,10.20,222.18,263.40,89.06,131.85,6.48,49.95,63.46,222.85,296.02,224.92,184.84,197.04,111.56,131.85,18.26, ,201.19,110.94,176.89,14.79,280.12,55.00, , ,38.98, ,26.95,158.61,157.79,170.69, ,2.54, ,110.57,280.38, ,163.32,92.64,80.35,73.93, ,33.21,227.86,284.85,228.19,166.60
199.10,55.34,39.83,39.21,106.39,48.82,182.91,18.04,204.46,134.95,279.68,101.91,186.40,162.35,230.22,200.57,66.25,89.35,54.25, ,160.64,5.31,31.08,104.07,33.89,227.05,174.54,175.61,244.43,192.60,296.77,39.63,111.27,6.93,102.20,253.60,211.18, ,127.09,182.50,126.99, ,285.11,12.77,268.25, ,16.26,239.08,145.61,274.71,73.18,221.74,91.56,50.92,292.84,179.44,19.39,120.88, ,195.29,9.75,17.90,179.80,78.85,23.65,204.10, ,71.31,211.12,191.83,7.07,282.39,102.17, , ,5.63,118.34,99.27,40.14,161.68,17.89,241.83, ,92.67,66.49,110.53,57.08,236.42,54.96,43.92,118.38,62.37,85.31,7.17,124.76, ,42.94,19.94,36.15, ,235.55,242.70,10.95,118.65,241.53,70.30,230.36,252.43,96.58,77.35,104.93,49.95,245.05,53.73,50.20,7.27,150.43,31.83,249.75, 
