Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70
239.17,279.24,141.94,85.13,267.45,34.50,116.70,105.01,72.65,157.68, ,169.78,129.51,247.81,46.94, ,24.87,41.45,283.29,275.23,193.95,174.66,238.46,7.09,93.76,239.82,0.81,121.22,198.34,76.16,74.83,74.86,136.98,103.82,299.70,188.69,21.73, ,260.20,129.19,148.49,243.48,209.75, , ,210.66,114.27,23.87,151.36,88.24,227.39,267.37, ,161.02,160.55,288.37,112.31,63.76,235.51,231.00,84.84,158.50,83.38,57.75,86.37,122.88,108.71,21.41,128.58,143.31
165.54,204.40,123.71,299.10,131.85,7.06,199.21,250.58,100.55,17.24,189.65,240.95,171.50,113.51,144.79,289.20,88.50, , ,161.76,271.44,217.38,210.30,144.05, ,244.60,116.42,58.86,72.47,128.03, ,128.11,127.55,189.96,10.92,128.27, ,99.71, ,78.21,199.40, ,298.58,106.67, ,165.53,70.85,199.57,93.48,285.31,145.00,137.08,53.41,28.60,65.07,1.65,271.48,65.53,199.62,15.63, ,181.16,1.60,285.73,197.38,92.59,158.41,255.50,21.27,42.92
285.92,241.75,209.30,194.72, ,127.10,57.04,15.04,59.46,128.93,16.33,259.34,0.75,90.24,248.47, ,188.58,295.81,126.19, ,20.91,15.54,157.25,205.87,215.78,291.24,132.08,187.05,142.31, ,232.55,267.09,260.87,240.64,286.00,161.80,87.74,274.66,42.42,141.63,263.03,205.95,239.05,194.80,55.82,49.09,285.48,232.01,171.84,203.04,239.48,116.96,250.02,262.97,138.87,207.16,211.56, ,150.61,4.46, ,87.06,70.82,246.34,18.89,175.47,276.03,286.77,142.16,184.61
229.23,209.73,125.39,249.49,271.90,239.50,58.56,83.15, ,29.49,117.99,7.67,123.70,26.69,264.77,101.30,192.70, ,29.09,100.94,185.23,254.69,225.82,151.30,142.63,38.46,68.39,282.49,9.84,134.99,69.88,27.82,291.17,119.43,102.79,298.83,293.20,112.76,266.77,227.99,214.45, ,282.83,66.72,162.42,226.13,241.70,116.77,15.76,200.92,72.17,34.84,114.48,172.94,255.14,261.50,51.45,148.76,80.53,125.42,87.30,31.89,76.13,110.49,118.03,127.91,132.69,250.38,151.12,280.67
260.32,170.79, ,19.54,250.64,171.47,22.32,225.48,299.14,161.82, ,173.23,82.37,81.69,253.08,156.08, ,116.40,209.85,46.04,174.22,164.41,190.28,268.69, ,267.84,99.87, ,273.10,164.43,59.51,232.09,53.26,31.38,41.77,297.83,170.61,84.49,217.73,221.75,90.53,154.26,259.67,62.49,190.96,211.78,124.11,242.79,9.71,47.03,215.39, ,86.00,223.78, ,198.55,21.06,202.58,269.50,88.46,95.03,258.92,229.88,150.67,260.39,146.83,211.87,52.28,148.22,274.94
103.81,12.03, , ,0.20,76.87,164.04,68.08,178.70,205.98,170.63,189.76,173.80,79.68,152.80,195.26,197.16,1.22,123.94,123.80,295.83,212.80,72.57,282.83,278.83,280.65,55.19, ,228.99, ,155.07,174.52,252.58,49.39, , ,117.58,297.48,5.34,273.29,191.15,29.18, ,9.82,200.14,186.36,152.28,284.20,7.49,229.70,83.91,60.03,1.09,254.73,170.03,87.80,56.15,277.11,188.87,245.57, ,131.93,19.44, ,296.56, ,226.27,20.76, ,278.01
276.27,225.37,97.75,94.24,57.10,80.03, ,25.60,225.44,253.09,122.44,241.45,92.27,146.38,277.48,91.04,234.24,13.72, ,26.89,275.42,246.13,29.95,81.05,229.86, ,174.74,173.43,155.84,283.90,78.72,260.19,49.73,193.54,274.97,90.34,290.49,95.89,204.28,126.99,30.16,287.20,126.59, , ,126.33, ,205.06,244.85,16.09,268.36,114.25, ,264.01,44.22,19.87,160.20,217.69,212.43,95.26,65.53, ,191.86, ,96.92,250.96,103.79,140.10,204.49,53.22
97.45, ,117.31,88.60,263.63,176.61,74.22,234.06,237.08,11.90,222.84,194.16,203.38,234.68,188.89,139.93,155.65,285.79,283.29, ,246.92,113.74,127.57,49.50,266.46, ,209.65,129.62,192.84,88.21,119.71,185.72,34.49,197.00,14.33,94.67,127.22,65.21,275.59,292.16,61.04,23.76,265.84,74.50,186.39,286.20,139.80,265.74,213.29,194.56,43.04,179.09,137.25,112.92,38.89,106.57,272.66,70.62,283.72,97.18,7.83,176.21,255.29,21.91,4.70,96.20,205.71,217.99,219.59,155.81
 ,262.38,108.64,129.02,76.43,144.31,281.97,122.75,182.99,151.51, , ,147.77,273.70,235.14,42.65,172.46,102.03,59.53,227.55, ,3.98,102.12,144.66,73.28,212.79,125.77, ,193.75,24.54, ,259.68,277.82,56.57,27.75,38.47,118.96,196.22,89.72,73.46,28.15,208.65,184.72,205.30,228.16,216.66,252.60,279.72,102.06,209.37,227.70,68.23,174.88,169.59,262.79, ,290.94,107.63,274.51, ,166.62,154.60,165.82, ,145.53,61.67,247.01,109.52,259.71,69.73
25.76,186.95,233.31,58.60, ,33.11,246.95,253.19,283.02,208.76,264.54,4.30, ,195.78,88.25,112.04,79.65,192.31,106.62,144.49,166.56,198.33,201.21,2.73,81.08,211.52,86.27,28.01,51.30,188.50,79.27,297.53, ,189.84, ,15.47,110.20,224.27,231.57,106.60,128.24,56.03,211.39,197.66,74.92,163.19,88.51,263.97, ,102.32,226.90,291.35,157.49,121.18, , ,272.62,74.90,95.26,71.69,12.31,12.48,174.27,49.78,239.87,218.12, ,145.02,103.04, 
276.42,113.01, ,85.63,184.66,215.85, ,153.41,28.69,272.90,141.79,19.70,158.48,123.86,82.83,73.22,160.34, ,273.35, ,58.97,282.28,167.44,22.50,293.23,186.74,254.16,288.79,110.18,211.68,117.45,147.39,119.27, ,107.13,71.31,40.06, ,44.95,168.64,211.19,118.64,127.99,126.44, ,236.63,258.33,81.50,18.07,72.11,212.50,6.88,84.00,6.70,91.89,139.68,108.22, ,206.14,50.78,246.31,269.22,55.77,291.87,157.96,80.73,176.54,190.64, ,237.58
15.02,64.09,188.81,156.26,78.46,217.57,232.10,80.26,70.78,134.33,78.11,160.13,274.93,152.51,164.08,2.33,119.56,33.81,238.73,175.17,175.86,128.24,107.75,250.43, ,84.77,206.76,118.06,158.08,21.13, ,111.22,281.35, ,15.16,0.84,114.33,81.09,146.26,14.82,139.48,183.41,151.28,107.40, ,265.47,279.93,9.75,254.51,21.94,6.26,17.45, ,35.48,282.49,181.64,236.49,190.65,245.37,210.07, ,168.87,218.78,277.07,239.95,219.63,248.20,222.98,137.38,1.13
280.88,11.60,119.36,168.84,278.09, ,30.86,18.20,140.82,26.17,106.95,288.97,205.95, ,171.61,290.21,182.21,55.60,249.28,226.54,114.23,28.88,235.49,281.77,91.75,10.75,255.72,150.07,174.46,16.36,117.18,218.81,277.66, ,226.94, ,45.05,24.37,227.17,24.86,244.44,57.71,277.70,223.70,37.97,192.70,144.23,60.91,9.26,37.44,265.51,22.21,150.42,84.50,6.44,286.53,225.97,206.07,57.66,31.44,227.93, ,72.16,210.88,243.28,172.64,214.96,167.96,209.88,10.02
220.98,273.99,45.35,77.94, ,207.71,171.52,204.61,207.80,232.36,81.90,215.64,96.76,95.60,184.97,32.31,231.12,146.43,197.04,180.92,240.54,126.54,224.27,133.54,169.76,175.08,247.71,179.31,65.80,66.76,285.05,123.20,250.76, ,147.80,200.08,74.83,120.41,212.99,20.43, ,86.34,272.98,10.85,78.53,127.19,27.42,244.36,28.42,120.25,42.92,247.66,29.37, ,216.26, ,236.69, ,23.03,3.05, ,155.33,202.07,280.90,94.76,80.11,120.38, ,163.30,118.43
184.28,57.29,204.17,37.23,96.12,213.16,117.34,254.49,240.64,233.85,31.77,250.24,279.49,25.71,5.52,42.88,198.95,290.33,166.22,201.71, ,114.86,205.17,15.98,94.08,91.97,284.76,214.45,230.58,165.42,70.57,116.26,208.51,250.70,82.64, ,44.98,28.20,271.26,122.45,275.71,221.36,60.20,154.37,103.03,65.33,290.00,292.67,283.40,201.08,291.74,208.36,245.44,143.18,118.18,46.09,41.08,33.82,139.90,1.19,107.62, ,97.62,112.01,124.81, ,119.83,128.42,49.55,264.74
290.57,158.37,176.82,4.11,0.72,98.82,86.95,68.43,4.06,18.30,34.64,1.12,52.24,182.67,203.40,294.52,230.33,230.63,52.33,17.79,78.75,54.97,23.05,71.98,33.23,79.16,129.68,222.35,209.82,283.70,252.43,7.18, ,237.80,183.44,7.71,251.29,291.46,147.38, , ,148.08,253.65,108.93,138.31,243.75, ,56.96,252.76, ,83.87,68.45,174.49,203.80,200.49,242.76,10.12,222.35,110.98,74.15,209.93,210.75, ,185.30,51.55,274.78, ,276.73,189.23,274.69
276.99,288.30, ,298.42,145.40,162.47,230.77,231.33,293.14,299.02, ,50.57,270.44,238.42,79.18,98.39,220.69,229.05,295.14,207.41,297.49,209.10,294.79,250.22,284.63,137.04,30.88, ,1.32, ,248.49,245.64,201.30,122.25,75.32,282.45,164.02,46.75,298.82,64.60,179.56,284.26,212.29,204.20,16.46,209.84,119.89,11.82,21.81,151.54,251.46,79.86,113.93,188.59,168.15,61.78,2.43,64.30,61.18,6.58,240.95,42.59,71.90, ,93.71,233.57,139.94,270.70,181.48,144.01
 ,97.21,13.16,102.05,14.36,45.96,240.88,237.36,47.73,37.89,102.96,63.32,66.31, ,21.73,61.82,6.59, ,62.59,62.59,117.90,27.88,97.90,150.76,252.23,44.51,28.24,216.48,141.28,222.43, , ,167.60,241.38,133.21,235.31,168.61,272.76,217.07,165.24,105.92,266.32, ,294.56,24.07, , ,8.55,11.38,112.57, ,7.45,188.68,210.65,295.98, ,213.05,119.02,59.99,247.20,44.08,208.34,27.87,75.00,292.51,279.76,268.01,112.52,53.16,193.51
51.26,64.23,30.99,245.18,119.74,1.41,134.14,231.96, ,6.96,249.79,178.20,61.35,167.39,95.84,237.72,273.94,270.53,45.63, , ,273.53,138.02, ,47.78,71.95,76.27,254.85, ,9.72,191.25,275.18,99.80,193.39,227.53,11.97,17.70,109.77,271.21,128.57,295.57,253.10, ,223.48,143.77,265.21,263.31,49.91,242.12,143.79, ,7.70,163.49,223.23,16.62,221.05,75.58,43.08, ,17.23,172.74,24.21,235.73, ,285.64,222.39, ,238.25,89.41,2.27
189.30,131.43,196.59,159.31,19.71,30.46,140.13, ,164.34,133.67,21.41, , ,67.76,182.05,260.90,208.80,37.42,207.13,80.92,280.46, ,168.44,240.41,127.79,172.92,272.02, ,91.34,134.15,286.04,65.63,164.33,22.64,158.77,22.91,113.54,133.83,171.81,257.41,186.21,53.30,67.78,245.49, ,79.64,178.67,83.84, ,58.27,161.93,78.04,156.73, , ,208.58,48.98,240.39,261.75, ,29.54,235.82,264.38,206.87,111.31,268.67,48.98,233.41,194.97,122.75
6.45,295.13,162.28,6.86, , ,87.80,72.30,41.06,39.09,179.74,238.64,221.88,265.34,253.64,273.55,246.85,189.70,46.46,103.10,149.45,53.86,78.39,260.89,162.84,67.39,150.37,190.99,293.64,227.55,16.64,23.67,181.10,205.47,265.35, , ,234.56,52.06, ,12.95,23.74,199.79,163.30,257.31, , ,163.10,130.27,170.41, , ,299.24,49.13,153.74,242.37,216.00,49.37,87.72,241.87,139.43,193.32,40.72,210.37,239.52,268.02,134.40,193.71,86.18,141.46
106.77,128.39,39.15,251.72, ,193.59,90.30,7.70,39.47,97.40,40.00,211.32, ,124.64,106.09,286.49,150.73,31.38, ,70.52,67.75, ,261.33,198.06, ,85.09,119.94,242.86,20.54,9.88,278.82,99.08,40.01, ,133.27,19.49,148.53,17.05,284.12,57.68,238.47,267.27,197.08,180.89,170.30, ,163.29,120.43,203.53,8.99,293.70,263.40,235.52,260.05, ,238.43,6.06,116.26, ,13.34,295.81,293.39,137.27,44.76, ,248.30,128.04,111.83,155.60,150.56
14.89,119.25, ,125.31,287.38, ,0.72,240.93,215.11,208.36,16.57,190.84,284.18,157.08,233.93, ,84.49,165.74,127.29,87.61,249.26, ,194.39,272.95,146.79,107.13,259.86,221.20,88.57,169.58,1.40,258.32,188.00,17.99,93.65,192.10,86.31,97.47,42.78,116.02,258.49,244.72,46.86,69.04,71.30,81.08, ,39.40,230.13,242.95,99.42,226.72,166.31,243.14,236.59,263.03,272.05, ,190.40,236.79,68.47,198.07, ,240.21,5.74,194.72,204.96,28.68,139.81,25.48
 ,262.07,5.03,68.57,159.11,124.26,218.41,103.99,42.28,56.68,190.53,125.96,131.98,167.90, ,62.89,42.86,251.21,109.92,207.95,198.55,125.39,85.32, ,201.80,283.23,291.64,185.51,12.97,237.71,281.16,243.77,240.48,221.52,158.58,287.80,159.51,285.11,240.04,252.40,63.64,100.33,109.38,172.89, ,110.59,284.49,247.00,248.69,176.32,154.24,16.34,296.80,299.06,111.09,103.16,65.93,53.26,148.16,294.10,42.42,273.74, ,220.74,61.59, ,90.13,295.33,84.60,277.52
142.89,85.96, ,151.89,94.80,132.99,267.21,176.32, ,203.23,297.98,246.39,43.00,285.02,142.99, ,120.51,173.36,239.24,250.67,104.23,64.23,179.36,40.71,103.33,258.91,115.93,234.52,186.86,15.33,114.02,255.66,238.23,143.65, ,94.32,52.65,32.82,19.14,30.57,167.59,33.72,264.45,90.24,64.44,10.08,175.29,245.30,33.26,253.47,22.73,179.32,187.57, ,206.71,95.81,143.99,15.24,208.77,89.96,257.25,213.60, ,8.63,136.35,266.50,252.61, ,131.93,25.18
129.84,20.47,213.41,169.97,164.18, ,254.13, , ,195.86, ,204.49,268.24,184.29,198.99,195.66,238.12,74.99,152.73,293.61,259.93,294.80,242.32,78.24, ,183.61, ,15.49,138.38, ,22.67,170.29,237.45,134.31,276.21,11.02,195.87,31.60,71.97,1.77,233.95,83.22,46.78,133.05,142.19,43.01,158.57,61.05,114.52, ,90.73,265.32,293.49,194.00,114.46,54.71,283.67, ,101.23,89.71,99.53,51.06,96.77,55.84,5.64, ,259.93,150.79,123.48,267.75
197.22,67.20,84.90, ,170.80,260.80, ,60.33,137.43,289.19,258.71,52.70,200.17,90.15,237.88,195.24,231.12,287.83,44.39,49.19,243.53, ,204.05,298.50,125.10,85.66,160.07,224.85,132.84,79.28,175.37,79.04,224.03, ,222.35,141.56,193.27,172.83,289.14,129.93, ,31.30,157.75,103.93,180.50,20.09,120.57,252.69,276.45,71.12,99.08,186.85,180.30,243.46,261.08,141.67, ,172.96,247.30,21.90,244.83,49.99,79.24,157.31,221.89,49.98,133.11, ,203.73,125.96
229.04,251.14,133.74,243.67,287.98,73.60,252.83,67.87, ,13.32,90.37,48.77,202.39,177.35,85.61,182.37,23.69, , ,103.15,38.07,212.60,228.45,298.89,298.36,72.24,171.07,246.89,2.96,101.73,205.69,274.96,120.14,57.47,93.06,228.70,15.48, ,243.93,176.08,70.16,276.90,203.48,28.73,142.46,225.06,83.69, ,171.75,296.39,236.63, ,165.33,105.32,97.76, ,273.84,148.59,230.81,209.73,259.15,212.78,258.11,220.85,233.28,3.06,21.83,19.13,105.02, 
111.66,266.25,11.30,38.68,150.96,227.27,228.26, ,65.41,69.60, ,2.88, ,232.56,231.70, ,36.72, ,148.38, ,38.47,15.76,257.70,46.25,88.00,145.29,39.92,291.65,52.68,105.05,227.09,276.40, ,13.12,247.46,299.02,199.97,58.82,196.87,23.38, ,297.89,235.59,290.86,63.99,221.77,88.24,74.79, , ,77.76,140.35,96.83, ,36.01,116.36,167.79,14.71,137.63,116.92,232.70,239.43,265.94,64.48,183.25, ,76.15,240.26,146.15,99.92
73.10,101.75,209.96,20.68,79.12,208.21,195.21,193.98,218.32,235.92,185.71,175.56,271.93, ,118.07,278.28,226.01,205.22, ,146.71, ,225.83,229.90,110.37,74.37, ,76.83,133.71,282.78, ,254.71, , ,278.00,176.25,101.46,135.99,228.18,53.55,3.80,34.40,165.74,95.99,185.60,100.05,296.51,72.53,234.41, ,212.41,200.26,57.75,252.40,209.90,143.16,44.84,98.31, ,207.09,258.69,268.73,240.83,168.06,216.47,188.62,14.87,140.74,202.66, ,292.27
124.74,96.26,262.05,28.60,101.65,213.09,252.34,135.17,139.89,134.06,37.14,257.23, ,88.52, ,172.21,70.08,212.40,166.53,60.90,128.85,178.73,56.89,13.78,48.65,40.58,96.01,257.25,259.78,141.76,210.26, ,280.34,33.86,177.45,207.58,37.16,251.30,127.03,92.88, ,246.54,13.73,137.40,95.80,143.51,141.67,251.53,34.10, ,180.78,205.29,212.47,158.50, ,285.52,114.44,77.15,64.29,103.54,61.87,298.87,136.90,259.13,103.67,50.87,174.02,5.95, ,248.40
267.00,106.40, ,111.01,145.38,81.17,76.99, ,75.86, , ,7.54,20.07,124.46,174.80,126.68,118.45,258.05,45.04,298.58,175.46, , ,70.04,127.75, ,203.62,57.17,269.02,140.10,255.21,144.60,87.51,88.89,239.83, ,4.28,37.06,161.78,230.51,235.61,144.89,261.88,64.78,75.40,222.01,150.75,189.81,270.34, ,132.93,84.40,115.71,77.61,119.10, , ,25.10,195.80,246.11,97.49,77.57,250.03,143.78,12.58,103.21, ,236.14,259.44,111.29
54.30,35.85, ,86.76,16.94,201.59,284.74,291.06,292.11,185.09,73.96,100.86,81.83,113.31, , ,188.71,144.30,187.93,28.16,156.96,257.26,8.15,57.63, ,49.74,189.40,14.26,286.49,168.90,4.73,197.71, ,49.79,130.48,227.10,212.42, ,169.68,211.89,200.23,116.00,151.41,135.61,92.48,57.09,84.49,207.69,156.55, ,95.57,269.71,31.85, ,235.60,249.33,163.48,58.60,99.55,284.89,75.67, ,132.76,141.75,246.44,51.13,155.94,162.36,169.37,7.76
129.81,225.44,223.05, ,202.54,245.90,109.71,264.80,154.33,8.73,249.99,100.04,288.61,101.52, ,295.73,92.22,181.58,102.85,92.67,7.17, , ,76.93,159.40,260.55,252.63,112.93, ,52.08,56.25, ,172.37,10.20,274.87,282.26,296.41,216.46,42.14,198.18,107.32,62.97,220.52,77.33, ,186.84,174.82, ,63.00,88.47,80.06,264.97,141.06,137.25,264.96,58.63,298.46,220.71,233.83,77.02, ,177.93,260.23,141.08,115.75,287.85,36.60,153.92,192.25,236.17
80.27,8.41,114.03,164.12,108.19,252.48,180.05,17.35,183.16,39.66,114.97,187.86,78.70,250.50,157.09,220.73,2.24,180.76,103.50,291.72,50.25,31.05,74.60,70.59, ,110.25,21.80,144.52,216.46,123.88,43.39,108.13,12.79,161.51,140.77,120.77,256.65,83.52,139.57,257.54,38.74,54.00,205.55,233.91,84.82,9.41,68.34,108.95,154.81,210.18,176.86,48.05,95.92,20.46,263.49,32.81,45.79, ,251.34,296.68,70.15,82.76,122.80,7.32,55.12,114.11,154.64,98.76,240.98,8.61
193.82, ,196.05,296.09,283.74,255.49,51.57,139.85,132.75,257.25,95.27, ,145.97,295.85,77.82,175.06,113.29,73.04,264.93,18.65,89.18, ,146.26,189.18,1.56,26.26,58.62,193.84,267.50,205.26,61.33,87.30,255.38,220.80,121.11,296.60,115.42, ,261.68, ,247.79,135.19,8.68,95.58,103.22,186.03,275.32,150.57,95.13,218.81,83.90,42.17,84.77,77.16,119.27,122.11,175.32,41.11,151.11,86.51,199.78,262.82, ,113.40,15.03,156.53,3.25,73.14,281.22,160.90
50.00,112.18,161.68,158.17,220.60,132.19,194.65, ,69.75,251.15,39.67,164.00,173.75,143.77,41.66,118.40,124.50,143.91,266.44,99.73,133.99,144.30,289.25,146.67,273.67,66.47,268.32,83.98,290.91,99.56,2.25, ,126.75,208.21,289.15,168.04,255.59,145.56, ,94.59,10.89,209.01, ,177.33,165.58,298.73,118.96,95.57,95.60,59.63,290.62,125.42,50.04,121.31,45.53,290.19,84.09,65.72,140.06,169.28,262.45,98.96,199.31,118.33,116.85,298.73,226.74,266.14,205.17,172.38
160.65,107.41,221.03,106.20,116.19,66.73, ,165.69,42.79,278.39, ,156.35,284.55, ,250.70,65.75,232.27,198.80,123.85,15.88,249.75,113.16,143.70,68.70,51.86,69.61,149.20,186.60,231.24,46.21,29.58,220.09,128.40,56.70,262.44,249.23,149.55,137.41,254.20,2.64,17.61,36.30, ,222.91,250.18,98.65,222.19,52.20,39.01,240.73,133.53,240.49,162.86,183.12,257.08,158.74,106.84,299.44,249.93,26.08,114.95,32.22,35.34,221.18,255.51,65.61,175.22,134.76,8.97, 
266.05,52.93,213.95,228.62,233.84,213.68,265.91,166.16, ,250.58, ,206.10,213.72,261.35,129.90,228.78,193.61,254.89,124.01,230.45,56.44,203.58,298.24, ,164.40, ,114.98,230.41, ,144.13,144.22,146.11,292.71,37.25,248.77,11.55,214.24,174.05, ,144.18,137.23, ,9.76, ,106.51,77.22,9.56,133.61,239.54,66.20,14.51,182.20,265.29,212.54,173.87,297.20,67.83,170.77,144.19,65.13,271.22,240.09,235.78,54.27,50.95,108.75,74.21,63.77,290.77,68.95
267.37,182.68,200.58,44.18,159.24,295.48,251.66,111.24,9.26,62.75,285.98,125.68,162.45,99.69,165.75,17.85,234.79,168.31,253.99,180.15,21.81,243.70,111.19,160.89,220.45,180.66,95.14,266.62,195.78,110.80,234.95,194.64,29.19,5.12,275.45,96.41,60.89,270.72,95.05,292.52,55.26,221.94,179.51,107.99,254.87,136.82,47.45,59.56, ,64.68,69.86,156.23, ,196.34,182.91,169.44,6.89,48.61,75.10,117.39,3.41,101.88,262.08, ,21.64,266.10,285.79,36.26,103.08,38.36
