Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86
49.48,253.49, ,168.61,298.88,254.50,39.16,145.50,138.32,296.34,0.59,136.47,237.89,284.09,265.11,228.19,244.38,64.82,31.42,194.23,183.33,7.15,59.92,241.13,210.70, , ,119.03,238.87,290.31,93.29,117.86,66.75,163.02,8.59,65.00,224.74, ,231.89,111.47,111.94,295.24,136.15,168.44,145.40,89.36, ,44.78,40.12,248.47,243.10,97.59,159.88,256.43,254.23,22.90,239.18,34.01,168.76, ,267.80,82.38,154.31,101.95,141.14,289.02,156.58,141.88,105.96,121.11, ,248.35,157.20,72.91,176.12,131.75,209.47,115.53,72.01, ,112.55,282.06,101.98,47.65,3.32,108.07
171.00,72.79,83.71,284.20, ,225.87,169.59,24.38,101.97,201.67,208.94,152.61,61.34,58.16,294.57,113.27,82.78,191.79,123.49, ,98.42,204.14, , ,229.47,141.44,44.94,234.80,164.59,65.64,3.48,150.41,184.11,298.03,161.21,47.38,270.38,1.88,50.89,213.99,3.30,6.22,67.42,52.53,186.33,87.86,189.01,105.06,207.69,297.01,95.19,82.23,190.17,240.08,244.14,221.42,209.51, ,276.93,48.21,55.00, ,244.81,235.07,128.52,152.96,211.67,169.91,13.72,78.01,1.14,107.88,269.60, ,265.28,18.87,203.25,179.86,18.67,135.13, , ,221.50,189.56, ,183.46
119.28,137.17,283.63,42.99,262.43,218.50,212.07,160.00,111.85,4.61, ,73.15, ,294.65,62.63,59.37,47.66,207.56, ,191.19,42.08,92.32,62.92,147.35,209.06, ,269.11,153.86,211.05,37.37,264.91,69.99, ,117.65,253.66,202.03,132.38, ,224.71,52.19,26.75,182.83,153.86,297.94,16.24,272.46,114.68,153.61,261.66,2.32,153.36,66.64,137.20,287.47,190.15,35.67,86.76, ,240.62,74.89,86.70, ,140.31,158.17,283.23,193.61,284.44,290.36,45.17,61.84,189.46,72.31,168.89,143.64, ,214.10,48.03, ,268.83,103.15, ,86.38,28.63,231.27,62.29,120.77
44.19,79.30,225.73,165.07,148.08,184.49,131.63,62.97,201.36,239.38,39.08, ,67.70,206.46,159.97,264.07,233.00, ,229.18,133.55,128.01,205.16,43.80,245.04,173.01,10.83, , ,138.15,117.61,56.41,95.81,224.98,178.23,274.74,85.67,201.66, ,106.82,133.73,171.23,16.62,251.33,192.38,267.16,118.85,98.73,298.81,4.74,222.18,119.17, ,227.46, ,17.39,272.76,181.67, ,198.29,42.94,53.99,294.46,163.03,195.04,196.27,247.54,161.16,159.86,127.61,121.99,104.71,146.94,41.72,47.43,152.54, ,206.54,261.77,297.59,197.88,55.50, ,96.20,182.66,188.77,43.38
184.45,170.82,103.91,22.31,152.55,241.72,81.39,81.63,73.86,282.12, ,118.99,92.57,84.83,5.80,92.01,279.55,187.38,44.01,33.24,252.47,137.08,289.48,153.96,287.22, ,1.47,174.84,183.76,288.47,297.66,24.41,63.12,201.61,8.52,107.29, ,15.38,26.32,254.32,78.59,275.11,243.01,9.28,250.07,135.12,298.81,206.87, ,171.38,55.86,216.16,83.78,178.53,196.48,79.07,261.99,51.87,263.62,105.71,68.24,245.39,105.66,157.57,145.89,33.33,208.84, ,292.63,243.44,16.13,196.44,88.83, ,185.26,262.94,290.94,97.83,281.88, , ,22.19, ,55.52,77.24,212.95
124.66,187.24,283.23,233.69,0.74,257.33,41.41,172.34,46.13,54.48, ,193.93, ,62.32,3.41,32.34,209.43,72.75,297.79,180.36,128.04,9.95,62.51,33.67,123.95,43.52,29.43,72.35,107.94,28.57,274.24,27.70,217.89,280.35,156.43,147.16,41.81,69.83,208.46,39.17,183.30,210.84,35.27,213.96,117.86,254.56,3.43,275.78,82.72,137.00,116.84,223.61,141.27,262.98,96.94,82.15,84.84,192.96,276.18,263.32,49.44,186.14,200.15,274.19,118.05,222.01,95.35,93.54,139.05,286.37,58.66,216.22,61.50,263.62,216.09,131.72,144.82,18.40,179.78,27.84,103.77,232.71,95.46,135.75, ,122.12
141.42,86.73, , ,248.54,112.00, ,77.53,139.40,65.28,88.51, , ,42.96,91.40,275.97,72.94, ,243.44,239.90,185.08,226.07,181.86,9.10,115.59,142.79,94.69, ,187.80,192.31,128.72,69.19,210.86,163.42,85.57,200.04,248.65,41.81, ,79.87,277.33,120.78,106.98, , ,103.27,299.32,289.81,103.23,193.89,257.92,30.92,54.06, ,146.14,52.43,268.34,97.41,264.58,270.79,199.63,283.32,77.12,50.53, ,145.03,65.94,108.06,124.45,243.53,8.27, ,128.35,290.83,264.14,143.28,135.47,12.73,103.64,136.15,149.99,299.20,22.68, ,119.55,74.22
21.21,195.08, , ,159.07,259.56,279.88, ,22.79,68.74,297.06,280.60,161.63,251.08,81.97,3.87,237.39,29.79,262.02,230.72,57.10,216.99,47.19,121.53, , ,196.41,95.17,162.81,156.82,141.12,277.06,247.36,211.93,234.33,175.18,131.38,232.36,103.85,159.85,49.54,115.65,194.30, ,57.11, ,171.00,218.57,153.72,62.51,143.09,239.60,161.90,250.54,119.35,73.81,279.77,157.74,69.29, , , ,173.86,280.15,90.61,36.32,190.73,99.64,41.57, ,112.55,143.73,122.83,211.10,40.88,198.02,120.88,2.43,78.12,210.19,265.09,297.04,229.13,21.27,140.58,166.17
207.62,185.04,227.43,133.05,164.99,78.49,235.33,215.90,255.39,274.17,164.49,142.11,70.22,210.32,2.56,163.94,86.39,240.63,145.13,282.13,104.75,295.98, ,211.88,96.93,27.69,202.46,159.52,69.12,206.40,25.47,143.87,69.27,176.28,37.98,65.22, ,125.84,94.78,255.96,64.31,175.99,196.39,241.23,244.01,98.87,289.60,67.82,151.03,101.53,298.65,299.35,106.19,90.83,92.57,49.28,40.72,238.60,100.16,129.59,143.96, ,133.56,35.94,161.25,160.34,295.26, ,42.01,219.90, ,12.47,268.27,220.34,107.95,293.70,287.04,131.74,6.00,225.72,24.11,38.54,182.34,96.27,75.82,196.96
33.29,88.29,78.79,195.10,166.09,174.52,226.68,68.63,271.57,274.61,81.32,180.12,46.97,240.71,90.69, ,123.97,119.73,125.88,20.63,294.45,187.14,136.11, ,68.79,210.57,160.65,56.56,255.55, ,196.25,107.85, ,231.83,77.50,206.88,77.99,200.32,106.65,123.52, ,192.31,174.69,25.67,292.27,122.13,83.62,22.11,52.29,123.30,57.38,40.18,258.64,163.56,66.33,69.58,175.58, ,50.27, ,216.86,23.54, ,107.15,7.79, ,287.67,242.96,2.58,8.28,242.84,207.27,83.29,75.56,238.74,9.15,264.06,26.22,264.99,94.74,19.68,132.03, ,74.99,217.86, 
179.08,232.51,10.14,63.20,274.68,92.67,138.29,209.82,44.31,176.39,197.18,232.42, ,147.71, ,65.57,16.47,163.31, ,173.45,94.21, ,96.15,223.27,108.54,98.94,7.92,291.91,171.39,234.30,72.04,30.60,200.83,82.27,296.05,237.59,207.48,200.28,248.55,238.07,256.65,209.94,12.33,169.67,126.18,258.53,142.47,35.83,36.20,107.45,231.37, ,138.85,193.36,190.31,80.54,273.57,157.33,129.87,107.81,185.35,272.12,54.25,119.40,297.46,205.01,168.87,22.79,191.80,150.19,233.07,29.50,48.27,144.78,246.00,191.73,164.37,214.92,125.11,16.18,271.82,152.28,171.23,148.40,91.23,145.14
229.31,230.93,61.47,155.72,28.29, ,192.66,53.74,36.43,127.46,59.88,11.28,219.88,48.97,277.59, ,1.88,2.69,254.45,8.52,71.63,157.63,229.46, ,40.74,52.26,264.37,216.85,12.71,162.01,119.64,109.24,141.48,250.37,40.56,82.81,86.16,8.37,49.08,260.81,182.69,258.02,125.21, ,137.92,284.73,131.25,8.84,265.81,29.30,135.50,122.91,129.99,294.61, ,71.93,81.42, ,39.44,225.71,224.39,225.93,263.23,33.44,136.10,67.01,39.35,209.23,188.76,104.78, ,96.39,253.25,209.93,217.25, ,131.57,43.08,145.12,114.67,278.38, ,45.40,217.17,25.41,136.68
184.21, ,280.60,183.71, ,237.46,196.89, ,132.89,264.73,266.30,156.57,30.18,290.09,251.55,171.76,74.68,215.19, ,195.79,50.57, ,288.03,152.25,37.09,164.93,263.14,81.23,75.92,154.09,257.76,4.01,136.62, ,51.81, ,247.61,283.35,198.86,131.66,176.33, ,41.26,299.38,251.80, ,63.20,14.43,78.83,150.48,97.13, ,270.55,214.87, , ,112.90,48.33,280.23,200.25,87.66,193.98,18.72,102.66,156.83,70.73,274.10,272.40,253.45,39.66,156.99,84.99,276.09,133.90,50.41,277.81,233.79,177.53,14.19,244.41,103.81,46.29,1.32, ,254.77,8.07
118.62,208.08,156.34,222.41, ,256.57,229.88,262.27, ,276.46,87.27,191.41, ,269.32,212.45,58.51,245.79,292.69,89.67,282.39,3.61,222.88,185.52,150.53,260.18,124.25,80.67,239.20,165.49,286.83,146.25, ,92.04, ,218.08,25.92,147.67,295.52,289.71, ,140.25,183.51,153.08,214.31,170.49,290.30,84.23,225.27,20.27,56.49,235.39,290.90,220.77,131.37,10.14,214.66,41.24,284.03,29.46, ,199.95,9.44,79.97,204.24,97.95,266.02,156.93, ,292.78,74.27,251.22, , ,234.80,264.05,72.13,117.17,193.46,100.70,192.88,76.67,276.34,68.43,155.14,93.12,67.44
272.07,251.80,184.54,286.44,105.43,142.10, ,35.56,250.53,228.38,284.66,105.26,99.21,138.00,237.66, , ,257.99,56.85,177.41,53.07,48.87,168.10,261.47,6.97,111.64,40.92,266.13,79.17,290.72,272.10,203.09,33.42,239.17, ,116.58,280.79,82.59,10.68,53.90,61.03,25.97,6.83,262.51,201.44,143.73, ,72.11,246.26,182.79,195.81,2.01,91.30,12.13,155.27,237.62,127.22,95.57,210.36,86.12, ,113.97,237.90,279.22,60.19,142.40,280.57,247.64,44.20,222.22,247.50,165.55,115.63, ,239.23,30.51, ,149.80,249.92,253.25,47.31,13.89,259.07,142.62,204.55,298.94
114.75,115.18,263.53,49.38,170.05,106.71,71.63,34.71,44.22,250.68,1.40,281.24,259.03,167.18,10.68,290.36,112.55,105.73,36.36,152.27,183.93,101.80, ,136.52,259.71, , ,125.88,32.48,151.41,253.52,167.01,5.35,232.19,98.18,147.26,160.54,137.23,155.48,35.01,69.90,116.47,45.96,190.07,28.70,234.77,56.47,101.86,94.23,172.72, ,19.99,202.84,282.93,229.14,57.37,145.62,37.60,98.06,33.39,8.65,111.27,131.34,92.72,7.29,65.88,169.07,45.41,159.54,94.27,104.06,9.81,203.75,93.01,27.36,178.31,201.27,26.87,202.65,225.77,246.36,109.65, ,155.06,237.06,281.61
287.46,35.54,37.01,30.16,110.32,217.13, , ,173.20,109.36,16.20,239.16,128.95, ,284.01, ,167.40,48.16,56.80,92.02, ,122.17, ,278.73,123.31,256.47, ,65.83,143.19, ,151.04,283.05,198.08,258.84,148.52,220.36,90.71,299.13,134.55, ,113.28,57.66, ,54.17,203.81,120.02,271.95,203.02,207.47,179.98,166.59,173.32,233.82,99.32,221.40,64.71,47.14,213.41,84.20, , , ,293.83,283.01,179.97,172.37,117.99,147.66,212.00,80.32,33.92,97.43,77.99,14.93, , ,108.41,85.72,145.25,73.36,44.45,66.27,234.39, ,82.05,167.51
111.07,50.58,140.97,202.33,33.30,260.76,34.95,30.92,240.18,204.73,154.92,134.71,92.45,27.25,49.72,191.16,238.30,285.15,260.11,173.43,114.02,238.61,229.13,280.34,80.00,237.75,43.12,6.66, ,33.91, ,228.67,1.95,142.97, ,103.08,119.68, ,253.87,137.57, ,117.91,84.64,290.06,46.09, , ,153.95,191.71,288.80,297.06,235.91, ,39.00, ,135.49,175.57, ,58.57,102.81,259.87,100.93,151.86,5.65,17.41,225.23,54.58,9.57,254.08,12.37,152.45,128.56,109.63, ,168.20,87.48,134.27, ,113.70,243.46,78.63,185.13,273.38,22.03,150.07,276.67
269.18, ,97.74,206.13,113.56,271.29,53.40,94.30,219.26,76.86,218.05,223.74,11.12,243.94,13.52,270.73,189.23,272.45,228.73,83.87,252.90,243.34,160.72,139.69, ,216.56,95.11,42.33,265.41,260.97,219.31,230.20,70.24,67.71,258.78,141.08,199.17,244.42,56.96,45.16,159.12,255.53,216.01,271.26,203.65,140.89,113.24,218.21,101.14, , ,232.20,61.00,278.01,36.83,287.48,171.92,43.70,100.82,125.31, , ,4.31,151.91,53.10,1.03,56.04,214.16,23.49,119.60, ,156.44,268.06,208.40,282.13,215.47,161.16,82.96,291.86,42.03,118.06,110.43,168.20,186.46,75.65,276.03
142.20,113.62,70.89,224.91,57.87, ,219.04, ,109.16,142.77,229.19,263.35, ,131.54,119.58,167.43,264.01,123.40,58.20,167.36,158.57,138.09,215.23,126.87,166.28,135.81,175.86, ,215.48,112.37,149.34,174.69,64.35,253.95,177.47,28.19,46.17,95.77,163.80,171.99,19.18,292.64,294.51,17.47,119.04,217.26,230.18,98.92,211.22,155.35,240.48,46.37,132.10,31.77,295.04,152.74, ,145.38,16.93,68.34,53.69, ,22.07,236.13,122.90,173.87,236.04,161.78,101.00,124.56,289.78,36.53,133.82,287.90,75.87,253.03,276.25, ,298.33,83.11,102.48,293.20,166.51,242.50,208.54,273.48
226.17,77.84,226.90,56.59,212.66,64.63,255.41,62.43,195.43,73.07,76.00,78.63,173.81,91.43,257.52,123.67,158.00,252.38,38.30,196.49,288.13,166.42,176.96,197.28,74.39,70.30,36.61,92.89,170.07,292.77,249.23,11.28,17.95,192.13,272.64,7.21,49.74,204.32,102.48,299.10,71.95,27.25,218.33,18.97,4.46,215.99,128.18, ,146.13,253.05,163.58,209.59,91.42,28.68,185.69,17.22,202.22,89.80, ,209.94,93.34,41.49,168.10,236.59,15.81,182.07,291.11,127.77,15.17,144.15,96.67,50.51,176.64,249.03,142.07,217.16, ,258.66,241.47,181.32,144.15,52.56,299.96,190.10,291.48,259.58
197.76,75.28,110.64,6.02,54.47,215.22,238.37,234.60,2.22,50.34,124.77,208.69,79.21,240.17, ,199.75,97.65,170.73,244.39,160.66,137.60,157.66,264.03,62.06,33.76,194.21, ,297.11,127.48,187.61,147.01,267.39,185.13, ,39.77,196.33,287.96, ,145.63,190.11,223.46,210.93,228.19,104.19,179.86,1.63,299.31,154.95,91.11,67.84, ,113.36,280.28, , , ,295.97,124.12,130.45,20.86,126.10,283.95,56.71,73.42,134.22,22.73, ,90.57,48.32,230.29,5.25,234.97,60.83,76.33,161.89, ,220.54,126.18,243.43,190.06,238.92,245.23, ,213.69,79.27,256.14
290.62,74.43,213.59,257.03,115.52,101.29,39.46,242.82,282.19,134.01,64.63,244.27,107.90,78.49,119.97,196.73,296.01,36.17,106.41,199.52, ,0.81,151.59,281.41,21.77,229.54,171.76,265.08,195.73,276.52,243.01,279.63,7.15,89.77,57.20,116.27,195.10,17.72,156.65,142.22,106.26,199.23,159.59,176.05,287.36,138.22,163.71,283.97,68.64,87.61,156.71,104.98, ,122.70,177.60,240.72,228.09,255.24,172.06,82.15,106.92,65.60,98.44,21.26,252.09,56.92,251.72,182.92, ,5.62,159.35, ,215.36,55.22,261.65,290.17,154.66,278.52,134.38,103.71,46.27,250.64,133.74, ,16.66,45.73
7.91,149.73,120.44,105.87,166.92,281.22,187.81,189.24,212.68,211.77,12.47,18.96,101.32,179.63,127.21,140.25,130.44,185.78,195.25,241.94,24.80,272.88,1.46,20.68,128.33,282.46,200.03, ,1.35,136.08,49.95,259.58,191.89,70.85,144.81,84.71,87.30,179.86,9.33,20.59,170.31,205.94,153.07,267.55,130.10,273.75,165.07,65.12, ,135.97,27.68,284.45,285.77,114.51,1.65,6.28,26.80,131.06,112.40,5.45,168.53, ,48.58,173.89,31.11,249.67,84.45,215.29,133.91,133.62,209.25,125.89,16.92,265.44,197.61,60.27,172.39,105.01, ,278.90,174.61,284.33,120.12,20.74,266.39,272.86
 ,262.98, , ,297.09,34.72, , ,59.15,264.33,34.63,143.06,282.44,53.63,298.85, ,138.08,36.98,238.48,73.92,146.56,147.45,88.54, ,183.52,138.93,265.46, ,108.51,238.12,296.49,286.09,134.64,35.08,235.12,46.20,123.92,62.86,276.75,13.52,34.91,140.94,80.28,138.45,257.37,176.03,102.58,136.46,286.30,108.83,145.10, ,269.03,293.31,24.54,253.92, ,68.74,62.38,182.00,37.82,277.41,93.23,75.98,17.20,101.22,283.69,281.06,215.35,207.45,53.40,109.67,231.77,247.44,27.44,194.99,268.80,279.11,252.38,291.71,117.36,95.60,39.26,15.20,105.52,110.36
274.80,238.87,98.44,200.72,15.75,191.13,268.10,46.57,225.32,190.05,131.22,143.73,62.31,125.09,81.57,26.75, ,265.61,253.91, , ,167.67,270.91,227.49,198.79, ,237.07,109.14,23.67,238.77,111.79,253.81,299.31,249.73,246.17,108.69,76.35,265.76,159.38,263.21,16.77,66.99,149.20,22.13,129.00,258.84,24.76,134.15,193.20,178.84,296.55,237.46, ,203.22,35.39,71.84,37.96,102.91,32.21,13.93,108.04,163.92,299.59,182.98,269.78,202.50,263.41,46.61,66.03,144.94,271.02,137.33,99.80,0.78,219.29,37.09,289.54,76.16,277.58,12.78,225.99,56.50,105.30,225.71,52.93,272.75
 ,110.08,87.22,33.70, ,48.41,296.94,157.32,27.07,32.24,82.26,255.12,147.63,241.87,231.74,143.98,18.75,14.58,218.63,85.37,34.51,94.17,171.73,104.55,86.40,238.64,95.01,7.42,254.17,15.98,244.08,90.41,291.36,14.50,169.88,47.84,233.66,235.85,93.50,4.18, ,242.82,272.20,55.98,90.74,230.82,249.35,67.05,82.14,226.68,41.92,39.98,260.22,182.16, ,222.56, , ,12.60,71.95,259.93,239.91,217.62,214.53,283.61, ,155.64,82.67,79.95, ,40.18, ,105.79,248.59,135.52,188.18,120.29,299.40,277.26,24.71,179.12,177.42, ,33.06,206.32,139.18
