Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75
8.34,63.40,73.87,162.23,239.79,12.28,245.77,249.28, ,155.71,144.90,144.56,37.97,187.48,123.98,85.37,198.32, ,106.81,255.71, ,116.72,127.45,84.87, ,107.47, , , ,298.01,214.49,196.20,44.90,100.73,208.20,104.17,265.04,176.35,117.84,285.01,24.30, , ,187.62,62.87,168.86,67.81,126.85,89.05,265.38,234.38,158.27, ,103.58,222.44,198.79,31.91,94.76,269.84,100.75, ,67.83, ,135.64,32.09,18.39,77.04,202.71,69.89,180.85,188.25,220.36,173.75,203.27,165.40
 , , ,21.40, ,226.64,8.02,281.26,227.05,238.03,250.23,237.07,181.39,234.37,212.36,54.03,76.63,288.74,185.58,211.55,108.88,89.16,96.91,143.32,128.72,153.73,89.27,210.03,216.11,72.40,252.53,244.09,45.86,219.31,263.04,150.99,269.05,188.83, ,32.15,139.28,243.65,202.77,128.27, ,272.67,79.02,72.26,254.36,255.96, ,219.00,200.54,273.57,179.76,151.25,129.46,25.41,208.76,107.56,101.60,9.70,137.14, ,160.26,237.80, ,287.35,67.46,26.15,28.58,80.56,117.82,170.36,283.12
71.40,116.15, ,125.85,285.94,40.10,250.01,262.41,265.25,80.40,23.78,181.72,201.99,47.51,231.91,95.12, , ,127.17,253.02,13.77, ,263.78,129.14,38.79,57.13, ,178.56,80.25,135.21,18.49,78.14,173.47, ,171.29,95.34,112.62,271.20,282.06,261.09,274.16,286.96,281.92,41.80,32.00, , , ,132.86, ,223.14,244.48,189.39,180.02,299.13,152.66,275.84,207.17, ,69.51,15.12,217.24,255.24,296.10, ,273.07,284.32,247.34,111.84,127.50,223.16,12.97, ,29.18,132.32
9.59,42.79,56.82,120.34,225.12,284.36,74.09,233.27,200.47,241.68,257.96,221.99,62.42,52.74,201.63,61.05,92.14,295.47,186.16,209.18,55.18,76.74,240.94, , ,253.67,207.97,100.60,296.69,245.89,45.18,26.67,29.84,107.59,135.22,11.97,8.66,134.59,234.57,154.01,183.64,250.85,209.82,61.28,268.03,162.19,144.12,219.25,198.14,159.85,289.50,140.13,106.92,91.30,49.51,134.68,32.82,128.24,183.33,23.46,218.22,101.12,251.57,86.24,147.14,273.86,1.07,173.98,193.81,68.10,286.11,238.82,277.47,157.38,205.01
151.98,46.12,160.90,87.43, ,22.79,236.24,70.35,165.84,145.29, , ,7.02, ,245.74,59.76, ,71.23,130.74,8.29,113.38,288.09,18.86,68.05,122.87,3.97,156.97,193.33,113.09,160.56,269.63,206.18,232.47, ,42.43,60.41,164.24,184.53, ,298.28,293.76,205.85, ,240.92,100.19,196.21,46.74,211.20,278.40,64.03, ,201.98,17.70,158.68,242.36,256.84,282.94,161.91,31.61,272.76,136.48,273.36,289.73, ,266.67,66.66,210.18, ,247.06,201.30,129.50,281.01,10.72,31.32,263.62
69.63,11.18,291.90,260.72, ,36.28,194.44,232.89,73.02, ,188.70,42.41, , ,227.99,226.13,157.87,10.60,26.81,235.62,135.07,265.40,243.68,82.40,235.59,227.62,282.11, ,277.54,7.16,87.30,118.00,129.20,59.06,214.09,48.55,115.07,20.09,35.03,140.38,20.86,70.10,112.84, ,224.16,294.09,23.31,222.03,43.13,63.99,17.93,115.12,262.64,266.52, ,79.25,213.41,269.46,164.22,187.27,291.20,8.56,26.79,101.13,199.54,191.61,13.87,269.02,169.01,157.92,7.29,124.18,127.64,5.21, 
 ,110.06,269.34,94.46, ,195.59,242.79, ,119.51,273.08,55.75, ,213.67,133.65,129.61,24.38,10.36,296.43,149.35,197.87,171.18,11.22,140.37,154.07,73.52,251.44,10.99,288.41,98.94,121.40, , ,135.89,185.07, ,34.42,263.97,80.21,13.60,298.35,1.04,41.12,228.14,267.28,191.59,120.61,13.34,140.87,185.05,44.20,44.56,226.40,81.00,166.51,153.59,62.21, ,103.33,69.70,78.19,198.10,211.97,283.48,52.62,146.18,186.81,67.44,196.12,17.32,267.98,52.34,39.26,101.40, ,183.09
35.36,234.25,257.16,130.98,125.70,54.73,283.52,184.64, ,156.93,18.72, ,216.74, ,84.89,246.47,145.89,245.54, ,263.36, ,132.42,294.88,283.04,270.38,236.43,291.49,279.76, ,56.74,272.61,170.77,150.75,209.40,94.89,265.06,277.25,132.29,50.54,128.50,7.38,100.37,62.61,56.97,248.47,44.55,291.94,93.41,168.53,295.29,125.62,154.95,135.89,159.97,257.78,133.96,115.57, ,154.74,123.45, ,140.47,0.44,253.65,87.62,248.93,115.37, ,114.38,118.82,54.41,215.32,246.32,198.05,260.07
 ,41.52,168.32,226.64,141.97,35.46,181.66,35.53,154.95,94.26,265.44,173.26,32.79, ,2.78,183.25,238.23,39.15,145.39,269.93,13.89,282.19,34.48,164.69,244.98,117.21,236.92,62.07,8.54,129.42,163.91,196.14,193.04,54.30,62.15,35.80,123.48,165.65,135.83,106.15,299.01,141.93,247.69,31.94,118.17,55.08,188.79,32.75,225.32,207.13,164.66,39.39,298.10,298.15,7.58,40.33,9.49,120.35,82.60,171.37,213.05,113.63,231.29,155.73,173.02,29.63,41.20,267.00,55.71,256.84,113.75, ,234.67, ,45.74
188.24,258.91,57.87,19.58,78.51,29.57, , , ,86.50,183.55,270.59,91.75,2.21,73.44,31.89,29.91,121.71,133.38,251.61,135.69,74.43,30.38,19.53, ,239.62,256.19, , ,160.45,7.81,206.48,140.57,103.34,299.84,53.85,284.42,241.93,283.41,27.96,105.48,225.42,127.78, ,52.79,185.99,189.68,6.19,55.00,16.61,139.18,58.63,134.38,265.46,86.04,155.07,210.07, ,17.36,106.64, ,121.27,98.06, ,50.29,139.90,183.13, ,109.98,81.51,136.61,297.42,7.19,101.46,131.26
152.44,202.67,224.56,182.16,286.98,27.56,129.02,136.81, ,111.29,285.54,60.96,139.36,247.85,186.07,113.75,71.76,256.46,142.52,225.85,297.61,58.68,271.44,229.23, ,247.21,130.05,44.03, , ,200.40,104.07,11.34,280.28,228.61,287.43,115.27,247.12, ,258.64,28.26,21.37,245.18, ,250.27,176.70,214.49,249.51, ,299.77,24.04,297.72,117.68,265.75,76.90,7.99,279.23, ,138.29,240.24,179.36,77.31,130.72,61.45, ,288.30,202.01,252.64,211.44,91.98,133.37,223.55,191.81,270.67,57.81
88.48,49.79,141.77,130.21,215.59,265.91,236.59, ,29.64,241.65,163.19,165.25,174.96,268.07,281.95, ,81.85, ,4.85,104.98, ,45.63,157.39,122.67,273.30,31.31,139.53,224.85,178.30,11.83,275.30, ,244.03,92.70,277.37, ,227.52,171.62,65.13,73.24,106.07,228.40, ,25.80,260.14,150.30,256.98,274.07,102.62,2.18,280.75,188.78,148.92, ,212.76,157.77,229.59,292.69,246.77,202.22,272.75,276.51,86.63,11.64,103.08, ,27.08,110.51,199.00, , ,228.03,174.58,273.76,279.42
250.29,7.48,251.01,218.48,270.50,42.96,34.89,147.32,153.48,130.15,77.72,284.16,150.82,119.17,71.75,69.15,221.16,43.14,262.66,188.31,84.27, ,17.50,175.66,127.86,283.97,158.56,284.39,132.54,281.05,84.52,3.20,232.62,267.24,24.12,200.63,213.89,274.46,244.40,94.69,194.21,93.66,229.22,163.26,65.38,250.16,258.40,173.86,182.55,114.52,120.26,54.59,119.97,100.63,259.63, ,51.46,168.10,60.00,25.45,200.01,22.03,218.08, , ,4.97,31.78,276.47, ,155.82,41.78,116.46,124.86,162.37,264.58
 ,147.58,294.68,260.85, ,50.75,276.17,249.86, , ,289.98,45.90,169.83,241.97,270.95, ,24.03,103.10,20.07, ,231.60,9.78,220.31,43.27,297.90,105.34,193.81,165.37, ,139.93,208.19, ,238.38,240.83,234.80,263.85,0.05,21.20,219.07,285.46,162.59,46.81,32.23,32.28,150.83,169.90,272.22,28.38, ,184.46,167.90,29.75, ,87.76, ,106.36,44.57,208.73,193.08,197.11,20.39,58.30,171.28,166.46,191.64,111.64,176.50,193.54, ,229.34,235.00,14.50,289.12,119.82,78.02
180.48,299.30,147.52,57.67,53.58,104.27,137.25,138.28,76.85,5.37,285.15,49.97, ,88.97,144.74,173.17,208.49,210.44,108.60,88.83,125.60, ,274.76,92.32, ,169.18,118.42,108.51,122.16,37.69,32.66,120.32,245.35,62.64, ,171.24,148.79,53.41,166.54,279.59,105.96,244.77,91.55,36.90,48.35,186.76,202.07,157.38,80.93,160.88,290.28,278.66,249.40,176.41,63.04, ,39.50,230.96, ,190.71,180.04,258.00, ,207.40,181.77,240.97,138.73,5.14, ,50.48,270.82, ,181.36,104.15,191.83
56.96,17.78,262.58,140.69,206.02,89.18,91.64, ,230.38,35.02,190.81,121.59,261.64,42.99,98.94,107.01,217.55,182.54,152.13,240.93,36.96,265.93,80.66,154.64,45.68,298.93, ,120.52,236.82,141.10,214.24, ,79.01,148.57,19.47,92.49,177.45,249.42,254.21,139.46,41.11,298.52,121.62,160.57, ,275.88,62.51,62.51,269.13,170.09,1.21,23.17,48.24,211.03,106.83,31.08,282.22,214.19,37.83, , ,98.38,18.38, ,80.89,17.98, ,248.66,223.29,25.46,124.45,163.15,177.60,146.95,110.43
182.09, ,64.94,47.40,124.20,272.51,90.70,267.73,239.16,66.50,57.04,35.44,201.18,171.14,113.67,205.84,213.05,123.83,159.91,201.65,79.52,189.20,164.65,13.42,188.52, ,245.56,50.24,19.12,110.23,130.64,20.36,54.24,129.29,234.36, ,218.47,108.03,250.26,264.61,76.50,43.60,98.69,141.54,180.66,148.02,289.14,15.54,43.46,123.88,24.36,9.56,204.44,50.51,90.28,118.38,168.26,258.07,23.52,4.74,258.11,199.36,141.97,241.85,4.88,261.11,190.13,272.07,88.27,249.27,37.70,45.33,229.64,172.91,103.01
157.33,30.40,8.38,271.58,57.80,15.96,5.70, ,277.77, ,0.35,256.41,17.59,244.02,5.14,200.37,294.57,169.29,114.38,197.35,127.90,62.42,274.06,49.94,45.89,41.50,0.52, , ,299.65,265.33,145.24, ,139.81,282.24,37.79,62.12,287.80,186.17, ,254.29,254.98, ,296.48,232.71,130.72,294.05,216.15,4.28,111.80,5.26,8.86,253.95,166.80,88.26,73.41,7.26,34.56,187.18, ,119.89,184.59,19.48,286.85, , ,130.13,73.96,200.85,178.11,283.80,60.09,193.26,44.02,174.24
35.45,105.33,230.71,226.05, ,212.90,81.44,98.65,55.57,174.27,200.93, ,20.78,193.14,45.87,62.31, ,97.76,93.95,56.10,179.15,117.41,274.82,73.65,172.27, ,46.55,297.22,158.17,98.86,232.05,288.48, ,277.10,190.22,45.22,154.93,252.62,16.42,171.18,0.92,219.29,90.00,94.43,79.24,81.51,44.48,119.03,291.08,130.97,167.19,127.62,100.56,294.45, ,165.63,8.59,126.33,299.08, ,281.74,12.66,257.21,289.49, ,280.57,226.95,39.57,289.49, ,69.72,20.68,221.76,86.00,54.06
129.92,92.03,228.13,174.91,161.83, ,257.81,133.95,6.84,287.90,235.20,66.05,143.45,140.02,43.95, ,173.87,213.28, ,17.96,109.03,24.85,137.60,204.55, ,78.07,172.98,201.87, ,114.16,217.72,11.93,148.26,135.54, ,121.07, ,281.52,244.20,247.13,176.19, ,52.84,114.41,243.04,164.85,130.43,165.37,259.26,232.87,262.57,138.88, ,203.30,20.72,71.53,229.29,119.54,0.57,147.86,292.34,91.24,294.56,105.36,297.83,12.04,194.97,229.15,232.92, ,253.64,115.31,209.24,41.03, 
90.33,289.98,254.67,22.65,119.80,28.41,60.41,207.90,129.17,233.99,269.49, ,249.43,237.22, ,278.25,219.69, , , ,146.56,173.90, ,1.91, , ,164.64,17.69,273.28,55.91,229.43,192.21,8.86,178.60,152.23,55.69,7.96,190.68, ,286.47,82.74,37.89,275.31,162.73,147.41,25.04,43.83,282.39,105.54,244.93,185.49,148.35,51.17,120.28,136.11,159.59,217.42,63.89,71.61,161.86,41.03,9.21,283.58,151.20, ,96.13, ,139.34,139.96, ,260.25,221.51,100.14,284.42,204.25
69.24,39.01,171.90,297.47,209.48,107.97,13.93,180.38,43.44,64.24, ,24.49,217.41,274.65, ,272.28,253.06, ,292.06,264.78,27.26,127.45,29.52,30.25,6.43,277.05,18.77,212.83, ,130.23,60.17,210.66,150.00,73.97,155.78,207.67,131.01,201.20,158.74,177.58,33.67, ,250.60,280.42,194.14, ,28.89,181.66,158.56,103.27,274.54,36.28,32.80,11.42,14.62, ,192.20,294.92,31.92,175.19,108.95, ,102.61,204.39, ,62.95,141.04,290.46,31.76,132.89,184.10,213.67,28.13,16.77,130.18
268.57,61.03,74.69,180.13,43.70,210.68, ,51.72,170.78,133.88,284.70,227.55,246.60,79.72,298.58,182.65,71.34,108.30,262.71,28.98,291.31,46.31, ,98.03,244.47,33.97, ,66.90,286.12, ,65.84,195.85,248.63,239.95, ,88.80,299.03,234.99,11.14,88.29,79.32,29.29,22.35,263.69,232.68,102.76,15.66,25.80,117.36,124.22,20.34,53.37, ,288.36, ,269.66,126.77,86.38,78.14,173.27,197.98,291.65,235.90,169.47,191.59,230.63,240.85,228.82, ,259.61,280.04,252.24,128.32,164.41, 
273.14,121.20,263.60,171.85,120.16,161.21,28.16, ,269.01,256.37,13.14,245.81,217.54,71.21, ,235.62,278.64,187.88,79.88,212.68,50.98,293.06,44.59,4.03,290.23,28.51,59.98,199.27,162.04,124.38,296.60,238.11, ,125.99,48.65,287.76,28.45,293.44,65.19,244.67,4.89,165.85,51.50,157.61,272.39,229.04,251.54,118.39,257.80,1.86,221.84,6.83, ,0.27,75.42,135.60,19.83,78.61,178.61,135.79,161.34,212.30,42.26,160.01, ,104.38,165.59,260.52, ,270.75, ,46.17,3.04,207.46,37.53
 ,226.49,292.03,112.15,129.45,105.67,123.46,93.84,130.40,54.89,96.58,175.50,71.80,267.06,270.59,68.25,105.98,177.65,82.57,2.33,144.21,201.47,72.81,62.04,115.37,206.02,142.56,175.97,144.66,245.09,240.25,271.47,8.08,144.24,138.91,2.67,254.57,250.80,199.44,230.59,129.76,226.76,218.13,186.68,245.76,178.03,145.11,232.24,298.61,243.84,223.05,120.64, ,71.43,50.09,135.60,214.03,291.66,190.33,73.03, ,204.80,226.16,280.65,203.10,234.88, ,157.94,237.41,244.10,240.58,93.10,59.09,48.38,193.48
145.14,191.83,171.30,111.45,3.63,124.31,204.73,99.66,64.69,98.24,45.90,2.97,114.99,146.13,112.82,102.07,6.12,143.24,16.88,98.63,224.54,3.40,194.18,191.94,140.13,267.66,28.99,25.03, ,171.16,145.51, ,103.47,103.31, ,120.19,192.94,125.94,144.12,10.06,147.15, ,137.33,273.33,207.22,10.29,169.52, ,80.30,188.90,230.34,91.50,37.01,191.25,100.33,118.16,282.54,79.32,102.63, ,268.95,41.53,163.05,296.87,291.35,137.38,54.24,80.04,9.99,296.03,164.82, ,275.21,256.40,83.78
70.45,27.98,168.48,156.63,4.08,70.89,242.49,182.23,139.46,225.46,283.04,68.77,89.50,28.37,98.51,104.93,239.10,162.54,140.13,187.13,124.29,272.19,17.43,282.25,141.42,60.85,6.11,138.90,173.60,141.50,279.42,141.07,79.34,26.11,22.78,63.67,171.25,213.84,190.28,45.58,103.80,156.17,236.05,205.52,162.33,81.76,293.45, ,72.79,86.38,249.21,55.93,170.86,10.12,282.07, ,13.78,211.54,119.91,165.02,257.24,72.44,169.10,261.82,138.68,15.75,137.46,186.86,186.22,243.85,260.73,50.88,160.06,144.46,110.02
5.39,36.83,106.25, ,68.06,282.41,151.04,93.77,0.21,52.63,271.37,239.60,49.28,281.48,58.57, ,68.05,188.97,44.68,10.81,63.28,170.82,297.15,113.37,284.38,216.19,112.25,202.84,263.87,215.16, ,176.61,243.57,286.27,188.14,59.27,44.77,247.38,202.54,177.74,215.93,282.29,130.87,82.01,160.75,279.71,74.48,233.62, ,219.88,187.93,125.78,246.14,211.87, ,143.42,299.80,206.86,238.52,178.97,102.28,219.49,176.04,238.32,12.03,29.54,126.03,204.32,177.05,2.39,169.18,75.80,205.15,151.07, 
30.05,122.68,83.70,245.81,142.98,89.70,85.01, ,15.92,297.64,8.04,80.53,145.82,46.20,139.00,194.64,227.32,282.07,142.55, ,220.22,298.37,110.81,178.15,99.30,15.56, ,15.59,135.96,229.14,212.38,79.44, ,6.76,209.60, ,96.34,228.64,245.11,236.87, , ,127.79, ,120.07,285.95,162.13,122.02, ,190.16,166.77, ,32.64,134.35,123.64, , ,26.21,186.58,24.98,182.49,111.75,118.56,195.43,245.06,24.97,207.62,171.57,279.20,52.61,245.28,194.65,125.96,123.25, 
148.23,158.05,265.68,59.18,56.04,8.44,64.84,281.11,184.82,192.75,59.04,34.32,200.95,61.26,72.56,97.38,227.74,161.41,116.04,256.80,260.45,245.58,278.49,238.83,233.13,252.35,137.88,227.47,235.98, , ,62.54,229.33,213.46,183.70,11.33,201.58,105.74,297.07,73.86,247.53,67.48,299.16,186.55,244.20,215.36,131.07,62.88,268.17,151.14,5.83, ,207.42,98.10,131.31,128.45,129.86,134.69,134.59,216.29,284.25,276.57,169.89,151.97,222.64,81.44,134.14,66.87,78.15,96.14,47.29,276.68,60.02,206.89,151.42
255.83,162.00, ,31.89,76.73,109.52,43.62,39.17,250.90,65.69,176.87,163.16,251.83,161.48,247.20,214.62,11.93,232.38,275.04,131.21,226.46,256.80, ,295.97,75.66,23.30,253.57,54.70,250.29,216.51,42.22,228.11,284.53,44.97,253.43,60.07,235.70,262.00,125.57,163.39,34.68,92.77,185.14,43.28,242.48,148.92, ,77.02,216.91,142.27,8.84,205.84,87.20,276.03,32.22,156.37,268.67,26.22,228.19,0.20,116.18,212.54, , ,198.17, ,40.44,53.80,160.89, ,67.54,272.12, ,128.49,246.53
59.43,99.73,203.66,49.30,75.89,56.01,48.36,110.41,120.33,280.74,232.05,48.75,232.01,253.77,181.72,232.04,103.76,174.28,195.13,171.05, , ,36.47,92.35,210.92,11.10,193.88,151.54,219.06,91.14,144.06,73.13,214.01,107.88,184.30,11.87,274.03,282.42,207.76, ,118.67,168.50,181.32,161.87,30.71,215.09,89.48,276.66,101.96,273.45,37.84,202.12,250.50,75.61,195.51, ,14.18,286.89, ,98.54,143.08,131.80,32.79,246.12,86.85, ,60.31,200.85,140.45,287.27,69.65, ,220.03,37.88,53.57
76.96,248.76,281.37,278.20,1.83,23.61,272.41,148.99,87.45,51.18,173.03,151.15, ,71.18,240.96,241.55,205.97,252.10,75.03,104.20,34.48,112.80,0.93, ,211.67,157.90,168.36,142.23,152.24,90.68,286.27,281.78,125.66,241.71,150.48,55.86,8.84,52.46,85.32,104.14,138.73,259.84,292.98,26.59,147.38, , ,36.97,123.25,242.66,114.30,39.33,32.81,254.55, ,39.87,284.31,275.87,296.71,239.34,9.54,246.15,269.99,163.79,203.05,79.87, , ,7.34,205.82,265.43,235.68,128.22,42.17,166.35
87.04,137.66,190.24,223.41,163.60, , ,113.63,34.67,250.32,265.23,97.53,147.22,235.98, ,278.15,119.55,166.58,154.69,115.47,186.57,102.11,273.14,87.40,203.43,0.78, ,156.91,237.65,76.17,279.58,151.78,148.92, , ,23.51,189.62,75.44,64.12, ,232.88, , ,178.35,81.76,46.60,122.99,200.90,30.32, ,89.44,17.21,153.34,204.01,2.73,208.28,28.65,299.73,235.65, ,125.34,228.93,42.52,222.68,48.53,173.70,42.44, ,57.58,254.87, ,257.60,57.46,269.68,24.18
39.84,178.53,78.03,37.13,159.38,63.97,212.81,104.85, ,18.99, , ,274.43,231.46, ,255.91,7.61,20.06, ,198.59,218.35,249.77,165.43,102.87,122.38,178.19,231.09,90.47,171.04,73.82,280.36,58.41,284.85,185.55,178.83,244.94,90.18,136.08,104.28,28.96,279.49,4.30,104.33,138.44,159.67,77.87,189.51,5.52,174.79,206.66,275.21, ,65.39,286.88,150.58,49.96,205.31,81.54,61.45,254.33,35.99,114.70,56.10,181.53,125.77, ,179.39,288.71,113.20,17.07,185.59,184.17,148.21,44.38,202.74
218.42,256.68,54.26,141.12,14.23,131.02, ,10.42,197.40,247.85,57.68,118.00,266.23,148.79,125.21,10.26,31.31,2.59,4.09,257.45,149.51,140.36,237.72,70.99,191.38,67.52,100.89,249.64,266.35,174.65,211.31,137.48,134.73, ,138.82,16.39,124.85,288.51,283.13,132.18,30.67,185.77,251.91,229.38, ,27.81,129.21, ,266.69, , ,240.68,82.09,200.29,2.49,268.14,28.09,103.87,251.34,38.50,60.92,222.28,295.69, ,234.81,194.46,107.87,57.24,83.30,60.29,16.80,258.39,277.19,106.29, 
95.93,213.30,42.33,255.41,251.55,272.83,77.65,253.97,146.62,162.16, ,152.41,123.37,180.16,169.52,136.51,82.38,92.88,253.28,194.65,180.02,264.13,155.48,280.10,200.14,96.50,268.35,238.81,59.71,192.27,105.43,108.80,239.73,127.05,130.14,184.31,99.53,36.28,201.96,189.36,110.46,163.17,234.76,170.52,220.95, , ,91.56,214.19,234.17,224.30,62.93,74.47,257.05,117.48, ,6.84,237.59,124.27,227.45,186.91,147.20,145.62,41.25, ,72.54, ,296.84,191.94,251.06,62.49, ,221.49,178.72,126.53
