Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89
 ,269.02, ,268.57,65.78, ,52.37,260.61,129.97,115.16,174.56,7.89,233.84,240.62,296.31,203.66,138.10,15.39,208.22,75.69,219.92,261.47,36.14,58.23,253.34,44.43,276.68,190.23,84.77,264.89,170.39,125.06,295.19,115.60,294.60,213.28,153.59,186.81,96.82,55.84,118.42,178.06,152.58,5.63,199.13,18.42,139.08, ,134.27,193.61,278.54,250.96,238.49, ,128.22,24.89,272.69,284.31,238.42,219.03,74.24,214.57,187.69,236.15, ,220.09,225.59,244.21,91.68, , ,10.92,196.43,197.49,179.28,278.16,267.27, ,85.44, ,273.13,119.25, ,39.34,3.92,42.35,29.65,182.75,235.96
 ,130.93,137.37,53.27,26.39,37.74,105.98,299.90,64.93,17.94,158.49,147.18, ,27.66,83.47,27.29,17.96,150.37,262.29, ,77.82, ,115.57,202.80, ,281.92,122.84,198.28,115.93,77.78,73.13,57.82,231.18,1.50,227.62,18.39,100.78,275.17,211.77,100.40,282.64,256.87,82.18,86.80,200.62,172.46,68.47, ,299.65,258.79,235.15,74.13,84.07,298.53,82.11,82.08,260.12, ,65.60,95.99,144.68,16.98,270.35,247.41,85.10,186.42, ,169.71,213.45,85.32,235.46,189.46, ,149.58,92.24,128.51,67.58,184.85,290.32,170.01,82.83,192.67,95.96,138.97,296.21,96.26,28.21,97.65,115.08
227.68,162.40,95.56,29.37,14.54,135.60,257.41,139.67,187.69,232.84,246.57,119.41,137.24,6.51,193.37,182.12, ,44.52,124.47,206.61,289.03, ,173.58,158.90,33.77,248.88, ,195.44,192.67,32.91,244.77,233.66,149.91,95.28,231.95, ,138.56,157.96,265.08,248.55,44.79,170.58,248.93,189.11,136.50,177.50,72.16,110.45,295.21,233.79,97.12,58.57,178.15,0.53,248.07,267.22,231.40,286.52,81.64,24.92,3.02,94.92,47.71,213.69,70.54,232.56, ,291.13,179.18,103.88,155.71, ,148.57,127.44,164.68,10.73,127.21,92.02,88.92, ,2.62, ,150.10, ,151.13,169.07,13.98,52.72,25.90
18.27,169.80,174.93,164.10,206.10,156.55,266.77,255.75,178.92,119.49, ,270.62,88.59,114.44,53.64, ,96.00, ,265.81,272.63,19.86,250.79,193.71,164.48,34.76,68.91,253.36,108.09,163.50,224.90,258.22,262.08,74.55,143.37,120.26,85.04,153.17,37.83, ,202.31,149.61,5.78,289.54,146.27,232.31,138.42,1.17,172.34,191.51,190.21,257.09,16.91,159.38,135.04,167.59,143.13,73.54,55.38,217.72, ,150.03,115.02,245.77,232.63,123.50,182.82, ,189.03, ,48.41,258.79,292.60,97.81,69.68,65.18,164.44,109.36,211.42,74.76,156.36, ,279.86,32.61,103.39,107.49,270.05,185.93, , 
22.54,251.76, ,84.52,266.91,148.17, ,222.93,274.63,185.30,7.17,289.71,139.55,37.70,29.71,34.34,105.70,189.72,26.15,141.98, ,35.86,35.03,230.95,128.76,255.85,168.44,72.96,13.32,16.69,199.88, ,154.70,214.15,103.47,234.22,100.14,281.32,125.96,39.10,264.21,152.35,68.81, ,47.80, ,64.49,190.47,19.61,50.82,89.58,174.05,99.75,114.72, ,240.68,121.45,180.73,289.53,90.63,48.60,55.08,202.93,229.66,237.04, ,170.81,112.86,88.20,19.05,293.68,143.60,222.85,90.92,270.32,35.30,67.71,41.05,76.67,36.57,195.52,242.98,75.80,111.18,268.45,66.93, ,210.54,154.48
263.25,161.65,134.46,50.07,188.66,84.87,193.54,42.65,12.27,280.74,220.16,36.56,211.68,282.03,171.02,13.54,235.66,116.63,22.80,78.32,23.68, ,217.22,101.25, ,210.22,12.86,247.64,180.77,48.10,281.53,299.31,53.39,170.26, , ,36.72,104.52,246.61,277.61,264.37,123.85,202.66,4.98,186.12,9.61,48.54,153.34,286.22,282.82,76.75,49.54,71.32,173.86,17.18,197.03,251.24,156.15,157.59,4.18,46.87,277.93,4.94,143.26,38.00,147.63,113.99,228.22,51.22,203.25,253.55,49.95,121.16,58.68,67.22,22.46,76.65,209.50,131.66,72.74, ,220.37,292.84,212.63,168.75,81.41,268.26, ,173.04
193.19,281.60,294.58,74.50,4.44,152.83,36.76,5.76,145.94,208.46,202.80, ,217.50,69.37, ,56.46,52.58,290.52,210.07,38.25,56.34,268.57,178.79,134.74,220.94,174.72, ,77.51,76.36,84.04,180.77,202.19,186.35, ,220.53,215.20,46.48,1.47,180.71,20.38, ,241.32,239.53,240.26,286.72,12.06,162.34,204.53,132.41,216.37,11.41,277.71,24.77,271.66,129.96,60.19,216.73,141.52,72.22,173.31,98.40,129.71,78.20,25.26,125.12,273.11,219.91,106.73,200.07,284.50,230.31,175.43,46.20,3.31,98.73,177.37,61.98,157.86, ,183.11,166.43,23.90, ,274.72,289.34,188.08, ,118.39,80.24
64.73,268.74,195.92,60.52,207.33,250.89,108.91, ,275.35, ,278.32,96.92,292.74,276.09,176.52,285.11,59.92,53.95,233.01,174.01,42.91, ,293.80,170.04,227.16,86.55,123.71,146.28,82.70,187.81, ,282.29,251.27,84.25,70.86,255.08,10.78,26.22,291.79,241.96,82.24,206.15,211.05,277.88,78.81,10.58,90.37,162.49,35.07, ,105.93,1.94,274.78,77.03,291.72,288.64,14.36,17.46,287.05,123.84,92.38,120.39,10.07,82.97,148.33,98.56,293.70,5.07,100.43,15.16,14.21,203.46,79.80,174.52,234.49,176.66,218.07,247.35, ,30.32,258.64,78.41,53.72,217.96,279.35,37.36,14.27, ,42.83
195.89,187.81,215.72,157.25,61.53,61.92,134.91,130.48,120.18,248.66, ,270.86,261.39,49.95,49.39,18.49,220.80, ,51.18,122.64,285.34,13.03,56.01,89.03,42.88,229.86,208.31,262.40, ,270.62,128.23,261.63,190.36,82.56,233.61,71.17,219.45,155.07,11.34,55.73,45.89,127.68,173.26,299.83,171.45,296.74,290.46, , ,140.81,129.34, ,200.51,82.51,71.52,167.19,104.95,120.42,192.70,243.15,157.67,83.02,299.92,118.58,229.09,99.09,128.74,21.12,89.97,185.10,152.85,236.02,117.31,27.70,214.28,221.58,274.03,200.08,87.29,232.23,18.05,174.43,204.84,176.05,299.18,156.29,113.44,109.83,148.74
240.76,108.37,134.97,166.93, ,254.22,288.58,71.75,145.04,224.74,94.59,39.77,75.83,269.18,1.62,16.88,140.69,247.52,214.86,169.95,86.27,3.61,94.78,94.75,293.90,280.41,239.03,244.23,211.97,183.00,113.33,52.74, ,0.26,194.64,126.99, ,251.17,191.29,223.51,285.76,5.53,5.90,286.34,259.42,163.53,111.90,42.30, ,22.07, ,216.71,14.91,11.53, ,202.83,132.91, ,50.32,263.95,138.95,6.34,148.60,240.79,146.74,125.13,5.16,265.54, ,280.46,196.64, ,99.47,25.43,256.34,182.73,131.96,170.58, ,19.17,60.84,154.91, ,232.53,94.83,270.96,178.53,176.58,146.60
83.62,264.39,247.78,260.25,168.81,218.05,150.00,49.70,81.14,234.47,142.71,211.75,9.24,67.75,215.35,161.88,86.38,38.93,273.39,113.91,130.01,131.06,258.18,109.68,274.38, ,117.10,264.74, ,55.02,268.50,212.85,269.34,256.65,33.40,7.46,72.24,179.26,117.48,84.06,176.75,271.31,175.53,194.48,127.43,104.80,219.88,226.32,16.89,197.50, ,204.97,185.24,76.85,159.93,172.59,91.03,58.40,106.57,215.26,230.59,17.67,84.65,252.84,52.22,171.38,248.80,0.10,118.79,222.58,291.23,65.80, , ,103.03,227.36,45.63,183.06,184.47,98.63,241.59,273.11,253.36,189.31,55.96,30.41,286.82, ,52.62
 ,176.83,232.69,225.23,262.13,41.63,76.00,283.90,291.11, ,244.47,19.87,234.90,228.34,14.79,287.16,53.89, ,260.83,48.43,298.11,294.36,157.15, ,141.05,171.09,218.50,277.01,13.49,266.35,125.36,191.82,48.56,199.60,206.54,41.22,217.49,86.96,208.92,137.21,245.27,148.04,123.87, ,137.36,68.49,162.31,271.01,98.18,174.43, ,93.82,215.86,183.98,268.52, ,105.73,105.41,290.91,237.90,71.32,152.91,154.44,189.44, ,287.62,164.49,165.43, ,81.30,94.79,238.13,244.26,30.55,157.90,18.86,137.42,171.06,229.99,5.56,150.95,107.05,160.11,58.55,96.47,88.03,223.97,78.94,70.02
217.91,130.96,23.72,26.94,258.71,220.27,76.36,259.89,264.35,69.07,238.42,162.75,56.79,52.61,254.95,245.22,50.54,109.63,44.56,269.04,93.50, ,169.86,227.44,224.89,122.35,285.86,110.54,44.68,64.92,152.22,125.63,238.09,134.70,246.37,281.39,64.77,217.19, , ,287.91,192.07,3.92,98.16,190.24,11.73,23.25,142.70,189.02,50.70,93.14,295.00,246.71,245.23,294.41,8.52,132.60,92.58, ,190.74,268.77,262.71,56.82,66.63,15.68,256.41,240.56,34.41,200.19,260.32,88.58, , ,169.39, ,5.91,54.22,20.49,219.60,144.62,11.06,61.94,6.74,99.05,135.75,160.40,74.46, ,111.25
89.41,270.29,286.54, ,243.43,94.92,286.94, ,297.99,271.24,296.61,255.52,208.34,117.21,144.12,156.79,38.79,236.00,199.10,31.10,165.98,1.14,60.55,238.31,230.55,215.02,282.14,183.98,240.19,28.75, ,185.54,81.68, ,90.77,198.22,237.06,195.49,93.22,178.89,14.58,241.08,36.60,100.14,113.69,221.77,124.64,27.98,46.35,139.99,190.56,258.98,102.41,65.82,110.51, ,125.09,168.23,90.75, ,11.33, ,233.10,19.81,75.57,244.11,24.10,125.85,40.20,164.71,19.29,5.18,287.49,18.15,184.97, ,39.81,152.30,53.33,254.78,275.45,195.20,163.00,36.59,16.63,90.03,9.35,216.49,137.85
291.50,231.74,240.72,220.62,206.52,292.90,225.05,0.21,179.09,96.68,88.52,205.73,24.62,28.91,188.43,287.87, ,219.61,101.04,200.94,97.69,186.96,99.94,259.20,34.41,16.87,210.93,155.82,154.80,118.39,259.32,83.78, ,3.39, ,194.55,140.56,195.39, ,295.33,210.43,217.25,232.40, ,62.58,33.24,94.04,13.29,136.77,192.61,100.45,228.73,32.66,287.24,96.82,223.39,148.90, ,181.74, ,125.50,87.40,51.28,10.36,234.80,161.64,129.35,139.57,257.10,127.38,100.29,182.81,203.87,162.60,213.45,165.04, ,252.44,119.10,208.04,68.68,45.31,184.52, ,242.61,207.91,208.83,294.20,31.88
123.36,298.86,128.39,75.76,116.34,15.30,181.49,18.91,244.28,121.18,250.67, ,158.57,125.00,127.98,198.66,40.01,24.91,221.53,152.58,5.15,133.04,7.52,274.28,276.30, ,227.97, ,144.14,262.94,165.29,185.79,116.97,157.09,2.62, ,155.20,35.84, ,291.21,61.42, ,37.72,298.29,294.70,109.83,90.39,158.52,264.76,298.27, , , ,158.17,48.37,206.67,83.94,18.34,163.36,183.07,249.57,12.83,258.59,167.40,164.56,2.31,46.98,166.59,86.04,57.96,79.29,164.01,162.51,8.59,133.63,43.99,40.42,160.21,62.87,36.56,76.32,14.46,231.74,10.42,205.81,152.19,33.00,148.33, 
156.92,32.19,265.38,89.00,275.59,85.07,124.56, ,163.43,202.81,208.01,112.95,281.60,98.91,281.35,210.11, , ,212.09,96.87,241.73,3.06,204.14,154.29,85.77,243.59,112.89,201.80,265.41,190.98,197.99,11.56,52.24,239.59,268.46,291.80,155.54, ,59.67,94.22,86.88,219.90,224.83,277.24,36.91,41.66,58.63,112.79,266.22,106.32,196.97,222.35,298.32,47.09,218.31,34.30,253.24,80.64,25.69,28.75,218.52,163.83, ,276.62,250.62,250.19,102.11,103.52,91.30,256.36,239.04, ,244.23,137.79,228.98,82.75,226.09, ,89.92,12.54,122.29,271.68,144.33,165.47,283.06,268.58,106.07,37.09, 
87.99,176.73,290.95,274.70,260.75,6.95,15.37,61.47,45.17,122.86,299.42,102.03,39.30,62.26,78.54,98.79,179.38,183.49,235.00,87.37,161.03,134.92,167.81, ,212.98,277.80,29.76,133.97,87.82,48.21,253.96,133.54,279.52,3.98,44.05,237.21,23.20,74.72,199.34,54.54,1.46,144.27,80.85,17.17,153.67,203.42,165.51,228.11,146.01,294.88,94.26,129.86,263.62, ,162.96,71.60,177.16,119.56,184.78,225.55, ,290.92,59.11,293.83,1.47,219.32,29.90,228.43,131.04,64.35, ,240.05,30.30,23.65,25.59,247.67,261.89,242.06, ,98.50,245.48,52.43,96.30,178.37,242.09,216.78,157.53,246.49,2.09
 ,151.95,9.34,40.43,298.77,189.99,80.98,202.50,155.00,277.25,245.67,179.42,218.77,112.61,132.35,192.66,290.76,285.35,144.23,271.32,8.26,100.03,263.88,270.18,69.83,56.21,249.41,270.58,121.49,58.74,273.06,149.90,296.01, , ,161.02,283.24,96.53,258.53, ,228.71,155.62,235.50,125.55,141.70,292.62,52.47,197.95, ,161.77, ,125.67,92.63,123.35,157.42,220.44,292.41,97.11,25.30,19.15,203.74,144.58,85.75,142.81,200.92, ,200.78,271.14,263.40,164.24, ,70.85,107.27,294.91,211.29,236.99,171.07,91.30,37.08, ,179.89,113.62,6.21,289.83,55.29,9.38,178.54,290.38,6.10
19.21,264.94, ,195.38,288.21,226.14,163.72,205.18,252.46,30.68,14.07,22.15,17.41, ,216.24,170.13,285.70,132.83, ,280.31,139.25,132.70,293.82,204.23,20.89,223.24,123.55,59.61,204.59,87.37,293.26,220.56,5.13,48.44,38.66,101.78,297.27,243.31,230.90,190.08,4.23,3.36,50.62,273.47,139.99,5.64,80.26,48.86,36.10, , , ,142.94,123.31,195.99,8.32,4.48,47.76, ,175.53,26.43,123.65,209.83, ,290.10,48.52,91.59,116.64,271.85,119.03,37.00,209.56,58.54,5.43,31.84,281.82,295.32,23.91,40.65,161.40,208.70,106.23,55.73,166.63,182.46,122.74,0.67,264.78,246.33
165.50,239.11,178.44,278.14,96.16,55.56,49.54,167.48,264.54,78.65,250.79,116.83,180.58,105.83,176.71,115.57,30.34,189.52,289.11,111.14,186.46,42.84,130.96,91.77,133.53, , ,131.54,157.86, ,263.69,37.72,273.05,46.19,269.44,16.83,66.12,23.57,144.94,63.78,51.34,188.79,85.96,53.30,130.98,290.48,222.89,110.53,108.12,223.66,111.69, ,177.81,238.23,187.53,174.41,249.13,131.58, ,104.70,249.13,289.61,30.35,267.81,108.44,297.59,153.48,272.59,287.10,6.38,202.72,272.13,153.31,277.09,125.48,248.41,17.47,14.21,150.52, ,258.96,186.28,211.42,263.65,282.66, ,80.38,190.13,27.07
58.34,67.65,85.95,258.42,254.08,151.23,254.65,63.57,226.20,224.01, ,203.58,297.12,284.81,79.65,205.76,95.66,190.75, ,206.81,99.29,210.52,265.49,290.44,177.75,83.68,138.40, ,42.82,194.86, ,274.51,183.54,160.61,288.36,89.33,77.97,56.05,139.15,153.65,50.59,46.23,133.16,236.23,227.45,33.35,13.10,20.03,105.47,290.10,20.71,288.99,268.06,87.16,66.57,236.79,272.21,251.43,167.64,243.86, ,277.20,236.08,70.20,90.53,122.82,271.54,173.35,170.31,157.38, ,98.19,102.10,197.31,175.77,241.19,160.05,96.83,100.26, ,232.98,231.25,56.79,258.05,273.01,148.52,105.86,228.59, 
298.99,289.10,282.43, ,142.48,91.22,194.74,33.11,45.55,183.52,167.15, ,140.16,181.00,75.80,199.15,250.04, ,239.14,295.87,67.31, ,158.53,158.65,224.15,77.21,169.90,55.66,212.04,281.40,166.38,107.51,153.16,263.68,296.68,162.46,103.90,130.03,191.85,294.08,275.05,4.51,250.84,156.42,255.98,255.92,195.03,187.90,120.97,214.78,188.17,283.77,78.05,254.51, ,248.59,77.53,90.41,270.73,78.91,106.55,89.53,111.76,116.81,273.93,74.73,156.56,75.35,230.02,103.14, ,51.73,69.15,76.22,42.34,70.54,33.34,265.47,99.04,79.05,92.35,33.72,203.99,259.28,115.70,155.76,140.04,1.43,279.11
200.83,4.44,197.39,258.65,0.02,281.29,16.68, ,50.40,30.50,216.85, ,65.27,67.40,146.37,114.51, ,15.34,150.93,44.31,245.36,188.72,188.47,19.73,94.30,219.69, ,136.55,57.99,146.80,107.14,194.23,118.64,236.99,191.65,9.88, ,217.05, ,105.52,191.82,31.17,287.33,268.15,63.89,25.71,151.54,203.86,54.49,86.50,288.07,215.18,58.49,215.00,256.33,264.44,88.16,110.10, ,78.26,215.47,225.08,255.95,30.01,112.42,88.22,40.58,19.09,124.86,253.52,59.65, ,207.81,112.47,137.71,96.17,179.53,262.17,156.52,35.70,132.52,246.48, ,12.84,167.32,58.83,290.13,94.89,26.29
 ,44.20,183.52,31.89, , ,68.73,14.16,55.71,192.64,83.11,15.03,188.75,97.46, ,215.94,249.85,261.58,286.42,52.84,288.27, ,282.32,65.18, ,120.89, ,123.08,203.11,264.90,290.84,101.46,278.29,83.56, ,252.88, ,5.71,112.16,201.44,6.21,90.97,87.51,176.92,160.41,48.70,171.90,187.67,173.25,179.30,86.48,209.69,170.71,27.13,37.00,77.35,195.18,38.45, ,215.38,262.86,241.99, ,281.54, ,154.79,19.98,228.27,21.29,237.51,248.82,273.70, , ,72.57,55.36,268.50,248.55,266.14, ,133.46,295.37,26.86,294.12,65.43, , ,298.42,235.93
70.15,216.52,185.88,142.41,51.08,189.69,79.28,1.97,252.29,186.88,134.50, , ,241.91,187.05,73.83,159.12, ,75.65,122.18,73.44, ,186.59,191.74,33.24,178.61, ,65.49,25.54,82.30, ,59.68, , ,235.50,277.48,63.50,293.98,281.95,131.02,10.32,134.41,216.47,29.09,78.52, ,25.01,58.54,135.76,42.14, ,29.99,278.36,155.25,15.22,29.64,5.74, ,140.15,85.48,112.60,231.70,26.06,182.46,170.12,255.66, ,62.22, ,40.59,89.46,50.97,42.57,232.41,66.22,166.04,225.74,44.70,85.03,114.15,155.35,285.71,196.54,173.24,207.40,174.55, ,225.52,269.33
155.93,188.96,217.90,154.23,85.36,281.57,125.82,11.47,234.76,6.63, ,145.42,209.55,112.20,245.50,105.63,191.66,257.20,75.38,274.38,83.22,253.50,111.86, ,221.95,73.29,45.26,74.00,278.57, ,114.87,8.54, ,200.19,64.91,153.37,294.72,146.00,78.79,92.63,36.14,118.66,243.15,178.45,24.52,111.13,271.88,5.87,258.30, , ,226.40,85.99,249.03,201.89,17.33,9.15,9.09,162.90,291.73,269.40,198.36,13.58,231.12,62.62,225.51,212.64,156.73, ,105.75,274.93, ,269.44,1.41,270.53,230.78,205.66,278.51,280.70,274.26,11.54,101.23,69.87,88.97,12.50,32.35,136.94,191.06,8.64
84.91,56.77,241.44,215.85,66.44,212.04,108.36,77.58,160.63,223.47,74.05,111.61,179.08,272.32,54.93,262.60,260.14, ,201.58,71.37,48.25,33.56,76.28, ,285.88,13.98,67.37,145.31,194.43,127.54,94.53,147.71,22.30,76.50,9.43, ,130.95,217.10,195.50,121.65,279.26, ,188.61,164.03,185.78, ,13.32,152.83,72.92,218.08,286.46,190.20,45.08,151.32,185.67,255.57,108.85,246.73,123.44,48.88, ,107.34,152.61,68.49, ,278.44,286.23,62.38,9.67,197.59,69.64,207.81,90.56,260.04,201.52,290.81,240.82,57.74,282.71,224.97,195.74,297.58,168.31,58.41,167.42,38.97,39.25,262.27, 
 ,167.10,5.78,115.37,288.01, ,270.72,28.05,159.15,299.41,99.77,99.53, ,55.53, , , ,126.11,226.95,91.69,54.20,207.29,237.60,103.89,43.81,210.14,63.40,244.08,268.91,140.92,99.14, ,193.91, ,118.50,234.07,140.03,159.78,289.07,127.73,5.71,224.90,74.50,125.40,151.47,62.20,290.01,150.04,55.24,235.21, ,169.28,159.33,243.71,146.63,34.39,46.80,164.49,280.44,88.04,4.25,61.22,172.36,146.68,277.79,157.12,137.18,235.45,183.96,203.17, , ,270.18, ,134.67,123.93,17.74, ,200.09,288.34,106.72,294.37, ,151.49,90.07,171.49,61.86,289.75,270.90
