Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115,Col116,Col117,Col118,Col119,Col120,Col121,Col122,Col123,Col124,Col125,Col126,Col127,Col128,Col129,Col130,Col131,Col132,Col133,Col134,Col135,Col136,Col137,Col138,Col139,Col140,Col141,Col142,Col143,Col144,Col145,Col146,Col147,Col148
63.90,76.90,168.37,169.39,214.63,42.38,155.29,244.57,296.98,106.37,86.61,43.17,207.81,219.24,289.43,139.02,190.30,71.43,112.33,66.58,258.22,25.20,112.90,26.31,75.23,218.25,109.02,26.42, ,245.66, ,289.45, ,179.75, ,238.42,72.52,147.73,113.96,144.24,142.70,36.75,3.23,79.77,216.41,129.09,51.85, , ,175.11,221.05, ,159.47,205.37,152.07,278.44,80.35,167.70, ,85.63,197.05,66.38,271.59,47.38,278.06,64.74,289.40,36.73,145.27,27.62,193.14,288.18,44.07,85.84,135.54,249.09,36.87, ,8.46,193.42,189.00, ,42.17,82.43,293.34,119.96,237.44,284.68, ,28.74,17.07,254.65,272.80,225.41, ,233.87,26.70, ,208.38, ,79.47,209.28,72.54,93.76,42.35,235.61,107.18,290.66,9.36,103.69,104.60,129.88, ,156.58,79.40,66.64, , ,119.06,284.03,11.00,190.65,229.62,196.62,154.89,293.71,131.20,138.69,120.19,214.35,181.40,41.74,203.52,159.53,103.42, ,114.43,61.54,67.20,100.49,80.66,45.24,259.19,253.44,155.74,96.70, ,90.44
260.04,60.43, ,163.85, ,278.27,248.97,167.91,282.62,255.40,264.69,69.81,23.59,155.98,48.87,166.19,162.74,133.28,245.81,87.01,37.25,9.65,247.42,160.95,97.01,40.67,186.50,61.94,62.65,64.29,206.42,250.84,56.72,292.32,233.93, ,271.18,221.13,92.04,118.34,195.70,62.76,121.20,19.34,235.89,95.58,143.68,298.24,82.78, , ,16.28,296.78, ,217.91,221.14,63.19,212.30,5.99,119.08,189.04,115.11,245.95,269.99,160.76,54.79,87.99, ,72.48,246.85,54.80,122.73,254.89,283.69, ,153.39,251.17,222.23, , ,228.79,140.20,21.56,32.66,35.09,182.02,238.90,226.78,206.33,85.49,281.87,44.24,110.12, ,32.35,46.42, ,185.15,80.02,235.72, ,270.82,198.27, ,281.87,174.23,67.76,160.50,297.98,184.90,200.14, ,261.82,41.00,294.16,32.30,17.45,217.11,249.70,131.07,97.26,167.56,268.41, ,18.05,50.69,233.36,265.53,212.64,114.82,68.71, ,269.57,42.21,202.27,2.07,285.24,233.99,84.79,280.07,220.44,281.44,38.69,88.92,144.91,227.34,232.18,207.08
 ,249.29,240.15,90.50,226.44,207.48,274.61,59.31,30.32,186.79,203.33,242.63,263.97,243.19,38.28,180.89,104.95,28.46,71.37,18.59,8.79,77.06,35.95,188.76,1.01,219.98,194.61,220.19,268.72,132.39,230.45,247.03,143.45,80.50,94.46,212.64,25.16,86.65,126.07,127.37,50.95,31.42,209.96, ,178.68,236.54,45.44,132.70,93.27,161.34,202.65, ,5.90,210.45,46.70,67.95,163.59,221.42,64.46,146.63,10.06,105.15,7.07,28.44,148.23,249.25,39.29,77.08,195.27,137.73, ,205.68,187.63,37.46, ,168.85,257.65,190.89,74.65, ,103.09,265.99,235.11,279.02, ,24.20,186.93,282.04,67.61,98.60,135.55,181.22,110.51,183.31,201.67, ,19.43,185.22,0.78,107.75,265.13,4.00,194.08,287.25,233.53,203.65,220.88,206.94,195.39,108.59,247.48,96.15, ,281.37,128.39,60.08,66.84,112.19,261.31,59.29,211.65, ,237.37,54.89,290.79,190.12, ,137.60,243.22, ,224.60,121.93,116.92,93.15,42.30,145.47,224.49,232.07,181.84,134.62,13.74,187.02, ,34.09,90.72,145.98,201.91,206.19
19.75,21.37,178.60,49.37,111.06,131.09,143.05,14.80,14.26,266.81, , ,259.58,278.22,239.97,8.38, ,28.13,129.72,161.06,281.41,127.35,191.17,85.67, ,165.46, ,132.28,227.53,83.64,111.40,23.21,197.59,99.89,151.82,157.76,245.89,72.96,81.79,80.76, ,103.08,61.76, ,185.82,298.38,276.38,158.67,101.32,168.95, ,20.78,139.74, ,278.91,149.94,70.75,228.16,33.79,288.34,126.29,192.54,143.63,234.46,168.51,58.56,237.00,58.24,180.28,144.52,198.52,219.88,225.17,195.85,109.13, ,235.43,150.90,201.97,294.57,188.33,262.83,267.35,284.03,183.65, ,42.84,174.14,243.72,110.77,58.26,23.75,155.33,167.52,284.07,210.00,75.68,151.17, ,154.55,242.87,61.43,81.04,296.68,279.60,154.53,154.24,142.91,229.76,38.39,209.06,55.20,1.41,248.57,203.27,288.39,141.32,268.68,85.70,266.12,61.34,184.46,195.09,86.45,252.36,270.05,50.57,258.82,20.81,54.87,10.52,70.21,93.09,74.20,4.25,244.09,160.97,281.18,155.92,180.90,192.47,269.70,176.20,295.03,135.92, ,146.44,191.29
186.26,72.47,234.42,9.15,273.76,281.20,293.62,210.71, ,61.67, ,237.87,179.38,136.03,255.96,22.46,280.74,77.43,273.77,166.00,11.87, ,293.07,114.24,80.28,283.20,287.73,79.81,46.93,123.86,170.66,298.68,87.07,95.34,181.17,6.28,119.07,284.72,15.60,154.03,15.10,237.83,4.78,290.66,232.34,27.93,220.85,120.90,234.00,148.19,23.44,279.27,0.50,254.65,62.95,111.98,245.90,80.87,67.46,2.39,186.06,102.78,56.93, ,290.93,263.02, ,117.49,5.88,49.36,134.10,69.20,190.35,295.89, ,63.35,268.18,228.81,165.92, ,89.61,46.36,113.57,92.91,237.83,49.05,59.32,99.49,129.23,143.63,261.06, ,3.81,251.61,76.10,268.34, ,118.88,136.67,30.34,163.51,28.37,255.35,95.71,216.22,44.68,50.06,169.28,9.54,190.13,22.99,210.50,214.80,32.40, ,62.74,125.34, ,37.90,97.12,41.11,58.55,73.20,91.52,47.13,189.36,43.22,244.92,66.86,283.11,211.19,162.01,70.29,201.67,179.19,241.81,12.13,6.07,108.97,27.80,198.65, , ,129.51,195.60, ,178.71,109.19
157.64,193.95,203.10,229.75,243.96,214.01,156.12,53.29, ,209.38,244.30,94.23,41.03,270.19,168.54,48.22,123.47,186.15,252.75,103.78, ,253.83,76.57,67.99,63.65,39.24,39.43,10.23,83.01,83.43,168.59,70.27,172.72, ,46.76,235.23,227.32,104.37,144.05, ,273.91,159.09,193.96,55.14,11.76, ,95.19,72.82,230.47,17.17,280.53,123.08,214.48,283.24,46.37,233.15,101.20,269.42,105.07,169.48,179.70,213.48,167.83,119.34,219.90,148.70,200.45,116.19,22.18,133.77,226.72,178.89,278.04,142.26,16.24,92.35,19.38,170.83,292.12,285.52,126.69,112.46,106.00,142.07,28.08,196.74,42.77, ,20.80,124.97,240.18,196.25,156.10,6.95,194.20,28.84,123.82,218.68,269.05, , ,175.40,293.98,11.66,112.90,293.54,136.37,74.59,69.83,234.69,274.00,73.91,235.11,165.90,48.71,1.11,232.19,10.64,6.70,295.76,54.76,57.47,223.01,223.74, ,158.44,36.74, ,39.58, ,205.48,89.99,77.35,272.61,142.39,260.56,194.54,219.44,137.62,106.85,34.31,32.41,169.32,180.07,108.74,54.14,178.75,54.65
275.88,209.95,226.04, ,120.58,202.39,88.29,111.27,47.26,90.38, ,159.53,93.15,222.59,282.50,291.43,57.44,64.41,85.58,137.90,111.03,270.92,176.86,226.72,31.13,25.20,217.96,91.21,153.01,158.40,115.14,172.66,117.13,139.97,227.52,271.23,66.44,154.00,226.02,178.13,218.39,228.29,88.07,147.46,33.30,76.59,155.67,21.03,186.31,175.51,138.87,152.38,88.89,148.62,87.09,272.06,230.08,141.83,219.84,259.23,295.14,101.58, ,122.61,171.37,299.13,122.48,137.58,234.76,176.42,231.05,221.73, , ,78.37,41.90,110.63,62.80,96.63,131.51,37.24,202.85, , ,182.25,53.13,269.63,66.68,132.73,137.21,110.47, ,152.38,228.02,46.04,244.05,205.97,296.89,66.13,196.94,215.51,144.59,292.23,99.20,206.87, ,172.85,245.70,50.45, ,197.87,292.73,234.64,5.20,107.55,264.80,162.79,27.09,212.83, , ,212.22,99.63, , , ,151.50,116.98,246.03,62.48,26.61,93.15,68.73, ,73.22,103.25,34.65,119.63,28.11,104.58,274.19,125.44,117.34,279.21,119.63,249.57,97.78,0.73
279.49, , ,192.48,153.03,98.19,43.31, ,147.89,278.69,79.47,231.07,120.12,72.71,67.74,289.07, ,44.99,146.24,10.70,105.95,265.84,136.38,30.43,157.05, ,270.78,260.48,17.01,20.02,271.90,70.02,66.26,5.95,197.28, ,236.00,198.66,39.88,211.00,175.92,54.77,38.83,255.98,135.72,260.71,8.48,295.47,114.73,275.40,243.80,173.91,140.94,81.64,107.62,251.13, ,5.91,99.51,235.01,260.33,0.90,280.06,181.24,164.10,224.90,171.55,176.98,71.03,132.99,57.17,202.99,186.30,19.74,33.51,26.01,226.34,179.61,76.29,155.91,288.60,243.46,10.91,211.51,70.00,33.80,170.12,167.89,145.69,42.24,142.38,173.04,95.16,275.12,113.50,111.83,211.84,262.26,175.74,4.68,218.26,72.92,275.27,144.81,128.43,0.16, ,173.20,50.46,14.66,39.35,33.74,57.52,103.71,264.77,284.95,195.74,283.43,298.70,128.94,52.67,119.82,271.28,63.02,218.87,243.64,223.36, ,280.88, ,261.14,180.86,241.70,269.52,60.74,149.36,87.87,205.66,225.51,200.72,198.68,66.21,77.80,119.70,270.45,80.86,217.30,177.68
 ,147.20,99.07,233.48,203.29,194.40, ,71.35,49.54, ,115.75,209.08,232.06, ,118.17,7.35,129.13,194.46, ,278.57,147.64,255.27,47.55,161.90,221.02,158.10,4.88,3.41,79.17,0.52,53.64,162.28,297.06,283.56,79.54,131.05,174.18,278.10, ,140.00,157.01,188.40,18.48,51.48,241.42,232.97,40.58,258.63, ,5.95,262.49,75.38,12.67, ,290.77,115.85,201.59,144.37,20.93,252.24,95.31, , ,290.02,129.17,229.62,254.60,189.62,118.25, ,67.82,43.52,278.86,140.71,18.67,272.65,182.94,276.83,104.40,66.63,134.28, ,61.41,176.83,9.97,234.19,62.90,106.25, ,280.54,27.79,73.43,180.74, ,157.57,149.88,99.61,296.95,188.18,84.77,9.40,60.10,157.47,40.79,125.02,244.26,144.64,41.18,124.22,190.56,30.53,144.47,94.66,245.03,199.78,47.85,124.54,152.77,230.95,245.73,10.42, ,155.07,64.90, , ,190.70,92.99,83.95,25.80,168.16,125.15,56.49,22.51,187.10,95.40, , ,91.08,175.10,273.72,246.29, , ,170.89,68.12,18.57, 
186.73,5.35,159.05,107.20,226.77,118.89,61.97,98.51,145.36,175.93,290.94,87.82, ,183.25,233.07,289.97,88.55,118.62,251.57,280.43,85.07,93.96,154.12,191.02,209.59,232.26,226.62,82.77,17.84,250.59,167.84,64.18,33.09,129.63,41.10,259.73,202.21,218.68,117.91,112.66,45.37,22.45,84.53,26.54,71.24,53.28,217.69,195.47,0.26,235.44,135.16,167.53,248.86,93.70,195.90, ,241.27,116.72,35.81,239.80,293.18,191.46,134.63,127.74,9.18, ,50.54,216.02, ,164.88,119.08, , ,25.92,276.73,54.72, ,294.52,57.76,42.17,46.08,117.77,60.27,152.34,258.61,28.89,233.25,103.07,233.34,190.82, ,33.46,117.78,124.03,155.81,10.67,81.56,263.60,122.03,65.39,192.81,261.73,67.00,279.86,228.24,122.71,213.61,132.54,254.22,299.88,292.04,255.86,72.31,286.65,153.66,127.19,185.79,223.27,83.82, ,12.06,7.40,225.12,147.63,117.78,256.40,96.24,183.67, ,103.12,233.60,208.52, ,94.31, ,47.10,129.67,245.60,239.18,66.30,108.33,220.53,279.22,8.76,32.00,285.42,35.08, 
243.60,95.18,129.54,85.00,151.39,8.68, ,269.38,58.71,81.69,290.23,127.58,7.07,177.58,294.71,211.51,156.26,181.81,20.86,279.17, ,295.96, ,251.92,106.36,139.71, ,129.94,117.45,256.04,6.51, ,219.17,58.36,51.37,269.60,143.70, ,198.61,248.80,196.65,52.47, ,240.52,280.46,14.59,145.53,115.89, ,35.06,21.72,5.49,80.09,105.59,233.89,273.59,250.30,193.50,77.51, ,274.66, ,289.25,278.32,249.74,244.22,26.50,95.30,227.82,109.71,204.26,37.61,226.30,48.09,290.69,163.81,100.26,66.77,22.14,70.37,117.48,256.69,280.52,175.97,227.38,241.75,29.28,9.48, , ,75.37, ,239.19,283.44,258.71,149.61,143.31,121.27, ,265.25,130.16,46.75,126.90, ,156.18,198.65,235.14,187.14,139.40,85.04,253.79,195.78,47.54,224.89,196.98,134.07,133.22,82.14,102.19,79.93,38.50,70.14, ,257.28,74.21,251.78,37.39,92.82,43.08, ,211.89, ,45.96,201.97,146.43,123.44,172.66,255.58,151.96,86.06,95.96,192.84,57.31,43.28,71.02,282.05,298.24,205.45
 ,107.41,221.66,188.89, ,270.71,224.05,23.54,231.90,170.38, ,227.69,210.54,126.00,59.87,295.13,168.15, , ,104.79, ,293.68, ,264.39,172.57,24.30,18.96, , ,11.07,198.67,58.57,218.49,287.37,189.25, ,35.28,57.75,6.80,9.42,15.82,127.88,34.48,121.83,63.62,189.36,164.19,102.93,29.46,176.24,110.62, ,145.90,253.81,169.65,258.31, ,268.48,123.93,263.41,181.26,211.28,71.40,181.58,264.33,95.70,154.13,172.33,52.22,4.00,204.83,259.42,30.29,282.64,230.86,99.98,273.08,182.74,86.72,218.80,275.37,191.63,220.82,179.69,99.14,274.15, ,233.57,223.22,16.39,92.33,177.42,235.51,87.19,275.40,198.79,126.89,218.09,134.11,136.09,81.18,81.31,212.71,118.89,176.34,213.37,97.72,173.12,279.47,13.22,111.84,281.33,125.30,195.13,181.45,66.57,50.99,47.77,162.75,99.63,1.95, ,99.66,180.89,83.27,146.11,253.05,19.46,183.42,86.90,100.33,209.41,169.11,110.74,220.04,232.44, ,245.44,79.01,147.78,132.51,58.01,242.04,190.10,299.55,220.71,209.30,51.80
