Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115,Col116,Col117,Col118,Col119,Col120,Col121,Col122,Col123,Col124,Col125,Col126,Col127,Col128,Col129,Col130,Col131,Col132,Col133,Col134,Col135,Col136,Col137,Col138,Col139
116.53,91.85,81.91,222.83,207.24,12.91,219.36,122.58,250.48,142.26,168.29, ,66.65,215.82,181.60,180.13,84.89,293.54, ,156.80,60.78,291.01,189.94,57.76,0.44,158.56,64.82,116.64,52.40,271.31,164.71,19.32,8.36, ,94.29,173.96,234.60,104.97,56.87,94.06, ,135.42,128.71,231.66,24.68,261.90,184.69,41.87,227.04,91.19,150.78,132.79,225.52,267.73,163.04,82.86,133.64,192.18,151.35,88.34,202.35,15.53,297.81,42.65,194.01,32.65,14.64,116.63,72.87,131.03,200.62,221.30,101.63,2.55, ,262.53,60.19,243.65,82.87,234.92,22.76,195.87,143.18,199.67,43.65,55.09,267.27,199.90,70.12,118.53,296.28,200.09,212.87, ,52.70,202.14,289.62,106.88,0.13,13.57,22.26,223.63,43.61,33.68,193.86,83.13,93.57,28.72,170.56,95.18,189.41,146.33,170.85,275.77,52.43,202.73,265.68,0.11,298.54,226.41, , ,105.41, ,238.05,100.95,230.01,40.59,269.31,219.46,186.51,68.59,227.47,12.93,149.10,53.50,30.80,266.02,138.99
12.61,137.67,91.27,260.58,102.34,18.73,201.52,66.67, ,123.24,56.70,276.85,45.08, ,42.30,215.46,143.69,44.64,24.54,271.78,51.67,96.19,81.51,288.54,178.25,75.34,205.31,168.91,39.04,135.23,206.06,10.44,109.29,119.06,201.70,30.78,296.43,136.69,99.05,68.06,207.10,0.34,86.09, ,176.98,294.11,139.17,55.52,142.89,113.21,147.81,279.74,192.82,271.85,112.84,106.95,158.82,103.69,147.60,78.68,93.22,272.67,32.20,263.19, ,76.03,117.99,284.85,214.99,253.91,294.35,212.04,24.94,18.29,299.38,162.54,192.89,297.88,278.19,205.74,60.31,216.78,8.89, ,236.30,161.46,93.84,92.14,282.64,137.79, ,299.54,70.23,208.34,165.86,94.78,85.43,210.77,243.25, ,27.43, ,117.26,16.06,248.70,112.74,201.42,8.60,108.93,109.19,208.91,211.29,164.11,33.16,38.84,172.86,23.04,92.28,111.94,278.40,81.68,209.40,34.78,140.27,203.33,230.25,274.22,220.70,186.35,126.00,253.71,51.38, , ,237.84,91.34,291.42,35.38,121.29
25.66,262.98,244.62,61.73,233.06,269.73,147.92,35.72,204.60,16.84,63.18,35.07,15.80,9.35,46.15,77.13,32.70,11.69,0.39,89.41,251.38,242.31,112.37,1.67,229.25,30.24,292.95,277.06, , ,3.31,133.90,153.76,103.62,66.23, ,205.73,102.07,176.30,8.00, ,125.90, ,262.93,162.70,207.18,57.82,131.86,99.09,157.53,41.32, ,269.22,211.03,159.80, ,292.45, ,3.27,205.24,275.32,169.94, ,189.38,44.30,137.35,93.75,91.78,148.81,166.46,294.10,240.12,267.54,286.07,55.33,0.69,22.95,155.34,167.12,28.56,289.85,89.09,252.19,131.52,190.98,137.67,240.26,269.28,32.40,202.29,93.01,70.72,101.60,36.93,224.76, ,13.64,146.68,292.22,253.22, ,116.95,70.06,153.37, ,289.70,16.22,22.62,176.04,274.84,220.96,35.50,227.70,166.22,135.82,105.27,161.05,199.62,279.48, ,285.50,76.23,285.37,149.30,26.29,224.35,226.49,87.32,73.29,40.23,289.80, ,51.23,230.02,148.89,232.09,277.60,204.85,90.48
77.30,233.44,193.58,293.55,261.72,251.85,113.12,281.05, ,197.33,205.43,37.88,235.20,44.74,201.45,182.21,263.22,80.24,200.33,111.62,9.34, ,66.80, ,133.73,205.97,33.46,42.46,297.15, ,281.78,15.18,205.36, ,227.39,206.34,149.83,188.03,57.95,84.57,203.53,64.94,67.60,255.01,270.32,235.85,140.95,72.54,289.02,79.50,92.79, ,28.74,243.67,258.57,144.44,298.02,214.87,57.55,104.20,144.11, ,70.19,183.92,0.71,24.30,118.56,104.68,154.46,102.07,99.33,236.93,153.28,198.41,140.10,29.73, ,12.37,297.13,34.51,215.84,79.07,216.93,66.61,27.56,169.26, ,84.15,66.08,205.34,192.77,232.47,28.68,67.71,35.78,208.28,194.53,249.58,28.18,245.66,72.40,133.12,192.34,150.94, ,255.00,95.24,273.40,68.58,262.03,197.19,23.19,147.85,233.77,104.65,252.48,198.54,64.72,95.66, ,17.39,54.57,107.03,168.51,48.78,185.57,61.01,135.54,31.18,51.84,182.33,142.44,121.15,192.74,115.80,50.02,181.47,67.23,174.94
170.51,200.74,58.97,26.97,108.62,239.23,179.64,114.02, ,129.00,179.81,124.44,223.98,38.54, ,155.88,175.22,234.72,176.52,73.61,96.83,182.20, ,170.53, ,225.06,147.68,24.20,230.91,244.47,53.79,272.84,44.81,58.50,264.57,285.58,159.75,87.99,65.16, ,253.07,90.55,224.90,100.28,247.37,50.77,91.84,259.90,227.70,231.96,233.31,177.27,152.58,180.43,130.96,114.91,245.40,134.25,113.61,127.26,94.13,165.31,3.11,190.09, ,174.56,144.82,45.75,216.52,88.17,124.30,195.68, ,252.70,220.51,45.83,46.94,220.32,142.41,108.14,142.40,162.60,213.97,147.05,122.78,202.52,33.09,75.13,161.03,3.48,135.07,228.83,285.34,97.62,43.58,62.40,231.28,212.89,183.39,125.19,259.22, ,260.48,57.19,64.65,27.91,274.11, ,133.35,155.94,217.40, ,74.30,203.61,127.84,17.62,128.12,10.63,161.16,189.65,261.99,91.35,163.60, ,175.86,103.15,81.17,259.82,164.50,153.83, ,238.78,103.58,295.72, , ,13.48,133.90,294.50
92.72,60.11,33.96,100.65,293.76,125.48,240.86,290.80,220.50,196.94, ,58.01,146.94, ,39.01,237.16,203.43,22.78,191.43,101.79,84.50,89.55,128.56,29.31,138.45,162.85,15.59, ,76.96,82.57,108.12,112.80,156.23,183.46,111.19,81.10,158.06,19.52,120.29,108.72,39.10,77.36,267.42,205.91,145.66,128.95,185.82,289.55,156.05,71.17,290.96,19.45,289.38, ,8.66,18.66,127.43,289.02,172.16,224.19,9.06,208.16,173.79,238.00,74.27,130.09, ,6.75,283.29,177.40,138.61,106.13,241.80,190.32,202.56,115.66,16.76, ,24.27,141.24,124.13,274.20,209.74, ,227.52,118.31,56.86,173.66,143.95,222.39,17.08,179.08,97.59,154.45,269.53,37.05, ,82.35,110.95,155.51,283.24,48.05,187.21,92.65,16.59,223.22,65.85,2.56,89.74,18.63,255.69,113.64, , ,192.48,280.24,238.04,251.14,230.67,276.80,229.64,216.70,45.63,273.50,63.86,5.19,83.02,237.96, , ,195.11,240.74, ,76.36,146.41,279.52,262.28,147.64, 
130.46,206.86,55.11,224.33,56.52,196.32, ,230.07,293.82,217.00,64.75,28.20,161.16,231.88,183.65,248.01,194.00,279.97,103.24,187.76,106.40,10.88,209.08,233.41,292.84,231.83,43.67,77.56,251.56,243.52,288.94,66.73,36.26,192.18,235.85,294.21,104.49,254.33,68.67,30.89,148.73,221.53,113.69,232.64,59.06,41.60,108.72,271.29,236.82,63.02,142.90,73.73,0.13,55.73,44.27,15.56,235.03,134.21,280.91,151.70,33.60,45.55,0.76,114.46,34.83,40.76, ,25.82,157.73,49.00,45.69,46.45, ,52.88,33.51,77.97, ,175.95,47.41,282.00,230.13,112.01, ,294.27,30.56,170.33,66.13,77.89,101.65,147.17,79.12,199.33,249.12,296.62,223.63,96.19,33.62,111.40,262.43,120.94,195.19,50.89,16.37,112.56,17.69,277.66,217.16,230.25,204.42,215.83,68.76,34.62,241.66,59.58,245.20,171.50,60.64,31.03,43.02,90.97,162.33,39.82,170.45,127.90,63.78,89.14,14.39,85.59,160.79,291.66,27.16,155.06,126.70,123.59,241.37,115.83,276.62,35.76,10.39
165.62,245.80,48.51,226.23, ,198.16,67.60, , , ,15.99,90.84,185.47,97.12,176.78,237.15,201.21,269.38,101.84,156.81,88.57,115.28,176.99,114.15,265.91,15.94,200.82,129.86,193.30,53.00,296.86,169.44,166.65,14.87, , ,225.11,151.23, ,4.57,265.68,237.77,40.35,157.43,24.92,157.75,236.64,29.53,3.97,103.66,14.50, ,176.76,48.73,200.83,266.71,165.08,229.58,189.08,252.55, ,168.05,56.37,173.35,262.13,127.21,145.00,108.94,30.54, ,19.25,66.89,216.73,36.61,7.66,268.73,65.74,200.18,87.52,126.05,113.89,227.70,198.76,240.60,215.43,187.24,223.49, ,212.82, ,45.63,89.78,254.90,12.32,295.50,243.92,208.02,81.28,149.33,205.89,173.74,135.89,31.80,188.20, ,201.02,87.09,223.87,293.28, ,138.72,146.25, ,21.74,73.32,73.29,46.55,223.87, ,158.22,60.65,185.46,26.58,183.47,227.97,121.24,41.92,265.85,51.14,199.22,53.30,282.93,130.48,284.33,77.90,104.40,167.79,56.56, 
39.87,71.32,168.27,39.99, ,270.61,200.13,242.17,177.55,146.16,229.08,105.48,198.29,90.63,102.42, ,27.14, ,116.39,183.97,10.00,80.64,191.09,234.59,205.56, ,87.26,192.32,297.43,258.77,41.59,1.92,8.57,214.13,95.12, ,145.14,149.12,238.95,62.76, ,190.68, ,198.32, ,297.97,218.37,224.03, ,232.64,135.60,105.25,225.16,125.16,56.03,103.38,181.62,45.02,32.71,265.51,55.97,299.74,166.35,54.34, ,268.87,173.59,81.40, ,194.38,268.36,211.66,7.69,210.18, ,151.16,76.64,20.61,56.57,138.51,142.81,115.20,77.74, ,196.40,201.12,184.70,291.00,66.07,83.96,1.54,77.36,186.19,296.42,197.00,99.84,5.08,101.01,146.41,0.49,151.12, ,61.15,59.20,255.50,284.41, ,134.32,114.78,178.68,6.53,256.84,176.06,136.17,188.57,274.44,183.28, , ,170.66,19.76,21.55,198.64,281.64,114.72,266.20,184.28,195.49,98.83,181.60,224.90,81.21,123.04,42.88,155.57,84.60,75.53,113.14,193.55
240.02,127.96, ,92.97,171.97, ,194.11,202.85,206.21,226.58,167.63,191.36,220.53,42.40,79.59, ,25.61, ,105.04,267.65,159.17,286.04,223.26,26.12,214.44,176.30,147.20,134.72,296.32, ,272.45,265.85,171.00,180.32,193.69,227.41, ,56.02,195.70,58.43,274.40,92.55,176.00,9.02,185.47,130.88,236.94,262.01,203.90,60.21,255.83,209.73,177.00, ,28.30, ,112.07,39.15,162.23,219.02,234.03,292.03,171.24,289.43,133.46,28.28,284.53,20.31, ,94.95,78.81,112.26,262.93, ,179.80,9.28,75.21,235.42,182.27,261.08,291.26, ,10.88,286.59,83.69,185.66,260.87,216.86,135.67,147.33,97.70,111.17,173.06,23.32, ,127.65,286.25,66.89,69.14,166.84,34.57,285.97,159.03,76.89,298.45,216.51,207.16,113.11,50.59,137.35,249.14,115.52,139.21,132.90, , ,8.05,112.34,184.78,164.56,260.28,193.20,6.31,186.31,116.55, ,141.50,277.56,114.57,157.43,64.07, ,281.74,191.93, ,1.15,200.26,177.82,150.47
48.58,65.09,256.56,214.61,126.36,293.79,75.11,131.90,164.47,130.05,183.23,73.01, ,231.92,160.94,110.55, ,108.73,195.39,82.25,98.71,80.57,271.97,299.83,151.39,59.31,258.89,223.14,79.29,39.56,210.82,286.32,185.80,280.91,31.14,237.21,276.77,0.01,29.17,25.66,60.16,108.74,50.07,233.18,198.26,247.03,127.44,155.05,244.00, ,154.67,86.77,82.90,255.58,260.11,162.07,223.89,108.50,273.84,179.60,107.62,22.07,283.26,233.64,20.39,131.28, ,220.68,36.08,5.15,281.11,180.05,164.43, ,127.57, ,202.14,289.30,19.79,180.40,132.39,8.43,53.63, ,287.20, ,95.96,289.62,209.38,104.02,164.48,280.91,146.45,214.64, ,36.11,181.51, ,45.30,49.34,13.79,99.03,293.33,47.66,123.32,159.43,41.07,113.18,159.15,21.58,11.67,55.20,15.68, ,166.60,66.31,165.54,167.62,114.17,32.61,8.29,171.44,150.46,268.00,258.78,39.43,208.08,27.81,154.87,127.31,226.31,173.11,131.64,41.47,233.73,295.14,45.19,170.40,128.69
72.92,72.71,81.68,47.65,288.21,131.01,265.85, , ,270.57, , ,173.38,61.89,56.38,176.21,273.21,241.79,8.54,112.35,81.13,156.75,37.43,102.11,52.48, , ,220.03,58.14,20.24,99.87,52.33,7.81,195.56,160.96,163.66,78.08,54.89,255.56,84.23,269.58,81.87,242.83, ,58.53,39.48,221.31,165.57,47.08,104.96,176.81,96.21,70.51,171.04,102.34,195.76,251.54,295.95,64.31,143.45,189.16,260.91,6.24,43.90,158.31,254.74,87.25,22.88,212.04, ,113.08,84.99,148.09,96.51, ,64.43,189.48,169.25,81.75,253.56,172.16,22.55,203.82,42.95,72.93,287.61,173.20,17.60,0.07,1.13,153.17, ,50.87,273.33,115.71,74.99,44.39,51.22,224.95,253.96,3.18,262.47,266.12,233.79,121.85,291.28,267.26,278.53,177.70,264.04,150.08,267.98,70.48, ,58.61,189.44,64.61,227.08,230.37,232.49,261.71,20.10,276.68,278.77,97.74,254.19,160.18,187.75,114.44, ,146.44,29.12,156.70,182.36,297.18,189.18,78.53,296.26,233.33
277.31,41.13,74.22,18.75, ,184.06,164.54,140.61,81.21, ,294.49,19.81,119.30,208.03,241.75, ,181.95,172.96,254.00,142.82, ,13.90,214.93,144.77,103.44,84.95,82.06,228.28,64.41,62.68,299.84,221.33,24.77,204.64,32.71,114.77,21.24, ,246.00,82.77,202.46,202.31,123.64,148.42,53.05,85.76,200.53,221.77,251.10,33.88,236.34,229.41,128.86,272.45,258.62,245.76, ,24.29,113.76,230.88,146.97,148.26,77.67,206.53,178.98,137.60,83.36,211.11,43.97, ,86.32,233.29,81.55,159.22,65.76, ,10.13,129.47,146.87,188.56, ,219.00,50.01,12.58,59.21,290.02,134.39,144.52,274.00,120.87,9.42,53.42, ,187.47,198.13,285.30,167.06,181.95,279.19, ,241.44,159.90,297.36,184.83,84.87,44.13,293.40,77.08,5.27,207.46,230.52,166.20,163.56,18.54,108.13, ,261.66,100.49,170.79,24.98,287.92,177.29,242.15, ,150.44, ,103.00,121.54,57.08,2.14,74.51,134.17,122.10,299.38,241.53,189.98,4.63,217.86,39.40
96.48,98.63,232.97, ,230.89,189.93,164.04,229.94,146.29,114.14, ,182.02,278.50,77.13,229.39, ,178.04,257.58,6.75,144.19,290.48,104.62,90.83,261.48,290.59,252.66,281.87, ,261.56,175.81,20.00,10.48,184.01,173.71,180.47,73.60,59.67,253.28,24.94,54.17,90.15,242.78, ,30.71,204.42,84.89,158.49,218.16,171.44,196.38,250.55,36.79,166.92,7.53,263.24,124.87,42.04,0.15,19.69,12.00,238.65,30.43,13.91,134.23,169.47,263.77,5.81,132.79,25.65,37.65, ,3.85,34.29,48.20,182.43,51.90,15.67,21.48,27.44,53.09,90.74, ,236.45,270.74,18.94,201.37,253.28,268.94,290.42,17.86,70.95,161.69,228.73,247.52,60.40,117.25,231.22,40.30,236.37,52.22, ,25.53,187.22, ,84.88,188.66,11.38,35.48,12.85,259.16,195.89,150.48,176.02,63.24, ,275.72,164.38,175.76,211.23,224.08,183.24, ,193.04,76.78,121.18,197.52,143.22,8.43,222.46,133.69,57.77,241.01,20.15,249.77,55.40,224.27,272.34,263.09,20.37
