Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55
 ,93.13,18.85,36.24,68.34,29.68,47.38,61.37,28.13,82.61,68.61,46.71,62.10, ,98.67,20.11,31.84,12.09,62.80,56.41,49.88,36.93,46.12,12.97,31.51,18.73, ,88.69,23.83, ,77.94,75.02,68.42,42.00,27.03,62.05,12.05,82.17,63.53,52.37,64.41,44.98,96.04, ,54.91,22.62,83.82,83.54,40.50,23.87,17.42,83.06,40.73,83.03,58.53
42.08,75.73,80.01,22.00,30.71,67.95,85.42,25.41,33.64,59.35,86.91,86.20,77.63,64.97,16.64,71.98,58.52,84.67,6.58,0.59,83.57,90.62,20.31, ,53.96,97.29,68.84,97.67,51.70,3.78,41.24,84.33,85.79,84.62, ,91.29,75.91,93.46,43.86,82.54,67.73,79.09,33.31,76.87,4.85,75.91,42.71,1.54,88.97,27.28,72.20,38.21,93.44,14.63,45.44
 ,13.17,98.19,94.96,69.25,56.20,42.99,13.43,74.95,35.14, ,48.42, ,86.63,95.39, ,32.68,40.63,76.90,49.97,97.23,38.53,57.52,7.31,22.68,5.87,88.62,62.13,95.13,23.67,59.47,67.42,5.70,43.93,10.33,51.87,95.21,71.88,99.65,83.65,32.67,1.09,3.93,58.33,27.30,23.01,23.96,78.92,98.48,12.26, , ,16.37,54.53,64.68
67.44,76.51,37.86,21.40,40.82,40.84,61.73, ,85.69,33.81,52.78,27.60,73.40, ,85.36,66.21,0.45, ,76.95,36.24, ,78.03,34.89,63.50,82.74,82.30,52.21,89.80,25.25,82.27,29.35,63.25,17.67,29.20,40.65,52.29,18.13,90.58,49.20,49.64,72.48,68.97,29.59,33.56,10.16,71.83,83.46,35.07,98.77,17.19,27.24,34.62,99.81,98.39,79.28
80.95,79.97,76.45,8.69,64.41,25.85,58.37,71.32, ,70.09,27.64,84.94,44.14,96.93,28.69,48.61,26.90,56.69,76.83,85.51, ,4.37,66.91,22.00,56.17,8.32,60.09,98.81, ,29.11,31.31,0.08, ,26.98,91.22,57.12,89.30,88.15,56.65,56.40,93.29,11.10, ,71.19,25.24,81.42,82.54,12.15,92.65,9.59,37.90,30.06,2.69,83.53,30.67
52.76,31.89,20.42,91.76,52.95,20.01,71.34,47.10,85.17,30.18,12.69,8.15,63.46,16.77,7.19,85.59,56.77,25.26,50.98,68.80,34.01,38.30,91.37,88.86,25.14,71.30,87.12, ,50.58,97.36,97.47,83.17,1.57,82.68,51.62,47.56,33.71,93.85,27.75,27.92,4.40,75.59,34.07,22.81,45.32,82.23,64.97, ,66.54,82.88,17.67,92.85,16.29,67.07,56.98
83.28,50.72,36.85, ,91.89,48.96,35.92,80.00,96.59,67.43,63.09,80.29,5.58,61.95,20.59,91.79,0.58,17.63,89.90, ,81.79,44.08, ,75.28,63.15,79.21,34.49,43.31,87.96,68.30,83.69,67.21,55.80,28.53,98.60, ,93.72,10.33, ,72.58,18.24,84.94,66.31,39.75,34.22,58.50,77.62,91.41,17.67,12.61,20.62,64.64,4.94,14.95,84.10
55.82,23.26,99.79,60.20,99.19,67.25,96.94,99.89, , ,35.54,63.77,13.52,60.79,93.27,61.20, ,17.02,86.53,79.50,17.98,75.30,86.29,9.34,32.89,20.86,33.23, ,89.40,42.62,55.14,25.92,13.25,33.36,75.72,72.46,9.12,27.13,77.80,30.87,93.01,29.82,61.79,57.67,89.67,1.37,36.17,61.15,16.49,42.39,85.65,44.04,6.37,16.30,31.30
93.13, ,22.96,37.51,25.45, ,25.74,10.43,17.36,11.34,66.09, ,51.74,70.10,74.96,62.81,72.57,52.26,85.70,64.65,51.16,11.89,15.84,27.20,19.31,89.09, ,42.83,16.62,49.31,86.37,25.94,63.15,97.76,21.61,24.68,24.13,56.71,30.62,68.11,77.98, ,31.14,40.29, ,51.71,11.51,50.24,83.58,73.37,73.42,54.31,39.80, ,96.51
43.51,87.45,33.16, ,64.30,89.64,34.50,34.32,79.44,83.46, , ,44.36,51.82,69.48,77.11,88.13,25.87,83.90,76.48,27.11, , ,15.44,58.11,4.87,34.32,0.57,45.16,3.66,43.61,88.60,55.50,17.17,20.05,59.13,39.32, ,63.67, ,22.53,2.49,98.64,15.72,69.10,44.14,57.87,45.89,8.47,23.20, ,43.25,41.89,66.02,77.07
31.10,52.22,32.30,90.83,95.34,38.22,34.19,14.10,56.86,30.40,83.77,41.01,82.74,66.78, ,43.86,42.12,30.68,5.97, ,75.09, , ,61.87, ,75.96,81.13,1.70,20.30,80.39,40.48,14.10,74.31,67.70,31.62,50.74,8.67,12.67,91.06, ,40.43,52.14,31.38,13.44,8.97,51.16, ,14.45,0.91, ,68.61,59.96,55.92,75.65,10.22
22.86,66.13,86.44,75.03,6.94, ,15.91,39.75,71.32,42.58,42.95,40.83,30.87,4.05,83.47,38.63,58.71,39.57,61.26,97.04,64.78,67.67,45.18,52.88,61.61, ,4.57, ,52.70,37.38,25.65,92.60, ,51.31,33.85,0.35,70.36,56.46, ,37.15,54.52, ,16.14,6.30,51.88, ,49.12,30.15,94.09,39.05,74.05,22.21, ,13.90, 
 ,73.62,7.52,59.56,92.25,83.06,96.41,34.41,84.05,99.96,1.73,97.87,96.76,12.31,54.52,61.86,96.57,17.50,10.17,1.64,52.77,0.97,19.62,18.98, ,18.94,44.75,60.36,38.41,47.17,90.90,44.40,69.94, ,74.02,97.92,92.47,60.35,99.86,28.81,83.65,37.79, ,79.43,51.45,42.89,0.37,71.98,37.16,24.66,15.95,55.94,7.18,51.96,6.48
29.44,15.60,63.11,17.87,68.25,60.38,67.92,44.94,5.53,81.83, , , ,96.05,52.08, ,52.70,73.29,34.48,83.42,50.63,40.13,70.59,30.02,61.28,78.42,57.07,97.00,58.02,93.24,93.98,88.75,5.07,28.83,50.93,37.14,13.52,20.44,77.80,22.62,25.43,5.88, ,2.88,19.30,72.93,38.75,55.46,73.93,14.26,68.44,50.62,40.03,90.44,5.69
46.76,66.34,50.64,9.08,28.53,98.30,95.09,70.32,22.49,68.06,57.72,63.26,6.50,36.24,27.42,37.84,86.69,21.98,53.02,90.85,59.45,83.02,26.20,5.10,97.58,85.44,9.65,63.64, ,99.87,79.40,50.93,28.49,75.57,8.13,56.68,66.09,72.69,72.03,25.73,23.60,6.16,8.55, ,24.70,42.40,86.24,88.71,12.69,15.39,51.95,35.19,88.11,14.32, 
 ,34.48,63.94,79.92,41.92,85.37,41.62,4.40,11.98,67.68,36.94,3.18,5.10,30.51,19.39,1.96,85.17,46.19,69.83,91.96,60.89,78.37,5.11,30.37,75.89,41.75,81.12,1.71,83.30,79.44,77.05,75.12,17.85,11.35,47.42,99.43,80.64,10.83,60.56,2.83,39.25,49.27,89.52,6.60,83.20,75.50,67.44,22.49,71.93,72.97,37.14,27.68,50.19,3.53,79.70
47.20,50.95,39.33, ,45.93,30.65,88.79,99.40,13.40,11.34, ,30.70,30.06,2.17,96.88,91.00,12.06,95.54,34.66,3.48,80.79,12.77,5.55,12.16,17.08,56.30,54.52,48.70,45.37,64.82,56.57,18.83, ,14.37,28.67,35.11,30.03,23.55,57.42,54.95,44.31,58.67,6.33, ,90.90,8.20,33.28,11.55,33.39,66.48,34.23,0.15, ,52.02,88.53
95.80,11.81,95.29, ,1.61,6.07,7.17,48.25,79.03,92.56,65.35,77.45,74.75,44.61,29.62,9.02,8.98,50.86,47.79,97.83,37.48,41.92,18.16,85.10,49.96,9.61,36.70, ,11.45,59.50,94.28,40.95,81.65,84.20, ,5.54,90.64,32.46, ,50.62,72.78,72.68,57.43, ,44.49,98.59,62.38,3.43,71.48,16.71,20.97,6.17,76.01,69.52,29.37
59.09,29.97,24.77,64.33,67.56,15.64,17.98, ,21.41,68.15,29.78,79.15,39.26,53.24,75.17,65.44,20.80,62.34,42.31,92.03, ,0.86,76.46,48.71,40.25,41.28,91.57,77.58,13.63,22.03,58.40,15.15,4.53,53.10,74.99,24.27,6.16,0.74,43.96,55.74, , ,82.64,71.39,71.60,43.44,34.72,77.37, ,81.90,45.70,57.53,38.40,47.71,88.32
7.50,86.07,49.02,74.35,54.49, ,39.51,17.07,79.84,24.09,76.33,18.14,64.18,28.87,7.41,40.08,99.90,23.81,26.89,65.95,61.40,2.15,78.52,75.14,13.66,30.80,5.87,80.46,8.64,21.81,1.73,53.79,39.75,93.23, ,59.18,45.91,47.51,38.21,21.96, ,21.19,70.37,76.33,97.11,60.16,1.02,80.81,63.51,32.40,87.19,15.92,62.82,80.06,13.83
31.60,27.17,37.78,79.85,48.38,99.08, ,0.09,76.69,33.93,87.29,84.44,6.58,67.02,97.05,96.02,8.26,71.01,44.20,40.90,16.93,57.39,13.75,95.89,12.38,87.69,20.48,3.87,89.13,9.25,47.56,30.01,11.69,16.87,69.58,14.21,75.64,11.98,29.09,79.84,37.68,41.13,39.67,85.21,15.90,14.97,99.74,19.28,46.00,67.33, ,81.54,69.55,14.07,82.23
38.77,59.60,64.83,45.97,2.97,25.74,89.73,97.17,8.48, , ,75.93, ,57.47,8.08,12.44, ,34.37,16.55, , ,11.73,91.22,32.81,12.13,6.17,57.25,17.90,59.27,34.25,51.30,5.88, ,72.90,79.44,71.33,90.77,85.15,43.93,81.63, ,4.17,21.29,81.70,99.39,33.02,38.78,66.27,46.25,17.56,90.78,72.36,87.00,49.34,68.99
17.45,61.18,96.94,83.05,21.66,19.62,16.07,39.01,3.06,93.68,86.30,16.85,48.65,83.72,39.67,47.19,82.59,78.75,90.84,58.17,44.22,67.19,36.19,42.64, ,36.31,77.76,76.72,69.43,20.13, ,72.84, ,55.43,56.11,13.83,93.13,62.13,93.52,7.12, ,46.37, ,6.23,22.15,5.36,63.52,59.00, ,73.62,53.77,17.25,10.44,81.86,97.29
30.29, ,30.01,6.27,86.16,90.14,95.45,99.89,20.99, ,19.33,3.87,29.12,61.82,56.28,76.34,96.46, ,56.37, , , ,44.22,47.96, ,43.46,29.56,11.31,83.78, ,56.88, ,18.70,53.56,88.85,58.84,80.41,32.11,77.84,82.68,37.89,23.57,87.64,45.81,25.43,42.78,86.46,98.89,28.24, ,17.08, ,12.56,41.58,78.45
34.60,72.41,96.35,53.84, ,99.65,74.55,25.72,15.70,75.04,69.68,88.39, ,14.77,27.07,43.98, ,78.58,48.19,63.02,4.91,93.29,29.94,33.79,43.99,97.10,70.34,46.53,53.54,73.51,60.69,96.84,5.65, ,53.84,95.90,31.39,91.30,72.84,69.73,3.13, ,22.16,92.38,48.30,2.31,98.78,51.67,29.21,71.03,11.15,57.98,28.90,0.46,73.73
34.57,62.73,27.83,43.35,53.58,66.13,13.45, ,65.12,48.08,31.55,33.59,68.16,57.96,43.22,42.77,57.37,65.55, ,50.43,93.04,46.15,59.89,24.07,24.72,26.85,16.14,80.75,5.18, ,74.22,25.96,69.55,61.99,94.49, ,48.99,89.53,87.02,54.73,28.18, ,55.03,11.83,7.37,97.23,60.20,97.61,88.45, ,50.44, ,85.26,12.96, 
 ,0.14,62.83,54.92,6.93,68.89,2.01,75.80,7.13,70.70,22.16,71.90,9.59,55.63,61.93,7.97,76.69,65.99,19.34, ,26.27,50.69,32.87,20.83,34.08,2.81,78.99,10.72,71.55,26.26,46.80,74.37, ,82.47,11.06,72.95,28.09,43.54,36.69, ,68.81,50.78,43.38, , ,0.40,38.96,71.54,21.52, ,93.06,23.86,30.19, ,58.28
40.50,37.33,25.34,15.54,77.76,5.88,13.01, ,51.97,88.01,54.46,9.55,62.29,51.63,30.22,50.76,89.09,68.18, ,74.31,83.62,74.53,63.41,95.78,39.52,67.90,83.19,86.81,64.11,82.34,50.45,7.35,20.03,49.48,97.00,35.72,75.87,70.12,97.80,19.16,94.64,14.58,88.88,8.54,21.61,9.57,21.82, ,41.85,2.83,3.43,97.66,2.50,54.18,5.71
60.93,14.72,57.60,36.87,1.09,80.60,99.43,13.79,6.00, ,8.84, ,35.47,10.27, ,64.45,28.87,40.67, ,88.67,91.80,88.50,15.39,84.87,21.74, ,27.74,53.96,71.89,72.05, ,10.01, , ,39.17,30.42,38.69,40.58,44.62,23.38,98.16,74.84,6.91,47.65,59.97,33.10,56.27,30.59,30.54,56.03,24.92,80.78,5.53,94.09,50.43
10.17,25.73,68.50,91.02,93.86,0.37, ,56.64,21.71,77.74,78.95,32.11,28.23,70.93,89.81,0.02,31.26,33.01,17.11,7.29,59.51,33.62,49.40,33.67,13.18,78.31,58.86,57.53,6.14,36.67,49.55,3.22,85.30,97.08,1.88,35.66,62.65, ,12.06,81.52,72.72, ,64.85,71.90,38.88,50.83,73.98,12.24,81.19, ,78.27,15.30,35.61,45.30,24.54
64.42,40.52,98.99,1.99,73.90,89.65, , ,25.91,77.44,56.75,16.53,74.93,17.66,8.52,15.43,20.32, ,60.84,38.10,18.98,36.74,78.53,18.53,14.58,21.17,50.84,34.22,71.09,3.52,74.57,97.06,86.81,46.75,93.90,10.50,73.72,56.21,35.92,95.98,68.82,68.19,13.31,5.52,68.46,66.03,75.53, ,62.34, , , ,82.26,46.76,67.73
8.24,77.70,54.15,21.37,66.19,24.76,19.08,80.76,36.26,48.20,18.63, ,28.63,66.61,68.84,16.85,30.83,49.52,74.66,56.42,62.23,21.76,10.17,14.70,51.24, ,38.17, , ,18.25,89.13,22.59,84.22,42.56,43.92,79.38, ,76.39,25.13,36.13,13.13,30.57,21.81,2.54,5.71,29.68,14.18,82.05,81.27,68.48, ,46.09,60.33,41.77,5.25
98.65,53.04,71.12,71.29,19.95,50.88,12.40,59.19,92.39,90.73,53.58,89.21,42.11,79.79,12.05,23.80,25.59,60.18,94.25,41.88,14.18,59.20,3.10,36.04,3.48,64.33,3.49,56.72,3.07,29.48,21.55,25.83,30.12,43.85,17.47,38.57,78.49,58.23,16.15,77.09,21.04,76.70,94.95,70.13,69.93,13.15,52.89,38.62,24.99,7.37,68.20,74.10, ,32.33,59.86
 , ,47.64,56.19,41.74, ,39.76,41.91,51.03,91.89,77.80,72.13,59.33, ,33.43,74.82, ,34.68,20.68,40.02,70.37,9.21,54.49,19.52,1.88,91.20,60.20,10.66,54.17,72.65,3.42,60.11,74.98,61.55,8.97,63.13,13.76,39.32, ,58.84,23.19,55.86,89.59,27.63,79.03,94.57,1.03,24.43,29.22,31.76, ,33.33,7.54,60.35,15.34
5.69,4.85, ,21.82,60.71,46.58,47.06,4.06,95.40,18.30,47.73,49.50,83.39,83.46,97.86,45.82,36.01,84.36, ,6.19,22.37,42.34,2.69,66.18,78.89,69.08,42.40,53.01,2.53,1.79,88.37,78.82,68.11,52.25,66.30,34.95,14.07,50.79,60.78,67.54,11.64,43.18,55.75,72.37,86.70,91.28,6.26,42.95, ,95.20,41.03,48.53,67.70,80.49,86.61
52.00,9.10,69.46,44.37,35.51,52.35, ,27.41,64.03,90.31,65.57,79.80,52.42,86.90,90.00,64.85,23.36,96.56,60.59,56.34,95.22,78.58,52.92,20.82,76.36,55.72,15.02,61.13,45.02,45.67,19.39,22.47,1.65,54.73,78.74,88.47,70.07,78.84,73.04,39.94,10.79,91.34,31.18,93.24,0.50,11.22, ,33.69,51.08,17.38,31.46,1.79,98.51,84.26,41.88
61.44,94.72, ,20.53,35.09,64.49,52.69,55.49,9.40,53.20,35.51, ,63.96,99.00,37.15,83.98,67.18,70.32,2.53,82.43,88.04,55.30,48.89,79.11,40.40,4.21,32.76,96.11,39.04,59.19, ,43.16,45.56,25.54,91.11,89.89,66.52,37.22, ,68.22,85.99, ,90.20,99.27, , ,99.97,55.17, ,98.34,26.31,56.92,78.03, ,59.95
9.75,92.07,65.39,30.72,27.85,85.16,81.85,23.10,94.80,57.97,76.61,1.86,46.27,41.56,59.30,83.60,98.68,13.78,37.01,38.08,65.41,91.97,15.66,29.08,93.34,86.01,76.41, ,22.68,75.03,82.81,87.96,75.22,65.63,0.64, ,65.50,0.60, ,16.27,51.89, ,38.94,35.84, ,69.32,24.13,42.38,20.90,58.79,93.97,35.40,34.56,60.11,13.37
32.92, ,84.80,56.03,69.10,39.08,61.20,93.85,19.48, ,49.82,22.57,84.00,38.40,70.74,28.67, ,61.59,6.24,70.11,70.13,54.14,8.93,86.32,20.90, ,47.35,63.15,99.41,27.90,65.71,36.31, ,52.41, ,58.64, ,20.91,5.83,81.71,90.39,17.55,73.83,58.64,84.27,28.86,56.48,97.14, ,91.52,55.37,34.39,49.85, ,22.35
9.97,21.61,72.08, , ,60.27, , ,98.87,75.96,70.86,10.47,64.62,29.20,82.75,61.96,78.13,90.61,88.36,88.46,51.36,6.34,70.42, , ,85.90,24.63,5.23,30.59,83.45,81.96,3.00,49.97,28.23,69.24,52.78,77.02,57.82,15.78,65.05, ,50.94,22.15, ,57.24,79.18,98.09,6.90,5.06,82.23,97.44,49.87,9.17,54.37,10.25
95.22,42.11,26.24,14.88,55.54, ,34.72,70.34,19.72,0.93,53.67,74.03,84.09,14.30,78.61,21.22,76.51,90.87,22.75,84.13,92.62,28.94,69.07,23.21,70.71,65.38,58.35,29.51, ,43.81,42.27,74.64,1.62,81.91,93.91,54.99, ,11.24,38.96,78.82,69.11,86.32, ,44.67,3.41,37.56,40.53,72.33,70.86, ,52.77,80.23,99.80,83.37,10.37
91.35,84.51,38.72,94.95,15.50,16.03,6.40,43.14,35.59, ,9.53,9.85,24.86,54.14,64.98,66.06,56.53,71.82,93.98,11.93,58.14,22.63,87.17,3.89,21.48, , ,6.82,85.36,21.94,87.37,4.67,74.22,8.68,78.18,88.68,9.26,70.88,7.58, ,11.47,39.26,61.94,80.49,55.62,24.22,99.54,99.79,85.36,61.65,39.16,20.08,73.56, ,5.45
58.21,85.95,62.48, ,32.75,53.88,52.28,83.49,89.24,4.78,44.27,6.00,30.74,12.70,92.99,9.74,71.06,53.43,95.45,12.34,53.16,16.57,44.32,57.26,83.34,8.16,28.47,11.04,40.25,63.50,36.60,0.72,6.22,68.39,67.21,29.86,46.94,25.81,46.48,24.83,45.11,57.43,47.16,32.79,92.21,20.66,69.55,36.47,75.54,77.43, ,7.28,32.53, ,23.79
72.00,30.02,81.62,90.69,55.91,16.19,19.79, ,89.33,13.39,33.77,42.52,3.83,39.64,3.52,60.15,0.56,33.73, ,21.18,19.18,31.85,25.22, ,2.14,30.46,6.06, ,48.58,37.62,80.39,1.90,34.13,9.51,39.35,33.31,35.54,37.62,87.86,19.02,64.98,90.55,66.05,14.31,95.55,13.02,25.91,84.90,20.54,2.95,21.59,20.41,88.74,24.52,20.87
36.70,3.53,66.37,82.04,84.22,32.61,53.53,12.17,18.56,32.83,92.60,57.77,11.55,71.05,23.12,79.61,77.78,87.06,52.73,24.84,46.68,34.20,15.97,38.63,79.08,56.05,25.88,84.70,60.32,73.50,47.68,43.25,36.25,69.61,99.40,25.93,51.90,46.29, ,84.92,85.57,58.45, ,72.26, , , ,93.20,45.39,59.27,82.55,40.45,88.98,97.46,86.79
81.35,64.06,57.07,22.66,6.89,87.78,24.62,46.56,36.38, ,95.65,46.67, ,18.20,38.15, , ,73.23,79.61,56.90,86.93,52.19,84.47,42.68,60.33,26.90,81.19,92.36,37.70,47.24,51.78,71.56,10.34,51.67, ,8.56,69.03,78.81,72.59,5.53,79.11,8.58,75.96,68.18,37.30, ,93.20,52.58,58.59,9.55,52.86,18.82,60.67,58.29,79.52
29.05, ,23.82,32.01,69.38,19.72,45.95, ,43.49, ,2.08, , , ,65.83,34.74,38.09,50.02,70.11,78.80,2.88,58.31,17.96,22.38,4.45,24.53,48.78,50.03,63.36,6.44,93.52,55.70,34.21,49.22,84.78,30.62,76.60,90.33,47.43,19.21, ,43.74,70.78, ,21.96,12.22,25.47,69.58,37.36,86.88,8.12,14.59,59.34,27.67,85.76
