Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115,Col116
118.91,188.18,36.15,209.92,15.85,106.43,249.50,178.90,126.81,33.62, ,285.80,220.35,93.13, ,104.41,220.12,151.46,71.72,288.43,285.15,259.18,39.87,286.44,289.91,268.79,25.35,9.33,67.17,226.40,12.36, ,232.48,134.17,25.85,29.21,6.93,266.67,73.36,84.96,165.25,260.91,223.56,198.11, ,28.60,40.93,14.04,273.45,157.81,294.03,43.44,186.52,268.19,150.29,70.00,8.78,103.31,191.78,95.67,85.92,231.83,165.24,150.49,214.04,152.92,187.89, ,74.41,177.77,123.58,129.45,30.08, ,227.64,280.34,238.05,147.58,193.12,115.75,151.51,51.91, ,239.80, ,14.20,25.21,297.69,203.10,76.59,32.98,290.20,27.53,79.58, , ,187.94,16.31,243.67,43.89,8.01,28.97,118.80,95.86,100.70,80.16,299.72,181.51,126.46, ,206.04,16.29,272.10,195.04,173.83, 
55.36,0.14,293.47,138.53,235.43,88.29,116.52,128.73, ,255.19,296.09,291.24,39.96,242.54,274.90,198.25,171.74,30.48,162.98,94.60,84.85,40.61, ,128.62,148.37, ,55.45,45.59,215.03,10.04,20.54,273.95,15.29,88.30,101.77,195.19,203.59, , ,80.48,72.83,228.92,194.01,182.03,31.07,25.14,254.62,26.05,264.46,74.27,87.11,4.04,72.41,262.34,151.84,83.16,52.47,204.05,296.45,186.07,183.14,68.63,256.88,66.34,136.02,274.11,16.64,205.43,185.78,91.65,210.59,262.29,186.89,209.54,252.43,210.86,6.81,273.33,74.18,185.03,180.26,133.33,137.29,285.94,206.53,60.69,252.40,80.18,189.34,22.63,85.32,277.33,212.99,55.82,290.32,197.38,99.99,67.48,69.47,260.35,131.02,93.11,44.04,222.71,163.01,75.14,178.85,40.46, ,96.28,293.46,276.40, ,7.10,74.41,284.95
52.57,55.81, ,99.84,122.10,181.98,108.36,246.30,170.77,163.97,117.15,4.18,21.47,100.65,215.71,237.95,229.79,6.27,253.31,94.45, , ,142.87,106.74, ,277.51,272.49,244.46, ,38.01,90.04, , ,15.88,256.21,96.25,21.15,68.59,124.98,92.03,155.61,57.01,176.29,236.61,128.76,69.59,217.92,5.43,165.38,64.64,266.99,84.07, ,152.66,35.44,195.77,216.18,60.29,270.83,116.93,73.36, ,240.13,20.90,123.68,266.87,7.86,49.22,222.00,244.59,295.12,221.52,221.35,58.69,286.89,218.58,76.64,239.84,203.42,262.33, ,229.20,154.88, ,246.81,224.34,110.80,196.56,217.86,48.38,219.57,279.83, ,56.47,53.68,143.62,35.57,161.45,86.14, ,50.79,212.88,154.54, ,51.10,112.45,104.38,88.58,68.83, ,125.30,7.17,10.55,234.11,183.04, 
199.37,18.20,239.57,17.05,187.92,19.26,237.16,89.37,263.29,252.48,283.50,223.95,129.96,116.15,128.59,278.64,41.71, ,281.29,207.52,178.10,263.80,212.82,267.84,50.72,191.04,109.53,191.44,140.40,107.72,265.58,130.27,164.46,184.02,117.28,90.28, ,54.08,280.03,141.69,192.22, ,159.72, ,51.16,260.47,176.54,153.72,242.37,163.74,31.28,186.75,99.76,190.02,55.98,295.35,88.63,165.38,47.29,18.32,11.45,286.59,90.89,187.26,287.57,102.73,60.48,141.67,171.61,14.08,201.74,125.26,197.00, ,244.29,206.94,244.71,29.32,276.62,19.96, ,70.95,176.06,102.08,291.67,49.42,201.29,15.17,241.53,17.18,156.45,37.09,195.17,228.50,199.43,47.82,255.33,21.90,250.20,149.12,97.67,247.61,149.69,25.50, ,42.68,31.39,258.45,188.30,159.08,80.69,263.98,212.54,11.89,32.95,193.04
233.54,222.43, ,185.21,32.49, ,253.86,293.82,22.13,93.58,98.28,138.41,164.26,145.01,94.87,12.01,152.78,79.49,178.05,260.43,53.26,136.73,112.14,219.43,12.66,15.47,187.27,173.19,204.82,227.68,196.16,287.60,185.24, ,63.29,84.59,141.11,36.06,217.32,67.66,179.27,67.05, ,220.92,19.46,181.58,125.42, ,113.02,72.07,250.84,267.96,34.69,140.60,257.30,237.36,109.51,105.61,106.83,97.48,93.01,151.80,48.64,226.98,56.22,41.77,134.40,42.48,118.80,239.85,241.01,101.05,293.84,227.07,280.21,70.89, ,222.69,296.40,40.35, ,39.40,215.50,209.56,42.90,141.06,104.46,159.96,132.58,112.17,254.48,84.19,165.60,248.06, ,100.29,186.42,58.72,224.24,295.81,275.42,23.28,128.62, ,34.13,271.93,297.57,238.69,251.79,113.71,83.27,0.14, ,8.88,114.73,93.84
115.33,134.70, , ,243.95,297.46, ,143.76,43.91,261.20,186.75,195.54,216.98,72.61,204.56,60.19,27.77,253.00,5.42,124.46,35.55, ,217.41,109.97,131.42, ,127.12,132.96,49.19,218.34,295.39,55.73,260.56, ,213.56,231.73,4.99,40.71,166.69,62.53, ,193.96,113.02,248.26,43.73,295.91,119.25,84.97, ,45.53, ,259.10,204.91,144.00,4.96,272.07,181.55,18.06,117.82,96.59,77.06,63.54,102.40,64.26,57.77,232.90,84.32,155.26,156.25,94.62,118.28,124.30,15.43,75.35,273.44,199.34,12.26,123.46,145.66,2.02,298.87,219.68,126.91,72.43,74.20,144.38,233.74,192.32,111.03,82.43, ,281.77,151.86,258.43,90.30,268.53,145.02,213.42,30.36,0.64,62.56,157.90,101.43,147.36,237.60,133.03,254.62,157.04,59.44,72.99,261.62,143.48,244.96, ,275.32,35.48
107.83,146.73,4.60, ,55.20,25.27, ,279.89,90.02,62.48, , ,167.10,55.71,145.83,8.58,157.88,109.99,247.23,28.60,230.02,7.03,264.11,73.91,198.31,30.37,69.40,173.01,90.60,210.23, ,218.81,199.22,167.58,210.10,193.53,54.33,168.96,96.49,269.16,262.54,70.86,202.49,96.34,51.20,49.22,66.39,45.23,230.89,130.54,37.11,2.91,156.45,286.70,236.09, , , ,64.29,291.44,218.30,76.07,179.64,9.75, ,275.36,21.74,219.53,129.98,150.29,94.30,239.36,92.85,229.01,297.07,173.24,269.27,98.02,183.30, ,30.96,197.74,292.40,29.04,133.62,201.54,45.77,59.41,131.39,5.17, ,56.14,11.22,190.10,238.03,270.97,104.37, ,213.88,61.79,285.28,194.39,15.45,225.36,16.32,67.05,69.94,77.62,67.54,146.47,41.06,147.75,24.24,259.62,23.41,181.04
216.81,195.51,15.59, ,31.91,74.16,247.56,131.02,198.02,50.39,275.12,222.56, ,11.94,232.62,157.62,44.04,189.08,6.69,60.43,236.59,87.96,185.60,121.01, ,55.06,191.27,110.18,206.77,125.77,37.30,200.60,205.16,40.03,281.72,205.14,181.28, ,171.27,1.92,118.32, ,258.24, ,68.42,284.30,249.25, ,110.37, ,15.53,101.37,184.65,65.39,227.35, ,98.62,265.58,55.69,138.24,93.62,82.35,200.07,166.36,165.84, ,227.18,58.16,152.51,74.62,122.98,126.49,100.58,52.21, ,136.17,133.49,245.50,146.90,171.29,72.92,289.98,264.31,286.33,134.76,67.48,52.12,179.15,170.03,190.95,62.58,91.24,256.91,111.91,182.30,117.06,20.32,183.39,89.29, ,224.05,44.98,150.97,155.87,284.46, ,45.97, ,137.21,164.71,169.45,56.25,85.58,172.97,194.86,281.92
135.11, ,180.09,14.40,38.56, ,137.45,24.94,92.58,56.47,36.09,225.80,78.56,103.81,204.00,109.14,63.23,91.89,124.33,241.05,13.14,97.81,129.96,149.52,284.90, ,20.99,105.63,210.46,217.13,21.00,271.13,279.03,298.81,39.71,146.74,286.52,256.37,221.87,286.63,64.02,24.24, ,129.86,234.98,115.46,267.87,68.11, ,283.49,215.98,146.99,181.74,154.64,270.62,217.22,220.92,149.86, ,174.38,264.58,21.89,206.35,111.30,164.56,257.94,37.57,185.15, ,18.65,0.98,31.44,246.52,199.45,197.51,270.77,230.27,294.42,286.48, ,260.94,243.19,186.91,200.01, ,62.89,35.98,79.98,282.08,19.77,122.88,147.22, ,77.49,184.24,160.26,209.40,17.17,40.07,133.35,276.14,2.97,250.37,146.84,48.92,37.56,296.22,77.66,144.66,263.65,242.94,197.33, ,214.50, ,118.58
225.27,52.68,161.58,295.09,20.84,181.76,274.44,13.24,267.85,207.25,186.79, ,84.12,0.54,7.46,117.20,211.00,198.42,73.51,134.33,222.31,263.68,152.77,293.94,109.52,112.12,38.63,96.45,264.84,121.37,82.70, , ,150.50,132.94,217.94,5.93,145.60,120.96,111.28,203.25,266.75,261.82,277.68, ,242.51,249.50,237.96,32.85,38.56, ,262.57,31.86,107.52,238.12,175.83,43.38, ,10.13, ,15.51,290.30,14.64,93.13,83.51,262.30,19.76, ,282.33,111.62,86.40,188.96,164.92,58.26,208.57,38.45,83.90,130.90, ,276.46,54.66,1.87,75.13,28.59, ,7.48,254.80,255.60,108.76,82.13,64.52,235.41,131.30,213.54,246.85,238.66,93.42,269.40,73.75,138.98,295.01, ,249.81,150.77,49.09,175.70,35.81,151.52,297.69,52.32,117.69,198.54,184.49,54.62,270.92,133.86
40.66,94.73,220.65,84.04,216.79,185.85, ,37.37,123.82,143.70,25.89, ,111.10,179.41,114.15, ,248.01,252.03,144.61,148.97,26.54,6.89, ,259.49,41.92,236.23,194.58,276.01,2.18, ,181.59,62.79,164.20,81.80,239.12,58.74,16.52,206.79,71.57,282.91,253.26, , ,228.36,179.39,142.32,6.36,219.32,55.82,79.94,199.76,64.04,107.14, ,13.93,115.36,86.90,178.54,119.54,49.05,261.30,102.00,113.13,147.12,181.73,262.21,130.42,83.39, ,163.96,102.34,248.06,54.84,206.16,66.94,224.58,249.39,128.61,144.48,24.31,136.24,288.96,85.38,238.99,58.64,7.01,70.90,188.61,202.46,1.27,82.85, ,32.24, ,209.42,79.14,128.43,188.70, ,274.08,9.98,146.26,155.38,183.82,195.84,12.91,10.83,73.46,278.33, , ,15.12,182.10,123.98,137.55,168.47
28.99,260.00,291.37,182.48,225.83,184.76,68.93,221.05,132.28,248.09,2.32,21.71,212.06,281.90,87.05, ,116.04,121.24,20.19,173.76,162.45,80.15,21.01,22.23,108.02,111.50,223.93,155.88,286.78,90.25,88.62,197.63,269.44,195.94, ,69.69,117.94,265.16,42.78,241.35,48.92,17.69, ,92.40,195.22,40.54, , ,226.09,33.82,32.07,185.16,299.44,105.50,35.33,64.00,265.97, ,128.92,208.25,80.28, ,159.46,96.49,116.93,288.22,218.11,80.50,7.86,173.43,101.16,137.99,184.99,135.35,232.89, ,148.68,65.62,62.97,56.19,170.32,26.22,296.87,101.57,54.38,273.56,282.67,5.74,67.31,283.18, ,106.41,191.28,161.46,72.89, , , ,285.93,106.24, ,207.80,237.99,56.49,71.98,111.48,6.12,202.98,263.78,79.41,19.31,6.03,155.73,203.08,199.12,47.13
223.79,264.85,44.25,267.52,260.16,36.03,0.19,249.85,248.41, ,267.72,125.06,125.87,262.99,237.38,113.90,226.96,84.14,113.08,56.26,65.64,265.34,135.46, ,99.43,11.04,120.49,43.53,107.05,143.39, ,146.56, , ,56.55,162.26, ,218.52,93.71,64.28,189.25,107.40,121.40,207.15,99.63,122.29,32.46,80.49,112.24,190.07,124.75,48.02,140.73,93.31,20.34,60.07,126.22,198.27,285.92,189.51,56.10,292.22,277.48,140.17, ,30.24,265.67,23.50,283.62,53.36,10.38,278.13,37.17,118.25,131.52,174.31,279.77,209.28,163.58, , ,122.91,228.78,81.62,48.62,242.33,283.31,12.93,172.68, ,290.93,238.56,209.20, ,95.30, ,258.88,171.18,169.81,140.96,191.54,7.00,35.57,240.09,121.91,160.97, ,151.90,247.14,116.10,260.86,167.67,170.28, ,82.47,204.65
42.75,16.68,52.96,158.73, ,280.64, , ,203.16,59.55,119.89,253.06,87.05,4.31,35.29,39.80,3.69,162.41, ,212.16,32.16,145.89,51.54,274.20,243.64,263.74,147.49,47.01,226.43,232.55,203.03,223.56,35.29,185.11,166.71,288.00,168.17,271.57,174.37,123.91,273.38,211.96,227.03,49.12,126.71,37.23,13.27,52.45,147.59,183.71,34.83,213.18,5.60,122.72,130.53,298.00,34.27,224.77, ,273.89,295.65,151.99, ,112.78,17.38,15.41,274.67,72.80,253.25,72.60,258.38,22.59,7.03,166.34,18.17,205.69,30.93,284.93,130.07,134.17,58.08,48.53,199.82,220.61, ,293.21,158.12,251.62,203.36,280.85,26.66,40.85,47.05,144.52,32.16,237.55, ,87.13,33.07,49.47,140.01,246.89,107.33,20.67,46.58,202.67,55.82,222.60,265.85,59.93,156.85,6.77,2.47, ,35.54,14.05
220.86,236.10,70.58,10.57,125.91,195.08,95.55,230.25,79.73,70.89,211.79,155.72,75.52,212.83,30.48,100.28,190.13,241.25,115.70,253.12,291.55, ,87.09,179.51,41.81,168.94,146.23,46.48,17.50,7.30,26.58,228.83,124.31,219.17,80.91,38.14,162.54,271.78,148.43,47.68,85.73,80.99,158.59,26.44,123.57,4.64,267.92,128.07,198.68,177.25, ,215.39,80.76,273.88,250.16,78.07,210.90,221.39, , ,169.31,172.42,34.01, , ,150.64,166.16,140.44,116.11, ,196.87,121.73,107.72,5.34, ,0.03,0.68,218.35,182.68,73.03,113.34, ,263.99,50.32,47.62,277.97,43.91,261.01,102.11,112.55,16.84,107.48,271.03,104.69,143.46,214.05,8.81,244.32,65.24,134.66,190.71,216.31,287.48, ,89.59,212.81,262.88,4.52,154.20,253.91,108.76,209.27,158.19, ,130.99,107.88
 , ,78.28,233.21,39.06,155.36,246.29,247.98,56.92,283.66,51.11,130.98,188.14,58.67,113.13,88.03,155.31, ,233.59,152.82,234.25,154.71,132.59,167.33,264.03,245.70,15.63,117.23,112.72,274.79,230.27,156.22,19.76,70.89,84.87,252.71,110.00,238.47,14.53,204.63, , ,264.81,74.91,2.08,199.18,255.81,141.32,280.73,1.70,114.44,275.32,105.70,174.57,27.90,149.97, , ,82.87,6.25,214.52,45.40,285.19,243.14,113.24,287.60,275.48,201.52,169.19,36.11, ,64.02, , , ,121.65,233.00,237.20,136.22, , ,283.82, ,97.06, ,212.01,37.57,54.50,120.75,250.51,154.63,73.49,283.90,230.60,23.04, ,159.26,25.62,134.22,228.61,58.19,143.29, ,256.82,108.47,7.00,249.71,242.35,12.81,218.34,143.15,111.22,100.64,233.18,95.84,9.92
221.34,170.41,75.77,299.63,204.80, ,154.50,185.57,181.07,96.05, ,37.43,162.52,197.33, ,293.17,229.29,180.19,190.69,179.12,263.05,222.71,6.57,137.94,254.92,3.96,143.49,88.40,121.45,276.53, ,269.70,75.12,56.19,180.68,57.59,282.67, ,252.35,198.53,19.66,109.29,204.43,282.55,31.98,219.28,21.15,278.21,140.24,253.34,148.88,76.31,255.62,168.78,24.78,298.25,220.77,68.05,60.32,118.02,154.59,100.81,102.41,72.89,47.22,261.36,299.18,243.57,234.93,162.78,179.67,4.14,268.57,225.63,122.79,121.19,80.94,153.12,1.03,126.00,252.24,244.34,125.04,206.23,0.26,19.67,230.03,280.36,96.00,227.49,249.63,196.17,270.69,213.92,275.31,19.97,127.29,178.97,152.23,12.29,154.21,32.42,55.77,282.84,218.77,70.56,259.02,198.98,16.03,201.43,152.82,218.89,185.71,232.43,183.06, 
37.27,222.85,32.44,104.36,154.41,254.76,273.71,221.79,237.52,104.85,187.51,147.75,211.96,100.05,128.68,140.33,21.45,287.47,298.82, ,153.23,192.86,80.23,97.84,51.87,88.50,20.04,128.49,26.70,287.71,202.79,116.93,53.93,56.21,178.93,45.91,254.54,208.20, ,6.04,104.99,106.91,158.61,214.22,248.36,33.98,191.12,41.90,120.39,16.07,100.94,274.12,118.64, ,153.41,47.34,71.00,278.74,44.53,70.96,148.76,124.78,250.40,115.61,11.64,226.33,138.56,213.97,209.06,12.96,92.86,234.30,246.22,20.60,113.44,81.55,150.85,35.91, ,151.53,109.22, ,49.06,28.27,299.37,89.89,299.81,72.64,46.62,147.15,9.62,158.78,222.78,297.50,110.88,110.22,204.29,60.24,27.08,216.38,25.84,38.79,189.02,259.76,130.30,2.86,67.50,231.08,171.27,248.98,23.65,104.55,58.56,181.29,253.29,112.09
103.95,4.78,262.31,228.61,71.45,232.52,93.13,129.23,92.17,246.55,137.40,43.76,215.88,281.61,22.73,148.31,244.59,119.65,117.64,299.50, ,232.02,72.87,157.27,187.79,283.82,72.89,47.37,250.80,250.47,295.16,268.28,288.76,241.49,239.01, ,128.10,127.16, ,222.78,79.63, ,63.45,21.78,161.55,49.17,241.10,129.14,137.42,274.03,192.46,197.80,64.83,151.70,182.04,114.77,273.69,144.35,39.52,135.51,156.77,35.05,53.81,83.15,115.15, ,7.61,47.83,291.69, ,183.69,235.58,151.23,223.80,246.41,161.72,164.39, ,199.44,20.41,199.51,178.77,61.67,183.56,76.20,183.22,58.94,53.30,290.22,281.20,208.97,147.52, ,166.00,8.35,277.89,181.88,250.75,251.20,22.13,213.34,243.92,256.32,84.35,73.13,294.93,255.89,206.45,48.37,204.27,54.82,128.70,71.70,75.28,216.59,83.59
