Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66
13, ,23,45,43,92,20,37,12,9,5,14,15,2,94,95,48,41, ,87, ,50,34,53,62,94,80,27, ,42,61,25,54,44,84,44,57,22,61,45, ,11,28,26,88,98,47,44,10,88,73,61,62,67,49,99,16,10,3,0,21,10, ,55, , 
 ,81,5,62,31,21,90,63,32,52,10,26,51,1,92,70,15,53,95,89,45,7,32,43,45,0,48,88, , ,5,4,91,29,42,59,51,42,41,30,39,80,32,66,29,11,84,11,37,20,65,11,85,75,28,12,82,8,22, ,51,49,88,97,3,84
3,94, , ,95,77,89,84,54,4,37,32, ,20,39,56,69,80, , ,84,95,61,52,80,61,39,17,21,37,57,27,53,54,31,34,73,78,25,41,65,85,92,0, ,38,64,84,68,32,12,36,95,7,91,71,4,83,66,10,94,37,63, ,31,69
15, ,43,37,16,90,26,61,4,97,9,63,50, ,87,70,93,49,30,3,52,71,59,2,70,67,40,49,9,55,36, ,30, ,96,40,24,32,33,62,62,67,19,89,95,46,96,76,14,55,30,10,88,50,34,59,46, , , ,15,30,82,10,57,80
17,76,0,1, ,24,96,73,10,9,14,76,27,39,15,73,18,37,65,32,52,85,39,92,59,96,46,3,31,67,44,7, , ,92, ,25,68,65,21,9,84,68,57,62,73,99,49,27,46,4,87,97,11,72,88,4, ,73,50,94, ,0,8,21,60
8, ,96,82,6,25,34, ,7,16,51,34,20,13,84,65,2,10,70,70,12,48,50,94,57,97,43,41,66,92,89,95,32,78,11,26,64,75,31,72,81,97,2,88,93,19,39,74,20,75,2,56,77,82,2,98,25,8,35,96,77, ,17,84,51,65
40,40,45,89,75,54,69,67,85,92,41,24,38,49,47, ,87,14,28,84,62,38,97,88,75,86,94,14,32,3,71, ,59,9,30,39,59, ,80,41,58,22,6,38, , ,44, , ,94,75,98,25, ,40,36,35,34,59, ,3,44,77,13,91,38
93,81,44,87,47,50,77,74, ,25,15, ,57,70,83,76,47,35,62,36, ,84,43,69,98,6,62,7,79,88,52,26,98,9,59,64,81,1,72, ,71,25,87, ,4,73,76,43,99,0,69, ,34,77,72,55,21,68,23,93,60,1,96,97,26,0
10,31,30,27,11,46,10,79,70, ,31,63,88,82,17,88,33,83,80,4,5,29,98,16,15,95,81,31,50, ,67,47,70,3,77,52,2,90, ,35,72,47,97,27,98,43,46,4,50,70,78,51,71,30,30,69, ,16,14,98,43,86,23,5,17,61
86,67, ,58,12,22,91,98,52,60, ,37, ,61,93,65, ,81, ,49,42,69,97,37, ,35,82,11,65,60,10,47, ,48,55,16,48,13,14,9,0,87,21, , ,31,60,24,33,42,60,18,4,36,85,29,3,34,82,57,56,60,75,85, ,28
31,10,31,45,63,78,0,93,91,49, ,38,23,83, , , ,13,65, ,97,39,65,25,37, ,29,67,64,16,98,46,52,46,86,89,9,19,56,82,93,98,43,2, ,19,38,17,1,92,5,57,14,5,5,54,56,84,15, ,22,1,29, ,75,29
19,73,20,25,59, ,14,44,2, ,53,24,6,73, ,49,58,28,91,14, ,40,61,53,73, ,97,33, ,77,83,67, ,76,19,65,10,90,20,2,82,22,61,63,23,72,12, ,24,77,45,61,92,46,61,36,58,33,78,44, ,73,10,69, ,95
7, ,68,63, ,97,21,81,50,61,69,0,79,56,16,76,55,53,52,89,96,33,19,97,30,98,64,45,45,9,69,73,70,51,78,85,28,93,34,17,49,65,15,58,13,21,54,9,22,48,2,77,53,78,61,54,12,25,31,87,51, ,6,37,27,79
1,5, ,76,56,6,48,30,46,56,6,43,14, ,45, ,25,72,10,6,14,24,73,38,45,64,18,10, ,24,78,86,95,23,1,41,42,12,76,2,30, ,32,15,68,67,0,65,33,75,58,9,45,59,90,11,74,14,4,50, ,17, ,56,4,74
58,83,79,80,37,83,41,47,65, ,15,39,74,89,96,66,37,59,78,85,26,2,97,22,26, ,41,79,72,64,68,30,81,4, ,93,26,28,95,89,80,92,56,0,61,96,40,56,21, ,7,84,20,8,0,37,15,11,10,36, ,8,87,78,36,29
7, ,87,17,91,30,36,82,82,48,34,28,98,51,14,71,59,53,37,42,88,57,19,73,32,21,33,40,27,75,44, , ,41,50,8,7,65,21,6,87,17,6,58,83,38,27, ,10,48,36,56, ,52,1,80, ,67,87,52,34, ,20,82,20,59
36,43,63, ,16,99,47,60, ,48,5,27,11,41,95,81,68,62,81,83,42, ,33,87,14,42,45,33,41,90, ,52,32,33,32,20,95,67,95,62,80, ,86,63,97, , ,39,40, ,61,6,5,10,89,76,43,75,42,11,70,88,33,15,17,25
61,73, ,84,48,43,6,8,26,41,86,6,7,77,0,46,10,53,36,43,0,18,70,37,42,14,52,91,3,81,18,85,5,5,77,26,35,84,71,4,0,44,39,13,6,48,22,53,72,69,7,27, ,12,13,54,33, ,86, ,99,14,5,16,93,11
13,58,89,51,51,35,93,78,55, ,55,89,53,66,22,4,23,32,56, ,57,50,91,62,9,61,74,74, ,3,56,0,99, ,32,83, ,41,94,44,97,48,77,89,6,51,3,36,69,28,68,80,30,89, ,33,54,12,26,58,51,64,75,98,42,9
3,20,27,28,99,16,11, ,37,82,24,16,30,85,30,19,23,90, ,32,96,55,86,41,4, ,56,46,26,61,87,31,62,23, ,67,11,17,76,33,13,31,94,53,97,28, ,20,25,96,34,17,26,36,56,26,54,5,59,13,73,55,62,22,57,37
34,11,35,54,88,65, ,70,5,16,19,87,23,24,21, ,13,3,39,73,31,74,4,67,26,24,34,46,8,60,31,69,81,70,12,14,5,40,9,18,21,94,28,91,51,57,55,28,99, ,11,72,48,95,70,77,25,0,49,72,93,44,80,5,71,76
47,38,11,55, ,32,62,88,2,16,23,34,22,6,77,17, ,66,54,34, ,71,47,95,77,65,87,36,89,29,98,7,68,83,19,2,20,70,8,2, , ,80, , ,74,75,42, ,49,78, ,47,34,63,23,23,0,18,93,15,15,97, ,40,4
55, ,29, ,63,2,3,42, ,68,1,52,12, ,10,1,24,40,88,8, ,72,87,2,33,62,91,63,80,12, ,72,37,94,75, ,84,6,0, ,2, ,40,83,44,77,23,12,62,48,95,34,48,80,75,49,83,4,49,56,34,19,24,69,34,46
43,8,99,46,69,97,64,76,89,8,68, , , ,52,94,26,13,33, ,22,80,47, ,11,20,69,35,22,77,24,96,0,44, ,78,34,71,92,92,30,57,40,92, ,55,50,41,0,69,57,23,33, ,48,66,52,12,54,22,87, ,98,82,54, 
23,40,51,54,65,91,43,29,54,8, ,95,32,40,34,97,18,57,77,94,41,44,41,3,43,5,17,53, ,93,29,62, ,88,47, ,41,21,64,80,98,96,82,3,69,77, ,7, ,54,69, ,35,49,61,19, ,73,45,41,86,10,98, ,16,71
50,66,38,49,57,76,66,50,91,63,7,30,7,82,14,20,85,74,89,12,33,23,33,22,94, ,2, ,65,93, ,7,45,87,46,21,24,3,92,46,26,61,15,5,28,83,31,78,63,9,77,80,0,14,87,58, ,19,48, ,38,36,87,13,44,31
87,86,11,51,78,87,52, ,77,39,8,44,38,43,57,36, ,46,76,84,83,67,98,92,97,93,70,49,83,44,19,24,74,28,28,80,75,83,67,28,38,70, ,19,50,53,0,63,93,60,62,25,49, ,23,34,5,74,81,94,93,44,76,95,57,69
90,27, ,99,15,57,45,42,11,15,77,46,68,4,67,47,24,96,83,12,37,66,99,3,93,12,10,81,68,57,20,5,95, ,78,47,36,43,16,22,46,39,52,99,67,89,6,8,88, ,67,33,46, ,65,39,94,28,3,32,12,89,2, ,11, 
22,51,66,79,83, ,22,78,60,12,45,54,5,47,51,48,81,87,47,93,66,48,70,98,39,72, ,26,31,77,33,81, ,62,32,40,74,64,96,50,65,5,75,63,63,81,79,77, ,39,68,47,24,58,51,98,58,51,63,60,45,50,85,19,4,41
8,66,43,79,18, , ,66, ,29,33,21, ,63,16,60,41,92,91,81,85,30,38,80,63,34,88,59,80,53,5, ,46,10,7,76,55,72,76,39,7,15,82,5,28,63,33,42, ,52,2,51,78,17,65,76,68,62, ,10, ,38,27,81,6,99
35, ,87,60,63,42,73,94, ,8,62,60,76, ,57,71, ,31,93,41,73,3,59, ,49, ,1,85,60,65,33,94,2,17,67,47,50,26, ,86,36,6,36,10,98,66,89,30,99,32,11,80,94,47,92,32,68,53,76,6,20,10,69,25,85,2
2,17,83, , ,98,5,16,72, ,79,43, ,53,21,90,38,4, ,22,58, ,34,60,52,98,71,4,65,20, ,41,67,36,52,35,14,62,27,58,99,65,6,28,52,67,61,70,57,89,83,85,17,95,95,12, ,78,96, ,43,33,90,20,24,68
88,37,50,22,0,99,13,92,85,83,77,39, ,59,36,97, ,49,0,43,45,42,57,33,90,8, , ,90,54,46,38,82,9,76,31,34,63,22,32,71,74, , , ,87,20,53,28, ,17,20,57,14,29,68,98,6, ,81,21,15,10, ,64,27
29,48,39,1,97,31,82,68, ,92,49,73,23,1,47,49,73,97,33,25,1,18,40, ,29,28,97,73,66,65,4,36,82,50,64, ,51,89,22,18,59,87,64,34,96,92,96,21, ,52,91,53,68,14,31,57,3,76,88,98,3,9,86,8, ,60
87,90,46,26,30,42,73,96,55,35,6,81,11,1,89,83,39,89,72,70,85,21,80, , ,21,8,56, , ,82,14,84,48,71,8,52,45,93,96,85,10,24,35,8,48,78,62,61,86,48,76,75,39, ,36,76,53,53,18,80,83,53,34,9,3
 ,98,94,41,43,70,7,39,53,10,93,72,39,99,28,59,38,90,32,67,63, , ,37,63,13,80,58,71,72,54,15,72,71,86,94,78,91, ,29,92,54,1,25,32,26,77,19,99,62,60,56,44,6,44,24,57,3,39,13,52,75,67,21, ,83
29,86,93, ,77, ,1,43, ,2, , ,91,54,97,62,90,2,60,6,46,55,53,25,85,22,25,2,4,83,80,21,77,90,76,42,5,46,40,94,77,13,54,20,73,61, ,83,27,14,84, ,7,6,75,26,72,87,8,1,1,33, ,83,52,54
76, ,84,93,1,37,39,33,95,68,69,71,33,86,52,34,73,95,21,47,58,51,94,24,26,85,64, ,97,85,9,11,55,24,7,60,72,82,39,94,92,15, ,72,50,73,40,39,11,92, ,6,63, , ,48,12,0,32,93,87,35,54,58,2,22
19,60,32, ,63,53,80,34,29,79,37,49, ,11, ,14,48,62,1,27,93,94,25,43, , ,10,86,1,5,47,43,62,3,87,12,30,6,51,99,93,67,99,53,88,18,78,97,54,65,5,57,83,60,96,29,19,94,50,21,6,75,2,26,72,99
68,14,22,87, ,17,54,4,64,95,58,78,37,70,23,94,30,16,74,69,26,2,0,56,59,68,87,62,97,20,94,24,67,7,33, ,60,38,64,98,4,97,37,84,42,82,11,88,65,42,62,42,83, ,47, ,76,12,52,18,12, ,95, ,93,0
43, ,6,8,45,93, ,56,44,43,19,33, ,87,48,21,52,5,46, ,54,4,34,57,67,59,98,74,10,20,46,60,24, ,20,25,42,83,0, , ,48,49,44, ,77, ,97,77,37,94,0,67,93,92,95,57, ,6,32,30,99,99,5,9,15
69,97,61,78,16,66,12,92, ,25,22,84,86,35,25,78,80,18,34,43,58,72,10,59,70,14,71,23,14,21, ,99,50,80,6,59,80,83,68,8,32,12,65,48,25,43,77,27,15,44,29,32,60,58,78,26,59,36,49,47, ,91,70,68,50,43
5,4,7,74,99,62,0,46,50,72,24,67,98, ,49,38,17,26,92,7,46,92,47,1,44,45,57,37,7,46,85,78,70,35, , ,92,91,53,78,11,88,93,65,98,5,31,30,93,14,63,72,63,40,3,72, ,60,35,37,5,72,42,81,56,66
 ,32,1,23,12,59,41,46,36,51,58,75,5,90,96, ,82,57,19,65,66,20,33,97,57,98,8,37, ,76, ,72,48,0,97,59,80,55,76,22,36,24,41,96,50,55,87, ,35,41,81,1,41,0,3,64,26,1,85,57,85,19,7,86,31,85
87,57,13, ,16,35,75, ,37,31,29, , ,61,96,66,75,39,38,92,56,68, ,63,78,18,91,72,29,69,17,18,93,85,9,48,39,30,10,25,53,31,57,52,26,38,40, , ,28,89,57,98,50, ,60,67,76,80,69,73,12,94,36,46,80
59,78,17,47,17,69,57,96, ,66,41,36,16, , ,39, ,60,67,99,14,31,56,17,47,53,80,55,14,19,66,46,37,11,45,89,59,92, ,10,69, ,83,60,9,32,82,15,7,36,58,30,43,69,5,46,61, ,44,79,88,16, ,14,67,85
41,86,91,62,66,52,2,86,58,99,53,59,91,2,96,63,31,11,80,83,40,60, ,46,8, ,51,17,34,84,68, ,31,55,31, ,4,9,99,88,15,58,16, ,34,25,5,12,87,6,26,21,41,97,83,75,81,91,43, ,78,24,26,34,74,19
4,39,98,90,7,61,38, ,46,33,11,69,82,67,30,14,50,86,70,33,17,18,29,91,40,20,80,85,46,58,97,24,45,91,21,73, ,91,44,90,39,40,96,76,77,17,26, ,75,90,51,91,51,15,52,39,54,13,51,22,21,27,78, ,54,44
4,12,6,44, ,59,44,51,59,1,13,34,98,58,67, , ,15, ,43,20,15,47,37,64,20,97,80,37,18,79,18,67,5,6,78,37,19,6,44, ,65,48,18,5,87, ,58,10,81,45,65,14, ,34,24,32,42,33,65,60,91,28,6,21,85
77,2,88,18,92, ,24,56,71,87,8,15,87,64,47,76, ,49,75,91,60,38,7,30,48,17,86,86,64, ,55,5,44,82,55, ,49, ,87,14,85,12,60,49, ,93,84,57,6,88,73,41,42,74,79,63, ,6,78,41,5,21,96, ,41,55
16,50,21,49,41,26,72,11, ,79,47,83,91,92,21,10,38,1,60,45,35,84,47,51,46, ,94, ,64,10,61,78,83,11,14,79,30,34, ,82,5,89,6,50, ,56,4,80,90,0,49,75, ,5,9,97,63, ,52,57,89,84,43,63,72,87
56,87,65,37,72,6,21,16,49,11, ,95,12, ,36,1,30,60,89,81,34,85,19,51,81,9,40,88,91,72,31,51, ,11,22,61,72,34,34, ,69,67,17,57,32,79,76,79, ,12,52,77,83,29,65,60,33,99,1,70,40,87,96, ,24,37
22,41,55,65,57,34,62,89,21,45,38,15,61,10,84,49,19,44, ,9,41,84,1,20,25,21,56,69,48,50,68,84,18,19,59,43,67,31,32,45,70, ,26,80, ,64,37,16,7, ,27, ,56,58,0,93,42,89,5, , ,81,63,24,77,23
76,12,79,76,93,28,8,25,84,99,91,31,26,56, ,79,73,2,80,54,65,47,39,77,3,37,1,59,44,12,12, ,86,41,73,18,78,38,88,8, ,17,89,80,75,64,74,80,63,54,47,45, ,94,75,34,8,1,84,52,95,98,52,64,38,19
85,12,32,1,90,91,31,70,13,49,1,93,23,19,96,28, ,41,58, ,65,43,37,50,90,31,72,87,86,23,73,44,2,43,28,16,30,52,34,75,65,64,39,3,63,31,46,38,47,57, ,73,3,23, ,25,91,53,29,8,18,59,8, ,46,74
10,1,21,17,75,70,76,75,92,41,86,84,21,63,44,97,88,39,4,55, ,25,18,77,80, ,5, ,90,28,33,25,95,60, , ,98,25,18,81,39,89,5,25,89,7,97,15,12,3,5,44, ,70,18,63,61,45,28,7,17,73,21,51,26,48
67,44,71,53, , ,46,40,79,20,34,10,74,21,76,87,48,96,26,8,59, ,6,38,23,19,40,21,32,69,31, ,56,1,59,22,8,13,88,44,81,7,90,14,98,7,99,2,91,9,31,19,13,46,89,88,40, ,31,78,59,78,47,17,94,12
52,64,57,39,87,47,70,22,4, ,64,50,95,97,48,11,71,59,12,3,44, ,3,61,4,27, ,76,9,81,71,26,23,38,62,40,23,99,87,3,7,41, ,18,10,92,61,43,46,82,3,69,57,68,42,3,77,98,73,73,6,0,88,12,85,64
29,57,88, ,30,90,74,85,36,10,8,20,65,87,49,64,12,96,87,87,19,5,41,29,92,97,16,76,83,82,47,72,45,59, ,47,9,55,65,32,38,41, ,60,71,80,77,0,88,18,77, ,28,19,21,30,28,27,8,30,89,5,52,43,21,20
66,64,47, ,68,8,98, ,68,68,11,73,0,50,27,32, ,98,7,23,71,60,15,58,27,35,56,99, ,24,36,97,98, , ,46,98,32,98,6,71,85,8,72,10,93,70,86,98,6,59,26,91,48,71,48,27, ,35,31,56,30,48,77,59,22
22,51,67,28,82, ,25, ,84, ,16, ,94,33,73,58,73,57,57, ,24,5,1,89,98,11, ,28,57,40,64,1,45,3,72,12,85,54, ,42, ,40,72,2,13, ,53,86,51,12,13, ,74,48, ,2,92, ,52,74, ,76,84,47, , 
 , ,43,65,30,32,13, ,15,9,9,45,86, ,11,97,38,92,21,58,94,52,47,19,80,74,51,86,23,96,4,94,77,85, ,43,17,37,79,63,83,19,57,11,79,90,18,9,61,47,19,45,23,82,87,47,51,95,22,2,21,17,76,1,22,97
39,80,27,65,8,85,80,68,88,5,63,50,48,78,1, ,40,93,47,69,64,48,62,92,18,71,28,79,42,46,32,27, ,20,89,45,41,99,91,57,48,28,49,56,64,64,20,4,29,69,2,69,43,9,98,92,88,23,42,56,67, ,87,89,38,50
18,26,10,72,94,37,27,64,1,23,11,93,54,79, ,30,17,75,7,52,65,90,19,70,50,8,26,51,7,4,34,49,32,33,97, ,63,81,97,39,80,92,80,90,53,10,60, ,12, ,46,27,8,10,60,20,92,54,39,30,40,56,38,97,30,72
92,9,90,91,28, , ,12, ,52,35,81,40,57,30,87,72,98,73,63,90,22,64, ,70,68,83,92,91,60, ,59,62,0,4,60,67, ,90,46,68, ,37,65,19, ,45,29,88,63,67,24,83,9,72,87,33,35,93,81,81,63,78,28,59, 
27,12,99,78,76,21,11,31,72,8,75,18,37,30,72,92,37,68,8,70,25,81,71,64,5,99,31,83, ,14,2,66,74, ,10,17,64,74,80,58,89,18,44,6,18,42,38,58,52,10,8, ,73,19,52,77,53, ,41,65,13,84,75,34,62,63
50,1,45,15,25,42,33,38,69,23,87,38,30,98,60,66,34,7,40,45,2,88,71,12,32,23,44,83,34, ,95, ,6,1, ,41,4,38,96,63,86,56,26,67,60,22,10, ,45,65,37,89,28,10,93,83,72,74,13,62,11,24,15,41,66,7
 ,96,59,87, ,72, ,45,78, ,29,66,7,94,32, ,99,92,73,78,83,13, ,77,83,52,92,27,22,49,58,52,81,35,68, ,1,29,77, ,51,20,76,87,71,38,26,3,39,74,68,98,44,61, ,29,35,72,57,27,58,99,64,82,35,17
 ,60,67,14,64,58,34,89,97,2, ,39,12,53,47,62,98,25,66,21,94,53,54,0,91,31,10,7,75,18,50,87,79,55,42,41,96,48,89,79,25,30,82,58,99,80,57,98,80,83,30,60,20,76,57,90,66,18,58,7,53,8,55,48,60,58
57,16,27,88,49,67,98,65,62,15,60,27,30,50,8,81,27,44,91,39,11,56,93,66,94,71,5,69,74,26,29,48,6,11,26,38,58,47,16,7,96,66,76,38,56,33,73, ,79,53,2,15,63,87,27,23,98,5,78,38, ,3,83,46,56,78
25, ,65, ,53,87,86,53,31,67,93, ,96,53, ,79,29,65,41,19,75,52,27,88,26, ,93,28,62,51,99,95,87,96, ,11,83, ,36,61, ,43,58,95,6,12,38,31,23,84,58,71, ,55,22,7,66,27,3,63,12,66,88, ,85, 
69,97, ,68,23,7,33, ,79,49,24,37,62,81, ,58,18,5,95,81,86,89,19,85,2,50,28,22,26,47, ,6,44, ,58,21,62,45,2,74,66,92,62,80,87,11,83,41,81,15,43,80,44,56,91,34,7,75,48,54,62,70,3,43, ,59
99,6,40,61,23,22,0,57,97,24, ,91,23,14,79,26,69,11,63,36,67,73,29, ,99,20, ,97,56,10, ,90,14,11,7,99, ,51,51,67,48,80,94,22,20,13,50,21,15,2,24,51,10,92,28, , ,33,45,27,20,48,79,34, ,49
92,43,53,91,10,85,95,4,7,45, ,93,86,22,74, ,93,72,85,54,83,31,35,30,45,71,14,85,10,62,33,1,79,62,99,43,81,51,2,56,19,39,52,74,83,93,11,42,68,57,22, ,4,1,79,77,2,66,58,11,74, ,90,11,51, 
9,60,99, ,1,66, ,94,70,24,51,51,84,16,78,97,87,7, , ,13,7,72,64,79,26,64,41,4,84,71,69,21,75,5,35,98,19,35, ,15,64,83,60,46,83,58,36,68,1,99,33,93,37,12,1,39,47,8,22,95,22,52,80,52,19
77,70,29,35,28,69,2,90,26,65,18,76,47,93, ,12,17,22,94,24, ,61,26,23,74,29,72,28,20,6,76,25,64,51,84,78,39,27,3,82,1,18,60,23,23,94,77,29,10,95,61,16,13,66,94, ,95, ,69,59,2, ,97,1,12,28
39,54, ,55,82,42,71, ,32,42,8,57,59,74,72,4,79,23,56,89,46,24,82, ,14,37,17,26,33,83,53,98,50,77,98, ,81,84,9,66,81,43,94,76,49,87,10,42,8, ,93,82,64,52,78,36,0,27,7,27,93,97,95,79,64,0
46,25,52,81,97,15,31, ,38,76, , ,47,56,94,68,17,5,52,52,98,27,98,47,74,26,35,12,22,86,85,75,81, ,34,55,95,91,37,59,91, ,41,11,64, ,50,8,26,86,14,5,85,8,12,94,24,18,27,41,64,4,26, ,52,6
37,64,12, ,89, , ,51,68,18,69,77,35,48,93,14,74,55,38,13,79,83, ,34,55,48,73,29,44,55,4,20,98,77,32,13,19, ,62,54,57,41,32,38,95,95,53,22,18,53,49,32,12,7,51,67, ,9,53,57,55, ,57,8,36,97
45,82,34,26,70,4,86,46,78,62,62,59,29,0,93,55,44,16,34,20,19,41, ,88, ,94,98,44,76,25,40,74,58,35,97,16,74, ,16,92,55,99,19,75,32,2,91,83,80,24,99,71,68,61,52,88,74,39,44,71,65,86,96,45,73,32
 ,4,31,52,64,4,80,11,36,46,92,0,18,93,44,28,26,8,45,73,66,83,70, , , ,69,14,20,9,57,35,34,46,61,13, ,24,56,34,3,33,26,39,74, ,66,32,80,54,34,30,37,71, ,79,91,17,8,79,61,51,20, ,22,87
18,93,69,57,56,20,13,33,12, ,61,72, ,93,46,16,93,55,84,17,65,65,90,89,18,1,63,9,65,0,18,46,53,98, ,15,91,45,79,66,43,4,31,90,9,8,10,67,79, ,17,35,86,43,4,29,13,11, ,55,37,76,86,72,9,23
69,65,4,11,95,97, , ,15,25,71, ,47,22,82,44, ,74,19, ,24,84,27,89,59,46,10,19,52,83, ,66,47,51,6, ,79,95,86,29,54,60, , ,18,44,23,45,94,73,48,2,58,14, ,1,76, ,65,31,9,59,20,82,8,63
72,77,31, ,46,3,65,25,45,28,74,7,99,10,99, ,81,41,33,94,19,93,50,93,18,75,32,74,52,71,64,47,17,5,62,42,85,50,8,82,2,94,11,96,34,83,27,45,20, ,83,39,36,16,83,54,63,5,23,95,8,71,91,52,22,34
55,71,48,64,47,43,30,9,22,42, ,13,61,90,38,32,49, ,41, ,5,49, ,60,78,9,75,32,65,7,60,19,38,4,78,99,51, ,75,91,94, ,96,90,83,99,36,96,14, ,18,96,80,15,7,82,20,59,73,50,80,2, ,62,98,4
 ,85,60,91,31,66,96,91,47,54, ,34,70, ,33,46,78,6,78,29,42,67,75,96, ,44,75,1,48,16,5,43,69,21,85,63,30,22,0,36,7,0, ,1,72,9,78, ,94,19,4,3,59,92,74, ,10,77,60,15,53,34,56,62,7, 
23,92,5,61,34,90,46,81, ,41,72,41,57,20,66,53,51,47,96,41,34,84,23, ,61,61,18,57, ,55,34, , ,75,78,6,22,68,24,96,88,10,78,53,82, , ,27,59,70,30,58,23,84,38,46,57, ,68,30,23,76,15,31,74, 
9, , ,2, , ,36,96,23,16,22,6,10,93,88,45,82,57,44, ,46,9,56,30,21,55, ,42,24,76,66,26,53,91,1,88, ,9,16,69,5,30,88, ,92,55, ,22, , ,89,25,16,89, , ,49,65,6,11, ,99,35,38,62,13
