Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62
294.06,42.88,72.74,209.59,260.36,2.30,198.85,4.55,277.73,242.94,96.95,25.56,186.84,136.62, ,173.24,95.95,161.47,74.91,207.89,271.34,280.22,233.58,96.56,49.78,77.15, ,293.92, ,3.86,255.85,92.74,214.08,18.27,218.81,62.81,121.47,111.44,93.37,17.14,212.34,180.50,31.10, ,265.56,200.43,14.36,75.61,71.57,287.26, ,26.97,133.40, ,252.50,232.88, ,56.60,68.12, ,101.18, 
 ,279.08,19.55,190.57,287.14,298.87,227.66,78.39, ,251.60,41.56,48.04,102.18,59.35,65.62,294.70,192.00,233.50,110.38,125.40,42.38,55.61,222.64, ,193.53,8.06,289.57,211.51,39.81, ,191.72,246.00, ,295.58,219.26,45.50,164.19, ,120.64,112.52,111.33,46.30,166.18,256.27,13.53,125.12,25.82,104.75,216.08,32.97,280.36,26.26,85.20, ,65.68,17.90,224.54,138.79,14.63, ,249.30,161.08
100.65,212.92,12.96,57.97,105.92,284.49,271.05,2.30,105.67, ,95.08,65.36,255.89,185.72,51.02,79.63,206.31,59.46,231.07,249.36,74.10, ,240.27,173.00,163.27,63.43,49.04,95.86,30.17,41.96,193.72,296.47,85.27,54.14,123.97,286.19, ,19.59,37.58,156.09,84.47,130.36,280.22, ,9.93,82.87,41.31,169.68,275.50,105.86,143.96, ,278.76,98.52,173.80,179.87,217.91,193.85,242.59,69.35,212.34,74.02
102.08,166.37,226.12,186.21,65.02,155.74,44.38,297.94,149.91,217.54,178.62,153.17, ,202.80,65.58,51.76,66.75,8.22,157.05,98.37,195.27,156.14,242.46,68.76,140.14,62.38,14.56,106.30,191.04,254.17,248.39,206.80,261.08,227.37,144.43,299.91,243.33,141.36,98.37, , ,96.61,116.38,116.35,91.72,41.68,86.38,119.83,142.38,62.25,228.31,212.70,151.52,82.19,178.31,94.24,70.12,215.65,183.98,230.40,131.73,199.13
236.24,138.24,240.66,92.38,9.67,246.97,27.39,83.91,208.89,207.34,16.58,219.39,199.74,68.36,26.21,116.82,47.65,230.20, ,82.54,5.69,170.94,184.57,10.46,110.30,216.23,112.71,232.99,247.37,79.15, ,243.46,242.03,249.46,102.34,276.52,282.07,151.75,190.59,77.82,180.12,273.90,37.44,162.51,215.27,145.58, ,194.50, ,56.80,164.55,113.10,285.88,35.03,37.31,219.91, ,42.96,39.76,18.93,171.58,243.87
276.74,106.09,178.64,277.36,179.14,270.52,23.78,42.57,37.19,222.68,56.84,273.22,297.14,63.55,240.43, ,143.68,280.07,56.69,67.37,174.40,228.17,8.91,26.22,30.74,60.81,97.52,161.93,75.71,107.77,12.21, , ,201.33,298.94,184.20,150.97, ,258.03,9.19,267.54,138.01,226.73,187.51,153.22, , ,99.87,12.72,141.79,207.62, , ,99.48,18.66,156.35,175.95, , ,163.28,197.11,97.30
251.89,62.62,113.53,288.28,114.13,164.37,239.12,114.61,155.72,154.00,14.76, , ,147.09,43.68,211.22,201.74,129.99,144.58,142.94,46.20,8.73,271.31,246.96,225.92,41.72,55.41,100.59, ,13.06,93.70, , ,261.19,37.37,11.37,11.91,10.95,84.97,111.81,23.76,56.98,173.45,113.48,268.06,251.55,231.17, ,258.31,249.41,150.35,19.15,31.27, ,54.16,198.99,296.95,37.33, ,202.32,151.69,39.93
134.26,200.77,85.03,30.55,189.14,233.34,17.45,61.40,107.65,179.48,24.79,123.63,36.43,89.06,281.14,93.29,132.01,104.10,48.53,131.53,184.50,197.14,155.30,60.83,22.45,248.71,246.30,210.77,146.31,295.76,143.28,244.46,167.54,160.00,103.19,230.29,33.20,281.89,45.39,5.05,194.80, ,64.88,79.59,213.06,132.31,107.34,161.32,144.72,206.97,187.08,80.33,265.66,168.04,122.13,237.85,188.46,284.46,163.65,2.05, ,44.01
226.77,78.16,53.15,103.02,277.17,250.31, ,64.58,208.42,242.16,298.95, ,28.79,299.19,290.95,235.19,285.80,37.28,12.29,73.94,32.16,9.88,5.18,227.90,10.28,254.91,11.68,291.05,150.61,240.14,73.72,92.30,101.55,159.92,219.62,144.36,176.93,246.78,231.93,202.28,87.51,285.05,27.03, ,49.13,203.64, ,207.93,209.74,116.36,217.05,76.02,96.32,208.21,36.12,257.87,229.12,20.83,130.29,250.29, ,90.79
118.78,230.20,291.32,46.03, , ,131.79,228.56,267.56,83.41,55.42,28.29,254.25,298.79,208.50,254.58,147.32,162.69,11.57,79.28,241.54,54.94,182.49,24.96,254.64,286.52,115.62,191.26,136.97,103.02,182.48,129.78,177.39,259.04,158.69,245.26,202.73,269.53,38.13,254.06,292.12,254.88,9.89, ,284.29,113.83, ,74.47,83.29, ,239.46,7.91,271.57,150.99,209.47,15.55,191.21,244.25,58.15,145.89, ,178.21
21.21,123.28,99.15,156.80,109.35,100.70, ,231.31,168.04,70.30,133.43,115.17, ,5.78,8.85,199.22,239.98,139.27,241.11,280.86,113.64,209.68,124.66,288.70,65.46,85.21,217.59, ,169.85,78.95,218.22,158.20,263.39,283.34,149.96,101.00,95.63,276.03,169.80,88.66,194.69,283.19,282.48,23.43,54.42,96.07,37.44,73.38,207.89,58.58,116.88,25.40,195.66,18.85,208.24,177.14,55.45,118.43,208.23,295.88,288.01,32.54
166.77,118.89,251.33,50.24,42.05,100.98,43.99,203.46, ,256.31,213.10,79.69,154.66,83.56,158.75,236.25,248.47,264.68,149.49,9.79,262.34,163.32,4.61,199.12,126.84,213.97,272.83,16.70,54.33,253.94,11.02,118.47,20.87,255.56,246.69,146.82,230.48,88.28,197.36,68.60,246.84,25.30,8.57,155.39,56.54,81.51,32.75,147.05, ,102.58,145.59,77.03,55.32,164.29,258.38,245.87,188.13, ,52.33,261.43,255.27,215.02
261.46,28.50,207.05,216.69,116.16,65.58,210.88,66.59,175.19,100.51,294.86,11.52,33.58,139.09,63.13, ,14.93,72.51,77.29,127.63,221.50,189.85, ,89.49,82.32,49.38,273.82,15.53,126.17,139.43,236.31, ,233.81, ,209.58,264.71,47.63,60.57,255.21,22.50,89.62,4.49, ,214.07,267.17,277.30,62.02,227.56, ,98.90,247.68,134.35,106.47, , ,201.19,138.06,237.56,88.66,227.32,167.36,203.70
271.14, ,204.19,31.95,225.25,85.17,188.11,78.73,255.93,157.77,245.27,12.97, , ,223.17,199.15,111.52,268.46,291.16,146.32,98.80,118.32,171.21,32.06,226.73,65.47, , ,261.82,48.99, ,261.98, ,92.67,147.84,292.45,113.46,80.05,93.90,296.41,269.02,200.88,70.72,262.51,37.65,260.80,54.70,141.27,153.57,191.05,84.60,166.56,141.63,216.61,168.23,14.46,276.26,174.40,253.82,129.34,82.72,166.28
23.37,66.56,53.53,119.84,95.92, , , ,203.66, ,65.83,204.03,297.36,54.77,33.26,264.95,206.04,172.85,57.84, , ,192.99,171.60,156.83,114.67,37.94,184.60,13.63, ,230.68,41.00,14.92,257.23,205.74,46.34,139.28,244.53,117.53,146.90,85.96,129.63,5.02,85.32,224.60,123.72,16.59,175.18,276.30, ,143.19,190.89,26.18,203.49,146.21,112.90,279.97,127.33,40.97,142.49,85.02,156.65,211.45
1.56,229.17,269.29, ,168.74,116.08,261.06,170.65,34.14,215.71,258.25,2.72,158.56,103.53,3.63,141.97,88.26,136.49,49.72,242.20,65.64,193.26, ,129.93,160.36,178.98,259.59, ,1.73,271.35, ,122.88,42.69,129.61,132.22,234.57, ,294.93,32.14,182.79,280.17,225.92,46.01,298.69, ,120.97,153.11,128.21,217.09,261.59, ,223.99,79.93,260.17,262.97,131.64,39.47,284.28,74.12,204.05, ,293.84
265.78,210.07,27.66,28.46,222.69,80.89,292.44,38.27,23.40,100.46,268.05,250.17,263.29,169.73,50.48,118.28,289.89,57.24,74.95,54.04,156.99,224.09,14.95,182.80, ,88.68,74.10,197.82,190.94,239.75,260.16,244.56,79.60,183.86,202.62,62.31,112.23,97.96,43.40,259.30,22.40,94.08,269.76,50.80,94.09,290.50,216.26, ,197.64,204.70, ,135.15, ,284.00,89.49,72.85,186.18,135.57,25.51,80.55, ,291.62
138.99,227.21,241.88,299.88, ,88.67,12.48,267.49,219.73,89.66,49.97,57.92,260.74,47.10,173.85,159.47,89.98,204.18,156.76,139.17,185.37,280.91,275.59,22.40,181.17,126.31,16.09,98.51,141.42,61.33,135.53,102.69,162.72,202.31,32.75,256.48, ,30.86,299.94,232.45,299.81,3.04,101.21, ,188.28,136.28,288.67,284.33,141.69,225.35,116.73, ,71.38,84.51, ,119.52,169.89,239.82,151.64, ,265.58,272.72
196.16,282.53,59.40,238.17,231.11,209.94, ,61.51,78.58,46.66,57.21,289.85,102.78,206.75,17.35,281.76,134.94,264.64,76.40,128.00,289.83,51.47,204.06,127.47,154.10,64.67,37.14,76.75,9.72, ,61.18,136.51,153.70,10.81,75.47,203.95,267.75,28.12,136.89,212.64,110.62,118.68, ,109.17, ,1.18, , ,70.64,186.18,290.02,284.51,208.92,142.91,42.58, ,113.27,46.96,195.59,263.18,2.94,157.27
25.89,133.69,280.01,54.53,157.23,217.58,239.02,207.62,159.48,72.89,102.27,59.34,233.75,208.35, ,29.05,5.26,189.85,258.65,280.38,18.24,271.66,280.78,185.46,201.02,74.53,142.24,79.28,219.33,201.23,25.33,91.11,32.68,153.98, ,202.91, ,201.24,98.00, ,60.92,159.73,241.01,249.38,54.01,118.66, ,56.16,122.51,11.75,263.10, ,109.82,164.83,276.30,116.03,241.80,137.31,284.93,70.18,220.30,217.31
228.77,173.68,171.74,26.01,66.13,51.84,82.07,211.09,192.63,107.93,174.29,296.96,190.73,34.75,166.99,293.99,112.79,280.17,48.54,255.98,164.05,40.53,142.21,133.84,48.23,162.92,99.93,132.22,134.27,199.62,165.56, , ,74.13,48.93,295.54,241.04, ,168.39,131.97,67.34,30.14,237.82,161.81,69.29,28.58,7.56,204.14,117.80,298.09,228.93,276.79,289.01,185.75,70.41,270.86,277.25,297.97,247.17,103.00,166.23,284.73
148.01,299.14, ,111.00,222.06,101.08,289.95,19.23,35.93,269.44, ,188.42,256.91,111.67,102.11, ,183.00,146.60,10.02,1.67,162.90, ,290.75,56.55,108.70,147.07, , ,26.13,113.63,242.91,133.05, ,146.24,135.89,223.14,298.01,6.34,93.27,206.14,4.08,184.47,173.56,129.35,201.52,248.02, ,218.56,182.17,4.90,127.40, ,203.61,209.11,198.08,43.74,55.77,78.03,53.74,189.69, ,296.31
255.71,282.97,179.42, ,265.02,210.49,264.61,240.48,251.95,151.76,26.99,132.55,147.32,167.36,299.04,236.83, ,41.56,96.01,26.12,129.04,69.69,67.39,220.59,195.39,125.60,75.28,262.53, ,253.65, ,61.25, ,169.45,81.13,161.96,15.78,233.24,24.04,24.68,36.93,118.06,262.14,153.59,138.52,192.11,41.50, , , ,56.04,169.37,269.05,183.43,228.62,28.96,10.58,116.69,112.73,122.79,2.48,285.78
39.45,10.57,158.00, ,232.30,176.27,27.62,85.68, ,234.44, ,162.58,295.27,203.43,193.13,116.79,51.94,232.58,36.66,4.18, ,13.27, ,64.43,295.15,152.08,227.99,140.86,228.90,92.31,231.86,183.55,72.54,143.13,212.23,269.02,280.61,90.08, ,162.03,78.12,222.63,247.50,100.23,254.79,85.84,101.24,98.51,110.04,120.73,222.37,1.68,98.58,183.84, ,175.11,239.50, ,160.32,236.61,151.72,65.83
223.20, ,74.12,121.14,89.60,272.64,298.97,82.60,281.07,230.41,138.71,151.23, ,118.63,166.48,140.54,62.74,32.51,10.71,43.10,241.49,35.60,168.16,6.78,154.38,191.71,73.03,282.06,235.88,277.53,145.72,83.74,273.83,86.87,139.98,235.88,27.86,30.54,84.45,200.27, ,186.26,189.37,49.29, ,39.81,20.28,153.44,8.90,117.16,101.47,206.84,116.97, ,28.18,224.96,272.24, ,290.63,215.80,61.20,248.71
290.89,252.43,294.55,55.88,166.84,253.27,117.83, ,257.80,111.98,19.93,209.37,159.80,35.37,207.59,122.37,74.05,86.85,260.08,14.90,15.51,111.13,232.17,161.73,240.52,157.50, ,144.53,4.49,241.01,12.21,1.51,129.74,39.78,111.57,171.32,88.49,100.67,171.51,88.58,145.31,196.09,4.03,294.95, ,117.16,94.15,157.01,134.16,44.09,21.08,26.85,229.51,239.55,184.80,169.34,223.93,175.71,50.02,176.29,189.31,205.44
241.11,177.52,163.43, ,175.58,293.23,254.41,64.51,78.22,264.12,155.32,120.85,116.84,171.60,107.25, ,20.34, ,20.59, ,99.79,18.10,291.89,132.64,216.98,207.56,279.86,74.65,110.78,73.38,132.76,54.24,93.93,285.62,241.00,181.29,202.78,207.40,261.38,224.43, ,289.16,207.38,7.84,239.59, ,213.18,46.56, , ,74.05,210.79,223.86,66.28,203.19,137.78,138.68,1.50,109.86,166.43,87.27,153.55
176.97,45.16,204.02, ,29.51,279.55,27.36,215.05,145.22,52.80,233.66,52.97,3.48,285.07,223.17,112.67,203.25,181.07,61.13,220.78,99.33,174.82,275.89,180.26, ,219.84,168.45,7.24,40.69,32.90,60.12,243.17, ,145.59, , ,51.94,48.01,77.80,14.84,161.77,15.68,179.60,243.27,149.17,131.18, ,61.03,141.67,24.05,188.94,190.97,247.12,260.81,133.79,105.80,70.40,185.05,236.41,145.68,226.12,61.77
 ,298.53,207.27, ,60.25,9.44,165.88,296.29,278.90, ,1.45,26.62,161.19,219.73,49.59, ,179.03,190.65,298.56,69.61,128.04,47.62,261.22,149.87, ,163.00,183.95,296.85,226.63,14.57,285.16,41.26,34.51,16.44,37.44,58.58,231.10,256.96,264.14,75.43,171.92,50.18,273.79,19.10,54.79,240.74,69.10,50.87,249.21, ,24.65,26.38,98.90,268.49,203.11,240.81,283.07,12.84,174.96,139.96,170.53,112.41
3.97,129.93,29.74,167.07,260.78,71.02,27.71,203.13,189.04,104.46,235.66,92.35,2.97,153.87,15.54,281.26,92.79,97.10,140.59,248.84,248.85,265.60,134.49,224.91,255.04,127.88,233.20,201.08,149.69,172.18,120.36,249.96,248.76,159.54,101.50,9.49,181.68,188.91,145.41,65.16,113.75,278.89,107.37,6.91,214.29,206.67,114.17, ,216.74, ,20.50,117.31,209.75,295.02,54.49,181.57,271.55,52.51,276.82,113.93,187.76,60.38
25.40,33.10,11.66,66.14,169.93,206.10,148.37,33.24,241.41,5.24,231.95,230.46,261.72,163.89,279.30,32.48,37.63,240.45,214.16,200.16, ,288.36,100.47,156.95,211.46,206.11, ,44.46,14.72,262.48,94.84,39.03,68.94,172.51,132.67,262.62,175.57, ,231.23,142.66,71.20,57.19,84.35,82.40,117.71,226.93,45.60,44.87,68.99,43.72,194.19,39.51,115.20,291.59,272.65,212.44,48.15,154.40,98.08,294.91,102.16,285.37
30.38,274.45, ,110.95,161.05,231.21, ,189.54,50.19,273.24,297.38,215.91,0.05,274.57,195.51,184.96,108.92,217.16,95.46,80.35,77.34,6.59,8.87,11.68,283.86, ,188.45,159.70,275.17,297.43,171.98,132.06,64.26,147.39,121.12,93.74,196.47,121.69, ,119.12,255.54,205.52,265.88,210.80,214.61,160.03,208.66,19.20,291.51, ,190.43,67.46,53.09,79.40,71.16,129.49,3.09,255.95, ,237.91,211.63,171.63
32.72,83.80,94.99,282.14,272.43,267.54,237.33,267.33,23.89,173.26, ,22.50, , ,88.74,1.18,238.51,80.57, ,46.57,171.13,299.19,65.11,234.35,237.19,147.28,67.01, ,149.96,134.28,121.91,147.04,25.22,40.20,292.23,50.34,138.32,285.90,227.20, ,194.95,140.74,95.34,259.00,138.28,130.11,222.98,256.05,10.95,222.08,133.71,148.54,282.76, ,60.78,198.74,186.69,298.93,198.60,280.97,237.10,39.11
297.52,182.93,86.87,124.63,276.22,257.88,159.62,38.38,272.07,28.13, ,154.76,235.74,275.53,89.61,15.23, ,285.50,59.08,123.92, ,295.19,68.36, , ,49.12,274.46,150.48,259.92,109.73, ,181.68,209.05,156.06,212.59,51.50,54.48,184.22,154.27,94.73,33.76,278.15, ,139.43,211.11,191.58,237.53,20.11,256.37,242.68,283.81,286.47,117.33,147.83,137.68,235.45,5.53,104.83,88.26,262.50,49.45,78.68
256.69,193.02,199.29,62.75,71.59,276.01,179.96,273.20,209.39,277.00,98.55,25.57,260.61,92.62,240.48,1.01, , ,151.18,11.63,9.44,177.47,94.02,113.65,46.54,267.13,8.51, ,38.89,265.98,296.42,164.31,74.13,64.41,62.22,64.14,232.91,54.45,139.77,265.79,154.36,144.80,57.32,74.73,169.19,165.43, ,279.70, ,129.73,249.51,125.10,37.71, ,197.27,105.15,170.38,149.26,42.90,194.37,281.68,217.00
 ,210.09,230.82,65.54,119.89,143.00,17.05,218.84,45.93,135.24,231.96,11.54,71.92,49.71,144.31,105.45,273.43,164.14,292.89,241.94,63.16,129.10,292.06,128.92, ,56.27,85.74,268.40,247.81,88.95,78.47,73.51,255.00,151.02,45.31,298.84, ,291.08,61.79,208.53,189.20,4.98,192.05, ,60.04,223.14, ,30.29, ,263.05,88.57,144.11,25.59, ,236.90,234.65,180.35,13.41,240.10, ,215.44,184.19
213.80,191.03,206.22,214.23,215.61,137.43,127.10,148.78,157.47, ,147.87,119.79,125.36, ,18.88, ,274.73,265.97,292.17, ,164.34,4.45,125.60,28.82,150.26,151.56,57.54,278.43,54.81,208.24,37.72,191.61,225.07,29.55,183.13,68.34,195.24,253.85,271.42,199.17,139.36,77.37,158.83,230.25,143.70,248.18,116.09,14.53,210.38,40.46,3.62,117.09,137.03, ,69.47,158.62,35.37,60.23,163.59,238.07,188.58,101.68
99.49,11.33,209.09,261.42,191.17,61.03, ,105.09,10.25,174.08,259.49,38.94,224.52, ,285.03,189.69,152.18,141.21,154.44,21.71,259.01,159.66,293.98,46.92,256.92,18.21,102.14, ,117.42,146.31,126.65,109.11,187.71,91.92,222.82,86.02,175.72,184.76,234.08,255.42, ,93.83,35.42,252.35,49.48,69.82, ,52.80,50.51,67.70,103.20,276.09,204.85,260.61,142.46,167.23,66.87,13.57,128.42,52.32,289.96,201.64
 ,249.31,11.71,175.20,189.55,194.00,116.15,286.12,26.67,64.29,15.30,252.06,185.20,186.61,36.64,32.56,190.09, ,26.69, , ,246.85,123.80,26.60,100.30,124.51,82.54,268.30, ,17.42,97.20,105.30,127.80, ,266.03,253.91,193.59, ,226.13,215.15,138.55, ,62.18,270.61,125.46,102.64,104.76,179.21,10.14,62.13,227.01,220.98,94.79, ,250.97,11.56,214.42,73.48,179.03,48.48,167.99,287.30
79.99,0.15,292.89,82.23,23.06, ,77.77,288.18,109.32,134.78,129.31,211.20,64.55,46.60,202.73,75.53, ,97.21,298.03,62.58, ,105.12,135.27,277.91,297.78,217.00,233.78, ,230.13,187.48,167.07,258.12,17.89,75.90,282.77,123.24,271.30,261.46,180.00,101.23,284.35,62.02,98.77,96.20,48.50,13.47,114.53,85.97,99.00,192.88,241.16,5.55,167.36,275.43,220.91,282.01,98.87,42.14, , , ,296.80
