Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115,Col116,Col117,Col118,Col119,Col120,Col121,Col122,Col123,Col124,Col125,Col126,Col127,Col128,Col129,Col130,Col131,Col132,Col133,Col134,Col135,Col136,Col137,Col138,Col139,Col140,Col141,Col142,Col143,Col144,Col145,Col146,Col147,Col148,Col149,Col150
177.35,192.82,272.76,74.79,197.94,262.44,194.38,181.45,145.97,58.14,1.32,189.30, ,279.60,1.21,56.89,46.57,168.92,162.91, ,14.09,168.07,122.93,269.56, ,115.53,154.77,204.71,287.03,231.20,181.24,135.85, , ,128.28,60.69,187.49,5.29,181.81,18.44,251.38,40.87,226.21,164.65,110.70,257.71,118.32,274.30,77.08,136.60,260.21, ,147.70,201.84,92.84,61.66,135.04,77.96,10.70,66.61,84.31,99.33,36.61,100.51,15.36,127.38,243.52,117.28,235.70, ,28.54, , ,37.81,143.60,291.30,6.38,201.51,232.25,261.28,128.23,185.89,79.45,55.07,223.90,39.82,280.75,145.79,134.00,157.46,123.37,94.80,281.68,54.43,24.03,84.45,267.78,263.81,76.96,151.34,165.19,243.87,259.52,22.80,273.25,71.12,29.02,226.38,162.22,224.62,296.52,38.52,279.41,11.51,21.23,57.23,54.01,32.35,90.74,107.06,235.41,160.62,44.09,275.13,67.81,92.57,208.82, ,188.23,40.13,154.65,1.83,256.99,73.42,93.66,77.59,63.98,18.28,299.85,3.55,173.09,298.72,112.12,266.02,263.24,244.96,209.13,158.96,249.70,136.66
60.95,201.03, ,219.31,169.85, ,76.01,60.21,135.10,204.55,172.69, ,117.65,16.41,144.65, ,77.03,57.50,233.43,262.91,177.84,273.29,273.16,100.12,124.04,205.70,36.35,196.38,196.03,160.03,26.71,274.60,61.75,241.71, ,204.62,168.47,71.91,294.04,171.03,245.25,233.11,142.60,170.22,207.54,146.25,79.00,142.60,250.55,124.44,165.33,44.35,49.94,104.72,237.48,71.40,82.01,156.57,16.01,210.83,79.08,91.55,245.89,40.81,108.85,142.18,194.32,7.99,2.80,288.24,88.45,123.01,64.15,95.07,6.38,3.71,62.98,243.54,29.40,205.31, ,47.49,43.93,120.42,236.82,276.43,21.57,0.10,100.22,287.10,286.06,184.08,55.97,15.06,8.74,270.15,149.02,259.42, , ,181.14,12.95,65.56,193.63,226.56,45.34,174.23,206.65,102.91,37.65,27.46,117.38,193.38,15.24,159.35,232.63, ,245.59,220.93,91.69,206.67,31.92,259.77,26.97,166.23,55.74, ,102.13, ,295.51,29.89,227.34, , ,152.16,165.88,6.64,59.68, , ,33.63,154.92,20.96, , ,5.36,178.83,81.88,174.93,22.65
108.57,70.09,130.12,33.83,193.53,50.07,185.11,239.51,144.30,61.19,37.17,261.72,173.48,90.34,155.38,150.68, ,220.78,46.69,258.52, ,52.02,286.92,17.22,277.16,186.91,56.01,104.89,140.08, ,230.41,216.72, , ,259.97,105.37,255.00,190.10,115.91,292.20,140.83,30.20,105.54,58.36,173.44,169.69,137.43,178.61,143.50, ,103.47,40.19,109.33,0.23,219.97,106.81,264.68,3.21,130.97,25.40,245.21,30.28, ,130.38,293.06,31.72,77.35,268.06,295.38, ,109.99,11.55,265.11,242.23,243.27, ,268.66,285.29,264.07,9.06,57.96,68.33,229.99,275.73,33.15,270.18,81.11,232.41,227.39,240.14,151.91,235.80,247.14,190.72,3.41,5.66,201.89,151.05,219.66,29.92,97.90,173.67, ,106.08,189.77, ,85.49,130.41,287.20,242.39,288.75,77.69,7.17, ,158.22,288.06,141.38,82.90,114.54,103.86,138.83,235.34, ,101.96,100.42,163.85,267.07,288.61, ,295.78,215.41,135.80,139.00,144.33,118.66, ,222.52,22.65,114.83,295.28,64.85,5.95,138.51,81.29,17.79,122.90,143.72, ,47.18,155.10
37.81,150.39,196.28,244.28,144.71,107.72, ,203.42,216.37,40.48,169.06,225.98,100.40,268.86,116.87,133.44,122.57, ,44.20, ,288.48, ,211.31,94.87,127.05,115.37,202.80,38.05,39.02,61.47,298.87,225.58,173.24,206.21,92.75,283.91,238.89,14.77, ,109.63,150.50,164.57,174.75,57.53,16.63,197.29,86.41,50.91,110.33,76.26,77.63,74.67,265.56,73.80, ,183.43,48.44,29.55,30.14,125.46,23.79,63.25,299.41,200.03,110.67,245.71,262.54,276.11,237.95,95.37,48.54,218.70,134.18, ,164.32,290.36,279.20,93.52,202.77,28.35,204.53,17.94,175.81,82.07,228.27,292.75,281.21,200.70,105.73,243.09,104.36,0.32,136.82,211.88,187.70,111.81,153.50,198.19,120.08,226.69,212.93,30.35,190.99,272.33,79.99,266.77,148.88, ,285.70,179.79,248.64,137.11,273.52,239.06,86.94, ,135.29,148.96,26.39,96.67,36.67,214.15,61.01,270.53,48.74,208.71,280.11,211.14,2.25,260.03,264.93,234.60,11.60,265.85,123.52, ,160.19,250.88,0.20,134.16,62.66, ,136.69, ,47.83,268.80,126.75,190.75,208.48,17.71
256.82,115.57,92.43,258.53, ,258.73,273.56,119.88,225.68,284.94,4.40,161.03,278.40,120.98,43.39, ,35.45,57.92,88.12,126.79,193.66,5.38, , ,70.77,218.91, ,111.14,215.52,261.97,107.08,178.44,194.91, ,263.68,36.94,88.92,98.45,129.92,233.47, ,4.24,15.98,212.46, ,127.99,25.31, ,108.27,56.84,81.01,266.85,279.70,108.50,117.11,273.35,24.55, ,28.79,33.98,104.07,123.72,260.38,253.97, ,154.33,260.48,166.35,254.91,245.99,289.49,154.49,284.03,5.85,207.84,36.02,1.52,91.94,157.50,187.55,198.28,247.83,277.22,86.09,260.24,295.54,95.16,212.57,29.08,81.23,115.88, , ,14.36,50.98,238.04,196.11,280.42,295.08,258.12,189.77,113.23,168.09,35.35,287.59,299.07, ,114.95, ,232.35, , , , ,221.86,277.90,112.33,159.91,54.14,288.81,234.99,75.77,237.55, ,236.62, ,51.57,242.56,218.65,267.24,287.68,259.31,91.38, ,251.29,292.70,130.89,235.96,235.84,225.34, ,161.96,277.16, ,219.72,68.24,164.68,53.50,18.47,145.16
257.65, ,250.35,63.09,33.37,46.28,276.21,180.72,176.84,51.69,77.60,94.67,113.82, ,167.60,216.01,262.41,109.21,124.01,257.70,239.99,280.72, ,26.19,122.95,218.26,229.46,123.77,139.28,177.96,105.20,252.21,12.68,227.17,249.88, , ,73.78,165.05,158.34,13.81,94.27,155.93,227.93,47.86,217.29,103.42,276.09,140.45,181.50,196.06,201.40,15.72,234.60,228.62,72.00,74.22,174.50,189.99,209.85,169.64,163.67, , ,28.69,128.52,57.70,41.58,85.62,234.28,238.06,113.15,105.33,176.32, ,66.31,27.37,251.91,167.83,4.14,253.66,136.10,51.91,205.43,246.30,245.30,200.78,79.66,213.53,87.16,84.55,275.63,157.63,266.43,152.50,33.04,264.78,270.01, ,175.44,276.12, ,242.63,81.20,249.79,289.33,188.09,190.41,185.81,91.25,73.49,122.80,49.91,275.67,104.28,195.35, ,33.52,224.23,186.19,22.25,235.85,69.00,249.60,195.54,23.96,71.13,170.58,17.62,153.33,62.44,232.89, ,266.41,64.64,185.61,61.12, ,120.31,256.74,68.25,67.56,200.06,59.93,16.35,28.80,115.09,28.49, ,168.90
285.09,53.25,244.70, ,191.72,72.76,4.60,0.74,233.22,210.84,271.44,70.69,96.88,91.48,233.75,294.28,62.24,1.38,172.53,170.17,50.44,212.70, ,213.45,17.15,38.03,85.69,80.98,62.11,177.40,200.50,181.76,16.79,150.02,282.11,119.91,16.21,259.05,146.78,198.43,286.75,174.22,201.69, ,263.80,35.76,122.46,33.04,7.10,121.11,124.73,76.75,103.09,130.12,286.36,72.76,289.37,24.51,210.92,220.17, ,255.93,24.12,59.05,253.35,116.33,26.40,286.93,6.30,27.60,112.88,253.40,19.59,287.68,173.54,1.56,169.06,74.28,203.74,188.40, ,4.73,61.40,54.20,214.25,286.49,293.60,48.29,36.30,244.46,184.46, ,232.72,76.76,274.10,140.33,137.58,167.24,236.73,259.05,289.44,182.10,133.37, ,90.15,143.53,52.82,246.46,260.71,248.84,1.48,108.04,66.92,31.22,220.10,230.81,95.84, , , ,196.63,294.09,156.30,184.57,275.16,144.99,5.50,4.02,220.74,1.76,199.22,124.20,204.32,101.45,237.73,178.84,294.39,266.11,201.63,34.98,207.33, ,212.83,183.35,213.41,149.42,250.56,241.71,27.27, 
2.16,39.25,253.71,53.94,184.33,70.49, ,277.82,11.68,91.95,38.32,246.37,122.87,10.69,153.11,246.20,40.12,249.99,19.26, ,239.07, , ,87.27, , ,74.66,278.51,216.36,216.06,106.75,114.79,266.10,117.53, ,183.08,113.99,110.46,141.41,19.67,65.69,138.35,157.31,230.75,232.74,43.07,21.37,151.64,122.17,10.23,197.24,125.84,95.65,100.27,214.72,88.02,202.59,232.65,242.76,186.90,78.04,212.34,86.03,292.11,68.36,207.21,195.66,276.83,269.35,228.36,197.05, , ,242.75,159.54,260.54, ,38.57,273.35,62.46,130.10,105.69, ,71.30, ,48.13,180.27,247.76,22.29,228.82,206.90,281.47, ,27.92,25.06,126.78, ,164.11,37.46,125.58,41.09, ,89.22,6.52,120.85,236.75,299.68,291.90,40.15,12.11,237.73,72.42,200.21, ,193.34,198.41,92.01,172.60,28.73,224.79,166.53,179.94,295.33,243.42,278.77,33.07,265.46,119.26,270.45,258.57,135.17,182.71,96.49,145.45,101.00,68.42,65.89,219.05,186.97,82.19,190.20,212.58,185.50,185.62,290.33,19.74,1.18,52.69, ,198.14
58.76,291.32,34.27,245.34,126.64,177.69,298.01,204.95,178.45, ,34.40,183.49,52.62,256.59,282.34,3.44,273.12,196.56,6.09,244.74,262.87,279.28,50.57,160.19, ,96.98, ,24.10,239.22,11.69,182.02,110.17,199.28,157.28,82.69,232.07,264.95,79.98,150.18,216.46,34.79,107.35,252.22,105.35,208.17,87.26,111.08,275.65, ,132.93,63.40,38.28, ,233.22, ,83.41, ,93.78,189.08, ,141.30,119.83,240.76,120.00,47.95,6.60,298.14,164.52,135.84,152.37,136.02,2.58,24.55,13.21,13.61,75.18,246.93,187.66,131.89,218.64,25.09,238.15, ,102.67,200.62,237.15,141.49,0.30,284.89,74.13,138.45,120.77, , ,181.03,147.67,41.75,213.79,265.66,31.78,21.80,73.80,230.12,219.30,276.21,55.26,249.77,38.82,187.07,86.32,97.34,256.79,261.49,106.08,107.59,295.48,70.26,88.36,284.56,230.80,211.84,11.12,179.76,232.14,24.18,134.93,252.45,260.61,262.28,141.10, ,136.58,274.80,287.63,190.41,205.98,207.12,162.31,71.80,0.87,236.44,273.56,271.79,18.58,27.55,26.84, ,163.41,264.61,284.33
259.68,145.76,186.74, ,255.46,185.44,248.23, , ,179.84,287.05,133.21,283.68,112.03,23.46,238.10,93.06,52.40,23.65,259.42,136.44,171.05,171.22,143.76,41.06,94.36,222.02,42.72,87.61,179.19,263.48,203.79,295.18,129.22,119.45,80.28,3.52,277.77,70.60,21.63,145.12,139.78,43.55, ,131.16,152.02,0.73,146.01,264.49,186.49,221.64,63.59,278.64, ,153.38,276.82,197.18,290.99,189.08,219.46, ,256.71,107.91,283.25,14.71,56.11,231.06,176.32,155.27, ,10.57,95.09,183.35,109.32,29.23,208.87,160.32,205.40,182.48,157.51, ,105.25,78.73,170.25,30.96,110.03,36.09,135.63,1.72,132.80, ,131.20,105.82, , ,165.77,174.05,178.37,128.52,130.32,241.12,195.80,195.40,2.72,71.96,15.50,158.99,57.00,276.49,281.70,174.04,177.96,170.74,99.68,127.20,164.10,15.37,34.95,296.23,224.55,63.87,268.06,131.60,213.05, ,194.76,61.92,122.04,212.97,209.68,5.56,76.33,155.05,108.83,132.45,290.37,210.38, ,133.25,193.76, ,81.63,114.20,283.28, ,196.25,163.24,120.17, ,194.05
21.05,223.79, ,214.16,59.78,222.84, ,116.60, ,198.23,190.92,163.67,295.34,241.77,168.41,161.50,255.99,74.27,243.26,108.26,281.92,2.01,61.07,21.36,285.34,180.78,261.38,3.42,104.36,115.30,7.13,25.99,296.28,221.98,28.04,96.97,198.28,214.72,7.60,259.74,155.68,169.20,184.96,73.78,117.82,262.09,165.89,88.06,88.35,101.70, ,198.67,238.57,41.07,5.25,157.65,132.84,167.39,183.13, ,172.45,212.75,282.77,122.62,240.80,80.87,27.35,241.18,59.72,194.77,244.07,115.29,4.77,109.65,296.59,278.33,7.49,3.58,269.72,61.10,37.17,253.03, ,194.21,22.85,113.00,77.11,95.77,289.69,129.01,205.82,222.68,286.17,78.45,83.49,37.54,241.82,247.04,142.63,224.58,274.28, ,51.39,241.73,12.20,199.77,56.78,179.23,164.61,210.09,76.49, ,70.50,58.09,62.92,158.79,66.20,25.07,184.46,153.89,59.77,154.98,61.62,195.55,198.04,103.35,265.04,217.67,274.66, ,37.58,211.87,242.68,50.14,229.41,8.73,157.48,39.60,75.19,69.35,271.07,71.80,222.94,227.81,264.56,11.57,80.05,27.22,268.39,177.57
175.08, ,32.56,122.02,275.07,275.72,166.11,15.32,156.56,104.08,269.78,126.61,87.70, ,110.43,76.51,216.22,174.31,284.15,120.66,49.25,166.23,181.82,8.09,256.41,162.16, ,169.81,255.01,248.11, ,266.54, ,182.76,230.25,266.40,2.06,53.69,23.15,199.58,54.55,79.42,119.82,50.94,48.93,247.13, ,15.06,290.76, ,273.01,27.74,5.67, ,59.36,119.48,247.14,160.37,21.91, ,172.78,14.23,285.12,218.74,276.42,235.98,28.66,48.65,148.39,86.20,113.69,64.20,80.89,79.87,28.60,10.30,287.27,123.08,285.89,217.61,224.15,9.72,62.57,9.21, , ,155.67,229.16,145.89,226.57,295.74,233.86, ,221.13,279.63, , ,111.13,245.61,288.48, ,46.85,238.23,3.03,85.92,13.79,242.25,157.57,195.53, ,52.08,274.58,206.09,53.17,269.80,281.93,197.20,5.12,247.45,107.86,250.58,55.14,282.30, ,220.29,131.39,243.10,138.89,50.04,27.98,99.72,49.18,223.97,63.11,5.84, ,47.19,176.71,60.74,97.83,79.30,232.09,231.95,82.50,126.07,234.74,12.14,242.51,185.47,133.23
