Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64
 ,39,91,47,2,40,50,66,64,88,51,50,59,65,43,28, ,41,71,79,5, , ,70,98,6,1,94,95,82,22,30,31,30,84,51,44,83, ,52,79,28,81,44,91,42,78,19,98, ,61,91,86,56,85,2,55,36,83,46,41,32,16,18
 ,30,92,16, ,3,20,29,20,78,55, ,98,59,63,84,19,1,90,88,92,85,38,75,49,48,30,26,53,38,86,99,84,49,91,8,99,57,14, ,0,99,83,46,60, ,40,7,88,74,17,80,30,66,64,31,51,88,93,17,59,16,64,10
88,14,65,60,90, ,92,63,44,38,3,22,93,43,25,60,20,58,76,54,37,79,92,2,31,27, ,75,60,70,7,20,1,40,45,37,77,23, ,6,8,95,47,60,20,37,34,47,85,88,3,73,66,6,96,42,85,36,86,63,28,85,76,59
54,89, ,74,80,59,91,16,97,24,50,39,60, ,44, ,60,19,68,2,64,83,43,63,7,3,50,8,39,85,53,76,47, ,51,79, ,14,42,73,84,36,70,35,0,29,18,60,28,31, ,53,91,20,45,70,91,73,36,25,4,3,99,28
3,27,19,73,55,68,57,27,61,97,33,97,86,44,29,72,81,91,14,10,37,12,79,1,73, ,29, ,93,75,69,21,6,36,17,72, ,96,82,82,30,0,52, ,47,18,52,41,64,12,93,79,11, ,52,16, ,56,15,43,6,38,50,37
41,45,9,30, ,60,39, ,15,22,6,8,64,82,0,16,9,56, ,70,91,31, ,33, ,86,98,76,83, ,80,38,50,19,86,16,86, ,80,62,41,8,81,92,8,77,82, ,35,57,8,31,86, ,78,6,14,73,47,86,17,30,31,9
46,53,67,40,82, ,34,98,47,60,96,39,95,62, ,83, ,18,26,75,23,83, ,20,55,98,65,83,9,77,0,84, ,5,19,96,76,49,37,14,15,10,97,2,22, ,5,25,60,97,11, ,54,52,54,77,95, , ,1,61,59,71,98
26,21,76,53, , , , ,65,53, ,53,52,79,99,64,67,13,85,13,69,6,14,54,23,39,77,64,78,64,77,45,39,7,62,86,26,55,19,98,62,40,85,24,97,12,1,71,53,56,38,1,57,20,74, ,35,6,91,6,11,44,1,16
37,70,3, ,24,23,4, ,44,99, ,11,99,93,57, ,79,45,81,25,22,9,88,39, ,84,37,39,47,4,29,5,40, ,16,0,20, ,29,95,98,76,37,68,63,14,56,29,82,16,87,67,73,35,49,41, ,18,72,98,96,63,71,94
90,50,52,25,75,16,64,20,82,41,71,3,54, , ,74, ,65,9,44,47,88, , ,28,87,73,81,97,32,76,97,73,60,16, ,60,10,70,28,1, ,42,52,20, ,52,22,13,25,84,54, , ,37,1,10,46,49,54,25,62,24,91
67,70,43,58,10,12,22,56,43,45,76,33,78,77,11,50, ,20,18,30, ,15,35,41,69,95,76,14,74,6,96, ,46,97,69,43,31,14,66,0,21,54,61,50,1,78,39,75,93,52,88,62,26,78,28,51, , ,85,33,97,78,87,73
3,35, , ,51,42,69, , ,1,46,30,91,66,97,65,63,48,5,23,6,28,53,70,94,49,37,72,43,17,85,26,21,16,57,62,15,12,89,95,55,25, ,98,67,38,23,34,43,89,66,32,45, ,14,26,97, , ,73,21,45,33,82
88,97,44,64,1,19,37,39,43, ,97, ,75, ,20,47,22,63,0,22,26,69,17,59,33,94, , ,30,66, ,87,49, ,51,51,87,20,72,36,84,40,19,88,26,76,29, ,80, ,54,68,31,81, ,53,7,25,82,22,31, ,50,36
65,60,59,73,21,85,56,56,64,22,81,89,96,42,87,26,96,47, ,20, , ,69,81,82,90, ,57,65,61,47,9,35,79,36,25,20,82,76,15,42,40,63,8,65,58,80,53,83,38,68,77,13,78,23, ,66, , , ,92,75,89,27
28,86,13,31,89,71,67,92,44,58,30,9, ,84,76,7,46,32,1,88,46,55,65,41,49,15,14,4,69,18,7,92,14,11,81, ,27,55,62,18,11,35,16,10,88,72,5,26,13,71,31,30,69,35,47,51,55,64,5,26,72,27,98,38
4,41,81,95,58,82,85,63,20,13, ,39,74,47,36,92,6,90,83,38,20,16, ,50,96,17,97,49,93,64,24,40,73, , ,25,55,45,74,81,61,96,87,97,11,24,39,42,21,21,33,9,5,15,26,5,73,66,95,97,54,82,70,73
42,76,40,65, ,80, ,77,56,32,12,85,34,31, , ,42, ,84,69,43,26, ,6, ,83,20,77,47,28,39,87,4,98,83,14,44,8, ,5,60,61,90,83,42,61,28,87,35,83,60,61,11,21,65,58,96, ,86,16, ,5,58,12
19,22,95, ,57,81,17,41,21,41,1,57,47,23,73,41,77,42,84,49,21,18,93,84, ,25,29,13,1,71,3,72,6,64,47, ,89, , ,50,67,74,59,25,44,15,44,77,19,79,64,29,1,65,26,27,50,90,33,23,90,52,85,8
29,86,53,49,34, , ,31,56,51,91,63,63,53,88,46,43,83,70,45,92, ,14,67,97, ,44,99,56,61,79,48,45,1,21,66, , , , ,72,96,86,50,87,38,13,53,49,18,94, ,16,91,84,31,23,10,7,10,44,76,74,41
26,85,38,46,97,39,88,96,91,71,64,36, ,13,15,37,17,68,20,86,72,15,13,52,78, ,77,78,32, , ,35, ,18,48,76,62,44,87,89,47,26,1,4,1,58,46, ,65,76,3,78,25,17,29,49,25,57,93,56,83,77,22,62
20,90,2,96,11,87,91,71,29,70,11, ,94,20,25,62,7,4,2,27,85,18,33,97,85,21,38,51,51,32,59,90,95,97,68,28,65,79, ,76,88,71,42,49,70,7,80,37,98,44,0,23, ,70,33,10,60,55,56,7,45,39,10,30
40, ,36,70, ,4,51,3, ,63,77,32,28,98,4,67,22,87,26,49,84,1,18,18,62, ,40,89,32, ,90, ,58,4,93,10,39,3,8,25,37,11,62,23,44, ,35,65, ,71,90,12,83,7,59,5,63,91,62,26, ,70, ,5
78,97,45,14,87,10,83,10,54,31,49,0,80,46,20,14,74, ,20,62,86,89,43,92,13,64,15,60,38,37,88,75,63,36,85,62, ,51,3,46,24,99,28,45,95,57,2,32,9,26,5,56,84,32,18,22,92, ,21, ,41,87,32, 
65,53,5,90,3,14,0,30, ,74,47,93,76,3,32, ,76,33,87,77,69,46,92,86, ,11,98,0,87,25,41,27,34,28,17,41,36,41,14,8,14, ,12,36,67,28,54,85,20,77,32,26,81,69,63,11,71,37,12,87,87,38,3,92
39,8,15,0,83,0, ,12,98,85,57,70,48,76,90, ,14,54,13,58, ,42,67,10,37,25,92,83,21,50,22,98,55,60,53,37,97,50,69,45,69,30,54,24, ,75,67,73,72,34,65,90,62,83,39,73,14,75,0,1,34,50,93,77
36,18,77,35,78,67,63,64,86,53, , ,62,31,66,37,91,56, ,33,11,97,40,93,79,68,24,48,17,10,79,68,26,79,17,54,86,59,67,9,23,66,32,26,27,81,72,31,90,36,23,37,43,37,49,57,24,20,39,7,84, , ,37
57,16,37,84,50,71,37,34,92,19, ,58, ,25,11,2,6,77,53,63, ,14,60, ,80,98,96,86,77,36,92,3,98,54,31,90, ,80, ,40, ,21,11,45,82,6,95,21,12,41,71,53,8,25,57,30,48,17,47,88,21,59,4,60
97,38,20,48,40,18,9,67,0,16,48, ,69,37,4,46,16,59,69,34,90,16, ,64,75,40,13,97,59,29,2,92,65,82,10,86,23,25, ,90,89,9,69,79,57,90,79,96,3,85,48,40,42,83,49,22,30,19,30,60,76,91,89,59
25,47, ,88,5,15,73, ,11,14,19,30,32, ,23,20,23,35,61,31,40,75,96,45,60,92,84, ,64,30,92,17,17,38,93,16,89,18,49, ,28, ,21,39,43,27,0,68,23,49,70, ,87,99,4,90,34,0,40,30,64, ,38,47
53,92,33,44, , ,42,34,82,22,6,42,42,91,68,12,37,87,68,93,63,42,36,94,84,20,28,18,3,48,40,89,26,7,97, ,60,50,82,61, ,77,4,83,77,33,60,85,52,26,6,62,84,64,91,13,5,14,97,33,86,99,41,96
98,54,46, ,30,83,16,95,81, ,90,23,58,90,55,44,26,74,47,97,51, ,33,26, , ,15,98,97,58,13,62,61,72,88,52,50, ,72,93,96,61,38,3,32,96,39, ,85,14,80, ,32,61,74,22,46,90,23,43,66, ,63,93
14,52,37,33,66,9,21,40,90,79,84,41, ,16,38,59,45,68, ,2,24,55,86, ,27,69,45,72,8,30,49,55,85,47,74, ,83,24,83,15,39,31,27,0,6,12,33,85, ,86,20,13,44, ,83,13,7, ,38,8,81,43,3,99
60,51,31, ,45,51,52,53,34,19, ,0, ,82,80,17,47,15,54, ,27,66, ,74,55,95,90,4,15,28,41,45,64,61, ,15,3,9,20,45,85,45,64,78,76, ,74,93,6,13,37,82,98,88,45,14,3,41,52,56,78,92,10,72
44,83,81,60,92,49,67,33,51,49,76,12,69,6, ,79,36,80,46,79,39,75,96,10,90,16,61,7,92,21,5,69,65,60,96, ,36,13,65,23,42,50,69,45,66,6,64,8,73,67,55,22,77,4,87,76,37,67,0,92,71,6,6,43
73,64, ,86,97, ,40,51,39,44,96,19,12, ,19,93,70,7,37,1,54,46,39,30,95,1,15,22,59,90,40,12,57,93,54,17,93,87,19,89,36,17,37,55,53,75,29,5, ,99,62,98,87,58,82,8,12,15,36,19,8,8,94,8
3,62,2,37,23,9,72,3, ,19,54,68,83, ,86,93,8, ,70,6,1,54,6, ,25,55,84, , ,72,43,83,32,24, ,28,38,41,30,37,57, ,23,5,67,67,90,44,39,51,17, ,28,26,5,66,93,51,47,60,82,22,54,67
72,80,61,29,72,59,13, , ,51,63,87,55,88,92,10,72,4,20,60,55,7,11,41,29,5,92,16,64,25,48,17,20,74,87,91, ,98, , ,99,48,18, ,11,32,63,33,94,33,71,55,42,1,45,90,58,13,21,35,12,9,27,87
92, ,64,92,71, ,82,82,49,76,91,17, ,30,39,23,94,74,82,44,62,13,99,69,46,48, ,46,30,58,15,50,59,72,78,19,74,66,35,30,10,57,43,48,80,0,71,93, ,66,26,25, , ,46,97,42,20,63,26,89,47,0,67
37,0,3,81,7,90,46,62,94,72, ,98,13,73, ,17,51,75,58,78,8,73,39,87,8, ,80, ,79,23,40,77,11,13,80, ,59,75,85,84,62,13,72,84,74, ,52,40,49,57,39,33,97,82,31,26,19,50,85,47,19,73,89,1
65,1,97,11,81,37,50,49,77, ,62,80,65,4,68,38,83,9,95,99,25,27,42,87,68,44,32,61,3,34,83,80, ,90,66,54,60,84,89,86,43, ,75,71,4,2,48, ,29, ,19,50,62,15,91,99,2, ,76, ,83,21,95,26
11,73,21,72,47,78, ,69,43,80,45,92,40,52,6,53,88,23,13,26,64,64,5, ,48,87,15,84,85, ,13, ,67,64,77,73,44,59,22,10,94,25,51,27, ,12, ,25, ,92,25,66,25, , ,19,5,4,1,87,14,11,14,81
49,60,5,94,29,31,3,10,58,71,78,44,87,43,79,1,41,71,46,18,85,93,1,97,19,21,26,91,21,15,59,29, ,1,25,66,51,95,17,36,19,99,32,9,86,61,3,17,57,53,85,84,36,76,79,32,18,16,96,97, ,59,72,87
95,29,91,62,85,5,20,71,37,35,99, ,82,45,1,39,78,8,37,18,43,71,80,54,27,34,57,2,24,91,30,4,77,64,70,81,42,97,42,21,10,87,51,6, ,97,69,6,7,43,89,3,68, ,91,53,68,70,30,45,97,35,53,6
71,74,15,97,69,21,51,74,38, ,69,22,64,42,59,70,78,64, ,65,32,24,96,28,96,15,36,94,46,85,60,81,70,15,90,13,16,76, ,4,11,98,7,79,27,35,40, ,90,97,41,86,11,93, ,7,98,64,2,78,23,62, ,2
 ,92,60,26,85,59,74,2,40,1, ,3,76,0,48,25,46,42,49,57,26,58,13, ,95,18,50, ,27,86,75, ,0,34,28,38,23,96,95,75,27,47,68,62,25,57,30,42,77,20,41,75,96,27,81,92,75,55, ,17,63,71,2,60
40,54,78,21, , ,70,73,95,49,38,72,8,28,54,43,64,50,29,32,72,43,45,17,0,75, ,48,69,22,38, ,53,75,37,32,56,13,48,16,0,33, ,94,50,9,13,26,0,81,83,37,43,67,90,59,27,89,31,28,47,54,85,65
26,90,33,63,69,19,58,15,54, ,85,18,35,22,40,61,30,17,41,3,14,36,93, ,78,94,55,86, ,42,13,48,9,82,19,72,40,58,61,92,30,46,16,85,47,83,10,35, ,18, ,41,53,8,59,62,21,13,92, ,77,45,52,16
42,95,85,2,79,14,44,54, ,47,74,38,17,18, ,25,44,77,27,66,69, , ,37,68,54,39,49,2,96,41,69,58,33,53, ,19,68,6,3,21,19,34,46, ,68,95,28,76, ,9,31,22,63,16,43,33,14,60,37,61,75, ,85
83,86,71,92,32,6,60,66,9,95,92,99,6, ,77,60,25, ,86, ,79,5,42,83,96,26,59,19,89,11,92,53,65,74,65,2,4,67,37,64, ,91,75,80,70,90,91,35,44,18,79,75,91,91, ,42,54,94, ,75,12,94,27,83
29,78,1,35,81,61,64,15,38,61,7,49,82,23, ,6,60,51,36,44,91,75,35, ,3,55,49,2,82,44, ,74,68,46,43,29, , ,59,86,29,98,23,75, ,75,51,73, ,85,28, ,72,64,11,19,73,12,13,64,14,44, ,95
89,2,55,7,4,54,35,84,14,31,12,19,84,34,85,82, ,85,27,59,21,72,17,70,28,67,82, ,73,72,95,38,34,63,36,44,1,26,45,57, ,27,52,87,83,28,4,29,20,46,75,51,27,56,23,71,65,54,9,73, ,1,55,14
9,84,29,66,38,15,68,24,77,27,32,68,20,9,57,14,76,82,10,65,93,1,93,35,49,66,32,6, ,15,61,44,16,10,54,88,53,5,63, ,34,14,62,34,0,85,99,73,41,38, , ,51,50,81,84,17,93,19,79,26,92,9,36
20,0,41,55,48, ,29,98,89, ,22,92,90,81,30,75, ,95, ,53,48,78,15, ,88,68,7,0,96,34,84,45,92,51,55,41,75,19,67,99,2,34,72,53,37,84,4,97,41,84,76,38,77,24,68,99,92,80,68,33,21,27, ,24
87,6,49,22,9,26,48,53,43,0,55,40,55,88,3,2,87,76,41,39,78,4,17, ,60,47,1,8,35,51,70, ,61, ,37,69,30,14,25,15,89,28,44,17,92,18,69,9, , ,17,53,24,8,82, ,97, ,73,7,74,70,77,10
77,35,82,16,40,21,80,82, ,99,74,40,19,62,42,96,28,25, ,78,36,14,67,61,58,49,37,32,13,92,39, , ,71,53,13,2,51,7,12,69,31,62,12,99,91,26,34,59,37,35,45,0,55,15,76,39, ,1,15,76,87,68,2
77,29,43,36,80,36,47,64,43,35,50,41,93,95,47, ,25,83, ,63,30,85,31,71,66,68,60,52,46,30,8,39, ,45,20,10,26,59, ,92,81,80,60,69,42, ,73,68,97,54,79, ,90,66,7,30,25,59,62,47, ,89, ,62
62,3,68,74,87,92,9,13,0,51,45,80,44,82,7,98,59,64,50,72,3,91,64,52,45,24,16,83,18,54,12,96,55,0,0,44,38,17,42,67,73,78,96,51,28,41,58,13, ,13,99,64,25,20,43, , ,63,8,83,4,99,40,68
53,76,3,54,78,68,7,89,42,89,6,21, ,21,11,89,15,65,74,37,19,11, ,23,27, ,17,67,38,61,99,21, ,36,28,35,56,88,90,99,14,80,45,44,36,97,22,17,33,71,73,30,85,4,25,89,31,16,66,12,83,99,80,17
70,76,96,73,25,58,82,91,17,90,68,87,11,58,3,6,65,17,89,45, ,3,51,56,68,54,33,41,68,43,31,67,84,22,38,92,82,18,47,98,40,69,10,58,38,40,21,75,57,54, ,46,94,68,89,27,84,75,91,16,25, ,95,19
46,68,72,47,74,89,79,30,17,60,2,91,72,84,49,37,80,97,86,75,35,64,98,0,6,90,8,81,91,48,71,38,92,5,81,40,45, , , ,32,6,51,2,96,25,32,34,4, ,40,90,73,38,35,63,2,42,74,99,53,33,15,51
4,44, ,34,4,4,1,87,77,79,86,73,90,27,70,58,32,48,28,43,49,57,23,88,56,74,5,37,3,2,92,78,58,1, ,45,60,77,16,99,78,91,73,58, ,23,17,32, ,91,43,34,98,82,6,98,16,75,98,48,17,80, ,96
 ,38,27, ,62,89, ,66,51,71,42,77,95, , ,16,0,76,28,34,96,18,15,18,40,47,38,58,31,40, , ,10,81, ,10,23,98,84,65,82,0,94, ,84,5,24, ,90,57, ,44,94,69,44,44,84,90,6, ,18,9,37,14
72,86,62,73,64,77, ,97,72,75,12,5,0,47,75,4,45, ,74,16,79,67,6,54,3,52,48,72,34,34,85,29,52, , ,10,75, ,43,95,3, ,39,46,59, ,94,9,13,48,69,50,98,72, ,16,42,40,70,41,68,35,95,52
77,63,39,86, ,44,38,24,34,16,87,91,64,39,88,60,79,66,69, ,5,47,5,39,74,98,42,16,59,86, ,89,0,57,84,84,31,34,56,85,48,37,83,90,90,17,97,84,74,64,68,46,0,46, ,31,4, ,77,65, ,56,3,65
 ,63,40,44,77,8,71,35, ,31,58, ,14,77,86,4,10,99,99, , ,48,34,57,12,33,23,57,75, ,53,4, ,4,89,83,43,32,64,48,73,13, ,36,16,48,42,58,0,51,23,93,98,45,43,38,86,78,58,66, ,14,83,20
17,81,78,21,35,37,44,64,36, , ,22, ,97,10,27,80,45,39,14,95,12,43,40,3,29,38, ,41,86,65, ,93,71,60,12,86,81,4, ,44,40,48,32,96,62,60,29,22,44,15,74,41,71,86,78,14,24,26,70,30, ,91,35
84,10,6,19,7,69,88,27,80,43,73,13,31,3,8, ,93,97,36,58,70,2,49,46, ,92,91,11,62,51,65, ,52,35,92,14,5,12,3,76,29,42,16,52,70,73,59,42,87,63,49,32,62,63,7,15, ,58,80,29,38,74,84,17
96,60,44,9,99, ,65,1,99,40,45,6,45,21,14,37,26,71, ,8,76, ,38,30,56, ,97,51,11, ,42,70,50,67,41,79,47,94,60,31,72, ,78, ,29,37,39, ,10,98,3,61, , ,89,74,7,77,80, ,58,43,40,16
61,91,63, , , ,43, ,33,26,47,57,13,62,73, , ,87,93,41,46, ,47, ,91,19,78,4,79,71,84, ,58, ,71,1,77, ,24, , ,92,63,34,9,93,60,7,40,19,83,70,46,89,86,38,86,47,61,38,62,7,86,75
57,24,39,52,30,75, ,13,42,97, ,79,78,62, ,48,39,57,0,73,51,25,35,50,93,93,86,70,79,79,75,65, ,22,3,23,72,24,17,17,60, ,51,61,14,34, ,9,70,25,74,14,27,80,53,20,65, ,25,79,54,27, ,33
10,23,97, ,11,93,76,51,65,39,4,79,52,79, ,68,21,16,15,42,25,73,14,76,84,28,4,10,45, , ,67,38,15,33,70,11,14,20,3,17,95,19,38,88,73,10,93,29, , ,39,39,70,34,83,86,26,46,81,75,69,26,89
28,28,82,8,17,76, ,59,56,18, ,63, , ,90,87,42,36, ,64,78,13,49,76,61,94,96,57,76, ,15,57,84,80,70,85,55,88,67,31,42,64,63,18,52,62,63,71,19,69,28, ,83,53, ,34,9,38,37,49,69,51,70, 
41,72,33,21,28,61,43,16,10,53,31,34,25,38,6,10,18,40,46,40,66,57,3,25,68,98,34,86,69,18,79,23,12,50,26,33,93,4, ,29,33,8,42, , ,9,22,24,9,64,72,1,57,57,98,14,64,36,81,13,82,45,9,57
91,93,45,28,89,51,39,16,14,76,31,96,13,20,11,42,98,67,30, ,20,98,20,24,79,0,9,72,4,44,25,69,20,96,36,11,73,64,75,18,66,31, ,3,14,44,43,12,85,68,53,61,34,74,47,46,30,34,76, ,90,50,98,45
2,38,16,13,33, ,61,63,36,74,99,8, ,63,75,72,31,83,27,69,25, ,25,60,73,82,68,99,88,40,16,17,33,19,19,72,43,87,40,57,45,63,21,91,3,54,33, ,66,75,84,43, ,19,6,81,74,4,41,0,35,64,22,61
